# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	gpmA//sdhB//aspA//glpD//
ChbR-Monoacetylchitobiose-6P	guaA//allE//ubiX//
CpxR-Phosphorylated	ilvB//cysH//citC//aroL//cysG//cueO//purC//pgaC//trpE//nirB//yjeF//aspC//bacA//idnD//ssuD//argB//uvrA//gabD//alkA//entD//dmsC//phnL//
CreB-Phosphorylated	fucO//sgbU//malP//
CueR-Ag	yfbR//metB//dmsC//napB//
CueR-Cu+	acs//katE//gatY//aroH//
CuerR-Au	cdd//ogt//gltD//dusB//
CusR-Pasp	argI//astA//pdeF//
CynR-Cyanate	tam//bcsB//gcvH//
CysB-N-acetyl-L-serine	pagP//sdhA//phnG//purC//napB//nagB//uvrA//sufS//gpsA//nagA//cysI//hyaC//rutE//hyaA//entB//yqjH//
CysB-O-acetyl-L-serine	pncB//dkgB//ahpF//nanE//fadA//puuA//ssuD//yeaE//phnH//ulaF//rutA//purC//citX//gabT//fumB//cynT//paaA//
DcuR-Phosphorylated	aroL//chbG//folE//cysJ//
DnaA-ATP	trpC//glcB//aroL//glcD//aldA//cysJ//
DpiA-Pasp	puuA//allC//uxaB//phnL//glpC//
DsdC-D-serine	gcvP//thrS//
EvgA-Phosphorylated	paaK//trpC//dmsA//narH//phnH//
FNR-Fe_reduced	preA//fadJ//fadD//pheT//phnG//idnK//fadD//ynfF//pgaD//cheR//uxaA//gdhA//nrdA//iscS//sdaA//cysJ//lpxD//napG//araA//argA//mutY//ahpF//glgX//dusB//frdD//astA//paaB//gadB//paaA//amn//phnN//ldtB//lacZ//sodA//metB//purN//aspA//citF//fucA//atoB//aceE//aceA//astA//glyA//nrdE//mhpC//ung//glgB//galT//trpD//sodB//fadI//rhaD//paaZ//rdoA//preT//uxuB//phnL//edd//xylB//entC//hycE//lpxD//polA//napB//prmC//ascB//ulaE//mtlD//bacA//nrfB//gdhA//sucD//lpxA//glpQ//puuE//nrfC//agp//narG//ahpF//dadX//lysU//galK//sdaA//fes//nrfA//fabZ//chbG//uxuB//chbF//ynfH//phnJ//entC//napC//entE//purA//acs//cadA//rbsK//sdaA//caiD//gpmA//phnL//cysC//xdhA//upp//ilvB//malZ//argH//malY//argF//argH//lsrF//polA//hemL//ftnA//hcp//garK//cyoE//entH//bioC//gnd//carB//glpX//malQ//cheR//gutQ//
FhlA-Formate	sucD//cynT//prmC//nrdF//mutY//hycC//katG//
FucR-L-fuculose-1-phosphate	ynfF//rutC//speB//uxuB//hycB//hycC//
Fur-Fe2+	ahpF//nirD//speC//tnaA//argG//mutL//preA//speB//puuB//napC//cysD//ogt//rutE//cueO//chbG//ubiC//glyA//gatZ//ansB//mtlD//purE//sgbU//miaA//sdhA//paaC//patZ//ilvG_1//tehB//paaJ//deoC//atoB//pheT//bioD//aldB//ssuE//lpxD//purF//hycC//lhgO//ssuE//cheB//ilvC//yjeF//gltA//speA//entF//mhpE//phnG//ynfG//hcp//xdhC//xylA//atoB//paaE//lysA//ldtB//paaB//lysC//pgaC//ilvN//fucA//lpd//gcd//moaD//glgA//entF//ybjG//alkA//nrfC//
Fur-Mn2+	gcvH//purB//aceA//paaG//ubiA//udp//polA//trpC//nrfA//gntK//metK//dadA//rutE//uxuB//deoA//nirB//xdhC//waaH//icd//entF//nrdA//ugpQ//dadA//frdD//epd//pgaC//pck//fau//napA//ilvG_1//ung//hypF//acs//purA//narH//pyrD//xylB//lysU//yqjH//prpD//glpA//gabT//fadD//preT//metH//hycD//carA//cysC//sucA//ilvC//alkB//fadI//metH//caiA//katE//pnp//fucO//ilvM//gltD//trpC//ssuE//fadH//prpC//atoB//aceB//argH//paaC//fes//fau//
GlcC-Acetate	aceF//uxaC//lysC//
GlcC-Glycolate	atoA//eda//gabD//
GlrR-Pasp56	
IclR-pyruvate	pdeF//paaI//treC//
IdnR-5-ketogluconate	pgaB//galT//cysN//preA//dadX//paaJ//
IdnR-Idonate	ynfF//moeB//ilvI//argB//moaA//entB//
IlvY-2-acetolactate	paaZ//
IlvY-Alfa-acetohydroxybutirate	sgbH//
IscR-2Fe	hyaA//hpt//citD//metB//astC//betB//speB//
LldR-L-lactate	nrdA//cheR//
Lrp-Leucine	garR//ilvE//paaI//bioF//fabZ//paaZ//dusB//appA//fucK//nrfC//nrdF//phnM//speC//yjeF//carB//hcp//aceF//uxaB//sdhA//hypB//cyaA//slt//puuD//citC//mhpF//idnD//paaJ//hycD//aspC//fadD//speB//uxaC//xdhC//gcvT//gnd//ilvE//zwf//ynfH//zwf//
LsrR	yqjH//ogt//xdhA//xdhB//dnaE//
MalT-ADP-Maltotriose	glgC//glpC//preA//cheB//glyA//paaG//
MalT-Maltotriose-ATP	astA//lsrG//fadI//bcsB//gnd//purB//
MelR-Melibiose	purF//ssuD//
MetJ-S-adenosylmethionine	astA//acs//idnD//ulaE//argI//xapA//idnD//paaH//pncB//astA//
MetR-L-homocysteine	bioD//fucI//argI//dmsC//
MhpR-3-DHPP	allD//fadB//paaE//pyrC//ilvM//lsrK//
MhpR-3HPP	ilvG_2//puuE//nagB//metE//deoC//ynfG//
MntR-Cd2+	hyaA//mutY//
ModE-MoO42-	hyaA//lsrG//sufS//phnH//serC//sdhB//preA//ldtC//glpD//caiD//psd//rutC//feaB//alkA//
NarL-Phosphorylated	atoB//gdhA//pgaB//torA//purN//trpA//mtlD//puuB//glpC//frdA//ulaE//amn//purN//ada//torA//fadA//nadC//entH//ldtB//rutB//ynfG//mhpB//uxaA//katE//nrdB//glcD//metL//pgaD//mhpC//rhaD//glyA//frdC//hycB//ilvD//aceE//dmsB//mtlD//sgbE//
NarP-Phosphorylated	sdhD//cheB//sgbU//trpE//gatZ//metK//preA//pyrD//dapB//fadB//frdB//
NhaR-Na+	trpB//umpH//ilvC//rutC//rbsK//
NikR-Cd2+	dmsC//
NikR-Co2+	fucA//
NikR-Cu2+	aldB//
NikR-Ni2+	paaA//
NikR-Zn2+	prpB//
NrdR-ATP	aceE//bioD//epd//alaS//
NrdR-Zn2+	napB//mtlD//gdhA//lpd//
NrdR-dATP	purK//gcvH//trpB//purB//
NsrR-2Fe	glyA//psd//folE//phnM//atoD//trpB//purC//dusB//allC//lysA//yqjH//fucO//glnA//gpsA//yfbR//pgpC//allC//narG//paaB//srlD//uidA//tyrA//glgB//argB//tdh//glcB//gntK//prpE//trpD//cysM//
PhoB-Phosphorylated	pgk//mhpC//rutE//ulaE//agp//nagB//nrfA//torC//polA//eda//glcB//rhaD//araD//mhpB//mtlD//paaH//fadH//rutC//astE//astC//
PhoP-Phosphorylated	puuC//frdA//bioF//gcvH//ascB//mutY//ackA//aldB//avtA//pflB//nrfC//talA//cynT//metA//zwf//fdhF//carB//cysM//metE//paaZ//agp//pagP//alaS//sdhB//rnpB//lpxA//glcF//fes//bacA//fes//ampD//aroF//idnK//cyaA//patZ//
PrpR-2-methylcitrate	frdB//sucB//dadX//lsrK//
PurR-Guanine	hycE//trpA//sucA//mhpE//adhE//cadA//citE//puuE//citC//thrS//cheR//tsaE//ilvM//caiA//cyaA//ynfF//deoD//bioC//hypB//pgk//nadC//fdhF//moaE//ilvM//pta//glcE//fes//
PurR-Hypoxanthine	bcsZ//bacA//cheR//uxaB//araA//deoC//cadA//udp//rutE//gltA//moeB//mhpA//glcB//fadH//ynfG//prs//argE//trmD//entF//deoD//ilvI//torA//napB//folE//idnK//narI//galT//
QseB-Phosphorylated	
RhaR-L-rhamnose	
RhaS-L-rhamnose	alaA//rnpB//hemL//sucA//
RstA-Phosphorylated	frdB//xdhA//kbl//
SoxR-2Fe_oxydized	metA//glgA//
TorR-Phosphorylated	sodB//puuB//uxaC//
TrpR-Tryptophan	metK//xylB//uvrA//argB//fadJ//lysA//mpl//purD//glgC//
TyrR-L-tryptophan	galM//hycB//prpE//ilvM//purL//ulaF//allD//deoD//caiD//
TyrR-Phenylalanine	entB//fumA//cynS//pgpC//melA//bioC//sdhB//purL//cysJ//
TyrR-Tyrosine	acnA//galK//gatY//tdcG//cpdB//argA//prpC//ilvC//purF//
UhpA-Phosphorylated	ynfE//
XapR-xanthosine	ynfF//bcsZ//
XylR-Xylose	sdaA//napC//dapB//
ZntR-Cd2+	ansB//
ZntR-Hg	tktB//
ZntR-Zn2+	prpC//
ZraR-Phosphorylated	
Zur-Zn2+	waaH//
