# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	sufS//carA//hcp//prs//
ChbR-Monoacetylchitobiose-6P	glcD//hyaB//lyxK//
CpxR-Phosphorylated	gcvP//ndh//sucD//rhaA//dgcZ//ssuD//araA//aceA//pheS//tdcD//garL//bcsB//ascB//amn//ubiA//dmsA//cdd//zwf//waaH//fumB//glgA//trmD//
CreB-Phosphorylated	ldtB//fadD//araA//
CueR-Ag	carB//nagA//gatZ//hyaB//
CueR-Cu+	uxuA//cadA//napA//bioB//
CuerR-Au	allC//tdcD//rhaB//miaA//
CusR-Pasp	araB//glpC//nirB//
CynR-Cyanate	manA//sufS//hycC//
CysB-N-acetyl-L-serine	pgk//entF//trpA//ahpF//ansB//polA//argE//tdcD//fbaA//lysA//pflB//icd//prpC//mutY//caiA//nanA//
CysB-O-acetyl-L-serine	malS//dmsA//sufS//ilvM//alaA//napC//abgA//ilvG_2//acnA//cysK//paaF//napB//fbaA//lhgO//pgaD//phnP//iscS//
DcuR-Phosphorylated	folE//narI//ftnA//sgbU//
DnaA-ATP	napC//gltD//bcsZ//paaC//lpxD//bioB//
DpiA-Pasp	metF//yiaK//bacA//dapD//tsaE//
DsdC-D-serine	tdcD//yeaE//
EvgA-Phosphorylated	pagP//talA//yeaE//miaA//metK//
FNR-Fe_reduced	argA//pgaD//deoC//fadA//sucC//argF//pgaB//yjeF//gabD//cysH//glcD//entC//katG//tsaE//phnO//fbaA//cysD//cadA//citC//lpxB//moeA//hyaB//frdD//caiD//aspC//dadA//srlD//nadC//purN//ilvC//mhpA//cynS//feaB//nrdF//dusB//ilvG_2//sdhC//allD//deoC//ldtB//hyaB//serA//gcvH//glcF//bioF//garK//yfbR//sucC//acs//sgbE//bioF//gadB//rutD//phnI//narH//codA//cyaA//argF//aroF//aroF//hycF//thrS//ynfF//puuD//dmsB//xdhB//acnB//moeA//ynfE//aroA//dapB//gcvH//yeaE//alkB//aldA//torC//hycE//atoB//mutY//ynfH//purB//fau//argF//nrfC//tyrB//entA//nrfD//ubiX//pyrD//paaJ//zwf//nagA//alaA//speC//tnaA//citD//aceF//carA//deoB//xdhB//aspC//trpD//metK//yqjH//fadD//yqjH//hpt//gabD//tadA//cysD//cysD//ilvH//cdd//ahpC//yjeF//srlD//fucO//fucU//nrdA//hypF//citF//chbG//glcF//hyaA//sodB//preT//araD//
FhlA-Formate	moaE//pheT//acs//guaA//dgcZ//hycB//aspC//
FucR-L-fuculose-1-phosphate	fadJ//fdhF//citD//ldtC//ugpQ//aroL//
Fur-Fe2+	gcd//mutY//pgaB//mutL//gutQ//tdh//cysH//ilvH//napG//pyrC//tktB//fadH//citE//nrdE//abgA//glpD//sucA//gltA//treC//frdA//nanA//prpB//bioA//deoC//puuB//metC//uxuB//nrfC//rdoA//manA//hyaC//hmp//xylB//hemL//gltD//garR//galE//cysI//phnJ//ynfF//edd//mutY//tdcB//phnN//nrdB//ldtC//napC//nanK//yiaK//metF//glpX//aldA//glpK//mhpF//rhaB//cysJ//rhaB//murQ//gpmA//trpE//ampD//trpB//yeaE//sgbU//hycG//ilvH//glyA//deoB//citF//
Fur-Mn2+	nrdF//yfeW//araB//puuC//pgaC//sodA//caiC//hmp//nrfB//frdC//astD//sucC//lhgO//glpB//citF//yfdE//hyaB//bglB//bacA//tdcG//paaC//alkA//mhpF//nrfA//garR//hpt//pgaC//entF//purA//glpE//lysA//glgA//sodB//ssuE//argG//gcvP//paaC//tdcD//phnL//pgaD//sucA//gatZ//dadX//cdd//bacA//citE//bcsA//fumC//araD//glgB//phnI//fumC//pgaC//phnN//hemA//melA//yfeW//glgC//ubiX//tyrA//entA//torA//pgaC//preA//paaH//sdaA//yiaK//puuB//entC//
GlcC-Acetate	dapB//metH//phnP//
GlcC-Glycolate	napC//malY//caiA//
GlrR-Pasp56	
IclR-pyruvate	yfeW//cueO//ahpC//
IdnR-5-ketogluconate	hycF//prpD//alkA//aceF//acs//bioB//
IdnR-Idonate	kbaZ//fumA//aceE//ppiA//paaH//tdh//
IlvY-2-acetolactate	dsdA//
IlvY-Alfa-acetohydroxybutirate	hyaB//
IscR-2Fe	paaZ//gadB//aspA//mtlD//paaJ//dkgB//phnO//
LldR-L-lactate	phnN//paaG//
Lrp-Leucine	phnH//fadE//phoA//hycF//gutQ//hyaC//phnI//prmC//cynS//fadE//fumB//narG//atoD//prpD//preA//sdaA//xdhC//ilvI//argE//paaC//ynfH//aceF//frdC//sucB//citX//dadA//sodA//yiaK//glpK//pheT//glgC//frc//deoC//garK//ulaD//sucD//mltC//cysM//yiaK//
LsrR	pagP//citD//dusB//ugpQ//psd//
MalT-ADP-Maltotriose	argF//ogt//hypF//folE//yfeW//mdh//
MalT-Maltotriose-ATP	preT//malS//preT//rhaD//dapB//yqjH//
MelR-Melibiose	dapD//torA//
MetJ-S-adenosylmethionine	yjeF//napG//ackA//cheB//nrfD//sufS//citX//ftnA//garL//kbaZ//
MetR-L-homocysteine	trmD//paaI//dnaE//katG//
MhpR-3-DHPP	gcvT//aceF//ulaF//guaB//nirB//fadE//
MhpR-3HPP	acnA//cynS//astD//ogt//purM//hyaB//
MntR-Cd2+	dmsC//kbaZ//
ModE-MoO42-	nrfC//adhE//sdhC//acs//ulaD//edd//yiaK//sucC//glpQ//malZ//entF//rdoA//napH//araB//
NarL-Phosphorylated	preA//yjeF//umpH//tktB//icd//miaA//cynS//sdhB//lpxB//pgpC//acnA//atoB//aroL//hemL//sucA//lpxB//rutB//murQ//gntK//ubiC//glcE//hcp//bioD//napG//entD//ilvE//pgaD//aceB//hcp//ubiG//hycB//mtlD//fadA//frdC//srlD//treC//tyrB//purD//
NarP-Phosphorylated	astC//ynfF//moeB//frdB//torC//trpA//pncB//argE//carB//cysG//dadA//
NhaR-Na+	polA//gadB//citC//abgA//gutQ//
NikR-Cd2+	xdhA//
NikR-Co2+	ynfF//
NikR-Cu2+	aspC//
NikR-Ni2+	metK//
NikR-Zn2+	ppiA//
NrdR-ATP	eda//speC//aspC//fdhF//
NrdR-Zn2+	gpmA//paaF//hflX//hflX//
NrdR-dATP	sodA//entF//tdcE//acnA//
NsrR-2Fe	gntK//ilvA//paaI//citE//yfdE//astA//glnA//fucK//moeB//iscS//gcvT//katE//bcsA//purM//preT//metA//edd//aroA//atoB//hypF//xdhC//bioC//glpK//glcD//napG//uxuA//ispE//hycC//ugpQ//sgbE//
PhoB-Phosphorylated	pheS//fumB//napH//dkgB//manA//purB//lsrK//adhE//sdhD//cysN//mhpD//narG//astC//nagB//glpQ//phnG//guaB//tyrA//gpmA//cyoE//
PhoP-Phosphorylated	ssuD//cueO//iscS//moaE//cysH//argD//tdcB//metC//glgA//lsrF//argC//gdhA//adhE//hemA//recF//ahpC//bcsA//trpD//ilvD//gpmA//deoD//atoA//mutY//uidA//purM//garL//ybjG//hycE//hcp//mhpB//cyaA//nadC//napH//fucU//rhaB//
PrpR-2-methylcitrate	kbl//appA//fucA//nanM//
PurR-Guanine	sucD//fadI//purA//oxc//ada//slt//nirB//hyaC//puuE//mutL//gcvP//sgbU//pflB//thrS//nrdA//astA//tdcD//cpdB//cynS//glgB//dsdA//argB//sufS//nanM//fadE//ybjG//cysM//
PurR-Hypoxanthine	serA//nanK//pgpC//cysN//fadE//trpA//hemL//ilvN//ilvE//ada//ilvG_1//aceF//garL//deoD//nanK//pta//nrfA//nadC//metH//dnaE//ilvG_1//nrdE//malY//uxuB//paaG//gpsA//xdhC//
QseB-Phosphorylated	
RhaR-L-rhamnose	
RhaS-L-rhamnose	cynT//idnK//nirB//ynfE//
RstA-Phosphorylated	avtA//cysM//nrfD//
SoxR-2Fe_oxydized	dkgB//glpQ//
TorR-Phosphorylated	entB//bioB//pgk//
TrpR-Tryptophan	adhE//cyoE//napH//nrfB//mhpC//cueO//aroF//ilvA//abgA//
TyrR-L-tryptophan	pgpC//tadA//carB//phnO//glcE//purB//entE//cpdB//uxaC//
TyrR-Phenylalanine	ulaD//mhpF//dmsC//idnK//cysM//manA//xylB//ilvN//tdcG//
TyrR-Tyrosine	bcsZ//purN//atoB//puuA//paaI//gcvT//napA//argA//uidA//
UhpA-Phosphorylated	sdhD//
XapR-xanthosine	hycC//abgB//
XylR-Xylose	cueO//frdD//alkB//
ZntR-Cd2+	dsdA//
ZntR-Hg	chbG//
ZntR-Zn2+	kbaZ//
ZraR-Phosphorylated	
Zur-Zn2+	rbsD//
