# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	folE//prpC//frdA//codA//
FNR-Fe_reduced	nadC//gcvP//phnO//puuA//entH//fumB//xdhA//aldB//citG//mutL//talA//purM//caiB//moaA//hmp//mtlD//fucA//rutD//phnJ//citE//gatY//carA//fes//purK//deoB//caiC//nrdE//sdhC//cheB//citE//hycC//rhaD//cysC//idnK//pgaC//fadH//entE//gltD//yfbR//purL//speB//mhpD//lpxA//napH//argB//nrdB//glpK//rdoA//allE//yiaK//sdhB//serC//trpC//trpA//bcsA//ampD//aspC//aldB//fbaA//tauD//yfdE//rnpB//xdhA//entH//lpxB//ilvC//aroL//tdcG//hycE//deoB//ampD//prpB//ilvG_1//feaB//upp//lsrG//ogt//ilvG_2//cadA//fadA//idnO//hycD//astA//dmsC//katG//nanE//icd//glpE//mhpB//tdcG//carB//cpdB//argC//astD//metL//gatD//kbl//purL//rhaB//sgbE//torC//ldtB//moeB//gatZ//atoD//metA//oxc//aroL//trmD//cysH//ynfF//ilvG_2//gcvT//sdhD//kbl//citD//glpA//phnH//yqjH//bcsZ//fadA//uxuA//bcsB//agp//chbF//aroG//umpH//
FhlA-Formate	cynT//rutB//moaE//serC//gatY//puuA//tdcD//
FucR-L-fuculose-1-phosphate	lacA//pheS//katG//glpK//acnB//gltA//
Fur-Fe2+	frc//araD//astD//metL//lsrF//malP//glcF//sucB//argE//caiB//nrfA//purC//allC//glpQ//paaZ//hycD//prs//fumB//frdA//paaJ//srlD//entA//aceF//gnd//ilvA//puuC//lysA//zwf//pheS//bioC//cpdB//bioD//gltD//torA//argF//pheT//xdhA//mpl//mhpA//ackA//dmsA//tdcD//pgaD//galE//serA//rbsD//chbG//paaI//aceE//purK//garL//fadH//idnK//tauD//lsrF//treC//dnaE//fucU//paaB//prpE//lsrG//nrfB//dapD//prs//purN//mhpD//ilvA//ulaE//epd//
Fur-Mn2+	srlD//glgX//sdaA//paaA//fadE//araA//bioC//lsrF//nirD//pncB//pdeF//tdcE//ubiX//glpK//ftnA//lacZ//aldA//ulaF//torC//gdhA//paaJ//fdhF//hycB//thrS//paaH//nirD//oxc//katE//ilvG_2//mhpB//moaD//moaA//acs//dgcZ//katG//tyrB//yfdE//ascB//astA//dmsA//glcB//pyrC//pyrC//phnN//metE//purN//fadJ//ulaD//lacZ//metF//nrfA//bacA//hmp//lpxB//argD//hyaC//bacA//prmC//iscS//pncB//deoD//argG//metF//caiC//ssuD//entC//waaH//glgP//feaB//
GlcC-Acetate	speC//torC//acnB//
GlcC-Glycolate	prpD//pgk//glpQ//
GlrR-Pasp56	
IclR-pyruvate	prpE//carB//nagA//
IdnR-5-ketogluconate	xdhC//puuD//deoC//cysH//xdhA//ubiC//
IdnR-Idonate	fumC//fbaA//rutB//lysU//fadI//eda//
IlvY-2-acetolactate	paaA//
IlvY-Alfa-acetohydroxybutirate	dapD//
IscR-2Fe	argB//xdhB//yqjH//gutQ//cyaA//uidA//prmC//
LldR-L-lactate	metA//mhpA//
Lrp-Leucine	phnN//murQ//ilvG_2//rutC//pyrD//lpd//glcB//acnA//alaS//garR//cheR//fadA//puuD//purM//preT//trpA//prpC//alaS//ilvG_2//fdhF//dkgB//cadA//dapD//gntK//prs//pyrD//ilvH//ugpQ//nrfD//puuA//gapA//bioF//ulaE//murQ//gadB//dmsB//entH//mhpF//dapD//
LsrR	bioA//nanM//hemL//aspC//ndh//
MalT-ADP-Maltotriose	hypF//argG//acnA//preT//caiD//bioB//
MalT-Maltotriose-ATP	purA//idnK//nrfC//speA//glnA//ahpF//
MelR-Melibiose	purE//glgX//
MetJ-S-adenosylmethionine	ssuE//prmC//cyoE//metA//napC//fadI//ispE//tyrA//uxaB//deoC//
MetR-L-homocysteine	hycG//deoC//cheB//carB//
MhpR-3-DHPP	nirB//speA//hycB//ulaD//paaF//bioB//
MhpR-3HPP	recF//acs//hcp//metF//cysC//yfbR//
MntR-Cd2+	uxuB//fadJ//
ModE-MoO42-	guaA//ilvC//murQ//bioB//mtlD//mhpC//cpdB//sdhD//prpC//sgbH//hcp//napG//speA//fucI//
NarL-Phosphorylated	ackA//trpC//malS//ansB//cysM//pgpC//mhpD//trpB//nagA//gpsA//aldA//xdhA//nrdB//epd//lpxB//citX//ung//ulaF//sdhD//polA//rnpB//chbG//phnO//puuD//pgpC//fucU//pdeF//appA//yqjH//aldB//yjeF//uxuB//moaE//rutC//betA//paaG//mutY//xdhB//
NarP-Phosphorylated	lacZ//ackA//cueO//guaA//eda//slt//galM//fucK//allE//ulaF//chbG//
NhaR-Na+	ada//phnL//feaB//fadH//tyrA//
NikR-Cd2+	ubiG//
NikR-Co2+	tktB//
NikR-Cu2+	cyaA//
NikR-Ni2+	sgbU//
NikR-Zn2+	malZ//
NrdR-ATP	waaH//metH//ispE//dnaE//
NrdR-Zn2+	uxaA//tyrB//argG//lsrG//
NrdR-dATP	carB//sgbE//nanE//pheT//
NsrR-2Fe	sucB//sdhD//melA//gcvT//glpC//ispE//dadX//patZ//carA//argG//malP//purL//epd//ynfH//glgX//metK//moaA//malQ//dapB//purA//lldD//purC//puuE//atoB//aroF//sdhC//tnaA//sucA//paaA//citF//
PhoB-Phosphorylated	zwf//sgbH//gdhA//dsdA//ung//zwf//nirD//aspC//waaH//chbG//paaF//xylB//phnL//agp//hypF//moaA//paaJ//metC//mpl//trpD//
PhoP-Phosphorylated	talA//lpxA//alaS//phnN//torC//paaJ//gcvH//narG//puuC//waaH//guaA//caiC//purM//tdcD//rbsD//phnJ//moaA//dadA//betA//rutA//ubiC//lpxB//pck//sgbU//pta//atoA//dgcZ//bacA//fumB//tdcD//galE//glpA//nanM//purK//xdhC//
PrpR-2-methylcitrate	torA//paaE//abgB//ahpF//
PurR-Guanine	fabZ//bacA//allD//glgA//pyrD//puuC//lsrG//phnP//malP//gltB//tauD//fadB//citD//serA//hycF//argA//betA//purM//mutL//pncB//pgaD//betB//eda//metE//moeB//prpD//lyxK//
PurR-Hypoxanthine	ugpQ//sucC//cyoE//ung//tam//nrfD//eda//mltC//cysN//fbaA//lpxA//trpA//glpD//argI//udp//fucU//argH//mhpE//cyaA//oxc//pgaD//ilvG_1//ung//nirD//ftnA//phnM//purB//
QseB-Phosphorylated	
RhaR-L-rhamnose	
RhaS-L-rhamnose	fadB//cynS//argB//metC//
RstA-Phosphorylated	abgA//lpxD//dkgB//
SoxR-2Fe_oxydized	galK//icd//
TorR-Phosphorylated	cysJ//melA//fucU//
TrpR-Tryptophan	napG//entC//miaA//ogt//argA//ilvG_1//ispE//gltA//phnJ//
TyrR-L-tryptophan	prmC//serA//metK//bacA//phnO//purN//cyoE//lldD//sgbE//
TyrR-Phenylalanine	tdh//prs//paaK//fadH//lldD//folE//fucI//carA//icd//
TyrR-Tyrosine	cpdB//purA//nrdE//deoC//acnB//ynfH//iscS//polA//fadI//
UhpA-Phosphorylated	entF//
XapR-xanthosine	aroF//cynS//
XylR-Xylose	paaF//bcsA//cyaA//
ZntR-Cd2+	pgk//
ZntR-Hg	yfdE//
ZntR-Zn2+	fucK//
ZraR-Phosphorylated	
Zur-Zn2+	citG//
