# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	psd//ulaF//sucC//iscS//
ChbR-Monoacetylchitobiose-6P	citX//ilvG_2//ssuD//
CpxR-Phosphorylated	alaS//glgA//gcvT//uxaA//srlD//purA//guaA//garL//lacA//mltC//upp//torA//trmD//ulaD//trpB//tyrB//serC//cysC//gcvP//fucA//entD//phnI//
CreB-Phosphorylated	lpxB//ldtB//astE//
CueR-Ag	carB//argF//uidA//xylA//
CueR-Cu+	paaE//glpX//ilvD//nrfA//
CuerR-Au	puuD//serA//cysM//metH//
CusR-Pasp	mhpA//hycE//metL//
CynR-Cyanate	purD//fumA//rhaB//
CysB-N-acetyl-L-serine	yfbR//lyxK//astC//hypB//hypF//ung//rnpB//ilvG_2//tauD//rhaA//deoC//gatZ//purN//polA//malY//ogt//
CysB-O-acetyl-L-serine	lpd//cheR//tyrB//purF//katG//araB//fucK//lpd//lsrG//pgaB//cyoE//fadI//glpD//rutE//frdD//lldD//sucB//
DcuR-Phosphorylated	moaE//acnA//lpd//ampD//
DnaA-ATP	tdh//paaZ//moaD//yqjH//mhpA//ilvG_2//
DpiA-Pasp	dadA//folE//ssuE//xapA//lacZ//
DsdC-D-serine	tdcG//tam//
EvgA-Phosphorylated	abgA//cadA//gabT//torC//pgaC//
FNR-Fe_reduced	trpC//ampD//nadC//ynfG//alkB//betA//nrfC//bioB//rhaA//pck//glpX//frdA//frdD//talA//pta//nirD//aspA//gadB//aspA//tehB//bcsZ//cysG//gabD//folE//paaA//cynS//malQ//pflB//alaA//hpt//aceE//dmsC//caiD//gcvP//cheR//aceB//guaA//gcd//rhaA//argF//napG//moaE//upp//nanK//fadD//lysC//gcvP//gcd//caiC//ilvG_1//fadI//malY//prpD//lpd//nagB//moaD//hpt//ssuE//moeB//ilvB//abgA//purC//sucB//napC//serA//fadD//aldB//trpD//metK//yqjH//trmD//purE//trpE//alaS//trpE//yjeF//cheR//speA//lysC//ung//sgbU//tdcB//ndh//ascB//citG//fadD//aroH//cadA//hycG//sgbH//moaD//hyaA//glpE//glpE//truB//lldD//cysI//allE//glpE//gpsA//metH//glpQ//aroL//yiaK//yfeW//malY//aceA//abgB//tauD//cheB//metB//gapA//mhpC//sodB//trpA//nrfC//cysH//entF//avtA//rhaB//argA//prmC//deoD//garR//sucB//napA//allE//
FhlA-Formate	ftnA//paaB//oxc//fadB//paaE//alkB//iscS//
FucR-L-fuculose-1-phosphate	avtA//uxaB//ilvG_2//galM//speC//yfeW//
Fur-Fe2+	entC//tdcG//cysH//narH//purN//puuD//nrfD//aroG//caiC//frdD//uxaA//malY//puuC//treC//nirB//galT//oxc//glpD//glpB//tdcB//mhpB//bcsA//purN//purD//ubiX//caiB//ynfH//frdD//fbaA//glgP//ftnA//glcE//argC//paaG//tyrB//cysD//manA//yeaE//citG//frdC//fau//ada//pagP//bioA//chbG//puuA//hycC//pyrD//manA//iscS//uidA//gcvH//fadJ//glpC//ynfE//moeA//argG//speC//sdhA//aroA//malQ//feaB//paaF//moaA//citF//tktB//codA//acs//sdhD//
Fur-Mn2+	moaA//lacZ//fucK//ackA//lsrF//atoB//citF//puuB//gntK//fadD//preT//pncB//gatY//frc//appA//abgA//glcE//hemL//glpX//ulaF//mhpA//lsrF//nrdD//ssuE//ynfF//yjeF//moeA//hycC//glcB//ppiA//oxc//cysN//gutQ//citG//gatD//dmsA//mhpC//lysC//rdoA//tauD//glgC//astC//aceA//ascB//nirB//fucI//gntK//fumB//ubiA//cysI//garL//ybjG//galK//metH//ulaD//xdhA//abgB//aceB//tdcE//dapD//tyrB//hyaB//waaH//moaD//mltC//sdhB//argD//ogt//tyrA//
GlcC-Acetate	metK//pyrC//glpC//
GlcC-Glycolate	paaZ//hycE//icd//
GlrR-Pasp56	
IclR-pyruvate	preA//manA//galE//
IdnR-5-ketogluconate	ldtB//rhaB//caiD//malP//folE//entE//
IdnR-Idonate	ybjG//bcsA//metL//frc//glgB//rhaB//
IlvY-2-acetolactate	kbaZ//
IlvY-Alfa-acetohydroxybutirate	ulaD//
IscR-2Fe	hycB//icd//rdoA//gpmA//speC//purH//lyxK//
LldR-L-lactate	nrdD//pnp//
Lrp-Leucine	aldA//recF//glgP//allC//paaJ//tdcE//cysC//yeaE//puuD//galT//appA//mtlD//metB//mltC//frdA//cpdB//abgA//aspA//frdD//glpX//atoA//entB//pgaD//melA//polA//sucA//hypF//araA//ynfE//fadI//melA//pnp//lpxD//glcF//tehB//dmsA//agp//nrdA//atoA//
LsrR	phnJ//dapB//fumB//dmsB//ilvC//
MalT-ADP-Maltotriose	bioD//aroF//nanE//bcsB//ascB//lsrG//
MalT-Maltotriose-ATP	talA//tyrB//glpK//folE//alaA//yqjH//
MelR-Melibiose	argF//glgA//
MetJ-S-adenosylmethionine	hemL//trpA//ampD//hycD//nirD//polA//pgaD//xdhC//bcsZ//pheT//
MetR-L-homocysteine	lldD//astC//ynfF//pgaD//
MhpR-3-DHPP	dmsB//guaB//metL//pyrD//gcvH//bioB//
MhpR-3HPP	glpC//deoC//pagP//paaG//treC//citC//
MntR-Cd2+	aspA//citG//
ModE-MoO42-	speC//xapA//paaJ//paaZ//upp//lldD//aroH//puuE//citD//bioC//glgP//bglB//chbF//malS//
NarL-Phosphorylated	argI//glpC//tyrA//preA//uvrA//argE//trpC//fadE//guaB//tdcB//glnA//ubiX//fadD//sucB//gpsA//lacZ//miaA//ssuE//purA//puuD//yfeW//ubiG//feaB//purN//bioD//phnO//chbF//cysM//yeaE//hycF//dapD//sdhB//metK//dmsC//aceB//tyrB//malQ//glpQ//
NarP-Phosphorylated	gadB//ilvD//nrfD//speB//paaK//cdd//ugpQ//mltC//hmp//bcsA//miaA//
NhaR-Na+	cysN//tdcD//napA//napH//torC//
NikR-Cd2+	fadH//
NikR-Co2+	gcd//
NikR-Cu2+	glpK//
NikR-Ni2+	lsrG//
NikR-Zn2+	pgaC//
NrdR-ATP	frdC//cysM//mdh//deoC//
NrdR-Zn2+	acs//purC//entB//ftnA//
NrdR-dATP	malS//yfbR//nrfC//sodA//
NsrR-2Fe	aspC//allE//narG//argI//deoC//uxuB//pheS//ubiX//tehB//puuB//cysC//purC//mltC//frc//gutQ//carA//trpB//manA//pagP//pyrD//aspA//oxc//phnM//cysC//puuA//ndh//kbl//folE//narG//glcB//
PhoB-Phosphorylated	nirB//tadA//fdhF//aroG//ascB//gadB//ilvN//citX//fadI//glpK//nagA//fadE//glgP//bioA//folA//ldtB//yfbR//prpE//glyA//fdhF//
PhoP-Phosphorylated	rutC//dadX//deoB//trmD//truB//moaA//polA//caiC//aldB//dadA//phnO//puuB//sgbH//malP//citF//dmsC//nanE//aspA//hycG//epd//ubiX//frdC//aroA//metK//aroH//dmsC//glgC//fumA//murQ//nirD//allD//yqjH//hycD//hycG//entH//
PrpR-2-methylcitrate	argC//ilvN//frdB//tehB//
PurR-Guanine	phnO//murQ//tam//fadE//thrS//phoA//lacZ//oxc//ubiG//lsrF//guaB//torA//metB//pheT//tktB//entH//entB//moaE//purL//purA//nadC//appA//lldD//pgaD//yeaE//fumB//uxuA//
PurR-Hypoxanthine	dapB//rutE//idnO//sdaA//gpsA//pgpC//phoA//glpE//phnM//fbaA//ubiC//purL//citG//lacZ//paaH//pck//mdh//purE//sodA//entH//hemA//purB//ilvN//folE//purF//paaK//dkgB//
QseB-Phosphorylated	
RhaR-L-rhamnose	
RhaS-L-rhamnose	entH//bioB//ppiA//ftnA//
RstA-Phosphorylated	xdhA//ldtC//deoD//
SoxR-2Fe_oxydized	pgaB//hycD//
TorR-Phosphorylated	iscS//dnaE//glgC//
TrpR-Tryptophan	garR//yeaE//araD//idnK//metF//entC//fucA//dadA//rbsK//
TyrR-L-tryptophan	hycD//lpxA//gatD//melA//mpl//sucB//bioB//fumC//frdA//
TyrR-Phenylalanine	glgX//aceA//glpQ//lpd//icd//ubiX//ulaD//xylB//aspC//
TyrR-Tyrosine	cyoE//ilvA//rutC//paaA//yjeF//nrdF//bcsB//pgaC//nanA//
UhpA-Phosphorylated	prpB//
XapR-xanthosine	tdcD//betB//
XylR-Xylose	uvrA//dnaE//chbG//
ZntR-Cd2+	manA//
ZntR-Hg	argI//
ZntR-Zn2+	ilvI//
ZraR-Phosphorylated	
Zur-Zn2+	nanE//
