#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/regulons_by_conformation_bnum.txt
Ada-Methylated	b2631//ilvG_2//b2509//b2195//
ChbR-Monoacetylchitobiose-6P	b2609//b3588//b1499//b4201//b2631//b4441//
CpxR-Phosphorylated	b1796//b0574//b3583//b0353//b2529//b0619//b3314//b1737//b2200//b1112//b4159//b3167//b0894//b4197//b1227//b3568//b2799//b2283//b0032//b4009//b2107//b3458//b4092//b1805//b1130//b1704//b0168//b4095//b2231//b2705//b3096//b3907//b0819//b1748//b2606//b1272//b2009//b3568//b4316//b2311//b4170//b3243//b0998//b3124//b0078//b1024//b4019//b0038//b0727//b4035//b1260//b0150//b4076//b1272//b1387//b0125//b3161//b3528//b4202//b3603//b3164//b0339//b3008//b2195//b1296//b0727//b0031//b3766//b4309//
CreB-Phosphorylated	b0080//b4384//b3321//b1132//b1335//b1335//b2732//b2282//b2291//
CueR-Ag	b0721//b3912//b1736//b1036//b0190//b1902//b3425//
CueR-Cu+	b0441//b1129//b3958//b2763//b3870//b0777//b2311//
CuerR-Au	b3541//b1497//b3860//b3132//b1212//b0431//b0428//
CusR-Pasp	b3311//b2557//b4013//b3568//b1612//b2074//b2729//b3904//b2867//b4240//b0587//b4467//
CynR-Cyanate	b1009//b0108//b1887//b2417//
CysB-N-acetyl-L-serine	b1208//b2631//b0572//b4238//b3749//b3616//b4177//b2200//b1297//b3266//b1129//b3604//b3609//b4094//b4167//ilvG_1//b2421//b2721//b2481//b3368//b0460//b3531//b3728//b1407//b2094//b0349//b1737//b1780//sroD//b4008//
CysB-O-acetyl-L-serine	b4592//b3668//b4426//b0936//b4233//b2152//b4170//b1207//b0819//b0183//b3327//b2838//b3969//b1042//b0778//b0036//b2196//b3409//b3855//b3726//b3583//b4441//b3170//b4094//b2609//b2308//b2674//b3167//b4392//b1679//b2146//
DcuR-Phosphorylated	b3273//b4070//b3580//b1590//b2240//b2676//b1883//b1429//b1609//
DnaA-ATP	b2197//b1718//b3605//b2498//b2704//b0048//b0720//b3260//b4195//b0166//b3588//b4068//
DpiA-Pasp	b2964//b4131//b2232//b4096//b0756//b0995//b3416//b0574//b0429//b3240//b1263//
DsdC-D-serine	b3091//b1297//b4439//
EvgA-Phosphorylated	b4006//b1901//b4320//b2964//b4511//b0077//b3456//b0874//b0440//b1207//b3751//b4063//b1385//b3566//b3113//
FNR-Fe_reduced	b4203//b3575//b0179//b3240//b0347//b4290//b0895//b2725//b2368//b3431//b0114//b2465//b2341//b2750//b2093//b1779//b0440//b0775//b0221//b2476//b0827//b3727//b0184//b4016//b1620//b4426//b0167//b4476//b4265//b4406//b0062//b1797//b1719//b0202//b3169//b1683//b4009//b4213//b2980//b0783//b1209//b2803//b1620//b1669//b3855//b0679//b0677//b3461//b1263//b0064//b2530//b4004//b3709//b2211//b4008//b0043//b1528//b3511//b3404//b2146//b1738//b3541//b3571//b1130//b0118//b3961//b0937//b3853//b2223//b3688//b2297//b0432//b0063//b0331//b0953//b3575//b4315//b4202//b1388//b4321//b3430//b0515//b2153//b2306//efeU_2//b3457//b4036//b3417//b4139//b2211//b1641//b3753//b2904//b3124//b1615//b2196//b3449//b0622//b2297//b2713//b3243//b1716//b1387//b0774//b2150//b3600//b4392//b2584//b0033//b0431//b1535//b4669//b1102//b3091//b0841//b0996//b2488//b4093//b2630//b2717//b4313//b1394//b3863//b0347//b2916//b3261//b4287//b2488//b1222//b4014//b2725//b4200//b3165//b3541//b2552//b0621//b4431//b1907//b3037//b4567//b4698//b0166//b3265//b2424//b3241//b2963//b0118//b4416//b3431//b1719//b4102//b4431//b1275//b4431//b3452//b0774//b0273//b4290//b3781//b1430//b2801//b0113//b1321//b4416//b3410//b2365//b2500//b3748//b2215//b1392//b3864//b1011//b2287//b3521//b4431//b0366//b4320//b0872//b2752//b1921//b2232//b3453//b1884//b4102//b3859//b1501//b3441//b1670//b3114//b1519//b0996//b3214//b3416//b3723//b3508//b0203//b0782//b3852//b2724//b2964//b0678//b1224//b4313//b4008//b1680//b1036//b1673//b3831//b3599//b4069//b2208//b0721//b3134//b1497//b0755//b3091//b3582//b1012//b0207//b0032//b2559//b2759//b3405//b1244//b0461//b2762//b4318//b3578//b3968//b3278//b0403//b1515//b0349//b2923//b4177//b0615//b1224//b0199//b1131//b2239//b1617//b0886//b0814//b2464//b2996//b3334//b3416//b3756//b2980//b1717//b2675//b1681//b1247//b0613//b3773//b1041//b3855//b3903//b4209//b3905//b3395//b2239//b0114//b0331//b3701//b2202//b0841//b3859//b1588//b2993//b4096//b4315//b3224//b4093//b0153//b1780//b2600//b2572//b4068//b3458//b4265//b1012//b4174//b0161//b4175//b0682//b2961//b3133//b2203//b3134//b0441//b0618//b2557//b0205//b0606//b0191//b4233//b3752//b1779//b1042//b3938//b2200//b0781//b3942//b1225//
FhlA-Formate	b3319//b0331//b3392//b0441//b2151//b2926//b0179//b3367//b0574//b1885//b0814//b0339//b0777//b1594//b3511//b0573//b0350//b1846//b1905//b1732//b2075//b2281//b1499//b2764//b2147//b2107//b1588//b3038//b3756//b2755//
FucR-L-fuculose-1-phosphate	b0820//b2096//b0484//b0450//b2415//b2095//b1748//
Fur-Fe2+	b0451//b4201//b0330//b2481//b0192//b4104//b0841//b0679//b3364//b1671//b1322//b4289//b2481//b1205//b3477//b2307//b3749//b4663//b2990//b4599//b3588//b0945//b3572//b3092//b3902//b0150//b0411//b4238//b2762//b0783//b2764//b4016//b1109//b3959//b0757//b2992//b3242//b1761//b1223//b2215//b2923//b2308//b2197//b1336//b2341//b2211//b4320//b0461//b3312//b0033//b4702//b4240//b2486//b1900//b4319//b0765//b4039//b2488//b4311//b0273//b1020//b0980//b2421//b4313//b2465//b1127//b1641//b3907//b4030//b1007//b3366//b2487//sroD//b0152//b0178//b2926//b3450//b1888//b3581//b4007//b3405//b2366//b3365//b4101//b3912//b2465//b1679//b0335//b4037//b1297//b1023//b1129//b0820//b1021//b3533//b1817//b0937//b4070//b2425//b4007//b4320//b1616//b0043//b3392//b3869//b1905//b2535//b0777//b2925//b2580//b0953//b1747//b1516//b0080//b4324//b1887//b3751//b1858//b4213//b3071//b1112//b2307//b4033//b3241//b2662//b4567//b0827//b4401//b0330//b1516//b2997//b0150//b2430//b0585//b2393//b1850//b3574//b4637//b4019//b2155//
Fur-Mn2+	b3959//b3969//b3541//b0039//b4059//b0570//b1189//b4002//b3543//b4705//b2673//b1826//b1041//b4195//b3429//b4035//b2415//b1512//b1546//b0166//b2801//b0595//b2239//b0184//b1515//b3773//b2307//b3903//b4119//b2554//b1682//b2393//b0896//b0908//b1547//b2838//b3431//b0997//b1588//b3603//b2482//b3231//phnE_2//b2759//b4319//b3408//b3540//b3753//b4311//b4073//b2312//b0033//b2243//b4016//b3688//b4032//b1548//b0617//b4018//b2729//b1680//b2840//b3727//b2424//b1517//b2425//b3578//b4040//b0675//b3278//b4173//b0403//b0366//b2203//b0031//b0683//b2213//b1515//b3458//b4398//b1518//b2742//b2715//b0775//b2721//b4292//b2727//b3124//b0338//b0034//sroD//b0367//b3413//b1247//b4172//b4399//b0995//b2802//b3077//b1744//b0199//b1670//b2407//b0933//b1737//b3277//b1384//b4194//b0886//b1671//b1714//b0463//b2904//b0397//b3035//b1337//b0166//b0683//b2203//b2631//b3227//b2729//b0353//b0032//b0996//b1220//b3566//b1540//b4105//b0181//b1535//b3231//b3213//b0124//b3572//b2614//b2222//b2106//b0805//b1546//
GlcC-Acetate	b0440//b3588//b4382//b3426//b1394//b2552//b4068//
GlcC-Glycolate	b3600//b1262//b3722//b0889//b1673//b3476//b1891//
GlrR-Pasp56	b0523//
IclR-pyruvate	b1226//b4249//b3906//b0929//
IdnR-5-ketogluconate	b3426//b3049//b3451//b4326//b4120//b0125//b2529//b2151//
IdnR-Idonate	b2727//b2755//b2508//b4289//b3116//b0154//b0109//b4241//
IlvY-2-acetolactate	b4233//b4153//
IlvY-Alfa-acetohydroxybutirate	b2987//b1609//
IscR-2Fe	b3424//b2976//b4471//b1113//b3543//b4287//b2841//b2485//b3222//b2416//b4170//b1851//b0061//b0331//b1261//b0429//b2150//b0679//b2241//b1852//b2490//b0682//b4467//b1588//b0351//b1002//b4467//b3667//b0978//b0190//b3580//b2630//b1817//b3667//b3493//b0764//b2731//b1287//b4133//b3753//b0367//
LldR-L-lactate	b2911//b3531//b0596//
Lrp-Leucine	b1246//b0042//b4268//b0721//b0572//b0860//b1670//b2763//b2079//b0678//b3214//b2609//b3049//b2741//b4292//b3114//b3038//b2676//b0037//b0805//b1641//b4074//b2307//b2573//b2631//b0441//b3959//b0203//b0034//b0998//b0168//b1528//b4160//b4177//b2029//b2713//b3565//b2421//b4154//b3753//b2597//b0431//b3212//b0755//b4059//b3414//b1512//b1210//b3071//b0929//b3709//b2465//b0062//b0572//b4008//b3721//b2731//b0976//b4120//b1129//b3329//b4249//b0336//b3902//b2708//b2152//b0776//b4034//b3601//b0153//b4289//b2866//b1982//b2995//b3771//b3859//b3335//b1393//b2529//b2590//b3608//b0340//b0778//b0400//b0348//b2277//b1744//b1493//b3855//b2369//b2675//b3617//b0111//b2805//b0812//b3241//b0349//b4171//b4441//b0598//b3509//b2211//b2278//b0349//b0975//b0755//
LsrR	b0203//b3451//b2152//b4355//b2741//b2147//b2107//b0337//b0397//
MalT-ADP-Maltotriose	b0431//b3757//b1797//b4032//b3532//b0977//b3404//b1497//b0517//b1617//
MalT-Maltotriose-ATP	b2938//b0152//b1272//b4122//b3417//b2241//b0430//b2614//b3320//b4317//
MelR-Melibiose	b0390//b2490//b0190//
MetJ-S-adenosylmethionine	b3583//b1415//b1593//b4024//b0183//b1492//b0522//b0330//b2406//b4314//b2926//b2630//b3134//b4194//b3430//
MetR-L-homocysteine	b1513//b0403//b3321//b2903//b3724//
MhpR-3-DHPP	b4476//b4698//b2631//b2291//b3670//b3476//
MhpR-3HPP	b3093//b0722//b2464//b3457//b0113//b1597//
MntR-Cd2+	b1850//b1714//b4075//b4426//b4426//
ModE-MoO42-	b4198//b1735//b2508//b4118//b2422//b4705//b1745//b4069//b2927//b3752//b4094//b3846//b2281//b1922//b0348//b3171//b2818//b2570//b0296//b4096//b0783//b2508//b4196//b0389//b4316//b0904//b2597//b1904//b1797//b3773//b0756//b3540//b3123//b3414//b1338//b3869//b4016//b2309//b4069//b0440//b0931//b2996//b2755//b3569//b3469//b1415//
NarL-Phosphorylated	b0861//b3845//b1779//b1591//b4131//b4067//b2421//b3025//b2499//b3430//b1265//b3478//b2215//b0774//b0431//b2278//b3025//b1112//b2509//b2993//b0019//b0894//b1042//b0167//b0197//b1022//b3566//b0584//b3759//b0177//b3231//b4471//b4399//b2287//b4324//b4035//b0221//b2211//b1209//b3417//b3668//b2425//b2597//b2344//b0063//b4416//b0872//b2151//b3912//b1587//b0346//b2287//b3701//b3532//b2962//b3759//b3478//b3854//b3318//b0399//b4200//b3828//b3393//b2234//b3615//b3260//b1041//b0587//b3091//b1492//b1212//b0314//b4075//b3076//b1850//b2429//b1321//b1821//b4599//b2675//b0678//b2483//b4119//b1512//b2498//b1407//b4289//b1590//b3959//b1287//b4195//b3332//b3332//b0583//b1225//b3366//b1042//b0198//b3851//b4195//b3161//b1885//b1040//b2207//b1245//b0820//b4139//b3700//b1817//b0765//b3726//b3314//b4249//b0048//b1499//b1301//b1905//b2369//b0957//b2286//b1039//ilvG_1//b1782//b2091//b0623//
NarP-Phosphorylated	b0765//b2704//b1891//b3357//b1043//b4123//b1852//b0903//b0038//b4322//b3721//b1858//b3417//b1589//b1540//b0820//b2976//b2223//b2531//b4154//b1819//b3509//b3328//b2756//b1302//b1881//b0125//b4203//b3172//b2234//b0314//b1263//b2288//b3394//b3601//b4076//b2171//b4439//b3450//b3359//b1597//b1892//b3709//b0622//b4376//b3666//b0841//b1532//b3430//b2755//
NhaR-Na+	b3408//b3437//b1415//b0396//b0042//b2509//b4138//
NikR-Cd2+	b2414//b1493//b0396//b1781//b1982//b1039//
NikR-Co2+	b1129//b3315//b1038//b3863//b1287//b0936//
NikR-Cu2+	b2571//b0757//b2241//b3580//b3405//b2078//
NikR-Ni2+	b1336//b2313//b0366//b2589//b3325//b2923//
NikR-Zn2+	b2224//b4040//b3666//b0684//b0296//b4506//
NrdR-ATP	b0621//b2659//b3225//b1892//b4099//b2975//b0565//b1211//b1430//
NrdR-Zn2+	b4322//b1109//b1886//b1042//b1222//b1324//b3543//b1225//b1389//
NrdR-dATP	b4014//b0903//b2706//b2724//b0205//b4197//b0729//b1384//b2803//
NsrR-2Fe	b4054//b2296//b2283//b2485//b1548//b0347//b2291//b4313//b3971//b1244//b2222//b1301//b0564//b3260//b2492//b0462//b1287//b2371//b2211//b2803//b3036//b0180//b3092//b3769//b2923//b1338//b0903//b3453//b0565//b1212//b1672//b0036//b1112//b1613//b1704//b1392//b0338//b2206//b3510//b2297//b3091//b1892//b0841//b1892//b3409//b3230//b3231//b0116//b0078//b1674//b3911//b0388//b1891//b1023//b2759//b0733//b2554//b2804//b3221//b0784//b3781//b2718//b0062//b2572//b1012//b3241//b1612//b0339//b3925//b3414//b3708//b3167//b2287//
PhoB-Phosphorylated	b0778//b2702//b3070//b0340//b4367//b4313//b1921//b3172//b3423//b3425//b4115//b0970//b4131//b0440//b3242//b3772//b2063//b3907//b1225//b3127//b1674//b3701//b0936//b0484//b1398//b1264//b3265//b2963//b4030//b1716//b2481//b2484//b0189//b3212//b3274//b3668//b3430//b4460//b0347//b2476//b1621//b1130//b3261//b0976//b1246//yegZ//b1243//b1615//b3324//b0720//b1037//b2369//b0034//b3752//b3328//b0384//b4265//b3314//b0517//b0957//b2995//
PhoP-Phosphorylated	b3905//b0184//b3320//b3753//b1920//b4467//b4169//b2280//b4450//b1207//b0039//b1395//b3316//b3333//b1482//b2143//b4106//b3328//b4209//b3333//b1858//b1738//b2704//b3668//b2673//b2840//b1622//b3125//b3469//b4000//b4599//b2715//b3312//b1712//b2407//b4326//b2406//b2373//b0574//b0613//b1008//b2675//b3903//b0198//b0575//b0366//b3260//b1587//b3521//b3601//b2224//b1613//b0221//b1712//b2757//b2213//b4291//
PrpR-2-methylcitrate	b4002//b3610//b3605//b2997//b2572//
PurR-Guanine	b1212//b1264//b0589//b1810//b1920//b0183//b0114//b1036//b1482//b1680//b2927//b2726//b1858//b3117//b3582//b2591//b0679//b4177//b0339//b1021//b1389//b1782//b4393//b2531//b0574//b2590//b3855//b2758//b3869//b1222//b2730//b2366//b0334//b3571//
PurR-Hypoxanthine	b3324//b0928//b2205//b4059//b4139//b0728//b2756//b2366//b3970//b2755//b2079//b1007//b3026//b1530//efeU_2//b3409//b1415//b3393//b4170//b3565//b3769//b4355//b3609//b4075//b3859//b1540//b1497//b3171//b4254//b1247//b2276//b2290//b2531//b2369//
QseB-Phosphorylated	b0080//b3540//b4124//b2367//
RhaR-L-rhamnose	b0931//b2231//
RhaS-L-rhamnose	b2152//b4663//b3414//b2716//b2076//b1007//
RstA-Phosphorylated	b3970//b4313//b2707//b2311//b3727//b2499//b3907//b4288//b0929//b2286//
SoxR-2Fe_oxydized	b3970//b3223//b2240//b0863//
TorR-Phosphorylated	b2718//b1514//b3518//b3123//b0516//b0681//b0814//b3272//b0972//b4393//
TrpR-Tryptophan	b1264//b2559//b0996//b3542//b4240//b0167//b2755//b2423//b0724//b4069//b1475//b0038//
TyrR-L-tryptophan	b2713//b1671//b3432//b0620//b1008//b0368//b1335//b2068//b1012//b0032//b3863//b4439//b0617//b3036//
TyrR-Phenylalanine	b3272//b1798//b2507//b3363//b3241//b1818//b0683//b3688//b2661//b1493//b0862//b0039//b3774//b1499//
TyrR-Tyrosine	b1517//b0974//b2721//b3540//b2980//b3615//b0872//b4471//b1296//b4004//b2731//b0618//b2755//b0400//
UhpA-Phosphorylated	b0953//
XapR-xanthosine	b0156//b4670//
XylR-Xylose	b2980//b0311//b2674//b0042//b3367//b0684//
ZntR-Cd2+	b0863//
ZntR-Hg	b4426//
ZntR-Zn2+	b0450//
ZraR-Phosphorylated	b2697//b4698//b2707//
Zur-Zn2+	b2799//b2528//b4059//b0677//b4320//b2553//
