# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	fadH//guaA//malQ//puuE//
ChbR-Monoacetylchitobiose-6P	mhpA//alaS//lpxD//
CpxR-Phosphorylated	sufS//cysJ//mtlD//lldD//gadB//garK//phnG//upp//citG//psd//gcvH//narG//gadB//cysG//astE//fumB//puuB//ogt//acnB//lyxK//mhpD//ssuE//
CreB-Phosphorylated	dadA//ahpC//tdcB//
CueR-Ag	guaB//ulaF//prs//ascB//
CueR-Cu+	pagP//fucO//trpA//deoC//
CuerR-Au	fadH//bcsZ//sgbH//betA//
CusR-Pasp	icd//yiaK//cynS//
CynR-Cyanate	uvrA//bacA//torC//
CysB-N-acetyl-L-serine	ansB//sdhC//paaG//cysD//tauD//argC//chbG//ubiA//pgaD//gabT//pgpC//atoA//gapA//aspC//purL//dapD//
CysB-O-acetyl-L-serine	uxaB//citF//lysC//araA//bioA//metL//astB//ynfG//ispE//cysM//uxuA//lhgO//cysK//feaB//pta//malQ//speA//
DcuR-Phosphorylated	napC//citF//gutQ//hyaC//
DnaA-ATP	sucA//ilvN//glpA//ackA//glyA//purA//
DpiA-Pasp	tyrA//astB//pgaB//hycB//tauD//
DsdC-D-serine	caiA//ilvN//
EvgA-Phosphorylated	gcvT//serA//phnJ//cysD//serC//
FNR-Fe_reduced	paaE//katG//uxuB//ybjG//betA//xdhB//malQ//cyaA//dadA//speC//cysK//icd//cysN//paaI//cdd//srlD//entB//phnN//lysC//phnP//metB//psd//aceA//gdhA//aceB//moaD//tdcB//argA//yfdE//cysN//rutE//manA//nrdE//moaD//trmD//epd//gltA//tdcB//glpC//bcsZ//iscS//ansB//narI//cynS//lsrK//moeB//oxc//aspC//galT//aroL//citD//mutL//dkgB//frdC//phnP//ynfH//glcD//puuE//tdcB//aldA//entE//rbsD//glpX//betA//mdh//phnN//deoA//hycC//ppiA//argH//idnD//hpt//alkA//phnI//nrfC//pgaC//bioD//garK//hmp//argG//argE//fadH//hyaA//cysJ//hycF//dapB//sodA//ahpC//glpC//argF//trpB//metA//aceA//yfdE//aceE//ahpC//oxc//glnA//astB//rdoA//pdeF//metF//paaG//xdhB//ynfE//deoA//hypF//xapA//guaB//garR//folA//rutA//tdh//ynfE//paaC//fadD//ampD//cysH//guaA//nanM//glpA//ung//dapD//sdhD//glpK//bacA//cysK//
FhlA-Formate	paaB//fabZ//glpX//torC//tsaE//entC//udp//
FucR-L-fuculose-1-phosphate	gltB//chbF//fucI//acnB//eda//bcsZ//
Fur-Fe2+	dadA//fau//glyA//tyrB//cysJ//paaB//ansB//tnaA//narI//metK//glpD//yjeF//aspA//pncB//dapD//ung//glgB//paaH//dapD//glgP//fadJ//zwf//trpA//lhgO//melA//bcsB//galT//rhaA//glpD//rhaD//nirB//entB//purA//nanM//metB//hycD//glpA//cheB//cyoE//phnG//ascB//ispE//fadB//frdA//napB//tam//glpX//nrdD//ppiA//acs//galM//metH//hcp//mhpB//torC//lpxA//speA//ldtB//bglB//purB//rutC//xdhC//moeA//dsdA//cheB//aceA//bglB//frdD//xylB//
Fur-Mn2+	moeB//argC//trpE//rhaD//pnp//icd//astE//glnA//aroG//metK//metE//hemA//fadJ//guaB//pncB//cyoE//astD//sodA//alaS//glgC//betB//speC//sucB//tdcE//ubiX//aldB//bioC//entE//pnp//fadB//fumC//katE//carB//icd//entA//pck//paaA//nrdD//hflX//prpC//prmC//deoA//ynfF//kbaZ//mpl//pnp//puuC//pta//gatD//betA//garK//astD//citG//ampD//entH//acnB//ftnA//miaA//phoA//yfbR//carB//sucC//lpxB//nagB//fumC//tauD//adhE//gabT//hcp//
GlcC-Acetate	rutB//prmC//garL//
GlcC-Glycolate	dmsB//metH//pncB//
GlrR-Pasp56	
IclR-pyruvate	preT//pflB//paaB//
IdnR-5-ketogluconate	rbsK//srlD//pgpC//xdhC//srlD//ilvA//
IdnR-Idonate	tauD//pyrD//narH//cyoE//nirD//phoA//
IlvY-2-acetolactate	paaK//
IlvY-Alfa-acetohydroxybutirate	tdcE//
IscR-2Fe	aldA//hycE//fucI//sdaA//aldB//ulaE//thrS//
LldR-L-lactate	puuD//betB//
Lrp-Leucine	phnP//purE//citG//garL//ppiA//malY//folA//phnI//xdhC//dadX//sucD//xylB//napA//uxuB//citD//trpA//yfdE//araD//tsaE//glyA//pagP//guaB//entC//citD//sucA//yeaE//allC//purA//astB//paaJ//eda//rhaA//gdhA//dnaE//gpmA//purF//allD//mtlD//patZ//
LsrR	ilvC//alaA//uxaA//preT//fucA//
MalT-ADP-Maltotriose	frc//gltD//bcsA//mhpB//fes//pgaC//
MalT-Maltotriose-ATP	fadH//yfdE//phnO//deoD//dadA//ung//
MelR-Melibiose	tehB//frdB//
MetJ-S-adenosylmethionine	prs//napB//paaJ//acnA//uxaA//aldB//hycE//katG//metA//moaA//
MetR-L-homocysteine	puuA//argE//mutY//torA//
MhpR-3-DHPP	hmp//speC//yfbR//tam//adhE//ppiA//
MhpR-3HPP	avtA//ybjG//ascB//kbaZ//ynfG//lysC//
MntR-Cd2+	mutL//lysA//
ModE-MoO42-	puuC//feaB//metB//citX//rutA//eda//lysA//pdeF//deoA//yqjH//atoB//aroG//prpE//tdcG//
NarL-Phosphorylated	avtA//upp//citF//pgpC//araB//moaE//aldB//trmD//lpd//fdhF//trpB//abgA//speB//patZ//polA//napA//tyrA//citC//glgP//tyrB//nrfD//sucA//narG//argA//tehB//pyrC//rutE//lldD//cysC//moaA//caiD//metB//deoD//appA//fabZ//aspC//ackA//citE//
NarP-Phosphorylated	citC//pheS//sucD//folA//rhaD//pyrC//trpE//fes//thrS//aceA//entD//
NhaR-Na+	ppiA//gltA//mhpC//ubiC//acnB//
NikR-Cd2+	lpxB//
NikR-Co2+	moeA//
NikR-Cu2+	mhpD//
NikR-Ni2+	deoD//
NikR-Zn2+	ubiC//
NrdR-ATP	yeaE//dapD//prs//hypF//
NrdR-Zn2+	fabZ//gutQ//dadA//ahpF//
NrdR-dATP	ansB//ynfE//uxaB//torC//
NsrR-2Fe	mutY//ssuD//allC//adhE//mhpE//dkgB//aroL//nagA//hycD//glnA//rutB//folE//appA//purM//malQ//nrdA//dmsA//pgaD//araA//serA//dapD//yfdE//argD//ulaD//pgaC//trmD//gcd//metB//purA//atoA//
PhoB-Phosphorylated	lsrF//gltA//acnA//abgA//purF//puuC//hypB//pta//fucO//xylB//folA//speA//bioF//mhpB//yfbR//hycE//phnM//rnpB//mdh//dkgB//
PhoP-Phosphorylated	tnaA//pta//lpxA//araD//paaC//nagB//rhaD//sodA//fes//miaA//ynfG//pgpC//aldA//pyrC//feaB//alaS//hflX//gadB//agp//pnp//fumC//metF//ssuD//purB//glpA//yiaK//sdhA//phnO//miaA//waaH//cysC//moaD//hypF//torA//ilvE//
PrpR-2-methylcitrate	frdA//pgaC//trpB//bcsB//
PurR-Guanine	melA//pgk//gpmA//mhpC//sdhB//deoC//ilvM//trpB//acnB//narH//ilvC//rhaB//lsrF//phnH//ftnA//caiA//glnA//pyrD//araA//lyxK//pta//mhpC//aroF//argH//trpE//paaA//hcp//
PurR-Hypoxanthine	cysG//bioF//deoD//ilvE//bcsA//preA//hcp//mtlD//mhpE//adhE//nirD//metE//entA//serA//paaI//phnH//kbl//ynfH//fucA//argF//prs//cysN//lacA//pgaD//pheS//aceB//gatZ//
QseB-Phosphorylated	
RhaR-L-rhamnose	
RhaS-L-rhamnose	alkB//eda//lpxB//alkA//
RstA-Phosphorylated	purH//ulaE//pheS//
SoxR-2Fe_oxydized	pheS//gcd//
TorR-Phosphorylated	dsdA//kbaZ//hyaC//
TrpR-Tryptophan	pheT//hycE//sucB//gatY//lysU//purM//ubiG//deoD//ubiX//
TyrR-L-tryptophan	fadB//acnB//carA//ilvM//uxaA//glyA//uxuB//allD//prpD//
TyrR-Phenylalanine	paaE//entC//aceB//nrdF//acs//fabZ//gpmA//ilvH//polA//
TyrR-Tyrosine	agp//paaI//gpmA//dkgB//astB//entD//astC//caiD//nanE//
UhpA-Phosphorylated	sdhD//
XapR-xanthosine	ampD//dapB//
XylR-Xylose	rutB//sdhD//trpD//
ZntR-Cd2+	tdcD//
ZntR-Hg	abgB//
ZntR-Zn2+	caiD//
ZraR-Phosphorylated	
Zur-Zn2+	metL//
