# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	deoA//entB//puuC//chbG//
Fur-Fe2+	aroF//fumB//sucA//cheB//narI//dmsC//bcsA//ndh//patZ//nirB//cyoE//cheB//lhgO//deoC//sucD//entB//caiC//metB//argC//manA//puuC//napA//aroL//citE//cysG//hypF//acs//trmD//pgpC//preT//nrfB//hypF//cysH//pck//trmD//phnN//prmC//purF//malY//allD//rhaD//xylA//argE//recF//garL//uxaB//aldB//entH//betA//ispE//napH//icd//nrdE//sodA//tdh//allE//nrdF//lysA//gntK//hemL//frc//dgcZ//sdhC//folA//aspC//aceF//purE//umpH//ada//
Fur-Mn2+	ung//allD//adhE//bioC//moaD//hpt//gltB//nirB//gutQ//dmsC//cysD//gpsA//metB//citD//polA//katE//alaS//sodB//pheT//udp//purB//paaC//tdcD//preT//dusB//gadB//purA//ssuE//citG//sgbH//oxc//dapD//ynfG//tdh//dmsB//mtlD//glcF//speA//cueO//puuD//guaA//tehB//rhaD//gcvT//pheT//gatZ//nanM//trpE//paaB//uvrA//speC//puuE//fadI//manA//truB//ubiX//metC//allE//ubiG//malQ//ldtC//purL//hemL//acnA//serC//rhaB//lpxD//rbsK//trpC//
GlcC-Acetate	glpK//napH//metB//
GlcC-Glycolate	cheR//sdaA//phoA//
GlrR-Pasp56	
IclR-pyruvate	cysN//ubiA//frdB//
IdnR-5-ketogluconate	xdhA//hcp//phnO//prpC//pdeF//lpxA//
IdnR-Idonate	umpH//dgcZ//xdhB//ilvB//aspA//xdhB//
IlvY-2-acetolactate	fadA//
IlvY-Alfa-acetohydroxybutirate	lpxA//
IscR-2Fe	citE//purA//udp//ulaF//fucK//thrS//hycG//
LldR-L-lactate	fadJ//glcF//
Lrp-Leucine	napG//puuA//dsdA//gatZ//nanA//rutB//edd//sufS//puuB//puuB//tyrA//rbsD//lpd//mhpE//ldtB//sdaA//argC//nrfA//fumA//dnaE//lacZ//hyaC//glcB//fabZ//cysJ//gltA//sucB//astB//uxaC//metL//ilvD//aceB//dusB//avtA//hycC//gntK//tam//ynfH//fucO//
LsrR	gdhA//hyaC//gpmA//upp//pagP//
MalT-ADP-Maltotriose	tdh//ilvE//caiB//rutC//ftnA//aroL//
MalT-Maltotriose-ATP	paaK//ampD//metK//nanM//cysG//napG//
MelR-Melibiose	napA//fadI//
MetJ-S-adenosylmethionine	ilvB//gntK//caiB//treC//hflX//lldD//fau//narI//carB//srlD//
MetR-L-homocysteine	napC//uxuA//alkA//malZ//
MhpR-3-DHPP	citE//ulaE//prmC//ilvB//recF//ilvA//
MhpR-3HPP	cdd//frdB//ung//sdhA//nadC//sucA//
MntR-Cd2+	idnD//aroG//
ModE-MoO42-	speB//fadA//paaC//tyrA//aroF//lpxB//entF//cysJ//paaE//entH//pyrC//xapA//talA//cysI//
NarL-Phosphorylated	metA//purC//caiA//araA//caiB//lyxK//purL//paaK//bcsZ//puuC//uvrA//paaJ//pyrC//fbaA//tnaA//xdhA//fadA//dusB//phnO//glpC//purM//prpB//rutC//ilvI//fes//glpD//ndh//aroH//caiB//cyoE//codA//rnpB//gabT//cyaA//cheB//trpE//frdC//gpmA//
NarP-Phosphorylated	serC//xapA//idnO//phnO//ascB//narH//purH//ackA//dgcZ//malY//miaA//
NhaR-Na+	trpB//aceA//uxuA//sucB//lldD//
NikR-Cd2+	cysJ//
NikR-Co2+	slt//
NikR-Cu2+	rutC//
NikR-Ni2+	aceF//
NikR-Zn2+	ynfG//
NrdR-ATP	adhE//glgC//garK//metC//
NrdR-Zn2+	rutC//pnp//ftnA//murQ//
NrdR-dATP	rbsK//speB//nanM//tdcB//
NsrR-2Fe	gltA//puuA//ynfF//malZ//thrS//paaC//slt//glpK//nanA//argG//tdcD//metL//betA//paaZ//betB//mdh//metL//fumA//allC//moaA//atoD//lldD//codA//deoD//frdC//uvrA//eda//patZ//uxaC//phnO//
PhoB-Phosphorylated	gatD//ilvI//phnJ//malP//purM//tktB//pck//cysG//ynfH//caiA//gdhA//ampD//sodB//agp//acnA//sdaA//tyrB//feaB//napH//cueO//
PhoP-Phosphorylated	puuA//caiC//gltA//tadA//carA//mhpE//caiB//kbaZ//aceA//sodB//aroG//ugpQ//malZ//hemA//sodB//agp//garR//frdA//ldtC//ssuE//glpE//nrfC//malZ//glcD//metK//pgaC//fumA//citX//mutL//citG//mhpA//frdB//fadE//yjeF//gcvT//
PrpR-2-methylcitrate	appA//frdC//ssuD//ndh//
PurR-Guanine	alaA//codA//nrfC//yfbR//xdhA//argH//tdcE//mdh//nrfB//citE//rbsD//glpA//pgaD//preA//gcvT//puuC//sucD//moeB//treC//ackA//pdeF//lsrG//psd//ppiA//iscS//yfdE//nrdF//
PurR-Hypoxanthine	mutY//ilvM//metA//mhpB//idnO//narI//epd//malY//narH//araD//preT//guaB//upp//argI//pagP//sgbE//garR//prpD//talA//sdhD//ugpQ//nrfC//hycG//rutD//tnaA//pgaD//deoA//
QseB-Phosphorylated	
RhaR-L-rhamnose	
RhaS-L-rhamnose	prpC//hycD//ulaE//frdC//
RstA-Phosphorylated	cysK//ubiX//srlD//
SoxR-2Fe_oxydized	astB//pgaB//
TorR-Phosphorylated	argF//sucD//entC//
TrpR-Tryptophan	acnB//mtlD//phnI//mhpE//torA//gadB//fadD//phnN//ada//
TyrR-L-tryptophan	nanE//metH//gatZ//acnB//yjeF//lldD//aceF//frdC//uxuB//
TyrR-Phenylalanine	speB//astA//glcE//serA//alaA//tdcB//ilvC//ubiX//tauD//
TyrR-Tyrosine	mhpE//ilvD//mhpC//ppiA//cueO//aroA//sodB//iscS//nagA//
UhpA-Phosphorylated	prpC//
XapR-xanthosine	kbl//paaJ//
XylR-Xylose	trmD//tdcB//codA//
ZntR-Cd2+	cheB//
ZntR-Hg	hyaC//
ZntR-Zn2+	ilvH//
ZraR-Phosphorylated	
Zur-Zn2+	prmC//
