# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	ubiC//dgcZ//prmC//rhaA//
ChbR-Monoacetylchitobiose-6P	sdhC//pheS//trpE//
CpxR-Phosphorylated	mltC//umpH//acnA//hyaC//ahpC//dmsA//aceF//frdB//tdh//patZ//alaS//tadA//aceF//nadC//malS//psd//nrdD//cysM//rbsD//sgbE//bcsZ//hcp//
CreB-Phosphorylated	tdcD//torA//sdaA//
CueR-Ag	dnaE//napA//cynS//torC//
CueR-Cu+	hypF//uvrA//rdoA//udp//
CuerR-Au	cysI//folA//gpmA//tam//
CusR-Pasp	aldB//fadH//dmsA//
CynR-Cyanate	tnaA//astE//citF//
CysB-N-acetyl-L-serine	nagB//manA//bcsA//dapB//uvrA//tauD//uxaA//udp//garR//tauD//puuC//hmp//sgbE//aldB//aroA//cysD//
CysB-O-acetyl-L-serine	atoA//yjeF//ilvD//gatD//argC//deoA//kbaZ//tktB//ispE//idnK//narG//glpQ//glpE//purK//purB//katG//amn//
DcuR-Phosphorylated	ubiX//psd//ispE//sgbU//
DnaA-ATP	pflB//mhpC//xdhB//torA//hyaC//gatD//
DpiA-Pasp	trpA//citG//appA//sdaA//hycB//
DsdC-D-serine	ogt//yiaK//
EvgA-Phosphorylated	lhgO//appA//lysU//folA//moaE//
FNR-Fe_reduced	deoA//nrfC//lysC//puuC//napB//sucA//deoD//argI//ulaF//glcD//pheT//yfbR//xdhB//hycB//chbG//napA//frdD//icd//ackA//metF//purB//chbG//sgbH//glgB//narG//fumC//prpE//sdhC//galK//deoA//ynfE//rutA//ldtC//purE//phnO//argC//treC//dgcZ//pncB//citE//cdd//deoB//torC//rutE//entA//lpxA//aspC//frdC//moaE//paaC//thrS//gadB//polA//tktB//allE//ssuD//aldA//phnP//rhaD//ada//mhpB//purC//phnH//ung//ilvG_2//ampD//yeaE//purF//hycE//dusB//prs//ubiC//glcF//uidA//patZ//purN//narH//bglB//lsrK//entC//cysN//ynfE//tdcE//ahpC//pck//mhpE//nrfA//mtlD//ilvA//ahpF//rutB//truB//ynfF//metF//lysA//glyA//yfeW//phnP//mltC//gatY//frdC//pncB//speA//trpD//rutC//ilvD//mpl//pyrC//bioC//mhpA//metK//astE//frdC//ndh//adhE//dmsC//glpK//citG//sufS//lhgO//patZ//napC//pgaB//hypB//srlD//tam//sucB//
FhlA-Formate	fadB//lysU//moeA//aldB//kbl//folE//fdhF//
FucR-L-fuculose-1-phosphate	galE//mtlD//ilvM//prs//paaZ//atoD//
Fur-Fe2+	glgB//pheT//glpQ//carB//galE//napG//melA//gdhA//ampD//sucD//tyrA//paaF//hypF//argE//trpB//rbsD//tyrA//argG//glgB//melA//murQ//abgB//yqjH//mhpF//yiaK//astA//dadX//fumA//ilvE//cysK//psd//bioA//aroG//cysN//argF//bioF//metH//sodB//pta//pta//ssuE//phoA//ilvI//sdhA//tdcB//preT//aceF//rbsD//araA//tehB//paaE//tdcE//narG//fucK//lhgO//nrdE//fucI//edd//folE//pgaD//puuE//astD//dnaE//hycE//garK//aspA//entB//tdcD//frc//
Fur-Mn2+	rutA//mutY//prpC//narG//prs//rhaD//purF//ahpF//iscS//argA//napC//pck//lpd//tdcB//tdcE//fadI//ilvB//serA//mhpD//moaA//ilvG_2//sdhD//nrfD//sucD//icd//fucO//galT//moaA//sgbU//sdhA//lacZ//tauD//narI//aroA//mhpA//ybjG//amn//sdhC//gltA//amn//trpD//prpD//katG//atoB//hycB//gutQ//napH//sodB//fucA//gcvT//phnJ//malS//aroF//frdD//lysC//purN//hycG//acs//citC//speB//fes//paaJ//atoD//paaF//entH//aroH//ynfH//purN//entH//
GlcC-Acetate	pgaC//alkA//lacA//
GlcC-Glycolate	narG//ynfH//speC//
GlrR-Pasp56	
IclR-pyruvate	ackA//adhE//xylA//
IdnR-5-ketogluconate	ascB//hcp//moaD//hyaB//umpH//allE//
IdnR-Idonate	sufS//guaA//glgP//udp//metC//argD//
IlvY-2-acetolactate	ppiA//
IlvY-Alfa-acetohydroxybutirate	garL//
IscR-2Fe	rutE//mhpC//aroH//gnd//fadE//uxaA//fau//
LldR-L-lactate	ppiA//lysC//
Lrp-Leucine	paaE//nagB//mutY//abgA//purH//phnJ//bcsZ//metE//cyoE//bcsA//tehB//citX//trpD//ampD//iscS//nrfB//frc//puuA//amn//entD//epd//lyxK//nagB//ackA//prpE//mhpC//paaA//acs//bioA//speA//gabT//pgaC//frdA//lpd//sucD//moaD//manA//dapB//metH//
LsrR	ldtB//prpC//carB//sdhD//codA//
MalT-ADP-Maltotriose	pnp//napH//dapB//napB//torA//katE//
MalT-Maltotriose-ATP	prpD//gnd//ulaF//ampD//glyA//ahpF//
MelR-Melibiose	glpQ//malY//
MetJ-S-adenosylmethionine	moaA//gcvP//deoB//ansB//guaA//nagA//glgP//ansB//gadB//citG//
MetR-L-homocysteine	argH//hflX//uxuA//sucA//
MhpR-3-DHPP	mhpA//nrdA//phnL//pck//astA//carA//
MhpR-3HPP	carB//ssuE//paaG//paaI//aldB//galT//
MntR-Cd2+	mpl//prmC//
ModE-MoO42-	guaA//trpD//paaA//phnO//nrdF//gadB//metE//hpt//speC//frdD//purA//ynfH//cysJ//purL//
NarL-Phosphorylated	ilvD//avtA//hycG//pdeF//purC//sodB//ssuE//cysM//rutB//gapA//ybjG//rhaA//fadA//ulaF//talA//fadH//ftnA//pdeF//ansB//moeB//ulaD//ackA//aceA//ilvE//paaB//purD//fumC//ilvG_1//argG//trpC//paaI//galT//gatD//rutD//trpA//rutE//dnaE//gcvT//
NarP-Phosphorylated	frc//deoC//entC//zwf//trpC//gatZ//nirB//cysN//pnp//glpA//purE//
NhaR-Na+	caiC//nrdB//hyaA//atoD//nirD//
NikR-Cd2+	aroF//
NikR-Co2+	trmD//
NikR-Cu2+	lacA//
NikR-Ni2+	deoD//
NikR-Zn2+	ackA//
NrdR-ATP	pnp//deoB//srlD//hycC//
NrdR-Zn2+	galK//sucC//eda//ynfF//
NrdR-dATP	gltA//polA//napC//icd//
NsrR-2Fe	avtA//nrdD//ilvD//caiB//ldtC//phnP//fucA//tdcD//cheR//ilvE//mhpA//ulaD//citD//paaF//cyaA//tehB//bioD//betB//frdA//slt//atoD//bacA//ilvA//paaA//betA//speB//deoB//fabZ//gatY//nrdE//
PhoB-Phosphorylated	frc//fadH//ackA//yfbR//torC//deoB//lpd//phnH//frdC//cdd//sucB//frdC//nanM//sdhA//caiA//napB//alkB//tdcD//pgaD//prmC//
PhoP-Phosphorylated	phnL//tauD//glpC//lpxD//slt//iscS//tadA//adhE//citC//purN//astC//purF//lacA//talA//glpD//pflB//gcvP//ahpF//yfbR//ldtC//cpdB//narI//yfbR//araB//preA//malP//gcvT//lyxK//moaE//rnpB//sucB//aroF//fumB//galM//ulaE//
PrpR-2-methylcitrate	phnH//paaI//paaZ//torA//
PurR-Guanine	yfeW//nrdB//katG//argG//allE//yfeW//talA//manA//entH//trpE//uxuB//lhgO//ynfE//cynS//aroH//tdcB//paaE//ubiX//aldB//purH//sdhB//argG//mhpC//bioC//lsrG//nanM//entF//
PurR-Hypoxanthine	pncB//allC//cysJ//aroA//serC//ilvC//puuD//rdoA//xylA//galM//napG//ilvG_1//ilvN//galT//pgaB//cysM//gabD//araA//tdcD//upp//trpA//galM//lpxA//acs//metL//purL//dadA//
QseB-Phosphorylated	
RhaR-L-rhamnose	
RhaS-L-rhamnose	ubiC//lyxK//atoD//pflB//
RstA-Phosphorylated	folA//fucK//mutL//
SoxR-2Fe_oxydized	ahpC//zwf//
TorR-Phosphorylated	garR//sucD//slt//
TrpR-Tryptophan	xylA//rhaA//glcF//cyoE//sufS//uxuB//pgaC//galK//nrdE//
TyrR-L-tryptophan	acnB//cysC//ilvN//deoB//yjeF//aroA//hyaC//katG//pheS//
TyrR-Phenylalanine	rutA//trpE//lsrF//entD//fes//katE//cyaA//betB//phnP//
TyrR-Tyrosine	phnO//dmsA//fumA//pta//mhpB//malY//speC//astD//cysJ//
UhpA-Phosphorylated	lldD//
XapR-xanthosine	metL//pyrC//
XylR-Xylose	bioD//uxaA//uvrA//
ZntR-Cd2+	glpE//
ZntR-Hg	fumB//
ZntR-Zn2+	hypB//
ZraR-Phosphorylated	
Zur-Zn2+	ahpF//
