# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	manA//argH//tyrA//mtlD//
IclR-pyruvate	lysA//lpxD//yfdE//
IdnR-5-ketogluconate	glcB//mhpF//nagB//cpdB//tdcD//prmC//
IdnR-Idonate	argF//sdhC//rnpB//gapA//lpd//cyaA//
IlvY-2-acetolactate	puuE//
IlvY-Alfa-acetohydroxybutirate	polA//
IscR-2Fe	glcD//murQ//argG//mpl//melA//nrdA//bacA//
LldR-L-lactate	feaB//argC//
Lrp-Leucine	bioD//entB//gnd//polA//ispE//entC//atoD//deoA//paaA//lsrG//moaE//prpB//ybjG//ldtC//fadI//cpdB//glnA//aroF//dadX//glpK//purF//ung//purF//dmsB//sdaA//murQ//trpA//deoC//mtlD//citD//purE//lyxK//phnJ//umpH//glpA//uxaB//sucC//glpQ//mhpF//
LsrR	argE//purC//dnaE//xdhC//bacA//
MalT-ADP-Maltotriose	moaA//prmC//gcd//nagB//rutE//phnJ//
MalT-Maltotriose-ATP	lysA//bioC//uidA//aceE//ynfH//rutE//
MelR-Melibiose	manA//ilvM//
MetJ-S-adenosylmethionine	serA//trmD//gutQ//tdh//gnd//frc//preA//thrS//nirB//edd//
MetR-L-homocysteine	bioC//tehB//udp//hyaA//
MhpR-3-DHPP	yfbR//tktB//purB//argE//cysG//hpt//
MhpR-3HPP	cysK//dkgB//narI//argA//araA//xylA//
MntR-Cd2+	gnd//hycD//
ModE-MoO42-	oxc//bioB//napC//puuE//glyA//ackA//alkB//galT//pdeF//astE//metL//katE//hemL//uidA//
NarL-Phosphorylated	citE//gcvH//recF//astC//melA//dusB//pheT//sgbE//lpxA//tdcE//iscS//malY//glcF//xylA//alaA//tyrB//entF//aceB//gcvH//ada//prpE//glpC//mhpD//rbsD//purF//fucU//napC//sdhC//mutY//srlD//caiB//hypB//katG//preA//gabT//eda//paaK//cynS//
NarP-Phosphorylated	uxaA//rutD//gapA//fumA//galE//nrdF//idnD//ybjG//phnN//alaA//malS//
NhaR-Na+	prs//rhaD//speB//narH//uxaC//
NikR-Cd2+	hycG//
NikR-Co2+	guaB//
NikR-Cu2+	uxaC//
NikR-Ni2+	phnM//
NikR-Zn2+	trpB//
NrdR-ATP	fbaA//purH//galE//rnpB//
NrdR-Zn2+	lyxK//paaE//slt//sdhC//
NrdR-dATP	caiB//glpD//waaH//deoD//
NsrR-2Fe	glpB//moaD//purB//dapD//gatZ//fadI//entH//ulaD//mdh//speA//ilvE//xdhC//purB//malZ//citF//cysG//tauD//pheT//mltC//aroG//tyrA//prpC//malQ//ubiG//ampD//narI//napG//atoD//araA//mhpF//
PhoB-Phosphorylated	hypF//fbaA//alaS//aspC//fadJ//prmC//glpQ//dadX//ubiG//ubiG//lpxB//pyrC//narH//rutE//slt//fabZ//pgpC//hypF//gatZ//paaF//
PhoP-Phosphorylated	hmp//allD//paaH//nanM//tnaA//ilvH//folE//cueO//tam//moeA//patZ//sgbU//nadC//dmsC//torC//fadA//uxuA//uidA//puuC//argH//uxuB//pgaC//aceB//hmp//metF//tehB//metA//hyaA//citE//citD//fadI//agp//nrfC//paaB//nrdE//
PrpR-2-methylcitrate	entD//puuB//xapA//metA//
PurR-Guanine	ispE//tadA//dmsA//galK//alaA//speB//bioD//yjeF//bacA//speA//bioC//yqjH//amn//metC//gntK//metK//fumB//hyaA//hflX//bcsA//sdaA//tyrA//sdaA//epd//hcp//guaB//metA//
PurR-Hypoxanthine	narI//rbsK//idnD//fadA//patZ//araA//trpB//phnG//ilvE//puuB//cpdB//malZ//guaB//atoA//udp//nrdF//hycD//gatZ//uvrA//aldB//trpB//atoD//narI//yjeF//xylA//carA//bioF//
QseB-Phosphorylated	
RhaR-L-rhamnose	
RhaS-L-rhamnose	ugpQ//gcvH//argH//entH//
RstA-Phosphorylated	ilvI//galT//fbaA//
SoxR-2Fe_oxydized	speA//cysC//
TorR-Phosphorylated	uxaA//glcB//pnp//
TrpR-Tryptophan	glnA//aceB//purM//araA//fucA//ilvG_1//yqjH//malY//glcD//
TyrR-L-tryptophan	ldtB//fucO//purM//fau//glgP//bioD//gadB//glpB//uxuB//
TyrR-Phenylalanine	metE//glpX//pgaD//yfeW//acnB//ndh//mhpC//narI//pgaB//
TyrR-Tyrosine	frdA//patZ//frdC//mltC//ynfF//aceB//yfbR//aceF//gntK//
UhpA-Phosphorylated	nrdA//
XapR-xanthosine	dkgB//dgcZ//
XylR-Xylose	cadA//entF//sgbE//
ZntR-Cd2+	ybjG//
ZntR-Hg	glpB//
ZntR-Zn2+	tktB//
ZraR-Phosphorylated	
Zur-Zn2+	metC//
