# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:02:19 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation/random_sets/conformation_enzymes.txt
Ada-Methylated	lysC//sgbE//purC//sgbE//
ChbR-Monoacetylchitobiose-6P	nagA//xdhC//fadD//
CpxR-Phosphorylated	waaH//hyaC//citC//rbsD//ilvG_1//paaC//uvrA//sdhC//nrdB//sdhB//fumC//aceF//cdd//xdhA//citC//galK//appA//argB//deoD//metF//sgbU//slt//
CreB-Phosphorylated	atoB//lpd//galM//
CueR-Ag	frdD//yjeF//uxuB//ilvA//
CueR-Cu+	lldD//garR//gnd//argD//
CuerR-Au	glcF//deoC//astA//metL//
CusR-Pasp	argA//iscS//gutQ//
CynR-Cyanate	mhpA//lpd//serC//
CysB-N-acetyl-L-serine	cysN//bioA//gatD//ynfH//fucU//cheB//gatZ//tsaE//lldD//polA//ahpC//speC//lldD//prpE//cysH//speC//
CysB-O-acetyl-L-serine	paaG//nadC//dmsA//lsrG//edd//galK//nrdF//fumC//yfeW//ulaE//thrS//lhgO//ilvH//argC//entF//citC//mutL//
DcuR-Phosphorylated	sucC//lysC//ugpQ//sodB//
DnaA-ATP	dmsB//hypF//xdhC//sgbE//hycG//glyA//
DpiA-Pasp	gatZ//astE//paaK//pgaD//hflX//
DsdC-D-serine	ppiA//kbaZ//
EvgA-Phosphorylated	cynS//ftnA//hyaA//pck//ascB//
FNR-Fe_reduced	napH//treC//lpxD//uxaC//speB//xylA//hmp//ogt//fadE//moeB//fdhF//xdhA//gpmA//aceA//dadX//phnH//rdoA//entC//ilvA//xapA//bcsA//alaS//frdD//lysU//bcsA//purN//trmD//hyaA//sgbH//ilvG_2//treC//citD//xdhA//glpK//alkA//cpdB//mutL//cysG//glgC//ldtC//glcF//moeB//gatY//araD//uvrA//sdhC//paaH//dadA//yeaE//bcsB//hycE//phnJ//acnB//purK//napH//mhpC//uxaA//hflX//malS//ssuD//edd//allC//fucA//dadX//cysC//bioA//glpX//cadA//bcsB//frdC//caiC//sgbU//cdd//pyrC//glcD//allC//avtA//dmsC//puuC//lpxB//hycB//cysN//astA//gcvH//atoA//galT//atoD//idnD//idnK//phnJ//srlD//talA//dusB//lpd//uidA//fes//ansB//carB//lpxB//gadB//nanM//dapB//metL//araB//fucU//xdhC//purH//gapA//mhpE//rbsD//purD//cysI//carA//ulaD//bioA//rhaB//argD//aldA//pgpC//rbsD//sdhC//hflX//hemA//caiA//sdaA//uxuA//sdhA//
FhlA-Formate	allC//araD//aroG//dkgB//glgA//fadJ//gcvT//
FucR-L-fuculose-1-phosphate	tdcE//cysN//xylA//cysN//ansB//alaS//
Fur-Fe2+	citF//bioA//bcsA//lyxK//ahpF//argB//metH//ilvH//sdhD//prpB//dadA//metH//aspC//preA//yqjH//araD//dnaE//paaK//sucD//argD//astC//ilvB//trpD//xdhA//nirB//ansB//eda//lpd//prpD//mhpA//cheR//folA//cysM//dapB//sucC//preA//lpxB//gpsA//speC//ugpQ//uxaA//torC//truB//phnP//pnp//dmsB//ilvA//ispE//rutB//allD//ogt//ynfH//gabT//frc//sdhD//nrdF//pncB//uxuA//ulaE//bglB//uxuA//cysH//tdcB//ahpC//cyoE//lsrG//araB//yjeF//metK//
Fur-Mn2+	phnJ//argD//purD//speC//trpD//dusB//nrdB//idnK//udp//metK//oxc//abgA//ulaF//nrdD//malQ//prpB//ilvD//lldD//aspC//abgA//purH//pncB//bcsZ//cysI//astD//purB//citE//preT//idnO//frdC//ubiX//narG//sucB//galT//psd//metB//alkA//sucC//dgcZ//mhpC//glgA//hycE//mutY//glpQ//aroG//citD//phnH//ybjG//cadA//glgA//truB//argH//rutC//ulaF//purN//dmsC//rbsD//mhpD//glgX//dmsC//melA//deoD//cysH//sodB//purL//ispE//phnN//betA//ilvG_1//
GlcC-Acetate	ansB//gltA//aspA//
GlcC-Glycolate	ilvE//pgpC//xdhA//
GlrR-Pasp56	
IclR-pyruvate	gatZ//pgaB//tauD//
IdnR-5-ketogluconate	bcsA//purK//glpE//carB//alkA//paaI//
IdnR-Idonate	ynfG//preA//nagB//hemA//paaJ//recF//
IlvY-2-acetolactate	nrfC//
IlvY-Alfa-acetohydroxybutirate	gcvH//
IscR-2Fe	nanM//fumC//glcB//hcp//serC//hypF//ilvI//
LldR-L-lactate	glnA//phnL//
Lrp-Leucine	cysD//idnO//cysK//puuE//cyoE//fucO//aroA//bacA//bcsB//chbG//ackA//treC//fucI//dmsB//cheB//speA//cyaA//moaE//oxc//prpD//adhE//trpE//nrfB//frdB//moeA//patZ//betA//pheT//glcB//hyaC//malQ//paaE//lsrG//sdaA//torC//moaA//nanK//glcF//hypF//
LsrR	moaE//carA//napC//patZ//caiC//
MalT-ADP-Maltotriose	pflB//torA//trpC//psd//lhgO//cysG//
MalT-Maltotriose-ATP	nrdF//pgk//hypB//ynfH//pagP//feaB//
MelR-Melibiose	tyrB//chbG//
MetJ-S-adenosylmethionine	uxuA//umpH//cadA//melA//ascB//fucU//tdcG//edd//fabZ//citE//
MetR-L-homocysteine	uidA//bioB//abgB//argI//
MhpR-3-DHPP	preT//fadD//rutB//dapB//lsrG//cpdB//
MhpR-3HPP	hypB//lhgO//fadH//moaE//ascB//aroA//
MntR-Cd2+	nrdD//cueO//
ModE-MoO42-	argB//gcvP//ubiA//araB//idnO//allE//gcd//glnA//sucC//hyaB//aroH//fbaA//argH//fadA//
NarL-Phosphorylated	phnI//hycD//rnpB//nrdD//fucK//cysM//lpxA//lacA//speC//nagB//mhpA//chbF//sucB//phnG//tdh//yfbR//ssuE//ynfG//rnpB//gcvT//sdaA//gcvP//pyrD//psd//preA//caiB//entF//gadB//uxaC//ilvH//fucO//moeB//pyrD//phnL//glpC//fadD//polA//atoB//
NarP-Phosphorylated	nrdB//ahpC//garK//polA//lacZ//fes//hmp//aroA//pyrC//paaI//rutB//
NhaR-Na+	chbF//cysD//pgaB//moeB//abgB//
NikR-Cd2+	xylA//
NikR-Co2+	glpC//
NikR-Cu2+	glcD//
NikR-Ni2+	ssuE//
NikR-Zn2+	acnA//
NrdR-ATP	malP//tnaA//prs//paaZ//
NrdR-Zn2+	purN//mhpC//entB//ilvA//
NrdR-dATP	mdh//dsdA//patZ//kbaZ//
NsrR-2Fe	paaA//ssuE//lyxK//puuE//mutL//ndh//xapA//frdC//hyaA//atoB//tdh//argA//uidA//deoA//ispE//ubiA//speC//amn//miaA//paaC//mhpA//gapA//ascB//entH//lsrG//tdh//aroG//mpl//tsaE//gpmA//
PhoB-Phosphorylated	xylA//betA//bcsZ//tdh//bioA//ulaD//phnP//gcd//tdcB//guaA//ugpQ//galT//ispE//cysM//rhaD//dapD//nirB//rutE//caiD//hmp//
PhoP-Phosphorylated	paaH//umpH//xdhB//chbG//yqjH//fdhF//frdD//astC//hflX//psd//codA//malY//cysK//argA//sucB//ahpC//phnJ//torC//fadJ//aspC//amn//ubiC//dmsB//yfeW//hflX//dmsA//aldA//hyaC//glpD//ybjG//nagA//pyrD//paaA//tdcG//citX//
PrpR-2-methylcitrate	glgC//mhpA//mdh//adhE//
PurR-Guanine	deoB//argH//sdhD//bioB//betA//citF//gatD//pgk//dusB//tdcD//cysJ//glnA//gabD//frdD//fucK//psd//cadA//rbsK//glcE//nrdF//ada//xylA//nagB//astC//alaA//tyrA//puuA//
PurR-Hypoxanthine	napC//astC//paaB//umpH//mhpB//dmsC//glgA//truB//argA//ogt//lsrG//appA//mhpA//bioB//gatY//miaA//hycE//cysN//dadA//glgA//lsrG//chbF//rdoA//puuA//gcvH//araD//caiC//
QseB-Phosphorylated	
RhaR-L-rhamnose	
RhaS-L-rhamnose	nrfC//lldD//fumC//lpxB//
RstA-Phosphorylated	ynfG//pta//lysA//
SoxR-2Fe_oxydized	uvrA//deoD//
TorR-Phosphorylated	ssuE//dsdA//patZ//
TrpR-Tryptophan	metE//citE//cheB//hmp//pnp//fumA//mtlD//mdh//metK//
TyrR-L-tryptophan	dusB//glpQ//hcp//cysD//fumA//gcvH//yeaE//mutL//ilvA//
TyrR-Phenylalanine	lpxD//paaK//fumB//fadJ//patZ//nirB//sodB//lpd//aroH//
TyrR-Tyrosine	entH//glgA//paaB//phnN//ubiA//ilvG_2//hycG//ynfE//ynfH//
UhpA-Phosphorylated	prmC//
XapR-xanthosine	bioA//ilvG_1//
XylR-Xylose	ftnA//ilvM//sdhB//
ZntR-Cd2+	zwf//
ZntR-Hg	paaG//
ZntR-Zn2+	prpD//
ZraR-Phosphorylated	
Zur-Zn2+	cpdB//
