# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	tdcD//dinB//
MraZ	lysU//hycE//amn//astE//glsA//wrbA//alkB//luxS//entC//asnB//
MurR	fumC//glpA//hycC//
Nac	garR//ubiX//rffH//glk//slt//pagP//xylB//pdeL//carA//phnP//sbcC//
NadR	cysC//cynS//ilvD//lpxA//
NagC	ahpC//treC//nrdB//appA//accC//tktB//tyrA//srkA//hycB//caiC//kbl//bglB//rutC//ynfG//dadA//gatZ//rhaB//uxuB//poxB//
NanR	waaZ//lacZ//argE//phnP//udp//mdh//
NarL-Phosphorylated	nrfA//ppsA//garK//speA//gadA//lsrK//trpE//trpB//aspC//gatD//astC//dgcZ//aceA//codA//aspC//sgbE//murF//argF//allA//rtcA//pdeL//aspC//hcaB//garR//pgaC//ugpQ//ssuD//trpD//appA//argB//gutQ//frdA//oxc//caiB//rutE//alaC//pgaC//speA//citX//fabG//aceB//
NarP-Phosphorylated	speB//murE//fabH//puuA//galT//adiA//sdhA//folA//narG//relA//ahpF//mhpE//ilvC//purD//sucB//
NemR	gloA//ynfE//
NhaR-Na+	gutQ//rpiB//fabZ//fadH//tyrB//
NikR-Ni2+	gntK//
NimR	nanA//
NorR	lpxA//
NrdR-Zn2+	pyrC//mhpF//alaC//glk//
NsrR	puuE//ilvA//glxR//pflB//nrdB//hyi//adiA//wecE//arsC//hycB//accA//avtA//ynfH//pdeR//fumB//mdh//pykF//metB//pflB//uvrC//rbsD//gadA//citF//caiC//ulaF//ruvA//glxK//ilvM//hemH//ahpC//relA//patD//rnpB//dmsC//fadE//glcF//trpD//lysA//lhgO//fabG//
NtrC-Phosphorylated	aroF//bacA//ldtB//dsdA//rbsD//aspC//trpD//fruK//purK//ccp//caiC//metH//grxA//nrdF//bioC//napA//purF//fucU//tdcG//ynfG//metE//
OmpR-Phosphorylated	fabH//ubiC//metC//murE//glmS//fadA//purK//gatY//
OxyR	tauD//fadJ//metB//xylA//hcaE//astB//cysM//cysG//paaA//torC//narG//srlD//accD//hyaC//argG//glxR//appA//
PaaX	ruvB//rutE//torC//puuE//moaE//moaD//fucO//pfkA//tehB//
PdeL	garR//
PdhR	uvrB//ygeA//psd//lpd//accD//leuA//metH//folE//tynA//aspC//sdaA//dkgB//epd//purH//cynT//dinB//tdcG//mhpA//pgm//luxS//yfdE//codA//treC//cysN//accA//
PepA	ynfE//hcaC//
PgrR	gloA//argD//
PhoB-Phosphorylated	uxaA//lsrF//frdC//atoD//nrfA//fadA//paaY//narG//sbcC//sdhB//galM//rffC//pgaD//truB//hypF//rpiB//ilvM//purC//gltB//cynT//
PhoP-Phosphorylated	phnN//cysH//feaB//waaH//polA//nrfA//pyrD//gabD//gudD//moaA//mhpC//murD//ydcS//glgB//folE//sdhD//moeB//ndh//trpE//argE//ung//cysK//gutQ//gudD//fabD//allA//yfdE//sbcD//yedX//phnH//fumC//paaF//
PrpR-2S3S-2-methylcitrate	mhpD//ssuD//phoA//paaC//
PspF	cysE//
PurR-hypoxanthine	xapA//appA//oxc//speA//tynA//sgbE//icd//lpd//glpK//rbsD//ppc//hycC//ruvA//entF//caiD//murD//dadX//garK//citD//rfe//glgC//tehB//narG//bioF//galK//folA//
PutA	fbaA//fabB//
PuuR	ulaG//cadA//uxaB//argD//fadB//alkB//
QseB-Phosphorylated	
RbsR	ygeA//speB//nrdD//lhgO//dadX//
RcdA	aceA//
RclR	
RcnR	argG//
RcsAB	tadA//glcD//umpH//
RcsB-BglJ	cynT//dsdA//
RcsB-Pasp56	caiA//talA//gcvP//metF//
RelB	cysC//
RelB-RelE	carB//
RhaR-alpha-L-rhamnopyranose	
RhaS	narI//
RhaS-alpha-L-rhamnopyranose	carA//metH//tauD//allB//
Rob	rfe//malZ//umuC//mazG//sodA//allE//metK//entF//metC//lsrG//mpl//garL//oxc//moeB//ascB//dgcZ//pheT//ogt//sucC//
RstA-Phosphorylated	glpB//rutD//frdC//
RtcR	oxc//ilvE//
RutR	alsE//galM//dgkA//argG//rffM//fadE//paaA//phnI//prs//pgi//trpA//
SdiA	
SgrR	gntK//murI//metB//
SlyA	garR//moaC//srlD//glyA//cynS//tdcE//fadH//entH//purA//
SoxR	rffM//rutB//glgA//glgP//cyoE//mtlD//
SoxS	waaH//pnp//ndh//glgC//fabA//cynS//speA//fadH//malZ//dkgB//murF//fumC//paaJ//pagP//fumC//fes//mhpD//gpmM//idnK//atoA//fucA//cueO//entA//phnO//rffM//glpX//gloA//trpD//
SrlR	sucC//galE//garD//
StpA	cysC//cysN//hemL//
SutR	purL//relA//
TdcA	ulaG//paaB//entD//feaB//rtcA//
TdcR	lldD//sgbE//ilvH//sodA//glcE//
TorR-Phosphorylated	rtcB//ndh//tdcB//mnmG//
TorR-TorI	phnJ//
TreR	uxaC//rbsD//
TrpR-tryptophan	gnd//napG//ftnA//srlD//metA//patA//ftsI//ilvD//accA//
TyrR	sucD//
TyrR-phenylalanine	fumC//malY//
TyrR-tyrosine	nanK//araA//kbaY//uxaB//hcaE//metB//asnA//moaE//
UhpA-Phosphorylated	uidA//
UidR	ada//atoD//
UlaR	bioB//ogt//ubiX//glgC//caiA//
UvrY-Phosphorylated	sodB//entD//
UxuR	garR//tdcD//codA//sgbH//nfsA//
XapR-xanthosine	napH//argA//
XylR-xylose	paaH//paaZ//paaY//
YdeO	udp//sucB//araD//
YefM	lysC//
YefM-YoeB	nagB//
YeiL	
YhaJ	
YiaJ	dhaM//tauD//atoA//ilvD//patD//hycE//
YjjQ	sodA//phnL//
YpdB-Phosphorylated	
YqhC	rutC//purA//
YqjI	fucK//
ZntR-Zn2	allE//
ZntR-Zn2+	caiD//
ZraR-Phosphorylated	
Zur-Zn2	ppsA//
Zur-Zn2+	nanE//
