# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	edd//rhaD//
Fur-Fe2	phnH//betB//araA//fadJ//glmU//dadX//eno//rffT//iscS//garD//entE//pdeH//alsE//aspA//paaE//malP//fucA//deoD//nrfA//ugpQ//hycD//napG//dmsC//ftnA//glgC//alaS//gpmM//fucU//fruK//pyrD//serA//malZ//narI//ribA//pgm//purH//pgaC//hypB//lpxD//yfdE//dadX//ulaD//lldD//hemH//pheT//amn//chbF//guaB//hmp//murG//pheT//luxS//leuB//gdhA//allE//carB//nemA//argE//entA//caiC//xylB//caiA//
GadE	avtA//cysC//carB//mdh//galT//paaK//glyA//phnP//rnpB//accA//
GadE-RcsB	napG//moaC//cynT//purK//atoA//
GadW	poxB//lsrG//ilvE//metE//
GadX	nanA//napA//wzb//dsdA//ung//dkgA//araB//paaJ//paaY//sucA//mhpA//alaA//mdh//garD//
GalR	paaE//garK//glyA//phnH//recB//lsrF//
GalR-beta-D-galactose	dhaK//idnK//glpC//poxB//icd//
GalS	dsdA//melA//ppc//lldD//ilvD//hypB//
GalS-beta-D-galactose	tktB//rffT//ppc//ilvD//deoD//
GatR	glpD//bacA//galE//
GcvA	sdhD//gor//prpE//
GlcC-glycolate	sdhC//dadX//ubiC//
GlpR	sufS//treC//prpC//lpxA//glgX//nanK//melA//
GlrR-Pasp56	
GntR	sucD//gor//frdC//metF//alsE//rffT//waaY//deoB//ssuE//
GutM	mhpD//paaA//narG//
HU	metB//ulaG//hcaD//moaD//deoA//cysN//ccp//
HcaR	
HcaR-HCA	psd//ftsI//
HdfR	
HigA	phnN//
HigB-HigA	paaK//
HipAB	hypF//metC//
HipB	rutB//murC//napB//
HprR-Phosphorylated	hyaC//metC//uvrA//astE//
HyfR	nirD//
HypT-Met-oxidized	betA//nirD//grxA//fes//sucA//oxc//moeB//
IclR-pyruvate	garD//alaS//paaF//
IdnR-5-ketogluconate	nanM//chbF//ynfG//dmsA//pgi//
IlvY	
IlvY-S-2-acetolactate	speG//
IscR	cadA//cysI//ynfE//paaK//tdcB//hyaC//
IscR-2Fe-2S	wecB//aroF//
KdgR	allE//fabB//
KdpE-Phosphorylated	paaH//
LacI	phnO//atoA//allA//
LeuO	aceE//uvrC//sodA//hcaE//ydcS//glxK//
LexA	dgcZ//ulaF//ubiX//narG//phnH//pyrD//hcp//fucO//metA//bioB//aspA//ulaG//pflB//phnH//ilvM//fucU//gcvP//paaB//puuD//argG//pagP//nrfC//phnG//
LldR	aroH//mhpE//
LldR-S-lactate	uvrA//dhaL//
LrhA	
Lrp	prs//glsA//cysE//betA//fabI//hcaD//trpE//galK//lacZ//hcaF//ilvG_1//araD//cysE//idnO//ulaF//dadA//phnI//relA//ftnA//ulaG//dapB//ilvI//caiD//hycE//rimK//torA//hcp//waaZ//recF//gadB//napG//
Lrp-leucine	ugpQ//dgcN//speA//fabH//tyrA//mhpA//dkgB//pspE//dadX//tnaA//guaB//yeaG//cysI//phr//nfsA//eda//ldtD//
LsrR	pheS//prpC//phnG//galE//chbF//
LysR	betB//
MalI	mpaA//ogt//
MalT-maltotriose-ATP	fucI//prs//narI//ubiX//adiA//gdhA//
MarA	murF//gor//moaC//mngB//moaE//lysA//ruvA//rffT//uvrA//paaK//sdhD//carA//metB//glpB//katG//metL//pdeR//hcaC//deoB//metL//fadJ//carA//metA//nagB//
MarR	
MatA	gloA//
MazE	sgbH//
MazE-MazF	pgaC//
McbR	
MelR	gatD//murD//
MelR-melibiose	gdhA//glxR//
MetJ-adenosylmethionine	ulaG//caiA//napG//mhpD//aceA//yiaK//allE//ppsA//tyrA//caiB//
MetR	patD//purD//
MetR-L-homocysteine	lsrF//mtlD//
MhpR-3HPP	ttdA//lysA//sdhC//kbaY//glnA//hcaE//
Mlc	fabZ//gatZ//fabB//glmS//
MlrA	alsE//
MngR	araB//recD//
MntR-Mn2+	frc//metF//
ModE-MoO42-	trpB//ccp//lpxA//tynA//entA//glcB//citX//glcE//udp//galE//polA//argF//fau//yfdE//rfe//gltD//araA//
MprA	purF//frdB//rffC//
MqsA	phr//alsE//
MraZ	alaS//argE//ftsI//glsA//astC//entE//hemH//waaZ//phnI//xylA//
MurR	bioA//dmsB//lysA//
Nac	argE//feaB//prpB//cueO//fabA//glgP//prpE//pdeL//dkgB//fau//fadD//
NadR	acnA//torC//rimK//zwf//
NagC	narI//lpxA//sucC//aroH//deoD//idnK//nrfC//lsrF//ygeA//gudD//nfsB//ogt//carB//gntK//mhpB//hcp//metK//phnH//malQ//
NanR	ubiC//glgP//tnaA//rutB//folA//ttdA//
NarL-Phosphorylated	ndh//nrdE//ruvA//nrdF//astA//mhpE//metA//mhpA//aldA//aceF//paaB//entF//glcF//ruvB//citX//betA//metC//mhpB//pgaC//paaG//entE//entA//iscS//metC//uxaC//nanM//torA//kbaY//gltD//astB//yqjH//rutC//tadA//ahpF//wrbA//allE//speA//sdhB//entH//bioF//paaC//
NarP-Phosphorylated	cysC//ldtB//pagP//nagB//pyrC//aroG//trpD//mnmG//gpmM//glcB//uxuA//ulaE//gcvT//folA//ycjG//
NemR	entB//mhpD//
NhaR-Na+	ychF//nrfC//ilvH//fabH//sdhC//
NikR-Ni2+	betB//
NimR	phnM//
NorR	eda//
NrdR-Zn2+	cyoE//gadB//codA//galM//
NsrR	hyi//trpD//cysM//adiA//fucK//pgk//uxaB//rpiB//polA//nanK//icd//idnO//nanM//phnM//ahpF//metB//astB//glcF//puuD//astB//narG//ychF//speB//cysM//eno//rtcA//argE//xapA//grxA//mhpF//serC//nanK//sgbE//kbl//ppc//tktB//napA//nagA//fabG//hypF//
NtrC-Phosphorylated	moaD//araA//srkA//carB//umpH//pflB//relA//sucC//lsrG//sdaA//mhpB//hycC//tadA//argH//allD//sufS//galT//sbcD//cynS//mngB//ubiX//
OmpR-Phosphorylated	hcaF//allB//tehB//wzb//nrdF//pheT//aldA//cadA//
OxyR	rutD//dhaM//fdhF//yfdE//yqjH//pgi//rhaB//rutC//glmU//serC//murF//galT//zwf//fabZ//cysJ//pgm//recF//
PaaX	rhaB//lysA//ttdA//ppiA//tehB//lpxD//metH//metK//citF//
PdeL	pgaD//
PdhR	dmsC//gadA//fes//argI//puuA//lacZ//entD//nemA//acnA//fruK//pnp//torC//paaG//narH//edd//ftnA//astE//arsC//fucK//fadI//feaB//ttdB//arsC//purE//cysH//
PepA	rffM//fabI//
PgrR	aceE//tdh//
PhoB-Phosphorylated	purA//dapB//ilvH//idnK//leuA//tdcB//argG//fucU//accC//dkgB//cysM//ubiX//ybjG//argI//glxR//alsE//galK//guaB//bioB//talA//
PhoP-Phosphorylated	aldA//argB//yqjH//ada//waaZ//mtlD//umuD//glxK//ilvM//gudD//tdcE//kbaY//alsE//metC//glpA//avtA//mnmG//murQ//metK//ndh//puuE//betB//ilvH//ynfH//feaB//cysE//gatY//phnL//deoC//metH//purE//fucI//
PrpR-2S3S-2-methylcitrate	ttdA//srlD//ruvB//sdhD//
PspF	metH//
PurR-hypoxanthine	cynT//uidA//torA//sucB//rhaD//tyrA//wrbA//ruvA//rffM//nrdD//lsrG//glgA//ftnA//rsmH//pgaC//dgcN//nrdA//srlD//lysU//rpiB//xylA//bioC//pnp//sdhB//araB//tpiA//
PutA	entD//recB//
PuuR	rhaB//fadD//phnP//purN//sdaA//mhpB//
QseB-Phosphorylated	
RbsR	glsA//gltD//tpiA//prs//tnaA//
RcdA	glxR//
RclR	
RcnR	sbcC//
RcsAB	gabD//murQ//recD//
RcsB-BglJ	nrfA//dhaM//
RcsB-Pasp56	metE//wrbA//sucC//dsdA//
RelB	glnA//
RelB-RelE	trpC//
RhaR-alpha-L-rhamnopyranose	
RhaS	hcaE//
RhaS-alpha-L-rhamnopyranose	rbsK//srlD//phnJ//moaC//
Rob	fadM//lysC//paaI//thrS//ilvE//poxB//nrdD//nanE//aceF//mpl//paaG//ilvC//nagB//puuA//fadM//dadX//leuC//fumC//gatY//
RstA-Phosphorylated	trpC//cysN//umuD//
RtcR	nanA//dkgB//
RutR	ldtD//phnJ//folA//lysA//tdcD//fucA//purL//metA//puuC//frdC//deoA//
SdiA	
SgrR	ndh//gadA//rsmH//
SlyA	entA//nemA//gabD//yfdE//mhpE//uxaB//wecB//sbcD//pyrD//
SoxR	rbsD//astA//atoA//entE//entE//moeA//
SoxS	pgaD//malP//astC//cadA//patD//glxR//sucD//atoD//gcvP//sdhC//luxS//udp//torA//lsrK//avtA//dapB//glpD//aspA//nrfA//ycjG//gcvP//pdeL//codA//asnB//malS//recB//pdeH//fes//
SrlR	asnB//caiB//nfsB//
StpA	pdeR//paaG//yqjH//
SutR	nrdD//gcvP//
TdcA	aspC//rutB//atoA//pfkA//alkB//
TdcR	bioD//nemA//bioF//recF//gcvT//
TorR-Phosphorylated	ahpF//phnJ//murE//murQ//
TorR-TorI	hmp//
TreR	bioB//pnp//
TrpR-tryptophan	dgkA//tadA//sdhC//nrdF//yqhD//malP//tktB//purE//rffH//
TyrR	lysC//
TyrR-phenylalanine	eno//mraY//
TyrR-tyrosine	fadH//lpxC//argC//tnaA//uvrC//rffT//codA//gadB//
UhpA-Phosphorylated	ydcS//
UidR	araA//phnM//
UlaR	aldA//umpH//mraY//fabD//moaD//
UvrY-Phosphorylated	garR//hycF//
UxuR	udp//citE//mhpF//gadB//puuB//
XapR-xanthosine	ubiA//idnD//
XylR-xylose	ada//rsmH//ygeA//
YdeO	gatZ//rffT//ulaD//
YefM	pflB//
YefM-YoeB	glcD//
YeiL	
YhaJ	
YiaJ	prpC//rutD//fadD//uxaA//paaJ//cysJ//
YjjQ	cysE//phnL//
YpdB-Phosphorylated	
YqhC	mdh//cysN//
YqjI	mngB//
ZntR-Zn2	allE//
ZntR-Zn2+	fucU//
ZraR-Phosphorylated	
Zur-Zn2	rbsD//
Zur-Zn2+	nirB//
