# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	glpC//nrdB//
Cra	tam//lacZ//cdd//frdA//malP//pck//murC//pykF//pdeH//ychF//glgA//ttdA//prpE//argB//argC//narH//murE//ulaE//hyaA//idnK//rtcA//leuC//pdeL//nrdF//fabG//arsC//sgbH//metH//malY//chbF//allE//pgi//waaZ//ftsI//dgcC//lpd//lysC//cueO//aroL//pgi//sgbU//murD//entC//eno//fes//ycjG//yiaK//waaZ//wzb//purE//lacA//prpC//wecE//sdhB//torC//phnO//accD//ascB//deoA//
CreB-Phosphorylated	gntK//wzc//
CsgD	dinB//argC//uvrA//edd//moaE//
CsiR	pfkA//psd//mngB//acnA//
CspA	ruvB//
CueR-Cu	chbG//avtA//patD//ilvA//moaE//
CusR-Pasp	melA//dmsB//astE//pdeR//
CynR	
CynR-cyanate	garR//grxA//tyrB//
CysB	aceB//fadD//
CysB-O-acetyl-L-serine	puuB//xylB//mnmG//srlD//glmS//glsA//paaI//fau//ldtD//uxaA//pgk//lpxC//glcF//eda//tauD//
CytR	fes//hyaA//purC//murQ//gloA//srlD//ftnA//puuC//gltB//malQ//
Dan-L-tartrate	paaC//napG//
DcuR-Phosphorylated	acnB//aspC//srlD//rhaD//
DeoR	uxuA//ung//fadE//purC//araB//nagA//
DhaR	leuB//
DicA	
DinJ-YafQ	lacZ//
DnaA-ATP	entA//xylA//fabG//pgm//purD//sgbU//
DpiA-Pasp	murQ//galM//chbG//glk//speG//
DsdC-D-serine	idnO//deoC//
EbgR	
EnvR	fabI//yiaK//
EnvY	nirB//aldA//
EvgA-Phosphorylated	metL//leuA//frdB//glmS//tpiA//pflB//
ExuR	gcl//dhaK//araA//tktB//frdC//glpA//
ExuR-alpha-D-galacturonate	
FabR	murE//moeA//mpaA//
FadR	caiB//garD//arsC//murF//hcaC//glcB//fdhF//pykF//ulaG//guaB//cysK//ilvC//cynT//tdh//nadA//pncB//malP//pgaD//purF//
FadR-acyl-CoA	
FeaR	wecC//ugpQ//
FhlA-formate	srkA//zwf//ssuE//pfkA//guaB//argE//mltF//bioB//
FlhDC	bioB//pyrC//argI//torC//paaA//murC//dgkA//caiD//uvrC//rutA//frdB//bioF//recD//cysK//
FliZ	umuD//ilvA//argI//yqjH//paaA//
FucR-L-fuculose-1-P	bacA//yedX//aroA//entH//lldD//argI//
Fur-Fe2	rffC//gadB//acnA//uxaC//truB//nagA//pgaB//hypB//purB//pgm//lldD//torA//rffH//relA//paaJ//ilvE//xapA//puuC//chbG//ndh//glgA//sdhA//cynT//dgcN//pyrC//speA//aldA//pyrD//gpmA//ftnA//pgm//lhgO//lsrF//astD//adhE//sdaA//galE//ssuE//moeA//frdB//phnH//tnaA//betA//sucA//cysK//phnM//fdhF//cyoE//dadA//gatD//fabA//frdD//prs//folE//phnO//avtA//napG//idnO//bacA//dkgB//yeaG//cysC//
GadE	araA//argH//leuC//trpC//tehB//hcaC//glpX//rutD//phnM//wecC//
GadE-RcsB	hcaF//pgpC//entB//ynfH//fabA//
GadW	ldtD//cyoE//tdh//putA//
GadX	ttdA//moaA//glpQ//dgkA//yeaE//yeaG//umpH//hypF//puuE//uxaA//waaZ//rffC//fucA//cysJ//
GalR	thrS//glpX//idnD//tyrB//idnD//recD//
GalR-beta-D-galactose	rhaB//kbl//pncB//glxR//lysC//
GalS	gapA//puuA//fumC//purE//amn//purK//
GalS-beta-D-galactose	mhpA//entB//ndh//paaC//betB//
GatR	pnp//nrdF//gadA//
GcvA	frdC//waaZ//truB//
GlcC-glycolate	metF//yqhD//gabT//
GlpR	pspE//purE//mtlD//argD//glgA//epd//rutA//
GlrR-Pasp56	
GntR	aldA//fadH//aldA//ilvI//uxaB//araB//hcaC//cysC//ydcS//
GutM	tehB//uxaC//cysN//
HU	ilvH//prs//yqjH//alaC//trpB//fdhF//tdcE//
HcaR	
HcaR-HCA	moeA//ulaF//
HdfR	
HigA	hcaE//
HigB-HigA	phnL//
HipAB	lldD//udp//
HipB	mpl//alaC//dadX//
HprR-Phosphorylated	waaH//ulaF//rbsD//rhaD//
HyfR	sucC//
HypT-Met-oxidized	purH//sgbH//dgcC//ppsA//hemH//dkgA//ynfE//
IclR-pyruvate	sgbH//glpB//gdhA//
IdnR-5-ketogluconate	ilvA//hcaE//ilvE//nagB//gabD//
IlvY	
IlvY-S-2-acetolactate	chbF//
IscR	putA//ftsI//fadA//lsrK//gudD//sucA//
IscR-2Fe-2S	glpX//entD//
KdgR	ttdB//fucU//
KdpE-Phosphorylated	rutA//
LacI	avtA//sgbH//codA//
LeuO	hyaC//psd//caiC//kbaY//ilvA//ribA//
LexA	lpxD//avtA//ulaF//nagA//wecB//ubiA//fumC//puuC//yedX//ilvC//paaZ//xylA//paaC//ilvA//araD//guaB//rutA//pgk//trpE//betB//napG//glgP//lsrK//
LldR	ada//fumC//
LldR-S-lactate	lsrG//gltD//
LrhA	
Lrp	lysC//ahpF//hycE//nrdD//tdcE//fabH//lpxD//purB//nanA//dacC//deoB//pykF//malS//frdB//murQ//uxaC//nrfA//appA//zwf//nanK//accA//lhgO//glcD//mltF//argI//nagA//aspC//pheS//asnA//asnB//aspC//
Lrp-leucine	puuE//fadI//glyA//dgcN//pagP//uxuA//asnA//tam//citG//phnO//paaB//hyaA//glyA//aroF//purK//idnK//metL//
LsrR	rbsK//mltF//betA//hcaB//nrfA//
LysR	gadB//
MalI	aroF//pfkA//
MalT-maltotriose-ATP	dmsA//hypB//argB//argH//gltB//moaA//
MarA	pyrC//murC//melA//citG//wzc//uidA//rffG//gnd//moaC//gltB//luxS//nrdF//nrfC//fadB//murI//galM//sucA//fabG//araA//polA//adhE//napA//dhaM//entC//
MarR	
MatA	rtcA//
MazE	nrdB//
MazE-MazF	mazG//
McbR	
MelR	rtcB//purH//
MelR-melibiose	argE//ppc//
MetJ-adenosylmethionine	fabI//hcaD//uxaB//paaG//astD//hyaA//garK//ugpQ//aroG//chbG//
MetR	tdh//entB//
MetR-L-homocysteine	rffH//pgk//
MhpR-3HPP	malS//argH//fdhF//hyaA//rffM//lpd//
Mlc	glgX//sodA//tdcB//leuA//
MlrA	uxuA//
MngR	sucD//moeA//
MntR-Mn2+	ung//yfdE//
ModE-MoO42-	murQ//pdeH//ssuD//psd//hycF//pflB//tdcE//argB//uvrA//astC//eno//treC//gltD//entC//ulaD//aroA//pgi//
MprA	mltF//ugpQ//sufS//
MqsA	dadX//putA//
MraZ	rffM//pncB//nrdA//ldtC//codA//fucO//folA//hemL//putA//ada//
MurR	sodB//hcaC//adhE//
Nac	uxuB//wecC//ppiA//ccp//tyrA//ybjG//ascB//yqhD//murE//dkgB//hycE//
NadR	gpmM//ldtB//umuD//glcF//
NagC	gapA//ppiA//mazG//dmsC//yqjH//lpxA//hycE//aroL//ahpC//citG//nadA//hycE//paaC//bioC//garK//araA//ychF//murC//aceF//
NanR	ubiC//gpmA//tehB//lsrG//paaB//umuD//
NarL-Phosphorylated	ilvM//glxK//asnB//citE//sgbU//mhpF//pgaB//dmsA//ilvG_1//nanK//wecC//ynfE//malZ//fadH//paaK//sdaA//aspC//recF//frc//mhpC//sgbU//ppiA//mhpD//hycE//cysN//moeA//hcaC//grxA//amn//gloA//yfdE//ilvD//entA//metK//puuB//zwf//nanA//kbaZ//alaA//sgbE//allC//
NarP-Phosphorylated	speG//dkgB//deoC//gntK//waaZ//ilvI//wzb//uxaB//asnA//argE//prpB//paaK//paaK//ppiA//pncB//
NemR	fruK//gudD//
NhaR-Na+	lysC//aroH//gatD//ycjG//mnmG//
NikR-Ni2+	kbl//
NimR	gntK//
NorR	glpQ//
NrdR-Zn2+	hycG//entD//cueO//poxB//
NsrR	malS//sdhB//rutD//ogt//pdeR//polB//tdcE//prpE//glpB//talA//rsmH//rnpB//glmS//ynfH//iscS//pncB//hcaB//alsE//purM//wzc//tam//nfsA//cysD//dhaK//dmsC//grxA//sdhB//fumB//ttdA//hycF//rffM//alaA//ubiX//paaE//eda//moaD//astD//puuC//phr//entA//
NtrC-Phosphorylated	gcl//serC//hcaD//tehB//asnA//hycD//trpB//astB//rpiB//rutA//ampC//leuA//malS//uxaB//mpaA//waaY//citG//udp//purD//atoB//glcE//
OmpR-Phosphorylated	melA//arsC//sgbH//dhaK//rhaB//rutE//lyxK//citF//
OxyR	ynfH//aspC//treC//bioD//tdcD//sbcC//deoA//patA//wzb//gudD//gpmA//purN//atoD//entA//puuD//rimK//moaD//
PaaX	bglB//purL//iscS//fadM//lsrG//glpC//nrfD//talA//purB//
PdeL	nadA//
PdhR	cynT//fumC//gcvT//sodB//glk//melA//sdhC//citD//icd//fadB//aldA//bioF//nadA//fumB//ung//frdA//garL//glmS//cysH//tauD//mraY//waaH//aroG//paaJ//epd//
PepA	bioD//fadB//
PgrR	aspA//uxaB//
PhoB-Phosphorylated	pgm//garL//wecC//lysC//rutE//oxc//deoA//argA//deoA//ubiA//rffG//lpxC//sdaA//fabH//fabH//bglB//katG//gabD//gabD//adhE//
PhoP-Phosphorylated	polB//ilvM//betB//ulaE//moaC//mhpA//uxaC//pgaB//hyaB//araA//uxaB//rffT//tdcG//alaA//prpE//cysC//pgk//accD//waaZ//hcaF//malY//araD//eda//zwf//prpB//gnd//frdC//astB//fabZ//allB//metE//patD//
PrpR-2S3S-2-methylcitrate	aroG//tdcG//tktB//sdaA//
PspF	rffH//
PurR-hypoxanthine	allC//hycD//entH//ulaE//ldtB//ahpC//yqhD//ychF//napG//phnH//moaD//garL//sdhD//ulaE//narH//bioF//fbaA//cysG//rbsD//argH//udp//gatY//nrdE//hemL//aceB//nrdD//
PutA	glpC//pepD//
PuuR	hypF//astB//rhaD//purC//serC//cysC//
QseB-Phosphorylated	
RbsR	mazG//deoB//yeaG//hypF//lpxA//
RcdA	cysC//
RclR	
RcnR	sgbE//
RcsAB	cysN//gadA//umuC//
RcsB-BglJ	cynS//murQ//
RcsB-Pasp56	fadD//hemL//eda//argE//
RelB	nfsA//
RelB-RelE	grxA//
RhaR-alpha-L-rhamnopyranose	
RhaS	nrdB//
RhaS-alpha-L-rhamnopyranose	ccp//ynfE//dmsB//epd//
Rob	aroF//cysJ//lysC//fumB//gatZ//speB//pepD//tynA//moaD//accC//uxuB//asnB//mngB//iscS//yfdE//ynfH//paaH//hycF//aceB//
RstA-Phosphorylated	sdhC//sgbU//napH//
RtcR	araA//hemH//
RutR	sbcD//caiC//rffM//yfdE//tehB//argI//fabH//caiA//ahpF//dgkA//nanM//
SdiA	
SgrR	bioF//kbaY//aroG//
SlyA	cysJ//argH//glxR//glpX//atoA//pyrD//nanA//cysC//gudD//
SoxR	fadH//galK//cynT//ynfE//dsdA//dgkA//
SoxS	puuA//ahpF//leuA//rtcA//ilvH//rsmH//rfe//ilvE//pagP//yqjH//pgi//frdC//pgi//allD//mnmG//tnaA//alaS//patA//allB//pgpC//garL//lsrF//nrdA//paaZ//iscS//mltF//entE//ndh//
SrlR	entE//napA//uxaA//
StpA	melA//galT//nrdF//
SutR	cueO//mhpB//
TdcA	ychF//hmp//lpxC//sucA//ribA//
TdcR	poxB//ynfG//sgbH//pykF//moeA//
TorR-Phosphorylated	napA//murD//mhpD//rutE//
TorR-TorI	rnpB//
TreR	umpH//sodA//
TrpR-tryptophan	metA//caiA//narI//fes//metL//patA//mhpD//dapB//glmU//
TyrR	hycC//
TyrR-phenylalanine	astA//mhpF//
TyrR-tyrosine	deoD//lhgO//gcvP//paaH//galK//cysN//waaZ//ydcS//
UhpA-Phosphorylated	codA//
UidR	allD//tdcG//
UlaR	glxK//lsrG//dkgB//uidA//acnA//
UvrY-Phosphorylated	aroA//fabI//
UxuR	mhpF//lpxC//glk//trpE//relA//
XapR-xanthosine	patA//glcB//
XylR-xylose	waaZ//ascB//phnI//
YdeO	nadB//deoC//deoC//
YefM	carB//
YefM-YoeB	moeA//
YeiL	
YhaJ	
YiaJ	mhpB//rutC//wecE//wecE//ttdA//ampC//
YjjQ	poxB//aspA//
YpdB-Phosphorylated	
YqhC	napB//ldtC//
YqjI	citE//
ZntR-Zn2	accC//
ZntR-Zn2+	deoA//
ZraR-Phosphorylated	
Zur-Zn2	uxaB//
Zur-Zn2+	putA//
