# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	deoA//carA//
GadE-RcsB	aspC//malS//kbl//ssuE//ahpF//
GadW	fadA//paaZ//phnM//citE//
GadX	ygeA//dadA//gadA//hycE//yfdE//pnp//citG//pgaC//codA//aroA//entA//umuD//sucA//purA//
GalR	astC//cdd//chbG//fbaB//rhaB//ilvC//
GalR-beta-D-galactose	codA//prs//ulaE//wecC//rutE//
GalS	lacZ//uxuA//ppsA//napG//argC//nirB//
GalS-beta-D-galactose	uxaC//ychF//fumB//ssuE//tehB//
GatR	gor//deoC//hyaC//
GcvA	ldtC//ddlB//trpE//
GlcC-glycolate	glxR//rffG//dsdA//
GlpR	glxR//ubiA//gabT//kbl//sucB//zwf//bglB//
GlrR-Pasp56	
GntR	glgX//narG//araA//ynfF//metH//glpX//acnA//polB//citF//
GutM	mraY//trpA//gloA//
HU	phr//aceA//glyA//entH//gudD//allA//nirD//
HcaR	
HcaR-HCA	pyrC//gadA//
HdfR	
HigA	guaB//
HigB-HigA	tynA//
HipAB	chbG//phnM//
HipB	gabD//phnJ//moaE//
HprR-Phosphorylated	nrdD//ugpQ//hycD//mltF//
HyfR	aceF//
HypT-Met-oxidized	fabI//hycE//glgA//rutA//ulaE//nrdB//astC//
IclR-pyruvate	argI//truB//aceF//
IdnR-5-ketogluconate	rhaD//lysA//mpaA//purN//hycF//
IlvY	
IlvY-S-2-acetolactate	yqjH//
IscR	tauD//dmsC//speB//pncB//ruvB//lpxC//
IscR-2Fe-2S	ddlB//alaS//
KdgR	sgbE//pck//
KdpE-Phosphorylated	napH//
LacI	malY//lsrG//citD//
LeuO	guaA//alaC//garK//bioC//purN//recB//
LexA	phnJ//gntK//astC//galE//nfsA//nrdF//kbaY//hemL//fadI//uvrC//tyrA//dgkA//gcvT//ilvD//nanM//mnmG//serC//puuE//deoD//mhpB//rtcB//dacC//dgkA//
LldR	umuD//putA//
LldR-S-lactate	bioD//pgaB//
LrhA	
Lrp	purB//yfdE//uxaA//cadA//xylB//dsdA//mhpA//tadA//araB//pyrD//puuD//gor//entD//nrdF//paaG//ndh//lldD//glpK//eda//paaB//treC//galM//truB//recF//allE//pgm//puuE//ilvG_1//ssuE//serA//gcvT//
Lrp-leucine	fadA//dhaK//mpaA//paaZ//ynfG//appA//trpA//edd//aldA//nemA//malQ//dkgB//entB//alaA//lsrK//uxaA//appA//
LsrR	pykF//nfsA//hyi//dapD//metF//
LysR	metH//
MalI	gutQ//phnH//
MalT-maltotriose-ATP	dmsA//pdeH//deoA//pepD//lysU//glpC//
MarA	nagB//mnmG//pheS//dsdA//aspC//cadA//nanM//citC//phnG//caiC//polB//ssuE//lsrG//nrdB//ldtC//nirD//frdD//hcaB//metE//tdcE//katG//argH//moeA//serC//
MarR	
MatA	frdA//
MazE	feaB//
MazE-MazF	lpxC//
McbR	
MelR	metA//truB//
MelR-melibiose	argI//sdhA//
MetJ-adenosylmethionine	ldtB//fabZ//paaJ//cysE//purN//pflB//sodA//gcvP//uvrA//idnD//
MetR	sucC//cysG//
MetR-L-homocysteine	bioB//narG//
MhpR-3HPP	sdhA//nrdF//gnd//pgi//rffG//rffT//
Mlc	hycF//chbF//polA//bioB//
MlrA	patD//
MngR	fruK//prs//
MntR-Mn2+	lldD//astB//
ModE-MoO42-	xylB//moaE//purA//frc//murE//ppsA//icd//rtcB//uxuA//gcvP//entB//dadX//sbcD//pyrC//narI//rhaD//fucU//
MprA	cysI//ruvA//citD//
MqsA	lpxD//putA//
MraZ	paaI//yiaK//mhpD//gpmM//galM//appA//metH//waaZ//ilvE//garR//
MurR	aroF//dinB//betA//
Nac	ulaG//mhpB//idnK//atoA//tehB//cysM//purE//fabZ//wecE//puuC//nemA//
NadR	ssuE//oxc//chbG//icd//
NagC	glxR//dadX//hycG//deoA//mazG//sucC//ilvI//pgaC//glgB//phnI//patA//umuC//alkA//idnK//hypB//nrdE//aceE//galT//hycB//
NanR	phnN//ssuE//tauD//rfe//rbsD//glxK//
NarL-Phosphorylated	ulaG//entD//sgbU//speA//fucO//feaB//tdh//cueO//lyxK//waaZ//glcF//rbsK//prpB//fadD//fabA//hyaB//entH//pgaC//iscS//paaH//udp//mdh//fbaA//cysI//narH//ynfG//nagA//fabH//fadJ//glxR//gcvH//tyrA//aroA//entF//phnH//bglB//glgP//tyrA//dadX//wecB//napH//
NarP-Phosphorylated	nfsB//paaK//uxuA//fruK//narH//nrdB//bioC//paaJ//tadA//nrfC//ilvI//lacA//argG//leuB//pspE//
NemR	gloA//frdB//
NhaR-Na+	nfsB//ampC//ftnA//ynfF//iscS//
NikR-Ni2+	fadE//
NimR	allA//
NorR	gcvP//
NrdR-Zn2+	citG//fucO//sbcD//uxaB//
NsrR	cysI//adiA//nrdB//accC//pykF//ilvC//yeaE//dmsA//ogt//dmsB//pdeL//pspE//cysG//araB//pnp//slt//torA//aroF//gdhA//garD//uvrA//polB//hycF//paaA//mpaA//pdeL//ulaG//thrS//metH//frc//ssuE//lysU//pheS//sdhB//rutA//napA//ddlB//nanM//gltD//lsrG//
NtrC-Phosphorylated	pheT//tam//glgC//glnA//yeaE//murF//cynT//murQ//sucA//glgA//glxR//leuB//katG//tyrB//rffG//glpC//alaS//fadH//napB//oxc//metB//
OmpR-Phosphorylated	phnL//leuC//metK//bioA//tyrB//purE//ppsA//glcF//
OxyR	entE//rbsD//malP//speG//deoC//gadB//aspC//glsA//nirB//hcaD//gapA//ahpC//uxuA//moeA//caiA//dkgB//adiA//
PaaX	glmU//phr//metL//yedX//cysC//nrdF//glxR//lpxD//ydcS//
PdeL	edd//
PdhR	cynS//nirB//nirB//sdhD//nrfA//phnH//trpC//rutC//aspA//rffG//uvrC//alaS//glyA//dkgB//purD//glcE//trpB//frc//prpE//gor//trpA//frdB//ynfE//glsA//ttdA//
PepA	rutB//betA//
PgrR	fau//pgaD//
PhoB-Phosphorylated	gloA//dgcC//dapD//umuC//tynA//malZ//lpd//phnI//garD//fumB//ulaD//hyaB//rimK//truB//mhpD//gcvP//ybjG//mpl//sbcC//uxuA//
PhoP-Phosphorylated	ilvA//frdD//fabG//glsA//garD//caiA//relA//lhgO//frc//atoD//nfsB//ydcS//lldD//codA//betB//aspC//adiA//ldtD//galT//cysN//hyaB//caiA//pagP//entH//atoB//polA//hmp//sdhA//argC//pdeL//mpaA//ahpC//
PrpR-2S3S-2-methylcitrate	gadA//hcaB//hcaC//fabZ//
PspF	allB//
PurR-hypoxanthine	nfsB//nrdE//prpE//mhpC//galM//ddlB//gltD//thrS//zwf//ppsA//astA//rffM//grxA//tdcD//fadD//ftsI//caiB//speG//alkB//narI//rffC//hemL//hypF//pdeR//hycD//mpaA//
PutA	dhaK//pdeH//
PuuR	puuA//dsdA//pdeR//rhaB//uxaB//xylA//
QseB-Phosphorylated	
RbsR	rhaB//lhgO//yiaK//aroF//sufS//
RcdA	rimK//
RclR	
RcnR	frdA//
RcsAB	slt//fau//guaB//
RcsB-BglJ	gltB//moaD//
RcsB-Pasp56	phnN//polA//sgbE//metH//
RelB	kbl//
RelB-RelE	malQ//
RhaR-alpha-L-rhamnopyranose	
RhaS	mhpE//
RhaS-alpha-L-rhamnopyranose	pykF//uvrC//recF//yfdE//
Rob	yqhD//fadH//frdA//ccp//entH//dkgB//entE//pyrC//astB//hycG//fumB//yedX//lpxC//dsdA//hcaC//entB//nanK//sdhD//argC//
RstA-Phosphorylated	cysK//lacA//deoC//
RtcR	dmsC//hyaA//
RutR	glmU//gpmA//frdA//glcB//lyxK//gnd//gabT//pfkA//yeaG//trpC//lldD//
SdiA	
SgrR	tktB//rhaD//moeA//
SlyA	lpxC//fucA//nagB//yqjH//paaB//argA//atoB//dadA//ulaF//
SoxR	rhaA//kbaZ//trpC//metE//phnP//chbF//
SoxS	mhpC//gabT//argE//murQ//gcl//phnN//malY//rhaD//hypF//citD//tdcG//murD//ttdA//ubiA//xylA//atoD//putA//aspC//hemH//hcaB//accC//malP//wzc//nagA//avtA//rnpB//carA//tam//
SrlR	nemA//caiC//nagB//
StpA	uxaB//yiaK//glk//
SutR	gadA//dmsC//
TdcA	eda//aceF//umuD//sucD//rffG//
TdcR	nfsA//hypF//paaF//moeA//phr//
TorR-Phosphorylated	yiaK//garL//argF//gntK//
TorR-TorI	pgaD//
TreR	garL//ilvD//
TrpR-tryptophan	gntK//murD//ulaG//paaF//frdC//mraY//lsrG//wecE//waaZ//
TyrR	uxaC//
TyrR-phenylalanine	argB//acnA//
TyrR-tyrosine	amn//lsrK//cysM//patD//napA//fucI//relA//hycE//
UhpA-Phosphorylated	ilvC//
UidR	ulaD//sgbH//
UlaR	mltF//ydcS//murE//phnJ//ilvH//
UvrY-Phosphorylated	ada//nrdD//
UxuR	serC//dmsA//nagB//pncB//murC//
XapR-xanthosine	waaY//lacA//
XylR-xylose	patA//rhaD//rffT//
YdeO	puuA//citF//purE//
YefM	mltF//
YefM-YoeB	alaC//
YeiL	
YhaJ	
YiaJ	mhpC//phnP//glcB//tehB//glcB//avtA//
YjjQ	tam//bioD//
YpdB-Phosphorylated	
YqhC	phnL//cysH//
YqjI	hycG//
ZntR-Zn2	fucO//
ZntR-Zn2+	recB//
ZraR-Phosphorylated	
Zur-Zn2	gntK//
Zur-Zn2+	lsrG//
