# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	lsrK//nadB//
ModE-MoO42-	purK//nanK//fdhF//feaB//alsE//betA//aroG//alkA//dhaK//nadB//fumB//hcaD//rbsK//nanM//ubiC//tdcG//mpaA//
MprA	dmsA//aldA//rffM//
MqsA	torC//gor//
MraZ	napB//dadX//bacA//gpmM//fabG//argF//arsC//lacA//hyi//mhpA//
MurR	nrfA//bioF//recF//
Nac	gloA//tpiA//amn//nagB//polA//tdcE//ftnA//paaK//dadA//adiA//metF//
NadR	accA//umuD//polB//mpaA//
NagC	fadM//ldtC//rbsD//ldtD//codA//astA//pgpC//ulaG//yfdE//rtcB//frdB//glk//tdcG//caiB//murC//dhaL//gpmA//fabA//fumB//
NanR	ribA//poxB//phnP//rbsD//metL//malY//
NarL-Phosphorylated	malY//hypF//xylA//yeaG//yedX//fabG//pepD//tynA//hypB//phnO//truB//cysN//dmsB//fucU//srlD//moaD//sodB//aroA//nirB//dapB//trpC//idnK//murG//narH//hcaE//sucD//argA//gcvT//gadB//aceB//asnB//phnH//prpD//ascB//folE//mnmG//ldtB//citF//fabZ//gadA//fruK//
NarP-Phosphorylated	xylA//eno//gudD//entE//asnB//sufS//citF//aroF//argH//sufS//ldtD//allD//tktB//katE//ung//
NemR	citF//bioA//
NhaR-Na+	metE//moeA//nadB//prpC//torA//
NikR-Ni2+	moaA//
NimR	ruvA//
NorR	ynfG//
NrdR-Zn2+	moaC//glsA//hycB//lysU//
NsrR	pagP//ftsI//uxaA//rutD//frdA//phnJ//murE//betA//ccp//cysM//hcaC//accD//ampC//trpB//yeaE//dhaM//nemA//gabT//mhpD//cynS//prpD//glsA//gadA//pncB//gatY//citX//nrfA//betB//entH//cueO//narI//deoA//phnO//nirB//gltB//paaE//prpE//hyaA//yqhD//cysC//
NtrC-Phosphorylated	asnA//metL//tyrB//nanK//glcF//fabA//ppsA//ruvB//dhaM//nadB//appA//purL//gor//nirD//aspC//ybjG//pgaB//glk//astC//glgP//pdeR//
OmpR-Phosphorylated	ppc//ftnA//lpd//bioC//citD//ahpF//ttdA//sdaA//
OxyR	fucK//relA//entA//metA//rnpB//metE//ynfF//narH//lsrK//sgbE//fabI//argB//trpE//dgcC//adiA//prpB//puuE//
PaaX	glgX//napG//aroL//ogt//murE//idnK//citC//entB//dhaL//
PdeL	phnG//
PdhR	ynfG//speB//alkA//hemL//glgA//napH//gpmA//ulaF//puuA//nagA//yeaE//argF//fabG//malP//pncB//phnN//nanE//dkgB//cysK//speB//ulaD//xapA//sdhD//eno//recF//
PepA	fabB//pdeH//
PgrR	hycE//dmsB//
PhoB-Phosphorylated	rhaD//trpA//adiA//gdhA//truB//poxB//rhaD//citF//pgaD//frdD//frc//rffT//sodA//polB//napA//malQ//sodB//sgbU//dhaM//asnB//
PhoP-Phosphorylated	tehB//recF//glpB//gltD//gadB//frdB//sdhD//argA//pepD//sufS//hmp//putA//galE//trpD//wzc//fabH//trpE//patD//gpmA//rutE//ruvB//zwf//tdcD//lacA//hcp//phnP//gcvH//allD//purE//dgcN//rhaB//phnP//
PrpR-2S3S-2-methylcitrate	prpD//truB//dhaL//narH//
PspF	rutE//
PurR-hypoxanthine	glcF//deoC//mhpA//gltD//alkA//nanK//mhpD//paaH//paaJ//cynS//galK//ahpF//prpD//murG//nrdD//napA//malY//glcB//nagA//rtcB//leuD//uvrC//cynT//hmp//napB//cdd//
PutA	puuE//paaK//
PuuR	puuD//mpl//ilvG_1//caiC//gcl//adhE//
QseB-Phosphorylated	
RbsR	iscS//dadA//gltD//ldtB//ahpF//
RcdA	aspA//
RclR	
RcnR	pyrC//
RcsAB	thrS//fucK//ribA//
RcsB-BglJ	umpH//purB//
RcsB-Pasp56	frdD//polB//ddlB//ulaG//
RelB	acnB//
RelB-RelE	hycE//
RhaR-alpha-L-rhamnopyranose	
RhaS	ygeA//
RhaS-alpha-L-rhamnopyranose	mhpD//phnO//psd//metB//
Rob	ahpC//dhaM//thrS//entB//dinB//ugpQ//alkA//ccp//pdeH//accC//paaE//gatZ//pykF//aroG//pck//moaA//fadA//mhpF//fadM//
RstA-Phosphorylated	mhpD//moaE//argE//
RtcR	argE//purA//
RutR	ynfH//umuC//guaB//phnM//cdd//nrdB//tdcD//entF//atoD//phnN//leuD//
SdiA	
SgrR	oxc//alaS//betB//
SlyA	kbaY//umpH//accA//metH//mdh//fadJ//allB//tauD//entA//
SoxR	fabH//entC//trpB//mhpE//accD//speA//
SoxS	cysI//bioA//ttdA//moeB//sodA//uxaB//poxB//relA//tadA//glcE//ilvI//hmp//bioC//leuC//paaE//narG//epd//aspC//citE//speA//hypB//mazG//cynT//tauD//ynfH//ldtB//phnM//cysJ//
SrlR	moeA//serA//ftnA//
StpA	hyaC//tehB//mhpF//
SutR	guaB//acnB//
TdcA	uvrB//cysM//ruvB//murD//wecE//
TdcR	glgB//malP//adiA//oxc//paaI//
TorR-Phosphorylated	pgk//fabI//atoD//paaC//
TorR-TorI	wecC//
TreR	pgaD//aroH//
TrpR-tryptophan	hyi//xylA//rnpB//wecE//putA//ugpQ//fucU//deoC//phnL//
TyrR	prpD//
TyrR-phenylalanine	lpxD//entH//
TyrR-tyrosine	xylB//tdcD//ung//paaK//alaS//phnH//mltF//glpQ//
UhpA-Phosphorylated	recD//
UidR	ynfE//entA//
UlaR	psd//ilvD//tpiA//pncB//aceB//
UvrY-Phosphorylated	caiD//leuC//
UxuR	fadA//recD//ilvD//fadA//allD//
XapR-xanthosine	gltD//paaA//
XylR-xylose	phnG//mngB//xylB//
YdeO	betA//ulaG//hyaC//
YefM	alaS//
YefM-YoeB	rutD//
YeiL	
YhaJ	
YiaJ	nrfC//aspC//glxK//nadB//serC//sucB//
YjjQ	garD//deoB//
YpdB-Phosphorylated	
YqhC	aroA//dsdA//
YqjI	moaC//
ZntR-Zn2	leuD//
ZntR-Zn2+	fadJ//
ZraR-Phosphorylated	
Zur-Zn2	frc//
Zur-Zn2+	argD//
