# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	araA//talA//
NarL-Phosphorylated	malQ//betB//hyi//speB//gapA//tauD//hycF//ndh//citC//recD//dhaK//folE//recF//ychF//udp//nfsB//trpE//araA//sdhC//napG//folE//deoB//putA//avtA//eda//moaC//pnp//ulaF//fucI//atoB//murC//pgm//lysU//alaS//lpxA//hycD//fucO//glgB//purH//glpC//sucC//
NarP-Phosphorylated	pdeH//dmsA//mngB//napH//gutQ//hcaF//ddlB//dgcN//sdhB//ycjG//phnJ//gcvP//sdhB//nrdA//putA//
NemR	recD//sgbU//
NhaR-Na+	dhaK//gntK//mnmG//entD//chbG//
NikR-Ni2+	pgi//
NimR	deoA//
NorR	sdhB//
NrdR-Zn2+	nrfD//hemL//citX//fadH//
NsrR	poxB//ahpF//rsmH//purC//rffM//dmsC//tdcE//gpmM//rhaB//galT//ilvM//moaA//dkgA//tadA//gltB//cysG//srkA//aldA//purM//citG//sdhD//caiA//allD//patD//mhpA//deoC//ppsA//lacZ//bioB//tam//pgi//acnA//purH//bioC//polB//gloA//citX//aspC//phnG//fabH//
NtrC-Phosphorylated	nanM//lpxA//pheS//caiB//cysE//astB//prpE//dapB//paaY//fabD//nrfC//garK//rbsD//phr//nrfA//glsA//purE//pepD//mhpA//aroA//amn//
OmpR-Phosphorylated	pepD//ulaE//hcaD//leuD//uxuB//pheS//adiA//fadE//
OxyR	uxuA//glmS//tnaA//cysK//hcp//sdaA//rtcA//tdcE//waaZ//allB//allC//cdd//dapD//mazG//nanA//kbaY//ilvC//
PaaX	nanE//hycE//ahpC//dkgA//leuC//dmsA//hcaF//nagB//glgP//
PdeL	fabI//
PdhR	cysC//lsrG//pck//alaS//napA//ruvB//ldtD//aspA//yqhD//lpxC//gntK//ogt//galE//dacC//umpH//bioC//glmU//entA//sgbU//wzc//ulaD//recF//yfdE//puuB//purN//
PepA	fadJ//fes//
PgrR	aroL//thrS//
PhoB-Phosphorylated	lacZ//entC//cysN//entA//ynfE//cysC//dadA//ttdA//pflB//adhE//mngB//dmsA//metF//dmsC//dgkA//kbaY//aspA//deoC//rffH//phnI//
PhoP-Phosphorylated	pyrD//phnP//fruK//wecE//paaB//fabH//cysD//waaH//rffM//adiA//rtcB//dkgB//trpE//cysK//asnB//hcaF//fadJ//acnB//mhpE//napA//glgC//citG//gpmA//sdhB//dadA//accA//phnG//glxK//gabD//nanE//chbF//deoD//
PrpR-2S3S-2-methylcitrate	srlD//alkB//rutB//nrdA//
PspF	udp//
PurR-hypoxanthine	bioF//gdhA//caiA//umpH//xylA//ddlB//ilvH//glcE//putA//uvrC//frc//eda//malQ//caiB//araA//ilvI//sodB//frdC//pgaB//arsC//nadA//deoC//bacA//ccp//mazG//frdD//
PutA	lpxC//umuD//
PuuR	cysK//betB//eda//uxuB//mpl//lysC//
QseB-Phosphorylated	
RbsR	kbaY//garR//tyrA//paaG//hcaD//
RcdA	xylB//
RclR	
RcnR	allD//
RcsAB	fadJ//leuC//tdcG//
RcsB-BglJ	murQ//treC//
RcsB-Pasp56	lyxK//accC//ubiA//ybjG//
RelB	acnB//
RelB-RelE	aceA//
RhaR-alpha-L-rhamnopyranose	
RhaS	argE//
RhaS-alpha-L-rhamnopyranose	moaA//fucK//sucA//psd//
Rob	hycC//glgX//frdD//adhE//cdd//lyxK//uvrA//nrfA//tdcE//narI//hycC//gadB//argB//ilvA//aceB//paaZ//fumC//gpmA//ttdA//
RstA-Phosphorylated	thrS//fabZ//paaK//
RtcR	glpC//ttdA//
RutR	paaH//waaH//nrdB//paaA//yeaG//sdhD//mtlD//hyaB//ubiX//dmsA//gcvT//
SdiA	
SgrR	lacZ//dmsB//dmsA//
SlyA	arsC//fucO//puuB//hyaB//sucD//murF//ssuD//rfe//lldD//
SoxR	ulaE//purA//wecB//purB//alaA//fadM//
SoxS	fabZ//udp//argI//rffC//recB//sdhC//chbF//sgbE//allA//paaG//glgA//ilvG_1//pyrC//gdhA//ilvH//glpB//allD//recB//glxK//leuC//hycC//cynT//moaC//aroH//wecB//accC//ynfG//frc//
SrlR	torC//mhpB//codA//
StpA	metE//hcaB//yqjH//
SutR	ldtD//sdhA//
TdcA	ppc//pdeL//cysK//rsmH//prpD//
TdcR	prpD//glcB//prpE//frdD//hcaE//
TorR-Phosphorylated	phnP//nemA//puuD//ttdA//
TorR-TorI	mnmG//
TreR	hycG//hemL//
TrpR-tryptophan	paaZ//idnK//wzb//glpX//purA//lldD//citE//fumC//pgaB//
TyrR	fdhF//
TyrR-phenylalanine	trpC//talA//
TyrR-tyrosine	metK//hycB//hyaC//hmp//ydcS//sucC//pflB//arsC//
UhpA-Phosphorylated	moeA//
UidR	nanE//araD//
UlaR	ttdB//appA//gabT//fabG//paaE//
UvrY-Phosphorylated	torC//leuC//
UxuR	aceE//alkA//paaC//dacC//adiA//
XapR-xanthosine	leuA//ldtC//
XylR-xylose	xylA//citG//argI//
YdeO	paaK//glpD//ulaF//
YefM	pflB//
YefM-YoeB	rffT//
YeiL	
YhaJ	
YiaJ	nanK//lldD//entA//srlD//sucA//phnL//
YjjQ	rfe//wzc//
YpdB-Phosphorylated	
YqhC	cysN//ahpC//
YqjI	hycG//
ZntR-Zn2	glcD//
ZntR-Zn2+	entF//
ZraR-Phosphorylated	
Zur-Zn2	ubiC//
Zur-Zn2+	pspE//
