# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	gatY//paaJ//
MalT-maltotriose-ATP	entE//murF//rutD//nrdE//napA//leuC//
MarA	ulaG//sdhC//ulaF//gltB//gudD//rbsK//hyaC//umuD//malQ//bioF//truB//amn//glcE//galK//rbsK//nemA//citE//phoA//idnO//astC//ilvH//tnaA//paaB//pdeR//
MarR	
MatA	trpC//
MazE	ascB//
MazE-MazF	gnd//
McbR	
MelR	puuA//ampC//
MelR-melibiose	idnD//fadA//
MetJ-adenosylmethionine	psd//hyaA//bioC//sdhD//frdD//talA//astE//codA//ubiA//sdaA//
MetR	puuE//talA//
MetR-L-homocysteine	recF//purM//
MhpR-3HPP	galK//aceB//cadA//prpD//ssuD//alkA//
Mlc	xylA//ilvA//glk//ubiX//
MlrA	arsC//
MngR	dgcZ//pheT//
MntR-Mn2+	atoB//mazG//
ModE-MoO42-	hycD//gor//pfkA//nemA//purB//phnI//waaY//yqjH//dapB//mraY//lldD//pgk//uxuA//fadE//puuE//ilvA//astC//
MprA	tdh//ttdB//ldtB//
MqsA	wrbA//moaD//
MraZ	leuC//deoB//gloA//gnd//gpmA//dmsB//nagA//phoA//xapA//paaA//
MurR	sdhC//yfdE//paaC//
Nac	katG//sgbH//ftsI//citX//uxuA//narH//citX//umuC//serC//bioB//serC//
NadR	dkgA//ppiA//serC//gatD//
NagC	uxaC//ftnA//dgcN//gadB//dkgA//alaA//trpB//rhaA//gpmA//cueO//guaB//uxuA//sgbE//argC//argG//phoA//ndh//malS//patA//
NanR	argB//phnI//sdhA//gatZ//wecB//dgcZ//
NarL-Phosphorylated	pgk//sdhD//ftnA//idnO//tdh//sdaA//thrS//napB//glmU//purD//ilvG_1//cadA//mhpD//gudD//trpB//mnmG//pgpC//dhaL//pfkA//lpxC//trpD//puuA//fadD//dgcZ//mngB//cadA//trpE//napA//ychF//moaA//cysM//nagB//murQ//psd//ppsA//rffM//trpE//rfe//atoD//ampC//argH//
NarP-Phosphorylated	hycE//fabA//kbaZ//uxuB//gloA//astC//puuB//betA//adhE//cdd//deoD//glxR//pck//patD//dadX//
NemR	mltF//hyi//
NhaR-Na+	rutD//hemH//mazG//fadE//nrdE//
NikR-Ni2+	cysN//
NimR	araD//
NorR	dacC//
NrdR-Zn2+	putA//cysE//aceA//rutA//
NsrR	luxS//araA//hemH//relA//cysI//gpmA//eno//asnB//ulaE//mhpB//metH//glxK//bacA//waaY//dgcC//gor//aroF//bioB//ttdA//ampC//nanA//lsrF//purL//atoA//mhpA//yeaE//phnG//moaD//astC//purB//argD//uxuB//bioA//waaZ//srkA//ubiC//napA//fadM//entH//mhpA//
NtrC-Phosphorylated	nrdB//dapD//sodA//dgcZ//aceE//pgaD//mpaA//srkA//ddlB//acnB//dhaM//edd//malY//yedX//lsrF//udp//rutB//galM//trpA//lhgO//napG//
OmpR-Phosphorylated	leuA//pyrD//trpB//wecB//fabD//allC//phnN//sbcC//
OxyR	glpC//galK//bglB//torC//glxK//ubiA//nrfC//waaY//tdh//malS//fadI//dmsC//sgbH//garL//ldtD//metB//uxaC//
PaaX	leuB//dgcZ//nanE//zwf//accC//tyrB//serA//citD//ubiC//
PdeL	gapA//
PdhR	kbaY//ubiX//rutC//sdhC//thrS//astB//pncB//fadB//leuC//caiA//pagP//argF//adiA//citX//ubiA//aceE//gutQ//glmS//fadA//entH//nrdA//hycE//cysC//purN//allE//
PepA	rutE//murD//
PgrR	pdeH//rffH//
PhoB-Phosphorylated	ccp//gadB//sucD//glgP//cysD//pyrC//avtA//lsrG//trpA//alaS//yedX//paaK//glpD//narG//gcvP//hycC//phnG//fadM//idnD//putA//
PhoP-Phosphorylated	ada//cysG//uvrB//pgm//mhpD//uvrB//rbsD//yedX//nrdE//ldtB//gltB//garD//mhpE//gloA//argA//cysM//prpE//sucB//appA//rnpB//murE//adhE//luxS//dhaL//lysA//prs//prpE//guaB//fucA//fadE//paaF//paaE//
PrpR-2S3S-2-methylcitrate	rffG//hyaC//rffH//dapB//
PspF	cysC//
PurR-hypoxanthine	sucB//glpB//paaY//recD//sbcD//napB//garD//dmsB//paaA//lyxK//glpD//nrdF//mnmG//paaB//guaA//recB//recD//astA//idnK//dgcZ//uxaA//lpxD//pncB//hypB//dhaM//ppiA//
PutA	hycG//citE//
PuuR	cyoE//allD//tadA//rutB//lsrF//mazG//
QseB-Phosphorylated	
RbsR	yqhD//nfsB//metL//allA//lacZ//
RcdA	cysG//
RclR	
RcnR	cynT//
RcsAB	lacA//ilvH//ascB//
RcsB-BglJ	allB//lysC//
RcsB-Pasp56	frdB//rffT//dadA//carA//
RelB	alkA//
RelB-RelE	sgbU//
RhaR-alpha-L-rhamnopyranose	
RhaS	tadA//
RhaS-alpha-L-rhamnopyranose	pfkA//ynfH//feaB//ynfE//
Rob	wzc//prpC//paaK//psd//yfdE//fucU//speA//ulaG//aspC//dhaK//mngB//yfdE//fabZ//bioB//nrdD//hyaB//glgA//bglB//mhpF//
RstA-Phosphorylated	glpD//hcaC//yeaG//
RtcR	polB//tdcG//
RutR	uxuB//ydcS//waaY//mpl//gabD//aroH//argC//bioC//mnmG//hyaA//dmsC//
SdiA	
SgrR	napA//purB//ycjG//
SlyA	malY//pgaC//cysC//ruvA//entA//sgbH//aceF//dmsB//napA//
SoxR	entB//ccp//moaA//umpH//tyrB//puuB//
SoxS	phoA//cysJ//tdcB//leuD//accC//nrfA//metF//argE//hycE//srlD//rbsK//argF//rpiB//glgC//dhaM//glsA//pnp//umuC//murI//ilvC//wecE//argA//xylA//pgaD//xylB//rutC//hcaC//ndh//
SrlR	frc//rtcA//ruvB//
StpA	dacC//cyoE//moeB//
SutR	hcaC//rbsD//
TdcA	waaH//mhpF//gltB//pgi//nanK//
TdcR	ynfE//wecC//pgm//dgcZ//tdcD//
TorR-Phosphorylated	pspE//sucC//ynfE//sdhC//
TorR-TorI	ulaE//
TreR	napA//paaH//
TrpR-tryptophan	argB//lpxD//bioD//entA//fbaA//nanK//ttdB//phnP//glpQ//
TyrR	allB//
TyrR-phenylalanine	rffH//speB//
TyrR-tyrosine	katE//ssuE//sucB//prs//glcE//pheT//recF//narG//
UhpA-Phosphorylated	alkB//
UidR	xapA//yqhD//
UlaR	caiD//kbaZ//glmU//entB//serC//
UvrY-Phosphorylated	murD//lpd//
UxuR	asnA//allC//kbl//fdhF//glgP//
XapR-xanthosine	wecC//xylA//
XylR-xylose	ldtD//hcaE//bglB//
YdeO	glgC//murD//rhaD//
YefM	fucK//
YefM-YoeB	fabZ//
YeiL	
YhaJ	
YiaJ	metL//purM//poxB//glgP//gudD//glsA//
YjjQ	grxA//waaY//
YpdB-Phosphorylated	
YqhC	yfdE//atoB//
YqjI	tdcB//
ZntR-Zn2	sdhB//
ZntR-Zn2+	ldtC//
ZraR-Phosphorylated	
Zur-Zn2	cueO//
Zur-Zn2+	astB//
