# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	lysU//ilvH//
CpxR-Phosphorylated	dhaL//ycjG//ilvI//narI//ychF//murE//sdhB//entF//ldtC//purC//argC//paaA//gltD//paaG//ulaG//garR//glgC//napH//idnK//cysM//argE//
Cra	aroF//tyrA//patA//alkA//cueO//glgP//nrfC//napA//aspA//ldtC//eda//feaB//sucC//murG//ilvD//fumC//cysH//ilvG_1//gabT//uxaB//slt//fabG//nrdF//ada//rffT//speG//pgaD//waaZ//sdhD//sodB//cysN//wecB//wecC//idnD//mhpD//sodA//glnA//dapD//eda//torC//rffC//fadB//entB//tyrB//srkA//malP//rnpB//argI//rpiB//yedX//ulaD//purD//glk//phnJ//glpD//napH//yqjH//pagP//dinB//
CreB-Phosphorylated	hyaC//aspC//
CsgD	mazG//gatD//arsC//aroA//glpD//
CsiR	trpB//murQ//sufS//rbsK//
CspA	astD//
CueR-Cu	uvrA//deoC//speB//wecC//yeaG//
CusR-Pasp	lsrK//hycE//leuD//nirD//
CynR	
CynR-cyanate	gcl//guaB//narI//
CysB	gltD//allC//
CysB-O-acetyl-L-serine	argB//hycC//mhpA//murF//sucC//nanA//umuC//truB//prpC//hmp//gabT//carB//umuD//galE//phnM//
CytR	talA//sdhD//allC//aroH//dkgB//argH//alaA//acnB//pflB//aceE//
Dan-L-tartrate	paaH//murG//
DcuR-Phosphorylated	mngB//gloA//pepD//tdcD//
DeoR	gadA//entE//zwf//allC//entH//sgbH//
DhaR	entC//
DicA	
DinJ-YafQ	waaZ//
DnaA-ATP	pdeR//gltD//lacA//caiC//cysI//dmsC//
DpiA-Pasp	astA//malS//pheT//tyrB//gcvP//
DsdC-D-serine	moeA//aceE//
EbgR	
EnvR	sgbE//murI//
EnvY	ppc//rutB//
EvgA-Phosphorylated	glgB//ulaE//ldtB//dapD//pgm//entA//
ExuR	aroA//gapA//nrdF//yeaG//fucO//phnM//
ExuR-alpha-D-galacturonate	
FabR	sbcC//nadA//trpC//
FadR	udp//lhgO//cynS//sgbU//rsmH//tnaA//glsA//cyoE//rffH//recF//fadB//betA//waaY//rutE//aroH//aspA//entA//caiB//citE//
FadR-acyl-CoA	
FeaR	poxB//yfdE//
FhlA-formate	glcF//folE//sucC//ldtB//yqjH//mhpE//nadA//tyrA//
FlhDC	icd//kbl//ruvA//dgcC//glpA//aroL//hcaF//gatZ//yedX//lyxK//dapB//paaY//eda//argF//
FliZ	cysK//citD//aldA//entC//kbaY//
FucR-L-fuculose-1-P	gor//ccp//nagB//metC//mraY//galM//
Fur-Fe2	ydcS//dapB//gabD//mltF//speA//pdeR//moaD//paaA//frdA//phnN//allB//dapB//napA//mtlD//purB//murE//metK//murG//nrdE//tktB//pgi//nanM//rsmH//paaZ//uxaB//treC//chbF//ilvH//tehB//dacC//speB//hycB//talA//aroA//kbaY//murQ//lsrK//glsA//nirB//pdeL//umuD//lysC//citE//treC//dadX//uvrC//moaC//uxaB//ubiX//yqjH//purA//alsE//gloA//ilvG_1//gor//sbcD//tdcB//ilvE//dhaK//metC//glcF//pheT//
GadE	nadB//narG//ogt//glgB//guaB//frdC//rhaD//uxaB//galE//ycjG//
GadE-RcsB	araA//pgm//mtlD//thrS//trpA//
GadW	serA//narI//dadX//pgm//
GadX	ahpC//melA//icd//cysJ//glcD//nirB//chbF//narI//galT//pncB//fumB//wzc//epd//yedX//
GalR	rffH//sucD//lpxD//malZ//atoD//ppiA//
GalR-beta-D-galactose	fadE//lpxC//allD//rbsK//accC//
GalS	fadE//galE//pgk//mhpA//srkA//rffT//
GalS-beta-D-galactose	accD//dhaK//purF//purF//fadI//
GatR	icd//entC//phr//
GcvA	araD//nanK//hycE//
GlcC-glycolate	mhpF//cysH//garL//
GlpR	feaB//dhaK//mhpA//tdcB//moeA//ahpF//gudD//
GlrR-Pasp56	
GntR	psd//yedX//rbsK//entE//pdeH//lsrK//fabH//glpA//puuD//
GutM	pdeH//zwf//xylA//
HU	fau//frdB//dkgA//phnI//gor//purK//hcp//
HcaR	
HcaR-HCA	gntK//rutA//
HdfR	
HigA	fdhF//
HigB-HigA	hcaD//
HipAB	lpxD//glgC//
HipB	glgA//cysN//alaA//
HprR-Phosphorylated	lyxK//sucD//serC//hemH//
HyfR	paaC//
HypT-Met-oxidized	pepD//ndh//glcF//aldA//glyA//glxR//adiA//
IclR-pyruvate	serA//serA//sbcC//
IdnR-5-ketogluconate	betA//ubiA//nadA//fadE//appA//
IlvY	
IlvY-S-2-acetolactate	adiA//
IscR	argG//prs//gcl//gltD//gcvT//dmsA//
IscR-2Fe-2S	paaK//cysM//
KdgR	nrdE//purM//
KdpE-Phosphorylated	puuB//
LacI	cysG//yedX//nrdF//
LeuO	gltB//sbcD//uxuB//ilvE//nrdE//nfsA//
LexA	puuE//argA//wecB//wrbA//hcaC//gutQ//ppc//metA//gadA//metC//dhaM//cdd//phnJ//narH//polA//ribA//ppsA//argE//gntK//psd//dkgB//puuC//malS//
LldR	entB//xylB//
LldR-S-lactate	iscS//paaI//
LrhA	
Lrp	glpX//fabD//fumC//moeA//pgaC//puuC//fadA//aroA//adiA//hcp//leuA//ulaF//nrfC//citX//glk//dgcC//napA//rsmH//gpmM//torC//xylB//entA//dkgA//rutE//ftsI//ilvE//atoA//polB//ttdB//uvrB//mdh//
Lrp-leucine	yfdE//icd//sucA//alaS//sdhC//purB//glpC//lhgO//phnP//yiaK//rutA//aspA//umuC//phnN//purB//aspC//murE//
LsrR	gloA//murE//narG//rffH//ttdA//
LysR	aroG//
MalI	moeB//sucD//
MalT-maltotriose-ATP	idnD//frdC//purM//deoB//lpxC//wecE//
MarA	astD//nadA//caiA//argF//araD//murE//ppsA//leuB//metK//galE//idnO//ppsA//purE//ampC//purM//puuA//fabI//hycE//pnp//paaF//cysE//murE//tadA//srlD//
MarR	
MatA	tdcD//
MazE	rnpB//
MazE-MazF	cynS//
McbR	
MelR	aceB//lpd//
MelR-melibiose	metK//betA//
MetJ-adenosylmethionine	fucU//trpA//murD//pdeR//carA//fumB//glpD//tdcG//nagB//pgaD//
MetR	aldA//nfsB//
MetR-L-homocysteine	mnmG//atoA//
MhpR-3HPP	dhaL//citE//kbl//truB//umuC//aldA//
Mlc	moaE//ilvH//napA//rsmH//
MlrA	tam//
MngR	fbaB//sdhD//
MntR-Mn2+	polA//purL//
ModE-MoO42-	gapA//asnA//sgbU//citG//rutA//citC//deoC//pgaB//fabG//ilvD//dinB//rnpB//dhaM//glpB//entB//guaA//bioB//
MprA	pncB//yqjH//gcvP//
MqsA	acnA//lsrG//
MraZ	murQ//sdhA//lsrF//gltD//dmsA//hyaA//gabT//grxA//xylA//alsE//
MurR	alsE//hyaA//treC//
Nac	metA//gapA//fucA//lpxA//leuC//speB//glk//murD//appA//gabT//bioC//
NadR	katG//fbaB//purH//lpxC//
NagC	gcvP//uidA//rhaA//pgaC//tktB//dhaL//galM//glnA//ruvB//pheT//moaE//pdeH//hypB//aldA//uxaB//pfkA//cysC//rutD//hyi//
NanR	ttdB//ascB//gabT//metL//xylA//cysM//
NarL-Phosphorylated	pgk//paaF//cysE//mhpE//gadA//gatD//chbF//allE//ygeA//gatZ//patA//rutD//udp//sucB//lyxK//frdC//hcaD//dmsB//mhpE//epd//pgm//ruvA//lsrK//ruvA//hcaB//uvrC//gadA//entC//hyi//pnp//paaY//serA//nrdD//moeA//atoB//guaB//ldtB//bglB//tam//fucA//chbF//
NarP-Phosphorylated	sbcC//rffT//entH//dsdA//dgcZ//malS//purN//ldtD//ynfH//rhaA//ynfG//napH//leuC//folE//dmsB//
NemR	glcD//lsrF//
NhaR-Na+	gltB//codA//luxS//fadJ//cynT//
NikR-Ni2+	ilvD//
NimR	aceF//
NorR	fadI//
NrdR-Zn2+	rhaA//gadB//dgcN//mhpB//
NsrR	alaS//tnaA//aspC//uvrC//leuD//mhpB//ubiA//hypB//ilvI//aceE//dapD//gatD//glpK//pheT//acnA//speG//kbaY//cysI//atoA//fdhF//treC//trpB//dgcZ//entE//rbsK//gapA//purK//sufS//hycC//uvrC//citD//citF//nanK//recD//citC//garR//allB//accC//yfdE//codA//
NtrC-Phosphorylated	wecE//citX//idnD//hycB//kbaZ//cysE//argH//glcF//metF//lysU//uxuA//pgpC//serA//rffG//fucU//gntK//rffH//nanE//sucC//psd//fabH//
OmpR-Phosphorylated	moaC//entB//epd//hcaD//citE//umuD//metL//tyrB//
OxyR	purD//atoA//leuC//phr//ilvM//murF//yeaE//appA//pdeR//hyi//purD//rpiB//ulaG//alaC//ilvM//glpK//mtlD//
PaaX	yiaK//mraY//fabD//purC//icd//metF//ldtC//caiD//fau//
PdeL	glsA//
PdhR	tynA//prpC//aroH//nfsA//fabB//ycjG//purH//ndh//glgX//pykF//murI//ppc//udp//fadB//pyrD//napH//rutC//paaE//argG//garL//putA//yqhD//purH//mtlD//citE//
PepA	rbsK//metA//
PgrR	hcaD//lsrG//
PhoB-Phosphorylated	melA//ilvM//glcB//dacC//murE//rfe//tdcB//glmU//purH//hemH//yeaE//glgC//mhpC//dgcC//gpmA//patD//asnA//gntK//murC//rffT//
PhoP-Phosphorylated	dgcC//tktB//citD//pfkA//yqjH//wzc//tdcD//dkgA//umuD//cysE//sucA//fadM//hcaB//idnK//ulaD//bioD//citD//citX//sbcD//glcB//glpC//waaZ//ssuE//fadM//purL//wecB//mhpB//sucB//dhaK//leuB//garL//purN//
PrpR-2S3S-2-methylcitrate	asnA//leuC//glpX//deoA//
PspF	gpmA//
PurR-hypoxanthine	wecC//ynfE//sucC//rffM//ruvA//nanM//paaC//tehB//lysC//mhpC//galT//yeaE//hypF//ydcS//nirB//paaE//lysA//fau//dgcC//folE//purA//fadH//nanM//fabH//yqjH//ldtC//
PutA	allC//pflB//
PuuR	fadE//rffG//hcaB//fabG//talA//hcaB//
QseB-Phosphorylated	
RbsR	malZ//melA//fabZ//hyaC//cysD//
RcdA	ttdA//
RclR	
RcnR	astC//
RcsAB	srlD//oxc//glpC//
RcsB-BglJ	glgP//gabT//
RcsB-Pasp56	glyA//xylB//pgk//argC//
RelB	glgB//
RelB-RelE	hcaB//
RhaR-alpha-L-rhamnopyranose	
RhaS	murI//
RhaS-alpha-L-rhamnopyranose	murF//pgm//sgbE//gadB//
Rob	dapD//amn//puuE//nadB//talA//sgbU//ubiC//atoA//hcaD//umpH//purC//waaY//glcF//alkA//puuA//entC//cynT//allC//pheS//
RstA-Phosphorylated	glgC//leuD//slt//
RtcR	gnd//dadX//
RutR	nrdD//gpmA//puuA//pnp//mnmG//sucD//grxA//uxuB//cysE//glcE//purB//
SdiA	
SgrR	ynfH//fabA//purL//
SlyA	nrfC//purH//ydcS//glcB//glcF//napB//bioA//pgaD//edd//
SoxR	allD//pflB//codA//putA//hyaB//chbG//
SoxS	glyA//recD//wrbA//speG//speG//avtA//cysK//pyrC//iscS//sdhA//cynT//aceF//talA//feaB//moaA//ssuE//serC//mhpB//trpC//malZ//ruvA//puuE//ndh//guaA//lpxA//ynfG//gcvT//gudD//
SrlR	rutB//rfe//tdcG//
StpA	tehB//yeaG//moeB//
SutR	aceB//napH//
TdcA	patA//ppc//leuA//chbF//speG//
TdcR	xylB//fadH//tam//glsA//ahpC//
TorR-Phosphorylated	oxc//bioB//acnA//metC//
TorR-TorI	appA//
TreR	acnB//guaA//
TrpR-tryptophan	ynfE//phnG//fucO//ybjG//mngB//fbaA//dmsB//phnO//ydcS//
TyrR	narH//
TyrR-phenylalanine	ynfH//kbaZ//
TyrR-tyrosine	purC//tam//deoA//metE//glpX//nrdD//glcD//tktB//
UhpA-Phosphorylated	caiB//
UidR	ybjG//citC//
UlaR	ycjG//mltF//hycB//aroA//waaH//
UvrY-Phosphorylated	nfsB//ahpC//
UxuR	phoA//fabH//ftnA//alkA//hcaD//
XapR-xanthosine	idnD//deoB//
XylR-xylose	rtcA//aceE//lsrF//
YdeO	uvrC//ilvC//dinB//
YefM	paaE//
YefM-YoeB	ttdB//
YeiL	
YhaJ	
YiaJ	garD//gadB//accC//lyxK//murC//betB//
YjjQ	mhpB//mhpE//
YpdB-Phosphorylated	
YqhC	pgm//fadH//
YqjI	ulaG//
ZntR-Zn2	puuC//
ZntR-Zn2+	rfe//
ZraR-Phosphorylated	
Zur-Zn2	polA//
Zur-Zn2+	lhgO//
