# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	mhpB//waaZ//
DpiA-Pasp	ttdA//alkB//metH//hcaB//psd//
DsdC-D-serine	slt//ftnA//
EbgR	
EnvR	betA//fabB//
EnvY	paaE//deoC//
EvgA-Phosphorylated	fabG//metB//ilvA//ogt//gcvP//carB//
ExuR	pspE//ugpQ//murE//ascB//citX//ccp//
ExuR-alpha-D-galacturonate	
FabR	astD//acnB//ruvA//
FadR	purE//fadE//nfsA//hcaC//ilvA//pgpC//epd//ydcS//glgP//ychF//recF//hycB//gudD//citX//pheT//tktB//gapA//speG//nrfC//
FadR-acyl-CoA	
FeaR	pspE//pflB//
FhlA-formate	purA//nanK//glpB//argC//nrfC//murF//prpE//waaH//
FlhDC	cynT//rhaD//aspA//frdD//phnI//tehB//pgaB//psd//ygeA//tktB//murF//fabI//pgaB//fadI//
FliZ	gnd//accA//rfe//lsrG//fucU//
FucR-L-fuculose-1-P	hcaC//folA//moaC//nirB//murQ//lpxD//
Fur-Fe2	malY//prpE//alaC//uxuA//umpH//ilvH//aceB//aceE//metC//cysJ//polA//fucA//melA//glnA//prpE//murC//caiB//alaA//purB//accA//pncB//nirD//ruvB//araB//appA//edd//pdeL//gabT//acnB//argC//glmU//iscS//puuE//accD//mpl//avtA//phnN//pflB//phoA//carB//fruK//dhaL//ndh//leuC//phnI//paaF//gor//dsdA//ada//gntK//rffG//nrdB//glcD//galK//melA//fumB//entE//recD//aceE//caiD//fadM//hyaA//
GadE	purC//tyrB//murD//lpxD//rhaA//aroL//ygeA//mhpE//garD//malZ//
GadE-RcsB	deoB//moaA//purM//entB//leuC//
GadW	aroF//gabD//sucC//citE//
GadX	lldD//glcB//uxaB//moaE//nfsB//phnJ//rutD//entA//mhpF//ubiA//glxK//trpB//melA//fau//
GalR	uvrC//waaY//ilvE//glnA//nrfD//paaC//
GalR-beta-D-galactose	purA//astD//guaB//entD//rsmH//
GalS	argI//eno//tktB//frdB//murF//rpiB//
GalS-beta-D-galactose	dgcC//rtcB//sgbH//fdhF//ftsI//
GatR	astD//gcvT//puuC//
GcvA	purF//dapB//paaH//
GlcC-glycolate	napB//bioF//kbaY//
GlpR	gltB//tauD//lsrK//rsmH//pgi//nrdB//citC//
GlrR-Pasp56	
GntR	murF//yqhD//purD//ssuD//gatY//fabZ//phnL//rtcA//glgP//
GutM	nrdF//tadA//gapA//
HU	yqhD//glgA//glpB//phnJ//gntK//cysI//umuD//
HcaR	
HcaR-HCA	melA//dgcZ//
HdfR	
HigA	polA//
HigB-HigA	cynS//
HipAB	allB//xapA//
HipB	glgA//narH//mhpA//
HprR-Phosphorylated	galM//rffM//hypF//nrdA//
HyfR	nirD//
HypT-Met-oxidized	entC//murG//phr//frc//thrS//amn//ppiA//
IclR-pyruvate	rpiB//glgC//bioD//
IdnR-5-ketogluconate	cynS//glgP//pgaB//kbl//ilvH//
IlvY	
IlvY-S-2-acetolactate	fucK//
IscR	frdB//fabB//mhpE//phnO//tdcD//ftsI//
IscR-2Fe-2S	ribA//rpiB//
KdgR	paaG//puuE//
KdpE-Phosphorylated	purC//
LacI	entC//aspC//alkA//
LeuO	wecB//paaH//rtcB//mhpE//mngB//moaC//
LexA	sbcC//citX//ldtC//betB//chbF//citF//aroA//paaY//ychF//pgpC//gloA//iscS//phnJ//leuA//pgaB//malP//entE//cysC//mhpD//argD//caiD//phoA//yedX//
LldR	metF//phnM//
LldR-S-lactate	citD//paaZ//
LrhA	
Lrp	carB//kbaZ//glk//katE//ribA//kbaY//pgpC//malY//argF//katE//ychF//paaE//sgbH//aroG//katG//kbaY//ndh//nirB//rfe//yqhD//hycG//cysC//torA//garD//rhaB//gpmA//carB//cynS//moaE//lldD//pgi//
Lrp-leucine	acnA//serC//caiD//adhE//leuA//deoC//epd//uidA//fabG//dhaL//murC//guaA//aceB//sgbE//idnO//tyrB//paaG//
LsrR	deoD//psd//ycjG//gcvP//tauD//
LysR	entA//
MalI	glmU//srlD//
MalT-maltotriose-ATP	sucB//mngB//rutE//cysM//wrbA//speB//
MarA	ldtB//fadH//galE//ynfG//yfdE//gntK//tyrA//astA//tdcB//glk//aceE//dapB//hycD//alaC//entA//cynS//gadB//entC//caiA//sdhC//cyoE//narI//glcF//paaJ//
MarR	
MatA	kbl//
MazE	ccp//
MazE-MazF	gudD//
McbR	
MelR	pgaD//citX//
MelR-melibiose	garL//pflB//
MetJ-adenosylmethionine	gcvH//ribA//fadH//ychF//purB//rffM//moaD//dgcZ//galT//gdhA//
MetR	ppsA//ydcS//
MetR-L-homocysteine	cysM//nrfD//
MhpR-3HPP	puuE//uvrB//wecB//caiC//fes//mhpB//
Mlc	metF//phnO//nrdD//dmsC//
MlrA	metH//
MngR	citE//nadA//
MntR-Mn2+	ribA//rutA//
ModE-MoO42-	bacA//phnO//wzc//betA//sdhC//napH//aroH//dapD//lysU//sdhC//ampC//pncB//fadJ//glxK//acnA//chbG//wrbA//
MprA	ttdA//rtcA//pgi//
MqsA	trpA//paaY//
MraZ	hyaA//hyi//hyi//treC//gdhA//ldtB//galE//argI//katE//mazG//
MurR	pdeH//lsrK//rbsD//
Nac	rpiB//wecC//accC//umuC//udp//glgA//dhaM//yqhD//patA//hcaD//galK//
NadR	ascB//gabT//hemH//entF//
NagC	entD//aspA//malS//asnB//ilvM//frdC//argB//gadB//metE//speB//aroL//rimK//fumB//fucK//arsC//speG//melA//argE//carA//
NanR	moeB//fadM//sucC//moaC//nanM//malQ//
NarL-Phosphorylated	gadA//ygeA//lysC//yqjH//slt//purN//wecC//frdA//pagP//arsC//prpC//grxA//alaA//fucO//ogt//ddlB//gatZ//puuC//nirB//purC//ychF//ftsI//ilvH//hycG//ascB//narG//ftsI//moeA//ribA//katE//sgbU//ftsI//atoB//allD//asnB//cyoE//moaA//napA//tadA//sucD//mraY//
NarP-Phosphorylated	hyaB//trpE//murC//asnB//atoA//deoC//mpaA//nrdF//gor//ubiA//alaA//sucB//purM//tnaA//ldtD//
NemR	murQ//uvrB//
NhaR-Na+	metE//mtlD//fabA//nfsB//truB//
NikR-Ni2+	hycE//
NimR	patA//
NorR	sbcD//
NrdR-Zn2+	lysA//fabI//lpxC//slt//
NsrR	nirD//metC//rbsK//dgkA//mnmG//nanM//bacA//aroF//nirD//mngB//nrdF//asnA//gabT//pepD//gudD//nanE//galM//rhaA//nadB//purE//hycG//ddlB//entF//paaJ//ilvG_1//sbcC//edd//moaD//pdeH//moaC//nanM//phnO//puuD//glpD//rutD//serC//hyaC//nanE//cysK//rhaD//
NtrC-Phosphorylated	atoA//dmsA//pdeH//allE//purC//purN//ilvC//aspC//ribA//napH//pgaB//hypF//avtA//iscS//araA//ampC//lysA//ybjG//uvrC//citF//tynA//
OmpR-Phosphorylated	uxaB//lyxK//tdcD//glmU//ldtD//paaA//purE//glyA//
OxyR	trpC//ppiA//atoA//ulaG//nirB//nrdB//ychF//metH//nanM//fdhF//argF//yfdE//ilvH//metC//fucU//metF//tam//
PaaX	glmU//ilvE//purA//atoD//ybjG//tyrB//codA//purE//betB//
PdeL	fadJ//
PdhR	leuA//rimK//ilvA//dacC//ppiA//putA//puuB//srkA//fucI//frdB//wzb//alaS//ugpQ//ynfG//entC//rffH//aroA//bioA//alkA//fadH//allB//gatZ//murG//glpX//sgbH//
PepA	nagB//entF//
PgrR	fbaB//fumC//
PhoB-Phosphorylated	speA//gabD//cyoE//hycD//ulaG//pgm//hyaC//cysC//lysC//speG//hyaB//glcF//glpQ//fadH//poxB//gatY//rsmH//fadE//tdcD//nanA//
PhoP-Phosphorylated	adhE//yeaE//ssuD//rtcA//uvrB//wzb//purF//mhpB//tktB//ppiA//pgm//guaB//narH//ubiA//dadA//gdhA//glgP//aceB//polA//glcF//pykF//fadI//hcaF//phnH//bglB//metE//cysG//dmsA//putA//lysU//ulaF//entB//
PrpR-2S3S-2-methylcitrate	rhaB//malZ//rutA//fabA//
PspF	tnaA//
PurR-hypoxanthine	frdB//dmsB//folE//hemH//dmsC//dgkA//tehB//ogt//cdd//cysD//aceF//pyrD//lysC//astE//murE//ulaG//bioA//glcB//alaC//codA//waaZ//alaC//dmsA//murG//cysJ//malS//
PutA	uxuA//ndh//
PuuR	napH//trpD//dacC//xylB//fadE//rnpB//
QseB-Phosphorylated	
RbsR	cadA//murG//accD//pdeH//carB//
RcdA	ilvC//
RclR	
RcnR	fucK//
RcsAB	xylB//aceE//rutE//
RcsB-BglJ	citC//srkA//
RcsB-Pasp56	pyrC//oxc//nagB//cadA//
RelB	rutA//
RelB-RelE	rutE//
RhaR-alpha-L-rhamnopyranose	
RhaS	serA//
RhaS-alpha-L-rhamnopyranose	sucA//fumC//sucD//prs//
Rob	sucD//cysH//leuC//fabG//fabD//purH//pgi//hycD//araB//ssuE//lpxD//srlD//pheS//entC//ynfH//aroL//icd//cyoE//katG//
RstA-Phosphorylated	gutQ//ubiA//mnmG//
RtcR	hycF//murG//
RutR	pnp//kbaZ//fes//fbaA//tdcG//moeA//tdcB//purE//nanA//frdA//epd//
SdiA	
SgrR	paaI//glnA//ttdB//
SlyA	pgm//epd//phnL//rutA//dhaK//mhpE//ppiA//ndh//sdaA//
SoxR	accC//pncB//ascB//arsC//trpC//amn//
SoxS	glpA//entH//gcvP//idnO//recD//phnO//nrdB//hycF//alkB//hyaB//fabZ//eno//tpiA//fucA//gudD//sucD//ynfG//ybjG//ldtB//xylB//mhpC//astA//uidA//tynA//gpmM//paaF//sbcC//fabG//
SrlR	pflB//rffT//aceB//
StpA	gutQ//fucA//paaE//
SutR	srkA//tehB//
TdcA	tdcG//recD//gcvP//fadM//dkgA//
TdcR	eno//lysC//fumB//hyaA//galK//
TorR-Phosphorylated	wecB//fucO//trpD//yeaE//
TorR-TorI	puuB//
TreR	gadB//atoD//
TrpR-tryptophan	patA//argB//napB//phnH//ssuE//glgX//araD//caiB//sdhA//
TyrR	gcvT//
TyrR-phenylalanine	paaY//slt//
TyrR-tyrosine	hmp//xapA//fumB//cynT//alaA//trpA//caiB//uxaC//
UhpA-Phosphorylated	nagB//
UidR	astD//avtA//
UlaR	waaY//pck//ruvA//aceB//dmsC//
UvrY-Phosphorylated	caiA//ruvA//
UxuR	glgC//sdhD//glpX//hemH//frdB//
XapR-xanthosine	icd//nirD//
XylR-xylose	lpxD//hcaB//allB//
YdeO	rnpB//prpB//glpX//
YefM	mpl//
YefM-YoeB	rffG//
YeiL	
YhaJ	
YiaJ	galE//allC//waaY//leuC//ttdA//alkB//
YjjQ	glcF//deoA//
YpdB-Phosphorylated	
YqhC	argG//xylB//
YqjI	ssuD//
ZntR-Zn2	pspE//
ZntR-Zn2+	talA//
ZraR-Phosphorylated	
Zur-Zn2	ubiX//
Zur-Zn2+	puuA//
