# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	entC//lacZ//
MhpR-3HPP	yedX//mraY//sucB//tyrA//phnJ//uxaA//
Mlc	uxaC//bioA//cysG//ulaF//
MlrA	truB//
MngR	murD//cysK//
MntR-Mn2+	aceF//ahpF//
ModE-MoO42-	purB//deoD//mraY//napH//hycC//pdeL//moaD//slt//sucB//phnL//atoB//mraY//lacZ//gpmM//speB//prs//hcaB//
MprA	phnM//polA//waaH//
MqsA	ydcS//nrdD//
MraZ	uxaC//putA//citF//bacA//fucO//tdcG//pyrD//metE//deoD//ygeA//
MurR	bglB//phnN//pdeL//
Nac	fadE//kbl//glpB//cynT//pyrD//nagA//dmsA//xapA//torC//hcaD//entA//
NadR	ycjG//hcp//hyaA//bioA//
NagC	glxK//lsrG//trpC//carA//malQ//galM//pdeR//ynfE//paaE//ynfH//ynfF//uxaA//accC//moaD//astC//fucI//rimK//hcp//waaZ//
NanR	cysN//rffC//glcF//dadA//dkgA//speB//
NarL-Phosphorylated	cysN//pagP//glpA//lpxD//pncB//ttdB//hycD//ynfE//puuE//recF//pck//yfdE//ldtC//narI//umuC//patD//fadJ//glxK//xapA//uvrC//mhpF//bioB//argA//mltF//umpH//eno//rutB//rutC//nrdB//accD//gatY//rutA//nirD//metL//argA//ynfE//tdcG//pspE//hmp//atoD//mraY//
NarP-Phosphorylated	uvrB//fabI//katE//moaE//torC//prpD//recB//waaZ//paaJ//murF//glmU//galK//tauD//talA//uvrB//
NemR	rhaA//prpE//
NhaR-Na+	accD//pykF//ppsA//rbsK//slt//
NikR-Ni2+	sgbE//
NimR	metL//
NorR	waaZ//
NrdR-Zn2+	metC//udp//yfdE//putA//
NsrR	aroG//mltF//astE//ftnA//idnD//murI//sbcD//hypB//atoB//ada//ilvH//ynfH//ttdA//araB//ssuE//pagP//amn//napH//lldD//cysI//prpB//tdcG//lysC//pncB//aroG//leuC//nrdF//fabD//ssuE//nrdF//astD//ubiX//metC//mpaA//ynfE//pfkA//gadB//ubiC//aceB//ttdA//
NtrC-Phosphorylated	sdaA//argE//lpxC//purN//gcl//kbaY//folE//chbG//purA//nrdA//aroH//hycB//tpiA//metA//argF//pflB//purF//rbsD//phnI//phnJ//phnG//
OmpR-Phosphorylated	appA//glk//puuD//dhaM//araB//wzb//rfe//rimK//
OxyR	trpA//rbsD//ilvE//mhpC//idnK//phnH//sucD//torC//treC//phnO//murE//pgi//zwf//citX//gcvT//rhaA//ilvG_1//
PaaX	dgcZ//allE//puuD//hmp//yqjH//idnK//ada//caiC//phr//
PdeL	ynfE//
PdhR	wrbA//aroA//dacC//puuC//nagA//citX//aspA//caiC//polA//dadX//mnmG//rffH//hyaC//pgk//wecE//murQ//sodB//mnmG//gadB//bioC//argF//fucU//entF//nadA//sucC//
PepA	bioC//tnaA//
PgrR	fadJ//cysH//
PhoB-Phosphorylated	mpaA//ynfH//srkA//mraY//lacA//dadX//fabB//hmp//rnpB//deoC//aroL//kbaZ//ppiA//torA//dsdA//carB//idnO//dapD//rbsK//chbG//
PhoP-Phosphorylated	hemH//idnK//ccp//putA//frdD//ugpQ//murG//gnd//entB//putA//rfe//srlD//puuB//garK//yfdE//ahpC//rtcA//gutQ//guaB//ppiA//leuC//purC//pfkA//ahpC//deoC//cynT//rhaB//rfe//rffH//wzc//malQ//mtlD//
PrpR-2S3S-2-methylcitrate	fdhF//umpH//ssuD//torA//
PspF	ilvD//
PurR-hypoxanthine	hypF//appA//dkgB//glxR//hmp//mdh//aceA//hcp//fucU//gnd//fes//citG//allA//gabT//paaY//astD//metK//katE//rutE//fadA//udp//alaS//speB//nadA//dhaM//deoC//
PutA	ftnA//phr//
PuuR	dinB//nrdD//tadA//pgaD//yedX//deoD//
QseB-Phosphorylated	
RbsR	puuA//dmsC//cysG//lysA//galE//
RcdA	xapA//
RclR	
RcnR	galM//
RcsAB	napG//dmsB//betB//
RcsB-BglJ	epd//glgP//
RcsB-Pasp56	melA//murD//grxA//pdeR//
RelB	gntK//
RelB-RelE	ldtC//
RhaR-alpha-L-rhamnopyranose	
RhaS	gatY//
RhaS-alpha-L-rhamnopyranose	pdeR//betA//glgP//moaD//
Rob	allA//lyxK//gadA//citG//ddlB//entH//citG//pspE//citD//phnL//ttdA//xapA//dhaL//glmS//paaJ//paaA//yiaK//fabG//gcvT//
RstA-Phosphorylated	rffH//alaC//caiD//
RtcR	entD//lysA//
RutR	aroL//galT//rnpB//sdhA//umuD//ftnA//ftsI//alaS//citF//ynfF//folE//
SdiA	
SgrR	paaJ//ddlB//rutC//
SlyA	frc//narI//fumB//mnmG//entE//slt//poxB//glyA//nanK//
SoxR	araB//ynfE//rffT//uvrA//nrfC//napG//
SoxS	ahpC//malQ//allA//ssuE//pdeL//pepD//purD//paaG//purE//ubiC//glnA//moaA//puuA//mhpD//metE//cysC//metF//uvrA//lpxD//aroA//tdcE//hycC//nrdE//aceA//pck//glgP//aceE//hycB//
SrlR	lpd//tyrA//malZ//
StpA	caiA//moeB//phnJ//
SutR	aceE//adiA//
TdcA	citC//mhpE//tnaA//ldtB//araD//
TdcR	rffM//lsrK//alaS//prpE//malQ//
TorR-Phosphorylated	xapA//nrfA//ahpF//fucI//
TorR-TorI	lsrF//
TreR	ogt//ulaG//
TrpR-tryptophan	thrS//nirD//ribA//moaA//frdA//hypB//nrdA//purN//deoC//
TyrR	uvrC//
TyrR-phenylalanine	dgcC//eno//
TyrR-tyrosine	torC//asnA//metL//cysI//dkgB//phnJ//argA//guaB//
UhpA-Phosphorylated	astD//
UidR	speG//glpK//
UlaR	waaY//ydcS//hyi//sucA//dinB//
UvrY-Phosphorylated	gnd//ydcS//
UxuR	mngB//fucA//atoB//bioA//entF//
XapR-xanthosine	murE//sgbE//
XylR-xylose	aspC//nrdE//allA//
YdeO	nemA//umuD//ilvH//
YefM	hcaF//
YefM-YoeB	uxaA//
YeiL	
YhaJ	
YiaJ	entF//yqhD//srlD//carA//ilvA//ynfG//
YjjQ	pnp//gcvT//
YpdB-Phosphorylated	
YqhC	tehB//idnK//
YqjI	hcaE//
ZntR-Zn2	glyA//
ZntR-Zn2+	uxuA//
ZraR-Phosphorylated	
Zur-Zn2	ftsI//
Zur-Zn2+	fucK//
