# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	moeA//gnd//
FadR	citE//tam//rffG//puuD//cysD//torA//phnP//kbaZ//aspA//cysJ//astA//galE//zwf//ppiA//malS//wecB//ygeA//hcaF//fucU//
FadR-acyl-CoA	
FeaR	gdhA//murF//
FhlA-formate	hycF//rbsD//hemH//uxaA//gabD//cynT//codA//cdd//
FlhDC	trpA//dmsC//tyrA//purA//dgcZ//ldtB//pepD//mngB//sgbE//appA//fabB//tdcB//mdh//galE//
FliZ	malZ//dgcZ//rffM//nagA//entD//
FucR-L-fuculose-1-P	rtcA//phnO//rffC//rhaD//pyrC//cysN//
Fur-Fe2	gadB//tdcD//hyaB//frdB//ilvD//sdhD//pyrC//prpE//tynA//fadB//hemL//cysD//rsmH//tam//rtcB//gutQ//bacA//fadI//lsrG//thrS//ulaD//astB//lpd//atoB//aceA//cysI//tynA//purH//sbcC//wecC//ascB//betB//patA//napG//appA//uvrC//nadA//yeaG//ppc//argD//ndh//pck//ycjG//amn//talA//thrS//accC//ogt//fadD//bacA//dhaL//tdcB//nagB//cysC//murD//rbsK//trpE//fucO//glgP//galT//uxaB//rnpB//
GadE	argI//leuC//ampC//recB//wecB//fadM//ppsA//ubiC//tynA//uxaB//
GadE-RcsB	sgbH//lyxK//iscS//glyA//fabG//
GadW	mdh//lpxD//nrdB//gudD//
GadX	mazG//murI//argG//mpl//garK//gloA//fabI//alsE//dgkA//allC//fdhF//mngB//hemH//eda//
GalR	ilvE//rpiB//umpH//dapB//folE//tauD//
GalR-beta-D-galactose	caiB//rbsK//rutB//rimK//umpH//
GalS	garR//rbsK//pncB//wrbA//gatZ//hcaC//
GalS-beta-D-galactose	tyrA//glpX//phnM//nanA//fadB//
GatR	nemA//mltF//wrbA//
GcvA	trpA//trpB//torA//
GlcC-glycolate	ftnA//carA//tyrB//
GlpR	hycE//fabA//paaF//yeaG//yedX//mhpE//moeB//
GlrR-Pasp56	
GntR	ppc//tdh//cysN//xylA//lpd//nrdD//ilvI//gnd//phnN//
GutM	katE//fabI//citG//
HU	mhpC//entC//dapB//hyaB//pepD//accC//alaA//
HcaR	
HcaR-HCA	cysN//astC//
HdfR	
HigA	fadJ//
HigB-HigA	glpA//
HipAB	fadA//malY//
HipB	ygeA//wecB//lpxA//
HprR-Phosphorylated	bioD//galK//ruvA//alsE//
HyfR	carB//
HypT-Met-oxidized	pagP//glxK//rffG//cyoE//glgP//fes//uidA//
IclR-pyruvate	allA//nirD//murD//
IdnR-5-ketogluconate	nanA//glnA//adiA//allD//fabZ//
IlvY	
IlvY-S-2-acetolactate	tam//
IscR	purN//idnK//allC//tpiA//mhpA//yeaG//
IscR-2Fe-2S	zwf//dgkA//
KdgR	puuA//tpiA//
KdpE-Phosphorylated	gabD//
LacI	bioC//hypB//recD//
LeuO	puuA//puuE//putA//glgX//mngB//hcaD//
LexA	paaZ//acnB//lsrF//glpK//torC//bioB//epd//bioF//melA//aroF//aroF//bioD//frc//umuC//moeB//ppiA//cysK//leuB//ampC//mpaA//srkA//entC//edd//
LldR	cysD//moeA//
LldR-S-lactate	feaB//ynfE//
LrhA	
Lrp	purC//dhaM//wzc//glpB//metB//lpxD//deoD//ahpF//cysM//uidA//arsC//epd//glnA//glgB//metC//paaJ//pgm//kbaY//paaY//aceB//fabG//glyA//ybjG//caiD//glnA//hyi//gapA//phr//betA//wecE//allE//
Lrp-leucine	argH//gcvH//ycjG//lldD//ulaD//tauD//ldtB//metH//ung//malQ//aldA//yqjH//cysH//accA//glgA//paaI//purL//
LsrR	uidA//uidA//hemH//murC//pgaD//
LysR	sgbE//
MalI	aroL//fabA//
MalT-maltotriose-ATP	ddlB//wecC//ccp//epd//adhE//cysJ//
MarA	nfsB//glxR//argE//nrfC//galE//sgbU//bioD//nagB//nemA//sufS//cysD//hycE//paaY//ppsA//ascB//tynA//nrdA//entA//icd//dsdA//bioB//trpE//glcE//metF//
MarR	
MatA	mhpC//
MazE	accD//
MazE-MazF	hcaC//
McbR	
MelR	moeB//napG//
MelR-melibiose	pdeL//pflB//
MetJ-adenosylmethionine	trpA//murD//luxS//gntK//entF//fucI//bioB//fadE//rhaA//pnp//
MetR	nrfA//slt//
MetR-L-homocysteine	lpxA//caiB//
MhpR-3HPP	narG//fucO//umuD//dgkA//trpA//fruK//
Mlc	hcaC//hycG//idnD//gatY//
MlrA	lpxD//
MngR	argE//dkgB//
MntR-Mn2+	pgm//alaC//
ModE-MoO42-	ilvE//yeaG//paaH//amn//malS//galT//glgA//hemH//moaC//atoB//sdaA//fucA//sdhC//frdD//gapA//fbaB//wrbA//
MprA	carB//astA//fbaB//
MqsA	paaK//ftsI//
MraZ	leuC//gatY//gcl//murF//gntK//recF//bglB//alaA//allE//hcaF//
MurR	paaH//lysU//bglB//
Nac	entD//ada//fabB//rhaA//lhgO//astD//luxS//sdhB//entH//pyrC//idnO//
NadR	paaI//lldD//dapB//fucA//
NagC	sbcC//uxaB//caiA//cysI//dkgA//talA//entE//glpA//phnO//asnB//prs//sbcC//dapD//dsdA//tdcE//yeaG//fabB//rbsD//acnB//
NanR	pncB//dapD//aceA//entD//hemH//entH//
NarL-Phosphorylated	metL//trpB//phnG//rutB//leuA//citC//lysU//moaD//purB//pagP//murI//waaH//galE//srkA//napA//argC//tyrB//wrbA//dmsA//mngB//glmS//speB//asnB//cyoE//lsrG//pyrC//rutB//bioC//paaI//adhE//fucK//gnd//serC//feaB//uxuB//phnJ//napA//mhpE//narG//trpA//ppiA//
NarP-Phosphorylated	rbsD//puuD//tdh//entF//ada//garL//idnK//gnd//iscS//fabB//moaE//wzb//caiA//feaB//citX//
NemR	rffH//napH//
NhaR-Na+	uvrA//uxaC//murQ//gor//astA//
NikR-Ni2+	metC//
NimR	cysE//
NorR	tnaA//
NrdR-Zn2+	epd//gabT//dadA//hyi//
NsrR	mhpB//gatY//nrfC//sdaA//wecC//adiA//malP//codA//truB//narI//rhaB//citF//paaY//nirD//uxaB//paaA//ydcS//metE//nagA//moeA//waaY//ribA//fumB//rpiB//uvrC//betB//trpC//galK//fadJ//ynfH//pflB//trpE//murF//ilvM//rutE//araB//nirD//moeB//fumB//icd//
NtrC-Phosphorylated	rbsK//nrdE//phnH//malQ//ruvA//tktB//rsmH//dhaL//ilvA//gltD//atoB//gntK//paaB//citE//lsrK//lysC//argF//uvrA//pgpC//wecE//ychF//
OmpR-Phosphorylated	rsmH//caiB//argB//pck//cadA//glxR//ilvE//poxB//
OxyR	aceF//dkgB//gadB//tktB//torA//ruvA//cysI//galT//tpiA//atoA//ubiX//glyA//glpX//dgkA//narH//argA//yqjH//
PaaX	metB//lpxD//argH//idnK//fbaB//serA//glgA//hyi//galE//
PdeL	moeB//
PdhR	glcE//pnp//phnP//eda//nrfD//slt//astB//narG//mhpB//ppsA//hyaC//trpE//tdcB//moeB//cynT//gatD//murD//lyxK//cynT//napH//pgi//metK//hmp//frdA//glgA//
PepA	glxR//nrdF//
PgrR	polB//mhpF//
PhoB-Phosphorylated	chbF//paaJ//alkB//garR//nadA//adiA//gnd//alsE//bglB//glcE//guaA//pnp//argD//frc//caiA//betB//ulaG//icd//torA//allD//
PhoP-Phosphorylated	fadE//fdhF//puuA//fabD//mraY//uidA//frdD//aceB//dgcZ//asnA//ribA//lacZ//ilvI//gnd//sbcD//yedX//napG//rffG//dkgA//gcvT//fucI//bioD//amn//tynA//paaY//purC//wrbA//idnD//pdeL//pgi//tadA//sodA//
PrpR-2S3S-2-methylcitrate	paaH//sbcC//malZ//citC//
PspF	ychF//
PurR-hypoxanthine	sgbH//trpE//amn//dgkA//trpD//nagB//cadA//purD//ynfG//lpd//dmsC//nanK//leuA//pgk//sdhD//sbcD//dgcN//deoA//fes//rsmH//nemA//carB//bioB//dsdA//ampC//phnH//
PutA	fbaB//narI//
PuuR	pyrC//glgC//hcaD//paaK//idnD//cueO//
QseB-Phosphorylated	
RbsR	recB//feaB//pykF//sufS//gatD//
RcdA	guaA//
RclR	
RcnR	ynfF//
RcsAB	mpl//pgi//dadA//
RcsB-BglJ	deoD//rimK//
RcsB-Pasp56	cysC//deoA//fabG//cysM//
RelB	yqjH//
RelB-RelE	gabT//
RhaR-alpha-L-rhamnopyranose	
RhaS	mpaA//
RhaS-alpha-L-rhamnopyranose	alaA//fabG//glpX//ilvE//
Rob	ampC//chbG//acnB//glpB//yeaE//dkgA//gloA//allD//pgaB//tynA//dinB//frc//aspA//lyxK//rutD//mhpD//gapA//pdeH//ilvD//
RstA-Phosphorylated	pck//lsrG//xapA//
RtcR	argH//argC//
RutR	argF//fucU//mpaA//frdB//phnN//rbsD//purL//gutQ//hemL//mpl//melA//
SdiA	
SgrR	fbaA//narG//tyrB//
SlyA	cdd//leuD//ogt//rsmH//moaC//purA//fes//uxaC//ulaG//
SoxR	ndh//argF//paaH//citD//trpB//wzc//
SoxS	caiD//glpQ//glcF//ampC//ftsI//glpX//gpmA//alaA//phoA//glpA//metH//napG//paaB//moaA//mraY//glgP//gatY//fucU//glgX//chbG//frdC//araD//lpd//trpE//mhpE//fucK//mhpD//yeaE//
SrlR	ybjG//aceF//idnD//
StpA	cadA//allD//cynS//
SutR	gltD//fes//
TdcA	nrdD//serC//ilvA//deoC//yfdE//
TdcR	cynT//deoD//entF//fbaB//bioC//
TorR-Phosphorylated	fruK//ybjG//ttdB//hypF//
TorR-TorI	bioC//
TreR	tpiA//ldtD//
TrpR-tryptophan	paaG//torA//phnI//cueO//glk//hcaB//pgaB//ogt//kbl//
TyrR	citF//
TyrR-phenylalanine	citX//mpl//
TyrR-tyrosine	aroH//gpmA//moaA//pgaD//dgcZ//fadB//hycG//paaF//
UhpA-Phosphorylated	cysH//
UidR	oxc//paaH//
UlaR	acnA//lysU//aspC//putA//citD//
UvrY-Phosphorylated	uvrB//waaH//
UxuR	moeA//paaZ//ssuD//pck//entE//
XapR-xanthosine	hycB//wzb//
XylR-xylose	trpB//aceA//kbaZ//
YdeO	phnN//cysG//ttdB//
YefM	idnK//
YefM-YoeB	yqhD//
YeiL	
YhaJ	
YiaJ	prpE//fadM//purD//yeaG//gor//ulaG//
YjjQ	rffM//fbaA//
YpdB-Phosphorylated	
YqhC	puuE//ddlB//
YqjI	puuA//
ZntR-Zn2	serA//
ZntR-Zn2+	ulaG//
ZraR-Phosphorylated	
Zur-Zn2	fruK//
Zur-Zn2+	araA//
