# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	paaE//aspA//
CusR-Pasp	citE//speA//hycF//kbaZ//
CynR	
CynR-cyanate	dhaK//ssuE//adiA//
CysB	phnJ//wrbA//
CysB-O-acetyl-L-serine	edd//paaZ//adhE//glpC//ldtD//purF//moeA//citX//gloA//gatZ//kbaZ//paaG//alsE//lacA//uidA//
CytR	citD//paaE//cysE//mhpA//cynT//cysG//edd//rhaD//glgC//aroA//
Dan-L-tartrate	patA//aceE//
DcuR-Phosphorylated	glcF//fabA//astD//prpD//
DeoR	glsA//udp//ppc//icd//gor//dkgA//
DhaR	mhpA//
DicA	
DinJ-YafQ	alkB//
DnaA-ATP	malP//ssuD//polA//waaY//pykF//sdhD//
DpiA-Pasp	prpE//hcaF//gabT//napA//murE//
DsdC-D-serine	ulaD//trpA//
EbgR	
EnvR	ilvI//frdD//
EnvY	nrdA//phnM//
EvgA-Phosphorylated	araD//fadE//kbaZ//lacA//xapA//gabD//
ExuR	kbl//atoA//metF//uxuA//glgA//phnI//
ExuR-alpha-D-galacturonate	
FabR	nagA//nadA//sdhD//
FadR	malY//pgaC//ogt//feaB//acnA//tyrA//ogt//astA//zwf//alaS//allC//alaS//uxaC//entE//leuD//recB//allC//ychF//ilvH//
FadR-acyl-CoA	
FeaR	dhaK//yeaG//
FhlA-formate	yfdE//citC//iscS//frdC//pspE//lldD//tpiA//chbF//
FlhDC	rhaB//malQ//pck//fabH//glpA//ppsA//mhpF//uxaB//gnd//psd//rbsK//cueO//ttdB//betB//
FliZ	cadA//asnA//lhgO//tdcB//paaC//
FucR-L-fuculose-1-P	rffT//moaE//phnL//paaF//appA//dkgA//
Fur-Fe2	metF//treC//udp//rffH//ascB//ndh//garK//fdhF//appA//pflB//sucC//umpH//nadA//gutQ//malS//nemA//frdB//mhpC//fumB//nirB//gpmM//katE//dsdA//ahpC//speG//entA//torC//sdhB//paaG//melA//lsrG//tauD//melA//ftsI//sucA//purH//trpB//icd//puuE//eda//nadB//mraY//cysJ//lysA//melA//cyoE//hycF//prs//pncB//paaK//phnO//mhpE//melA//sucB//astE//dmsC//ilvI//polA//metC//fbaA//hycB//accC//
GadE	fadD//argA//atoD//tam//bioB//narH//ynfH//glgB//sbcC//dapB//
GadE-RcsB	srkA//citX//fabG//mhpE//ynfH//
GadW	hcaE//ycjG//caiD//lysA//
GadX	melA//hyaB//allD//gatD//purH//metL//katG//tadA//kbaZ//malY//puuD//mpaA//hemH//alkA//
GalR	fbaB//kbaY//cueO//napH//dgcZ//fucK//
GalR-beta-D-galactose	purL//fbaA//astC//murC//wecE//
GalS	aroF//pdeH//acnA//pnp//gapA//ilvE//
GalS-beta-D-galactose	lpxD//frc//ddlB//entB//dapD//
GatR	mraY//prpC//rutD//
GcvA	uxaC//purE//speA//
GlcC-glycolate	nirD//ybjG//dapD//
GlpR	rbsK//aspA//ugpQ//accD//xylA//ycjG//patA//
GlrR-Pasp56	
GntR	lldD//putA//yedX//avtA//purL//lsrG//allA//gloA//metF//
GutM	rpiB//dadX//alsE//
HU	narI//ulaG//fadD//bioC//lhgO//gcvH//dadA//
HcaR	
HcaR-HCA	napA//deoC//
HdfR	
HigA	gadA//
HigB-HigA	entA//
HipAB	gloA//patA//
HipB	malP//entC//citF//
HprR-Phosphorylated	nadA//glpC//mhpC//hemL//
HyfR	kbl//
HypT-Met-oxidized	pdeR//puuC//cysK//tam//murG//glpK//ilvE//
IclR-pyruvate	dmsB//tdcB//frdC//
IdnR-5-ketogluconate	hycC//chbG//ulaG//gcvP//pnp//
IlvY	
IlvY-S-2-acetolactate	cysE//
IscR	umpH//lsrK//fadB//purB//citD//xapA//
IscR-2Fe-2S	gor//mtlD//
KdgR	gcvH//waaZ//
KdpE-Phosphorylated	uvrC//
LacI	cysG//ndh//serA//
LeuO	lacA//lsrG//tdcB//yeaE//glgA//gloA//
LexA	astD//astE//cysC//purF//pdeH//cysM//purE//moaC//yedX//tauD//rbsK//recF//atoA//fucA//ogt//moaE//glcF//aceB//pgk//glcD//fadE//dinB//glcE//
LldR	paaY//deoD//
LldR-S-lactate	purF//hcp//
LrhA	
Lrp	glcE//trpA//uidA//moaD//entC//uidA//gdhA//aceB//yeaE//hyaC//aceF//accA//cysM//pgaD//gpmM//argG//nfsA//hcaF//dsdA//galT//adiA//relA//uxuB//alaS//lacA//hyi//rnpB//feaB//umuC//ulaD//umpH//
Lrp-leucine	ldtC//purB//tyrB//yqjH//lldD//fdhF//nemA//alaC//phnH//ampC//gor//argE//lpxC//aroF//uvrC//cynT//rutC//
LsrR	hmp//ilvD//gatZ//nrdA//polA//
LysR	rpiB//
MalI	lysU//mltF//
MalT-maltotriose-ATP	dhaM//fau//hyaB//waaY//ilvH//alsE//
MarA	gutQ//fucU//codA//galT//yqhD//glnA//ccp//citD//puuD//phnM//tdcE//frdD//katE//sbcC//truB//mhpE//pfkA//ydcS//lsrK//fadI//aroA//pck//alkA//hemH//
MarR	
MatA	nfsA//
MazE	ycjG//
MazE-MazF	hmp//
McbR	
MelR	ycjG//sucD//
MelR-melibiose	phoA//ynfE//
MetJ-adenosylmethionine	leuC//gor//phnG//napG//fadM//pdeL//alaC//pyrC//pncB//yeaE//
MetR	frdD//astD//
MetR-L-homocysteine	fabG//codA//
MhpR-3HPP	sodB//idnO//gatY//dadA//murI//murI//
Mlc	aceF//patA//hycE//eda//
MlrA	mpaA//
MngR	lpxC//hyaB//
MntR-Mn2+	cysG//kbl//
ModE-MoO42-	nrdE//entB//lsrF//cysM//tadA//fabZ//moaA//glgX//lpxA//paaE//ulaG//dacC//fruK//hyaB//ada//moeB//glpQ//
MprA	oxc//fabG//tehB//
MqsA	purH//ahpF//
MraZ	narI//fadE//garD//mraY//purL//mraY//carB//prpE//rutA//citC//
MurR	fdhF//ydcS//fadA//
Nac	nrdB//wrbA//araA//cynT//gloA//araB//citE//galE//napB//allE//ndh//
NadR	glgP//leuC//nagB//gatD//
NagC	ynfF//fbaB//deoA//paaC//hcp//wzb//uxaA//gloA//caiC//mhpB//paaH//nrdA//lsrF//folA//ycjG//glgC//gloA//wecE//malS//
NanR	aceB//glnA//betB//murQ//trpB//ubiA//
NarL-Phosphorylated	hyaB//deoC//glcF//glpC//tktB//glxK//astB//hycD//ruvB//gntK//ynfG//nanM//glk//rtcA//metF//rutE//nanM//entH//acnB//ascB//phnG//fau//malZ//paaI//leuC//pck//pncB//puuE//mhpA//caiD//phnL//argD//prpE//umuC//malS//fucK//tauD//rffM//glpX//gcvP//murG//
NarP-Phosphorylated	fabB//glcE//phnO//mazG//deoD//sbcC//moeB//sbcD//rffM//uvrC//entD//avtA//nrfA//dhaK//uvrB//
NemR	yeaG//phnO//
NhaR-Na+	phnJ//prpE//recD//hyaA//gutQ//
NikR-Ni2+	dkgB//
NimR	gltD//
NorR	glnA//
NrdR-Zn2+	bioF//argF//phoA//lpd//
NsrR	galE//waaZ//gudD//caiC//tktB//astC//aroA//cysK//aldA//ssuE//puuB//hycD//phnO//sdhC//nanM//umuD//purL//tehB//nrfC//tnaA//pflB//ldtC//rpiB//allA//avtA//metB//phnO//pheS//gabT//glpK//ulaD//glgA//uxuB//nanA//glcF//deoD//gadA//allE//nirD//bioC//
NtrC-Phosphorylated	cadA//lysA//prpD//pgi//ppsA//mhpD//nirD//lldD//guaA//guaA//ssuE//pgm//mpl//yiaK//speA//sdaA//tauD//idnD//galE//cysD//alkB//
OmpR-Phosphorylated	paaZ//aroF//rffH//fdhF//sdaA//sdhA//umpH//poxB//
OxyR	dhaK//waaY//glpQ//ttdA//moeA//xylB//fau//trpC//phnI//argB//araB//pgm//nanM//ubiC//paaE//astC//gatZ//
PaaX	cadA//dkgA//dmsB//ahpC//fucO//ynfE//feaB//iscS//glxR//
PdeL	hycG//
PdhR	lpxD//ada//murC//pfkA//dgcN//aspA//glcD//rutA//puuD//hcaD//glsA//mpl//galK//hcaF//pheT//sdhA//oxc//lyxK//nanA//glpB//citD//nrfA//phoA//galT//metA//
PepA	sucA//mhpE//
PgrR	murQ//argB//
PhoB-Phosphorylated	astB//rtcB//folA//fadD//nrfA//truB//purN//ahpF//alkB//glyA//argG//sucB//tpiA//dkgB//trpB//moaD//paaG//sgbU//ahpC//fucA//
PhoP-Phosphorylated	lhgO//entF//cysJ//deoB//atoA//truB//pheT//prpB//glnA//folA//cysD//yiaK//guaA//phnI//rffM//mhpC//malP//waaH//lsrK//trpB//astD//mltF//rtcA//nirD//poxB//paaJ//deoB//murI//paaC//argC//murE//ada//
PrpR-2S3S-2-methylcitrate	rnpB//dsdA//wecC//wzb//
PspF	mpl//
PurR-hypoxanthine	uxaC//gatY//asnA//ung//pgaD//torA//ssuD//frdB//alaC//entB//deoD//tktB//metE//gntK//ssuD//pgpC//melA//aceF//ddlB//rfe//phnI//ddlB//aceE//waaH//alaA//ycjG//
PutA	narG//leuA//
PuuR	fucO//nrdF//citX//ldtD//galE//rtcB//
QseB-Phosphorylated	
RbsR	glcE//araA//betB//tdcG//iscS//
RcdA	gcvT//
RclR	
RcnR	mpl//
RcsAB	sgbH//pncB//hyaA//
RcsB-BglJ	iscS//gcvH//
RcsB-Pasp56	prpD//rutB//pagP//umuC//
RelB	rhaB//
RelB-RelE	dsdA//
RhaR-alpha-L-rhamnopyranose	
RhaS	tadA//
RhaS-alpha-L-rhamnopyranose	purH//narI//rffM//prpB//
Rob	murE//uvrB//glpC//nanA//dgkA//sucA//glpC//mnmG//dhaL//lpxA//astE//xylA//metH//wrbA//purC//paaY//paaE//alaS//phr//
RstA-Phosphorylated	rutB//dkgA//glpD//
RtcR	entD//phnJ//
RutR	frdD//hyi//wrbA//ubiA//lsrF//dhaL//bglB//aroH//aroF//glxR//speG//
SdiA	
SgrR	sucB//xylB//carB//
SlyA	murE//paaZ//speB//cysK//feaB//betA//argD//glsA//murQ//
SoxR	fadH//hcaD//dhaM//trpD//ndh//uxaA//
SoxS	alaC//gadA//napH//paaZ//galM//argH//hcaD//waaZ//ilvG_1//phnL//tam//argB//dgcZ//fabB//sodA//uvrB//murG//pgpC//hycC//fabA//rsmH//fumB//fau//allD//hypB//torC//asnB//rffT//
SrlR	glpX//nagA//gloA//
StpA	accD//puuA//ccp//
SutR	accA//allE//
TdcA	serA//rhaA//aldA//napH//fadB//
TdcR	carB//galE//arsC//rutC//bioA//
TorR-Phosphorylated	yfdE//mtlD//prpB//gatY//
TorR-TorI	nrfA//
TreR	dhaM//fabH//
TrpR-tryptophan	chbF//phoA//bioA//dapB//paaY//acnA//gpmM//hyaC//fabG//
TyrR	frdA//
TyrR-phenylalanine	leuC//cysI//
TyrR-tyrosine	epd//idnK//pgm//mpl//fabG//paaZ//fucU//sdhD//
UhpA-Phosphorylated	mpaA//
UidR	cynS//ddlB//
UlaR	fabG//mltF//ydcS//allE//mngB//
UvrY-Phosphorylated	ybjG//luxS//
UxuR	umuD//glpB//galM//metA//gltB//
XapR-xanthosine	uvrC//acnB//
XylR-xylose	fbaB//metA//dmsA//
YdeO	melA//argA//fabD//
YefM	ilvG_1//
YefM-YoeB	lysU//
YeiL	
YhaJ	
YiaJ	bioD//rimK//argG//fadI//ssuD//lpxC//
YjjQ	gudD//argG//
YpdB-Phosphorylated	
YqhC	gadA//argB//
YqjI	fadJ//
ZntR-Zn2	murD//
ZntR-Zn2+	uidA//
ZraR-Phosphorylated	
Zur-Zn2	serA//
Zur-Zn2+	ndh//
