# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	mazG//cueO//
NtrC-Phosphorylated	poxB//narI//idnK//ppsA//tpiA//entA//argB//sucD//fucK//dkgB//zwf//purN//bacA//nanA//caiC//thrS//tdcD//tynA//dmsC//entE//dkgA//
OmpR-Phosphorylated	eno//dmsB//recF//fadB//lacZ//yqhD//rutE//dadA//
OxyR	hycC//phnL//argE//oxc//nadB//cueO//garL//gabT//nanE//bglB//pgm//ssuE//atoD//gcvT//citD//lsrK//yeaG//
PaaX	cysC//cysC//hyaB//paaE//pykF//uxuA//ilvA//moeA//fadM//
PdeL	paaE//
PdhR	leuB//sdaA//psd//fadE//katE//gnd//malZ//hcaF//narG//pfkA//hycC//caiD//gudD//dapD//narG//avtA//citG//purD//glyA//xylA//aspC//hyi//napH//hycG//ttdA//
PepA	napB//aceE//
PgrR	torA//paaG//
PhoB-Phosphorylated	hcaF//patD//hycF//malS//glpQ//ftnA//astD//atoB//xylB//hycG//purE//rhaD//pgi//mdh//gpmA//gabD//nanM//uxaB//nrfC//pyrD//
PhoP-Phosphorylated	xapA//aceA//zwf//ahpF//fadA//araA//gadA//gdhA//lhgO//garD//nrdA//tynA//phnO//fbaA//nrdF//phnG//zwf//fucI//yeaE//fucK//ldtB//frdB//murI//glpB//rutA//sbcD//edd//argC//thrS//purA//uvrA//gabT//
PrpR-2S3S-2-methylcitrate	nanK//cyoE//entB//ubiC//
PspF	sucC//
PurR-hypoxanthine	fadI//glpC//narG//napH//rnpB//psd//truB//pfkA//phnL//hycE//sbcC//pck//fabH//uvrC//purD//prs//glpD//deoB//wzb//lacZ//rpiB//chbG//pheT//mhpB//nanK//garL//
PutA	astE//rtcA//
PuuR	glpA//gabT//paaJ//lacA//moaD//hcp//
QseB-Phosphorylated	
RbsR	tktB//gapA//nrfC//fadA//astB//
RcdA	hyaA//
RclR	
RcnR	truB//
RcsAB	alaA//adhE//speG//
RcsB-BglJ	sucD//fadH//
RcsB-Pasp56	gntK//puuE//mhpB//glcE//
RelB	entD//
RelB-RelE	fadA//
RhaR-alpha-L-rhamnopyranose	
RhaS	epd//
RhaS-alpha-L-rhamnopyranose	phnN//sucD//hyi//aroL//
Rob	uidA//sufS//caiC//dadX//cysH//glnA//cueO//phr//pck//moaD//citE//entD//ftsI//argA//murG//argI//dsdA//lysA//fadJ//
RstA-Phosphorylated	argD//aspC//hycF//
RtcR	mhpA//cynT//
RutR	tadA//deoB//lysU//paaC//hyi//pgm//aroA//citD//tpiA//srkA//moeA//
SdiA	
SgrR	gatD//folA//fadE//
SlyA	citG//hcaD//phr//dacC//lacZ//wrbA//purB//malP//hcp//
SoxR	trpD//purH//glpC//grxA//kbaY//paaZ//
SoxS	ydcS//cdd//malS//dadA//ftnA//paaA//fabH//folA//purC//uvrB//accC//nrdB//rpiB//sucC//rhaD//glgA//epd//bioA//ppc//mnmG//folE//pgm//ynfE//aldA//chbG//yfdE//lyxK//ubiX//
SrlR	uvrC//glpD//putA//
StpA	yiaK//frdD//pdeH//
SutR	aroA//pepD//
TdcA	aldA//folE//glgB//mtlD//sucB//
TdcR	eno//metH//pgi//ulaG//rtcA//
TorR-Phosphorylated	gloA//kbaZ//gcvT//yfdE//
TorR-TorI	fadI//
TreR	hcaC//nrdF//
TrpR-tryptophan	nanK//murF//pspE//phnP//udp//ilvA//purA//mltF//astB//
TyrR	gcvP//
TyrR-phenylalanine	dgcZ//serA//
TyrR-tyrosine	patA//ilvG_1//allE//katE//mhpD//ilvM//fabI//fabI//
UhpA-Phosphorylated	pgm//
UidR	phoA//guaB//
UlaR	iscS//chbF//rsmH//purH//dgcC//
UvrY-Phosphorylated	mhpD//cadA//
UxuR	bioF//sucA//ilvH//tpiA//gcvH//
XapR-xanthosine	murQ//amn//
XylR-xylose	hemL//aceF//glpB//
YdeO	mhpE//accA//nanK//
YefM	frdA//
YefM-YoeB	hcp//
YeiL	
YhaJ	
YiaJ	talA//pck//ygeA//aceA//pgi//fes//
YjjQ	atoD//glpK//
YpdB-Phosphorylated	
YqhC	murQ//paaZ//
YqjI	ldtD//
ZntR-Zn2	gpmM//
ZntR-Zn2+	murE//
ZraR-Phosphorylated	
Zur-Zn2	accD//
Zur-Zn2+	purC//
