# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	atoA//sucB//
CpxR-Phosphorylated	dgcN//paaZ//hemH//alkA//narI//patA//malS//chbF//phr//rhaD//dkgB//phnN//speB//paaG//garD//dadX//rhaA//prs//narH//napA//mazG//
Cra	grxA//hycF//murG//pgm//rhaB//nadA//murE//pgk//lsrG//rffH//puuB//lyxK//nanK//ychF//ilvE//puuC//garD//napA//tktB//hcaB//acnA//pgk//trpC//patA//cysD//rfe//lysC//pfkA//mpl//sucB//tdcD//pgpC//uxaC//lysC//lpd//garK//grxA//yedX//pck//fabD//argE//argH//dgcC//prs//paaG//rffG//garK//speB//dmsB//tehB//puuA//tam//hyaA//argG//lysC//nfsA//pgaD//ilvI//purL//
CreB-Phosphorylated	caiB//amn//
CsgD	chbG//paaE//wecE//hycB//narI//
CsiR	gpmA//gatD//lysU//katG//
CspA	dhaM//
CueR-Cu	paaJ//kbaZ//accA//alaS//puuA//
CusR-Pasp	sdaA//uxaB//recB//dapB//
CynR	
CynR-cyanate	entC//sdhA//fadB//
CysB	glcB//rutD//
CysB-O-acetyl-L-serine	wzb//ssuE//ssuD//fadB//leuA//pgaB//gadA//pfkA//ynfH//trpC//gcvP//hcp//tynA//xylB//uvrC//
CytR	fabB//tdh//adiA//fbaA//murC//cysN//mhpA//malY//uxuA//pepD//
Dan-L-tartrate	fadD//entA//
DcuR-Phosphorylated	hycG//fadM//purK//dmsB//
DeoR	betA//rbsK//sdaA//prs//entB//pagP//
DhaR	waaZ//
DicA	
DinJ-YafQ	eno//
DnaA-ATP	pdeH//caiD//phoA//rutE//serC//rfe//
DpiA-Pasp	ycjG//bioB//dmsC//fes//rutA//
DsdC-D-serine	metA//dmsC//
EbgR	
EnvR	yqhD//purN//
EnvY	caiB//sgbE//
EvgA-Phosphorylated	srlD//argD//phnG//fbaA//napA//phnO//
ExuR	moaE//aroA//tnaA//purM//cysI//alsE//
ExuR-alpha-D-galacturonate	
FabR	lldD//adiA//galM//
FadR	tdcE//cueO//entF//cysN//citC//dgkA//adhE//purF//garD//sucA//alaA//umuC//citG//prs//cynS//pgm//bioD//fadM//argA//
FadR-acyl-CoA	
FeaR	ulaE//mngB//
FhlA-formate	dgkA//wzc//ilvI//pgaB//carB//cysJ//speB//sbcC//
FlhDC	malY//uxaB//idnK//ada//frdB//waaZ//entH//ubiA//accD//kbaZ//epd//dgcN//nirD//fes//
FliZ	metF//narI//tdh//moaE//pfkA//
FucR-L-fuculose-1-P	yiaK//hycC//gapA//pdeL//yfdE//dapD//
Fur-Fe2	folA//fabG//araA//glgP//fabI//mhpB//purL//prpD//mraY//ppsA//lysU//napG//citG//ada//frdD//argC//dhaL//citX//hcaF//ilvD//glpK//alaC//glcD//kbaY//puuB//leuC//tehB//murD//pspE//nrdB//pgaB//oxc//lsrK//waaH//edd//dmsB//phnL//metA//mpl//hemH//murF//dmsB//recB//sdhA//yfdE//metH//atoD//nirD//cysJ//paaJ//yeaE//guaB//allE//edd//ttdA//sodA//bioC//rutD//phnN//hyaB//patA//murC//
GadE	yedX//metB//fabZ//cysJ//cadA//prpC//frdD//xapA//umuC//murI//
GadE-RcsB	gabT//purD//ndh//rutE//gatY//
GadW	glcF//hemH//ilvC//dapB//
GadX	rnpB//bioD//lpxA//cysG//fau//rffH//pykF//lhgO//dapD//umpH//ynfH//aldA//aspC//bioF//
GalR	folE//slt//ldtD//pgm//cysE//betA//
GalR-beta-D-galactose	dmsB//nrfA//patD//prpE//ribA//
GalS	ascB//cysD//citF//lpd//purE//trpD//
GalS-beta-D-galactose	glpB//puuA//cysH//fruK//galM//
GatR	glpB//rhaB//speA//
GcvA	fadD//ilvI//ygeA//
GlcC-glycolate	sgbH//dkgA//ccp//
GlpR	torC//ynfF//garK//hcaB//rbsD//malS//nemA//
GlrR-Pasp56	
GntR	garK//cynT//gltB//nrfC//metF//phnM//glpK//adhE//yfdE//
GutM	xylA//sucB//hmp//
HU	recB//ilvM//mhpE//ubiA//ppiA//rsmH//glgC//
HcaR	
HcaR-HCA	dhaL//aceB//
HdfR	
HigA	polA//
HigB-HigA	gltD//
HipAB	ahpF//metK//
HipB	allD//fadD//ulaD//
HprR-Phosphorylated	hcaE//gltD//citG//garK//
HyfR	aceF//
HypT-Met-oxidized	alaS//pgaD//paaE//mdh//ldtC//fadD//gltD//
IclR-pyruvate	sucC//entF//ruvB//
IdnR-5-ketogluconate	cyoE//phnJ//gltB//umuD//pdeH//
IlvY	
IlvY-S-2-acetolactate	lpd//
IscR	srlD//prs//polA//nagB//sgbU//ahpF//
IscR-2Fe-2S	phnH//pykF//
KdgR	paaK//nanM//
KdpE-Phosphorylated	aroF//
LacI	entB//acnA//sdhA//
LeuO	arsC//entH//glpC//aroF//sdhD//sdhC//
LexA	polA//gcvT//rimK//purH//sdaA//lpd//mpaA//murE//guaB//mhpE//dgkA//sdhB//gatD//nrdD//metK//trpE//mhpB//entD//gcl//gcvT//idnD//nrdD//ulaF//
LldR	frdC//srlD//
LldR-S-lactate	tpiA//glcF//
LrhA	
Lrp	glnA//adhE//fadM//pgk//glyA//paaC//rffG//pgaB//paaI//rutD//nrdF//recB//ampC//fucA//frdA//ulaF//narI//ftnA//pyrC//nanK//cysJ//paaF//luxS//idnO//metH//glpK//fadB//mdh//pfkA//araA//mngB//
Lrp-leucine	yeaG//nanE//paaG//lpxA//yedX//ilvD//entH//puuB//sdhB//xylB//puuA//dgcN//aceE//fabH//glk//tdh//puuE//
LsrR	paaY//mhpE//fau//ttdA//pheT//
LysR	aroH//
MalI	adhE//fau//
MalT-maltotriose-ATP	speG//frdB//uxuB//lysU//katG//dhaL//
MarA	hypB//narH//fabI//paaA//serC//dmsC//torA//rbsK//pyrD//sdaA//patD//hmp//rutE//moaE//murI//fadA//gpmM//ychF//melA//uvrC//glgX//nfsB//fadJ//cysK//
MarR	
MatA	cynT//
MazE	galT//
MazE-MazF	lpd//
McbR	
MelR	garR//alaC//
MelR-melibiose	ilvH//gadB//
MetJ-adenosylmethionine	ydcS//gcvP//moeA//tdcD//lysU//uxaC//folE//oxc//lysA//aroF//
MetR	relA//ndh//
MetR-L-homocysteine	caiD//pflB//
MhpR-3HPP	patA//yedX//rbsK//araA//napB//phnO//
Mlc	ynfF//purL//glyA//lysA//
MlrA	paaZ//
MngR	phnO//glpB//
MntR-Mn2+	malQ//rimK//
ModE-MoO42-	gcvH//dgcC//mazG//sdhA//pfkA//ftsI//treC//ulaE//xapA//luxS//argB//atoB//hyi//ilvD//nrfA//dgcZ//pgpC//
MprA	nfsB//prpD//nrfD//
MqsA	lsrG//aceE//
MraZ	mnmG//dmsA//hcaE//glcF//astE//folA//speA//katG//lldD//aceB//
MurR	dapB//mhpB//argD//
Nac	ulaG//dinB//murF//icd//argG//cynS//aroG//sucB//galK//rffH//rffT//
NadR	recF//phnN//rutC//nrfC//
NagC	mdh//galT//ssuD//aroF//ribA//murD//cysN//fucO//puuD//astC//ldtB//gabD//paaJ//phnI//grxA//alkA//paaG//wrbA//nrdF//
NanR	tdcE//ssuD//sufS//paaB//sdhA//mpl//
NarL-Phosphorylated	dgcZ//argF//fes//pgaC//rutC//hcaD//napH//trpB//atoD//gntK//sbcC//yeaE//entB//phnI//fadI//paaZ//accD//gdhA//mngB//wecB//gudD//deoC//mngB//edd//katG//ulaG//sucD//hycG//cysE//gatY//murF//fabI//purD//pheT//sgbE//accC//entF//fucU//guaA//ulaG//caiB//
NarP-Phosphorylated	appA//allD//ahpF//pagP//pdeL//hcp//pgi//fabZ//sbcD//hyaC//cysM//glgX//rutA//ldtD//umpH//
NemR	ilvD//gadA//
NhaR-Na+	dgcC//fabI//murD//ulaG//guaA//
NikR-Ni2+	aceA//
NimR	gcl//
NorR	galE//
NrdR-Zn2+	citD//entH//rsmH//dhaK//
NsrR	wecE//gltD//avtA//ttdA//sdhB//fbaA//glsA//umpH//rsmH//rutA//entD//pck//udp//phnP//garR//alkB//nirD//gcvT//ulaG//fadA//frdC//nanE//lpxA//ycjG//mtlD//gcvT//speA//rhaA//gudD//nirD//wecB//bioD//fucO//mhpF//serA//patD//glpA//paaH//purB//sgbU//
NtrC-Phosphorylated	gabD//hcaC//ulaD//katE//arsC//pgaC//lacZ//caiD//fucI//uidA//ychF//metB//puuD//cdd//yeaG//atoA//phoA//pepD//fumB//cysN//folA//
OmpR-Phosphorylated	fucK//pheS//cysI//pagP//rffT//deoD//pgk//entF//
OxyR	waaH//sucB//hyaC//ruvB//glpK//speB//pck//hmp//dmsA//dapD//idnO//mhpD//argB//citG//yqhD//allB//hycG//
PaaX	pgaB//paaC//atoD//cysG//cysC//paaA//narG//gapA//murF//
PdeL	dkgB//
PdhR	folA//allB//tdcB//alsE//lsrK//nirB//astD//purK//speA//dadA//citF//putA//idnD//ldtD//purB//dacC//avtA//rnpB//katG//murE//paaH//phnO//pgaD//carA//narG//
PepA	yeaE//malY//
PgrR	hycC//gpmM//
PhoB-Phosphorylated	caiA//uidA//pdeH//allE//cdd//glgA//pheT//ilvA//chbG//phnI//idnK//polB//citX//argG//paaE//grxA//gcvH//gutQ//gabT//glyA//
PhoP-Phosphorylated	ilvM//nrdE//betB//ddlB//aceA//paaY//rnpB//udp//purB//tdcD//fabI//ubiC//rffC//dgcZ//pnp//ascB//dhaK//prpC//galK//thrS//recD//astB//citF//bioF//sodA//fadM//gapA//entF//fadJ//torC//lldD//argE//
PrpR-2S3S-2-methylcitrate	alkA//tyrA//rutC//phnM//
PspF	aspC//
PurR-hypoxanthine	betA//fabZ//astB//cynS//paaH//frc//glgP//ldtC//ldtC//hycG//melA//puuB//napA//entA//metC//hcaD//luxS//asnB//nrfD//ssuE//gor//luxS//nfsA//ilvG_1//gltB//ssuD//
PutA	fau//dgkA//
PuuR	paaC//hcaF//alsE//betB//gloA//lacZ//
QseB-Phosphorylated	
RbsR	nemA//napG//deoB//pgm//dkgA//
RcdA	cysE//
RclR	
RcnR	citX//
RcsAB	waaH//mhpC//ilvD//
RcsB-BglJ	pheT//entF//
RcsB-Pasp56	accC//aceE//frdA//alaA//
RelB	ppc//
RelB-RelE	fadA//
RhaR-alpha-L-rhamnopyranose	
RhaS	cysG//
RhaS-alpha-L-rhamnopyranose	idnO//gatZ//adiA//cysN//
Rob	gcvP//ahpC//frc//slt//umpH//talA//argC//pyrC//ssuE//srkA//metK//pgm//glgB//avtA//pykF//ilvD//malY//tpiA//katG//
RstA-Phosphorylated	hyaB//deoC//paaA//
RtcR	prs//recB//
RutR	bacA//alkA//metH//metF//phnM//frdC//treC//kbaY//ftsI//mnmG//aroG//
SdiA	
SgrR	rbsD//srlD//galT//
SlyA	fdhF//fadJ//pgi//ychF//ilvM//idnK//ydcS//polB//tnaA//
SoxR	treC//cysI//sbcC//poxB//sdhA//tnaA//
SoxS	hcaE//puuB//argE//ubiC//metB//ruvB//dacC//napA//fadA//adhE//tktB//uvrA//dapB//paaI//pheS//sodA//moaA//sbcD//entB//galM//ldtB//araA//pdeH//mdh//bioD//cysN//pgpC//glpA//
SrlR	arsC//pgaD//prs//
StpA	ulaG//gatY//uidA//
SutR	aroL//tdcG//
TdcA	lldD//malQ//rutE//hycD//sgbU//
TdcR	prs//rhaA//mpl//dhaM//dgkA//
TorR-Phosphorylated	gpmM//icd//epd//tyrA//
TorR-TorI	caiD//
TreR	lysC//uidA//
TrpR-tryptophan	glxR//tynA//ldtC//garL//mltF//moaA//pncB//gltB//nrfC//
TyrR	rsmH//
TyrR-phenylalanine	cynS//trpC//
TyrR-tyrosine	rhaA//yeaE//rnpB//cyoE//lhgO//paaK//narH//umuC//
UhpA-Phosphorylated	cysE//
UidR	ynfF//slt//
UlaR	aroF//tdcE//argF//rutB//gcvH//
UvrY-Phosphorylated	nrfC//hcaD//
UxuR	fadD//paaK//luxS//gntK//idnO//
XapR-xanthosine	pgpC//idnK//
XylR-xylose	caiC//glgA//phnL//
YdeO	fucO//dmsB//rutE//
YefM	sdhD//
YefM-YoeB	dgcC//
YeiL	
YhaJ	
YiaJ	ilvM//rtcB//rsmH//leuA//wecE//hycB//
YjjQ	metH//hypB//
YpdB-Phosphorylated	
YqhC	gor//ahpC//
YqjI	aroF//
ZntR-Zn2	sgbE//
ZntR-Zn2+	napA//
ZraR-Phosphorylated	
Zur-Zn2	mdh//
Zur-Zn2+	nirB//
