# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	cueO//aroH//
NarP-Phosphorylated	metL//bioB//puuB//nrfC//ribA//pyrD//gadB//prpB//paaK//metA//galK//pgm//gudD//accC//mngB//
NemR	glcF//argC//
NhaR-Na+	glgC//cysM//paaA//glk//gntK//
NikR-Ni2+	tdcG//
NimR	pspE//
NorR	recB//
NrdR-Zn2+	cysG//nfsB//frdD//speB//
NsrR	hypF//pgpC//garR//alkA//zwf//prpD//cysI//pgaB//recF//lacZ//trpE//gltB//dgcN//frdD//purE//pfkA//yeaE//grxA//gabD//tdh//argI//wecE//waaZ//aroL//cadA//paaZ//citX//murQ//hycG//ilvC//wrbA//dgcC//adhE//recF//dgcN//glyA//purH//speB//aceA//ribA//
NtrC-Phosphorylated	paaG//ttdB//sgbE//citF//torC//accC//rutA//xapA//frdB//cueO//trpA//fadD//ftnA//sdhC//gcvH//citX//galK//purC//nrdA//yqjH//sbcD//
OmpR-Phosphorylated	sucB//allD//prpE//phnG//cysM//tam//fabI//nanA//
OxyR	caiA//phnP//murD//arsC//cysM//wecC//ynfG//tehB//accA//dsdA//dinB//fadA//adhE//cysC//alsE//galE//phnM//
PaaX	gdhA//citX//metH//speA//carB//pheT//ppiA//nrfD//uxuA//
PdeL	entF//
PdhR	kbaZ//feaB//fucA//trpA//dsdA//glpB//purN//lysA//uxaA//metH//napB//argB//sbcD//alaA//tehB//phnO//wecC//lacA//psd//carB//puuB//yeaG//nirD//ascB//rnpB//
PepA	patA//allA//
PgrR	gcvH//moeA//
PhoB-Phosphorylated	ssuD//acnA//leuD//tdcD//murE//fadJ//argH//wzc//yiaK//epd//yeaG//dhaM//pgpC//dhaL//fadI//dgcN//lysU//glpK//rutC//cysE//
PhoP-Phosphorylated	aroG//pgaB//lsrF//phnN//yqjH//pagP//dacC//allC//dhaK//lacZ//rffM//speB//ubiX//treC//ynfF//phnJ//fabD//phnM//purM//torC//gabT//aceF//hcaE//gnd//malP//fadI//cysM//tyrA//dadX//uidA//epd//dsdA//
PrpR-2S3S-2-methylcitrate	tdcG//lysC//mhpC//betB//
PspF	rffC//
PurR-hypoxanthine	hycF//nfsA//mpaA//sucD//carA//napG//yeaG//nadB//cdd//fadB//umpH//aceE//kbl//glpK//aldA//napB//dinB//tehB//metF//grxA//serA//rhaD//epd//fabB//gapA//citX//
PutA	rnpB//galM//
PuuR	dsdA//hcaF//lysC//purD//lacZ//hycC//
QseB-Phosphorylated	
RbsR	bacA//puuD//speB//cysH//fabZ//
RcdA	paaH//
RclR	
RcnR	nemA//
RcsAB	tdcB//recB//ubiX//
RcsB-BglJ	phnJ//kbaY//
RcsB-Pasp56	dmsA//serA//glmS//udp//
RelB	lysU//
RelB-RelE	tyrB//
RhaR-alpha-L-rhamnopyranose	
RhaS	glpQ//
RhaS-alpha-L-rhamnopyranose	fadD//mraY//trpE//mhpA//
Rob	epd//cysM//metL//fabZ//patD//rutD//ruvB//cadA//gadB//patA//katE//araA//deoB//avtA//metC//citG//ttdA//garR//dinB//
RstA-Phosphorylated	fabG//cysE//pheS//
RtcR	nrdF//rhaD//
RutR	alsE//uxuA//gabT//yeaG//ubiX//rtcB//sdhD//murF//lacZ//pgpC//pck//
SdiA	
SgrR	grxA//pyrC//bioB//
SlyA	mhpB//dadA//astB//deoD//fucU//nrdA//waaY//dgkA//tdcG//
SoxR	ychF//purN//fabZ//ttdB//hyi//accD//
SoxS	entA//nrdB//fabG//argF//puuB//entD//nrdE//frdA//phoA//wecE//pfkA//ribA//waaY//recF//eno//fabB//phnM//pck//fau//purN//ulaF//codA//fumB//gpmA//astB//recF//ribA//gadB//
SrlR	paaB//cynS//astA//
StpA	ygeA//purC//umpH//
SutR	glxK//galM//
TdcA	wzc//betA//pdeL//nrdE//ulaE//
TdcR	argF//guaA//torC//purC//yeaE//
TorR-Phosphorylated	allC//rutA//fumC//argA//
TorR-TorI	ruvB//
TreR	pheT//prs//
TrpR-tryptophan	guaA//trpD//glyA//pyrD//tehB//ilvM//tauD//argH//argC//
TyrR	ulaE//
TyrR-phenylalanine	gdhA//sbcD//
TyrR-tyrosine	garK//napG//entC//ybjG//idnO//amn//dhaL//pck//
UhpA-Phosphorylated	hcaC//
UidR	nanM//idnD//
UlaR	dgcZ//frdA//ampC//prs//rutD//
UvrY-Phosphorylated	ppiA//pdeH//
UxuR	argF//dgcC//ndh//phr//hycB//
XapR-xanthosine	entC//ftnA//
XylR-xylose	fadM//phnM//cadA//
YdeO	eno//frdA//metF//
YefM	allD//
YefM-YoeB	araB//
YeiL	
YhaJ	
YiaJ	guaB//phnM//patA//dhaM//garK//tdcG//
YjjQ	puuB//dsdA//
YpdB-Phosphorylated	
YqhC	cysJ//argD//
YqjI	glgB//
ZntR-Zn2	glmS//
ZntR-Zn2+	rutC//
ZraR-Phosphorylated	
Zur-Zn2	torC//
Zur-Zn2+	napH//
