# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	paaY//accC//
FlhDC	yfdE//hemL//gcvT//metA//fucU//gatY//argA//gadB//sucC//ndh//kbaY//dgcC//dinB//hemH//
FliZ	phnO//xylB//acnB//mhpA//purL//
FucR-L-fuculose-1-P	entB//cysN//cysJ//ppsA//paaZ//paaZ//
Fur-Fe2	fabB//ybjG//mraY//moeA//lpxC//paaE//ddlB//yiaK//nanK//glpD//dmsA//leuB//rffH//folA//treC//purF//glxK//pdeR//phr//murD//accA//gabT//gadA//ribA//patD//hypB//argH//lpxC//murD//cdd//uvrB//dsdA//pdeH//oxc//cysJ//fadA//tdcE//glpB//rffC//tdh//folA//fadJ//bioF//sucA//nagA//dhaM//fabG//wecE//glgX//glyA//tehB//moeA//luxS//glcE//nanA//umpH//sdhB//ugpQ//chbG//tam//lsrK//pck//
GadE	bioC//phnH//phnG//nrfD//araA//cysJ//rfe//rhaB//astA//argE//
GadE-RcsB	phnN//nrdD//nadB//purD//alaS//
GadW	glcB//atoA//prpE//rtcA//
GadX	gabD//pheT//fes//malS//sucA//gntK//fabI//glcF//ilvG_1//waaY//ddlB//dsdA//patD//ilvD//
GalR	luxS//ppsA//gpmM//ppiA//uxuB//fucI//
GalR-beta-D-galactose	gatZ//carA//wecC//fumB//eno//
GalS	recD//nrfC//tehB//sgbE//cynS//garD//
GalS-beta-D-galactose	ldtD//rtcB//gntK//ftsI//hcaD//
GatR	tdh//nemA//adiA//
GcvA	betB//cadA//ldtC//
GlcC-glycolate	pgm//ftsI//nrfC//
GlpR	rbsD//gabT//betB//purK//araA//aldA//tadA//
GlrR-Pasp56	
GntR	mraY//gabD//fadB//moaD//rbsK//rutE//bioC//dmsC//atoD//
GutM	wecC//serA//atoA//
HU	yqhD//sgbH//acnB//pepD//argG//entA//purE//
HcaR	
HcaR-HCA	nrfD//argA//
HdfR	
HigA	dgcC//
HigB-HigA	entH//
HipAB	glpX//uvrC//
HipB	wrbA//pagP//galM//
HprR-Phosphorylated	phnP//prpB//malQ//pdeR//
HyfR	dacC//
HypT-Met-oxidized	tyrB//betB//paaF//rffT//aceB//mraY//glgA//
IclR-pyruvate	ilvA//hcp//citF//
IdnR-5-ketogluconate	ttdB//paaE//sucB//gatD//galT//
IlvY	
IlvY-S-2-acetolactate	paaI//
IscR	gcvH//nadB//moaD//lpxA//idnD//paaZ//
IscR-2Fe-2S	fdhF//phnL//
KdgR	metA//murG//
KdpE-Phosphorylated	metK//
LacI	rffM//moaE//aroA//
LeuO	metC//sgbH//lpxD//purL//phnM//purC//
LexA	gdhA//leuC//hemL//lldD//rfe//yeaE//hcp//tdcG//polA//gcvP//tktB//frdC//fes//glgB//paaJ//prpC//nemA//fruK//fbaB//uvrB//lsrF//paaF//leuB//
LldR	fadH//lyxK//
LldR-S-lactate	napA//fbaA//
LrhA	
Lrp	cysM//rnpB//ndh//folA//dapD//adiA//pfkA//leuB//cueO//ampC//glpK//sbcD//serA//ldtC//kbaY//narG//cysI//napB//gpmM//aceE//hycF//metF//argD//patA//lsrF//waaZ//iscS//argC//ilvD//mhpC//murC//
Lrp-leucine	ubiX//accD//bioC//pykF//garD//glxK//eno//yqjH//ychF//paaH//ydcS//garR//polB//paaG//ubiC//citX//moeB//
LsrR	aroG//puuA//entB//leuD//kbl//
LysR	ilvD//
MalI	ogt//atoB//
MalT-maltotriose-ATP	aceA//ynfF//fbaB//folE//nadA//rffT//
MarA	sdhD//narH//torC//astB//gatD//atoD//ttdA//hcaC//prs//metA//tam//napG//purF//zwf//xapA//umuC//aroG//ppc//srlD//cysJ//pfkA//murF//phr//uvrC//
MarR	
MatA	purN//
MazE	trpB//
MazE-MazF	pyrC//
McbR	
MelR	tam//accA//
MelR-melibiose	mpaA//rffM//
MetJ-adenosylmethionine	rutB//serA//dmsB//aroA//tam//carA//phoA//fabG//trpA//argI//
MetR	trpD//mngB//
MetR-L-homocysteine	uvrA//purD//
MhpR-3HPP	dadA//acnA//garD//phnO//mhpE//mhpD//
Mlc	araD//ulaF//argF//paaY//
MlrA	hycB//
MngR	fbaB//ssuE//
MntR-Mn2+	rbsK//uvrA//
ModE-MoO42-	ssuE//ndh//edd//dhaK//cysD//pykF//ahpF//pfkA//frdA//nirD//purA//guaA//paaI//acnB//entF//nirB//murG//
MprA	dgcN//puuB//sucD//
MqsA	sucC//gutQ//
MraZ	mraY//polA//recB//adhE//mnmG//ascB//tyrA//cysJ//sdhD//fucA//
MurR	pnp//nfsA//hypB//
Nac	fadD//caiB//sgbH//waaH//asnB//purM//rffG//tauD//idnK//ubiX//astE//
NadR	ilvH//bioA//umuD//kbaY//
NagC	gpmM//galE//alaS//sdhA//gatZ//phnN//glpA//ugpQ//paaZ//cysG//wzc//pgaC//psd//sbcD//fabG//lldD//phnG//hcaE//nrdA//
NanR	dmsA//ilvG_1//rffH//rffG//hcaB//rffT//
NarL-Phosphorylated	nirB//dmsB//ndh//phr//uvrB//phr//purF//tyrB//ulaE//gpmM//dhaK//metB//cysD//paaI//serA//fadB//bioB//ilvG_1//argC//rbsD//yqjH//ttdA//lacA//cysD//recD//ppsA//tam//ascB//araB//citC//hycG//deoB//glpB//galT//metK//glmS//hypF//caiC//wzb//hycB//amn//
NarP-Phosphorylated	narG//entF//paaC//torA//slt//murI//entB//glmS//frdB//aceA//bioA//rhaD//appA//fbaA//psd//
NemR	fabI//fadM//
NhaR-Na+	nrdB//fucU//eda//araD//astE//
NikR-Ni2+	ilvG_1//
NimR	metK//
NorR	slt//
NrdR-Zn2+	entE//kbaY//pyrC//glxR//
NsrR	ycjG//prpD//sdhD//pspE//sodB//mhpA//fadI//dhaK//sdaA//gpmM//malY//pfkA//umuD//ppsA//metF//dacC//dmsB//alkA//aldA//araD//mltF//dapD//napA//tadA//tdcB//aspC//purC//accA//atoB//xapA//rutA//purF//ilvD//betA//aroH//fucA//trpC//amn//murF//glyA//
NtrC-Phosphorylated	murG//sdhA//sgbE//frdB//narG//garR//talA//deoB//rsmH//ogt//dsdA//moeA//grxA//astC//tadA//gltD//mhpF//gabT//dgcN//mhpE//katG//
OmpR-Phosphorylated	guaB//ftsI//yqhD//metK//gcvP//tyrA//prpC//speA//
OxyR	codA//cysE//polB//pyrD//rutC//yiaK//torC//nirB//avtA//gatD//garD//puuB//cysJ//cdd//serA//folE//uvrA//
PaaX	dadA//yeaG//chbG//recB//gltB//sdhD//deoC//torC//pgi//
PdeL	glpX//
PdhR	dgkA//tdh//pgm//gadA//feaB//pgk//edd//cyoE//oxc//gabT//nrdE//pdeR//speB//citD//ychF//lyxK//ddlB//polA//glgA//mazG//ppiA//citC//fadA//ilvA//purF//
PepA	hyi//fabG//
PgrR	pyrD//tdcG//
PhoB-Phosphorylated	puuB//sodA//dapD//mhpD//psd//gntK//sucD//guaA//zwf//lsrF//glpA//ssuD//phnH//pgk//appA//moeA//rffM//frdB//polB//appA//
PhoP-Phosphorylated	glpX//gatY//fadI//mhpB//hypF//mraY//pgaB//poxB//melA//xapA//metF//putA//alkB//glmS//entA//hycC//cysN//thrS//napB//trpD//bioC//phnN//psd//dapB//fes//dmsC//hyaA//gpmA//rtcA//ulaD//sdhA//grxA//
PrpR-2S3S-2-methylcitrate	ilvI//metA//rtcB//trpE//
PspF	alaC//
PurR-hypoxanthine	hcp//metF//phnJ//idnO//ruvB//citD//fbaA//glgC//folA//ychF//hcaE//purM//katG//sdhC//treC//uxaB//ilvM//dinB//srlD//fruK//citF//puuE//mtlD//ynfH//glyA//glyA//
PutA	paaI//zwf//
PuuR	cysH//ampC//ftnA//mhpB//metL//mngB//
QseB-Phosphorylated	
RbsR	cynT//nrfA//gabT//uidA//treC//
RcdA	pagP//
RclR	
RcnR	leuA//
RcsAB	rfe//hycC//hcaF//
RcsB-BglJ	torA//cysC//
RcsB-Pasp56	hyi//frdB//rhaB//uxaB//
RelB	mhpA//
RelB-RelE	fucU//
RhaR-alpha-L-rhamnopyranose	
RhaS	phnG//
RhaS-alpha-L-rhamnopyranose	paaF//phnN//araB//talA//
Rob	entD//dapD//ahpC//lsrK//dhaL//ulaD//umuD//prpE//umuD//ulaD//wrbA//purM//argC//puuC//gpmM//murQ//alaS//rfe//mngB//
RstA-Phosphorylated	ilvD//atoA//gltD//
RtcR	garL//ldtB//
RutR	carB//paaK//citC//pflB//ubiC//adiA//aceA//tktB//bioF//prs//astD//
SdiA	
SgrR	umuC//cysM//purD//
SlyA	ynfF//patA//rfe//tktB//amn//metE//lsrK//glxR//malQ//
SoxR	araA//tdcE//mpl//frdC//ulaG//slt//
SoxS	paaB//hycG//lysU//aroA//glpD//nadB//mpaA//patA//cysM//purM//ynfH//citE//tdcG//metL//rfe//cysJ//sucD//lsrG//aceA//cysM//garR//fabH//recF//gltD//citE//nrdD//dgkA//ychF//
SrlR	galE//rtcA//glpD//
StpA	dmsA//wecB//lpxD//
SutR	tdh//talA//
TdcA	hycE//speG//alaC//sdaA//pgm//
TdcR	tktB//gabD//purD//accA//fau//
TorR-Phosphorylated	ogt//atoB//ribA//garL//
TorR-TorI	metL//
TreR	ldtB//phnH//
TrpR-tryptophan	aroA//cysD//dadX//glpA//phnL//murE//rffH//grxA//murC//
TyrR	phr//
TyrR-phenylalanine	purH//leuD//
TyrR-tyrosine	glgP//sbcC//dhaK//entA//ilvG_1//gloA//tpiA//dgcC//
UhpA-Phosphorylated	glcF//
UidR	trpE//astD//
UlaR	glmS//ascB//bacA//rfe//fes//
UvrY-Phosphorylated	serC//malZ//
UxuR	glpK//ssuE//ynfH//ilvC//rhaD//
XapR-xanthosine	nanA//hycB//
XylR-xylose	deoC//lhgO//gatY//
YdeO	carB//grxA//fadB//
YefM	glcD//
YefM-YoeB	citC//
YeiL	
YhaJ	
YiaJ	argB//narI//gapA//lacA//pdeL//edd//
YjjQ	polA//talA//
YpdB-Phosphorylated	
YqhC	trpC//hycB//
YqjI	ampC//
ZntR-Zn2	arsC//
ZntR-Zn2+	garR//
ZraR-Phosphorylated	
Zur-Zn2	purE//
Zur-Zn2+	rpiB//
