# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sun Nov 25 15:18:43 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation//analysis/all_enzymes_in_set.txt
AcrR	fabD//fumC//
MalT-maltotriose-ATP	aroA//mnmG//dgcC//nrdB//fabA//ulaF//
MarA	patD//nemA//murE//nrdD//cysD//lsrF//sgbU//pagP//ulaE//ssuE//dkgB//idnD//fadD//glsA//citG//tyrA//kbl//mhpE//metA//cysC//ulaF//wrbA//psd//lysU//
MarR	
MatA	paaC//
MazE	purK//
MazE-MazF	malY//
McbR	
MelR	ygeA//sucC//
MelR-melibiose	allC//frdA//
MetJ-adenosylmethionine	glpA//glxR//acnA//ilvH//polB//pykF//ychF//garK//rutE//rutA//
MetR	araD//prpB//
MetR-L-homocysteine	argD//tpiA//
MhpR-3HPP	allC//purH//deoC//aceA//sgbE//metH//
Mlc	ulaF//dgcC//fabA//appA//
MlrA	uxuB//
MngR	ldtC//trpD//
MntR-Mn2+	glxK//gatD//
ModE-MoO42-	deoA//caiB//rsmH//nagB//umuC//lacZ//hemL//gntK//tauD//lyxK//glpQ//rhaA//idnD//rffG//ulaG//thrS//tpiA//
MprA	accC//mhpF//gcvP//
MqsA	purE//ddlB//
MraZ	cueO//waaZ//kbaY//umpH//fadJ//ndh//rffM//idnK//pflB//hcaD//
MurR	avtA//tyrB//sbcC//
Nac	wzc//psd//leuA//dinB//rhaD//adiA//deoD//aroA//rffH//accC//phnG//
NadR	astA//mazG//dhaK//xylB//
NagC	nanM//lysA//rffG//avtA//purK//idnK//frdC//ttdB//galT//pfkA//gpmM//dgkA//araB//ynfG//argH//purL//pfkA//nanE//ppc//
NanR	oxc//narH//yeaG//gntK//gadA//torA//
NarL-Phosphorylated	glnA//paaY//sucC//pgpC//moeA//allD//phnM//sdhC//hyaA//pncB//uidA//pspE//gdhA//pyrC//glpK//ulaF//purF//ilvI//fadM//leuC//sodB//tktB//truB//sbcC//phoA//dapD//ssuD//rffH//appA//pyrD//caiB//aldA//purF//glmS//xapA//murI//murI//nrfA//glmU//phnO//purC//
NarP-Phosphorylated	wecC//nfsA//nrfC//hyaB//malP//waaY//phnG//pyrD//deoC//umuD//hycE//hcp//moeB//sbcD//rffT//
NemR	serC//aldA//
NhaR-Na+	pyrD//trpC//lsrK//ubiA//umpH//
NikR-Ni2+	cadA//
NimR	fadA//
NorR	malZ//
NrdR-Zn2+	xapA//murF//napA//torA//
NsrR	gpmM//pgk//pspE//hemH//cdd//phnP//sucC//ruvA//tpiA//wecB//ampC//avtA//truB//yedX//waaH//nagB//lsrK//slt//lpxD//caiB//pepD//dmsC//psd//purD//gcl//deoD//idnD//metE//caiB//fbaB//trpB//sufS//speA//fadD//metH//wzb//rutD//sdhA//gcvP//pck//
NtrC-Phosphorylated	entA//aceB//alkA//pflB//atoA//mtlD//tdcG//waaY//ssuD//ahpC//hycC//sdaA//ulaG//narH//pflB//tdh//frc//uxuA//nagA//glcE//carA//
OmpR-Phosphorylated	glgC//argA//phnN//phnH//adhE//ynfG//sucC//glmS//
OxyR	sodB//dacC//thrS//dapD//ccp//allA//ldtD//entF//pncB//moeA//frc//napA//astC//yiaK//puuC//alaA//rhaA//
PaaX	wrbA//glpC//uxuB//caiD//wecE//metA//malP//nrdA//nrdF//
PdeL	garK//
PdhR	fabB//hcaD//nagA//bioF//accA//ftsI//hemL//fadH//garL//metA//galK//purK//purN//fadE//gltD//lysC//lpd//fadM//cdd//srkA//prpC//napA//malY//napA//rtcB//
PepA	umuD//rutB//
PgrR	glcE//moeA//
PhoB-Phosphorylated	sbcC//hyaC//glmS//poxB//yfdE//tdcE//napG//deoC//rffT//frdB//cynT//wzb//relA//fruK//atoD//paaZ//narH//tynA//prpD//uvrA//
PhoP-Phosphorylated	rnpB//idnK//epd//oxc//fucO//recB//prpB//ychF//phnI//adiA//glnA//fbaB//sucA//tnaA//malP//lyxK//guaA//puuD//lsrF//tehB//fucU//aspA//lacZ//rtcA//tdcD//fdhF//talA//lhgO//pyrD//glk//tdcB//gcl//
PrpR-2S3S-2-methylcitrate	ynfF//purM//gabD//uxuA//
PspF	fabZ//
PurR-hypoxanthine	ldtC//hemH//malS//idnD//allD//entE//ulaD//glmU//citF//hyi//paaZ//paaH//dadA//sodB//aldA//argB//deoA//pyrD//tadA//speA//tehB//malP//bacA//tyrA//mdh//hycC//
PutA	paaB//fbaB//
PuuR	ssuD//rsmH//fadD//uxaC//melA//puuD//
QseB-Phosphorylated	
RbsR	fabH//tktB//prpB//hemH//sgbU//
RcdA	feaB//
RclR	
RcnR	nanK//
RcsAB	lpxC//kbl//ygeA//
RcsB-BglJ	gloA//sodB//
RcsB-Pasp56	ilvD//chbG//paaK//rutE//
RelB	frdC//
RelB-RelE	paaI//
RhaR-alpha-L-rhamnopyranose	
RhaS	hemL//
RhaS-alpha-L-rhamnopyranose	codA//alkA//alkB//metC//
Rob	sufS//gltB//nrdE//mhpB//purE//codA//phnN//ddlB//dkgB//uxaB//allD//wrbA//gltB//tktB//sgbE//aroF//citC//lpd//pck//
RstA-Phosphorylated	ahpC//dmsB//metA//
RtcR	nrdE//malP//
RutR	pyrD//fabZ//kbaZ//nadB//sdaA//xapA//rffC//hcaE//ndh//udp//rutC//
SdiA	
SgrR	lacA//cueO//uxaB//
SlyA	dmsC//wecC//fucK//poxB//allA//frdB//metB//napA//napH//
SoxR	chbF//mpl//gltD//katE//malS//paaC//
SoxS	yeaG//paaE//dmsC//rffC//ruvB//ydcS//phnI//argD//gabT//srlD//leuB//murE//nemA//rhaB//sbcD//tyrA//glpX//ssuD//purN//nrdF//nirD//lacA//frdC//glxK//glgC//nrdE//putA//gabT//
SrlR	nrdD//gcvP//entF//
StpA	cysD//ilvI//ppsA//
SutR	gor//frc//
TdcA	amn//xylA//lpxC//cadA//asnB//
TdcR	ydcS//nrdF//hcaB//pyrC//uxaB//
TorR-Phosphorylated	araA//relA//aroA//sgbU//
TorR-TorI	kbl//
TreR	argI//gapA//
TrpR-tryptophan	hyaB//ynfE//malY//malY//ulaD//ilvC//atoB//citE//metA//
TyrR	gltD//
TyrR-phenylalanine	yedX//fabB//
TyrR-tyrosine	gcvH//umuD//pfkA//gcl//ubiX//gdhA//umuD//rtcA//
UhpA-Phosphorylated	fabH//
UidR	puuE//pheS//
UlaR	deoB//wzc//ahpF//purD//ychF//
UvrY-Phosphorylated	mngB//ulaG//
UxuR	ychF//hcaC//argC//ulaF//glpQ//
XapR-xanthosine	fucA//entB//
XylR-xylose	sufS//metF//torC//
YdeO	appA//uvrA//thrS//
YefM	ynfG//
YefM-YoeB	ldtD//
YeiL	
YhaJ	
YiaJ	mpaA//edd//purE//ada//adhE//uxaB//
YjjQ	phnP//pgaC//
YpdB-Phosphorylated	
YqhC	pheS//fumB//
YqjI	leuB//
ZntR-Zn2	idnK//
ZntR-Zn2+	mhpA//
ZraR-Phosphorylated	
Zur-Zn2	paaF//
Zur-Zn2+	phnM//
