# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	xapA//hycF//
Cra_neg	sucC//mhpA//nfsB//citX//fadI//entD//citX//uvrB//tpiA//xylB//tehB//nanK//argC//gor//guaA//appA//paaC//sucD//mpl//sdhC//fabH//uvrB//puuC//fadB//tpiA//nrdA//nirB//gcvT//deoB//epd//aldA//dmsB//guaA//cadA//aroL//mhpA//mpl//gatY//carA//sufS//ldtC//fucU//puuE//ubiX//fucI//
Cra_pos	caiB//phnP//frdB//mpaA//phnI//nanE//sdhB//pgaC//sdhB//tktB//ddlB//pdeL//fadH//metE//ldtC//alsE//rsmH//
CreB-Phosphorylated_neg	lyxK//
CreB-Phosphorylated_pos	gcvT//
CsgD_neg	lacZ//tktB//
CsgD_pos	bioD//tdcD//fbaB//
CsiR_neg	dhaL//fbaB//rbsK//bacA//
CspA_pos	wecE//
CueR-Cu_neg	lacZ//pgpC//argE//
CueR-Cu_pos	pncB//astD//
CusR-Pasp_pos	ygeA//torA//cysN//rffH//
CynR-cyanate_pos	truB//mhpD//alkB//
CynR_neg	
CysB-O-acetyl-L-serine_neg	cysM//napA//tdcB//
CysB-O-acetyl-L-serine_pos	napB//hyaB//arsC//glcE//gcvH//gltD//aceF//purK//argG//alaS//waaZ//metC//
CysB_neg	
CysB_pos	aldA//kbaY//
CytR_neg	uvrA//rfe//entE//patA//kbaZ//astD//gapA//araA//deoC//allD//
Dan-L-tartrate_pos	murQ//astB//
DcuR-Phosphorylated_pos	glgP//asnB//waaY//accD//
DeoR_neg	paaG//iscS//uxaA//rimK//idnK//narI//
DhaR_neg	
DhaR_pos	nagA//
DicA_neg	
DinJ-YafQ_neg	rfe//
DnaA-ATP_neg	murD//mpaA//accD//yedX//tpiA//
DnaA-ATP_pos	purK//ulaD//aceA//
DpiA-Pasp_neg	
DpiA-Pasp_pos	uxaA//lsrG//poxB//argE//aceE//
DsdC-D-serine_neg	
DsdC-D-serine_pos	gutQ//uvrB//
EbgR_neg	
EnvR_neg	pgaD//gltB//
EnvY_pos	betA//dapB//
EvgA-Phosphorylated_pos	udp//napG//lsrG//wecE//aroG//glgX//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	phnJ//gudD//lpxA//phnJ//ynfF//astC//
FabR_neg	rhaB//tdcG//tam//
FadR-acyl-CoA_pos	
FadR_neg	hcaF//malY//phr//aroG//glgB//hycG//glxK//icd//phnJ//
FadR_pos	dhaK//appA//ung//gcvP//murE//ynfE//cynS//phnI//lldD//fabA//
FeaR_pos	tauD//paaI//
FhlA-formate_pos	sbcD//ppiA//betB//hypB//cynS//glcD//grxA//glcD//
FlhDC_neg	fdhF//citC//
FlhDC_pos	narG//cysD//fadB//phnM//metF//glnA//hemH//paaH//accA//fumB//gatY//ldtB//
FliZ_neg	deoA//rbsD//folA//metC//astC//
FucR-L-fuculose-1-P_pos	metE//entB//dgcC//rhaA//citC//recB//
Fur-Fe2_neg	cysD//patD//gcvP//phoA//waaH//araD//nfsB//gabD//galE//truB//gadA//hycC//alaS//hcaD//kbaZ//allD//hycE//glpQ//paaH//pdeR//purA//glpC//slt//gatZ//umuD//idnK//yiaK//fucI//pepD//napA//ssuE//wecE//dacC//pspE//tam//gatZ//gadA//garL//alaC//fabG//metL//paaY//mhpC//ndh//prpD//metA//ldtD//glyA//fabZ//alkB//frdA//hcp//purB//
Fur-Fe2_pos	fabG//nirD//gadA//garR//sucB//puuA//ycjG//mhpF//paaI//tnaA//argD//rffG//umuC//rtcA//bioA//argH//
GadE-RcsB_pos	chbF//betA//aceB//phnI//argG//
GadE_pos	aldA//tam//phnH//rtcB//lhgO//cysD//katE//guaB//torA//murC//
GadW_neg	fucK//yqhD//hypB//
GadW_pos	mraY//hycE//gnd//glpB//
GadX_neg	gapA//glcF//argD//
GadX_pos	prpE//ilvC//kbaY//pfkA//katG//nirB//purE//astB//ttdA//entF//yqhD//
GalR-beta-D-galactose_neg	uidA//phnI//moaD//ssuD//allC//
GalR-beta-D-galactose_pos	idnO//argB//hyaA//paaJ//
GalR_neg	rffG//speA//sucA//dapB//edd//paaY//
GalR_pos	glpA//nrdD//ychF//kbaZ//
GalS-beta-D-galactose_neg	pgaD//treC//gapA//galT//uxuB//
GalS-beta-D-galactose_pos	speB//sufS//gloA//mhpF//
GalS_neg	astE//phnI//prpB//malY//astA//argB//
GalS_pos	betB//moaA//paaA//glk//
GatR_neg	gnd//ruvB//dkgB//
GcvA_neg	puuA//purA//metF//
GcvA_pos	cysJ//treC//hycE//
GlcC-glycolate_neg	
GlcC-glycolate_pos	sgbH//napB//bioB//
GlpR_neg	ynfE//garD//argE//glgC//treC//argA//hmp//
GlrR-Pasp56_pos	
GntR_neg	waaH//fumB//pflB//putA//melA//oxc//chbF//icd//glgA//
GutM_pos	rffH//adiA//edd//
HU_neg	malY//yedX//aspA//bioF//entF//ascB//galT//
HU_pos	
HcaR-HCA_pos	sdhC//bglB//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	tdcE//
HigB-HigA_neg	argC//
HipAB_neg	purE//deoA//
HipB_neg	aceE//malQ//torC//
HprR-Phosphorylated_neg	yiaK//nrfC//
HprR-Phosphorylated_pos	nanA//accD//
HyfR_pos	fumC//
HypT-Met-oxidized_neg	citC//ppsA//
HypT-Met-oxidized_pos	allA//dsdA//uxuA//srlD//rnpB//
IclR-pyruvate_neg	uxaA//aroG//ttdA//
IdnR-5-ketogluconate_neg	pyrD//waaY//
IdnR-5-ketogluconate_pos	paaA//kbaY//idnO//
IlvY-2-acetolactate_pos	allC//
IlvY_neg	
IscR-2Fe-2S_neg	napG//ulaG//
IscR_neg	aroL//glxK//pagP//adhE//
IscR_pos	entH//hmp//
KdgR_neg	fadH//glmS//
KdpE-Phosphorylated_pos	fbaA//
LacI_neg	dacC//phoA//caiD//
LeuO_neg	
LeuO_pos	glcF//sucD//metK//puuC//ygeA//aceB//
LexA_neg	ahpC//rfe//malP//wzb//ldtB//aroH//mpaA//hycE//fucK//metA//metH//galE//umpH//pyrC//glcD//ruvB//glpA//phnN//pncB//napG//speA//zwf//sodA//
LldR-lactate_neg	speB//dmsB//
LldR-lactate_pos	frdD//pheT//
LldR_neg	frdA//metL//
LldR_pos	napG//wecE//
LrhA_neg	
LrhA_pos	
LsrR_neg	nrdD//melA//thrS//pyrC//luxS//
LysR_neg	
LysR_pos	xylB//
MalI_neg	betB//trpE//
MalT-maltotriose-ATP_pos	rutB//fabD//cysD//dsdA//nanA//pgaC//
MarA_neg	cysG//
MarA_pos	gpmA//appA//hcaD//mhpD//mhpE//fadJ//metL//pfkA//aspC//mpaA//cueO//gltB//pgpC//cysM//argC//lysA//citG//dgkA//folA//gcvH//frdC//ftsI//rffH//
MarR_neg	
MatA_neg	trpE//
MatA_pos	
MazE-MazF_neg	cysM//
MazE_neg	ydcS//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	allB//chbG//
MelR-melibiose_pos	fadI//nrdD//
MelR_neg	citD//aceA//
MelR_pos	wzb//nrfD//
MetJ-adenosylmethionine_neg	fabH//ndh//metL//polB//paaE//recD//lpxA//trpA//paaJ//mpl//
MetR-L-homocysteine_neg	pheS//
MetR-L-homocysteine_pos	glpQ//nanA//
MetR_pos	fdhF//appA//
MhpR-3HPP_pos	speA//aroL//narH//malQ//pyrD//deoD//
Mlc_neg	pgpC//tdcD//aroH//fadJ//
MlrA_pos	mdh//
MngR_neg	aceF//bioC//
MntR-Mn2_neg	fucO//
MntR-Mn2_pos	fabB//
ModE-MoO42-_neg	cynT//purB//ogt//purK//sgbE//pck//nanE//lsrK//
ModE-MoO42-_pos	xylB//ndh//glcB//acnB//purL//pgm//rimK//srkA//hycB//
MprA_neg	rutC//glyA//ribA//
MqsA_neg	metF//metF//
MraZ_neg	lysA//polB//ddlB//ychF//paaJ//ynfE//ppc//hcaE//phnN//fucK//
MurR_neg	speG//wecC//polA//
MurR_pos	
Nac_neg	prpD//fruK//bioA//
Nac_pos	ndh//hcaD//accD//purM//waaY//leuB//astB//accA//
NadR_neg	sbcC//waaY//hypF//xylA//
NagC_neg	hycE//dmsA//ubiA//sbcC//cdd//cynT//nfsB//cysE//hycB//nrfD//mpaA//glpD//lyxK//metH//gpmA//tyrA//fadE//puuE//
NagC_pos	ssuD//hypF//
NanR_neg	alaC//carB//metA//araA//purH//pnp//
NanR_pos	
NarL-Phosphorylated_neg	dinB//gabD//murE//torC//gadB//sgbH//lpd//allB//yeaG//phnM//aceF//tdcE//ribA//lacZ//ycjG//tktB//fumC//hypF//fabI//glcD//wecE//ybjG//allD//hcaB//pncB//alkB//recB//putA//
NarL-Phosphorylated_pos	betB//mhpB//alkB//uxuA//pgk//asnA//rffM//pyrD//pdeR//malQ//mhpC//ruvA//gnd//pdeH//nrfC//
NarP-Phosphorylated_neg	rhaA//glyA//sufS//mpl//wzb//
NarP-Phosphorylated_pos	cysG//rnpB//tadA//bioC//rtcA//pgaB//glgX//iscS//pflB//trpD//nadB//frc//purF//udp//
NemR_neg	talA//ydcS//
NhaR-Na_pos	mngB//yeaE//prpE//uxuA//feaB//
NikR-Ni2_neg	sucA//
NimR_neg	tyrB//
NorR_neg	
NorR_pos	rutA//
NrdR-Zn2_neg	glpB//speG//prpD//puuA//
NsrR_neg	phnL//glpA//caiA//aroF//guaB//rbsK//pyrD//glyA//malZ//sgbE//leuB//glpK//frdC//allD//uvrA//yeaE//frdA//gatD//glgA//fadD//melA//aroL//trpD//cadA//ubiA//argA//garR//dgcZ//purD//alkB//pyrD//sodB//ppc//araB//allA//yqjH//garD//fumB//lysC//fabI//
NtrC-Phosphorylated_neg	uxaB//mhpC//
NtrC-Phosphorylated_pos	deoB//hycD//puuE//gpmM//puuC//allD//garD//garD//dhaK//sgbE//frc//cysK//glxR//fadM//hycB//narH//mltF//pagP//cysG//kbaZ//metB//
OmpR-Phosphorylated_neg	nanM//gntK//rbsD//nirD//wecC//
OmpR-Phosphorylated_pos	melA//ascB//murE//rbsK//
OxyR_neg	lpd//dgcZ//pheS//narH//gapA//
OxyR_pos	ung//allB//nanA//fucO//aldA//sucD//atoA//glgA//glgC//eda//treC//yqhD//
PaaX_neg	pgaD//rutE//napG//malP//serA//mhpA//paaI//katG//dmsA//
PdeL_pos	argB//
PdhR_neg	xylA//ubiC//lpxD//paaG//nrdE//lacZ//nrfD//glgX//moaD//yeaE//sucA//glpC//narH//purC//cysM//leuC//nadB//fabZ//ttdA//icd//aroH//phnJ//phnN//
PdhR_pos	pdeL//rfe//
PepA_neg	guaB//ndh//
PgrR_neg	polA//betA//
PhoB-Phosphorylated_neg	sodA//fdhF//aroF//wecC//cynS//
PhoB-Phosphorylated_pos	metB//metK//ulaD//ung//tdcG//dapD//luxS//galK//astD//ddlB//dmsA//patA//allD//frdA//fucK//fucU//treC//
PhoP-Phosphorylated_neg	mngB//araD//rutE//
PhoP-Phosphorylated_pos	astB//fau//asnB//pgk//iscS//yfdE//carB//deoD//murF//mhpC//pagP//feaB//prpB//uxaB//ynfH//waaH//malZ//paaG//murE//paaZ//rimK//lpxA//garR//rimK//ynfG//dkgA//ychF//nrdD//aceB//katE//nrdA//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	ascB//srkA//hcaC//sufS//
PspF_neg	
PspF_pos	mltF//
PurR-hypoxanthine_neg	malY//putA//nanM//eno//atoD//lpxC//bioB//dkgB//bacA//cadA//mhpC//nfsB//ung//cysH//astA//bioC//umuC//pagP//lhgO//fadB//pfkA//rtcB//gcvT//ruvA//lacA//frdA//
PutA_neg	thrS//katE//
PuuR_neg	mpaA//fadJ//rffM//allB//argC//paaB//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	eno//metA//nrdE//pgaB//rtcB//
RcdA_neg	
RcdA_pos	aceF//
RclR_pos	
RcnR_neg	glgA//
RcsAB_neg	patD//
RcsAB_pos	cdd//lacZ//
RcsB-BglJ_pos	fabI//aroL//
RcsB-Pasp56_neg	zwf//
RcsB-Pasp56_pos	ubiC//fucU//paaA//
RelB-RelE_neg	leuD//
RelB_neg	mraY//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	lacZ//asnA//ahpC//murQ//
Rob_neg	
Rob_pos	bioC//aceA//paaE//sdhD//fabH//atoB//glgA//polB//tdcE//fucU//caiD//hycF//caiC//gcvH//purK//entF//cysN//tdcE//cysD//
RstA-Phosphorylated_neg	dhaM//ttdA//
RstA-Phosphorylated_pos	nrdB//
RtcR_pos	purL//ampC//
RutR_neg	lysC//sdhC//aceE//paaC//lpxA//aroL//ubiC//lsrG//eno//sbcC//
RutR_pos	waaH//
SdiA_neg	
SdiA_pos	
SgrR_neg	phoA//
SgrR_pos	torC//lsrF//
SlyA_neg	
SlyA_pos	patA//glmU//glxK//wecE//sodA//malY//mhpD//gatZ//pdeH//
SoxR_neg	
SoxR_pos	mpaA//ulaG//paaI//pgpC//ubiA//metB//
SoxS_neg	
SoxS_pos	ttdA//rfe//acnA//phnI//caiC//truB//poxB//dkgB//paaA//paaI//rutA//fau//ygeA//betA//prpD//phnM//galM//pgi//idnO//nrfA//cysM//hcaF//rhaA//mngB//astD//fes//phnH//xapA//
SrlR_neg	trpD//tdcB//garL//
StpA_neg	hemL//cysD//sgbE//
SutR_neg	hyaB//glxK//
SutR_pos	
TdcA_pos	allE//yeaE//paaG//rbsK//lhgO//
TdcR_pos	lsrG//fabH//nrdE//betB//lhgO//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	citG//glcE//bioF//mazG//
TorR-TorI_neg	glyA//
TorR-TorI_pos	
TreR_neg	uidA//fucK//
TrpR-tryptophan_neg	ruvA//glpK//fes//epd//malQ//trpA//aroG//trpC//astD//
TyrR-phenylalanine_neg	tdcE//uvrC//
TyrR-phenylalanine_pos	citF//
TyrR-tyrosine_neg	ssuD//poxB//sucC//fabD//astC//ftsI//
TyrR-tyrosine_pos	fau//purE//
TyrR_neg	dhaK//
TyrR_pos	alkB//
UhpA-Phosphorylated_pos	ldtC//
UidR_neg	metF//phnG//
UlaR_neg	patA//hycB//nadB//aroG//nrfC//
UvrY-Phosphorylated_pos	dkgA//ulaF//
UxuR_neg	deoC//bglB//glpX//lyxK//rhaB//
XapR-xanthosine_pos	ruvA//accC//
XylR-xylose_neg	
XylR-xylose_pos	nirD//appA//hycE//
YdeO_neg	
YdeO_pos	tauD//hcaB//speG//
YefM-YoeB_neg	glgP//
YefM_neg	umuD//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	hycD//gatY//umpH//fadD//pagP//xapA//
YjjQ_neg	dmsA//uidA//
YpdB-Phosphorylated_pos	
YqhC_pos	dmsA//hmp//
YqjI_neg	gltB//
ZntR-Zn2_pos	fbaB//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	rutE//
