# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	hcaC//cysN//
Fur-Fe2_neg	mnmG//dinB//gltB//paaK//gadA//thrS//pgm//rtcB//murE//argA//acnB//paaJ//dkgA//umuD//yiaK//gcl//ynfE//fadB//caiB//zwf//galE//gcvH//waaY//yeaG//grxA//cysJ//waaZ//fau//purL//aroH//lsrG//nadB//malZ//aceB//mazG//sdhA//guaB//ldtC//ldtC//ynfG//slt//murD//aceB//gabD//ogt//bioC//recD//umpH//sbcD//puuA//fdhF//paaF//allA//
Fur-Fe2_pos	polB//pgm//ruvA//fabZ//nadB//udp//ftsI//aceE//ulaG//nrfC//pgm//metH//phnJ//fadJ//paaZ//fucU//
GadE-RcsB_pos	pgpC//lysC//prpB//allA//ubiC//
GadE_pos	hcaB//allA//phr//putA//purH//feaB//fadA//treC//tpiA//recF//
GadW_neg	malQ//nrfD//argB//
GadW_pos	murI//purK//fabZ//fumB//
GadX_neg	bacA//fbaB//dkgB//
GadX_pos	asnB//nfsB//nrfA//rfe//sdhB//glcF//argI//lhgO//bglB//garL//rsmH//
GalR-beta-D-galactose_neg	ogt//nadA//tynA//argE//glgC//
GalR-beta-D-galactose_pos	alaC//cueO//murE//nadB//
GalR_neg	ttdB//uvrB//glpC//citG//sodA//phnG//
GalR_pos	gatD//pgaB//tktB//kbaY//
GalS-beta-D-galactose_neg	mhpF//nagA//hyaA//cysI//carB//
GalS-beta-D-galactose_pos	citD//lysA//uvrC//gatZ//
GalS_neg	katG//alaC//tadA//leuB//ppiA//narG//
GalS_pos	fabI//metE//gnd//murG//
GatR_neg	frdA//tdcE//araB//
GcvA_neg	accC//melA//argG//
GcvA_pos	caiA//phnI//astC//
GlcC-glycolate_neg	
GlcC-glycolate_pos	galT//argH//feaB//
GlpR_neg	dgcN//adhE//allA//pgpC//atoA//puuD//gcvP//
GlrR-Pasp56_pos	
GntR_neg	ldtB//hycC//rutE//yiaK//psd//fadE//murE//fadE//dapD//
GutM_pos	aroL//cysJ//gpmM//
HU_neg	umuC//ynfF//gntK//fucK//phoA//nirB//ulaD//
HU_pos	
HcaR-HCA_pos	atoD//entA//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	rffT//
HigB-HigA_neg	moeB//
HipAB_neg	lpd//purL//
HipB_neg	lysA//tdcB//ycjG//
HprR-Phosphorylated_neg	pdeL//caiA//
HprR-Phosphorylated_pos	fabI//citG//
HyfR_pos	sodA//
HypT-Met-oxidized_neg	narH//patD//
HypT-Met-oxidized_pos	rutC//citF//fumB//tadA//tyrB//
IclR-pyruvate_neg	ccp//entH//frdD//
IdnR-5-ketogluconate_neg	metC//murQ//
IdnR-5-ketogluconate_pos	prpD//rutE//entD//
IlvY-2-acetolactate_pos	tdcB//
IlvY_neg	
IscR-2Fe-2S_neg	nanK//aceE//
IscR_neg	ulaF//rffT//treC//aceF//
IscR_pos	puuC//aspA//
KdgR_neg	trpB//bacA//
KdpE-Phosphorylated_pos	cysM//
LacI_neg	hcaC//glmS//nirD//
LeuO_neg	
LeuO_pos	napB//moaE//nrdF//hcaD//murI//tdcE//
LexA_neg	paaI//galT//paaI//folA//glyA//atoB//hmp//puuB//lsrG//speG//rbsK//pgpC//glgX//pyrD//yqjH//carA//chbF//murQ//nrdA//paaZ//paaF//arsC//melA//
LldR-lactate_neg	guaB//fumC//
LldR-lactate_pos	ftnA//glgP//
LldR_neg	fumB//pspE//
LldR_pos	rbsD//dmsB//
LrhA_neg	
LrhA_pos	
LsrR_neg	astD//ruvA//dmsC//glpB//adhE//
LysR_neg	
LysR_pos	paaJ//
MalI_neg	hcaB//phnP//
MalT-maltotriose-ATP_pos	talA//nfsA//umuC//icd//gadA//astC//
MarA_neg	ydcS//
MarA_pos	talA//fbaB//glmU//sucB//asnA//yedX//citE//glgX//paaZ//rsmH//ynfH//paaF//sbcD//nrdE//hemH//polB//torA//umuC//wecB//gcvT//alsE//phnN//sucC//
MarR_neg	
MatA_neg	recD//
MatA_pos	
MazE-MazF_neg	rpiB//
MazE_neg	srlD//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	fadE//glpQ//
MelR-melibiose_pos	frdB//rtcA//
MelR_neg	dmsA//psd//
MelR_pos	pheS//recF//
MetJ-adenosylmethionine_neg	aroH//gutQ//rffM//sgbH//nrdD//ldtB//rutD//garR//gpmA//hycG//
MetR-L-homocysteine_neg	guaB//
MetR-L-homocysteine_pos	glk//trpB//
MetR_pos	nrdD//murF//
MhpR-3HPP_pos	argI//lysC//rhaD//aroL//katE//sodB//
Mlc_neg	mraY//amn//pgm//nanM//
MlrA_pos	rtcB//
MngR_neg	nrdD//yfdE//
MntR-Mn2_neg	bglB//
MntR-Mn2_pos	waaY//
ModE-MoO42-_neg	paaB//dkgA//mtlD//tadA//acnA//sdhA//sufS//trpD//
ModE-MoO42-_pos	purL//mhpD//trpA//lsrK//mhpC//wzb//hyaA//rutE//nanK//
MprA_neg	prpC//gor//argH//
MqsA_neg	prs//murC//
MraZ_neg	polA//paaJ//acnA//rfe//tadA//paaY//argF//sdhB//phnM//ppc//
MurR_neg	argD//glpD//gapA//
MurR_pos	
Nac_neg	folA//mhpA//betA//
Nac_pos	xapA//araD//deoA//rbsD//argD//umuC//gcl//phr//
NadR_neg	alaC//sdhA//purB//aspC//
NagC_neg	poxB//hcaF//metC//aceB//argH//appA//prpE//rutA//patA//sodA//metB//sucD//nagB//luxS//garR//paaC//tdcB//tdcD//
NagC_pos	pgm//kbaZ//
NanR_neg	alaS//chbG//accA//frdA//alkA//recF//
NanR_pos	
NarL-Phosphorylated_neg	chbG//glgC//narG//yeaE//rhaA//citF//murG//argC//argD//hcaB//puuB//garK//udp//mtlD//napH//allC//sbcC//malS//yqhD//betA//bioF//rsmH//rutD//puuC//astA//glk//dacC//aceE//
NarL-Phosphorylated_pos	sucD//pflB//murF//prs//ubiX//fadJ//gnd//lpxD//ynfF//sodB//phnL//guaB//gatY//treC//ruvB//
NarP-Phosphorylated_neg	tdcB//napA//wzb//sucA//rffG//
NarP-Phosphorylated_pos	recD//astD//paaH//citC//napG//leuD//phoA//mhpE//astD//cysJ//dinB//pfkA//rutC//pyrC//
NemR_neg	allA//nadA//
NhaR-Na_pos	pdeR//yeaE//tpiA//asnA//leuC//
NikR-Ni2_neg	hcaC//
NimR_neg	rbsD//
NorR_neg	
NorR_pos	dhaK//
NrdR-Zn2_neg	frdD//glgX//carB//kbaZ//
NsrR_neg	mazG//glk//ttdA//fbaA//argD//astE//moaC//tpiA//napA//gcl//allB//asnB//speB//gudD//chbG//rfe//rfe//sufS//entA//gudD//deoD//pdeR//ftnA//nadA//caiD//paaH//rffH//garR//uxaB//uvrC//yqjH//tyrA//purH//xapA//fbaA//aceA//bioB//prs//dgcC//astC//
NtrC-Phosphorylated_neg	glgP//citF//
NtrC-Phosphorylated_pos	hyaC//ung//rutE//uvrA//sdhB//fumC//waaY//mhpF//folA//phnI//sgbH//allD//hycB//ybjG//gabD//trpC//nadB//argD//gltB//moaC//glgP//
OmpR-Phosphorylated_neg	ahpC//murC//entF//purN//gatD//
OmpR-Phosphorylated_pos	ulaE//hycD//hcaC//glcD//
OxyR_neg	sucA//nanK//nadB//nrdD//tam//
OxyR_pos	asnB//puuD//entE//pdeR//prpD//metB//tam//pdeH//purD//gadB//gabD//carB//
PaaX_neg	hyaB//trpE//narI//nrfC//atoD//accD//ndh//phnM//gatD//
PdeL_pos	glpA//
PdhR_neg	gltD//purB//hmp//dhaK//phoA//ubiX//idnO//frdC//ahpC//caiA//icd//nanE//feaB//fabB//adiA//metH//lpd//epd//recF//waaY//tynA//sbcD//alkB//
PdhR_pos	napA//gloA//
PepA_neg	phnH//ubiX//
PgrR_neg	fadM//mdh//
PhoB-Phosphorylated_neg	ygeA//iscS//sdhC//cynT//gltB//
PhoB-Phosphorylated_pos	metH//uvrB//phnG//murC//trpA//ybjG//sdhD//ubiC//umpH//metF//glmU//purM//trpE//hcaC//moeB//gcvH//ppiA//
PhoP-Phosphorylated_neg	moaC//frdC//accC//
PhoP-Phosphorylated_pos	purH//idnD//aceA//dhaK//nrdB//nrdB//mhpA//asnA//dmsC//purA//arsC//paaA//fadD//rhaB//ogt//dkgA//bioF//prpD//tehB//glyA//yeaG//citD//hycD//atoA//cynS//deoA//phnI//tdcG//argI//leuB//cueO//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	appA//sbcC//hycB//tam//
PspF_neg	
PspF_pos	sucD//
PurR-hypoxanthine_neg	metA//sucC//sdhD//recB//wzc//uxaC//murD//araB//glpB//glcB//cysD//paaF//nrfC//gcvP//phnH//carB//chbG//nrdE//hycB//cueO//pdeL//treC//cysD//glcF//fucA//mhpF//
PutA_neg	gcl//xylA//
PuuR_neg	nrdB//psd//ilvC//citF//gabT//tauD//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	bioB//fabH//fadM//hypB//mhpA//
RcdA_neg	
RcdA_pos	glgP//
RclR_pos	
RcnR_neg	argD//
RcsAB_neg	aspA//
RcsAB_pos	yqjH//cysC//
RcsB-BglJ_pos	nadB//moaC//
RcsB-Pasp56_neg	prpC//
RcsB-Pasp56_pos	metB//cysH//phnN//
RelB-RelE_neg	bioF//
RelB_neg	fbaA//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	ttdA//hmp//ndh//uxuA//
Rob_neg	
Rob_pos	lhgO//argE//nanA//cadA//hyi//nfsA//sdhB//nrdB//bglB//nrfD//pgaC//cysI//entB//paaF//alkB//bioD//aspC//lldD//aceB//
RstA-Phosphorylated_neg	sgbU//caiB//
RstA-Phosphorylated_pos	nadB//
RtcR_pos	xapA//phnP//
RutR_neg	amn//fabG//rffM//uvrB//fadI//recB//edd//speA//citD//fes//
RutR_pos	mraY//
SdiA_neg	
SdiA_pos	
SgrR_neg	nanM//
SgrR_pos	metF//uvrB//
SlyA_neg	
SlyA_pos	mhpB//aroH//astC//gabD//fabD//entF//glpK//aroH//napH//
SoxR_neg	
SoxR_pos	purF//tyrB//ynfE//cynS//allA//cysD//
SoxS_neg	
SoxS_pos	fadE//cynT//ahpC//prpC//treC//dgcN//ldtC//allB//pgk//glmS//hemL//pgaC//ndh//paaF//fabH//cadA//hycB//phnJ//sdhD//thrS//nemA//moaD//hcaD//hcp//murD//guaA//uidA//citE//
SrlR_neg	xylB//paaE//entF//
StpA_neg	iscS//paaC//xapA//
SutR_neg	fabH//rimK//
SutR_pos	
TdcA_pos	lacZ//fadJ//bioD//ycjG//polA//
TdcR_pos	betB//fabI//mhpA//glxK//astA//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	metC//phnM//chbG//sbcD//
TorR-TorI_neg	nirD//
TorR-TorI_pos	
TreR_neg	napH//allA//
TrpR-tryptophan_neg	metB//bioC//sucA//murQ//katG//puuE//fucO//glxK//ruvB//
TyrR-phenylalanine_neg	trpE//recB//
TyrR-phenylalanine_pos	carA//
TyrR-tyrosine_neg	kbaY//ldtC//hcaC//hyaA//uidA//astB//
TyrR-tyrosine_pos	dgkA//pgk//
TyrR_neg	malZ//
TyrR_pos	torA//
UhpA-Phosphorylated_pos	argC//
UidR_neg	treC//ogt//
UlaR_neg	hyaA//pgi//caiD//glgX//galT//
UvrY-Phosphorylated_pos	dinB//amn//
UxuR_neg	phnI//aldA//glsA//hcaB//frdD//
XapR-xanthosine_pos	astE//leuA//
XylR-xylose_neg	
XylR-xylose_pos	pgaB//dgcN//rimK//
YdeO_neg	
YdeO_pos	lsrF//dgkA//atoB//
YefM-YoeB_neg	adhE//
YefM_neg	hycB//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	ndh//argG//ubiA//poxB//pagP//mpaA//
YjjQ_neg	hyaA//katE//
YpdB-Phosphorylated_pos	
YqhC_pos	aceB//glk//
YqjI_neg	xapA//
ZntR-Zn2_pos	bglB//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	fucK//
