# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	murF//allB//
Fur-Fe2_neg	pyrC//accA//xylB//paaA//hyaA//adiA//ssuE//lpxA//ppsA//tehB//epd//dsdA//guaB//trpC//astD//polA//malP//ssuD//aceA//psd//prpC//fadA//thrS//rpiB//allE//ftnA//allE//glcF//nagB//murC//nadA//ada//pgi//pyrC//patA//cynT//uxuB//mpl//phnM//rffT//dsdA//gcvP//nrfA//zwf//fabH//citD//phr//napB//tnaA//argI//moaA//appA//malZ//
Fur-Fe2_pos	nirB//sdhB//fes//talA//rffM//purE//rffT//tnaA//alaC//prpE//purD//astA//recB//adhE//allB//speG//
GadE-RcsB_pos	argC//purE//mdh//aroF//hypF//
GadE_pos	umpH//mazG//sucC//prs//glgX//paaC//ldtD//hemL//purB//fadE//
GadW_neg	hycE//dgcN//ttdA//
GadW_pos	mraY//nanA//rffH//nagA//
GadX_neg	argF//fabZ//lacZ//
GadX_pos	garK//polA//pgm//citD//ung//betA//sdhB//nirD//citE//yedX//hcaD//
GalR-beta-D-galactose_neg	galT//hycD//cysH//tdcE//garR//
GalR-beta-D-galactose_pos	rffC//talA//relA//speG//
GalR_neg	torC//recF//tdcB//uxaC//talA//frdA//
GalR_pos	pflB//ulaG//cysK//gadA//
GalS-beta-D-galactose_neg	rffH//rffT//ugpQ//pdeH//guaA//
GalS-beta-D-galactose_pos	cysC//argA//gor//tehB//
GalS_neg	cysN//lsrK//tpiA//fabH//purC//ubiA//
GalS_pos	dmsC//mdh//pgi//fadE//
GatR_neg	gadB//gudD//tpiA//
GcvA_neg	aroG//moaE//moaE//
GcvA_pos	ascB//lhgO//gabD//
GlcC-glycolate_neg	
GlcC-glycolate_pos	leuC//frdC//cysM//
GlpR_neg	sodA//patD//sucA//ubiC//thrS//glgC//moeB//
GlrR-Pasp56_pos	
GntR_neg	folE//ubiC//recD//katG//dmsA//yeaE//betA//dhaL//puuE//
GutM_pos	fau//ccp//yqhD//
HU_neg	umuC//sufS//trpB//fabZ//wzb//pheS//trpD//
HU_pos	
HcaR-HCA_pos	uxuA//gatD//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	lsrF//
HigB-HigA_neg	aspA//
HipAB_neg	hypF//gntK//
HipB_neg	speA//frc//nagA//
HprR-Phosphorylated_neg	ppiA//waaZ//
HprR-Phosphorylated_pos	araB//dgcC//
HyfR_pos	ndh//
HypT-Met-oxidized_neg	murF//fabI//
HypT-Met-oxidized_pos	lsrF//allE//murQ//citG//fbaB//
IclR-pyruvate_neg	epd//pepD//ynfE//
IdnR-5-ketogluconate_neg	metC//glcF//
IdnR-5-ketogluconate_pos	galE//prs//guaA//
IlvY-2-acetolactate_pos	tdcD//
IlvY_neg	
IscR-2Fe-2S_neg	paaB//phnL//
IscR_neg	sucA//idnK//aspA//mhpC//
IscR_pos	kbaZ//pagP//
KdgR_neg	ubiA//nrdE//
KdpE-Phosphorylated_pos	rffC//
LacI_neg	rffM//sdhD//ldtC//
LeuO_neg	
LeuO_pos	cysH//hcaB//yeaE//dgkA//serA//rpiB//
LexA_neg	prs//murD//frdA//sdhC//mhpE//chbF//uidA//glcB//hemL//murQ//rbsK//murC//yqjH//fadD//ccp//nemA//iscS//aroF//rtcA//mngB//phnJ//glxK//gpmM//
LldR-lactate_neg	hcaF//cysH//
LldR-lactate_pos	hcp//murF//
LldR_neg	entF//entF//
LldR_pos	cynS//hcaE//
LrhA_neg	
LrhA_pos	
LsrR_neg	yfdE//recF//metH//caiB//hcaF//
LysR_neg	
LysR_pos	cysC//
MalI_neg	tynA//ftsI//
MalT-maltotriose-ATP_pos	uxuA//lpxD//glmS//prpD//alsE//pdeL//
MarA_neg	puuA//
MarA_pos	rffH//ychF//purA//gor//phnL//allC//bioD//waaY//fadH//nrdF//wzb//entC//citC//cysG//entA//hcaE//hemH//galM//moeB//sucB//tam//puuA//ftsI//
MarR_neg	
MatA_neg	purB//
MatA_pos	
MazE-MazF_neg	wecB//
MazE_neg	napB//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	ulaG//cysK//
MelR-melibiose_pos	dapD//dhaK//
MelR_neg	paaF//glcE//
MelR_pos	sdhB//entC//
MetJ-adenosylmethionine_neg	polA//sgbU//astB//entF//pyrC//purE//fabA//psd//carA//phr//
MetR-L-homocysteine_neg	rhaB//
MetR-L-homocysteine_pos	argI//polA//
MetR_pos	icd//ulaD//
MhpR-3HPP_pos	nfsA//gudD//mhpC//mhpB//lpxA//wzc//
Mlc_neg	glmU//hcaF//fadD//ruvA//
MlrA_pos	pgaC//
MngR_neg	tdcB//astD//
MntR-Mn2_neg	fabG//
MntR-Mn2_pos	hycG//
ModE-MoO42-_neg	mdh//hycB//frdA//cysN//cysI//fabH//patD//cadA//
ModE-MoO42-_pos	lsrG//metE//bioA//pspE//nagA//malS//narH//rsmH//lldD//
MprA_neg	pagP//argC//fabH//
MqsA_neg	amn//fadA//
MraZ_neg	puuD//purF//malQ//gadB//pgk//gpmA//lpxD//glyA//sucA//mhpD//
MurR_neg	frdB//pagP//idnO//
MurR_pos	
Nac_neg	ppc//paaE//malY//
Nac_pos	deoB//entE//phnN//mraY//adiA//wzc//gatD//gcvP//
NadR_neg	uxuB//fadH//sufS//napA//
NagC_neg	chbF//ubiA//moaE//accC//yqjH//sucA//glk//hemH//ftnA//caiB//hycE//glpD//fdhF//ubiX//glgB//accC//bioD//purM//
NagC_pos	sodA//tyrA//
NanR_neg	entF//kbaY//nirD//frdB//alkB//ogt//
NanR_pos	
NarL-Phosphorylated_neg	xapA//glpD//glgP//fucA//cadA//mhpD//guaA//hyaB//dgcZ//hyaA//lsrG//ftnA//putA//aroF//umpH//pgk//puuD//mtlD//ssuD//gadB//fbaB//rhaA//fadH//ybjG//paaY//ppsA//allD//nirD//
NarL-Phosphorylated_pos	idnK//citX//rffC//sdhC//hyaC//ynfH//alsE//nanE//astA//purN//fabD//argA//aroG//prpC//entH//
NarP-Phosphorylated_neg	lpxA//ychF//idnK//yiaK//accD//
NarP-Phosphorylated_pos	feaB//uvrB//aceE//phnP//rffG//glcB//fadD//bioF//phnN//carA//hycB//glmU//wzb//wzb//
NemR_neg	yedX//deoA//
NhaR-Na_pos	tnaA//gloA//murC//prpC//ppsA//
NikR-Ni2_neg	paaY//
NimR_neg	lsrF//
NorR_neg	
NorR_pos	mhpC//
NrdR-Zn2_neg	fabD//rfe//caiA//ygeA//
NsrR_neg	lysC//metF//citC//nrdE//murF//sodA//sucD//pgaB//poxB//putA//fucU//pdeR//umpH//adhE//recD//mhpD//wecB//purD//glsA//sucA//patD//srlD//ynfE//aceE//moaE//ygeA//slt//dhaM//uxaB//dhaK//citF//recF//ulaD//rffG//rnpB//prpE//gatD//chbF//dacC//idnO//
NtrC-Phosphorylated_neg	asnB//wrbA//
NtrC-Phosphorylated_pos	betA//gatY//bioC//trpC//gltD//accA//cdd//murC//betA//trpA//rffC//ynfG//murG//alaS//recF//guaA//ybjG//sucB//cysC//rtcA//bioB//
OmpR-Phosphorylated_neg	sucD//sucA//puuC//sdhD//sdhB//
OmpR-Phosphorylated_pos	tynA//ynfF//lpxD//uxaB//
OxyR_neg	ssuE//tam//garD//entC//fdhF//
OxyR_pos	nrdB//yeaE//tdcE//sufS//gpmM//pnp//nadA//glnA//gatD//betA//argB//glgC//
PaaX_neg	rffM//hcaC//cysK//hemH//rutD//polA//hyaB//hemH//accD//
PdeL_pos	nanM//
PdhR_neg	lsrG//ycjG//nrfD//cynT//eda//purC//frdC//hypB//paaK//fau//dgcZ//frdB//pgaC//pnp//alsE//idnO//glgB//uxaC//lysC//ssuE//rffT//pheS//tynA//
PdhR_pos	garK//phnO//
PepA_neg	glpX//entD//
PgrR_neg	speA//gadB//
PhoB-Phosphorylated_neg	purA//galE//ddlB//malS//umuD//
PhoB-Phosphorylated_pos	cysE//dacC//ydcS//argC//aceE//paaC//rhaB//cysC//fadB//mraY//nfsA//hycE//sbcC//astD//cysI//speG//fadM//
PhoP-Phosphorylated_neg	galK//yfdE//ppsA//
PhoP-Phosphorylated_pos	metE//rbsK//pgaD//lysC//rhaB//ynfG//mhpA//fabI//hyaA//gadA//recF//fucO//gadA//yqjH//wecE//prpB//lsrF//lacA//carA//glk//mltF//treC//uidA//fabD//glyA//cysD//trpD//mhpA//fumB//fucA//nirB//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	puuD//cadA//fadA//prpD//
PspF_neg	
PspF_pos	mpaA//
PurR-hypoxanthine_neg	tdcB//galT//pgpC//srkA//sgbU//purL//lpxC//deoC//moeA//paaI//fucI//dhaL//metL//aspC//malQ//lpxA//pgi//trpD//paaI//glpQ//glgA//metL//yeaG//tdcG//sdhC//pyrC//
PutA_neg	ndh//purN//
PuuR_neg	gntK//yeaG//hyaB//fadE//araD//gadA//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	xylB//fau//ydcS//hyaB//aceB//
RcdA_neg	
RcdA_pos	narG//
RclR_pos	
RcnR_neg	hypF//
RcsAB_neg	uxuB//
RcsAB_pos	fabD//dgcZ//
RcsB-BglJ_pos	kbaY//fadM//
RcsB-Pasp56_neg	nrfD//
RcsB-Pasp56_pos	deoD//ampC//sucD//
RelB-RelE_neg	malP//
RelB_neg	ychF//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	ruvA//phnH//argG//carB//
Rob_neg	
Rob_pos	purD//mraY//fucO//gutQ//alkB//ulaF//prpE//katG//gatY//fucU//fabG//garK//pspE//astD//polB//hycB//gabT//sgbU//deoC//
RstA-Phosphorylated_neg	paaK//cysE//
RstA-Phosphorylated_pos	paaY//
RtcR_pos	ppsA//bioB//
RutR_neg	citC//dmsC//srlD//lsrK//hycG//sdhC//entE//tynA//hypF//pgm//
RutR_pos	fabA//
SdiA_neg	
SdiA_pos	
SgrR_neg	cysH//
SgrR_pos	fes//araA//
SlyA_neg	
SlyA_pos	aceE//glcD//speA//sufS//acnB//nrdB//rpiB//hycG//ung//
SoxR_neg	
SoxR_pos	gatY//glpA//mnmG//acnB//fadA//citG//
SoxS_neg	
SoxS_pos	fdhF//eda//metH//fadA//purM//phnL//citG//ttdB//astA//deoC//pflB//hypF//sucB//nrfC//aldA//allC//phnI//moaC//lysA//trpC//mraY//nemA//torA//hycE//glxK//grxA//wzc//garL//
SrlR_neg	fucA//gatD//waaY//
StpA_neg	caiC//paaJ//lacZ//
SutR_neg	mdh//cysD//
SutR_pos	
TdcA_pos	accC//grxA//ynfG//rnpB//recF//
TdcR_pos	purD//argE//paaA//pgpC//idnO//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	tpiA//aldA//sdhB//fumB//
TorR-TorI_neg	wecE//
TorR-TorI_pos	
TreR_neg	pgk//ynfH//
TrpR-tryptophan_neg	umuC//rffH//nrfA//tnaA//polB//dmsC//glyA//nrfA//atoB//
TyrR-phenylalanine_neg	pncB//polA//
TyrR-phenylalanine_pos	ynfG//
TyrR-tyrosine_neg	leuC//glpD//aspC//umpH//mhpF//uxaC//
TyrR-tyrosine_pos	napH//puuB//
TyrR_neg	accC//
TyrR_pos	torA//
UhpA-Phosphorylated_pos	garR//
UidR_neg	pheS//oxc//
UlaR_neg	lpxA//yqjH//speA//serA//ldtC//
UvrY-Phosphorylated_pos	ldtD//aroF//
UxuR_neg	hycD//phr//ubiA//moaD//paaJ//
XapR-xanthosine_pos	xylB//recD//
XylR-xylose_neg	
XylR-xylose_pos	entC//ubiC//paaY//
YdeO_neg	
YdeO_pos	hcaD//trpB//purC//
YefM-YoeB_neg	ugpQ//
YefM_neg	nagB//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	caiD//mdh//rimK//uvrA//metB//nanK//
YjjQ_neg	torA//purC//
YpdB-Phosphorylated_pos	
YqhC_pos	ndh//nanM//
YqjI_neg	tauD//
ZntR-Zn2_pos	rffT//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	aspC//
