# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	mdh//mngB//
DpiA-Pasp_pos	ubiX//fucK//galT//ruvA//astC//
DsdC-D-serine_neg	
DsdC-D-serine_pos	malZ//accA//
EbgR_neg	
EnvR_neg	astB//chbG//
EnvY_pos	glmU//aceB//
EvgA-Phosphorylated_pos	paaK//gcvT//puuC//rffC//gltB//leuD//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	gcvH//dkgA//fbaB//ogt//citG//accA//
FabR_neg	hemH//entE//ogt//
FadR-acyl-CoA_pos	
FadR_neg	fadM//lpxD//ybjG//yqjH//alkA//aroH//cysI//entH//ascB//
FadR_pos	lysC//rimK//aroL//gapA//rutA//pdeH//dmsC//lsrG//pspE//prpE//
FeaR_pos	hycD//srlD//
FhlA-formate_pos	nirB//atoB//waaZ//nadB//dmsA//lldD//ppsA//galT//
FlhDC_neg	umpH//appA//
FlhDC_pos	murG//leuA//moaE//argF//nrdE//araD//yeaG//gnd//mtlD//leuA//trpE//torA//
FliZ_neg	dapB//ndh//murD//glk//hcaF//
FucR-L-fuculose-1-P_pos	lsrG//argH//glmU//rpiB//hycB//phoA//
Fur-Fe2_neg	nrdA//trpD//codA//recD//fruK//trpA//aroG//polB//mltF//aceA//garL//tdcE//citE//uxaA//paaC//nagA//codA//fadH//uxaB//pgaC//truB//patD//relA//wecE//fabH//gatY//nanK//glgX//phnO//fucU//cynS//galM//nirB//ynfE//rffC//lacZ//ybjG//sucB//pheT//astE//rffC//gabT//nagB//dhaM//caiB//hmp//tyrA//alsE//sgbU//napB//araA//uvrB//hemH//
Fur-Fe2_pos	phnI//ulaD//murC//wrbA//gltB//cysN//speA//mhpA//mnmG//uxaA//paaI//nfsA//lpxC//entD//uxaC//rpiB//
GadE-RcsB_pos	aroF//pnp//puuE//purF//hemL//
GadE_pos	sodA//prpD//nadA//cysM//hycC//murD//carB//citG//gpmM//guaA//
GadW_neg	fadA//deoB//pgaB//
GadW_pos	accC//leuB//argB//yedX//
GadX_neg	paaZ//uxaA//caiA//
GadX_pos	rffH//psd//carA//rhaA//pgm//trpB//malS//glyA//galK//hycC//cysC//
GalR-beta-D-galactose_neg	cadA//feaB//argG//aceE//eda//
GalR-beta-D-galactose_pos	alsE//hycF//cysE//amn//
GalR_neg	glcD//galK//patD//malS//allE//waaY//
GalR_pos	dinB//frc//nrdF//tyrB//
GalS-beta-D-galactose_neg	prs//katE//metC//moaD//napA//
GalS-beta-D-galactose_pos	purH//betA//nadA//folA//
GalS_neg	entC//tdcD//tyrA//pncB//mazG//rhaB//
GalS_pos	cysK//kbaZ//lhgO//srlD//
GatR_neg	ugpQ//glgX//sbcD//
GcvA_neg	leuA//pgk//caiC//
GcvA_pos	murF//tdcE//entD//
GlcC-glycolate_neg	
GlcC-glycolate_pos	paaH//gpmM//cysI//
GlpR_neg	xylA//gcvT//puuD//atoD//bioD//putA//tpiA//
GlrR-Pasp56_pos	
GntR_neg	paaH//tynA//malP//amn//garL//aspC//ldtD//murG//pepD//
GutM_pos	umuD//metE//chbG//
HU_neg	hyaC//astD//paaZ//ybjG//glgB//napG//cysD//
HU_pos	
HcaR-HCA_pos	mhpA//gcvP//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	ynfH//
HigB-HigA_neg	citG//
HipAB_neg	fucA//fadJ//
HipB_neg	argC//citF//ndh//
HprR-Phosphorylated_neg	murC//glcE//
HprR-Phosphorylated_pos	rffM//lysC//
HyfR_pos	moaA//
HypT-Met-oxidized_neg	dhaK//fadE//
HypT-Met-oxidized_pos	gcvP//aceA//arsC//glcB//ssuD//
IclR-pyruvate_neg	metF//glgX//leuB//
IdnR-5-ketogluconate_neg	aceA//allE//
IdnR-5-ketogluconate_pos	poxB//pgaC//frdD//
IlvY-2-acetolactate_pos	narI//
IlvY_neg	
IscR-2Fe-2S_neg	paaA//cysK//
IscR_neg	deoA//edd//zwf//fabA//
IscR_pos	recD//nadB//
KdgR_neg	accC//frdA//
KdpE-Phosphorylated_pos	umuD//
LacI_neg	dapD//aceE//leuA//
LeuO_neg	
LeuO_pos	rbsD//tyrA//galK//umpH//atoB//oxc//
LexA_neg	paaJ//purB//nemA//purD//hycC//rtcA//napG//tadA//galM//oxc//nanM//rimK//gntK//accA//poxB//rpiB//fbaA//allA//cysI//hycD//nfsA//dmsC//lysA//
LldR-lactate_neg	lysA//nagB//
LldR-lactate_pos	metH//dhaK//
LldR_neg	sodA//psd//
LldR_pos	treC//sodB//
LrhA_neg	
LrhA_pos	
LsrR_neg	rsmH//eda//gloA//ulaF//cysG//
LysR_neg	
LysR_pos	fucU//
MalI_neg	caiD//torA//
MalT-maltotriose-ATP_pos	fau//mhpF//recD//hcaC//ulaD//rpiB//
MarA_neg	leuC//
MarA_pos	purB//uxuA//acnA//paaF//cynT//nadB//xapA//bioF//polA//dkgA//yfdE//yedX//phnI//mhpE//gcvP//murI//cysK//puuE//fadB//umpH//gatZ//lyxK//polB//
MarR_neg	
MatA_neg	frdD//
MatA_pos	
MazE-MazF_neg	asnA//
MazE_neg	gabD//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	rbsD//eno//
MelR-melibiose_pos	mpl//ynfF//
MelR_neg	lyxK//gapA//
MelR_pos	paaG//asnB//
MetJ-adenosylmethionine_neg	pfkA//araA//lldD//ahpC//gor//cynT//glcE//deoC//paaK//frdD//
MetR-L-homocysteine_neg	ychF//
MetR-L-homocysteine_pos	entA//argA//
MetR_pos	atoD//hcaE//
MhpR-3HPP_pos	icd//fumC//moeA//bioF//yeaG//fadD//
Mlc_neg	xapA//ftnA//leuB//folE//
MlrA_pos	entD//
MngR_neg	pgaB//ldtC//
MntR-Mn2_neg	rffG//
MntR-Mn2_pos	argD//
ModE-MoO42-_neg	prpD//idnO//murG//chbG//rhaA//garD//hcaE//glgB//
ModE-MoO42-_pos	lacZ//sgbE//slt//ttdB//fucA//aldA//cysC//poxB//gloA//
MprA_neg	wecB//accA//alaC//
MqsA_neg	dmsC//argA//
MraZ_neg	pgaD//allC//ampC//relA//glnA//argD//trpE//argH//luxS//dinB//
MurR_neg	dinB//tdcE//entE//
MurR_pos	
Nac_neg	chbF//moaA//argH//
Nac_pos	galT//hmp//murG//frdB//nrfD//lsrG//astC//tam//
NadR_neg	gpmM//fabA//pepD//poxB//
NagC_neg	pspE//dgkA//hycC//murG//metE//ubiC//fumB//phnN//katG//paaH//garD//lsrG//relA//icd//pgaD//entD//gor//fes//
NagC_pos	caiA//ynfG//
NanR_neg	uvrC//moeA//dhaK//rffM//prpE//dkgA//
NanR_pos	
NarL-Phosphorylated_neg	purH//aspA//rffM//gatD//ldtD//murF//torA//rhaD//umuD//mdh//ada//purH//tdcE//galT//atoD//lsrG//sgbE//sdhA//mtlD//ampC//purK//tdcB//pgaC//rtcB//ssuE//folA//iscS//astA//
NarL-Phosphorylated_pos	hcp//hycB//frdD//dhaM//dapD//nirD//sgbH//nrfD//lldD//murQ//ybjG//dsdA//moeB//putA//malS//
NarP-Phosphorylated_neg	rnpB//yiaK//fadD//dgcC//fadE//
NarP-Phosphorylated_pos	pfkA//ygeA//gatD//torC//atoA//idnD//gadB//nrfC//purF//ppc//malZ//gudD//murQ//sgbH//
NemR_neg	pflB//allA//
NhaR-Na_pos	gutQ//hcaF//wecC//cysH//sbcC//
NikR-Ni2_neg	rffG//
NimR_neg	gntK//
NorR_neg	
NorR_pos	fau//
NrdR-Zn2_neg	lpxC//pfkA//glxK//lsrK//
NsrR_neg	ruvB//speB//deoD//glpC//speA//nadB//tpiA//pepD//eno//fbaB//hypB//prs//waaZ//trpD//paaF//uxuA//mraY//pnp//sdhD//lhgO//zwf//pgaD//torA//dsdA//sucA//gcvT//speB//gatZ//xapA//galK//tdcG//uidA//truB//purA//ycjG//folE//hcaC//lysC//metB//adiA//
NtrC-Phosphorylated_neg	atoB//alaS//
NtrC-Phosphorylated_pos	glxR//bioA//idnK//cynS//lpd//bglB//mhpA//leuC//gudD//ugpQ//ygeA//glk//ppsA//arsC//dgcN//purF//nagB//puuE//moaE//purL//hcaB//
OmpR-Phosphorylated_neg	hcaD//katE//mhpC//rffH//dsdA//
OmpR-Phosphorylated_pos	gabT//citC//chbG//pgk//
OxyR_neg	mhpF//rutC//hyaB//citF//fucK//
OxyR_pos	purN//sdhD//napB//tyrB//glcB//fabA//patD//rffC//glgX//deoD//tpiA//puuE//
PaaX_neg	fadH//nagA//puuA//yqjH//ubiA//rutB//paaB//pheS//aldA//
PdeL_pos	ogt//
PdhR_neg	sucC//tpiA//betB//astE//dmsB//metA//gatZ//entF//tdcG//entB//murD//gcvP//trpD//uvrB//phnM//fabD//purB//alsE//phnP//mtlD//glpQ//nanK//accA//
PdhR_pos	garL//recF//
PepA_neg	glxR//hycC//
PgrR_neg	fumC//mngB//
PhoB-Phosphorylated_neg	dmsA//nanE//hcaE//purA//glpX//
PhoB-Phosphorylated_pos	prpC//fbaB//hcaF//ubiX//gcl//lacZ//frdA//hemH//rtcB//phnI//yqjH//glnA//rutD//murE//ubiC//lsrK//tauD//
PhoP-Phosphorylated_neg	purM//deoB//mhpF//
PhoP-Phosphorylated_pos	glpX//galE//glxR//pgi//murI//iscS//fabI//puuA//hypB//gltD//kbaZ//tdcB//malS//mhpA//glgC//glpX//tam//codA//nrfA//ynfE//nrdB//purM//ygeA//tdcG//uxaC//sucB//purE//rffG//lhgO//sdhD//fadH//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	phoA//srlD//folE//yqhD//
PspF_neg	
PspF_pos	cysH//
PurR-hypoxanthine_neg	ribA//umpH//accD//ftsI//prpD//argE//pheT//bioF//alkA//phnO//mraY//dmsC//garL//waaH//cysH//pgm//uxaC//rutD//rsmH//garD//waaY//rtcA//argI//gpmA//dmsA//lsrF//
PutA_neg	hcaB//rnpB//
PuuR_neg	luxS//trpB//pepD//fucI//ulaF//ruvA//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	carB//gnd//fucA//bacA//rtcA//
RcdA_neg	
RcdA_pos	epd//
RclR_pos	
RcnR_neg	ilvC//
RcsAB_neg	xylA//
RcsAB_pos	gatY//ychF//
RcsB-BglJ_pos	ppsA//bioD//
RcsB-Pasp56_neg	truB//
RcsB-Pasp56_pos	garL//amn//ycjG//
RelB-RelE_neg	nirD//
RelB_neg	nfsA//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	atoB//amn//tnaA//mhpE//
Rob_neg	
Rob_pos	citE//ttdB//rffG//umpH//deoC//argG//dkgB//paaJ//ndh//tadA//luxS//idnO//speG//alaS//glcB//rimK//gpmM//pnp//atoB//
RstA-Phosphorylated_neg	sbcC//torA//
RstA-Phosphorylated_pos	prpD//
RtcR_pos	phnI//deoC//
RutR_neg	patD//puuB//moaC//mpl//astE//glpX//hemH//acnA//lysA//ftnA//
RutR_pos	ribA//
SdiA_neg	
SdiA_pos	
SgrR_neg	ribA//
SgrR_pos	betB//deoB//
SlyA_neg	
SlyA_pos	yfdE//nadA//puuE//gnd//gltD//glyA//cynT//gutQ//edd//
SoxR_neg	
SoxR_pos	treC//acnA//entB//adhE//purL//sucA//
SoxS_neg	
SoxS_pos	dsdA//gpmM//purH//glcE//napG//pdeH//uxaC//lpxD//fadE//nrdE//murC//ogt//phnH//gpmA//leuD//metC//mhpE//gadB//lyxK//glxK//glcB//recD//idnO//sgbH//carB//hcaE//mhpC//frdC//
SrlR_neg	mhpE//phnL//tehB//
StpA_neg	sdhA//fabD//mraY//
SutR_neg	mpaA//pspE//
SutR_pos	
TdcA_pos	purF//acnA//eda//ldtB//metK//
TdcR_pos	ydcS//serA//gudD//eda//ndh//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	pdeH//purN//eda//gdhA//
TorR-TorI_neg	uxuB//
TorR-TorI_pos	
TreR_neg	luxS//poxB//
TrpR-tryptophan_neg	aceB//ung//sbcC//wecC//sufS//leuC//hcaE//fbaB//dhaM//
TyrR-phenylalanine_neg	fabA//glgC//
TyrR-phenylalanine_pos	murE//
TyrR-tyrosine_neg	tdcB//gdhA//ygeA//ruvA//ppc//dhaL//
TyrR-tyrosine_pos	fabG//allA//
TyrR_neg	recB//
TyrR_pos	nrdF//
UhpA-Phosphorylated_pos	sbcC//
UidR_neg	eda//fau//
UlaR_neg	aroF//puuA//puuE//rimK//wecC//
UvrY-Phosphorylated_pos	moaE//rpiB//
UxuR_neg	uvrB//fes//alkA//nanA//metC//
XapR-xanthosine_pos	astC//rtcB//
XylR-xylose_neg	
XylR-xylose_pos	wzc//metE//murE//
YdeO_neg	
YdeO_pos	paaF//nrdD//entC//
YefM-YoeB_neg	gadA//
YefM_neg	ulaG//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	carA//betA//eda//pnp//talA//ribA//
YjjQ_neg	mltF//ttdA//
YpdB-Phosphorylated_pos	
YqhC_pos	hycC//tpiA//
YqjI_neg	lhgO//
ZntR-Zn2_pos	rimK//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	entB//
