# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	leuD//pncB//
DhaR_neg	
DhaR_pos	accC//
DicA_neg	
DinJ-YafQ_neg	wrbA//
DnaA-ATP_neg	cysI//gdhA//purL//gcvT//polB//
DnaA-ATP_pos	glcD//fadM//glpD//
DpiA-Pasp_neg	
DpiA-Pasp_pos	oxc//ccp//ugpQ//glpK//garD//
DsdC-D-serine_neg	
DsdC-D-serine_pos	hcp//hemH//
EbgR_neg	
EnvR_neg	pck//nemA//
EnvY_pos	purE//tadA//
EvgA-Phosphorylated_pos	sgbU//fumB//ulaG//fadD//murG//araA//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	argB//paaI//hypF//fadJ//paaB//pck//
FabR_neg	ydcS//uxaC//dmsC//
FadR-acyl-CoA_pos	
FadR_neg	rimK//pdeH//wzc//katE//pflB//recD//dgcC//nadA//ulaG//
FadR_pos	phnH//rhaD//yqhD//idnO//frdB//ahpC//purC//pgaB//purK//paaE//
FeaR_pos	glsA//purE//
FhlA-formate_pos	purB//gcvP//rffM//eda//dkgA//dkgB//mhpE//rutB//
FlhDC_neg	guaA//gadA//
FlhDC_pos	aroG//astD//speA//citG//allB//metE//entA//cadA//mpaA//mhpB//hcaE//ndh//
FliZ_neg	fdhF//wzc//alaS//accD//atoB//
FucR-L-fuculose-1-P_pos	phnG//uxaB//ung//citD//rtcA//yqjH//
Fur-Fe2_neg	thrS//gabT//lsrF//argC//iscS//aroH//waaH//ubiA//citG//gor//araB//mpaA//gpmM//ttdA//murF//moeB//cysE//garL//purH//purC//paaF//paaE//bioD//chbF//allC//thrS//nemA//bioB//umpH//relA//purM//ascB//fes//mpaA//grxA//fucU//rhaD//nrdB//sdhD//rffT//hyaA//pncB//mhpA//dgcZ//ulaG//dacC//metB//ilvC//mpaA//carB//ulaG//rutC//glpX//
Fur-Fe2_pos	ppsA//murG//pyrC//araD//mdh//pdeR//citD//gudD//hcp//dgcZ//sbcC//nfsB//glgC//folE//caiC//glpD//
GadE-RcsB_pos	paaC//atoD//lsrF//glgC//poxB//
GadE_pos	frdA//hcaD//ung//napA//tdcB//ubiA//dsdA//argB//idnK//phoA//
GadW_neg	mpl//fdhF//paaJ//
GadW_pos	metC//ynfG//dkgA//waaH//
GadX_neg	ulaD//srlD//glcD//
GadX_pos	wzc//umuD//mpaA//lacZ//glcB//napH//polB//eno//garK//nrdD//aceB//
GalR-beta-D-galactose_neg	paaA//alkA//prpD//paaZ//dgcZ//
GalR-beta-D-galactose_pos	sucA//guaB//atoA//cueO//
GalR_neg	cysI//nanA//srkA//relA//murE//hcaD//
GalR_pos	frc//truB//tdcB//hycE//
GalS-beta-D-galactose_neg	ygeA//citE//galT//paaA//aceB//
GalS-beta-D-galactose_pos	pdeL//gor//gabT//uvrB//
GalS_neg	amn//ttdA//gabT//mdh//hemL//deoB//
GalS_pos	mhpD//rffT//ycjG//galK//
GatR_neg	phnH//gutQ//tktB//
GcvA_neg	fadA//wecE//glpD//
GcvA_pos	rimK//entE//sbcD//
GlcC-glycolate_neg	
GlcC-glycolate_pos	ulaE//trpE//lldD//
GlpR_neg	sgbH//sufS//napB//hyaA//dhaK//malY//fabG//
GlrR-Pasp56_pos	
GntR_neg	icd//uvrC//ribA//paaH//moaD//entB//fabB//ftsI//fadH//
GutM_pos	sucB//lacA//argB//
HU_neg	rhaD//moaA//lsrK//gatD//caiC//ftsI//speG//
HU_pos	
HcaR-HCA_pos	tdcE//nrdB//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	sdhD//
HigB-HigA_neg	entH//
HipAB_neg	prs//guaB//
HipB_neg	sodB//bioB//edd//
HprR-Phosphorylated_neg	purM//tpiA//
HprR-Phosphorylated_pos	hycB//fadE//
HyfR_pos	fadM//
HypT-Met-oxidized_neg	polB//wrbA//
HypT-Met-oxidized_pos	ulaG//ynfH//entD//paaK//nanK//
IclR-pyruvate_neg	prpB//pdeR//cysH//
IdnR-5-ketogluconate_neg	mdh//glgX//
IdnR-5-ketogluconate_pos	mtlD//purK//polB//
IlvY-2-acetolactate_pos	bioB//
IlvY_neg	
IscR-2Fe-2S_neg	glgP//alkA//
IscR_neg	fau//xapA//alsE//ubiC//
IscR_pos	ftnA//argG//
KdgR_neg	sodB//idnO//
KdpE-Phosphorylated_pos	dinB//
LacI_neg	fadE//xylA//ubiC//
LeuO_neg	
LeuO_pos	puuC//entF//nrfC//nrdF//pheS//rhaB//
LexA_neg	ybjG//fau//codA//ttdA//paaG//waaH//mpaA//cyoE//glpX//umuD//dhaL//ribA//nanM//ulaE//purB//tdcB//paaK//purA//hyaA//malP//pspE//ruvA//trpA//
LldR-lactate_neg	sdhA//pagP//
LldR-lactate_pos	ldtC//carB//
LldR_neg	garL//cadA//
LldR_pos	hyi//metL//
LrhA_neg	
LrhA_pos	
LsrR_neg	ldtB//atoB//mdh//ung//glcF//
LysR_neg	
LysR_pos	betA//
MalI_neg	phnI//lpxD//
MalT-maltotriose-ATP_pos	glsA//prs//cynS//fumC//pspE//gatZ//
MarA_neg	glpQ//
MarA_pos	puuC//tdcG//glcB//fucI//ychF//fdhF//kbaZ//pgk//fucA//nfsA//garK//gudD//tpiA//argF//cysE//wzb//patA//rffH//tyrB//iscS//carA//purM//mhpC//
MarR_neg	
MatA_neg	glpB//
MatA_pos	
MazE-MazF_neg	tdcG//
MazE_neg	garR//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	glsA//gudD//
MelR-melibiose_pos	rfe//gadA//
MelR_neg	ada//gnd//
MelR_pos	nanM//argC//
MetJ-adenosylmethionine_neg	paaF//caiC//uvrB//srlD//paaZ//uxaB//rffC//asnA//ssuD//argD//
MetR-L-homocysteine_neg	purE//
MetR-L-homocysteine_pos	purK//hycF//
MetR_pos	ychF//lyxK//
MhpR-3HPP_pos	ung//purL//lacA//caiC//mhpF//mraY//
Mlc_neg	purL//tktB//epd//accC//
MlrA_pos	tdcG//
MngR_neg	pfkA//tdcG//
MntR-Mn2_neg	glgA//
MntR-Mn2_pos	aspC//
ModE-MoO42-_neg	caiC//allA//uxuA//dgcC//narI//gabT//nfsA//metK//
ModE-MoO42-_pos	dgkA//deoD//sucA//lpxA//lpd//fadD//paaJ//leuD//edd//
MprA_neg	ilvC//ftnA//entD//
MqsA_neg	prs//slt//
MraZ_neg	nirB//citC//entE//fucK//sucD//sucA//acnB//pykF//hemL//ppiA//
MurR_neg	rutB//ulaD//nemA//
MurR_pos	
Nac_neg	nadB//chbF//pck//
Nac_pos	ubiX//pdeR//poxB//hyaC//entE//purC//prpE//glgP//
NadR_neg	pgpC//fadE//uidA//sodB//
NagC_neg	nrfA//moaD//kbaZ//uxaA//purK//bioF//argH//speG//ldtC//lyxK//yqhD//ribA//gltB//nfsB//uxaC//pyrC//aroH//hcaF//
NagC_pos	pspE//sdhD//
NanR_neg	ynfG//purD//glxR//pdeL//cdd//rhaD//
NanR_pos	
NarL-Phosphorylated_neg	garK//gpmM//phnG//rhaB//glcB//argH//nanE//garD//nadA//phnI//glgB//katG//waaH//astA//tehB//ppiA//sgbH//moaC//cadA//glpD//glnA//murI//ruvA//gutQ//sdhD//mhpA//cynT//sgbU//
NarL-Phosphorylated_pos	garD//treC//ccp//dgcZ//adhE//hcaD//dacC//ahpF//trpC//tpiA//tauD//trpB//allB//nanE//alkA//
NarP-Phosphorylated_neg	purC//lpxC//polA//grxA//idnK//
NarP-Phosphorylated_pos	asnB//rffG//citF//fabZ//mltF//glnA//cadA//ascB//ldtB//cysE//relA//nadB//aldA//lsrG//
NemR_neg	argI//citC//
NhaR-Na_pos	lsrF//cysM//uxuA//entA//nagA//
NikR-Ni2_neg	tdcE//
NimR_neg	citX//
NorR_neg	
NorR_pos	gabD//
NrdR-Zn2_neg	rutE//speG//guaB//fes//
NsrR_neg	carB//sdhC//tynA//astD//uvrC//phnP//pspE//poxB//purN//deoB//metB//pncB//araA//metC//hemH//malQ//bacA//mazG//paaB//fadA//metE//fabD//mnmG//umuD//glsA//fabD//cysG//pheS//xapA//prpE//fes//recD//ada//oxc//sgbU//phnP//caiB//mltF//recF//nanE//
NtrC-Phosphorylated_neg	wecB//nrdE//
NtrC-Phosphorylated_pos	deoA//rffC//alsE//poxB//ccp//deoD//sdhC//purF//nadA//uvrC//glpX//aldA//mtlD//fbaB//leuA//napB//entH//sdhD//gcvT//recD//purC//
OmpR-Phosphorylated_neg	phnP//citF//katG//moeB//gdhA//
OmpR-Phosphorylated_pos	ppiA//nanE//lsrG//wecE//
OxyR_neg	leuD//dmsA//waaZ//pgk//fadJ//
OxyR_pos	ruvA//ynfG//eda//ubiC//pncB//serA//pfkA//mpaA//puuC//murG//pyrD//narH//
PaaX_neg	luxS//cynS//cysJ//cysI//kbaY//glpK//acnB//fabD//cysN//
PdeL_pos	ahpC//
PdhR_neg	gadA//phnN//cueO//purA//paaC//pheS//frc//pspE//accA//metB//poxB//narH//mpaA//malP//malY//atoB//nrfD//appA//grxA//yiaK//yedX//gltB//speB//
PdhR_pos	alaS//garR//
PepA_neg	ung//rbsK//
PgrR_neg	napB//pepD//
PhoB-Phosphorylated_neg	glgA//glcB//frc//tdcE//garL//
PhoB-Phosphorylated_pos	phoA//fadJ//ychF//fes//aceA//cysI//tadA//ynfH//entF//tdcE//kbaZ//ycjG//hypF//paaG//lpxC//accD//murG//
PhoP-Phosphorylated_neg	bioA//patD//uxaA//
PhoP-Phosphorylated_pos	ahpC//phr//udp//cysJ//guaA//uxaC//hemH//fumC//garR//araA//moaE//fau//murG//alsE//cysN//dgcN//rtcA//pykF//amn//carB//adhE//fbaA//phr//aspA//dsdA//glpX//pck//bioC//glcD//nrdE//pck//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	gatZ//frdB//patA//purC//
PspF_neg	
PspF_pos	metA//
PurR-hypoxanthine_neg	asnA//allB//ogt//glcF//asnB//gcvP//deoB//moeA//tam//sucD//tadA//aroL//argA//pspE//accA//yqhD//uxuB//cysH//pgi//dacC//yeaE//narG//murG//rffH//glpD//katE//
PutA_neg	nagB//fumB//
PuuR_neg	astD//rutE//napB//yeaE//puuC//nrdF//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	gadA//caiA//aroH//galK//leuB//
RcdA_neg	
RcdA_pos	rutC//
RclR_pos	
RcnR_neg	waaY//
RcsAB_neg	entF//
RcsAB_pos	pgpC//bioD//
RcsB-BglJ_pos	argG//allB//
RcsB-Pasp56_neg	ynfG//
RcsB-Pasp56_pos	fabD//metK//mdh//
RelB-RelE_neg	adiA//
RelB_neg	yeaG//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	ppiA//gadA//pspE//dgcC//
Rob_neg	
Rob_pos	tdcB//pck//glcB//garL//udp//ppiA//paaE//cyoE//hycB//bacA//moaC//dhaM//ynfE//phnJ//gntK//nrdA//galT//sodB//prpD//
RstA-Phosphorylated_neg	gntK//chbG//
RstA-Phosphorylated_pos	nanK//
RtcR_pos	ddlB//pheS//
RutR_neg	rtcB//ppc//hcaE//astB//phnG//paaF//carA//dkgA//deoC//cysE//
RutR_pos	sbcD//
SdiA_neg	
SdiA_pos	
SgrR_neg	cysJ//
SgrR_pos	trpD//ccp//
SlyA_neg	
SlyA_pos	moeB//tyrB//nrdE//gadB//rffH//bioB//purF//cdd//purB//
SoxR_neg	
SoxR_pos	ynfE//purA//lhgO//eda//glgB//amn//
SoxS_neg	
SoxS_pos	moaA//fau//lsrK//pck//rtcA//nanE//ahpC//mngB//bioF//atoA//dhaL//gatZ//glcE//tdcB//melA//asnB//pck//fes//speA//galT//rsmH//pgaC//rffG//ada//moaC//bioC//talA//entD//
SrlR_neg	argC//pnp//nrdA//
StpA_neg	dapD//amn//nrfD//
SutR_neg	edd//bioF//
SutR_pos	
TdcA_pos	rhaB//tktB//recD//rutD//glpC//
TdcR_pos	ynfE//nagB//nadA//allB//ampC//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	rutB//icd//feaB//dmsA//
TorR-TorI_neg	rnpB//
TorR-TorI_pos	
TreR_neg	ldtB//bioC//
TrpR-tryptophan_neg	argF//mnmG//xylB//mpl//udp//ynfG//mltF//mhpC//fucU//
TyrR-phenylalanine_neg	gcvP//trpE//
TyrR-phenylalanine_pos	sbcD//
TyrR-tyrosine_neg	waaH//luxS//glgX//argH//citX//paaB//
TyrR-tyrosine_pos	caiD//araB//
TyrR_neg	aroH//
TyrR_pos	moaD//
UhpA-Phosphorylated_pos	eno//
UidR_neg	paaG//zwf//
UlaR_neg	ftnA//prpD//alaC//rffG//hcaF//
UvrY-Phosphorylated_pos	phnJ//argA//
UxuR_neg	waaZ//idnK//purH//dhaM//cysK//
XapR-xanthosine_pos	dkgB//uxuB//
XylR-xylose_neg	
XylR-xylose_pos	treC//nfsA//mdh//
YdeO_neg	
YdeO_pos	grxA//glpA//moaC//
YefM-YoeB_neg	speG//
YefM_neg	frdC//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	mhpE//sucC//yiaK//gadB//aceB//nanA//
YjjQ_neg	phnH//gapA//
YpdB-Phosphorylated_pos	
YqhC_pos	citG//tynA//
YqjI_neg	poxB//
ZntR-Zn2_pos	tdcE//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	sgbU//
