# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	ftsI//melA//
GlcC-glycolate_pos	sgbH//hcaF//nrfA//
GlpR_neg	glgA//pfkA//nadB//katG//glcE//cysD//poxB//
GlrR-Pasp56_pos	
GntR_neg	phr//puuC//galK//tam//glcD//polA//ygeA//ampC//argE//
GutM_pos	fadB//frdD//uidA//
HU_neg	tktB//ubiA//ftnA//hemH//polA//pgaB//idnK//
HU_pos	
HcaR-HCA_pos	pgaC//yeaE//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	ppiA//
HigB-HigA_neg	aspA//
HipAB_neg	patD//uvrB//
HipB_neg	moaA//srlD//luxS//
HprR-Phosphorylated_neg	rffM//acnA//
HprR-Phosphorylated_pos	ndh//puuD//
HyfR_pos	phnL//
HypT-Met-oxidized_neg	sucC//mhpB//
HypT-Met-oxidized_pos	ssuE//slt//nfsB//murF//serA//
IclR-pyruvate_neg	hemH//metK//relA//
IdnR-5-ketogluconate_neg	napG//gadB//
IdnR-5-ketogluconate_pos	nagB//ppc//galT//
IlvY-2-acetolactate_pos	fabG//
IlvY_neg	
IscR-2Fe-2S_neg	ampC//eno//
IscR_neg	narG//glpK//fadI//lpxD//
IscR_pos	lsrF//glpQ//
KdgR_neg	folA//fadB//
KdpE-Phosphorylated_pos	purD//
LacI_neg	malY//uvrB//nrdD//
LeuO_neg	
LeuO_pos	entC//purA//phnJ//lpd//nrdA//sucA//
LexA_neg	pepD//kbaZ//cysH//tdcE//ynfF//ddlB//murG//hyaB//ulaF//nadB//patA//mhpB//nadA//asnB//napH//allB//ttdA//mpl//ynfF//dgkA//murC//dinB//phnM//
LldR-lactate_neg	gudD//fabH//
LldR-lactate_pos	yedX//dhaK//
LldR_neg	cysN//ogt//
LldR_pos	tadA//cynT//
LrhA_neg	
LrhA_pos	
LsrR_neg	purH//tktB//pgk//rhaD//deoD//
LysR_neg	
LysR_pos	allA//
MalI_neg	hycG//betA//
MalT-maltotriose-ATP_pos	prpC//rnpB//speA//gloA//gabT//metL//
MarA_neg	gutQ//
MarA_pos	mhpD//tdcG//srkA//purN//carB//pgk//adiA//yeaE//pgpC//argA//uvrC//entH//mhpA//mazG//paaA//phnO//ulaD//srlD//pck//fadI//hemH//gapA//nrfC//
MarR_neg	
MatA_neg	sdhA//
MatA_pos	
MazE-MazF_neg	ulaF//
MazE_neg	dmsC//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	gadA//tnaA//
MelR-melibiose_pos	mhpC//glgB//
MelR_neg	ubiX//glpK//
MelR_pos	phnI//edd//
MetJ-adenosylmethionine_neg	alaS//frdA//poxB//mraY//gcvP//torA//gor//lacA//uxaB//puuC//
MetR-L-homocysteine_neg	hemH//
MetR-L-homocysteine_pos	citD//fruK//
MetR_pos	yfdE//murQ//
MhpR-3HPP_pos	narI//sucB//fau//galK//pck//rhaA//
Mlc_neg	glnA//folA//entB//oxc//
MlrA_pos	argB//
MngR_neg	lyxK//umuC//
MntR-Mn2_neg	prs//
MntR-Mn2_pos	kbaY//
ModE-MoO42-_neg	pgi//fes//kbaZ//citC//pflB//gpmA//fucA//fbaB//
ModE-MoO42-_pos	recB//alkA//ahpC//ascB//paaB//glpQ//yqjH//rhaD//sufS//
MprA_neg	nagB//accC//gltB//
MqsA_neg	fdhF//fdhF//
MraZ_neg	purM//arsC//sdhA//phr//acnA//srlD//nadB//metH//cynT//gnd//
MurR_neg	accA//lpxA//glk//
MurR_pos	
Nac_neg	dapB//mhpD//dmsB//
Nac_pos	recD//iscS//dgcZ//pgaB//paaZ//ulaG//betB//citD//
NadR_neg	cysK//guaA//nanA//malQ//
NagC_neg	pykF//cynS//tauD//fabA//purH//pgm//rhaA//talA//amn//ccp//aroH//ldtD//tyrB//rhaA//mraY//dmsB//cysI//deoD//
NagC_pos	puuD//murI//
NanR_neg	bioC//ftnA//rhaB//gabT//malP//hemL//
NanR_pos	
NarL-Phosphorylated_neg	gcvT//ruvA//nanK//ugpQ//polA//prpE//murI//nemA//cynT//uxuA//alkB//pepD//hycD//cueO//slt//entA//deoC//aspC//purF//bioC//uxuB//metH//glgA//malS//wzb//sdhC//dmsC//yqhD//
NarL-Phosphorylated_pos	rbsK//sdhC//hcaE//lsrG//lsrF//metK//uvrC//bioB//fumB//katE//ada//nanK//fadJ//sdhC//leuC//
NarP-Phosphorylated_neg	rtcA//uxaB//truB//tadA//dmsC//
NarP-Phosphorylated_pos	pagP//tynA//ydcS//sucC//lldD//trpB//pykF//citC//ygeA//psd//garL//accC//aroL//wrbA//
NemR_neg	aroG//pfkA//
NhaR-Na_pos	ppsA//rutD//puuC//truB//eno//
NikR-Ni2_neg	chbG//
NimR_neg	lsrG//
NorR_neg	
NorR_pos	phnI//
NrdR-Zn2_neg	prpB//adhE//paaF//paaH//
NsrR_neg	nfsB//dmsC//mraY//dkgB//ynfH//puuB//glsA//gloA//sgbE//alaC//phnM//fabI//glpC//malZ//gutQ//dsdA//metB//gor//pgm//oxc//lyxK//narH//ynfF//amn//murQ//luxS//pnp//pfkA//accA//rsmH//wzc//phr//sucC//dgcZ//pspE//tdcG//ccp//dmsC//hcaE//bioD//
NtrC-Phosphorylated_neg	chbG//argF//
NtrC-Phosphorylated_pos	glcD//chbF//gdhA//rsmH//mpaA//ugpQ//pdeH//zwf//ttdA//cysI//kbaY//aroH//cysJ//rpiB//epd//murC//lacZ//astE//ycjG//patD//citC//
OmpR-Phosphorylated_neg	fadI//glgP//purF//purM//puuD//
OmpR-Phosphorylated_pos	srkA//dkgB//folE//narG//
OxyR_neg	tynA//glcB//glpX//ahpC//deoC//
OxyR_pos	sdhC//nrdA//folA//paaA//mnmG//uvrB//fadH//ndh//chbG//sodA//fabD//fumC//
PaaX_neg	fadE//murC//frdA//murI//accC//prpD//garR//wecC//nagA//
PdeL_pos	rffM//
PdhR_neg	ssuD//glnA//fabI//yeaE//phr//pck//entB//ldtB//yeaE//murC//lpd//deoA//paaZ//frdC//ribA//nadA//glxR//aspC//moaD//mtlD//hyi//pgaC//fucK//
PdhR_pos	uxaB//frdA//
PepA_neg	cynS//metE//
PgrR_neg	murE//ynfE//
PhoB-Phosphorylated_neg	treC//lldD//gutQ//trpB//garD//
PhoB-Phosphorylated_pos	prpC//asnA//fabG//citD//rutC//fumC//slt//leuA//rtcB//malQ//yeaE//lacZ//tktB//lacA//fruK//purC//feaB//
PhoP-Phosphorylated_neg	dacC//pgm//fabI//
PhoP-Phosphorylated_pos	slt//uvrC//gatD//lysC//hycF//aroG//tnaA//ogt//paaY//adhE//pnp//uxuA//rutD//glpK//paaZ//deoC//puuD//purL//phnP//argG//citE//dinB//asnA//fadE//gltB//appA//fadD//purL//psd//sodB//nanK//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	purH//fucU//glgC//deoA//
PspF_neg	
PspF_pos	cynT//
PurR-hypoxanthine_neg	epd//nrdB//murF//cysH//argH//nanK//recD//allD//sdhA//glcD//katE//dkgB//lpd//guaB//sodB//glgA//bioD//ttdA//dsdA//rutB//phnN//sgbE//galK//ttdA//ahpC//citF//
PutA_neg	cysJ//frdC//
PuuR_neg	tktB//xylA//cdd//allC//ccp//rffH//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	hcaF//aroF//nirB//mhpB//waaH//
RcdA_neg	
RcdA_pos	glsA//
RclR_pos	
RcnR_neg	lpxC//
RcsAB_neg	bioB//
RcsAB_pos	gpmA//sdhD//
RcsB-BglJ_pos	pgaB//alsE//
RcsB-Pasp56_neg	mpl//
RcsB-Pasp56_pos	allC//astD//phnN//
RelB-RelE_neg	napG//
RelB_neg	mazG//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	araA//cysI//moaC//napB//
Rob_neg	
Rob_pos	sdhD//cynT//mpl//xylA//alkA//sucD//ulaG//lpxD//paaF//phnI//prpE//metF//pyrD//uxaC//hcaB//galT//nrdD//kbaY//prpB//
RstA-Phosphorylated_neg	phnG//purA//
RstA-Phosphorylated_pos	aceB//
RtcR_pos	bioC//thrS//
RutR_neg	astE//dhaL//gabD//malP//prpB//hcaC//uxuA//pyrC//murI//ung//
RutR_pos	rutE//
SdiA_neg	
SdiA_pos	
SgrR_neg	iscS//
SgrR_pos	glpB//eda//
SlyA_neg	
SlyA_pos	nagA//xylB//dkgB//fadA//glmS//dgcN//yqhD//pgpC//entF//
SoxR_neg	
SoxR_pos	aldA//uxuB//ftsI//citG//alkA//cdd//
SoxS_neg	
SoxS_pos	aceE//torA//nanM//cueO//dgcC//glsA//umpH//glpX//yeaE//hcaC//glgA//dapB//astD//mtlD//tdcB//glk//polA//gltB//glgA//gadB//lpd//fdhF//hycE//frdC//nemA//yeaE//dapB//pgaC//
SrlR_neg	bioA//dmsA//glgX//
StpA_neg	dacC//glgB//gutQ//
SutR_neg	srlD//hyi//
SutR_pos	
TdcA_pos	idnO//entE//gcl//psd//fadH//
TdcR_pos	fabD//feaB//aldA//atoA//amn//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	hcaE//phnN//caiC//aspA//
TorR-TorI_neg	folE//
TorR-TorI_pos	
TreR_neg	adiA//wzc//
TrpR-tryptophan_neg	gltD//alkB//sodA//hycB//glxR//ygeA//moeB//glpD//ldtD//
TyrR-phenylalanine_neg	deoB//pck//
TyrR-phenylalanine_pos	yeaG//
TyrR-tyrosine_neg	fadB//rtcB//gadA//uvrC//deoA//hycC//
TyrR-tyrosine_pos	wecC//tauD//
TyrR_neg	pfkA//
TyrR_pos	moeA//
UhpA-Phosphorylated_pos	yedX//
UidR_neg	hyi//citX//
UlaR_neg	waaZ//purB//purN//sucA//nadA//
UvrY-Phosphorylated_pos	ydcS//fucI//
UxuR_neg	patA//gapA//atoD//fdhF//dapD//
XapR-xanthosine_pos	glpB//ccp//
XylR-xylose_neg	
XylR-xylose_pos	cysG//entE//entC//
YdeO_neg	
YdeO_pos	idnO//napH//murQ//
YefM-YoeB_neg	fucI//
YefM_neg	tehB//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	frc//astD//dmsC//aroG//gcl//metA//
YjjQ_neg	appA//glcF//
YpdB-Phosphorylated_pos	
YqhC_pos	umpH//malZ//
YqjI_neg	yfdE//
ZntR-Zn2_pos	dmsC//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	metF//
