# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	ynfG//talA//
LexA_neg	thrS//cysE//rfe//trpC//astB//purH//metF//amn//paaZ//dgcC//mhpC//truB//yedX//gutQ//recD//sdhB//prpD//sucC//pgpC//frdA//melA//srkA//fbaA//
LldR-lactate_neg	dkgB//aspA//
LldR-lactate_pos	fadD//paaA//
LldR_neg	deoA//aroH//
LldR_pos	atoD//bioA//
LrhA_neg	
LrhA_pos	
LsrR_neg	mpaA//amn//narG//glmS//wzc//
LysR_neg	
LysR_pos	fucA//
MalI_neg	dhaK//hyaC//
MalT-maltotriose-ATP_pos	mltF//leuC//moeA//trpB//fadD//nadB//
MarA_neg	putA//
MarA_pos	nfsB//waaH//waaZ//lpxC//nrdB//phnH//citF//treC//umuD//gcvP//ssuE//rffG//glk//nrdB//prpB//recB//cysK//grxA//dgcN//nrdE//phnM//phnM//malZ//
MarR_neg	
MatA_neg	ubiC//
MatA_pos	
MazE-MazF_neg	ttdA//
MazE_neg	hcaD//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	nfsB//argA//
MelR-melibiose_pos	cysH//lsrG//
MelR_neg	nirB//hmp//
MelR_pos	gutQ//tpiA//
MetJ-adenosylmethionine_neg	xylA//glpK//cysD//sdhA//betB//mhpB//frdA//purE//fadA//umpH//
MetR-L-homocysteine_neg	sufS//
MetR-L-homocysteine_pos	galK//pdeL//
MetR_pos	lpxA//uxaC//
MhpR-3HPP_pos	aroG//udp//metK//allC//glyA//pnp//
Mlc_neg	alaC//fbaA//entB//gutQ//
MlrA_pos	entA//
MngR_neg	moaE//garK//
MntR-Mn2_neg	nemA//
MntR-Mn2_pos	trpC//
ModE-MoO42-_neg	cyoE//lysC//lhgO//phnP//gnd//cadA//lpxD//napG//
ModE-MoO42-_pos	fabB//yeaG//tauD//fucO//ydcS//wzc//pgk//patA//fadD//
MprA_neg	ssuE//fabZ//yiaK//
MqsA_neg	ahpF//fucO//
MraZ_neg	alsE//ynfF//hyaA//speB//entH//dkgA//moaC//lacA//gcvT//gcl//
MurR_neg	hyi//folA//allE//
MurR_pos	
Nac_neg	rimK//ilvC//tktB//
Nac_pos	lysC//sgbU//patA//wecC//phnI//ppc//puuB//paaH//
NadR_neg	gutQ//gcvT//glpD//astB//
NagC_neg	astC//tnaA//puuA//prpC//mltF//codA//araA//ynfF//dgcC//carA//fabD//prs//fabZ//aroL//wecB//sgbE//sdhA//dgcN//
NagC_pos	ubiX//galM//
NanR_neg	rffC//frdB//araA//pgk//purH//gpmM//
NanR_pos	
NarL-Phosphorylated_neg	hemH//speA//puuD//dgcZ//sbcD//cysJ//pgk//slt//adiA//gutQ//phnI//alsE//dkgA//caiB//fadA//bioD//galT//polA//bioD//cdd//lsrG//prpE//acnA//hcaF//astE//cysN//argA//hcp//
NarL-Phosphorylated_pos	ttdA//ppiA//wzc//dmsA//purC//argF//pflB//gcvH//yfdE//glpA//phr//gdhA//accD//fabI//betA//
NarP-Phosphorylated_neg	dsdA//mnmG//folA//nadB//aspA//
NarP-Phosphorylated_pos	speG//glk//moaC//lyxK//phnN//recD//gcl//gcl//acnA//pepD//ulaE//moeB//acnA//glyA//
NemR_neg	citE//aspC//
NhaR-Na_pos	atoB//gpmA//rffC//accA//mhpB//
NikR-Ni2_neg	lldD//
NimR_neg	yqhD//
NorR_neg	
NorR_pos	garK//
NrdR-Zn2_neg	umuC//aceE//ttdB//rimK//
NsrR_neg	pyrD//aroH//phnH//paaJ//iscS//garL//moaA//fabD//icd//slt//tadA//aceE//glgB//mpl//gnd//uidA//nemA//malP//moeB//mhpD//folE//phoA//leuD//sbcC//fbaA//rutA//betB//allB//sucD//recF//dgkA//recB//lsrK//ynfE//glpA//rbsD//nfsA//rffH//sbcC//purA//
NtrC-Phosphorylated_neg	leuA//rffG//
NtrC-Phosphorylated_pos	citF//gdhA//uxuA//gabD//dhaM//metC//rffC//gpmM//appA//asnA//gadA//deoC//torC//yqhD//ubiX//rhaB//tdcD//purD//pflB//mngB//nanE//
OmpR-Phosphorylated_neg	dmsC//cysG//paaE//gapA//entD//
OmpR-Phosphorylated_pos	purN//entA//hycF//entA//
OxyR_neg	paaE//narH//dmsC//gadA//asnA//
OxyR_pos	narI//eno//dinB//lacA//rffH//puuA//udp//caiD//speB//serA//patA//ahpF//
PaaX_neg	talA//paaF//argD//mraY//ulaD//fucU//alaS//dkgA//fes//
PdeL_pos	allD//
PdhR_neg	alaS//citF//lpd//lysC//relA//fau//glcE//alkB//aspA//katE//entF//gpmA//talA//entA//nirB//mhpD//tpiA//murQ//mngB//glgB//murD//alaS//glgX//
PdhR_pos	srlD//cysG//
PepA_neg	glgA//sdhD//
PgrR_neg	pyrC//cysC//
PhoB-Phosphorylated_neg	fabD//dinB//caiC//ada//nadB//
PhoB-Phosphorylated_pos	tdcE//nrdA//ygeA//fdhF//lsrF//hcaB//astA//fucA//wzb//pdeH//ttdB//phnL//guaB//udp//paaI//wzb//murF//
PhoP-Phosphorylated_neg	recF//entE//ddlB//
PhoP-Phosphorylated_pos	tadA//psd//fabI//puuE//uidA//lpd//mhpB//relA//pgi//murQ//xylA//accC//pykF//paaB//glxR//dapB//murD//pgaC//dkgA//murF//nrfD//fadB//ada//rtcA//frdA//yqjH//recD//malZ//rutA//lldD//eda//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	leuC//cynS//aroG//narG//
PspF_neg	
PspF_pos	ddlB//
PurR-hypoxanthine_neg	leuB//argF//galT//speB//puuB//guaB//glmS//sdhD//fadE//fabG//fadM//ung//fucI//hycG//sufS//epd//metE//alaS//glyA//ldtB//dgcN//rutE//atoA//citF//psd//pck//
PutA_neg	murQ//deoB//
PuuR_neg	yiaK//araD//gapA//wecB//ppsA//puuE//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	prpE//metK//polB//relA//ulaE//
RcdA_neg	
RcdA_pos	fdhF//
RclR_pos	
RcnR_neg	oxc//
RcsAB_neg	nrfD//
RcsAB_pos	ndh//rtcA//
RcsB-BglJ_pos	ulaF//ulaD//
RcsB-Pasp56_neg	glgX//
RcsB-Pasp56_pos	prs//entB//trpA//
RelB-RelE_neg	dgkA//
RelB_neg	gntK//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	glsA//thrS//glcB//purK//
Rob_neg	
Rob_pos	pgi//dinB//fucI//gcvH//dapD//patA//ulaE//trpB//glgB//glmS//glpQ//luxS//metB//allE//patD//murQ//gatY//ubiX//moaC//
RstA-Phosphorylated_neg	lpd//glcE//
RstA-Phosphorylated_pos	rutA//
RtcR_pos	pyrD//glsA//
RutR_neg	wzc//gcvP//phnJ//pgaC//sufS//phr//alaC//argE//glpK//allA//
RutR_pos	nrdF//
SdiA_neg	
SdiA_pos	
SgrR_neg	ada//
SgrR_pos	cysM//pfkA//
SlyA_neg	
SlyA_pos	ahpF//pncB//prs//ttdB//leuB//edd//rutE//gltD//mdh//
SoxR_neg	
SoxR_pos	gadB//leuD//hycE//phnO//grxA//phnO//
SoxS_neg	
SoxS_pos	recD//pykF//glpD//nrdD//phnI//phnJ//napH//ada//cadA//uxuA//rffG//uxaA//napB//citE//nadB//dgcZ//malY//betB//argI//citF//garR//rimK//kbaZ//napH//ldtC//dacC//frc//glpX//
SrlR_neg	gcvT//paaG//puuE//
StpA_neg	gapA//ybjG//carB//
SutR_neg	aroL//gltB//
SutR_pos	
TdcA_pos	hycB//dapD//rbsD//recF//prpE//
TdcR_pos	rhaB//lsrK//sucC//dacC//rhaD//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	purK//talA//purN//phnI//
TorR-TorI_neg	mdh//
TorR-TorI_pos	
TreR_neg	astA//aspA//
TrpR-tryptophan_neg	bglB//fabZ//nagB//paaG//ubiX//rimK//puuA//sdhD//phnP//
TyrR-phenylalanine_neg	oxc//mhpA//
TyrR-phenylalanine_pos	moaA//
TyrR-tyrosine_neg	puuD//dsdA//pgk//dinB//ttdA//tktB//
TyrR-tyrosine_pos	sbcD//ftnA//
TyrR_neg	galM//
TyrR_pos	icd//
UhpA-Phosphorylated_pos	ssuE//
UidR_neg	hycC//ubiC//
UlaR_neg	glxK//caiA//dgcN//ampC//yiaK//
UvrY-Phosphorylated_pos	gadA//hycE//
UxuR_neg	caiD//gutQ//yeaG//rhaB//phnJ//
XapR-xanthosine_pos	fau//eno//
XylR-xylose_neg	
XylR-xylose_pos	speA//rtcA//feaB//
YdeO_neg	
YdeO_pos	cysM//hycD//mhpD//
YefM-YoeB_neg	purF//
YefM_neg	gcvH//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	gatD//murC//gcvT//dacC//gltD//fadI//
YjjQ_neg	araB//rhaD//
YpdB-Phosphorylated_pos	
YqhC_pos	cyoE//deoB//
YqjI_neg	sodA//
ZntR-Zn2_pos	malS//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	purE//
