# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	uxuA//gnd//
GalS-beta-D-galactose_neg	mngB//uvrA//acnB//ubiX//lhgO//
GalS-beta-D-galactose_pos	glgP//cyoE//ulaG//accC//
GalS_neg	phnP//lsrK//katG//hcp//rbsD//wzc//
GalS_pos	atoA//argI//murC//dacC//
GatR_neg	cysM//phoA//murF//
GcvA_neg	sodB//dkgA//citX//
GcvA_pos	pgk//fumB//rutC//
GlcC-glycolate_neg	
GlcC-glycolate_pos	bioA//rutD//asnA//
GlpR_neg	aroH//speA//gatZ//rffT//fucA//ynfH//glgP//
GlrR-Pasp56_pos	
GntR_neg	speA//waaH//caiC//pgpC//pnp//garL//cueO//purE//udp//
GutM_pos	fucA//glcD//trpD//
HU_neg	fucA//ulaE//araB//prpB//fadA//mhpC//nrdB//
HU_pos	
HcaR-HCA_pos	xylB//glgP//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	sdhB//
HigB-HigA_neg	trpC//
HipAB_neg	waaZ//nrdA//
HipB_neg	talA//purM//caiC//
HprR-Phosphorylated_neg	mpaA//ahpC//
HprR-Phosphorylated_pos	gpmM//pagP//
HyfR_pos	ynfE//
HypT-Met-oxidized_neg	yiaK//wrbA//
HypT-Met-oxidized_pos	oxc//argE//sgbU//ung//betA//
IclR-pyruvate_neg	frc//appA//entB//
IdnR-5-ketogluconate_neg	alkB//hycD//
IdnR-5-ketogluconate_pos	glnA//ynfG//glpX//
IlvY-2-acetolactate_pos	fabI//
IlvY_neg	
IscR-2Fe-2S_neg	rutD//lysA//
IscR_neg	pfkA//entB//gcvH//mazG//
IscR_pos	sgbE//ldtB//
KdgR_neg	murQ//polA//
KdpE-Phosphorylated_pos	tauD//
LacI_neg	gudD//purA//umpH//
LeuO_neg	
LeuO_pos	gntK//sodA//alaC//folE//hcp//mtlD//
LexA_neg	nagB//acnB//nrfC//lacA//mhpD//phnO//uxaA//bioF//rffC//asnB//phr//thrS//pgaD//nfsA//patA//gntK//glmS//rutD//umuD//polA//allE//gutQ//citX//
LldR-lactate_neg	cysD//codA//
LldR-lactate_pos	paaI//ynfE//
LldR_neg	ppc//rpiB//
LldR_pos	gcl//folA//
LrhA_neg	
LrhA_pos	
LsrR_neg	dsdA//ssuD//cysC//putA//ynfF//
LysR_neg	
LysR_pos	nadA//
MalI_neg	ddlB//moaE//
MalT-maltotriose-ATP_pos	edd//cysH//mazG//udp//recF//pgk//
MarA_neg	recF//
MarA_pos	entH//nrfC//mpl//katE//sgbE//fau//citF//cynT//fdhF//folE//umuD//rimK//trpC//yedX//pflB//speB//ndh//purK//frdD//trpC//nirD//napG//tnaA//
MarR_neg	
MatA_neg	metA//
MatA_pos	
MazE-MazF_neg	metC//
MazE_neg	purL//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	glnA//gadA//
MelR-melibiose_pos	fadA//sucD//
MelR_neg	speA//argA//
MelR_pos	sucC//purD//
MetJ-adenosylmethionine_neg	puuC//gadA//nirB//alaC//tauD//napG//galK//umuC//frdC//rtcA//
MetR-L-homocysteine_neg	leuD//
MetR-L-homocysteine_pos	glgX//glpQ//
MetR_pos	wrbA//dgcN//
MhpR-3HPP_pos	frdC//gatY//amn//tdcB//dmsB//murC//
Mlc_neg	cysN//galM//gcvP//eda//
MlrA_pos	rutA//
MngR_neg	purL//entF//
MntR-Mn2_neg	gatZ//
MntR-Mn2_pos	dapB//
ModE-MoO42-_neg	aspA//moeA//paaC//bioB//epd//pgaD//hemH//rtcB//
ModE-MoO42-_pos	araD//yqhD//ychF//accD//yfdE//lacA//betB//glpQ//prs//
MprA_neg	gatY//ttdA//citD//
MqsA_neg	mltF//argA//
MraZ_neg	glyA//torA//relA//nanA//murF//mraY//purN//ydcS//entE//cysD//
MurR_neg	xapA//recD//ruvB//
MurR_pos	
Nac_neg	murG//glk//garR//
Nac_pos	mhpC//treC//hypF//rffC//ftnA//udp//puuD//sgbU//
NadR_neg	ppc//prpE//purM//glk//
NagC_neg	purE//tadA//uxaB//ubiX//ldtD//purN//guaA//nrdA//psd//gapA//accC//caiB//hycD//fbaA//aspC//murD//rutA//gatZ//
NagC_pos	paaA//cynS//
NanR_neg	nagA//atoB//entB//dacC//ruvB//alkB//
NanR_pos	
NarL-Phosphorylated_neg	mhpA//ascB//yedX//napH//fadE//gcl//moaA//metA//rutD//yqjH//citE//citD//dgcZ//tdcB//nirD//gadB//aroF//mazG//napG//pflB//ccp//nadA//speG//moaA//argE//lsrG//dgcC//moaC//
NarL-Phosphorylated_pos	nrdE//trpA//pgi//malS//mtlD//galM//rnpB//pgm//asnA//phnJ//frc//accD//rfe//xylB//rhaB//
NarP-Phosphorylated_neg	purL//uxuA//gatY//moaD//gcvH//
NarP-Phosphorylated_pos	ppiA//citX//nadA//metA//paaH//citE//trpD//sdhD//puuA//ulaD//feaB//sodA//hycB//pgpC//
NemR_neg	hypF//entC//
NhaR-Na_pos	yeaG//malY//atoA//idnK//garK//
NikR-Ni2_neg	luxS//
NimR_neg	dkgB//
NorR_neg	
NorR_pos	cysM//
NrdR-Zn2_neg	purF//moeA//ftnA//hypF//
NsrR_neg	puuA//entH//dapB//hypF//lldD//pyrD//puuC//hyaB//hycC//dhaL//rffH//citE//purD//atoB//glcB//acnB//paaH//mhpF//glmU//phnL//nagB//glpC//gatY//citG//pfkA//caiA//gcvP//atoD//nadB//puuD//uxaA//carA//pdeR//pheT//rfe//chbG//glsA//gntK//mhpC//hycD//
NtrC-Phosphorylated_neg	ycjG//fadD//
NtrC-Phosphorylated_pos	zwf//idnO//mdh//nemA//tnaA//gor//paaI//gcvH//idnO//paaY//relA//astA//malP//galK//adhE//dhaM//arsC//astD//aceB//ugpQ//leuD//
OmpR-Phosphorylated_neg	trpE//paaK//umuD//yqhD//fabI//
OmpR-Phosphorylated_pos	pgaD//argG//rutB//pgaD//
OxyR_neg	folA//fabH//fadB//murQ//eno//
OxyR_pos	waaH//glgB//glxR//eda//galT//cysH//glpB//cyoE//lsrK//gpmM//glk//nrdB//
PaaX_neg	hemH//putA//cysI//phoA//pfkA//atoA//mhpA//dkgA//frc//
PdeL_pos	purB//
PdhR_neg	tyrA//metB//nrfC//carA//entB//atoB//murQ//glgB//alaS//nagB//prs//asnB//speB//srlD//nadA//atoA//sbcC//idnK//melA//entB//frdD//puuC//fbaB//
PdhR_pos	ndh//wzb//
PepA_neg	glgA//cysE//
PgrR_neg	metH//argC//
PhoB-Phosphorylated_neg	pdeL//icd//gdhA//idnD//umuC//
PhoB-Phosphorylated_pos	aspC//nirD//araB//hcaD//fabZ//argC//paaJ//yqhD//nadA//nadA//fadM//tynA//hyaA//nirB//tdcE//sdhA//sdhC//
PhoP-Phosphorylated_neg	sgbH//patA//sdhD//
PhoP-Phosphorylated_pos	glpD//gudD//rhaA//gudD//phoA//malP//ccp//puuD//aroL//purN//alkA//gadB//nadA//gcvH//ftnA//paaE//ogt//mhpB//pncB//glgA//allB//puuD//thrS//gapA//tadA//nrdA//glmS//speG//pgpC//wecC//gutQ//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	paaK//yiaK//ychF//aceE//
PspF_neg	
PspF_pos	uxaA//
PurR-hypoxanthine_neg	edd//hypF//truB//speA//relA//betB//ilvC//tpiA//sucA//galK//sdhB//rffC//adiA//metL//moaD//glpK//glpA//ssuD//tam//gpmM//gcvT//acnB//uvrC//tynA//asnB//hypF//
PutA_neg	yfdE//citF//
PuuR_neg	astA//phnN//wecC//gadA//dgcN//gudD//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	cysJ//cynT//hycC//nrdB//puuD//
RcdA_neg	
RcdA_pos	hycE//
RclR_pos	
RcnR_neg	ulaE//
RcsAB_neg	sodB//
RcsAB_pos	fabD//frdD//
RcsB-BglJ_pos	entD//glmS//
RcsB-Pasp56_neg	recD//
RcsB-Pasp56_pos	pdeL//rsmH//recD//
RelB-RelE_neg	lacZ//
RelB_neg	pgaB//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	paaJ//yeaG//gutQ//ulaE//
Rob_neg	
Rob_pos	gcl//fabI//uvrA//garL//putA//entF//murC//psd//ulaF//ubiX//glxR//ppiA//trpC//alkA//cysM//hcp//hemL//folA//lysC//
RstA-Phosphorylated_neg	lhgO//pgm//
RstA-Phosphorylated_pos	uxuA//
RtcR_pos	gabT//astE//
RutR_neg	rffH//glcF//ascB//mngB//folA//argF//umuD//aroL//leuD//hmp//
RutR_pos	rbsD//
SdiA_neg	
SdiA_pos	
SgrR_neg	dmsA//
SgrR_pos	gntK//wrbA//
SlyA_neg	
SlyA_pos	caiD//prpD//prpB//fabA//allB//pagP//ynfH//fabG//glpC//
SoxR_neg	
SoxR_pos	umpH//galE//yqjH//metE//hyi//wecC//
SoxS_neg	
SoxS_pos	ychF//fes//pspE//srlD//ybjG//gloA//hemL//galT//frdA//moeA//cysC//relA//nrdA//eno//glpB//fadE//rutA//cynS//pgaC//wecB//dgcZ//carB//hycG//napG//bglB//gnd//gatD//guaA//
SrlR_neg	gatY//fadD//hemL//
StpA_neg	purF//nagB//tynA//
SutR_neg	ychF//glpC//
SutR_pos	
TdcA_pos	uxaC//tktB//yfdE//mngB//sucA//
TdcR_pos	hyaA//galM//accD//cysI//ychF//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	xylB//glsA//nrfD//pdeH//
TorR-TorI_neg	gatY//
TorR-TorI_pos	
TreR_neg	glpX//oxc//
TrpR-tryptophan_neg	argB//hcaB//allB//feaB//malP//lacZ//metC//adhE//deoC//
TyrR-phenylalanine_neg	entB//melA//
TyrR-phenylalanine_pos	sbcC//
TyrR-tyrosine_neg	cysE//purB//dhaK//araD//tdcD//adiA//
TyrR-tyrosine_pos	puuD//metA//
TyrR_neg	sdhB//
TyrR_pos	metE//
UhpA-Phosphorylated_pos	tadA//
UidR_neg	dgcC//mazG//
UlaR_neg	waaH//rpiB//serA//puuA//ppsA//
UvrY-Phosphorylated_pos	fumB//aspA//
UxuR_neg	mdh//napG//idnO//rffH//melA//
XapR-xanthosine_pos	paaJ//hmp//
XylR-xylose_neg	
XylR-xylose_pos	rsmH//gltB//ilvC//
YdeO_neg	
YdeO_pos	uidA//ccp//allA//
YefM-YoeB_neg	hyi//
YefM_neg	lsrG//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	tadA//mhpB//paaE//kbaZ//hcaC//tam//
YjjQ_neg	idnO//lyxK//
YpdB-Phosphorylated_pos	
YqhC_pos	rffG//phnO//
YqjI_neg	bioA//
ZntR-Zn2_pos	paaE//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	metE//
