# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	ulaE//ruvA//
CpxR-Phosphorylated_pos	ung//speB//umpH//murC//paaY//araA//fbaA//katG//pepD//yedX//glxR//rhaD//glsA//purH//paaH//cysM//luxS//phnL//
Cra_neg	glpB//waaZ//uidA//eda//glyA//gpmA//glgP//allC//rbsK//sbcD//tpiA//ppc//dkgA//bioC//tyrB//bioB//lhgO//fabI//tam//pncB//malP//atoB//sucA//eno//rtcA//rbsK//pdeR//dmsC//recB//folA//glpD//garD//rutB//fabB//cysM//glpC//lpxD//wrbA//tktB//glmS//psd//glcD//yqhD//tam//fabD//
Cra_pos	nfsB//dacC//sucA//sgbH//umpH//hemL//ccp//gatZ//uxaA//betA//iscS//relA//fucK//glpA//chbG//tyrA//napA//
CreB-Phosphorylated_neg	glgA//
CreB-Phosphorylated_pos	fadE//
CsgD_neg	uxaB//hemH//
CsgD_pos	fadE//dmsB//ccp//
CsiR_neg	fadH//betA//ydcS//accC//
CspA_pos	aspA//
CueR-Cu_neg	gatD//lacZ//murF//
CueR-Cu_pos	metB//cysE//
CusR-Pasp_pos	lpd//frdD//cynS//lpxD//
CynR-cyanate_pos	yqhD//phnP//pdeL//
CynR_neg	
CysB-O-acetyl-L-serine_neg	moeB//hemL//putA//
CysB-O-acetyl-L-serine_pos	rutD//accA//frdC//aspC//gloA//fumB//nrdA//gdhA//allC//puuD//mhpD//umpH//
CysB_neg	
CysB_pos	pepD//gatY//
CytR_neg	allC//relA//fadD//uvrB//alkB//asnA//chbF//cysM//adhE//metF//
Dan-L-tartrate_pos	pgaD//recF//
DcuR-Phosphorylated_pos	appA//uvrB//zwf//cysC//
DeoR_neg	ulaD//ada//leuC//ppsA//paaF//ldtD//
DhaR_neg	
DhaR_pos	rffH//
DicA_neg	
DinJ-YafQ_neg	astB//
DnaA-ATP_neg	rutE//deoA//lpxC//ada//sbcD//
DnaA-ATP_pos	hycC//recB//patA//
DpiA-Pasp_neg	
DpiA-Pasp_pos	sgbH//dhaL//malQ//hmp//moaA//
DsdC-D-serine_neg	
DsdC-D-serine_pos	ssuE//paaY//
EbgR_neg	
EnvR_neg	glgP//hyaC//
EnvY_pos	argC//wecC//
EvgA-Phosphorylated_pos	amn//phnP//purH//galT//aspC//argF//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	astD//fabD//argE//fbaA//nfsA//hcaC//
FabR_neg	tdcB//glpC//hypF//
FadR-acyl-CoA_pos	
FadR_neg	relA//glnA//rtcA//pgi//ynfF//nagA//dhaL//tdcB//galK//
FadR_pos	rutD//rffH//rtcA//prpD//leuA//hyaC//pagP//rffC//citF//fau//
FeaR_pos	cdd//fabB//
FhlA-formate_pos	rnpB//gcvP//alkA//lsrF//glpX//moaE//sbcD//slt//
FlhDC_neg	cueO//xylA//
FlhDC_pos	mhpD//cysM//atoD//rnpB//fucK//gudD//gcvH//accD//ldtB//malS//narG//puuA//
FliZ_neg	astD//nanK//phnL//uxuA//citF//
FucR-L-fuculose-1-P_pos	bioF//dinB//frc//dapD//lyxK//glgB//
Fur-Fe2_neg	chbG//psd//speA//rbsK//atoA//dmsB//paaF//sgbH//narI//hyaC//gpmA//ada//gatY//ssuE//ascB//pdeL//patA//lacZ//gadA//gatY//eno//codA//rutA//atoD//edd//fucA//phnG//xapA//moaE//pgaB//gcvT//phnP//phnL//mhpE//malP//gor//gltD//lsrK//lacZ//leuA//udp//nadB//metH//gpmA//glgX//entA//dapD//torA//sgbE//fucU//fadJ//dapD//fucK//
Fur-Fe2_pos	glpD//glpB//oxc//rffG//alaS//metA//dmsB//malQ//waaH//ahpF//ribA//prs//patA//cysE//sucA//guaA//
GadE-RcsB_pos	ftnA//paaY//metA//pgk//idnO//
GadE_pos	pck//aldA//ynfF//mpaA//glpD//tyrB//araA//hycF//fabG//glmU//
GadW_neg	ruvB//waaH//argI//
GadW_pos	recD//ssuE//frc//tdcB//
GadX_neg	trpE//yqjH//glgA//
GadX_pos	sucB//leuC//ung//rtcA//hemL//cysH//hyaC//folE//speA//paaG//metK//
GalR-beta-D-galactose_neg	pepD//malS//fumB//yqjH//alsE//
GalR-beta-D-galactose_pos	cysK//metL//idnK//nirB//
GalR_neg	lpd//cdd//ydcS//garL//uxuA//nagA//
GalR_pos	gudD//pdeH//metE//phoA//
GalS-beta-D-galactose_neg	murF//ftsI//fumB//ndh//ruvA//
GalS-beta-D-galactose_pos	dgkA//nrdE//narG//rimK//
GalS_neg	astD//treC//entH//ulaG//tauD//frdA//
GalS_pos	purM//epd//guaA//murI//
GatR_neg	xapA//lpxD//dkgB//
GcvA_neg	mhpD//gadA//mdh//
GcvA_pos	rutA//purB//bacA//
GlcC-glycolate_neg	
GlcC-glycolate_pos	patD//torC//kbaY//
GlpR_neg	ldtD//tpiA//aroG//fadB//citX//fumB//puuA//
GlrR-Pasp56_pos	
GntR_neg	rffT//uvrC//leuC//allE//fadJ//purH//gabT//rutA//pgaD//
GutM_pos	acnA//thrS//dmsC//
HU_neg	caiA//malY//lsrK//astD//nfsB//fadA//murF//
HU_pos	
HcaR-HCA_pos	nagA//aroF//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	sgbE//
HigB-HigA_neg	aroG//
HipAB_neg	nrdF//purE//
HipB_neg	tktB//pfkA//aceB//
HprR-Phosphorylated_neg	astC//yqjH//
HprR-Phosphorylated_pos	hycG//astE//
HyfR_pos	sucA//
HypT-Met-oxidized_neg	pdeR//accD//
HypT-Met-oxidized_pos	wecC//lysC//paaA//argG//puuC//
IclR-pyruvate_neg	phnO//waaH//putA//
IdnR-5-ketogluconate_neg	ulaE//rffM//
IdnR-5-ketogluconate_pos	phnM//entA//ulaE//
IlvY-2-acetolactate_pos	cyoE//
IlvY_neg	
IscR-2Fe-2S_neg	pyrC//paaE//
IscR_neg	garL//leuD//treC//pagP//
IscR_pos	appA//paaK//
KdgR_neg	asnB//tehB//
KdpE-Phosphorylated_pos	treC//
LacI_neg	dgcZ//patA//adhE//
LeuO_neg	
LeuO_pos	accD//accA//mraY//dinB//rffG//hemH//
LexA_neg	sodA//poxB//glcD//uxaB//araD//sdhD//pgm//tyrA//fucA//pgpC//hemL//sbcC//rbsK//trpD//glpX//torA//fucU//glcB//truB//tyrB//cadA//puuC//caiC//
LldR-lactate_neg	fucA//rpiB//
LldR-lactate_pos	moaA//hcaD//
LldR_neg	dmsC//dmsC//
LldR_pos	lhgO//astA//
LrhA_neg	
LrhA_pos	
LsrR_neg	puuC//lpd//malZ//purK//araA//
LysR_neg	
LysR_pos	yiaK//
MalI_neg	pfkA//phnH//
MalT-maltotriose-ATP_pos	glpK//hemH//bacA//uvrC//dapD//glpB//
MarA_neg	cysI//
MarA_pos	citC//fadI//xapA//accD//phnH//grxA//entH//atoA//deoD//tehB//paaY//mhpF//sdhD//rffM//talA//fumB//ychF//purF//icd//umpH//hycD//truB//bioC//
MarR_neg	
MatA_neg	sucC//
MatA_pos	
MazE-MazF_neg	ppc//
MazE_neg	glcD//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	pepD//ppiA//
MelR-melibiose_pos	trpC//speB//
MelR_neg	iscS//paaG//
MelR_pos	paaJ//prs//
MetJ-adenosylmethionine_neg	aroH//leuC//dmsA//aroH//ycjG//gor//glpB//lpxC//pdeL//fabH//
MetR-L-homocysteine_neg	argF//
MetR-L-homocysteine_pos	glgP//dgcN//
MetR_pos	uvrB//araD//
MhpR-3HPP_pos	ulaG//rhaB//pheS//frdC//moeA//glpQ//
Mlc_neg	nagB//ascB//waaH//polB//
MlrA_pos	purF//
MngR_neg	tadA//bglB//
MntR-Mn2_neg	allE//
MntR-Mn2_pos	nirB//
ModE-MoO42-_neg	hyi//sucB//gloA//gltB//patA//leuC//fabI//citX//
ModE-MoO42-_pos	sucD//purD//mraY//hyi//frdD//argF//glxK//thrS//gloA//
MprA_neg	tehB//amn//argI//
MqsA_neg	pdeR//accD//
MraZ_neg	dsdA//serA//dgcZ//srkA//pdeL//cysH//nrdD//alaC//folA//ogt//
MurR_neg	frdB//phnG//napA//
MurR_pos	
Nac_neg	dmsA//pheT//patA//
Nac_pos	araA//cdd//purF//rutD//murC//allB//adiA//cysH//
NadR_neg	alkA//gcl//wrbA//gor//
NagC_neg	dkgB//hcaE//cueO//pdeR//bglB//moaD//mhpB//cysD//mazG//arsC//pheS//bglB//paaG//tehB//rsmH//dapD//gloA//gloA//
NagC_pos	aldA//phr//
NanR_neg	ydcS//idnK//galM//ulaD//sbcC//pgaB//
NanR_pos	
NarL-Phosphorylated_neg	glpB//umuC//nanK//pykF//glcD//paaC//caiC//murE//gloA//accD//fadH//mhpC//phoA//pgpC//dhaM//dapB//ahpF//prpE//nanK//kbaZ//prs//rnpB//phnN//ycjG//gatZ//rbsD//ada//cysE//
NarL-Phosphorylated_pos	pgaC//fabH//ssuD//sdhD//puuA//argH//betB//trpB//pgi//asnA//cysK//glcB//glgA//leuA//pgk//
NarP-Phosphorylated_neg	ynfF//amn//moeB//metB//pgi//
NarP-Phosphorylated_pos	glgX//xylA//folA//lpxD//accA//truB//ftnA//hycG//atoD//ydcS//prpB//garK//prpD//pgaC//
NemR_neg	polB//ahpF//
NhaR-Na_pos	umuC//rnpB//fadB//glcE//ttdB//
NikR-Ni2_neg	dkgB//
NimR_neg	fabG//
NorR_neg	
NorR_pos	oxc//
NrdR-Zn2_neg	sufS//lacA//dmsB//idnO//
NsrR_neg	aspC//lsrF//uxuA//murI//pflB//adhE//frc//citX//mdh//rsmH//gdhA//gntK//atoA//folA//metH//garL//cysM//udp//lysC//epd//alkB//murC//caiD//fabB//rutC//uxaA//phnI//idnO//cysK//trpB//citX//galE//rffC//pgm//hyaB//moaD//araB//kbaZ//wecB//wzc//
NtrC-Phosphorylated_neg	pyrD//paaC//
NtrC-Phosphorylated_pos	truB//rffC//gatZ//argD//paaZ//phnP//rhaA//fadE//folE//sdhA//rnpB//moeB//uvrC//metK//patD//ruvB//ahpF//dgcC//gdhA//tdcD//appA//
OmpR-Phosphorylated_neg	sbcC//fadI//astC//mhpA//ogt//
OmpR-Phosphorylated_pos	ruvB//lsrF//patA//fumB//
OxyR_neg	caiC//nemA//purK//puuA//moaE//
OxyR_pos	alsE//amn//waaY//nrdE//prpE//phnG//ogt//phnN//mhpB//lsrG//pgaD//metK//
PaaX_neg	frc//citE//umpH//prpC//rsmH//gdhA//speB//ribA//paaY//
PdeL_pos	recF//
PdhR_neg	idnK//deoC//yedX//fadJ//hcaE//fbaA//fumC//umuD//garD//ada//paaA//leuA//hyaC//sufS//fucU//pspE//phnJ//trpA//patA//gapA//gatD//glpC//napA//
PdhR_pos	trpD//metA//
PepA_neg	gudD//pflB//
PgrR_neg	pdeH//nrfA//
PhoB-Phosphorylated_neg	garL//murG//ssuD//recF//pgm//
PhoB-Phosphorylated_pos	asnB//fadH//puuA//sdhC//glgP//katG//puuA//nfsA//puuC//uvrB//hcp//aspC//slt//dhaM//paaI//betB//fadM//
PhoP-Phosphorylated_neg	lyxK//sdhB//dapD//
PhoP-Phosphorylated_pos	ung//galT//paaF//gcvH//glcE//ldtC//aroL//fadE//mazG//dapD//glmS//leuB//pflB//rutB//rfe//metC//paaK//tdcB//metH//ada//gcvP//dapD//murE//fucA//argH//lysC//uvrC//glgC//umpH//kbaZ//uvrB//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	hemH//glpQ//luxS//ycjG//
PspF_neg	
PspF_pos	deoB//
PurR-hypoxanthine_neg	entD//recD//glpC//nfsA//ldtD//rtcA//rimK//napH//folA//gabT//dapB//acnA//sdhC//alkA//cysM//sodA//sucA//mtlD//asnB//gor//cysD//hcaC//adiA//fabG//metL//dkgA//
PutA_neg	entC//glgP//
PuuR_neg	cadA//nanE//puuA//ccp//talA//dkgB//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	dhaL//entF//fadB//deoA//ynfG//
RcdA_neg	
RcdA_pos	paaE//
RclR_pos	
RcnR_neg	fabH//
RcsAB_neg	ttdB//
RcsAB_pos	glgP//hycF//
RcsB-BglJ_pos	entB//speA//
RcsB-Pasp56_neg	cysG//
RcsB-Pasp56_pos	bioD//codA//asnB//
RelB-RelE_neg	metC//
RelB_neg	hemL//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	glgC//napA//rutB//garD//
Rob_neg	
Rob_pos	murQ//ada//ynfE//recF//metH//ruvA//hemL//fucO//fabH//ruvB//phoA//dkgA//alsE//yfdE//gabD//argG//fabG//sgbU//entA//
RstA-Phosphorylated_neg	slt//leuD//
RstA-Phosphorylated_pos	nanE//
RtcR_pos	pyrC//ulaE//
RutR_neg	pflB//cynS//katE//rutD//entA//metE//ulaF//gcl//moaD//putA//
RutR_pos	nadB//
SdiA_neg	
SdiA_pos	
SgrR_neg	nrdF//
SgrR_pos	trpE//pgaD//
SlyA_neg	
SlyA_pos	mhpC//sucB//araB//bioC//citE//fucK//pdeH//cysG//allE//
SoxR_neg	
SoxR_pos	patD//wecB//nrdA//caiC//kbaZ//dgkA//
SoxS_neg	
SoxS_pos	xapA//nirB//gadB//glxK//carA//mazG//ldtB//cysH//hypB//hycC//cadA//cynS//pyrD//ygeA//frc//cadA//garD//deoA//adhE//murD//gadB//dgcZ//paaB//chbF//yfdE//iscS//paaY//purF//
SrlR_neg	fabB//ddlB//cdd//
StpA_neg	metK//lysA//moaE//
SutR_neg	alkB//guaA//
SutR_pos	
TdcA_pos	ulaD//nrdE//citF//alaC//entF//
TdcR_pos	trpD//glgX//fabZ//udp//lsrG//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	allE//ldtC//uvrC//idnO//
TorR-TorI_neg	arsC//
TorR-TorI_pos	
TreR_neg	fabD//hycF//
TrpR-tryptophan_neg	rffC//hemH//amn//gcvT//caiA//xylA//ulaE//truB//rhaA//
TyrR-phenylalanine_neg	rtcB//fumB//
TyrR-phenylalanine_pos	gutQ//
TyrR-tyrosine_neg	rpiB//moeA//paaG//relA//tdcE//accA//
TyrR-tyrosine_pos	tpiA//fabH//
TyrR_neg	nfsA//
TyrR_pos	cysI//
UhpA-Phosphorylated_pos	mtlD//
UidR_neg	dgcC//ynfE//
UlaR_neg	allA//fdhF//allE//moeA//murD//
UvrY-Phosphorylated_pos	rffT//bioB//
UxuR_neg	pnp//trpE//moaE//gatD//gadA//
XapR-xanthosine_pos	rtcB//yfdE//
XylR-xylose_neg	
XylR-xylose_pos	ppiA//nrfC//poxB//
YdeO_neg	
YdeO_pos	yfdE//rnpB//phnI//
YefM-YoeB_neg	oxc//
YefM_neg	ftnA//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	slt//citE//purM//recF//yfdE//trpD//
YjjQ_neg	hyaC//tnaA//
YpdB-Phosphorylated_pos	
YqhC_pos	wecC//waaH//
YqjI_neg	dhaL//
ZntR-Zn2_pos	yeaG//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	trpE//
