# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	fucI//lpd//
Cra_neg	cysN//sdhB//nrfD//purA//talA//entH//ubiA//rsmH//mdh//mhpF//puuE//nagA//phnM//aceE//glpA//psd//lpxC//glyA//cysK//mpl//ada//cysC//purM//hyaC//rnpB//gnd//waaZ//katE//feaB//sgbU//cysG//ruvB//sdhD//murC//rffM//adiA//carB//rutA//sdhC//trpC//ruvB//argC//dgcZ//aldA//ribA//
Cra_pos	eno//glcE//rutC//sucA//umuC//glpK//prpB//alkB//citX//ulaF//sucB//lpxD//ruvA//gabT//glpC//caiC//citF//
CreB-Phosphorylated_neg	fruK//
CreB-Phosphorylated_pos	nagA//
CsgD_neg	kbaY//chbG//
CsgD_pos	hyaA//metL//rhaD//
CsiR_neg	glxR//allB//murD//cysN//
CspA_pos	caiA//
CueR-Cu_neg	phnG//gpmM//mpl//
CueR-Cu_pos	yiaK//gatY//
CusR-Pasp_pos	napG//hycG//srkA//glgP//
CynR-cyanate_pos	galE//ruvB//rimK//
CynR_neg	
CysB-O-acetyl-L-serine_neg	dkgB//purM//tktB//
CysB-O-acetyl-L-serine_pos	guaB//garK//bioB//frc//wzc//galK//hcaD//astD//pdeR//lpxD//glmS//murI//
CysB_neg	
CysB_pos	metH//cynS//
CytR_neg	gltB//hycC//sucA//moaD//phnI//ynfG//ubiX//hycE//metA//hcaB//
Dan-L-tartrate_pos	cyoE//sdhB//
DcuR-Phosphorylated_pos	kbaZ//ldtD//relA//udp//
DeoR_neg	frc//aroF//hcaC//glpD//pyrC//argH//
DhaR_neg	
DhaR_pos	ruvB//
DicA_neg	
DinJ-YafQ_neg	rsmH//
DnaA-ATP_neg	paaI//glcF//ascB//dgcZ//mngB//
DnaA-ATP_pos	nrdA//mtlD//adhE//
DpiA-Pasp_neg	
DpiA-Pasp_pos	fucK//nrdE//metL//ahpF//lpxC//
DsdC-D-serine_neg	
DsdC-D-serine_pos	pgm//hycC//
EbgR_neg	
EnvR_neg	srkA//deoC//
EnvY_pos	gnd//mdh//
EvgA-Phosphorylated_pos	sucD//rffH//ogt//tyrB//glmS//napA//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	purM//patD//rsmH//moeB//aceE//ada//
FabR_neg	thrS//yedX//dgcC//
FadR-acyl-CoA_pos	
FadR_neg	udp//paaI//ndh//hyaC//hcaF//pheT//fau//asnB//patA//
FadR_pos	mhpB//phnM//guaA//yfdE//leuD//nagA//nagA//hyaA//fucU//appA//
FeaR_pos	glsA//pnp//
FhlA-formate_pos	dapB//dsdA//ynfF//entE//glpQ//wzc//yfdE//nemA//
FlhDC_neg	galE//dinB//
FlhDC_pos	rutC//atoD//murF//leuB//lyxK//glgC//tnaA//citC//edd//gapA//napB//gcvH//
FliZ_neg	astC//sgbH//bacA//asnB//entH//
FucR-L-fuculose-1-P_pos	hemL//galK//puuE//uxaA//mnmG//phr//
Fur-Fe2_neg	metK//hyi//gcvT//ydcS//moeA//ung//ruvA//rnpB//edd//glnA//dsdA//aceE//mngB//cynS//hycC//nagB//astA//gcvH//feaB//wecB//garD//citD//ttdB//lpxD//entB//gnd//edd//yeaE//mnmG//fucU//yeaE//adiA//mhpB//lpxC//ilvC//adiA//fabA//fes//fau//accD//garK//ynfE//torC//phnP//lsrG//metH//sdhB//malZ//trpC//idnK//serA//ulaE//sgbH//
Fur-Fe2_pos	malQ//fabH//fucU//oxc//mltF//gcvT//citX//epd//uvrA//yqhD//mhpC//tnaA//fabD//garD//argF//aspC//
GadE-RcsB_pos	narH//gcvH//pgaD//citD//nanE//
GadE_pos	fes//treC//nrdE//moeB//prpC//recD//yfdE//tktB//appA//ulaG//
GadW_neg	entD//trpB//umuC//
GadW_pos	murE//oxc//aroG//putA//
GadX_neg	frdB//metL//dhaL//
GadX_pos	fadB//mhpC//fucK//bioC//metE//phnJ//citG//ruvB//glgA//narH//uxaB//
GalR-beta-D-galactose_neg	ndh//paaF//uxuB//nrfD//napA//
GalR-beta-D-galactose_pos	fabB//lysA//nirD//nrdE//
GalR_neg	murI//metA//rffH//aceF//rbsK//glgB//
GalR_pos	tktB//araB//alsE//tktB//
GalS-beta-D-galactose_neg	rnpB//lacA//trpA//caiA//ttdA//
GalS-beta-D-galactose_pos	gltB//glgP//wzc//pgk//
GalS_neg	nrfC//fabI//mraY//tnaA//purF//nrfC//
GalS_pos	dgcC//astB//phr//galK//
GatR_neg	purK//sufS//sbcC//
GcvA_neg	dsdA//deoB//caiD//
GcvA_pos	mraY//putA//murI//
GlcC-glycolate_neg	
GlcC-glycolate_pos	entA//accA//ygeA//
GlpR_neg	trpB//atoB//ulaE//argC//hycD//trpB//melA//
GlrR-Pasp56_pos	
GntR_neg	ycjG//sdhA//puuC//pgpC//gor//paaJ//cadA//paaG//acnB//
GutM_pos	cysG//hmp//gcvT//
HU_neg	galM//paaF//fabG//mraY//uxuB//aspC//phnH//
HU_pos	
HcaR-HCA_pos	wecB//gpmM//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	purC//
HigB-HigA_neg	dmsA//
HipAB_neg	trpB//entF//
HipB_neg	yedX//ruvA//paaJ//
HprR-Phosphorylated_neg	uxaC//dmsA//
HprR-Phosphorylated_pos	argC//pgaB//
HyfR_pos	cysN//
HypT-Met-oxidized_neg	ahpF//gcvP//
HypT-Met-oxidized_pos	hmp//bacA//argA//napB//tdcE//
IclR-pyruvate_neg	carB//phnJ//aldA//
IdnR-5-ketogluconate_neg	allD//rffM//
IdnR-5-ketogluconate_pos	gltD//melA//udp//
IlvY-2-acetolactate_pos	ssuD//
IlvY_neg	
IscR-2Fe-2S_neg	tnaA//frdB//
IscR_neg	rbsD//hcaE//malS//mngB//
IscR_pos	ccp//gcl//
KdgR_neg	allD//torC//
KdpE-Phosphorylated_pos	folA//
LacI_neg	lacZ//narG//moaA//
LeuO_neg	
LeuO_pos	napB//acnA//murD//fucU//glpB//sucB//
LexA_neg	purB//torC//purL//mhpF//leuA//atoB//tyrA//ascB//glcF//ampC//cynT//ssuE//pgaB//glpA//glyA//fabZ//alaS//pgaD//cysC//argD//recF//ynfE//speA//
LldR-lactate_neg	folE//gutQ//
LldR-lactate_pos	torA//narI//
LldR_neg	purC//gatD//
LldR_pos	purD//ldtB//
LrhA_neg	
LrhA_pos	
LsrR_neg	phnJ//nrdE//citX//kbaZ//fabB//
LysR_neg	
LysR_pos	alkA//
MalI_neg	phnO//tnaA//
MalT-maltotriose-ATP_pos	napH//recF//cysE//ldtD//malZ//dapD//
MarA_neg	guaB//
MarA_pos	glgA//atoA//mdh//entE//recB//paaK//tam//ahpF//entD//lyxK//purK//citG//relA//nfsB//ttdA//pgpC//ldtD//oxc//gltD//tyrA//trpE//glcF//puuA//
MarR_neg	
MatA_neg	aceF//
MatA_pos	
MazE-MazF_neg	purN//
MazE_neg	metA//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	glxR//pyrC//
MelR-melibiose_pos	dgkA//lysA//
MelR_neg	paaA//asnA//
MelR_pos	caiD//pgk//
MetJ-adenosylmethionine_neg	rpiB//speB//pdeL//dinB//rffH//rfe//garD//arsC//sdhD//pgaB//
MetR-L-homocysteine_neg	glxK//
MetR-L-homocysteine_pos	paaJ//deoD//
MetR_pos	argE//ynfG//
MhpR-3HPP_pos	dmsA//feaB//allE//hemH//gcvT//rtcB//
Mlc_neg	gntK//pyrC//ddlB//aspC//
MlrA_pos	hycE//
MngR_neg	mnmG//torA//
MntR-Mn2_neg	dapD//
MntR-Mn2_pos	folE//
ModE-MoO42-_neg	argI//ldtB//napG//aroL//rffH//nrfD//glpQ//nrdE//
ModE-MoO42-_pos	moaC//prpB//glmU//phoA//alsE//glyA//lldD//wecE//ftsI//
MprA_neg	gltD//nrfA//speB//
MqsA_neg	nadB//ybjG//
MraZ_neg	fau//glgA//glgC//narI//rtcA//paaG//aspC//dgcZ//recD//aceB//
MurR_neg	hcaE//glpK//speA//
MurR_pos	
Nac_neg	puuC//hyaC//hycD//
Nac_pos	glyA//glgX//trpD//phnM//phnN//nrfA//glgX//entB//
NadR_neg	sgbH//gltD//guaA//cyoE//
NagC_neg	purK//fadH//sbcC//glpA//citD//rffH//cysE//purE//glcF//ldtB//pck//mpl//nrfC//ftsI//chbG//dacC//cysJ//nagA//
NagC_pos	entA//ygeA//
NanR_neg	sufS//metC//uvrB//dinB//ppsA//purB//
NanR_pos	
NarL-Phosphorylated_neg	murE//leuB//accA//nrfD//pnp//bioB//glmS//torC//glsA//leuD//paaJ//eda//nagA//carB//xylB//frdB//pheS//nrdD//carA//hmp//tdcB//argD//tdcG//entE//nrdA//ftnA//purB//allE//
NarL-Phosphorylated_pos	ppiA//allA//hypB//bioA//leuA//ruvB//sucD//purN//ftsI//fau//uvrB//pfkA//frdB//nadA//lacA//
NarP-Phosphorylated_neg	deoA//galT//gatY//napH//pnp//
NarP-Phosphorylated_pos	moaA//ddlB//paaE//murQ//chbG//hypF//hycC//cysJ//ldtC//dapD//mhpF//recB//hypB//puuA//
NemR_neg	phnN//xapA//
NhaR-Na_pos	glnA//iscS//umuD//trpE//ddlB//
NikR-Ni2_neg	entE//
NimR_neg	metF//
NorR_neg	
NorR_pos	citF//
NrdR-Zn2_neg	psd//hypB//pyrD//amn//
NsrR_neg	ldtB//bioC//nanA//gutQ//recB//thrS//mhpA//gntK//tehB//appA//cdd//narG//murD//folA//entC//pspE//metH//mnmG//poxB//glmS//ubiX//galM//arsC//gutQ//umpH//paaE//lhgO//fucI//nadA//lldD//polB//argF//dgkA//sucC//pgi//lsrK//glpB//tam//ybjG//poxB//
NtrC-Phosphorylated_neg	wzc//glmU//
NtrC-Phosphorylated_pos	rutE//yfdE//caiC//cysE//caiC//malQ//rffH//sbcC//gntK//lpxA//mhpE//leuB//sbcD//aceE//frc//lpd//cynS//ynfF//nrdA//treC//sufS//
OmpR-Phosphorylated_neg	ugpQ//nrfA//truB//gntK//garR//
OmpR-Phosphorylated_pos	tyrB//dhaL//cysC//accD//
OxyR_neg	ttdB//dmsC//argF//narH//fabH//
OxyR_pos	fumC//rutA//aroL//allC//fabI//trpA//rimK//fdhF//ynfF//bglB//fbaB//prpD//
PaaX_neg	argA//cdd//pheS//fucU//tnaA//sucD//cysN//dkgA//entE//
PdeL_pos	pflB//
PdhR_neg	garR//waaH//paaI//torA//cysE//argC//cysK//nrdA//mnmG//metA//malP//wzb//sgbH//dgcN//phnI//purN//waaZ//sbcD//ulaF//hcaD//wecB//hycC//uxaB//
PdhR_pos	pncB//mtlD//
PepA_neg	xapA//rffH//
PgrR_neg	aceA//fdhF//
PhoB-Phosphorylated_neg	cysG//chbF//pagP//bioA//nfsA//
PhoB-Phosphorylated_pos	citE//epd//gloA//mhpA//ynfE//entH//entD//codA//puuE//pspE//narG//wecC//pgm//paaB//betA//epd//yeaE//
PhoP-Phosphorylated_neg	mhpF//pdeH//narI//
PhoP-Phosphorylated_pos	allD//moaC//bioF//aroL//rffT//cysN//pnp//mhpC//xapA//frdC//ahpF//nanA//glpX//paaI//rhaD//fabZ//hcaC//betB//yeaG//xylB//ampC//araD//mraY//gudD//hypF//cysM//mhpB//folA//tnaA//chbF//astD//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	feaB//tnaA//mltF//glpQ//
PspF_neg	
PspF_pos	hycG//
PurR-hypoxanthine_neg	moeA//cysM//tam//rffC//aroH//dgcN//sucD//malQ//fabD//metK//kbaY//pgpC//uxaB//fucO//gntK//entB//nadA//entE//gutQ//ribA//dkgA//cysK//fes//puuC//wecC//phoA//
PutA_neg	paaC//aceE//
PuuR_neg	leuA//allE//ssuD//phnL//alkB//tdcD//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	uxaC//frdD//icd//grxA//edd//
RcdA_neg	
RcdA_pos	edd//
RclR_pos	
RcnR_neg	nrfD//
RcsAB_neg	rutE//
RcsAB_pos	arsC//phnP//
RcsB-BglJ_pos	lsrF//hemH//
RcsB-Pasp56_neg	ogt//
RcsB-Pasp56_pos	lsrG//accD//ldtC//
RelB-RelE_neg	nadB//
RelB_neg	gnd//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	lsrF//cueO//nanK//bioB//
Rob_neg	
Rob_pos	cyoE//argI//aceA//cdd//gatY//purD//phr//cysE//yeaE//idnO//folE//argE//dmsA//pspE//napH//trpC//hyi//hypB//cadA//
RstA-Phosphorylated_neg	puuD//phnL//
RstA-Phosphorylated_pos	treC//
RtcR_pos	xapA//allC//
RutR_neg	kbaY//glpX//fabZ//paaE//lpxC//moaD//pck//mhpA//nfsB//glgA//
RutR_pos	katE//
SdiA_neg	
SdiA_pos	
SgrR_neg	galE//
SgrR_pos	pgaC//nrdF//
SlyA_neg	
SlyA_pos	puuB//lacA//gcvT//metE//patD//entB//malY//patD//carB//
SoxR_neg	
SoxR_pos	betB//murD//ynfF//torC//ahpC//uidA//
SoxS_neg	
SoxS_pos	paaH//fadM//fumC//alaC//paaK//ybjG//grxA//guaA//leuA//sufS//cynT//ubiA//dmsB//murG//mnmG//entF//caiD//adhE//sodB//caiA//glpC//glpX//lacZ//lpxD//tdcE//prpB//sdhC//poxB//
SrlR_neg	entA//idnD//caiA//
StpA_neg	ogt//wrbA//fes//
SutR_neg	nanK//glxK//
SutR_pos	
TdcA_pos	moaA//ppiA//lldD//rhaA//icd//
TdcR_pos	sbcD//uidA//fumC//astA//pdeH//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	fucI//ubiX//alaC//nrfD//
TorR-TorI_neg	allD//
TorR-TorI_pos	
TreR_neg	aroL//glpX//
TrpR-tryptophan_neg	gcvH//nanK//hcaC//argF//fucA//eda//pdeH//fadE//guaB//
TyrR-phenylalanine_neg	garD//pheS//
TyrR-phenylalanine_pos	cysM//
TyrR-tyrosine_neg	ybjG//lacZ//galT//paaK//mltF//ftnA//
TyrR-tyrosine_pos	leuB//deoD//
TyrR_neg	garD//
TyrR_pos	nrfD//
UhpA-Phosphorylated_pos	allB//
UidR_neg	pgaB//frdB//
UlaR_neg	ydcS//metE//oxc//fau//yiaK//
UvrY-Phosphorylated_pos	nadA//ttdB//
UxuR_neg	prs//umuC//mhpB//aroF//srkA//
XapR-xanthosine_pos	metA//dapD//
XylR-xylose_neg	
XylR-xylose_pos	malY//caiB//murD//
YdeO_neg	
YdeO_pos	metA//kbaZ//purK//
YefM-YoeB_neg	moaD//
YefM_neg	lldD//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	ampC//phoA//hypF//pflB//paaA//sdhC//
YjjQ_neg	garL//cysI//
YpdB-Phosphorylated_pos	
YqhC_pos	fadA//ppsA//
YqjI_neg	phnH//
ZntR-Zn2_pos	fabI//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	ynfF//
