# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	alkA//hemH//
EvgA-Phosphorylated_pos	puuD//paaJ//glcB//cysI//ssuE//tdcE//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	rutB//umuD//mpl//pykF//katG//cadA//
FabR_neg	guaB//gadB//lysA//
FadR-acyl-CoA_pos	
FadR_neg	ppsA//putA//sufS//purL//thrS//dapD//fadJ//garL//galE//
FadR_pos	rpiB//ldtB//glcB//ftsI//sucC//paaC//mazG//trpB//wecE//nrdF//
FeaR_pos	pgaC//napG//
FhlA-formate_pos	eno//moaE//mazG//bglB//trpE//treC//mhpD//wrbA//
FlhDC_neg	hycG//paaC//
FlhDC_pos	uvrB//gcvH//yqhD//deoD//metH//frdB//rbsK//astE//phnM//ycjG//waaH//rpiB//
FliZ_neg	pnp//ssuD//pykF//atoA//dmsB//
FucR-L-fuculose-1-P_pos	yeaE//rutA//fadM//oxc//murI//prs//
Fur-Fe2_neg	entF//cysC//citG//cysJ//alaS//gudD//yqhD//aroL//paaB//waaY//leuB//gabT//dgkA//puuB//gcl//hcaB//dhaM//cynS//rhaB//aceE//ppiA//mnmG//napA//yedX//mtlD//dgcC//citG//torA//guaB//lsrG//epd//rhaD//wecE//mpl//allD//accD//phnL//betA//glgP//purB//murE//astC//ulaE//glgP//metF//fumC//leuD//fabI//purN//idnK//gabT//recF//srlD//
Fur-Fe2_pos	pagP//uidA//puuB//pheS//purK//ynfG//metB//puuB//hycG//astB//yfdE//ychF//ascB//gpmA//gcvT//ynfH//
GadE-RcsB_pos	murI//gltD//asnA//mhpE//leuD//
GadE_pos	araB//hcaE//alaS//purB//cysM//fbaA//fabG//recB//glmS//caiB//
GadW_neg	leuA//trpE//ftsI//
GadW_pos	mhpA//gutQ//gatZ//paaG//
GadX_neg	ynfF//rffH//putA//
GadX_pos	mdh//aroF//cueO//chbG//waaY//atoA//metK//narI//tdcG//dmsB//adiA//
GalR-beta-D-galactose_neg	fumB//allA//aceF//moaE//relA//
GalR-beta-D-galactose_pos	metB//sucD//aroL//tktB//
GalR_neg	glpB//hemH//dmsA//alkA//folA//lacA//
GalR_pos	metK//metA//ahpC//rutB//
GalS-beta-D-galactose_neg	deoA//phnN//gabD//dgcZ//rffM//
GalS-beta-D-galactose_pos	patA//ynfE//glpB//glxK//
GalS_neg	ahpF//guaB//ygeA//hcaB//gltD//tnaA//
GalS_pos	pck//pgm//leuD//hyaB//
GatR_neg	ddlB//nrdB//rbsD//
GcvA_neg	cdd//glxR//pheT//
GcvA_pos	tadA//mtlD//deoA//
GlcC-glycolate_neg	
GlcC-glycolate_pos	glpD//dgcN//mpaA//
GlpR_neg	uxaC//frdC//tdcE//paaF//paaF//hycG//truB//
GlrR-Pasp56_pos	
GntR_neg	pgpC//glpB//paaK//purN//sgbH//malS//gabD//recB//galT//
GutM_pos	lsrK//lpd//sbcD//
HU_neg	fabD//phoA//sgbU//rbsD//pyrC//glgX//dmsB//
HU_pos	
HcaR-HCA_pos	cyoE//deoB//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	wecB//
HigB-HigA_neg	prpE//
HipAB_neg	nfsA//fau//
HipB_neg	nrdB//glgC//gatD//
HprR-Phosphorylated_neg	ahpF//pgaD//
HprR-Phosphorylated_pos	nanK//astA//
HyfR_pos	ynfG//
HypT-Met-oxidized_neg	entF//murC//
HypT-Met-oxidized_pos	ogt//mngB//rffG//argA//mraY//
IclR-pyruvate_neg	sdhA//codA//astA//
IdnR-5-ketogluconate_neg	dkgA//astE//
IdnR-5-ketogluconate_pos	polB//puuE//tktB//
IlvY-2-acetolactate_pos	trpA//
IlvY_neg	
IscR-2Fe-2S_neg	phnJ//araA//
IscR_neg	slt//ynfG//ulaF//glpD//
IscR_pos	pdeR//deoC//
KdgR_neg	phr//malY//
KdpE-Phosphorylated_pos	hyaC//
LacI_neg	pheS//prs//purN//
LeuO_neg	
LeuO_pos	moaC//tehB//mazG//recF//gltD//nrdB//
LexA_neg	glpQ//speA//cueO//chbG//argB//allB//glpC//glxR//glnA//melA//fdhF//hyaA//lpxD//codA//dgkA//hypF//pdeR//ttdA//rfe//pnp//trpA//alkA//pncB//
LldR-lactate_neg	purK//ygeA//
LldR-lactate_pos	glyA//purC//
LldR_neg	lacA//ulaG//
LldR_pos	fbaA//nanM//
LrhA_neg	
LrhA_pos	
LsrR_neg	fabH//wzc//psd//glxR//yeaG//
LysR_neg	
LysR_pos	wecB//
MalI_neg	citC//phnG//
MalT-maltotriose-ATP_pos	fabI//idnO//allB//ahpC//ulaE//hcaD//
MarA_neg	rsmH//
MarA_pos	trpD//glsA//tdcG//cysD//paaC//oxc//araB//recD//glcB//frdA//rsmH//trpB//ruvA//guaB//tauD//uxaB//pyrD//dhaL//nrdD//prpD//tdcD//rimK//ubiC//
MarR_neg	
MatA_neg	pflB//
MatA_pos	
MazE-MazF_neg	rpiB//
MazE_neg	trpB//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	xylB//cysN//
MelR-melibiose_pos	prpC//hypB//
MelR_neg	rhaD//glmU//
MelR_pos	mtlD//ssuD//
MetJ-adenosylmethionine_neg	argE//cysC//gntK//leuA//atoD//lsrF//hcaB//srkA//sdhA//cadA//
MetR-L-homocysteine_neg	rffC//
MetR-L-homocysteine_pos	argE//nanM//
MetR_pos	pheT//truB//
MhpR-3HPP_pos	lpxC//pdeR//alaS//entH//argG//tnaA//
Mlc_neg	rutE//fadA//citX//arsC//
MlrA_pos	alkB//
MngR_neg	alkA//guaB//
MntR-Mn2_neg	sucA//
MntR-Mn2_pos	accC//
ModE-MoO42-_neg	dapD//pncB//gadB//yeaE//fadM//ada//hyaA//rhaB//
ModE-MoO42-_pos	dkgA//phnJ//cysH//uxaC//rffM//gcl//bacA//alsE//trpB//
MprA_neg	ampC//rtcB//gatZ//
MqsA_neg	alaS//pnp//
MraZ_neg	dmsC//gudD//fucK//glgA//metE//galM//ldtB//treC//appA//tdcD//
MurR_neg	gabD//cysN//rutB//
MurR_pos	
Nac_neg	lldD//udp//dgcN//
Nac_pos	gor//aroG//idnO//mhpA//pck//fbaA//glyA//ssuD//
NadR_neg	gntK//talA//treC//ssuE//
NagC_neg	gcvP//gcvT//phnG//bglB//fabG//glgB//iscS//nadB//fadI//patD//sufS//rutB//wecB//rtcA//pfkA//cysM//luxS//napA//
NagC_pos	ahpC//recD//
NanR_neg	mhpF//mhpE//metK//rutA//prpC//phnI//
NanR_pos	
NarL-Phosphorylated_neg	glyA//paaJ//sucD//citC//pheS//frdB//deoD//ssuD//entE//moaC//gcvT//rbsD//ynfG//nfsB//alkB//aroL//ugpQ//moeA//hyaB//truB//glmS//malS//ada//entE//iscS//fdhF//garD//astC//
NarL-Phosphorylated_pos	paaK//alaC//purC//bioB//hypF//alsE//nadA//paaA//metK//fumC//speG//moaE//gatY//accA//paaH//
NarP-Phosphorylated_neg	eda//nrfD//accA//hycF//hcaD//
NarP-Phosphorylated_pos	recF//purC//dkgA//yeaE//caiB//ascB//eda//glpA//metL//allB//sbcD//allA//phnJ//glmU//
NemR_neg	rutA//talA//
NhaR-Na_pos	nagB//pflB//edd//aceB//treC//
NikR-Ni2_neg	lsrG//
NimR_neg	galE//
NorR_neg	
NorR_pos	fadH//
NrdR-Zn2_neg	moeB//lsrG//sdhA//araD//
NsrR_neg	idnK//metC//fucU//glcD//malZ//paaC//garD//udp//dkgB//alaS//allC//napG//cynT//murF//pdeL//pdeH//mraY//hcp//speB//bioC//ulaF//nanK//sufS//lpxC//recD//rbsK//fucA//nrdE//nanM//purN//cysD//ulaF//lsrF//fucU//wecE//paaY//lsrF//fucK//atoD//lsrK//
NtrC-Phosphorylated_neg	icd//fadI//
NtrC-Phosphorylated_pos	glgC//slt//puuA//hycF//glcD//mhpD//citF//caiC//entB//eda//ldtD//fabD//katG//cyoE//dkgB//cueO//dgcZ//gcvH//hycC//fadB//argE//
OmpR-Phosphorylated_neg	dmsA//aldA//gpmM//gatZ//pnp//
OmpR-Phosphorylated_pos	araB//galT//adhE//wrbA//
OxyR_neg	uxuA//lpxC//puuD//rnpB//puuE//
OxyR_pos	melA//fes//argD//bioA//prpB//cyoE//purN//ppsA//umpH//nfsB//bioC//glcF//
PaaX_neg	purF//ppc//paaJ//truB//idnD//mhpF//citX//narI//aroG//
PdeL_pos	phnG//
PdhR_neg	dkgB//metC//recF//sdhC//prpE//lpxC//purM//ada//glgB//pyrC//hcaC//nrdF//pgk//tktB//hcp//metF//fucI//tynA//ulaF//gpmA//glpX//tdcB//puuB//
PdhR_pos	caiC//rutA//
PepA_neg	rpiB//fumB//
PgrR_neg	chbG//araB//
PhoB-Phosphorylated_neg	fau//uxaB//wrbA//ahpF//fabB//
PhoB-Phosphorylated_pos	frdB//pgk//murI//galT//citX//sodB//pflB//ulaG//hycG//uvrC//yqjH//tnaA//paaI//pdeH//asnA//epd//deoC//
PhoP-Phosphorylated_neg	glmU//prpE//hcp//
PhoP-Phosphorylated_pos	hcaC//tyrB//glgP//gdhA//leuA//fbaB//tyrB//wzc//cysK//hycD//metA//glpB//wzb//purD//patA//ynfE//dapB//purM//fbaB//dinB//phnI//pyrD//mhpF//gapA//lyxK//gcvP//lpxA//glk//chbF//pykF//cynS//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	ilvC//gatD//adhE//ynfG//
PspF_neg	
PspF_pos	entE//
PurR-hypoxanthine_neg	atoB//gltD//speB//glpB//napG//ydcS//pflB//hycE//cysE//dhaK//ilvC//astD//ampC//sucA//trpD//argA//mdh//bglB//hyaB//mhpB//hycC//uxuA//fadE//puuC//relA//fadA//
PutA_neg	torC//amn//
PuuR_neg	glgB//paaH//rsmH//cysK//mhpF//aspC//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	aldA//iscS//ldtD//wecB//pnp//
RcdA_neg	
RcdA_pos	cueO//
RclR_pos	
RcnR_neg	nrdE//
RcsAB_neg	aceA//
RcsAB_pos	bioD//pgaC//
RcsB-BglJ_pos	leuA//wzc//
RcsB-Pasp56_neg	mtlD//
RcsB-Pasp56_pos	trpA//hycB//dkgA//
RelB-RelE_neg	allD//
RelB_neg	gntK//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	hcaB//citD//ampC//pdeH//
Rob_neg	
Rob_pos	dgkA//kbaZ//nagB//mazG//pyrC//purH//guaB//aceB//dapD//tdcB//phnL//aroL//argE//idnK//ubiC//nirB//phnJ//ynfH//dkgA//
RstA-Phosphorylated_neg	aroH//thrS//
RstA-Phosphorylated_pos	fadI//
RtcR_pos	cysC//atoD//
RutR_neg	recD//recF//glsA//fau//uvrC//mhpB//sucB//acnB//ulaG//purD//
RutR_pos	glmU//
SdiA_neg	
SdiA_pos	
SgrR_neg	glpX//
SgrR_pos	uxaA//dapD//
SlyA_neg	
SlyA_pos	fucI//hyaC//metH//recF//lpxD//bglB//fucO//paaF//argC//
SoxR_neg	
SoxR_pos	tdcD//citD//cysD//fadA//phoA//glpD//
SoxS_neg	
SoxS_pos	sdhB//fabB//mltF//rbsD//rhaA//argF//cysN//mnmG//trpE//moaE//codA//bioB//gadB//alaC//pheS//gatZ//umuD//dhaL//pgaB//aspA//recF//folA//accD//entC//atoA//yqjH//rutA//eno//
SrlR_neg	tdcB//garK//ssuE//
StpA_neg	atoA//ygeA//asnA//
SutR_neg	ubiX//pgk//
SutR_pos	
TdcA_pos	ychF//hypB//yqjH//paaA//cysG//
TdcR_pos	hcaC//fbaB//gnd//dacC//cadA//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	ynfE//rutD//glpB//sgbU//
TorR-TorI_neg	garD//
TorR-TorI_pos	
TreR_neg	rimK//lacZ//
TrpR-tryptophan_neg	gutQ//fadA//uxuB//puuB//glcD//paaZ//argE//thrS//ycjG//
TyrR-phenylalanine_neg	cysC//fbaA//
TyrR-phenylalanine_pos	malY//
TyrR-tyrosine_neg	wzc//fumC//gcvH//gcl//cysH//nanM//
TyrR-tyrosine_pos	gatD//ruvA//
TyrR_neg	caiC//
TyrR_pos	bacA//
UhpA-Phosphorylated_pos	puuA//
UidR_neg	acnB//glpQ//
UlaR_neg	atoD//ldtD//ybjG//gatD//pflB//
UvrY-Phosphorylated_pos	folA//purL//
UxuR_neg	galE//allE//sgbU//tdcD//yedX//
XapR-xanthosine_pos	guaA//uvrC//
XylR-xylose_neg	
XylR-xylose_pos	rtcB//ppc//truB//
YdeO_neg	
YdeO_pos	metK//poxB//glmU//
YefM-YoeB_neg	metF//
YefM_neg	srlD//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	leuC//uvrC//yiaK//epd//malS//ppsA//
YjjQ_neg	aroF//gadB//
YpdB-Phosphorylated_pos	
YqhC_pos	dkgA//rfe//
YqjI_neg	frdD//
ZntR-Zn2_pos	argD//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	astB//
