# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	ynfH//dgkA//
HdfR_pos	
HigA_neg	purN//
HigB-HigA_neg	nanM//
HipAB_neg	acnA//ribA//
HipB_neg	pgk//entE//lhgO//
HprR-Phosphorylated_neg	amn//gabD//
HprR-Phosphorylated_pos	glgA//entC//
HyfR_pos	fbaA//
HypT-Met-oxidized_neg	entC//hypF//
HypT-Met-oxidized_pos	cynS//ubiA//mngB//glpX//glpA//
IclR-pyruvate_neg	ubiX//ung//idnK//
IdnR-5-ketogluconate_neg	umuC//uvrC//
IdnR-5-ketogluconate_pos	dmsA//serA//argE//
IlvY-2-acetolactate_pos	recF//
IlvY_neg	
IscR-2Fe-2S_neg	sdhA//yeaG//
IscR_neg	sdhA//rffT//tdcD//leuB//
IscR_pos	uxaB//rffC//
KdgR_neg	sucA//iscS//
KdpE-Phosphorylated_pos	gatD//
LacI_neg	cysJ//puuD//gadB//
LeuO_neg	
LeuO_pos	glnA//paaY//cysH//ddlB//argH//purK//
LexA_neg	ftsI//ugpQ//sucD//mhpA//purE//prpC//pheS//hycF//paaF//narH//trpB//astA//lacZ//lyxK//arsC//astE//pyrD//sgbH//purN//pncB//adiA//rffM//purM//
LldR-lactate_neg	aroH//nanK//
LldR-lactate_pos	napH//leuA//
LldR_neg	patA//thrS//
LldR_pos	entF//caiD//
LrhA_neg	
LrhA_pos	
LsrR_neg	ftnA//nfsB//paaG//phnJ//ldtB//
LysR_neg	
LysR_pos	uxaC//
MalI_neg	metC//allE//
MalT-maltotriose-ATP_pos	glk//putA//nrfA//citE//murQ//mhpC//
MarA_neg	nrdF//
MarA_pos	kbaY//napG//garL//purE//glpA//citC//lsrF//wecC//fadI//cysM//allC//guaA//dgkA//leuC//trpB//gabT//alkA//metB//cysM//entB//udp//ribA//hyaA//
MarR_neg	
MatA_neg	ulaE//
MatA_pos	
MazE-MazF_neg	pyrC//
MazE_neg	rffG//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	puuA//caiB//
MelR-melibiose_pos	nrfD//purD//
MelR_neg	pepD//ttdA//
MelR_pos	citD//pgm//
MetJ-adenosylmethionine_neg	gapA//aceA//mazG//arsC//mazG//dapB//hmp//hcaB//glk//uvrB//
MetR-L-homocysteine_neg	gabT//
MetR-L-homocysteine_pos	hemL//rbsD//
MetR_pos	asnA//katG//
MhpR-3HPP_pos	mhpF//aldA//dhaM//glpC//treC//hycE//
Mlc_neg	aroG//ldtC//araD//napA//
MlrA_pos	dapD//
MngR_neg	bioF//bacA//
MntR-Mn2_neg	pgi//
MntR-Mn2_pos	prpD//
ModE-MoO42-_neg	ttdA//pgi//thrS//oxc//fabI//paaA//ubiX//glk//
ModE-MoO42-_pos	glgC//purD//lacA//nrfA//aceA//lsrG//gdhA//cysM//rnpB//
MprA_neg	allD//rfe//poxB//
MqsA_neg	metC//nfsB//
MraZ_neg	ddlB//argG//fabB//malS//mpaA//alaS//rtcB//pgi//wrbA//purH//
MurR_neg	gabD//deoC//paaA//
MurR_pos	
Nac_neg	glmU//uxuA//sucA//
Nac_pos	rtcB//puuB//phnJ//moeA//fadB//purM//sgbE//paaI//
NadR_neg	nrfC//caiB//pck//oxc//
NagC_neg	purB//murC//lysC//sucC//cysD//ldtB//folA//uxaC//malZ//nanM//dhaL//lsrK//uvrC//glmS//ulaE//katG//phnP//cueO//
NagC_pos	aroG//malP//
NanR_neg	treC//purA//narH//speA//murQ//hcp//
NanR_pos	
NarL-Phosphorylated_neg	tnaA//deoC//purD//prpE//moaD//trpB//phnJ//purF//sucC//hcaD//allD//lysA//lhgO//ahpC//dgkA//srkA//ulaG//wecC//lacA//malQ//aceB//mtlD//astB//talA//wecB//narG//allC//puuA//
NarL-Phosphorylated_pos	mpl//ftnA//prpB//yeaG//ldtD//ynfH//pdeR//lpxD//puuB//pgk//mhpD//tpiA//paaJ//mraY//glpD//
NarP-Phosphorylated_neg	glk//mdh//polA//mdh//entD//
NarP-Phosphorylated_pos	purF//trpE//entC//gutQ//puuB//ssuD//mpl//pgi//ugpQ//fadE//prpC//sgbE//recD//phnP//
NemR_neg	frdD//fadI//
NhaR-Na_pos	rffT//yqjH//napG//umuC//torA//
NikR-Ni2_neg	glyA//
NimR_neg	ssuD//
NorR_neg	
NorR_pos	metE//
NrdR-Zn2_neg	ogt//wecC//uvrA//dinB//
NsrR_neg	bioA//nanE//araB//puuD//bioA//deoD//gdhA//cynT//gabT//nagA//tpiA//chbG//cysI//fumC//sodB//entB//narH//rffH//hmp//ndh//astD//ubiA//rfe//napH//rffG//polA//tam//pgaC//malS//hypF//betA//ynfG//adiA//paaF//fadA//deoD//dgcN//gudD//napA//tnaA//
NtrC-Phosphorylated_neg	rffT//alaS//
NtrC-Phosphorylated_pos	waaY//glyA//araD//dmsB//ulaE//murE//fadA//fbaA//pdeL//entE//tnaA//fabD//mhpB//srlD//carB//folE//moeA//fadH//moeA//oxc//leuD//
OmpR-Phosphorylated_neg	glgC//phnO//wecC//recF//carA//
OmpR-Phosphorylated_pos	tdcE//rutE//ugpQ//nadB//
OxyR_neg	mhpF//ubiX//ahpF//argA//rhaD//
OxyR_pos	garD//caiC//glcD//oxc//sucD//narH//purK//alaS//rffG//citC//phnM//recF//
PaaX_neg	gabT//slt//fadH//uxaC//edd//gutQ//aceB//waaH//dsdA//
PdeL_pos	alkB//
PdhR_neg	murE//pagP//arsC//asnA//pgpC//glgC//idnK//hemL//glcE//fabB//pgaB//moeB//gatZ//gcvT//hycD//fbaA//rffT//napB//ulaF//metE//trpB//pgk//sdhA//
PdhR_pos	garR//ahpF//
PepA_neg	pck//nanE//
PgrR_neg	metF//oxc//
PhoB-Phosphorylated_neg	paaK//ppsA//lpxD//nrdA//rsmH//
PhoB-Phosphorylated_pos	hcp//garL//glpK//speB//lhgO//rffT//malQ//deoD//glgA//fumB//allB//leuC//ppiA//tehB//metK//mltF//ppc//
PhoP-Phosphorylated_neg	wzc//hcaF//fadB//
PhoP-Phosphorylated_pos	astD//pgaB//paaB//dkgB//alsE//ydcS//garK//ulaF//rfe//cysK//allE//ynfE//acnA//chbF//gnd//torA//wzc//mltF//glpA//ychF//malQ//chbG//nadB//ybjG//hemL//gutQ//grxA//fumB//phnN//aroH//murG//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	garK//dgkA//gntK//frdC//
PspF_neg	
PspF_pos	phr//
PurR-hypoxanthine_neg	fucI//purD//fucA//gdhA//sdhC//aspA//yeaE//prs//napB//sodA//dsdA//rhaA//alaS//accA//fes//acnB//chbF//ampC//astB//sdhD//nirD//relA//chbF//cysH//ttdA//lpxC//
PutA_neg	leuA//folA//
PuuR_neg	dgcZ//glgB//metB//allB//glmS//sbcD//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	gltD//glgA//mazG//recB//murF//
RcdA_neg	
RcdA_pos	atoB//
RclR_pos	
RcnR_neg	ruvB//
RcsAB_neg	frdC//
RcsAB_pos	rhaD//psd//
RcsB-BglJ_pos	murQ//aroL//
RcsB-Pasp56_neg	pck//
RcsB-Pasp56_pos	purF//nanK//paaC//
RelB-RelE_neg	fruK//
RelB_neg	napH//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	glpC//ribA//thrS//sucA//
Rob_neg	
Rob_pos	rfe//cysM//srlD//ppc//ulaF//lsrF//tnaA//atoA//entH//rnpB//fabD//psd//rutA//ulaF//relA//carB//glpC//citC//carB//
RstA-Phosphorylated_neg	tdcD//fadE//
RstA-Phosphorylated_pos	ampC//
RtcR_pos	tdcB//hcaF//
RutR_neg	aroG//lpd//xylB//asnA//polA//frdC//nagB//paaG//hycD//pagP//
RutR_pos	hemH//
SdiA_neg	
SdiA_pos	
SgrR_neg	purM//
SgrR_pos	dgcZ//rffM//
SlyA_neg	
SlyA_pos	hyaC//paaB//moaA//paaF//cysH//pdeH//glcE//citE//bglB//
SoxR_neg	
SoxR_pos	rffM//cysN//argI//relA//ydcS//yedX//
SoxS_neg	
SoxS_pos	puuC//truB//araB//aroL//paaC//hyaB//dacC//entA//fabD//glpA//uvrA//hemH//glk//glcF//ttdB//pgm//nadB//moaA//pncB//guaA//pspE//ynfH//paaH//wecB//ttdB//rutE//rtcA//lacA//
SrlR_neg	gatZ//astB//citD//
StpA_neg	purE//glsA//idnO//
SutR_neg	dhaM//garD//
SutR_pos	
TdcA_pos	folA//nadA//treC//ldtD//alaS//
TdcR_pos	fabD//purL//moeA//paaC//sgbU//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	ssuD//tnaA//narG//fabH//
TorR-TorI_neg	accD//
TorR-TorI_pos	
TreR_neg	nrfC//aceA//
TrpR-tryptophan_neg	araB//dmsC//ubiX//lacZ//moeB//lysC//gabT//ycjG//treC//
TyrR-phenylalanine_neg	asnA//wecE//
TyrR-phenylalanine_pos	hypB//
TyrR-tyrosine_neg	speG//leuB//hycE//cysD//purD//fau//
TyrR-tyrosine_pos	gcvT//bioA//
TyrR_neg	aroL//
TyrR_pos	gntK//
UhpA-Phosphorylated_pos	frdD//
UidR_neg	metE//sdhC//
UlaR_neg	uvrB//nadA//cysD//fruK//ldtB//
UvrY-Phosphorylated_pos	fabH//glpB//
UxuR_neg	lldD//fumB//ychF//tadA//moaC//
XapR-xanthosine_pos	prs//phnN//
XylR-xylose_neg	
XylR-xylose_pos	cadA//hycB//gcvP//
YdeO_neg	
YdeO_pos	garL//cysC//ppc//
YefM-YoeB_neg	metB//
YefM_neg	nanE//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	fucI//astC//glpA//allA//prpC//phnH//
YjjQ_neg	glmU//fruK//
YpdB-Phosphorylated_pos	
YqhC_pos	napG//ahpC//
YqjI_neg	rutD//
ZntR-Zn2_pos	trpD//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	rutC//
