# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	gatY//sdhB//
Cra_neg	gdhA//nadA//leuD//recD//citF//uvrC//purM//bioD//epd//hcaE//tyrB//lldD//rtcB//pepD//pykF//glpA//glk//prpD//sbcD//dmsC//ldtD//fabD//allD//polA//arsC//nirD//pfkA//lysC//dgcC//malZ//ilvC//rffM//ddlB//alkB//fadA//waaY//bioF//citX//fadI//trpC//paaI//nfsB//glpQ//cueO//pheS//
Cra_pos	galM//folA//pgaC//astB//uxaA//nrfC//pgaC//nrfA//entF//atoD//wzc//murC//hycE//yeaG//glgC//dsdA//idnD//
CreB-Phosphorylated_neg	bacA//
CreB-Phosphorylated_pos	nfsB//
CsgD_neg	murQ//tktB//
CsgD_pos	wecE//murG//paaZ//
CsiR_neg	ynfG//hyi//ssuD//fumC//
CspA_pos	mhpC//
CueR-Cu_neg	frc//ynfG//entH//
CueR-Cu_pos	fadJ//hyaB//
CusR-Pasp_pos	torC//metL//argC//gpmA//
CynR-cyanate_pos	ssuD//gabD//ilvC//
CynR_neg	
CysB-O-acetyl-L-serine_neg	rutE//puuC//appA//
CysB-O-acetyl-L-serine_pos	rhaB//trpE//sufS//uxuA//sucA//ynfF//hemH//hmp//betB//speA//ldtC//nrdE//
CysB_neg	
CysB_pos	acnA//rtcB//
CytR_neg	deoB//pyrC//lpxD//polB//rutB//gltB//mhpB//gatZ//lpxD//cueO//
Dan-L-tartrate_pos	argB//waaY//
DcuR-Phosphorylated_pos	lsrG//glgC//xylB//murQ//
DeoR_neg	phnG//fruK//waaH//lsrK//hyaC//treC//
DhaR_neg	
DhaR_pos	glcF//
DicA_neg	
DinJ-YafQ_neg	tauD//
DnaA-ATP_neg	narI//nanE//metE//waaZ//prpC//
DnaA-ATP_pos	glcE//narH//hyaB//
DpiA-Pasp_neg	
DpiA-Pasp_pos	dkgA//murF//mhpB//ttdB//araA//
DsdC-D-serine_neg	
DsdC-D-serine_pos	cysG//cysC//
EbgR_neg	
EnvR_neg	gpmM//citD//
EnvY_pos	umpH//nrfA//
EvgA-Phosphorylated_pos	glk//fadD//rffG//nanA//glgX//fadD//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	puuE//paaF//gadA//hyi//allA//frdA//
FabR_neg	katE//allA//gapA//
FadR-acyl-CoA_pos	
FadR_neg	lsrG//rffT//nirB//uxuB//rbsK//aroG//purH//truB//rutD//
FadR_pos	mhpC//entD//tam//citX//glgA//yedX//napA//pyrC//folA//purA//
FeaR_pos	entA//lhgO//
FhlA-formate_pos	prpD//puuC//cysM//gdhA//nrdF//purA//trpD//phnM//
FlhDC_neg	entA//tnaA//
FlhDC_pos	ynfG//nrdF//katE//betA//argI//fucO//glpQ//iscS//purK//tdcD//rutD//udp//
FliZ_neg	fabB//pspE//mnmG//tam//frdD//
FucR-L-fuculose-1-P_pos	gcvT//aldA//pgk//tam//adhE//mtlD//
Fur-Fe2_neg	alaS//relA//allA//aspC//moaD//aldA//astB//paaE//allC//alsE//phnM//fabB//lpxA//allD//hyaB//argC//cysI//malP//metB//entH//glcE//edd//cysH//hyaC//garD//ynfE//nagB//glcD//paaK//glcE//ulaG//edd//betB//ychF//sgbU//alkB//hycE//tnaA//betB//fadI//tktB//tyrA//melA//nrdD//pfkA//edd//ycjG//asnB//allD//moaA//ruvA//dhaK//pncB//
Fur-Fe2_pos	pncB//napH//purH//uxaC//glpC//malP//phnL//rbsD//lysA//malQ//glgB//paaZ//ldtB//prpC//hypF//allD//
GadE-RcsB_pos	araA//ascB//araD//paaH//napH//
GadE_pos	ynfH//nrdE//rutC//rutB//argF//glgB//glpC//pepD//garD//cynT//
GadW_neg	lpxD//metC//metL//
GadW_pos	deoC//fadB//poxB//ldtC//
GadX_neg	nrdF//sucA//uxaC//
GadX_pos	umpH//glpX//talA//glgB//hmp//lacA//mltF//fucO//pheS//glgB//paaB//
GalR-beta-D-galactose_neg	uxuB//hycE//rffC//ldtB//frc//
GalR-beta-D-galactose_pos	fabI//paaA//tyrA//moaE//
GalR_neg	uidA//glcF//hcaD//patD//narH//ung//
GalR_pos	puuE//narG//torA//allB//
GalS-beta-D-galactose_neg	rutA//alkB//pgaD//cysH//glgA//
GalS-beta-D-galactose_pos	bioF//relA//kbaZ//phnO//
GalS_neg	caiD//mnmG//uvrC//mtlD//argE//nrdF//
GalS_pos	rnpB//purC//xylB//hcaB//
GatR_neg	fucU//ldtC//glmS//
GcvA_neg	sdhC//citE//ynfF//
GcvA_pos	lacZ//ndh//ccp//
GlcC-glycolate_neg	
GlcC-glycolate_pos	malZ//purD//pgk//
GlpR_neg	murI//ynfE//sodB//napH//moaD//prpE//lsrF//
GlrR-Pasp56_pos	
GntR_neg	gltD//gloA//murC//fadI//luxS//garK//glgB//polA//aroF//
GutM_pos	murE//rffM//ybjG//
HU_neg	araD//dgcN//citF//speA//udp//moeB//bioA//
HU_pos	
HcaR-HCA_pos	nirB//ung//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	phoA//
HigB-HigA_neg	ccp//
HipAB_neg	paaF//pyrC//
HipB_neg	ydcS//paaA//allC//
HprR-Phosphorylated_neg	galT//acnA//
HprR-Phosphorylated_pos	puuA//ynfH//
HyfR_pos	grxA//
HypT-Met-oxidized_neg	idnO//ygeA//
HypT-Met-oxidized_pos	bioF//fucA//argD//tdcG//nrfC//
IclR-pyruvate_neg	asnB//accD//gpmM//
IdnR-5-ketogluconate_neg	malS//sgbH//
IdnR-5-ketogluconate_pos	nrdF//phr//mhpF//
IlvY-2-acetolactate_pos	poxB//
IlvY_neg	
IscR-2Fe-2S_neg	glxR//entA//
IscR_neg	glxR//gatZ//glmU//phr//
IscR_pos	glgX//carB//
KdgR_neg	idnO//mhpD//
KdpE-Phosphorylated_pos	leuC//
LacI_neg	glpX//icd//wzb//
LeuO_neg	
LeuO_pos	mdh//moaC//tnaA//melA//pheS//moaD//
LexA_neg	aceB//paaG//dmsA//nanA//icd//rutB//gatD//murD//lsrK//araD//prpB//glpK//hcaE//ssuE//ybjG//fucU//deoB//dmsC//thrS//rhaD//argH//hcaD//dsdA//
LldR-lactate_neg	rfe//garR//
LldR-lactate_pos	dgkA//sdhD//
LldR_neg	gloA//ulaD//
LldR_pos	argC//argG//
LrhA_neg	
LrhA_pos	
LsrR_neg	prs//phnJ//glpB//puuE//napB//
LysR_neg	
LysR_pos	caiA//
MalI_neg	argI//ruvB//
MalT-maltotriose-ATP_pos	puuB//lldD//cadA//icd//aspA//galT//
MarA_neg	entD//
MarA_pos	fes//sufS//betB//fadI//bioB//dapD//sdhD//guaB//purM//glmU//narI//ynfE//nrfC//rffC//melA//rutD//acnB//deoB//tktB//allE//lysC//trpD//citG//
MarR_neg	
MatA_neg	nemA//
MatA_pos	
MazE-MazF_neg	sufS//
MazE_neg	nagA//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	nrfA//aceB//
MelR-melibiose_pos	zwf//acnB//
MelR_neg	trpD//nirB//
MelR_pos	nrdA//leuD//
MetJ-adenosylmethionine_neg	lsrF//aldA//hcaF//pflB//bioA//phnP//rutA//hcp//tam//recB//
MetR-L-homocysteine_neg	astD//
MetR-L-homocysteine_pos	entA//pyrD//
MetR_pos	hcp//rutB//
MhpR-3HPP_pos	allC//ppc//entD//ldtD//aroH//dapD//
Mlc_neg	phnI//paaY//nrfD//metA//
MlrA_pos	pyrC//
MngR_neg	cynS//idnK//
MntR-Mn2_neg	araD//
MntR-Mn2_pos	gltD//
ModE-MoO42-_neg	rutE//fucK//garD//pspE//dhaL//alkA//pgpC//trpE//
ModE-MoO42-_pos	deoA//lpxD//fbaB//katE//pgaC//hycE//accC//argI//xapA//
MprA_neg	malY//garL//argF//
MqsA_neg	purA//uidA//
MraZ_neg	phnJ//caiC//aceA//ribA//argA//trpD//cysN//patD//allD//betB//
MurR_neg	allB//alaS//murG//
MurR_pos	
Nac_neg	uvrC//amn//codA//
Nac_pos	sdhA//psd//tdcE//ssuD//gcl//dacC//ftsI//cysH//
NadR_neg	cyoE//murD//lsrG//lldD//
NagC_neg	alaC//ftnA//atoD//mdh//tyrA//allA//cysG//tadA//ugpQ//yfdE//hcaD//arsC//atoA//gcvP//folA//paaJ//glmU//paaG//
NagC_pos	ahpF//phnP//
NanR_neg	leuA//sbcD//purF//pncB//glpK//argA//
NanR_pos	
NarL-Phosphorylated_neg	idnK//ruvA//yedX//hemH//fadE//fabZ//caiA//rhaD//glyA//pspE//aspA//rpiB//rhaB//ppsA//uxaC//argI//entB//rffH//cysH//katE//garD//hcp//napA//prs//gdhA//purC//mtlD//tdcD//
NarL-Phosphorylated_pos	pdeR//lsrF//ppc//tnaA//ampC//allE//dapD//moaC//hemH//paaJ//ppiA//sucA//uxaB//putA//pgi//
NarP-Phosphorylated_neg	malS//gcvT//rffT//gloA//eno//
NarP-Phosphorylated_pos	pflB//sucD//rffM//uxuA//ubiC//phnM//glyA//glnA//ilvC//entA//uxaA//ttdB//katE//paaC//
NemR_neg	dgcZ//udp//
NhaR-Na_pos	deoB//ugpQ//murF//dapD//mazG//
NikR-Ni2_neg	nanE//
NimR_neg	glpA//
NorR_neg	
NorR_pos	fabB//
NrdR-Zn2_neg	mhpF//eda//nanM//mraY//
NsrR_neg	hemL//purK//bioC//mhpD//lysA//speG//aldA//fdhF//paaF//tdcE//yfdE//allA//mhpF//relA//ndh//glpD//ruvA//bioC//lsrK//rbsD//tehB//cysD//pyrD//bioC//argG//hyaA//hcp//serA//glmS//garR//fbaA//betB//argC//hcaD//deoB//poxB//sucA//polA//dmsA//dapB//
NtrC-Phosphorylated_neg	uvrA//gpmA//
NtrC-Phosphorylated_pos	tdcB//ulaE//cysC//allE//glgP//paaH//tdcE//mhpA//idnK//aceA//nadA//dhaM//paaC//fucA//yeaG//hycE//uvrB//wzb//ftsI//puuC//rfe//
OmpR-Phosphorylated_neg	alaC//mnmG//guaA//tam//srkA//
OmpR-Phosphorylated_pos	ynfH//gadA//glnA//fucO//
OxyR_neg	allD//ppiA//moaE//acnA//hycD//
OxyR_pos	paaI//melA//hcaB//oxc//trpE//glmS//guaA//frc//deoA//fabG//mtlD//dapD//
PaaX_neg	phr//gapA//ldtB//gcvH//frdA//dhaK//citE//sufS//metA//
PdeL_pos	garL//
PdhR_neg	cdd//idnO//fabD//lpd//truB//recF//nanK//puuE//cueO//putA//pyrD//bglB//tauD//dacC//fabI//cysN//entE//aspA//ulaG//citG//glpQ//hemL//caiB//
PdhR_pos	glcF//dacC//
PepA_neg	metK//glcF//
PgrR_neg	ynfG//nadB//
PhoB-Phosphorylated_neg	patA//gloA//umuC//bglB//cynS//
PhoB-Phosphorylated_pos	edd//tynA//metF//hyaA//argD//allC//frdB//rbsD//ogt//puuC//prs//purN//tehB//dgcN//trpD//pgaB//appA//
PhoP-Phosphorylated_neg	allB//sgbE//glgP//
PhoP-Phosphorylated_pos	fadJ//sgbE//moaA//atoA//lpxA//paaZ//argH//narH//gnd//puuD//nrdB//nrdF//dgcC//zwf//umuD//amn//fabH//puuE//puuE//ascB//hmp//pgi//entF//pgaD//cueO//alkA//guaA//fadB//ldtC//tdcE//rutE//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	glgA//fadA//sucC//pspE//
PspF_neg	
PspF_pos	dapB//
PurR-hypoxanthine_neg	pgi//uvrA//lyxK//fadB//sgbU//frdB//puuE//aroL//pdeL//ubiX//ribA//trpA//trpE//dgkA//sgbE//cysM//glgX//speB//hycB//garR//rimK//deoC//gor//glpB//sucA//ndh//
PutA_neg	hcaC//cysN//
PuuR_neg	ttdB//aroF//puuD//deoB//idnK//gdhA//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	deoA//purC//ahpF//pgaD//katE//
RcdA_neg	
RcdA_pos	yiaK//
RclR_pos	
RcnR_neg	tauD//
RcsAB_neg	dgkA//
RcsAB_pos	uvrA//gcvH//
RcsB-BglJ_pos	cysI//fucI//
RcsB-Pasp56_neg	argB//
RcsB-Pasp56_pos	pdeH//purN//nemA//
RelB-RelE_neg	entE//
RelB_neg	gltB//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	fumB//pgk//glsA//uvrA//
Rob_neg	
Rob_pos	guaB//srlD//pncB//folA//fucK//napA//trpD//bioB//purL//gutQ//sodA//pck//gdhA//frdD//rbsK//guaA//napH//tdcB//cysJ//
RstA-Phosphorylated_neg	pflB//wecB//
RstA-Phosphorylated_pos	uxuB//
RtcR_pos	metL//icd//
RutR_neg	pflB//garL//garR//caiB//lsrK//ydcS//mnmG//dsdA//glcE//lhgO//
RutR_pos	galE//
SdiA_neg	
SdiA_pos	
SgrR_neg	wzc//
SgrR_pos	sucB//arsC//
SlyA_neg	
SlyA_pos	hyaC//eno//epd//araD//hycB//glgA//ydcS//puuA//uxuA//
SoxR_neg	
SoxR_pos	recF//hcaD//murI//astC//appA//recD//
SoxS_neg	
SoxS_pos	hyaC//paaC//pncB//murC//deoB//argE//tauD//cysK//paaF//hemL//sdhA//ogt//murG//pdeR//napB//nrdF//uxuA//atoB//ppc//sucA//nfsB//ndh//folE//amn//murC//nrdE//napH//paaF//
SrlR_neg	hcaE//hcaC//ynfH//
StpA_neg	cysC//metK//rutD//
SutR_neg	galM//nanK//
SutR_pos	
TdcA_pos	napA//accC//moeB//aceF//cysE//
TdcR_pos	gatD//ttdA//glcD//ssuE//tadA//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	rutD//yeaG//tyrA//mtlD//
TorR-TorI_neg	entD//
TorR-TorI_pos	
TreR_neg	glgP//fadE//
TrpR-tryptophan_neg	metA//glmU//argI//folE//carA//aroF//gltB//yqjH//yqhD//
TyrR-phenylalanine_neg	tnaA//paaE//
TyrR-phenylalanine_pos	entD//
TyrR-tyrosine_neg	citF//srkA//glxR//fabB//lacA//ilvC//
TyrR-tyrosine_pos	paaH//glmU//
TyrR_neg	glcD//
TyrR_pos	metL//
UhpA-Phosphorylated_pos	dkgB//
UidR_neg	gatD//ldtB//
UlaR_neg	garR//argD//metK//speG//cueO//
UvrY-Phosphorylated_pos	deoC//metK//
UxuR_neg	ccp//pgaC//galK//melA//lyxK//
XapR-xanthosine_pos	frdD//wrbA//
XylR-xylose_neg	
XylR-xylose_pos	dapD//hycG//argF//
YdeO_neg	
YdeO_pos	fruK//ccp//sucB//
YefM-YoeB_neg	codA//
YefM_neg	fadM//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	sdhA//caiD//ldtD//entB//fucU//paaG//
YjjQ_neg	leuB//cynS//
YpdB-Phosphorylated_pos	
YqhC_pos	sodA//rutD//
YqjI_neg	fadE//
ZntR-Zn2_pos	wrbA//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	luxS//
