# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	accC//pgaC//
LldR-lactate_pos	tyrB//pyrD//
LldR_neg	nrdA//phnO//
LldR_pos	mhpE//paaA//
LrhA_neg	
LrhA_pos	
LsrR_neg	pspE//hcaC//hcaC//pheS//katE//
LysR_neg	
LysR_pos	ubiC//
MalI_neg	slt//glpD//
MalT-maltotriose-ATP_pos	argF//lyxK//fucO//puuD//narI//leuB//
MarA_neg	cysC//
MarA_pos	puuA//ynfH//ynfH//pepD//hycB//deoC//betA//argF//pspE//rutC//idnD//rutD//bioA//uxuA//sucB//hypB//ssuD//gdhA//araA//nfsA//garK//rffM//yedX//
MarR_neg	
MatA_neg	yiaK//
MatA_pos	
MazE-MazF_neg	tadA//
MazE_neg	hcaE//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	metB//bglB//
MelR-melibiose_pos	paaC//aroL//
MelR_neg	moeA//nrdD//
MelR_pos	tauD//metE//
MetJ-adenosylmethionine_neg	alsE//dapD//uxaB//dsdA//mltF//rhaB//tehB//aceE//metA//paaC//
MetR-L-homocysteine_neg	umuC//
MetR-L-homocysteine_pos	moaE//yfdE//
MetR_pos	pheS//glpA//
MhpR-3HPP_pos	amn//guaB//pdeR//frdC//lacA//tyrA//
Mlc_neg	acnA//ldtC//allE//purA//
MlrA_pos	hemH//
MngR_neg	sucB//garD//
MntR-Mn2_neg	fadB//
MntR-Mn2_pos	murG//
ModE-MoO42-_neg	sbcC//caiA//galT//trpD//lsrF//puuA//sgbH//xylB//
ModE-MoO42-_pos	ldtC//puuD//uxaB//fadE//glnA//pdeR//cyoE//umpH//bioA//
MprA_neg	nirB//dinB//pfkA//
MqsA_neg	galT//glgC//
MraZ_neg	gdhA//cyoE//ndh//thrS//phnG//nagA//dkgA//gpmA//gcl//uidA//
MurR_neg	mhpB//ulaF//napB//
MurR_pos	
Nac_neg	trpD//purF//mhpF//
Nac_pos	argD//cysN//tktB//allC//hyi//ung//cysG//gudD//
NadR_neg	moaE//tynA//pspE//paaA//
NagC_neg	hcaD//rimK//sgbH//sdhD//cysD//yedX//prpE//ndh//cysG//guaB//aroF//eno//entF//accD//fbaB//metF//nrfA//leuB//
NagC_pos	citC//rbsK//
NanR_neg	moaE//argF//ruvA//idnO//frdB//mhpE//
NanR_pos	
NarL-Phosphorylated_neg	malS//sdhA//aspC//metE//aspA//phnP//pdeH//ribA//dmsB//ppc//edd//pyrC//sdhC//mdh//citF//glxR//ndh//luxS//dsdA//ygeA//citC//ubiC//ugpQ//fabH//pgm//xapA//purC//galM//
NarL-Phosphorylated_pos	glgX//purE//dhaM//hmp//glmS//recD//aroH//gdhA//gadB//entD//astB//purA//ubiX//ynfF//accD//
NarP-Phosphorylated_neg	aceA//moaC//rffM//narI//fadI//
NarP-Phosphorylated_pos	gdhA//gloA//sucA//paaJ//lpxA//metK//rfe//fucI//fruK//sbcC//metA//glcF//phnN//fucO//
NemR_neg	fabZ//entD//
NhaR-Na_pos	codA//argG//trpE//pyrC//rffH//
NikR-Ni2_neg	entB//
NimR_neg	cadA//
NorR_neg	
NorR_pos	astE//
NrdR-Zn2_neg	ulaF//malY//glpK//wzb//
NsrR_neg	hyaB//nrdA//lysC//hcaE//wzc//carA//phnO//astE//sbcC//rffC//wzc//dgcN//citC//ahpF//dhaK//appA//appA//hyi//mhpD//sbcC//araD//chbF//melA//fadB//rhaA//pck//lysA//mpl//allC//eno//nrfA//caiB//ogt//waaH//aceF//nemA//gdhA//kbaY//mtlD//alaC//
NtrC-Phosphorylated_neg	idnO//mpaA//
NtrC-Phosphorylated_pos	argD//nemA//citE//entC//tpiA//tam//glyA//bioC//pspE//pgpC//glxK//speA//metL//aroF//paaH//rffT//phnJ//ynfG//ulaF//lpd//wecB//
OmpR-Phosphorylated_neg	cysG//caiB//ssuD//aroG//metH//
OmpR-Phosphorylated_pos	pagP//ldtC//paaH//argE//
OxyR_neg	purB//dgcN//frdA//garK//frdC//
OxyR_pos	pheS//hcaC//cysN//pdeH//bacA//napG//nemA//tauD//hypF//rhaD//caiA//serA//
PaaX_neg	pagP//trpA//entC//moeA//metH//kbaZ//sucA//nrdF//glpC//
PdeL_pos	pyrD//
PdhR_neg	moeB//entE//cadA//rtcA//pepD//glgC//cysC//yiaK//entC//acnB//glcB//argG//uxuB//frdA//gcl//aceB//polA//ruvB//talA//rffH//prs//entF//frdB//
PdhR_pos	putA//fabD//
PepA_neg	nanK//lldD//
PgrR_neg	purB//hcaF//
PhoB-Phosphorylated_neg	rutC//purL//phnL//torC//aceB//
PhoB-Phosphorylated_pos	ogt//sdhD//pykF//dinB//frdD//aceA//nirD//wzc//edd//lldD//hycD//gnd//bioD//recB//tauD//hypF//fabG//
PhoP-Phosphorylated_neg	epd//gatZ//uxuA//
PhoP-Phosphorylated_pos	hycF//hemL//uxuA//entH//glpA//yedX//atoD//tdcB//gdhA//purC//moeB//fucA//wecC//mpaA//yiaK//uxuA//mnmG//allD//fabI//caiD//fadI//trpA//hmp//gltB//ldtB//hyaC//napH//ilvC//cdd//dmsA//metA//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	pdeR//glpA//cysK//acnA//
PspF_neg	
PspF_pos	dmsC//
PurR-hypoxanthine_neg	paaJ//glnA//tyrA//nrfD//rffT//speA//glcB//aceF//umuD//carB//purN//mhpE//cysI//frc//garL//gltB//leuC//cueO//puuD//malQ//gabT//aroH//rffT//lysC//rutE//aroH//
PutA_neg	gltD//nrdE//
PuuR_neg	phr//fadI//deoB//purF//hemL//gabD//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	tyrA//glcE//metC//metH//phnG//
RcdA_neg	
RcdA_pos	idnO//
RclR_pos	
RcnR_neg	aspC//
RcsAB_neg	moaD//
RcsAB_pos	fadD//glpC//
RcsB-BglJ_pos	bioF//gadA//
RcsB-Pasp56_neg	sgbE//
RcsB-Pasp56_pos	ung//astD//fadE//
RelB-RelE_neg	accA//
RelB_neg	cadA//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	dmsA//oxc//purA//acnB//
Rob_neg	
Rob_pos	glpA//katG//accC//wecB//ydcS//oxc//lpxA//hcp//trpB//gapA//rbsK//glpA//patD//treC//dmsB//sgbU//paaI//mnmG//wecE//
RstA-Phosphorylated_neg	sbcC//phnO//
RstA-Phosphorylated_pos	murG//
RtcR_pos	eno//deoD//
RutR_neg	metC//sdhD//icd//nanE//lhgO//hypB//edd//dhaK//torC//rtcA//
RutR_pos	gpmA//
SdiA_neg	
SdiA_pos	
SgrR_neg	glgP//
SgrR_pos	citC//hyi//
SlyA_neg	
SlyA_pos	gcvT//metC//luxS//frdD//chbG//paaE//gltD//rutB//hcaE//
SoxR_neg	
SoxR_pos	chbF//wzb//pheS//purC//pck//rutB//
SoxS_neg	
SoxS_pos	bacA//tdcB//edd//mhpE//metB//putA//glmS//hcp//cyoE//glcF//accD//argA//speG//citC//malY//argH//eda//citX//rbsK//pspE//bioD//rsmH//gltD//glpD//phnJ//rutC//dsdA//glgX//
SrlR_neg	oxc//rhaA//lsrF//
StpA_neg	pepD//wecC//garK//
SutR_neg	mhpD//leuC//
SutR_pos	
TdcA_pos	alkA//moaE//paaJ//umpH//ppsA//
TdcR_pos	moeB//alkA//malS//ygeA//lsrG//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	pck//mtlD//fabI//patD//
TorR-TorI_neg	sdhC//
TorR-TorI_pos	
TreR_neg	malQ//phoA//
TrpR-tryptophan_neg	yiaK//sgbE//ulaE//carB//uvrC//lldD//fabH//entA//hcaC//
TyrR-phenylalanine_neg	gutQ//feaB//
TyrR-phenylalanine_pos	nfsB//
TyrR-tyrosine_neg	murF//fucU//hycB//fabA//cysJ//rutD//
TyrR-tyrosine_pos	fbaA//pdeH//
TyrR_neg	gadB//
TyrR_pos	glcD//
UhpA-Phosphorylated_pos	glgC//
UidR_neg	nrdA//hcaC//
UlaR_neg	murD//alkB//sdhC//sucA//ubiX//
UvrY-Phosphorylated_pos	argD//phnJ//
UxuR_neg	ynfF//wzb//ynfG//katG//sbcD//
XapR-xanthosine_pos	codA//deoD//
XylR-xylose_neg	
XylR-xylose_pos	xapA//hcaC//gcvH//
YdeO_neg	
YdeO_pos	paaY//ubiX//uxaC//
YefM-YoeB_neg	dinB//
YefM_neg	glyA//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	pgpC//lhgO//purM//mhpD//psd//hycG//
YjjQ_neg	purH//dsdA//
YpdB-Phosphorylated_pos	
YqhC_pos	edd//cysC//
YqjI_neg	phnN//
ZntR-Zn2_pos	astC//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	betA//
