# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	purF//paaH//
CecR_neg	cynT//
ChbR-N-monoacetylchitobiose6-phosphate_neg	nfsA//guaB//dmsC//
ChbR-N-monoacetylchitobiose6-phosphate_pos	srkA//gntK//feaB//
ChbR_neg	glmS//fucO//dgcZ//
ChbR_pos	ynfF//phnO//prpB//
ComR_neg	
CpxR-Phosphorylated_neg	grxA//galT//phnL//
CpxR-Phosphorylated_pos	glgC//ynfF//wrbA//fadB//galT//gabT//srkA//ada//entF//napG//umuD//nrfD//ttdB//cysD//lpxC//moaE//fadB//ubiA//
Cra_neg	ung//glgX//ttdA//pgaB//dgcN//mdh//leuD//ascB//yiaK//puuA//lacZ//paaH//garD//ssuE//fes//bioC//frc//mngB//metK//nanK//pdeH//alaS//accA//mpaA//metE//ycjG//rhaB//paaE//waaZ//hycD//citE//pgaC//aceB//lysA//garK//alkB//murE//pheT//astE//caiA//dmsA//rutE//kbaZ//argI//bioD//
Cra_pos	bglB//ppsA//phr//purB//gapA//leuA//dhaK//edd//sucD//wecB//recD//nadA//bioC//lhgO//icd//wecE//uxaA//
CreB-Phosphorylated_neg	phnL//
CreB-Phosphorylated_pos	nrfD//
CsgD_neg	narG//atoA//
CsgD_pos	napB//nfsB//lpxD//
CsiR_neg	udp//napA//aspC//waaZ//
CspA_pos	polA//
CueR-Cu_neg	frc//fucO//paaA//
CueR-Cu_pos	allB//ftnA//
CusR-Pasp_pos	lsrK//paaZ//gor//polB//
CynR-cyanate_pos	rffH//ydcS//frc//
CynR_neg	
CysB-O-acetyl-L-serine_neg	pnp//rsmH//fadH//
CysB-O-acetyl-L-serine_pos	fumB//mngB//lpxA//betB//malZ//sucC//asnB//melA//rhaD//fumB//appA//fabH//
CysB_neg	
CysB_pos	ygeA//garR//
CytR_neg	uxaC//phnG//uvrA//aldA//lsrF//uidA//murG//paaZ//citX//entC//
Dan-L-tartrate_pos	glmU//entD//
DcuR-Phosphorylated_pos	waaH//uvrB//fadE//hyaC//
DeoR_neg	prpB//cueO//fucA//aceE//caiB//cysN//
DhaR_neg	
DhaR_pos	dkgB//
DicA_neg	
DinJ-YafQ_neg	aroG//
DnaA-ATP_neg	acnA//argD//fadB//entE//bacA//
DnaA-ATP_pos	hcaC//caiC//glpD//
DpiA-Pasp_neg	
DpiA-Pasp_pos	appA//folA//gatD//yeaE//zwf//
DsdC-D-serine_neg	
DsdC-D-serine_pos	bacA//pgk//
EbgR_neg	
EnvR_neg	acnA//fucU//
EnvY_pos	metE//rhaA//
EvgA-Phosphorylated_pos	metB//entF//fucI//hcaC//allE//glpC//
ExuR-alpha-D-galacturonate_neg	
ExuR_neg	malP//aceA//yqjH//yeaE//ampC//fadB//
FabR_neg	phnL//fucA//entE//
FadR-acyl-CoA_pos	
FadR_neg	sucC//pgm//fes//rffM//garD//aroL//gloA//nfsB//xylB//
FadR_pos	lhgO//chbG//astA//yedX//guaB//tdcE//phnP//garL//prpE//caiB//
FeaR_pos	umuD//cynS//
FhlA-formate_pos	waaZ//pgk//srkA//mltF//pck//phnG//frc//phnI//
FlhDC_neg	lpxD//sucC//
FlhDC_pos	cysE//nanE//ynfF//cynT//trpC//grxA//glsA//glcF//moaA//serA//tdcB//cysM//
FliZ_neg	astB//mhpB//ahpC//ldtB//astD//
FucR-L-fuculose-1-P_pos	garK//bioC//pfkA//phr//nrdD//yfdE//
Fur-Fe2_neg	dapD//polA//hyaB//purM//leuA//dhaK//ppc//wecE//glcB//glpA//gudD//prpC//speB//nrdA//pgpC//bioD//ldtC//sgbE//sucB//fabB//srlD//ubiC//ulaD//pyrD//uxuB//galK//mhpD//nanM//garD//galM//lyxK//rtcA//paaB//paaG//hyaB//ulaG//aceB//metH//amn//lpxA//argE//aroH//putA//pgaC//astA//paaZ//hycB//yeaE//sdhD//fruK//murQ//tam//glyA//
Fur-Fe2_pos	tyrB//appA//lacA//pdeR//prpE//ulaF//napG//alkB//glsA//betA//uvrA//putA//paaE//trpE//xylA//dkgA//
GadE-RcsB_pos	metK//astD//rsmH//mhpC//tyrB//
GadE_pos	accC//ubiX//purH//mnmG//phnI//araB//lpxC//ubiC//cueO//phnH//
GadW_neg	rnpB//prs//bioF//
GadW_pos	fabI//glgB//purH//ascB//
GadX_neg	yqhD//paaB//yeaE//
GadX_pos	argG//moaE//glxK//dgcC//glmU//aroG//hcaE//garD//moaA//cysM//araB//
GalR-beta-D-galactose_neg	ribA//purK//rbsK//araA//tdcG//
GalR-beta-D-galactose_pos	yqhD//caiB//tdcD//lsrF//
GalR_neg	glyA//slt//rutE//hcaE//mhpD//glsA//
GalR_pos	uvrC//sdhA//dgcN//speB//
GalS-beta-D-galactose_neg	rbsK//argC//narG//glpC//purK//
GalS-beta-D-galactose_pos	recB//entD//prpB//patD//
GalS_neg	allD//ttdA//ychF//sgbE//mpaA//aceE//
GalS_pos	fadE//gadB//glpX//hycG//
GatR_neg	tyrA//metE//galK//
GcvA_neg	uxaC//accC//glyA//
GcvA_pos	ynfH//murF//glyA//
GlcC-glycolate_neg	
GlcC-glycolate_pos	torA//argD//paaC//
GlpR_neg	lacZ//icd//prpD//phnO//citX//torC//fadJ//
GlrR-Pasp56_pos	
GntR_neg	hyaB//rhaB//ndh//aceF//lldD//patD//paaZ//aroL//hcaB//
GutM_pos	rbsK//pdeR//purK//
HU_neg	glmU//ruvB//mhpD//pgaD//xapA//gcvT//fadE//
HU_pos	
HcaR-HCA_pos	garD//nagB//
HcaR_neg	
HdfR_neg	
HdfR_pos	
HigA_neg	malY//
HigB-HigA_neg	metB//
HipAB_neg	tnaA//garD//
HipB_neg	betB//leuD//pyrD//
HprR-Phosphorylated_neg	cysI//mhpF//
HprR-Phosphorylated_pos	gadB//rbsD//
HyfR_pos	bglB//
HypT-Met-oxidized_neg	hyaB//katG//
HypT-Met-oxidized_pos	sucB//tyrB//glyA//nfsB//purE//
IclR-pyruvate_neg	acnB//dmsB//uidA//
IdnR-5-ketogluconate_neg	accA//entE//
IdnR-5-ketogluconate_pos	ppc//napA//bioF//
IlvY-2-acetolactate_pos	allB//
IlvY_neg	
IscR-2Fe-2S_neg	malP//tehB//
IscR_neg	appA//sgbU//ada//cadA//
IscR_pos	hycB//paaB//
KdgR_neg	ldtD//gdhA//
KdpE-Phosphorylated_pos	gabT//
LacI_neg	moaA//rnpB//purN//
LeuO_neg	
LeuO_pos	sufS//patA//atoB//glpA//nanA//metE//
LexA_neg	nrdA//pyrC//aspC//hcaE//mhpC//fucO//polA//purK//tktB//zwf//gcvT//moeA//fbaB//metL//ygeA//dmsC//rffH//gdhA//napB//umpH//aceB//ssuD//lpxC//
LldR-lactate_neg	fadM//talA//
LldR-lactate_pos	ttdB//allA//
LldR_neg	umuC//katG//
LldR_pos	gntK//allE//
LrhA_neg	
LrhA_pos	
LsrR_neg	srlD//dkgA//dmsC//sgbE//chbF//
LysR_neg	
LysR_pos	frdD//
MalI_neg	sucA//wrbA//
MalT-maltotriose-ATP_pos	rhaA//moeA//cynT//fadJ//uxaA//glyA//
MarA_neg	fucI//
MarA_pos	bglB//tktB//uxaC//ugpQ//citG//pdeH//tauD//glcE//xylB//lldD//purD//talA//phnP//ttdA//ruvA//waaH//pfkA//hycD//purB//glgX//tdcE//frc//narG//
MarR_neg	
MatA_neg	ydcS//
MatA_pos	
MazE-MazF_neg	bacA//
MazE_neg	gabD//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	cysM//malQ//
MelR-melibiose_pos	gadA//ygeA//
MelR_neg	tnaA//purF//
MelR_pos	trpA//entB//
MetJ-adenosylmethionine_neg	gadA//malS//ccp//nrdA//dapB//puuD//hcaF//purN//deoB//lhgO//
MetR-L-homocysteine_neg	ilvC//
MetR-L-homocysteine_pos	pdeR//tpiA//
MetR_pos	cynS//codA//
MhpR-3HPP_pos	trpD//fucU//uvrA//pfkA//metA//paaG//
Mlc_neg	mazG//murQ//frdA//fabB//
MlrA_pos	srkA//
MngR_neg	dkgA//tyrA//
MntR-Mn2_neg	rsmH//
MntR-Mn2_pos	mhpC//
ModE-MoO42-_neg	nanM//gcl//pnp//fumC//phnP//gntK//gabD//prpD//
ModE-MoO42-_pos	gatZ//prpD//uxaC//nrdE//astE//sdhB//caiC//appA//ulaG//
MprA_neg	nrdA//paaH//gdhA//
MqsA_neg	leuA//mazG//
MraZ_neg	pfkA//aroH//folA//puuE//purL//srkA//metC//argF//kbaZ//entA//
MurR_neg	polB//yeaG//paaA//
MurR_pos	
Nac_neg	lpxC//hycF//fadJ//
Nac_pos	rhaB//mpaA//prpB//phnP//ftnA//nrdE//poxB//pdeL//
NadR_neg	cynT//mhpE//ubiA//fucO//
NagC_neg	treC//prs//fumC//recD//argI//cysK//bioC//nanM//bioF//ugpQ//alaC//araB//glgX//dgkA//hmp//recB//pgaB//mnmG//
NagC_pos	aroG//sucC//
NanR_neg	gcvP//phnN//galE//cysK//katE//ampC//
NanR_pos	
NarL-Phosphorylated_neg	thrS//garL//nemA//cysJ//luxS//deoD//gcl//tdcE//rpiB//sgbH//metB//yeaG//relA//ftnA//ulaD//glpB//malQ//astE//prs//fabI//eno//entC//cyoE//napH//garL//ttdB//xylB//sucB//
NarL-Phosphorylated_pos	hycF//murF//ftnA//ugpQ//aceA//nanE//rutE//glgP//moeA//dhaL//tnaA//accD//appA//aceF//mhpA//
NarP-Phosphorylated_neg	phnN//uxaC//pgm//lacA//trpE//
NarP-Phosphorylated_pos	glxK//fadI//mtlD//paaZ//pheT//metE//fabB//uvrA//xapA//bioB//amn//epd//gadA//pdeR//
NemR_neg	cueO//argB//
NhaR-Na_pos	paaY//lyxK//fabA//hycG//puuB//
NikR-Ni2_neg	yiaK//
NimR_neg	paaH//
NorR_neg	
NorR_pos	glgA//
NrdR-Zn2_neg	sucD//nrfC//glxK//nadA//
NsrR_neg	ynfH//wecC//glcB//entC//hycD//alaC//fabH//fadA//gatZ//sucB//ssuD//trpA//argC//garD//sufS//lldD//wzb//frdC//argG//glgC//glpB//glyA//mtlD//gdhA//pspE//atoB//sodA//fumB//accA//gadA//melA//napH//ppc//kbaY//napG//yfdE//phnH//puuB//narG//leuC//
NtrC-Phosphorylated_neg	fadH//fabD//
NtrC-Phosphorylated_pos	oxc//prs//gatD//pgaB//alaS//ppsA//fdhF//codA//hypB//lsrG//glcB//gcl//cynT//tdcB//trpA//ung//srkA//ssuE//prs//acnA//uxaA//
OmpR-Phosphorylated_neg	ynfH//astB//grxA//araB//ung//
OmpR-Phosphorylated_pos	ahpC//pepD//codA//phoA//
OxyR_neg	glsA//rhaD//astD//pagP//sucB//
OxyR_pos	gabD//nfsA//araA//hcaB//rtcB//dgcC//purK//ppsA//prpE//glxK//lpxA//paaB//
PaaX_neg	folE//purB//aceB//dmsA//allE//srlD//polB//araD//chbG//
PdeL_pos	acnB//
PdhR_neg	yqhD//trpE//ulaD//puuC//guaB//ada//fdhF//citD//phnH//frc//rfe//cadA//ftsI//phoA//srkA//ldtB//fadH//ycjG//ung//garL//lacA//dgcZ//sucC//
PdhR_pos	ahpC//mraY//
PepA_neg	mazG//rffH//
PgrR_neg	waaZ//argG//
PhoB-Phosphorylated_neg	lpxC//cysD//purM//yqhD//ynfE//
PhoB-Phosphorylated_pos	hycC//fadH//astC//hycB//rnpB//pncB//fucI//yeaG//lsrF//astD//caiA//araB//purA//pyrD//amn//pspE//alaS//
PhoP-Phosphorylated_neg	cyoE//putA//argC//
PhoP-Phosphorylated_pos	araB//glpK//waaY//accD//aldA//ruvA//udp//pfkA//lpd//zwf//ynfH//uvrB//ttdB//xapA//acnB//purM//rhaB//cynS//ldtB//uxaB//waaH//speB//uxuB//mnmG//pepD//argG//gntK//moeB//sucA//ascB//alaS//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	tam//rutD//nadB//dhaK//
PspF_neg	
PspF_pos	nanE//
PurR-hypoxanthine_neg	sucB//napB//argE//puuD//thrS//fabH//leuD//betB//paaA//glcF//glpA//xylB//ddlB//sdhA//dmsC//hcaD//rutB//pgi//mhpA//sdhA//uidA//carB//gabT//amn//tauD//wecC//
PutA_neg	araA//xapA//
PuuR_neg	folA//putA//fabB//ruvA//yiaK//udp//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	nrdF//ilvC//fucK//nagA//nrfC//
RcdA_neg	
RcdA_pos	adhE//
RclR_pos	
RcnR_neg	fadA//
RcsAB_neg	paaK//
RcsAB_pos	allB//glpD//
RcsB-BglJ_pos	hemH//puuD//
RcsB-Pasp56_neg	sgbH//
RcsB-Pasp56_pos	xapA//hmp//dapB//
RelB-RelE_neg	cysE//
RelB_neg	glmS//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	tehB//pdeL//fdhF//sdhA//
Rob_neg	
Rob_pos	paaG//yedX//gpmM//aroG//hcaF//torA//argG//citD//accD//uxuB//deoA//ubiC//relA//mpl//mtlD//galE//argI//oxc//nrfA//
RstA-Phosphorylated_neg	caiD//carA//
RstA-Phosphorylated_pos	uxuA//
RtcR_pos	rutD//metL//
RutR_neg	gloA//napA//rffH//guaA//polA//dhaM//ydcS//patA//ttdA//pgm//
RutR_pos	nanA//
SdiA_neg	
SdiA_pos	
SgrR_neg	cysD//
SgrR_pos	metE//hcaF//
SlyA_neg	
SlyA_pos	galE//leuB//ahpC//dhaL//recD//amn//chbG//glpA//citD//
SoxR_neg	
SoxR_pos	nemA//phnL//ddlB//gadB//garL//moeA//
SoxS_neg	
SoxS_pos	gadB//hcaC//bioC//ttdA//umuD//ubiA//treC//yeaG//alkB//gcvT//pncB//deoC//nrdF//sdhC//ulaE//allD//glxR//pgm//cynS//trpD//speB//nrfA//narH//phnP//puuC//nemA//paaE//speA//
SrlR_neg	alkB//mhpA//hmp//
StpA_neg	uvrC//patA//ndh//
SutR_neg	frc//tdcB//
SutR_pos	
TdcA_pos	alaS//citE//codA//chbF//rhaB//
TdcR_pos	metC//rhaB//paaY//entC//serA//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	paaA//pdeR//aroH//rhaD//
TorR-TorI_neg	xylA//
TorR-TorI_pos	
TreR_neg	mhpB//allC//
TrpR-tryptophan_neg	pagP//tdcD//aceE//idnO//rffT//aspA//gor//cysH//fucK//
TyrR-phenylalanine_neg	gltD//hycC//
TyrR-phenylalanine_pos	aceF//
TyrR-tyrosine_neg	cysJ//metA//atoD//recD//napB//ubiA//
TyrR-tyrosine_pos	ada//lpxD//
TyrR_neg	murE//
TyrR_pos	deoC//
UhpA-Phosphorylated_pos	pepD//
UidR_neg	sucC//prs//
UlaR_neg	rutC//metK//prpD//entB//mdh//
UvrY-Phosphorylated_pos	glcE//gatY//
UxuR_neg	rutC//fau//malY//glk//idnD//
XapR-xanthosine_pos	dgcZ//cysI//
XylR-xylose_neg	
XylR-xylose_pos	uxaC//moaD//phoA//
YdeO_neg	
YdeO_pos	mpl//sodB//speB//
YefM-YoeB_neg	sgbH//
YefM_neg	argI//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	mhpD//rffM//puuC//cynT//glpK//caiB//
YjjQ_neg	aceB//hcaC//
YpdB-Phosphorylated_pos	
YqhC_pos	leuB//lysA//
YqjI_neg	adiA//
ZntR-Zn2_pos	cysI//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	mpaA//
