# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon Nov 26 08:19:28 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/regulons_by_conformation_effect//analysis/all_enzymes_in_set.txt
AcrR_neg	alaC//fucU//
LexA_neg	cadA//alsE//relA//guaB//ulaE//moeA//glpD//ychF//pgaD//phnI//gadA//glmU//rffG//wzc//hycD//pgaD//sgbH//gltB//fadB//yeaE//aceE//pheT//dmsC//
LldR-lactate_neg	mltF//ulaD//
LldR-lactate_pos	ydcS//bioB//
LldR_neg	gabT//nrdA//
LldR_pos	fadE//fadM//
LrhA_neg	
LrhA_pos	
LsrR_neg	rbsK//murC//waaH//sdhC//ldtB//
LysR_neg	
LysR_pos	gatY//
MalI_neg	uxuB//fumC//
MalT-maltotriose-ATP_pos	recB//wzc//hyaA//gdhA//glgX//fadE//
MarA_neg	aroF//
MarA_pos	sucA//gpmA//nrdF//trpC//allD//astE//purM//cysH//glgA//cysN//glpK//citF//mhpE//gatZ//fbaB//rfe//uxaB//ruvA//garL//aceB//fadH//purK//nrfC//
MarR_neg	
MatA_neg	napA//
MatA_pos	
MazE-MazF_neg	ahpC//
MazE_neg	mtlD//
McbR_neg	
McbR_pos	
MelR-melibiose_neg	cyoE//putA//
MelR-melibiose_pos	glsA//gpmA//
MelR_neg	glmU//bglB//
MelR_pos	idnO//mhpE//
MetJ-adenosylmethionine_neg	epd//glcD//rffH//xylB//pgaB//tdcD//ftsI//hycD//ampC//psd//
MetR-L-homocysteine_neg	mraY//
MetR-L-homocysteine_pos	pncB//idnK//
MetR_pos	puuC//cysI//
MhpR-3HPP_pos	mpl//uxaA//nanM//malZ//glxK//kbaZ//
Mlc_neg	allE//ydcS//ldtB//gcvH//
MlrA_pos	rpiB//
MngR_neg	garL//dhaM//
MntR-Mn2_neg	ynfE//
MntR-Mn2_pos	poxB//
ModE-MoO42-_neg	araD//uxuB//moaA//mhpB//bioC//argD//torA//ruvB//
ModE-MoO42-_pos	ulaE//frc//ada//cysC//napB//moaC//asnA//fbaB//phoA//
MprA_neg	metA//trpE//cdd//
MqsA_neg	cysH//deoC//
MraZ_neg	rfe//hyi//carA//puuB//trpD//glpQ//fucU//moaA//treC//uvrA//
MurR_neg	trpE//fdhF//gadA//
MurR_pos	
Nac_neg	puuB//fabA//prpB//
Nac_pos	fadE//ndh//nirB//citF//purK//nagB//purA//citE//
NadR_neg	glcF//carB//phnI//phnG//
NagC_neg	lyxK//eno//pnp//mpaA//atoA//fucI//murQ//malY//narI//fbaB//glpX//xylA//polA//galK//astC//pdeH//fabB//murD//
NagC_pos	leuB//aceE//
NanR_neg	pncB//cyoE//mhpF//pykF//ssuD//cysN//
NanR_pos	
NarL-Phosphorylated_neg	mnmG//uvrA//pheT//fumC//fbaA//rbsD//metF//katG//tdcG//betB//fabI//gnd//bioC//pgaC//rutB//gcvP//ttdB//srkA//caiA//pgk//hyi//moeB//betA//hcaE//nrdD//ftnA//phr//nanE//
NarL-Phosphorylated_pos	purC//atoD//sgbE//fumC//relA//fadJ//speB//caiB//gnd//deoC//galM//fbaA//dhaM//lpd//purD//
NarP-Phosphorylated_neg	lsrG//purN//uxaA//accA//glpB//
NarP-Phosphorylated_pos	purL//deoB//aroG//tehB//phnP//phnG//phnP//rtcA//purM//ruvB//pheS//hemL//gatD//ynfH//
NemR_neg	hcaD//gor//
NhaR-Na_pos	lsrK//metH//ttdB//speG//hycD//
NikR-Ni2_neg	ftsI//
NimR_neg	gcvT//
NorR_neg	
NorR_pos	fabA//
NrdR-Zn2_neg	leuA//rfe//tam//purA//
NsrR_neg	fabH//bioC//hycE//ubiX//galM//argH//nrdB//ftsI//rutC//glsA//pgpC//hmp//tyrA//garD//glmS//ubiC//nrfC//argF//moaD//trpD//astA//codA//mtlD//hcaF//entA//dhaK//ftnA//prs//purK//puuB//pyrD//frdC//pfkA//lsrF//paaK//citF//cysM//dsdA//purE//deoB//
NtrC-Phosphorylated_neg	metC//paaB//
NtrC-Phosphorylated_pos	phnM//wrbA//citC//phnI//dgkA//malZ//yqhD//napB//fbaA//puuD//paaZ//moaD//yeaE//sbcD//nfsA//lpxC//ugpQ//yeaG//fucU//purC//paaG//
OmpR-Phosphorylated_neg	nadB//eno//hyaA//glcF//lacA//
OmpR-Phosphorylated_pos	nrfC//fadD//bglB//purL//
OxyR_neg	waaZ//hycB//hyaB//mltF//glpB//
OxyR_pos	pgpC//gltD//ubiA//thrS//xapA//ulaG//folA//ndh//ttdA//murI//prpD//gloA//
PaaX_neg	citG//ftsI//dmsB//fadH//gudD//pdeH//yedX//idnK//dapB//
PdeL_pos	ada//
PdhR_neg	kbaY//waaZ//gloA//folA//pdeR//lhgO//fabA//purL//entF//pgm//idnD//dkgA//betA//kbaY//rpiB//icd//aldA//guaA//pdeH//asnA//nrfA//gcvP//srlD//
PdhR_pos	nrdF//sucC//
PepA_neg	glnA//argA//
PgrR_neg	aceA//metH//
PhoB-Phosphorylated_neg	fadH//ulaE//fadJ//napH//phnL//
PhoB-Phosphorylated_pos	bglB//ssuE//fadB//galM//pheS//purK//nrfA//cysK//allB//glgX//idnK//glgP//citG//moeA//allB//atoA//dmsA//
PhoP-Phosphorylated_neg	lysA//argD//lpxC//
PhoP-Phosphorylated_pos	luxS//udp//gltD//dkgA//rtcA//accD//ldtB//araD//sdhB//speG//iscS//cysC//gadB//argG//glcF//trpE//entC//arsC//dinB//napB//hycB//guaA//dinB//cysN//fbaA//ubiC//srkA//uvrB//tpiA//psd//ogt//
PrpR-2S3S-2-methylcitrate_neg	
PrpR-2S3S-2-methylcitrate_pos	cysK//paaC//chbF//sodA//
PspF_neg	
PspF_pos	katE//
PurR-hypoxanthine_neg	gcvT//bioB//napA//prpD//trpD//purL//ahpF//chbG//fabG//umuC//pck//ulaG//phnG//yedX//mdh//glgX//trpC//phnO//citE//dmsC//alsE//ftsI//cysK//tyrB//phnO//ahpF//
PutA_neg	tynA//ldtD//
PuuR_neg	fabH//cdd//tdcG//citF//lsrF//tam//
QseB-Phosphorylated_neg	
QseB-Phosphorylated_pos	
RbsR_neg	allB//galK//speG//narH//glpC//
RcdA_neg	
RcdA_pos	ung//
RclR_pos	
RcnR_neg	puuC//
RcsAB_neg	glpC//
RcsAB_pos	lpxD//rffH//
RcsB-BglJ_pos	murG//frdB//
RcsB-Pasp56_neg	sucC//
RcsB-Pasp56_pos	xapA//sucA//purH//
RelB-RelE_neg	pnp//
RelB_neg	rhaB//
RhaR-alpha-L-rhamnopyranose_pos	
RhaS-alpha-L-rhamnopyranose_pos	citC//nrfA//aldA//glyA//
Rob_neg	
Rob_pos	truB//ldtB//argD//malZ//deoC//mhpF//allC//cysM//pepD//purH//sdhA//sdhD//prs//wrbA//iscS//cadA//mltF//paaZ//ampC//
RstA-Phosphorylated_neg	mhpE//poxB//
RstA-Phosphorylated_pos	paaE//
RtcR_pos	pagP//gcvT//
RutR_neg	hmp//malP//araD//pagP//rffG//lacZ//tktB//xapA//astD//lsrG//
RutR_pos	dinB//
SdiA_neg	
SdiA_pos	
SgrR_neg	argI//
SgrR_pos	leuC//uxuB//
SlyA_neg	
SlyA_pos	cdd//ldtD//nrdE//glnA//ynfH//bioC//bioD//allB//pagP//
SoxR_neg	
SoxR_pos	phnM//tyrB//puuD//lsrF//fabA//gcl//
SoxS_neg	
SoxS_pos	fes//caiD//serA//uxuB//moaD//ldtC//fumB//phnL//garL//grxA//lacZ//slt//ndh//ttdB//phnO//hypB//fadA//acnB//glxK//gcl//alsE//metB//phnL//talA//rbsK//purB//mpaA//puuB//
SrlR_neg	rffG//cyoE//ascB//
StpA_neg	yqjH//ruvB//glgA//
SutR_neg	glxR//mpl//
SutR_pos	
TdcA_pos	iscS//prpC//hypB//hyaB//tyrA//
TdcR_pos	bioB//paaC//metB//dgcZ//ynfE//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	glsA//hyaC//bioC//phnM//
TorR-TorI_neg	nrfA//
TorR-TorI_pos	
TreR_neg	glnA//leuB//
TrpR-tryptophan_neg	ycjG//ada//serA//napG//codA//idnK//phnO//deoB//rffT//
TyrR-phenylalanine_neg	argI//paaJ//
TyrR-phenylalanine_pos	tadA//
TyrR-tyrosine_neg	moeA//relA//relA//bioA//nanM//sodB//
TyrR-tyrosine_pos	rbsD//purF//
TyrR_neg	glgA//
TyrR_pos	leuC//
UhpA-Phosphorylated_pos	kbaY//
UidR_neg	dgcC//glmS//
UlaR_neg	xapA//sdhC//gor//glgB//atoA//
UvrY-Phosphorylated_pos	dapB//uvrA//
UxuR_neg	uxaC//glyA//phr//entC//hypB//
XapR-xanthosine_pos	gdhA//bacA//
XylR-xylose_neg	
XylR-xylose_pos	glmU//gadB//sucA//
YdeO_neg	
YdeO_pos	mhpB//pyrD//glcB//
YefM-YoeB_neg	sbcC//
YefM_neg	dkgB//
YeiL_pos	
YhaJ_pos	
YiaJ_neg	patD//hypB//galM//lpxC//paaC//mraY//
YjjQ_neg	murE//gltB//
YpdB-Phosphorylated_pos	
YqhC_pos	polB//ftsI//
YqjI_neg	sufS//
ZntR-Zn2_pos	recF//
ZraR-Phosphorylated_pos	
Zur-Zn2_neg	paaH//
