#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	csgD//fis//
ArgR-L-arginine_pos	rrlG//agaV//lysO//nuoG//yqjI//
AtoC-phosphorylated_pos	glpX//csgG//efeU_1//glpX//
BaeR-Phosphorylated_pos	gcd//yqjI//uof//caiB//mhpD//ubiC//fdnG//sdhD//
BirA-bio-5'-AMP_neg	rstA//puuP//xylH//pstA//modC//
CRP-cAMP_neg	nanE//malY//srlR//nanC//rbsB//trxA//dcuS//gntR//lpd//aaeR//uxuA//puuD//iscS//norV//xdhC//caiF//cpxR//csgE//aroH//nuoI//fepE//adhE//araC//glpT//purR//uxaA//trpB//yqjH//hslJ//ydhX//mhpA//ychH//glpA//citD//artJ//mtlD//pagP//malM//galS//ompW//fhuD//yibN//emrK//cheW//nuoG//hisM//ndh//garK//mutL//fimF//dsdA//bglB//mglC//malK//abgA//astE//aceB//glgB//livM//gspL//hmp//rimP//gspO//livH//ilvB//miaA//cydB//metN//chbA//recF//hyfB//tfaQ//slyB//melA//malZ//deoA//fucO//malS//yccA//lpxA//ascB//gltB//ilvM//cusR//ynfE//metF//gltU//rutE//hemA//mhpT//dcuR//mdh//mhpC//lsrR//secB//fimH//yggX//livK//lpxB//mhpB//alkB//zraS//moeB//rpmC//feoB//mhpT//yegR//yfdX//ychO//ydfH//pdeF//rplP//znuB//ytfE//fucI//pta//feoA//metJ//yeiP//cas1//fucR//appC//uof//sodA//acrB//hybB//acrF//cydB//phnK//lrp//preT//lacI//glpR//
CRP-cAMP_pos	proP//yfiP//uxaC//hyaA//hflD//prpB//emrK//gltF//ompT//ahpC//epd//acrE//ppiA//nikE//fecC//aaeX//uidC//entD//hofP//motB//aaeX//malP//ybiT//acrE//lsrA//fecI//cysJ//xylH//tyrA//narJ//grxC//truB//yhjC//argD//napD//hyfC//frdA//iclR//serA//hycF//phnJ//ackA//gntK//ppiA//cspE//metE//baeS//nikR//ompT//lamB//leuE//rrlG//cydA//dusB//uxaA//ychO//purC//hybB//hcr//cysA//cysC//bcsZ//icd//nrdI//galK//mtlA//lamB//dsdC//pyrC//yqaE//rseB//ybjG//dusB//frdB//fis//mdtB//mhpD//ygiC//bglF//tomB//malM//fadE//csgE//nikR//cysG//rpsO//xapA//malG//dppD//rrlH//moaC//cydB//nupC//metF//hdeD//ygbA//sodA//codA//napF//dadA//ybdZ//gpsA//yneM//zwf//rpsP//dgcZ//phnI//atoB//metA//grxD//aspA//ptsI//idnK//chbG//gltW//sbmC//astE//ebgA//cheA//sufA//fhlA//motB//marR//hyaD//arfB//yneM//mscM//hyfJ//malI//gatC//ihfA//cpdB//nuoN//gntU//fiu//nanK//trpB//phnP//araE//glmY//norR//nuoG//alkA//aldA//acrF//malX//pgpC//fucP//metH//lysC//trxA//arcA//yjjZ//betI//aroG//dpiB//araE//tyrA//tauD//spf//mhpB//rnlB//caiE//hpt//pncB//ynfG//ascF//ileU//astE//ompF//pflB//fecC//yqjA//phoR//mutY//dsbA//glpB//chbA//bacA//rutG//bglB//rplD//tyrP//xylG//trpA//rrfH//agaA//actP//purR//fepC//bdcA//dmsD//mltC//phnJ//rrlD//gspG//rutB//rmf//yhiD//rrfC//allE//ykgM//frdB//galS//artJ//crl//erpA//kbaZ//ebgA//chbR//pdhR//rplP//rrsE//fixX//cdd//actP//rpsR//uxaA//iscA//pgaA//argH//aceF//nrfE//gcvP//rutD//talA//hycF//purD//ulaF//aspA//sucD//pheT//mntH//rimP//glpB//gltU//argF//arcZ//putP//glnL//mgrB//guaA//glpB//trmD//mhpA//fhuF//hybC//degP//araJ//gspM//fecE//acnB//napH//ydbD//glcC//nrdG//polA//tdcG//yggX//rhaS//xylA//ybiT//rbfA//galS//nuoN//aceB//ccmE//tyrP//mhpF//tonB//hybE//rbsC//rrsA//trpR//aroH//hyaF//gspF//gntR//hupA//fnr//betI//yjcH//ptsG//dadX//rpsR//preA//rybA//betT//hycB//cusA//cusF//fadI//sucC//csgA//napF//hofM//aspC//pheT//baeS//tonB//pyrD//gltB//tolC//rnhB//dmsC//hdeB//fixA//talA//phnP//bioB//ldtB//ssuC//rutD//torC//puuR//aaeR//aceB//fecI//folE//gadB//tar//adiC//lldR//malI//uof//nagB//bamA//xylH//lldP//ugpB//ssuB//ccmF//secB//ilvY//rrsB//osmC//phoE//argI//ppiD//moeB//appA//glpX//hyfD//gabD//nac//argD//cysB//icd//eda//fau//ygiB//sufB//rhaS//glnL//yeiW//iclR//rhaT//rpsF//prfA//yiaJ//rimP//phnM//torC//uidC//metB//agaW//fimC//ahpF//lysU//entA//rbfA//agaV//yhfA//gntU//uxuR//metA//moaC//ygbA//csgE//evgS//dcuC//galP//paaE//bglG//argH//rhaB//ilvC//murP//fepA//rpoH//marR//hybA//modA//serA//hydN//dmsC//srlE//murP//nrfD//kbaZ//carA//glgB//phoU//rrfD//dsdX//priB//rbsR//rrlB//lsrB//ccmA//pagP//gspI//mdtA//cysM//ccmE//phnK//sdhD//bamA//emrK//hybC//ydhY//yeiB//xylF//caiF//appA//cbl//flhC//yecR//cysN//
ChbR-Monoacetylchitobiose-6P_neg	cheB//nagA//ydbD//dcuD//caiA//tam//
ChbR-Monoacetylchitobiose-6P_pos	ldtB//ccmC//ynfE//rdoA//ykgM//secB//
CpxR-Phosphorylated_neg	ldtC//manX//metL//paaJ//entE//feoA//rpsC//hflC//trxA//rutC//mdtD//xylH//upp//purC//glgS//csiE//mdtC//uof//purA//hupB//rrsE//cas2//cirA//narJ//
CpxR-Phosphorylated_pos	cysM//galM//cyoB//ahpC//rhaD//pgk//sufC//glpD//alkB//nuoC//mdtB//nrdG//torC//phnP//ccmF//prpD//ysgA//hycH//metL//acrE//rpsJ//mtlA//gspJ//cpxA//arcZ//mcaS//glpT//fixB//hyaA//chbR//cheW//sdhD//metE//norV//entE//napB//aaeA//sufS//nuoN//phnJ//hyfR//gyrA//tktB//glgP//csiE//
CreB-Phosphorylated_neg	argT//csiE//artI//
CreB-Phosphorylated_pos	moaC//nanM//folE//zwf//mntS//raiA//
CueR-Ag_neg	moaC//carA//nrfA//preT//citC//
CueR-Ag_pos	hyaE//argE//
CueR-Cu+_neg	ilvH//lpxB//rnhB//envZ//yhcH//
CueR-Cu+_pos	mipA//ccmE//
CuerR-Au_neg	folA//frc//phoU//safA//secB//
CuerR-Au_pos	phoB//malY//
CusR-Pasp_pos	prpR//rbsB//ispE//yhiD//gcvT//argE//lsrR//xdhA//casD//trpD//nohA//dsbA//
CynR-Cyanate_neg	uxuA//
CynR-Cyanate_pos	rbfA//aaeB//garL//
CysB-N-acetyl-L-serine_neg	sodA//pgaA//ampE//artP//moaE//dpiB//fhuB//
CysB-N-acetyl-L-serine_pos	malS//nuoB//tnaA//cstA//ilvM//hofO//pdeF//sdhC//psiE//nanE//nohA//napC//sdaA//galT//phnE_2//purR//ompA//rrsA//ssuE//acrE//iscU//flhD//rhaS//
CysB-O-acetyl-L-serine_neg	fhuC//cyoC//phoP//appB//glcF//phnF//yhcH//
CysB-O-acetyl-L-serine_pos	pgk//ubiC//hybG//tauB//ccmG//phnD//tfaQ//ulaB//gntK//caiT//gpsA//oppC//malT//casC//glnK//ycdZ//glpE//aroA//rybA//yfeW//ccmA//rrfC//sufA//nirC//
DcuR-Phosphorylated_pos	rpsC//gltD//hycF//sdhB//yqjH//moaE//iscA//moaC//nmpC//
DnaA-ATP_neg	ilvA//ugpE//rpoS//artM//csgC//prmC//atoE//gntP//manX//nrfF//cysD//
DnaA-ATP_pos	malE//dmsA//borD//yfiP//dkgB//prmC//kbaZ//
DpiA-Pasp_neg	ccmB//
DpiA-Pasp_pos	mtlD//glpA//skp//araD//ychO//glpC//ftnB//aceB//phnN//phnD//
DsdC-D-serine_neg	ygbA//
DsdC-D-serine_pos	xdhC//ndh//
EvgA-Phosphorylated_pos	rutD//tfaQ//nrdB//argI//lacY//cyoD//hofN//yccA//modC//fau//citX//copA//mhpR//rhaT//cydA//
FNR-[4Fe-4S]2+ reduced_neg	melB//yeaR//yhcH//casB//rimM//leuE//gcd//raiA//gcd//aaeX//astC//yedX//ulaD//malI//cysN//oppA//guaA//pgaA//lacY//appB//modC//cysC//malP//ulaA//gatZ//fadJ//lysU//rhaD//mipA//fepB//nadC//lamB//xylR//csgF//nuoI//citC//gdhA//galK//crr//gltA//bacA//yegZ//uvrA//idnO//nanC//hyfD//araF//purD//araA//cheZ//patZ//fliA//glmY//idnT//lysC//cysI//sufS//acrB//hycD//mhpC//bcsB//nuoN//ssuA//xdhA//araE//yegH//priB//fixA//mtlD//polA//malM//fldA//moeA//nanT//fimC//talA//nuoK//rprA//cas1//cdd//norV//prmC//cysH//ileV//bacA//uidC//yfbR//rrfA//fepD//entC//ykgO//fabZ//mhpT//acnB//ydeA//phoP//ubiG//rhaS//casD//torC//nuoA//agaV//fes//pflB//mglA//sbmC//bamE//tdcC//nrdH//envY//fbaA//fucP//aroA//hflX//yrbL//yfdV//frc//fadH//uhpB//preT//
FNR-[4Fe-4S]2+ reduced_pos	paaH//yoaC//pstB//chbR//prpD//uxaB//paaK//malZ//aroF//hycD//paaA//glrR//yfbR//ihfA//carB//flhD//alaA//cheZ//glgB//torA//cyoD//malI//mhpB//yfaE//cyoC//fhuE//ndh//araD//uxaB//metF//tar//argT//xapB//slt//ycjF//aspA//znuC//rpmI//uvrA//sufE//puuA//rnpB//bhsA//ung//waaH//micF//yhjC//hyfA//phoU//mntP//cheY//agaV//nlpD//cheR//paaJ//csgD//epd//rpsR//ccmH//yqjH//baeS//aroL//rplI//nuoK//uvrA//phnE_2//dmsB//fimF//fixB//xdhA//nrfA//alaU//uof//mpl//pheT//yibN//uxaC//nanS//gltT//cueO//hycB//phnK//rutF//cusF//grxD//purN//citD//rbsA//hisP//ykgM//malG//fdhF//rstB//glpB//yecR//dppC//nagC//napC//gltA//caiD//gltB//abgB//purE//nrfG//phnH//fabZ//rrlE//nuoG//dmsA//nuoB//ptsH//ydeO//gcd//glcA//aceK//tdcA//osmC//ykgO//glyA//znuC//norW//amn//astA//norV//yeaR//hofO//malQ//mhpT//tsaE//metE//dgcZ//deoA//ogt//rutB//ydhW//gspC//uidC//grxC//gcvH//kbl//malZ//cydB//lsrK//ispE//ssuD//thrV//sdaA//aaeX//phoQ//cueO//yhiD//ygeH//betB//fadB//fixA//nrfB//rbsR//ynfE//trxA//yhfA//gcvP//guaA//dnaE//hybF//hyfD//livF//ydhX//psiE//argG//amiB//acnB//uidA//rrfD//glpC//citG//agaA//gutM//citF//pheS//glpG//talA//gntK//dcuS//ydfH//rpsS//yeiB//hycA//cyoE//yeiB//baeR//mhpR//nmpC//moaB//cspD//gatY//artJ//metA//ulaB//yjjZ//aldB//csiD//uxuB//
FhlA-Formate_pos	nlpD//frc//entC//dppD//tnaA//cvpA//yhhY//phnE_1//malZ//pgaC//glpT//galM//osmC//sdhB//tyrA//fucU//baeS//rpoS//mdtD//hisQ//bioD//yeiW//rbsC//purF//pstA//paaJ//cynR//deoC//argC//ppdD//
FucR-L-fuculose-1-phosphate_pos	cysH//hemL//glgX//araJ//znuB//artI//xylR//
Fur-Fe2+_neg	gntU//nirD//nanT//bamE//citF//ugpC//fadI//flhD//hupA//moeA//yjcH//malG//dppC//glrR//cyoD//rbsA//manA//rrsB//micF//cysC//gadC//efeU_1//ccmH//gcd//betT//garP//mhpR//rrsE//fhlA//flhD//grxC//gspO//dsbA//artQ//mglA//trpE//ilvI//mdtA//glnB//cheW//hypD//araJ//cyoD//codB//moaC//speB//pnp//narL//rbfA//micF//adiC//cadA//paaF//dmsB//cusS//ilvB//guaA//nirD//rpsQ//mhpE//spf//fucI//entB//torA//mdtA//slyB//narK//proP//fepD//rutA//livG//moaA//treR//fecR//treR//nac//sdhC//ilvY//gatA//tnaB//amn//sucB//ycjF//cysA//gntP//fimC//nuoC//ubiG//entC//glpF//dsdA//hyfJ//entS//crl//malX//araD//lysA//prpE//mlc//napH//thrV//lpxD//cysU//bioD//focA//fimI//argC//tdcA//oppB//dcuC//tfaQ//ykgM//sucA//citF//katG//paaB//fecB//lpxB//srlE//uhpA//gdhA//nrfF//uraA//galE//
Fur-Fe2+_pos	creB//frdC//lhgO//ydbD//priB//fecD//yfbR//zntA//srlE//yqjA//napG//crr//infC//lsrK//rpsJ//nrdF//gspH//srlA//ygbA//bioA//bacA//lysC//tauA//yjcH//lysO//
Fur-Mn2+_neg	bamA//rpoE//fucR//bacA//zraR//abgA//sucD//bioC//ldtB//gspG//waaH//zinT//azuC//galE//metK//prpR//lsrF//yeiP//edd//modC//purF//yqaE//aroM//nikC//cysD//proP//gltA//alkB//nrdH//rhaR//xapA//metE//folA//gltB//hycI//gltF//uxuR//hypD//dnaN//serA//ackA//lysO//thrS//araA//cusC//rprA//rrfE//yfaE//pdhR//mglA//dcuC//rmf//yfeW//nuoL//argR//narG//aaeR//ybjG//ykgR//tdcA//moeA//glgA//xseA//prpC//galM//rpsO//artQ//hyfJ//metE//norV//cysB//lysO//gspL//hfq//nuoE//mntS//mdh//nuoE//entB//gspF//slyB//bcsB//galT//ydbD//glpF//araE//tdcC//phoA//fimE//gspC//galP//hycG//soxS//tnaC//ldtB//folA//cyaA//nanS//gatA//betA//gspE//sbcD//yqjH//lhgO//metI//secB//cbl//moaB//yccA//nuoL//dsdC//aaeX//cpxR//ynfK//citD//fdhF//livJ//livG//grpE//rnlA//nfuA//cynS//waaH//nohA//
Fur-Mn2+_pos	astC//gntR//feoA//yeiW//arfB//ybiT//phnG//lsrA//fdnH//rnlB//rutE//nrdF//ahpC//yneM//sbcC//focA//mhpB//yegR//casE//dcuA//cyoE//csgF//pyrC//yrbL//cpdB//
GlcC-Acetate_neg	cbl//
GlcC-Acetate_pos	creB//nanM//thrS//malE//ulaD//ompC//
GlcC-Glycolate_neg	mzrA//
GlcC-Glycolate_pos	abgB//aspC//sdhD//hlyE//rrfH//rstB//
GlrR-Pasp56_pos	dps//
IclR-pyruvate_neg	metL//lldD//ugpC//yfiP//
IdnR-5-ketogluconate_neg	pgaC//cysA//pepT//
IdnR-5-ketogluconate_pos	fhuA//gabP//glpG//alkB//nikB//
IdnR-Idonate_neg	ydeJ//aaeX//prpR//
IdnR-Idonate_pos	lysC//torR//ccmB//glpR//sufD//
IlvY-2-acetolactate_neg	rybB//
IlvY-2-acetolactate_pos	cynX//
IlvY-Alfa-acetohydroxybutirate_neg	rrfH//
IlvY-Alfa-acetohydroxybutirate_pos	arcZ//
IscR-[2Fe-2S]1+_neg	xylG//ykgO//dcuR//rrfH//malS//envY//lldP//frdC//fumB//livM//actP//moaE//bglB//zraP//bioB//sbmA//ulaA//malE//rpmI//fimE//allC//cyoA//gspI//deoA//mntH//tauC//rbsR//tyrP//treB//cheW//
IscR-[2Fe-2S]1+_pos	hyaD//hyfC//nuoB//thrS//cas2//leuE//katE//betA//dusB//rrsE//cra//
LldR-L-lactate_neg	nagC//cheY//agaV//
LldR-L-lactate_pos	malZ//manX//cbl//
Lrp-Leucine_neg	torR//exbD//gltF//ydfH//arcA//hisJ//moaE//gabD//dctA//ynfG//hdeA//betB//gspG//trpC//hycC//aidB//ydeM//rrfB//ileU//grxC//nikR//phnH//rplI//ilvH//cydD//zraR//tsaE//agaA//fadE//paaZ//murP//cheB//prpE//acrA//creD//cysU//ssrS//manA//folE//gltW//glpG//fixB//xapA//ydfH//fliA//rpsQ//fdnG//gspF//ssb//modB//map//nuoK//xylB//galP//ansB//mntH//metN//gcvT//tdh//hypB//hofO//ilvY//moaE//serC//ygeH//fimI//hypC//ytfE//pck//purL//phoR//tadA//chbR//thrS//prpD//
Lrp-Leucine_pos	araD//ynfH//napA//hofN//hyaB//ydbD//ygaC//norW//pgaA//allD//acrF//nmpC//cysC//xseA//mipA//ychH//cpxA//ilvM//glpD//appC//fixB//glgP//uxaB//gadB//ydhT//nikR//fhuC//fadB//grpE//rbsR//nrfF//yfbR//appC//alaT//ulaE//
LsrR_neg	uidC//sufE//cadC//tdcD//araJ//crr//ytfE//proP//gspO//
MalT-ADP-Maltotriose_pos	tsx//yqjI//ompA//grxD//qseC//cueO//casB//treB//rdoA//sodA//
MalT-Maltotriose-ATP_pos	lacI//yecR//rutF//codB//feoB//csgF//glcC//lpxB//nagC//paaB//
MelR-Melibiose_neg	betA//nrdE//tar//
MelR-Melibiose_pos	rof//rpsQ//moaB//
MetJ-S-adenosylmethionine_neg	zraS//prfA//gntU//fimA//hycF//xapA//phoH//acs//tehB//uidC//abgB//pgaA//marR//acrD//xylG//
MetR-L-homocysteine_neg	mgrB//paaF//
MetR-L-homocysteine_pos	phnD//ssuB//modB//tehB//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	stpA//nanT//caiB//cysP//fimF//moaE//
MhpR-3HPP_pos	safA//yjiY//ssuD//skp//yhjA//feoC//
MntR-Cd2+_neg	malM//ompW//nikR//nrdB//
MntR-Cd2+_pos	fucU//
ModE-MoO42-_neg	argO//nanK//ychH//aer//gatY//metC//glmY//ispE//feoA//hybD//pheS//aspC//deoB//recF//yccA//
ModE-MoO42-_pos	fadJ//truB//chbB//cysD//betA//yecR//prpD//ydeJ//hisP//hupA//mtlR//artJ//cadA//tehA//araJ//borD//cadC//zinT//fiu//rbsD//ilvY//nuoN//tonB//rrfD//csiD//lrp//tehB//caiB//tauC//pgaB//lsrK//
NarL-Phosphorylated_neg	xapB//uxaA//glpA//yaeP//rrsD//guaA//nuoL//cueO//pgk//csgG//malG//gapA//pstS//mntP//nikE//norV//yaeP//csgD//chbG//entC//lldP//ykgM//ychH//mhpT//rof//malF//yedX//feoA//hycB//cysW//rcnB//phnH//adhE//pgaA//puuD//sodA//gspF//alaS//frdC//malT//norW//tauB//deoC//acrE//moaA//purF//frdB//uvrA//cynX//osmY//yidQ//aroL//astB//tyrR//prs//mhpE//feoC//rpsS//pyrC//dusB//hofM//nupG//gspL//yegH//rutE//ppiA//fimC//citX//fiu//caiD//hybG//ynfG//trg//aroF//glpK//pgaC//feoA//hofO//dadA//zraS//cra//hybC//motA//lsrG//glnK//ompA//
NarL-Phosphorylated_pos	hycG//phnP//dnaN//fumB//mpl//rutA//pncB//znuC//fliA//cheY//idnR//rpsI//gcvH//sucC//phnO//codB//ulaE//acrD//pepT//hpt//exbB//purB//lysO//rrfG//pheS//csgF//malX//fecI//dps//araE//treC//phnE_1//nagE//glpQ//iclR//feaB//nrdD//garK//pepT//ulaF//yeaE//galT//phnP//glrR//rplV//paaB//
NarP-Phosphorylated_neg	xapA//artP//mhpA//paaB//malK//artI//gspF//uxaB//araH//srlA//hofP//deoA//sucD//malE//hyaF//gpmA//motB//tpx//gpsA//cas2//fadJ//uof//ssuA//phnL//dnaA//mhpR//ebgC//speB//zraS//truB//cysA//uraA//xapA//
NarP-Phosphorylated_pos	dcuR//aroL//fadI//dcuD//nuoL//nirC//glpK//yfbR//rrlE//acrF//glpB//nadC//narG//tsgA//ccmF//phnD//eda//prfA//gpmA//moeA//srlD//cynT//araB//gspO//rrlG//cusA//ygeA//tpx//trpA//aroL//ptsH//nmpC//
NhaR-Na+_pos	xylF//rmf//alaV//ynfF//ileT//
NikR-Cd2+_neg	arcA//glpX//iscU//ampE//psiF//sufD//
NikR-Co2+_neg	nuoE//hflD//prmC//yhhY//edd//melB//
NikR-Cu2+_neg	yfaE//carB//crr//lsrB//hyaF//mtlA//
NikR-Ni2+_neg	cpxA//alkB//gspH//nrdF//gadB//gabD//
NikR-Zn2+_neg	gspC//hemA//narX//ybdZ//tdh//hyaF//
NrdR-ATP_neg	araE//xdhB//ppiA//gabT//spf//avtA//yaiW//torC//puuA//
NrdR-Zn2+_neg	idnD//rplT//astB//lacA//hycE//nuoN//torA//guaA//spf//
NrdR-dATP_neg	lpd//rdoA//prfA//phnN//phnL//fimI//xylF//moaA//rrlB//
NsrR-[2Fe-2S]reduced_neg	gpmA//asr//pgaA//ilvA//speB//nlpE//glgB//glgX//gutQ//pagP//iclR//tadA//fdnG//soxS//ilvG_1//pck//glnK//araD//yjjZ//glnK//atoB//epd//chbG//rpsS//oppC//argF//aroF//fadE//betI//grpE//yqjH//hycC//mglA//motA//rutD//fixA//sbmC//caiF//dmsA//betI//mntH//yebE//treR//nikE//fadB//agaA//yeaR//trg//marB//flhD//rpsC//dps//melB//moeB//norW//aroM//ogt//ccmC//dadA//yegR//lysP//trpD//aroG//hycC//paaC//bioA//rhaS//rseC//pgpC//feoC//pdeF//idnO//lacY//
PhoB-Phosphorylated_neg	rdoA//hyaF//ilvH//nikE//mntH//glgC//aidB//bamA//cadC//cyoC//csgE//csiE//sucD//
PhoB-Phosphorylated_pos	fimI//yeiL//aceE//rybA//cytR//rutA//phnP//fabZ//ubiX//sodB//metR//hycD//torR//purH//qseB//kbl//dcuC//gspO//gutQ//tsx//oppC//srlR//fliZ//araJ//pstC//napB//phoB//fixA//sufC//envZ//psd//hofO//pstA//rutA//fucR//trpB//icd//rrsG//ugpE//glpD//ulaC//ompA//araJ//appC//nuoI//fdhF//cheZ//glpT//kbaZ//betB//soxR//lysU//ycjF//
PhoP-Phosphorylated_neg	exuT//mgtA//malY//mdtB//lpxA//rmf//grcA//rrsC//idnD//torD//deoD//
PhoP-Phosphorylated_pos	trmD//aroM//pstC//tyrP//nmpC//mgrR//sdhA//hycG//nrdG//nuoJ//hisM//map//hisJ//ybjG//ydhY//napD//cysH//nrdI//sbcD//sdhA//gltF//prpC//astE//tdcB//gltD//yidQ//yfdE//folE//tolC//mgrR//ccmB//paaE//hupA//bioF//ydhX//nikR//gspC//pgaD//uidB//pepT//yedX//lldD//nuoM//amn//cadC//ydeA//dusB//argT//purN//
PrpR-2-methylcitrate_neg	deoB//
PrpR-2-methylcitrate_pos	gabP//gcvT//osmC//ilvB//
PurR-Guanine_neg	emrY//mglB//grxD//lysC//ygiC//cyaR//nagB//fhuE//csiD//manX//cysC//csgA//moeB//glpQ//metK//gutQ//rplW//glnD//citF//gcvT//nuoE//atoD//deoD//metE//frdA//hyaE//galE//fumB//iclR//fixC//nrdH//nrdH//bcsA//sufB//
PurR-Hypoxanthine_neg	hybE//rplS//fucU//mtlA//rrsC//acs//cydC//xylG//araH//ynfE//ydhU//fau//galM//torD//zraS//ptsI//cueO//phnJ//ubiX//purF//citE//tnaC//entF//priB//cynS//glrR//nuoK//argB//narK//hybG//ulaE//lacI//garP//zinT//
QseB-Phosphorylated_pos	fimC//amtB//hyfA//uraA//
RhaR-L-rhamnose_pos	gspJ//pnp//
RhaS-L-rhamnose_pos	uxaA//csgA//ubiC//
RstA-Phosphorylated_neg	cysA//ndh//pyrC//livM//tpx//
RstA-Phosphorylated_pos	casE//casA//casC//tsgA//fis//
SoxR-[2Fe-2S]3+ oxydized_neg	mtlD//
SoxR-[2Fe-2S]3+ oxydized_pos	kbl//aceE//fepC//
TorR-Phosphorylated_neg	entE//
TorR-Phosphorylated_pos	rpsI//mtlR//nac//hupA//hycD//flhC//hypF//glcD//fhuE//
TrpR-Tryptophan_neg	nupC//rplV//fucK//ilvH//priB//malZ//fadE//ung//cysN//gspO//torD//dcuS//
TyrR-L-tryptophan_neg	yegR//caiD//ilvH//torA//melR//sdhD//lldP//marR//yfdV//hyfE//prpR//cpxR//
TyrR-L-tryptophan_pos	nuoH//fimD//glmY//
TyrR-Phenylalanine_neg	yccA//nlpD//ppiA//ydhW//pgaD//yegZ//rrfH//trpL//hyfC//cysC//torD//paaZ//
TyrR-Phenylalanine_pos	secB//mdtC//fbaA//
TyrR-Tyrosine_neg	hyfF//lpxD//yfbR//araC//hisQ//fhuC//hupA//micF//srlR//acrB//glpB//rutF//
TyrR-Tyrosine_pos	xylG//purH//metK//
UhpA-Phosphorylated_pos	uxaA//
XapR-xanthosine_pos	ugpC//bglB//
XylR-Xylose_pos	purF//rdoA//ygiC//ydhW//asr//rpsC//
ZntR-Cd2+_pos	cusC//
ZntR-Hg_pos	sdhB//
ZntR-Zn2+_pos	phnL//
ZraR-Phosphorylated_pos	fdhF//xapA//fimC//
Zur-Zn2+_neg	fhuF//alaS//fecD//prpR//rrsC//prpR//
