#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	rbsB//phnC//
CysB-O-acetyl-L-serine_neg	metN//allC//uhpC//aaeA//gpsA//hflC//nuoI//
CysB-O-acetyl-L-serine_pos	dcuB//uhpA//entD//acnA//fdnH//nikR//chbC//rrfE//astE//pflB//creD//puuE//mhpA//ygeH//hyfI//zwf//hyfJ//phoA//purM//atoA//galS//ssuE//tdcB//yecR//
DcuR-Phosphorylated_pos	ubiX//treR//ptsH//ccmD//evgA//gntP//gatD//yjeF//nuoF//
DnaA-ATP_neg	yfdE//nuoB//pflB//creD//hdeB//yoaG//narJ//nrfB//ynfE//creC//rrsH//
DnaA-ATP_pos	fepG//csiD//sxy//iclR//nrdA//chbA//aroH//
DpiA-Pasp_neg	fnrS//
DpiA-Pasp_pos	crr//motA//nuoA//fdnH//yojI//idnR//phnP//livK//dsbA//pgk//
DsdC-D-serine_neg	malK//
DsdC-D-serine_pos	casA//malG//
EvgA-Phosphorylated_pos	purB//hybA//phoQ//dnaN//mhpT//nagB//yaiW//hyfA//glmY//hycE//yidQ//nrdI//putP//ydhY//miaA//
FNR-[4Fe-4S]2+ reduced_neg	cheW//rdoA//thrV//rrlE//rpsJ//ugpA//gltF//yjcH//tehB//tnaC//gspF//nuoG//infB//napF//proP//ydhU//rimP//prmC//ccmC//metB//ascF//fecC//gatZ//ydhW//metY//ampD//znuB//malZ//cyoA//mtr//fucR//phnD//manA//frc//ychH//nanK//puuE//alaA//hycH//araB//rutF//livK//pdeF//bamE//ldtB//cyaR//baeR//puuR//amtB//iscU//raiA//flhD//araD//gpsA//ilvM//entC//dmsC//puuR//hofM//ugpE//crp//hycF//purM//alkA//caiT//uhpC//nirD//adhE//atoB//hofP//sufC//ampD//hflD//gutM//rimP//mcaS//puuB//adhE//evgA//cusC//bhsA//zinT//ilvG_2//upp//pdhR//nrdD//yfdX//hfq//manY//aaeR//aceA//nanM//tolC//rrsG//cysK//nanA//hycG//rhaB//ahpC//mpl//tauC//bioA//tadA//bglF//ssuC//evgS//yhfA//gadB//purK//gntU//mdtA//lacI//glnK//lpxB//norR//treC//tdcC//puuA//glgP//kbaZ//
FNR-[4Fe-4S]2+ reduced_pos	hisM//malX//gpsA//edd//uxaA//rdoA//argE//soxS//hofM//osmY//dusB//epd//treB//yrbL//aaeX//glpF//cvpA//paaI//cysA//casB//narK//yjiY//yhjC//hyaE//cusR//cusR//csgA//rrlG//zinT//lsrA//nanE//lsrB//yqjI//purH//acrD//atoA//modA//tyrB//nohA//phnK//hyfD//cusB//cpxR//ydeP//gntP//nuoG//gntT//ydeM//ileV//livJ//phnM//iraD//sucD//glpD//hyfG//purB//ycjX//pnp//tsgA//yeiW//rplC//evgA//ompW//cyoD//ebgA//nanS//grxC//osmC//yfdE//oppA//lsrR//glgX//cueO//manX//frdC//cyoE//rrfH//yhfA//bamE//galS//dpiB//lsrA//pgk//metE//nmpC//atoE//fecC//gapA//iraD//yggX//creB//ydeO//aceE//nikR//hybC//yjcH//galP//acrF//tyrA//kbl//hyaD//frc//psiF//ccmD//fhuF//qseB//ulaE//creC//purN//rplS//grcA//ptsH//hypD//uxuB//tnaB//fimI//nrfE//ileU//pdhR//citX//aldA//nrfB//sohB//hypF//cytR//csgA//hflX//qseC//dadA//csgC//mglB//phoE//yibN//tdcB//actP//casA//citD//paaA//glpK//crl//mglA//patZ//citF//rbsC//gutQ//erpA//nagC//entF//bioC//yidQ//gcvH//mutL//napA//aceK//hycC//ung//yqjH//entB//ompC//galE//glcD//betT//bamA//galK//sucA//lysP//astA//deoB//cusA//casA//citD//astE//pgaA//paaF//crr//oppA//ydeM//cysK//galP//bcsC//garL//gspM//trpC//znuB//cysU//gyrA//fepE//purK//creB//rpsC//aaeX//hfq//mglA//patZ//hybO//glpA//nirC//fixA//metC//melB//citD//hycG//
FhlA-Formate_pos	dcuB//dusB//chbG//prpR//cysW//rplM//appY//ynfK//glnK//glrR//ilvA//zraP//ompA//dmsA//hcr//ileV//rpoE//pheM//caiB//glgS//tehA//tdcC//aaeB//phnO//gspD//dadX//tyrR//rpsR//feoA//codA//
FucR-L-fuculose-1-phosphate_pos	glnK//ompR//rpsJ//phoP//tehA//fes//malG//
Fur-Fe2+_neg	ompX//ilvC//cysI//torD//garP//yebE//hyfR//paaE//dppD//argR//napF//rpoE//lsrC//uxuA//sufC//ykgM//rutF//dnaE//uidB//metY//idnK//cpdB//cheB//aroA//ykgR//sbcD//fecC//malM//pheT//sxy//glpE//creC//phoB//sdaA//carB//yqjA//phnI//rplC//hdeA//ydeJ//melR//ilvH//ulaD//bglG//oppC//lrp//mhpR//ugpE//sodA//ugpB//tsaE//srlA//hyaB//fecR//bdcA//dcuC//cyaR//cysM//caiT//phnE_1//aaeB//caiC//entS//srlB//uxuB//sbmC//ychH//fdhF//puuP//ydeO//yciW//nrdA//dsbA//yoaC//pheS//melB//alkA//soxS//acrD//aceK//ulaD//fepG//feaR//oxc//carB//rrlH//rrlB//nanK//infC//caiA//dmsD//dadA//trpB//metI//aaeX//iscU//slyB//glpK//folA//pflB//mglB//iraD//gabT//hyfE//pstA//srlE//moeB//hypE//mutL//ybdZ//allE//mglC//gutQ//yfiP//aaeX//phnC//bioB//argG//gltB//rpsF//yfdE//zinT//fadJ//livM//
Fur-Fe2+_pos	narH//xylG//fadD//fadH//sbcC//hyaD//rhaR//fepG//modC//mhpD//ulaF//manX//fadL//acrD//psd//nrfD//srlA//csgA//uraA//gatB//gltT//sufE//ccmC//polA//hisJ//
Fur-Mn2+_neg	ftnB//xylF//yqjA//cyoD//nuoC//emrY//csgC//tktB//fdnI//rrsA//folE//aer//rrlG//safA//nrdF//fimF//prs//truB//uxuB//rstB//betB//aroA//feoA//caiA//yciW//rybA//glpB//pyrC//uxaC//fumC//srlD//sdaA//bcsZ//malQ//cirA//fdnH//ilvN//phnO//dppD//mhpA//pflB//gatD//grcA//metL//napC//pgpC//lsrF//ilvM//ileV//cheR//argG//alkA//purK//cydA//katE//ilvX//yeiW//actP//csgF//iscR//aceE//cysB//caiF//hofO//rimP//dpiA//argT//rpsS//fimE//rplI//lacY//dnaN//lrp//map//tktB//dadX//ccmF//livJ//tktB//sdhB//rybA//glcD//ompW//hupA//tonB//dpiB//kbl//cpxR//cpxR//trpC//purA//cynR//nrdF//purD//torC//nuoJ//hofM//ynfH//actP//ulaD//hupB//prpR//ydfN//puuE//osmC//sucC//yegH//ftnA//ykgO//feoC//hupB//cysD//ilvC//betA//hyaF//ychH//tyrB//hycA//fhuA//uraA//araG//araC//sdaA//tyrR//
Fur-Mn2+_pos	paaE//hycF//lsrA//livF//prpB//znuA//ydeN//dcuR//rrfH//fecA//entS//hyfI//truB//puuC//arfB//aroH//tdcA//secB//malZ//alaT//cysD//soxS//hyfJ//rdoA//safA//
GlcC-Acetate_neg	torD//
GlcC-Acetate_pos	xseA//fepA//yqjH//hyaF//gadB//malF//
GlcC-Glycolate_neg	livG//
GlcC-Glycolate_pos	cyaA//glpB//ptsI//cdd//soxR//gabD//
GlrR-Pasp56_pos	ompT//
IclR-pyruvate_neg	argC//pheM//tnaC//dps//
IdnR-5-ketogluconate_neg	hofB//argH//cynT//
IdnR-5-ketogluconate_pos	pitA//phoA//fumC//nuoB//entS//
IdnR-Idonate_neg	phnI//casD//rpsP//
IdnR-Idonate_pos	nrfC//phoQ//rrsA//tfaQ//yecR//
IlvY-2-acetolactate_neg	nanA//
IlvY-2-acetolactate_pos	idnR//
IlvY-Alfa-acetohydroxybutirate_neg	nfuA//
IlvY-Alfa-acetohydroxybutirate_pos	bglF//
IscR-[2Fe-2S]1+_neg	metE//hyfF//gspO//rbsR//gadB//tsx//grxD//entD//ydiU//aspA//purM//cbl//yeaR//fumB//evgS//purR//melA//rcnA//xylG//oppF//rplC//tyrR//casD//yrbL//icd//paaD//ssrS//rhaB//pnp//entH//
IscR-[2Fe-2S]1+_pos	oppB//mtlA//pgpC//glpG//garL//glcA//aroM//argE//pta//dnaN//ydbD//
LldR-L-lactate_neg	glgX//sodA//fdhF//
LldR-L-lactate_pos	yccA//cysN//rplC//
Lrp-Leucine_neg	ynfG//acnB//uxuR//hypD//rplP//fldA//rrsG//yggX//aldA//skp//ilvN//gspD//hyfE//paaD//uxaB//fbaA//hdeB//infB//glgS//bhsA//nlpD//rutB//cynR//araH//ynfF//ompR//aaeX//ftnA//glnB//thrS//gatZ//mglA//puuA//metJ//hyaD//efeU_2//yoaC//cysP//casC//mtlR//oppD//tomB//nuoM//uvrA//lpxD//rpoE//fecI//hycH//fiu//sufD//nrfE//malK//srlE//purD//psd//nikB//rstA//aceE//tauB//crl//safA//hyaC//emrY//cusB//acnA//puuE//dcuR//ampD//ilvG_1//nrfF//ygaC//ykgM//bamE//folE//yeaD//
Lrp-Leucine_pos	iraD//hofO//ychH//tcyJ//livH//ndh//phnL//focB//fhuE//hflX//acrF//glgS//sufC//lsrC//bcsZ//lsrF//ygbA//fecB//mgtL//zwf//ybdZ//cadC//dcuB//hypB//tfaQ//phnJ//ilvE//metL//fucI//cspD//hyfD//nrdI//rplB//galT//chbR//
LsrR_neg	norW//ebgC//umpH//artI//prs//nrdG//tauA//hisP//sufD//
MalT-ADP-Maltotriose_pos	fimI//zinT//envZ//cpdB//hypB//aspA//rnlB//feoC//metI//prs//
MalT-Maltotriose-ATP_pos	napH//cheY//hyaA//hypA//mtlR//hcr//ugpB//rpsS//tktB//yfdE//
MelR-Melibiose_neg	argE//motB//epd//
MelR-Melibiose_pos	ysgA//hycE//osmY//
MetJ-S-adenosylmethionine_neg	araH//manA//entF//gspC//yqjI//lpxA//malI//appC//zraR//ldtB//cadA//mhpR//argE//gatA//metR//
MetR-L-homocysteine_neg	rof//ugpE//
MetR-L-homocysteine_pos	fis//iraM//lsrR//aceA//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	ompW//purE//rplW//phnM//nanK//rrfH//
MhpR-3HPP_pos	ilvI//xdhC//yegH//ivbL//pnp//gltT//
MntR-Cd2+_neg	norR//feaR//dusB//tauB//
MntR-Cd2+_pos	lsrK//
ModE-MoO42-_neg	rpsC//fimE//fhuF//prfA//crp//hybO//hyaB//alaS//acrD//prpE//fumB//pagP//malY//rimM//hofC//
ModE-MoO42-_pos	pheS//grpE//yfdV//rdoA//gpsA//cysN//ycjF//yjcH//araF//melA//livG//infB//gntU//cas1//nanC//carA//osmY//sucD//hycH//skp//ssuC//bcsC//phnF//adiC//malT//grxD//argI//cra//alaS//hemL//hisQ//
NarL-Phosphorylated_neg	araE//argB//umpH//phnE_1//nikE//gspJ//asr//envZ//ppiD//codA//fimD//cydA//ndh//nuoG//oppA//grxC//norV//cbl//pgaA//glpQ//srlD//rybB//metB//tar//malQ//mhpD//uhpT//caiT//nrfD//gyrA//glnL//motA//artM//uxaC//hisM//glmY//fimD//ccmB//cydD//fliA//mutL//fimH//glgX//livG//fixB//yrbL//rstB//ampD//gatD//cas2//sbcC//dps//cpdB//glpK//mutL//casC//mhpB//phnN//cheA//tcyJ//citX//pepT//carA//prpC//nmpC//tdcE//napD//leuE//rcnB//yfeW//frdB//osmY//argT//adiC//speA//metR//hyfE//fucO//agp//rutB//trpR//rrsB//rnlA//casE//arfB//ubiG//
NarL-Phosphorylated_pos	oppF//torC//hyaC//modB//hofB//acs//ilvI//rnpB//yeiW//paaB//hofM//fepE//acs//mscM//norR//raiA//uxuR//glnK//livG//hyfG//gatA//ompA//ygiB//ydeO//rplW//mhpA//ugpE//frdC//hybD//srlD//rpsF//cadA//fecR//hupA//atoB//caiA//alaS//sucC//aldA//narG//hycB//puuR//fixB//sbcC//frc//borD//
NarP-Phosphorylated_neg	paaJ//cusB//nagB//codA//hslJ//acrD//metA//uxaA//mtlA//yebE//recF//gatZ//prpB//argT//bioA//rpsJ//aroL//lpxD//phoP//nrdB//narG//yfbR//ygiC//hpt//nanC//edd//purB//nrdD//slt//hyfC//abgA//ompR//lsrB//
NarP-Phosphorylated_pos	rplT//rstA//murQ//focB//uxaB//ompA//lsrK//cpxA//dppF//lldP//bcsZ//ung//entF//comR//gltB//chbB//alaS//moaA//araH//nac//dusB//paaF//thrV//paaB//torA//betI//rrlE//lhgO//katG//glcD//napH//glcC//
NhaR-Na+_pos	paaE//lacA//cytR//tap//tdcA//
NikR-Cd2+_neg	betI//fdnG//znuB//psiE//cynR//nusA//
NikR-Co2+_neg	citF//agaW//sodB//appC//citD//glpD//
NikR-Cu2+_neg	tsx//ynfG//phnG//tdcE//ulaC//yeiB//
NikR-Ni2+_neg	ygiA//lolB//patZ//rseC//edd//nadC//
NikR-Zn2+_neg	copA//yeiB//nuoJ//gntT//fimE//rpsS//
NrdR-ATP_neg	cynX//rstA//ycdZ//gntX//sufC//ppdD//hyfE//fadI//prpE//
NrdR-Zn2+_neg	hyaB//ilvY//rutC//xylF//ydhU//fucR//uxaA//ykgM//sdaA//
NrdR-dATP_neg	phoB//mhpD//oppA//hpt//gspK//gltA//lysP//garR//ahpC//
NsrR-[2Fe-2S]reduced_neg	nanC//cvpA//caiF//entH//nuoN//phoR//trpL//bacA//cysH//puuA//acrE//betT//nuoH//fhuD//acrE//dsdX//entH//glpT//nuoG//aceE//argO//preT//galT//soxR//baeR//ahpC//marA//tdcC//sucC//pstC//gltU//galM//ssb//moeB//ompX//pta//mhpF//betB//fadA//sodB//cspE//moaC//gatB//cydD//azuC//ydeJ//zwf//gspE//flhC//aroP//nrfD//fucU//gatZ//evgS//dsdA//rpsP//cheZ//oppA//xseA//hofB//araD//malE//torC//sdhA//cusS//rrlA//narQ//prpB//feaR//melA//gyrA//ydeN//pyrC//
PhoB-Phosphorylated_neg	rplS//pdhR//glcA//aceK//lsrR//frdA//amn//fimF//phnK//katG//raiA//rstB//skp//
PhoB-Phosphorylated_pos	livG//idnT//nuoG//hisM//prpC//galP//rpoH//yhhY//gspM//epd//phnE_2//cheZ//acnB//entC//fau//nmpC//ygbA//araF//lsrA//codB//bcsA//tsaE//crp//casB//cydD//ydfN//glpK//napB//rseA//uxuB//bcsB//tauB//chiP//agaV//gltT//rhaD//uidC//ydeN//ychH//phoP//paaB//cheW//phnH//ubiG//gatC//pflB//safA//cysU//nuoL//sufC//acrB//livG//sufS//
PhoP-Phosphorylated_neg	murQ//metQ//truB//phnI//gltT//ftnB//ilvL//pck//hflD//caiT//ugpA//
PhoP-Phosphorylated_pos	tnaC//cysD//actP//casB//nagC//argT//fecE//gltF//yqjA//atoD//murQ//agp//fur//emrK//cusB//pstA//gutM//livM//pnp//rutA//rpsR//ybjG//nrfE//gabT//hycF//metE//ykgM//chbR//yaeP//hybB//cspD//aceB//uof//bcsZ//narH//zraR//rseA//manA//lpd//rutC//deoB//pheM//yeaE//erpA//gpsA//yiaJ//torR//aaeA//asr//
PrpR-2-methylcitrate_neg	idnR//
PrpR-2-methylcitrate_pos	nrdF//rpoS//deoD//rpsI//
PurR-Guanine_neg	slt//xapB//nuoE//narJ//cpxR//fau//gltW//lamB//dmsA//ygbA//araF//lpxA//zraR//creC//cusA//fecB//argO//lldP//metB//rrfF//argR//ivbL//gntT//xdhB//carA//uxaC//pyrC//mhpA//cheZ//gabP//hypD//ftnB//efeU_1//xapA//
PurR-Hypoxanthine_neg	glyA//ssb//artI//tauA//purL//acnB//metR//gyrA//cysI//pck//exbD//argF//aceA//hyfH//dcuB//focB//dsbA//recF//ccmB//casC//xylG//glnB//fumB//rrfA//metQ//chbC//pepT//hemA//bamA//aceB//araF//aroF//phnG//ung//
QseB-Phosphorylated_pos	nlpD//motA//gadC//phoB//
RhaR-L-rhamnose_pos	paaC//fldA//
RhaS-L-rhamnose_pos	cusB//cyoD//aaeB//
RstA-Phosphorylated_neg	qseC//narH//ykgM//casB//hypC//
RstA-Phosphorylated_pos	mhpT//oxc//artP//ansB//ompW//
SoxR-[2Fe-2S]3+ oxydized_neg	lacI//
SoxR-[2Fe-2S]3+ oxydized_pos	argA//hslJ//uof//
TorR-Phosphorylated_neg	mdtA//
TorR-Phosphorylated_pos	ascF//paaB//rpsC//xapB//pheT//entF//cra//rmf//rnpB//
TrpR-Tryptophan_neg	yjiY//abgA//csgD//nrdG//phnM//rmf//uxaA//nrfC//puuB//rrfG//evgS//gltT//
TyrR-L-tryptophan_neg	citE//appX//recF//nuoL//hyfD//purF//gntK//sufS//lsrK//rhaR//fadA//chbB//
TyrR-L-tryptophan_pos	sroD//prpB//phoU//
TyrR-Phenylalanine_neg	ompR//serC//mhpT//bdcA//gntX//puuE//ychO//livG//tdcB//galT//gntX//lacZ//
TyrR-Phenylalanine_pos	cusF//serC//fucO//
TyrR-Tyrosine_neg	livM//yfdE//melA//moaA//yfdV//ilvB//rrlG//caiT//ilvB//torD//citF//aroH//
TyrR-Tyrosine_pos	fau//argO//phoQ//
UhpA-Phosphorylated_pos	fucK//
XapR-xanthosine_pos	fepE//mdtD//
XylR-Xylose_pos	rcnB//metC//mglB//argE//cpdB//malT//
ZntR-Cd2+_pos	degP//
ZntR-Hg_pos	adiC//
ZntR-Zn2+_pos	nirB//
ZraR-Phosphorylated_pos	gatD//ebgC//galP//
Zur-Zn2+_neg	hisP//oxc//leuE//psiF//paaC//ilvY//
