#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	erpA//copA//
CRP-cAMP_pos	asr//mutL//yhjC//motA//lysU//cyoA//rpsI//tnaC//csgB//trg//ycjF//lacI//feoA//aer//dsdX//ansB//secB//dnaE//mntH//hemA//ygbA//uidA//rpoE//tdh//lsrA//ilvI//ubiG//rimM//emrY//modB//tar//tap//galS//phnE_1//dsdC//malQ//ldtC//fecC//hyfF//atoE//agaV//entF//tdcB//ydhU//hyfE//glcC//napD//artM//cas2//ilvA//nanM//rhaR//phnF//purM//nmpC//livG//oppB//fucR//lsrR//exuT//purD//lldD//ykgO//phnI//bcsC//yecR//rplS//hlyE//glpT//nrfD//yebE//frdB//rrfH//gltF//appY//ilvG_2//exbB//ssuC//aaeA//malT//arfB//dsbA//tdcE//torD//chbB//gltV//melR//rpoS//napA//csgG//prs//fhuC//rimP//tadA//alaV//zinT//cusC//ilvB//psd//aer//ilvY//nlpE//ulaA//tcyJ//lolB//hflK//mtr//nrfE//nuoJ//cyoC//lysA//fucI//amn//ampE//znuA//ccmE//rnhB//pyrD//gpmA//narG//aaeX//secB//mhpD//ompR//fepE//tnaC//feaB//emrY//gatY//napH//nrdF//focA//preA//tadA//uidB//mgrR//talA//tnaB//rpsF//map//csgB//nikR//cysK//mlc//pck//rplD//ilvX//gltU//lpxB//galT//ilvE//uxaC//nanM//mdtC//nikR//rutA//hyfI//bioA//hupB//ubiC//ydhY//bdcA//yegH//ybfN//exbB//rplP//glgA//envY//mhpF//hdeD//sufD//acrA//acrD//pgk//ulaF//astB//ssuD//paaJ//hisP//casC//atoA//gatB//mipA//codA//nupC//yaiW//puuB//serA//yggX//glgS//sufC//rpoS//phnO//glcG//gltW//tehA//grxD//hypA//csgE//cysN//rseA//nuoK//lacI//napH//pitA//sufB//efeU_2//xylB//cheW//lacY//ascB//sbcC//paaC//bdcA//galT//rplP//rrfB//pdhR//amiB//sucA//exuT//tnaC//nrdD//zntA//tnaB//glnA//rplS//nrfC//iraD//hyfB//mglB//nuoJ//garR//sdhD//betB//mhpC//hcr//metB//modB//modB//bdcA//fucU//fadA//hisQ//alaU//fabZ//chbC//phnJ//acrD//ykgM//mglC//sdhC//napA//lolB//psiE//rrfB//iraM//xapA//ccmD//oppC//narG//pncB//glnK//arcZ//nrdD//srlE//betA//degP//pheM//nlpD//rpsP//envZ//mglC//ulaB//yaeQ//cheR//gatY//map//dppF//rplC//lldR//psiF//ychO//garK//sbcD//chbC//phnO//yoaC//trg//galS//comR//envZ//ydiU//cysK//yfbR//tam//zraR//ssb//cusS//hyfI//rcnA//artM//dapD//hyaE//astB//nuoK//glnD//glcF//ahpC//glpE//hflK//yoaC//marB//iscA//aidB//lysP//rpoE//nusA//pgaB//ccmD//csgB//citG//rrlD//truB//chiP//hypE//purF//fau//napA//carB//phoH//tauD//rbsR//spf//cysA//ahpC//uhpC//fbaA//garR//metF//metI//rutC//nrdI//ccmC//purH//acrD//ebgA//puuE//cheW//artI//hycA//pheT//hycC//argE//gltV//gabD//nrfC//aceK//fecI//nanM//hybO//fimC//malE//pgaC//motB//dppD//rplV//iraM//glyA//torR//fixX//aroA//pstC//nrdI//slt//hycH//srlB//puuD//cysU//allD//cysI//rrsA//fadI//micF//glgA//exuT//narL//preA//rbsK//sufB//nrfB//tam//lolB//ccmF//metH//osmY//nuoJ//pitA//ugpQ//hybE//melB//bglB//rrsC//xdhB//fixB//nagE//hlyE//malS//paaJ//puuD//truB//livG//gntX//ebgA//baeS//metJ//purA//rrfB//dnaN//sufS//hflX//fepC//puuC//proP//agaV//yegH//cheA//exbB//nrfF//
ChbR-Monoacetylchitobiose-6P_neg	hofP//purR//ydhX//idnO//metC//mhpB//
ChbR-Monoacetylchitobiose-6P_pos	yfdE//tyrR//glgX//glgX//fepA//murQ//
CpxR-Phosphorylated_neg	rrlH//umpH//ubiA//aaeA//araF//nuoH//hybD//gspH//zraR//glpE//glcE//nrfD//prs//mtlA//yecR//ygiB//gapA//folE//yeiP//hisP//fbaA//sroD//exuT//chbB//
CpxR-Phosphorylated_pos	hycH//yeiB//ynfF//csiD//norV//prmC//uhpB//malS//bcsA//dcuB//araJ//lolB//lpd//rplW//hycD//napH//acrB//hypC//atoA//aceB//zraP//artI//rpsS//hybD//xdhA//glgC//nrdG//gntP//marR//pta//folA//treR//ydeA//bamA//raiA//tdcD//moeA//araB//alaU//idnO//glpG//betT//yggX//yebE//csiD//
CreB-Phosphorylated_neg	acrF//rbsD//artM//
CreB-Phosphorylated_pos	miaA//tomB//lsrC//ilvH//tdcD//spy//
CueR-Ag_neg	abgA//tsx//grxC//srlE//dcuC//
CueR-Ag_pos	creC//malM//
CueR-Cu+_neg	psiE//fur//nrfF//rof//mtr//
CueR-Cu+_pos	ccmG//cyaA//
CuerR-Au_neg	fau//dcuD//rrfA//malS//ssuC//
CuerR-Au_pos	xylF//rpsS//
CusR-Pasp_pos	slt//glyA//fdhF//rrsA//cyoA//cstA//codB//paaC//fucO//bioB//purR//hyfF//
CynR-Cyanate_neg	icd//
CynR-Cyanate_pos	allD//gutQ//guaB//
CysB-N-acetyl-L-serine_neg	slt//rrsE//bglB//argH//yjiY//fau//cysM//
CysB-N-acetyl-L-serine_pos	nuoG//cysW//rhaB//manY//deoD//emrY//ompF//gltV//ydeN//cas2//icd//bglB//metR//tdcF//gspI//fixC//ilvM//ccmH//lacY//entB//pgpC//yhhY//qseC//
CysB-O-acetyl-L-serine_neg	hyfF//fucR//cysI//abgA//paaD//sohB//rstA//
CysB-O-acetyl-L-serine_pos	ygeH//yrbL//srlD//yfaE//glpD//ahpC//cysJ//fhlA//rrsE//csgF//nuoN//fepE//hemA//zraP//evgS//metY//ssuA//napG//fecE//malP//ydhV//frdC//malM//uxaB//
DcuR-Phosphorylated_pos	oppC//ydhY//hyaF//serA//ygeH//hyaA//tcyJ//feaR//mntH//
DnaA-ATP_neg	ada//cynT//nusA//livF//rrfG//yccA//lpd//chbC//aldA//phoR//livK//
DnaA-ATP_pos	cpxR//srlA//recF//tfaQ//hypB//gspK//deoD//
DpiA-Pasp_neg	epd//
DpiA-Pasp_pos	rpsS//purE//cysK//deoA//appX//feoC//yfiP//nagA//ybiT//tcyJ//
DsdC-D-serine_neg	ynfG//
DsdC-D-serine_pos	nohA//galM//
EvgA-Phosphorylated_pos	sdhA//gadC//prpR//flhD//chbA//cysW//erpA//rplD//phnE_1//zraS//lldD//tktB//znuA//ssuC//dmsC//
FNR-[4Fe-4S]2+ reduced_neg	phnN//lsrB//znuA//zntA//envY//dsdA//purC//fhuE//betT//ihfA//glmY//ydiU//yojI//purM//bhsA//cyoE//murQ//csgB//rcnB//pck//hyfH//citC//entD//erpA//dmsD//dppB//ssuE//aspA//pheT//csgC//gatC//glgX//phnG//ygeA//psiF//tpx//cadB//rplC//rrsE//galE//modA//rstA//tehB//grcA//mhpB//ssuB//abgA//fhuD//astE//hybO//rplD//dctA//metC//agp//cysI//bcsB//purB//acrD//mhpR//erpA//rrsE//dnaE//napF//tyrP//uhpT//gltV//fiu//hyfJ//nupG//paaK//bcsC//malK//gspM//argR//ydeJ//uhpC//fadI//tauA//melA//gltW//treC//hupA//nuoF//rstB//hypA//napA//dcuD//galK//bhsA//norV//yebE//cra//fecE//trpD//exuT//lsrF//pitB//manX//paaJ//arcZ//napH//ubiG//entE//nac//glgB//rrlB//rplP//ilvI//narI//fimF//entE//cra//cheW//xapA//tsx//crr//rrlH//casB//fliA//narL//
FNR-[4Fe-4S]2+ reduced_pos	ada//gspM//acrF//ydeO//talA//hypF//yjcH//rbsC//cysN//cysW//bamE//rbsC//lsrB//yegH//napB//ychH//rseA//psiE//napG//trpL//dusB//rrfF//lldD//rpsS//napH//argI//pncB//entB//mcaS//ydiU//hpt//mdh//udp//paaC//torD//lhgO//fecA//csgB//hflC//arfB//prpB//nanA//nagE//torC//rutE//idnK//aaeR//rcnB//preA//rpsI//gutQ//phoP//baeR//hyfE//kbl//napG//cpxA//caiE//phnJ//fadB//glcD//ilvN//gntK//hisJ//torD//nrdE//malY//fepA//glmY//rrfF//glpE//aroM//hyaF//artJ//lpd//rstA//cirA//lsrA//cheR//uof//tnaB//lsrA//mhpC//nrfB//gnd//rrlE//pgpC//hybB//acnA//ynfK//paaZ//rybA//ssuA//aspA//tsgA//nuoJ//allD//nikE//pstB//napF//dppB//hcr//ycjX//ldtC//sucC//moaD//rplI//fimF//entS//yebE//argC//chbF//rhaS//yiaJ//cbl//paaZ//glpB//icd//crp//glpA//argH//yfdE//recF//phnD//proP//paaD//fimG//cyoB//livK//uhpA//carB//rbsB//rpsQ//gspD//aspC//ryhB//gadC//phoA//betT//ubiG//glpQ//envY//ilvB//gspJ//ccmB//rrfG//fhuD//rplB//nuoM//cysB//betB//tpx//mtr//malM//rrlB//hyfH//eda//casD//rhaD//arfB//tdcD//hisP//fepA//glcG//fhuE//ptsH//hofP//cyoC//entH//tauB//gspK//galE//hcp//bioF//glgA//ubiG//norW//ilvB//lpxD//pheT//fixB//araJ//hslJ//oppA//uxaA//fumB//ryhB//araF//fucO//uhpA//ugpB//aaeA//gntK//rrlA//glpX//cyoE//acs//manZ//metK//purM//creD//fhuA//
FhlA-Formate_pos	cysK//treB//rrfH//lacA//tnaB//argA//gnd//aaeX//gyrA//rpsI//yiaJ//ung//uidB//tsx//soxS//lldP//xylA//ssuD//zwf//cydD//malG//ydhV//acrA//atoA//rnhB//allC//yoaC//oxc//ihfA//lacI//
FucR-L-fuculose-1-phosphate_pos	mdh//cheB//hyfI//ompA//hycH//evgS//rpoH//
Fur-Fe2+_neg	metR//crr//nuoF//rrlH//dcuA//tonB//livH//citG//malE//purN//sxy//cusC//adiC//ompC//prpR//ynfG//comR//paaC//aroA//yecR//aroP//rplT//fucU//norR//dsdA//ubiC//ilvH//waaH//nrfF//yeaE//pck//lpxB//hofC//glpF//tdh//fadB//tnaA//ogt//rrfD//rhaD//carB//fabZ//narJ//ascF//nupC//oxyR//tdcB//ulaA//flhD//dcuA//pgk//ilvL//folA//trpE//dpiA//aceK//ydfH//cadB//puuB//idnK//hydN//rrfE//rrfF//fixX//pgaA//srlA//uxuA//agaV//ykgO//rstB//mdtC//xapA//aroP//glcB//fucA//ilvG_2//tyrP//prpC//ydfH//rrsE//oxyR//citE//zraR//yjeF//fnrS//tdcE//fimG//malQ//rrfC//nrdF//fimA//lpxD//sodB//hyfE//ilvM//alkA//appC//rplS//ssb//fucA//prpB//yaiW//actP//glcC//mgrB//metL//garK//lsrF//feoC//hypD//napH//ygiA//cheY//katE//yeiB//malG//xylF//aroH//xdhB//efeU_1//puuR//ascF//hybC//dapB//
Fur-Fe2+_pos	galP//ilvM//tdcF//livJ//rhaT//lacA//idnD//citX//tyrB//dcuD//ompW//pdeF//hflX//fhuC//lsrD//trpB//lamB//frdC//purD//arcA//glcB//hdeA//tdcD//argE//rpsP//
Fur-Mn2+_neg	nirB//nrfG//glgX//cheA//artJ//artQ//phnF//appB//lysP//manX//cytR//agaV//nagA//alkA//fadH//mscM//tdcB//citG//cytR//ssuE//iscU//dcuC//csgG//exbB//psiE//iscS//zwf//lysP//nrfF//gspD//yjeV//oppA//gadB//ynfE//ileT//glrR//idnR//psd//mscM//paaK//fadD//bcsA//actP//ulaB//narQ//zntA//sucB//hybO//ilvA//phnF//yaiA//dsdX//ccmD//sucA//argA//deoB//cusF//ebgA//nuoF//ilvI//rrsA//gspE//dcuS//map//hyfJ//oxyR//guaB//gatZ//csgF//cspE//mzrA//gyrA//bcsB//ptsH//purL//tomB//yeaR//moeB//nrfG//ahpC//oppF//glpD//argF//argA//bcsA//napB//narG//ybiT//rutF//fecR//nlpD//bacA//purA//rpsQ//xdhB//grpE//tdcC//icd//ssb//fhuA//ispE//yfdV//tyrR//aspA//lldR//glgC//araH//narK//amn//phoP//sroD//cusF//rutE//csgD//cra//moaD//gltA//gspL//rrlE//citG//aroM//hofN//cheB//hofO//
Fur-Mn2+_pos	prpC//lldP//sucB//xdhB//nrdE//icd//yeiL//mlc//hycF//trpC//ampD//sdaA//ybdZ//mgtA//caiC//nrfA//ulaD//galM//purL//cpxR//rrfE//sbcD//ldtB//grxC//sohB//
GlcC-Acetate_neg	tdcG//
GlcC-Acetate_pos	znuA//nfuA//lacI//phnC//cheY//moaE//
GlcC-Glycolate_neg	ygiB//
GlcC-Glycolate_pos	glyA//hemA//erpA//tdcC//rpsP//uhpB//
GlrR-Pasp56_pos	hypC//
IclR-pyruvate_neg	ydeO//ulaA//phoH//pstB//
IdnR-5-ketogluconate_neg	fadA//appC//tdcF//
IdnR-5-ketogluconate_pos	bdcA//nikB//ydhT//zraP//cspD//
IdnR-Idonate_neg	kbaZ//citD//ykgM//
IdnR-Idonate_pos	lsrF//ulaA//rplC//cysK//tdcE//
IlvY-2-acetolactate_neg	gpsA//
IlvY-2-acetolactate_pos	uxuR//
IlvY-Alfa-acetohydroxybutirate_neg	cyoB//
IlvY-Alfa-acetohydroxybutirate_pos	purA//
IscR-[2Fe-2S]1+_neg	oppA//ybiT//feaB//dmsC//pyrD//hypE//grxD//pepT//yhjA//malQ//srlR//rrsB//yiaJ//rrfA//mtlD//hyfE//argP//ampD//argF//pagP//patZ//hemA//ahpC//codB//rbsD//rrfA//hisM//argG//ccmC//nrfA//
IscR-[2Fe-2S]1+_pos	tpx//fimI//sdhB//bcsB//treR//ahpF//rcnA//citE//ileU//fimE//cysI//
LldR-L-lactate_neg	uxuA//yaeQ//ccmA//
LldR-L-lactate_pos	ahpC//rplB//rrfB//
Lrp-Leucine_neg	tyrR//infB//melR//fimG//cydC//dcuR//map//moaB//hyfR//mcaS//ulaE//prpD//lsrR//cusF//mpl//rrlG//rbsA//yeaR//ulaC//grxC//tadA//glpF//ydhT//mgrB//hybA//yhjA//fadE//entF//abgB//patZ//dkgB//dppF//tnaA//ydfH//idnR//pdhR//uidC//melB//paaE//cytR//hemA//betA//rrsB//cusA//rpsO//cysM//uxaA//lpd//fhlA//marR//ycjX//borD//trpB//mntP//ydeP//idnK//citC//oppC//sodA//mgrB//iscR//argA//ackA//paaG//ssuB//lacY//ampE//caiD//yjcH//narQ//ycdZ//trpR//mdh//rrlE//aaeX//
Lrp-Leucine_pos	tap//glcC//napG//ptsI//lolB//fimE//sufD//araC//nuoB//oppF//frdB//pgaA//gapA//thrV//caiA//yhfA//znuC//glpA//rnpB//nuoC//infC//cysP//ada//borD//rrsC//xylH//csgA//fadB//torD//lsrD//cspD//appA//creC//yfaE//pagP//
LsrR_neg	purK//eda//nanK//soxS//leuE//ulaD//casD//creD//yjeV//
MalT-ADP-Maltotriose_pos	grpE//hdeB//glpX//ccmE//psiE//idnR//sbmA//uof//purL//chbF//
MalT-Maltotriose-ATP_pos	psiF//rrlG//nagC//idnT//malI//entC//hha//speA//glpT//phoU//
MelR-Melibiose_neg	rrlB//prfA//ompA//
MelR-Melibiose_pos	ygiA//fur//idnT//
MetJ-S-adenosylmethionine_neg	pta//sbcD//uidC//yqjH//grxD//fepC//sodB//pgaC//hyfB//lysU//sufA//map//rrlE//norV//puuA//
MetR-L-homocysteine_neg	hycF//argE//
MetR-L-homocysteine_pos	cyoA//waaH//yegR//ynfG//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	rrlH//ppiA//lrp//napH//pdeF//cheR//
MhpR-3HPP_pos	entB//gdhA//citX//citF//katE//sufC//
MntR-Cd2+_neg	dcuR//chiP//acs//glpB//
MntR-Cd2+_pos	nirB//
ModE-MoO42-_neg	glpE//nfuA//yhhY//rutC//cysW//yfdV//galK//lacZ//hflK//idnT//rplT//baeR//rrfG//trpA//ompT//
ModE-MoO42-_pos	malT//aidB//prpB//rrfD//pdeF//xylH//torR//metH//nrdG//napG//appA//acrB//dkgB//casB//hofC//lsrA//treB//exbD//ulaE//phnI//ssuD//caiB//agp//uidA//infB//rrfA//rpsO//nanM//livH//dsbA//uraA//
NarL-Phosphorylated_neg	lsrK//ydfH//trpL//guaA//astB//lysA//narH//ptsI//tauC//prpD//moaA//ihfA//aceK//argR//rrsE//paaG//aaeB//ilvG_2//cra//ilvG_2//artQ//ahpF//cheW//zraR//edd//bamA//hflC//cydD//hycG//ugpB//napB//qseC//aceA//idnD//aroH//cadB//uxuA//fucU//tyrB//tauC//xseA//lsrC//ccmE//casD//prpR//hisJ//hyaB//speC//ilvC//rpsR//rcnB//dcuB//bglB//xylF//evgA//zinT//alaS//glpX//cyoB//yrbL//hemL//ssrS//zinT//puuR//lhgO//gnd//glrR//metR//fdnH//gltU//livF//lpxD//atoD//astA//paaK//folA//glnD//glpG//mlc//ssuE//ompT//dkgB//hyfD//aaeX//nuoH//aroF//
NarL-Phosphorylated_pos	fadL//sucC//rbsR//ompW//gcvH//adiC//ilvI//oppB//fumA//nanK//argO//malY//ryhB//fepG//betA//xylF//narG//uxuR//ompA//malK//hybA//pitB//fepG//rrsC//hemL//lldD//lsrG//mhpF//lldP//hycD//sdhA//hfq//phnC//yhfA//yaiW//phnK//glpE//hflC//kbl//fnr//aldA//yhjA//xdhB//cusS//cydC//mgtA//
NarP-Phosphorylated_neg	fur//glgP//casC//efeU_2//gnd//oxc//kbaZ//tdcB//nrdD//narG//yeaR//tauB//ftnB//phnI//nusA//cheR//nanA//rpoH//uof//entB//tauB//ynfF//mpl//fucA//dppF//tdh//paaA//gntT//hyaA//araE//ugpE//betI//phnG//
NarP-Phosphorylated_pos	cynX//uof//cysN//cynT//nuoI//ompA//upp//hyfB//thrS//oxc//sodB//gcvH//metK//rrfD//yeaR//glcE//ulaC//narK//artP//guaA//hslJ//fhuD//nagB//narH//gcd//dsbA//hlyE//ydhW//fepG//hypB//melB//moaE//
NhaR-Na+_pos	envZ//malX//nanK//ahpF//exbB//
NikR-Cd2+_neg	rhaA//glpX//gltF//mdtB//hemL//betT//
NikR-Co2+_neg	agaA//aaeX//preT//aspA//fecR//phoR//
NikR-Cu2+_neg	tdcB//trpD//nuoF//preT//purE//nlpE//
NikR-Ni2+_neg	cpdB//prs//alaU//ampD//sufC//psd//
NikR-Zn2+_neg	gspD//fimA//oppC//phnP//cyoC//csiE//
NrdR-ATP_neg	fucU//malE//fecB//lldR//dmsD//ychH//aldB//glpD//fepB//
NrdR-Zn2+_neg	gcvH//napH//hofB//appX//rrsH//oxyR//fucP//fumA//fdnH//
NrdR-dATP_neg	fliZ//xylA//fumA//ompR//bioC//emrK//dcuA//ydeP//speC//
NsrR-[2Fe-2S]reduced_neg	sufD//rutC//hupA//bcsB//araE//betI//ugpC//phnE_1//caiA//pitA//rplB//nikE//nanM//alkB//casE//araH//truB//malT//uxaA//agp//uof//hypF//nrdB//mhpE//udp//srlE//nanE//ivbL//ihfA//dnaE//citX//yjeF//nirD//hyaC//fucK//metQ//dpiB//tnaB//pgk//nanM//glpK//ycjX//waaH//dapD//tauB//lsrR//rdoA//allE//pstC//fucI//trxA//gntP//metI//flhC//nrdD//rrfG//malE//bioB//iraM//atoA//amn//rpoE//exbD//hpt//creB//baeR//cyoE//rrfE//citX//rseB//gutQ//rrfA//hpt//
PhoB-Phosphorylated_neg	alaT//mgrB//citG//aceK//phnM//ahpC//metC//citX//mlc//lsrK//phnE_1//betA//fimE//
PhoB-Phosphorylated_pos	paaD//yaiW//mipA//norV//bioF//gspF//metE//fepE//avtA//cynT//ccmC//ispE//upp//rplT//dnaE//uxaC//betA//uof//yibN//acrE//uhpA//pgaC//cydD//chbB//garK//dcuS//rseA//cysM//bhsA//degP//tdcB//tpx//glcD//ygiC//alaT//metL//nikE//rpsJ//yhfA//cas1//acnA//glpE//phnP//dcuS//bioA//nadC//ssrS//tyrP//pstB//dsdA//srlE//dmsC//dps//
PhoP-Phosphorylated_neg	glnG//bhsA//aldA//hupA//fecD//mdtD//glnK//narJ//gspE//cpxR//amiB//
PhoP-Phosphorylated_pos	talA//caiC//ampE//arcA//nanC//araC//trpD//tdcD//spy//rhaA//ebgC//rrsE//fepA//tdcG//gspE//ptsH//hybC//ompX//cheB//ynfG//ssuB//psiF//motB//sucB//pdeF//ssuD//treC//sdhA//nrdE//aceF//astB//acrD//mglB//ampD//fucA//astC//spy//livG//cynS//ogt//glcD//arcZ//ilvD//rdoA//cynR//nuoA//ilvD//marR//yecR//
PrpR-2-methylcitrate_neg	yegZ//
PrpR-2-methylcitrate_pos	hflC//hpt//aldB//yqjI//
PurR-Guanine_neg	spy//ulaC//gatC//yhjC//uhpC//cyoA//ihfA//leuE//malQ//patZ//fhuA//dmsA//caiC//malX//yqjI//glgA//hdeA//lsrC//rrsD//bioD//efeU_2//araH//bcsA//fhlA//fucK//gnd//ilvB//caiB//tar//pyrD//bamA//uxuB//srlE//yeaE//
PurR-Hypoxanthine_neg	iscS//yeiB//pitB//waaH//fumA//hyaE//fixC//xylB//pta//tauB//mgrR//ampD//dadX//ydhY//ccmF//cas1//narH//dcuR//yibN//rplS//mlc//ftnB//hyfR//ftnB//rplB//lpxA//nrdI//moeA//fecB//dmsC//cysJ//ackA//glcC//livK//
QseB-Phosphorylated_pos	dnaE//hmp//entD//mdtC//
RhaR-L-rhamnose_pos	gabP//nrfB//
RhaS-L-rhamnose_pos	gspL//hflC//evgA//
RstA-Phosphorylated_neg	tam//frdC//hyaA//citD//fimF//
RstA-Phosphorylated_pos	cirA//cheZ//glpA//aceB//deoB//
SoxR-[2Fe-2S]3+ oxydized_neg	narK//
SoxR-[2Fe-2S]3+ oxydized_pos	artQ//hycE//ackA//
TorR-Phosphorylated_neg	rimP//
TorR-Phosphorylated_pos	mdtC//torC//ydhY//fecD//cirA//mutY//tauB//rimP//aer//
TrpR-Tryptophan_neg	yneM//nanA//codB//puuD//malP//atoA//nuoC//ftnB//tsgA//rnhB//gapA//mdtA//
TyrR-L-tryptophan_neg	modB//alaS//tdh//cysP//entC//phnL//skp//pheT//fecI//argG//caiD//rhaA//
TyrR-L-tryptophan_pos	fixA//entA//ftnB//
TyrR-Phenylalanine_neg	metE//yccA//ileU//rbsB//mhpR//deoA//cas1//metE//waaH//allC//rrfG//adiC//
TyrR-Phenylalanine_pos	fadI//ykgO//skp//
TyrR-Tyrosine_neg	hyaA//aroP//fdnI//appC//ysgA//yegR//fecD//feoB//phnN//phnF//yjcH//glnA//
TyrR-Tyrosine_pos	hypD//gabT//gspD//
UhpA-Phosphorylated_pos	glpA//
XapR-xanthosine_pos	cueO//rybA//
XylR-Xylose_pos	fau//ychH//evgA//rrfE//chbG//ileU//
ZntR-Cd2+_pos	appX//
ZntR-Hg_pos	argR//
ZntR-Zn2+_pos	argC//
ZraR-Phosphorylated_pos	gcvP//infC//glnD//
Zur-Zn2+_neg	lsrC//fixX//ackA//sbmC//moaA//zraS//
