#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	ynfF//fabZ//
CRP-cAMP_pos	modC//allC//csgA//livJ//hyfH//icd//yaeQ//cynS//hofO//csgC//pstS//truB//chbF//casC//cirA//envY//ydfH//trg//ansB//ssuC//codA//nirB//fixC//hycF//raiA//speB//torR//trpB//fepD//gltU//lsrA//hflX//hybB//pheS//gntT//nadC//nirB//yfbR//sodB//evgS//mglC//pgaC//ulaD//zinT//comR//dadX//acnB//gcvT//treR//dcuA//yeiW//bioB//ydfH//hycD//csgC//rpsQ//nrfE//phoA//bamA//artP//astB//mutL//rpsI//torC//hypA//lacZ//lysA//ilvX//ahpF//nuoI//leuE//fepE//rpsQ//ulaA//agaA//bdcA//iscS//metB//nirB//yojI//tsgA//aldB//cueO//cysU//puuD//tdcD//fdnG//gabP//aroM//glgX//nuoC//ydeN//cyaR//argT//cyoC//uidB//fadH//truB//ubiX//lsrD//melA//nuoB//ompC//gntK//xapA//focA//yfiP//cysW//rutB//ugpB//dsbA//dapB//mdtA//paaK//lsrC//glpR//gspE//nadC//acrB//osmC//ilvX//tfaQ//cysP//allC//artM//malT//fucR//hyfC//cysI//caiF//sufS//dcuA//hybF//ilvX//cusS//cysD//appB//rpsI//phnM//trxA//xylG//acrE//csgC//purL//folA//sufB//cadA//rbsR//ynfG//lolB//hyfD//hypB//glgB//argR//ilvG_1//xdhC//hybG//narJ//rybB//murQ//cyaR//argG//gatB//fnr//fadJ//rnhB//thrS//rhaS//fhuA//dcuS//yfdX//glnG//ftnA//ydeM//argG//ompA//tyrA//aceE//pheM//dmsA//folA//purN//nikD//prpD//trpL//metC//yaeQ//prs//fixC//hha//livH//hyfR//bglB//trg//fadH//sbcC//hyfI//trxA//metJ//amtB//hyfF//bcsA//nirC//gcd//csgA//rpsO//cusS//puuA//glcB//lacI//mtlR//cheW//tehA//sdhB//murQ//napD//metY//tdcB//yibN//sdhC//cydC//rrfF//argT//sbmA//rimP//glgB//gadC//ccmA//marA//sroD//narK//dnaN//gadB//lhgO//nagE//lsrK//cra//araH//yjiY//oppD//cysD//fhuA//emrK//sufA//srlB//yaiA//betT//paaB//mtlR//yjeV//mhpE//metN//bglB//tomB//rnpB//narJ//nikB//xylB//amiB//argO//moaA//tyrA//yhfA//cynX//rcnA//carA//tonB//atoB//slyB//copA//nikC//degP//hisM//idnR//pta//napG//yjiY//paaG//purE//fnrS//phnP//puuD//malE//mutL//ulaC//rpsC//entS//tehA//tdcG//ydfH//artI//ccmH//acs//glnL//hybF//secB//bglB//tnaB//aroH//hisJ//paaZ//metA//ugpC//sdhA//ygaC//chbB//napH//astD//idnD//gspM//rpsS//cysJ//fepE//rhaR//nuoI//rpmI//nlpE//metC//argG//sufA//metR//hypD//nanK//rstB//gyrA//prpR//sdaA//focB//glyA//cyoA//upp//tsx//metA//metR//argG//nfuA//gabT//psiE//umpH//appX//garK//dnaE//cydB//rrsE//yoaG//hyfA//metE//rseB//ftnA//hyfA//moeA//ilvB//sufB//phoE//mpl//cra//hpt//rutD//cyoC//rstA//rhaT//lldD//iscA//gapA//hybA//trpR//treC//paaF//flhD//paaJ//katE//xylG//hisJ//pyrD//galP//mhpT//dppC//metN//puuA//caiC//yegR//aceK//uxuR//dcuS//araA//hofO//pheS//gadB//tdcB//ldtB//gspL//gdhA//malG//argR//yegH//cysK//yccA//gpmA//yegR//moaA//argB//manA//argB//dsdA//ssuE//yidQ//sucA//nrfE//artI//citD//gntR//ptsG//srlA//narH//mlc//mgrR//citC//psiF//mglA//rpsP//entF//ydfN//glpQ//hyaC//lolB//nikB//truB//appB//nuoL//
ChbR-Monoacetylchitobiose-6P_neg	metR//skp//cusS//yfdE//dapD//dppF//
ChbR-Monoacetylchitobiose-6P_pos	trpB//hyfA//borD//entH//purR//rrlH//
CpxR-Phosphorylated_neg	entE//aspA//speB//phoU//ccmA//znuB//nikB//araF//preT//mtlR//arcA//mhpE//rutF//bglF//sodB//ydhT//sucB//fepG//entB//fimE//nagA//fhuE//nuoB//iscA//
CpxR-Phosphorylated_pos	actP//ompT//efeU_2//ynfF//gutM//ompC//mntS//lacY//adiC//iraD//ccmB//cvpA//motB//prpB//fnr//cra//puuC//adhE//rplB//ndh//ilvY//ilvI//fimH//bamA//nagB//narH//mutY//skp//ugpQ//dppA//mepH//glnD//lysU//ydiU//narQ//focB//rpsO//malT//narJ//sucC//sucD//puuE//ompF//moeB//araE//
CreB-Phosphorylated_neg	rpmC//puuD//bcsA//
CreB-Phosphorylated_pos	pagP//fimC//pflB//fbaA//uxuR//puuP//
CueR-Ag_neg	pagP//nrdI//tsaE//gspJ//lysP//
CueR-Ag_pos	fecD//nupC//
CueR-Cu+_neg	lsrC//phnF//cbl//ahpC//phoR//
CueR-Cu+_pos	rplS//alaA//
CuerR-Au_neg	yegH//ilvI//pgk//puuB//moaB//
CuerR-Au_pos	moaC//ilvM//
CusR-Pasp_pos	malF//feoA//hmp//ydeM//glpF//sbcD//mdh//fepA//ydhV//pagP//moaA//xylH//
CynR-Cyanate_neg	appB//
CynR-Cyanate_pos	gatD//gatA//map//
CysB-N-acetyl-L-serine_neg	argO//gntU//aspC//napC//ygiB//rrsD//hycD//
CysB-N-acetyl-L-serine_pos	lamB//glgP//purR//cheW//ubiX//rrfC//slt//hypC//yhiD//rpsO//hycD//napG//lldR//comR//pdeF//betA//yciW//nrfG//hdeB//yedX//ilvH//bioA//rrsH//
CysB-O-acetyl-L-serine_neg	glpE//ccmD//nuoA//astE//hyfE//torR//comR//
CysB-O-acetyl-L-serine_pos	iraD//mgrB//ompA//flhC//ynfK//idnR//yfiP//ydhW//ackA//alkA//acrF//fadD//tonB//baeR//nuoG//puuD//fecB//ydeP//mtlA//rrlC//fixC//glnG//slt//uxuA//
DcuR-Phosphorylated_pos	atoE//moaA//aidB//alaT//lhgO//dcuR//nrdG//paaK//glnB//
DnaA-ATP_neg	hcp//araJ//lolB//fecI//yegZ//evgA//paaA//idnR//dmsC//araJ//pgpC//
DnaA-ATP_pos	znuB//phoP//tonB//gyrA//hupA//hpt//mdtC//
DpiA-Pasp_neg	tsr//
DpiA-Pasp_pos	tehA//uhpA//yjcH//fepE//alaV//metY//hybD//slyB//iscR//lsrC//
DsdC-D-serine_neg	ulaE//
DsdC-D-serine_pos	tsx//motA//
EvgA-Phosphorylated_pos	garR//gadC//rplS//malX//glgB//mdtC//dadA//nagB//atoE//fepD//cas2//glnK//glcB//glcB//deoD//
FNR-[4Fe-4S]2+ reduced_neg	artM//metK//yjiY//nlpD//appY//rplV//cydB//pstB//gyrA//stpA//ydbD//hyfE//sxy//dppC//pyrD//ssrS//degP//zraP//paaE//purM//phnK//arfB//uof//napB//narJ//zraP//fixC//ubiC//lacZ//rrfC//gltW//oppD//rhaD//rplT//glpT//appA//rpsO//baeS//tadA//mhpR//yaiW//fucU//grcA//lsrR//napA//ldtB//nuoH//kbaZ//napF//fimI//cytR//metN//norR//cpxR//recF//rbfA//fliZ//osmC//bcsC//purB//glgS//puuE//moaA//hisJ//pepT//puuC//ebgA//phnO//tnaC//lhgO//yjeF//trpR//gdhA//gabT//preA//fucR//gcvP//cheR//srlD//cheA//frc//pgaA//malE//caiF//puuB//gatZ//carB//fdnI//aceK//ccmG//manZ//frdA//ydfH//phnF//hyfB//nusA//moaD//psiF//trpD//dapB//prmC//xapB//casC//narJ//entE//nikC//agaW//nanM//abgT//purB//narH//rhaB//rybB//entF//erpA//fes//hemL//glcE//spf//bcsB//
FNR-[4Fe-4S]2+ reduced_pos	carA//phnD//rrlH//rrfF//hyfF//ilvG_2//narL//dppB//rof//glpA//gabP//uraA//ptsH//yqaE//metI//caiC//tsr//nrdE//thrV//sodB//norR//hflD//rhaR//trpE//emrY//nmpC//fdnI//bglF//gspH//glcG//sbcC//dmsD//cysG//safA//yfdX//envY//rybB//puuB//mhpB//hyaB//agaA//trpB//pgpC//cysD//tktB//talA//uxaA//zraR//nrdF//rhaS//chbR//dnaN//hemL//deoC//phnE_1//dnaN//lpxA//fucK//fis//artQ//tdcA//ydbD//atoA//envY//garR//moaE//creC//idnO//aroL//rimM//cysK//casA//sdaA//talA//mntH//ndh//purC//umpH//aer//efeU_1//sufE//pck//torD//rrlA//tauB//fixA//emrK//ysgA//hmp//ssuE//ygiB//hdeD//purK//ahpF//fimH//rhaA//hyfE//argP//rbsR//livM//ascB//yfdX//gatZ//prpD//glpX//argI//aidB//ssuE//acrA//nuoC//guaB//ryhB//ykgM//puuR//nmpC//oppD//uraA//lhgO//hyfI//stpA//abgB//cysI//umpH//rpsF//soxS//rrsD//yhjA//galP//oppC//ppdD//entA//ulaB//lrp//modB//uvrA//sbcD//nikC//cydD//tauD//amtB//astA//araC//alkA//agaV//ulaC//rutF//hpt//mutY//hha//prs//hybD//fhuE//paaF//casA//uidA//nagB//malX//fepG//sufE//nikD//ybdZ//dmsD//rhaA//pstS//frdC//murP//uxuR//avtA//argT//nanA//mzrA//trpC//narL//caiA//argE//glyA//malG//rseA//fucI//hisJ//oxyR//rrlH//hyfJ//patZ//agaA//hypD//torA//mntS//upp//yhfA//tdcC//feaR//tauC//betI//icd//tyrA//puuB//edd//argF//entF//hybB//sufE//
FhlA-Formate_pos	cusA//ilvB//purL//dmsD//fiu//tap//mglC//rpsC//astE//yhhY//phnO//fepG//pnp//yhiD//gspI//cysU//deoA//fumB//lamB//uxaA//gntT//hyfA//tdcD//glnB//tonB//rof//bioB//astD//rstB//malF//
FucR-L-fuculose-1-phosphate_pos	rutG//purH//cyoA//cysW//yfdE//ydfN//bamA//
Fur-Fe2+_neg	fixB//atoB//rmf//glnL//ydeM//glnD//nikA//ulaC//gcvT//mdtB//yaiW//cpdB//raiA//rplW//malT//hmp//fhuF//gspH//csiD//iscA//glpG//chbB//glnG//yqjI//ybjG//cheB//pstB//hyaB//nohA//glpD//sufS//actP//sdhA//cysA//metI//rhaT//gspD//psd//rutD//abgT//casC//betB//phnK//fabZ//alaT//marR//mntS//rrsA//cueO//glgA//ebgA//paaJ//ydfN//yqaE//glcA//dkgB//tyrP//hycG//melA//acrB//mgtA//rseC//gatY//ilvE//micF//hycI//bcsC//manA//creB//malQ//alaS//nuoG//nikD//treB//abgB//oppD//serA//nuoC//ogt//nrfG//oppD//dcuS//epd//tdcC//dcuB//gatY//rrfD//ulaD//fimG//gcvH//hycG//fecC//srlA//aroM//envZ//xylF//ydeP//rbsC//pgaB//nfuA//napB//sdaA//dppD//exuT//idnO//moaA//ppdD//ptsH//pdhR//phnG//rcnB//nusA//chbR//gspM//sdhD//dppA//chbA//pheT//cysU//creD//fadJ//xapB//ydeA//ldtB//
Fur-Fe2+_pos	narI//xylG//ilvN//ydbD//cysM//cysA//putP//nikD//xylA//mhpA//purH//rseA//fliA//appX//bioF//bacA//lsrC//nuoM//dsdC//citF//dmsA//cydA//yebE//phoP//yjcH//
Fur-Mn2+_neg	rbfA//rpsP//ulaF//rpsJ//bcsA//cydA//nrfC//hflD//hpt//uxuA//paaG//fhuD//cstA//rrlB//cpxA//tsgA//rrlD//chbC//phoE//gltF//osmY//dppF//hflK//erpA//speB//yiaJ//purL//hofN//ileV//iscS//osmY//caiT//araF//rybA//malF//sucC//ssuD//livK//glnK//sucA//lysO//phnI//sucC//pncB//rdoA//ssrS//priB//rnhB//nikA//glpB//gspL//aaeB//gspH//paaH//nrdD//acrA//phnE_2//oxyR//yeiW//yhiD//comR//rbsB//tdcC//gatY//mtlA//rrfE//fdnG//cyaA//cysI//dcuB//nrdF//rrfA//nikB//torD//tauA//feaR//prfA//serA//tyrP//cynS//aroP//gltT//rseC//sufE//nlpD//glcC//uidC//gltD//dppA//glrR//lrp//tauA//cysJ//melB//dcuB//allC//ykgR//yebE//marB//metJ//entS//dppB//grxD//argP//fhuF//purF//alaT//yfdE//tktB//pgaC//hyfG//phnE_2//ilvN//rrsC//gatC//rimM//hypB//artQ//caiB//talA//hflC//malQ//glpC//nupG//
Fur-Mn2+_pos	fecD//alaT//nrdD//glpX//modB//rutC//ulaB//purE//livG//citF//livH//tnaA//ydeJ//hdeD//rplD//tonB//evgS//glnK//ssrS//lsrA//nadC//metB//sbcD//yjeF//mgrR//
GlcC-Acetate_neg	feoC//
GlcC-Acetate_pos	trxA//ybdN//sbmA//mlc//sroD//napH//
GlcC-Glycolate_neg	nuoM//
GlcC-Glycolate_pos	ryhB//hybE//fepB//cynX//glpG//rbsA//
GlrR-Pasp56_pos	aroM//
IclR-pyruvate_neg	putP//frc//agaA//xdhC//
IdnR-5-ketogluconate_neg	nrfA//narJ//ileU//
IdnR-5-ketogluconate_pos	purR//emrY//fucR//ompC//nanE//
IdnR-Idonate_neg	srlE//dnaN//malG//
IdnR-Idonate_pos	cysP//bamE//mzrA//narQ//ychO//
IlvY-2-acetolactate_neg	sdhC//
IlvY-2-acetolactate_pos	pstA//
IlvY-Alfa-acetohydroxybutirate_neg	mgrB//
IlvY-Alfa-acetohydroxybutirate_pos	ynfF//
IscR-[2Fe-2S]1+_neg	lsrF//alaA//speC//tfaQ//treR//iscA//uvrA//nrdE//ompW//malG//rplW//sufC//casE//yqjI//ssuA//allD//hyaB//xylG//fdnH//bcsA//xseA//ubiA//hisP//cheZ//lysO//aroA//creB//nac//gcd//puuP//
IscR-[2Fe-2S]1+_pos	idnT//ssuA//gatA//cysB//mgrR//speB//betT//fimE//talA//ccmC//mglC//
LldR-L-lactate_neg	prpE//prpD//betT//
LldR-L-lactate_pos	fdnI//sufB//pitA//
Lrp-Leucine_neg	ileT//glnA//ccmB//cheB//malK//kbaZ//malS//grpE//rutB//psiF//hdeB//ybdN//bdcA//hfq//thrS//umpH//fucI//phnO//rpsR//tap//yhhY//osmC//pheM//paaE//cstA//mdh//tap//folA//dctA//frdC//gadC//ileU//yhcH//nrdE//sufD//yneM//melA//yegZ//aroM//gapA//fepA//trpA//safA//galE//ubiA//rplW//focA//hyfA//rhaT//rimP//fldA//ccmE//crl//fhuC//nanM//ydbD//cdd//tonB//micF//aceK//artM//nrdF//ydhW//yhcH//argC//cysJ//ydbD//ansB//treB//yeiB//prpD//dcuC//atoE//moaD//acrA//
Lrp-Leucine_pos	moeA//nadC//fepA//csgC//nuoF//rplW//csgE//hofB//mscM//osmY//cysD//idnO//fadH//gntK//frdC//trpD//glmY//ivbL//nikR//argT//nuoL//livM//iscU//oppC//paaG//malI//fimI//glpD//manA//ssuA//rstB//paaJ//spf//agaV//tnaC//
LsrR_neg	rrsB//yjeF//mlc//ygeA//arcZ//hyfB//fimA//cheW//glnA//
MalT-ADP-Maltotriose_pos	ilvG_1//fepD//hflC//rutD//osmC//betB//dcuS//argC//napH//hyfI//
MalT-Maltotriose-ATP_pos	sufC//rbsA//metQ//fixC//nuoN//hslJ//mdtA//glnG//purC//dnaE//
MelR-Melibiose_neg	malY//hlyE//trpC//
MelR-Melibiose_pos	atoB//nirC//rpoE//
MetJ-S-adenosylmethionine_neg	uidC//cysW//alkB//xylA//yrbL//yjjZ//nac//ompA//glnL//mhpC//ubiG//nanK//iraD//cadB//ldtC//
MetR-L-homocysteine_neg	fucR//fucR//
MetR-L-homocysteine_pos	mcaS//udp//cheB//phnM//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	cysU//napA//ytfE//hycG//mgtA//ahpC//
MhpR-3HPP_pos	argO//ampD//degP//mglC//gspE//tyrB//
MntR-Cd2+_neg	chbG//lysP//tyrP//fucP//
MntR-Cd2+_pos	moeB//
ModE-MoO42-_neg	hflX//fdnG//cdd//hybF//lsrF//rutE//sxy//hyfB//hemA//betB//hycC//tsx//rdoA//atoA//preA//
ModE-MoO42-_pos	rnlB//copA//livG//dnaE//osmC//acrD//micF//tdcG//gadB//paaK//zntA//gspO//ybfN//sufD//csiE//puuC//fepE//deoC//rplP//betA//rcnB//idnT//ydiU//rbsB//bcsC//speB//rpoH//purK//hycA//sdhB//srlA//
NarL-Phosphorylated_neg	ynfF//fldA//fdnI//lsrD//hofP//uxaB//trpA//bhsA//moeB//fadL//amiB//acrB//cysW//hflX//marA//dmsA//lsrC//livH//fimG//purA//acrA//abgT//hypF//aceA//appB//gltF//aidB//pyrD//napB//mhpD//yeaE//sdhD//nuoJ//appA//fdnG//rdoA//thrS//cstA//phnE_2//arcZ//paaG//tnaA//oppA//narH//phoE//gabP//rrsB//cydA//cyaR//cpxR//gpsA//phnE_1//miaA//phnG//ykgR//glpF//lsrA//aceB//ssrS//asr//alaU//glgC//rhaB//frdD//rrsD//yoaG//glcE//csgF//argT//metH//fadE//livJ//nrfG//rrfE//nikE//phoR//ydhT//sucD//glcC//dsdC//allD//ivbL//yebE//paaD//malE//yedX//
NarL-Phosphorylated_pos	rplS//umpH//aaeX//amtB//mgrB//yoaC//nanA//cysU//gatA//dpiA//ychO//chbR//tdcE//baeR//tam//feoC//livJ//aldB//comR//idnK//fadH//ykgM//rybB//feoB//hyfJ//amn//ulaC//ygiC//znuA//rseB//citF//rhaB//atoE//narX//uidC//cheW//artI//moaC//ycdZ//fhuA//rpoS//ugpQ//lysU//speB//phnE_2//yaiW//
NarP-Phosphorylated_neg	evgS//lsrF//pta//ndh//puuD//hisP//phoE//ssuD//ycjF//trpL//torC//dgcZ//yebE//motA//astE//hflK//gatD//purM//sdhC//sdhC//cyoA//cusS//nrdH//mhpT//trpE//oppA//norR//mhpD//pyrD//fimE//uhpB//pagP//adiC//
NarP-Phosphorylated_pos	fldA//fixC//fhlA//deoC//erpA//pheT//nanC//hisP//dgcZ//astE//hypB//cyoA//ycjX//trpC//hupB//mlc//rrlG//csgB//borD//xseA//ychH//entS//ykgR//mdtD//appX//livG//carA//lpd//cyoB//yfaE//nikB//mntS//
NhaR-Na+_pos	ugpA//prmC//ilvA//fixA//rybB//
NikR-Cd2+_neg	fimH//tap//dsdC//bamE//purF//hflC//
NikR-Co2+_neg	araJ//ppdD//lsrF//uhpA//phnI//mhpF//
NikR-Cu2+_neg	lldD//lacA//katE//gabP//ahpF//frdD//
NikR-Ni2+_neg	fdhF//rpsO//nanC//rof//ileU//hemL//
NikR-Zn2+_neg	srlD//hycD//ptsH//qseB//cspE//malM//
NrdR-ATP_neg	uxaB//glrR//yfdE//ybfN//tdcF//chbA//tktB//napH//phnF//
NrdR-Zn2+_neg	tsgA//nuoK//treB//ydeJ//glgP//arcZ//tsgA//bioC//nikE//
NrdR-dATP_neg	polA//narQ//tauD//yeiP//nuoF//paaI//artM//ybdZ//rpsC//
NsrR-[2Fe-2S]reduced_neg	rnlA//dppF//moaD//infB//paaF//dsdC//iscA//artP//xylA//hybD//nrfF//caiE//rybA//hisM//gspK//idnR//xseA//purN//pncB//glgS//malP//lpxD//fur//sroD//rybB//mhpR//ulaC//hyfC//upp//gabT//cysH//narK//xdhC//argR//rpsF//fimI//fucI//yebE//chbB//rrfE//aaeA//malS//hofN//mepH//mglC//glpX//lpd//ydhY//abgB//znuB//tauD//acrA//trpA//phnP//galS//entA//tpx//gcd//fecD//skp//dadX//argR//rhaR//ybdN//glnG//lsrF//yhjC//cirA//livM//bioB//cynX//trpR//rplB//
PhoB-Phosphorylated_neg	betB//gutM//hycF//pyrD//mscM//fimI//ubiC//yaeP//fimC//adhE//malM//rplD//casC//
PhoB-Phosphorylated_pos	fepA//umpH//soxR//chbR//bcsA//citX//citG//cusA//dsdX//gabT//zwf//hybB//grcA//hyfJ//puuC//dcuA//yfdV//metH//mglC//uraA//hisM//rnlA//fumA//narL//katG//yfdV//csgF//zraR//hdeD//cusS//xylA//feaB//fdnG//tap//ytfE//csiE//atoE//chbF//cspD//tadA//oppB//dmsB//dusB//cyoA//hycF//ygeA//gltF//metR//fdnI//ilvE//fepC//fliA//ilvD//
PhoP-Phosphorylated_neg	ygbA//nanM//flhC//mglB//hofC//rbfA//gltB//uxaA//ptsI//secB//glpA//
PhoP-Phosphorylated_pos	fadL//agaA//ihfA//phoB//glpC//rrlH//bcsC//ssuB//csgA//csgG//ssuA//sufC//appY//aspA//rplI//napG//rrsB//dpiA//gpsA//cstA//tsx//nuoC//yegZ//feaR//gatD//glpB//yccA//tauB//feoC//gatC//nanS//gntP//tdcE//hdeD//hybB//katE//focB//frdA//trpA//sdhD//pgaC//nrdE//upp//astC//hslJ//betA//borD//xapA//hypD//
PrpR-2-methylcitrate_neg	csgE//
PrpR-2-methylcitrate_pos	glpG//caiE//moaE//xylH//
PurR-Guanine_neg	cpdB//sufD//acnB//ybjG//efeU_2//astB//bglG//mtr//pgaA//pdhR//hycB//argT//oppF//aroA//malI//bglF//phoA//lysC//paaA//erpA//ydiU//treB//crl//sdhB//rpsR//bioF//cheY//hofC//iraD//hyaC//purR//astA//ldtC//slyB//
PurR-Hypoxanthine_neg	nuoC//rhaD//hybA//entB//gatC//hyaC//rutB//ftnA//rimP//gcvH//lpxA//malT//rnlB//mzrA//sufE//acrE//phoQ//gltF//sucA//hupB//yfdX//erpA//glpA//map//argR//purN//gltU//rrsG//tehB//cusB//napB//purH//glpD//acnA//
QseB-Phosphorylated_pos	fimA//fepA//livH//casB//
RhaR-L-rhamnose_pos	hypA//phnN//
RhaS-L-rhamnose_pos	citG//napB//fecI//
RstA-Phosphorylated_neg	znuA//rpoS//entB//tdcF//fepG//
RstA-Phosphorylated_pos	gapA//glgA//sdhC//fecC//hypB//
SoxR-[2Fe-2S]3+ oxydized_neg	casC//
SoxR-[2Fe-2S]3+ oxydized_pos	gcd//tomB//gatA//
TorR-Phosphorylated_neg	rutE//
TorR-Phosphorylated_pos	rcnA//ileU//sufS//rstB//prpE//rstB//pgaD//iraD//ilvX//
TrpR-Tryptophan_neg	baeR//atoB//ileV//rseC//yeaE//grxC//puuD//nac//glpQ//cynR//gabD//lsrR//
TyrR-L-tryptophan_neg	hcr//rbsC//soxS//mdtA//ydfN//phoU//yojI//crl//glpA//mgrB//entE//safA//
TyrR-L-tryptophan_pos	sroD//ldtC//lpxD//
TyrR-Phenylalanine_neg	trmD//sohB//rpsQ//rseA//mntH//nuoH//nikC//ygeA//yhjC//rstA//pgpC//oxyR//
TyrR-Phenylalanine_pos	nikE//pgaD//yaeP//
TyrR-Tyrosine_neg	ubiX//fhuB//rrfE//borD//sufD//lacA//flhC//phoU//nlpD//livK//pheM//ilvN//
TyrR-Tyrosine_pos	gntX//entE//caiE//
UhpA-Phosphorylated_pos	casA//
XapR-xanthosine_pos	nlpD//frdA//
XylR-Xylose_pos	rbsD//trpD//fadE//argC//hypD//xapB//
ZntR-Cd2+_pos	yhcH//
ZntR-Hg_pos	hlyE//
ZntR-Zn2+_pos	xdhB//
ZraR-Phosphorylated_pos	azuC//malP//uhpB//
Zur-Zn2+_neg	lysU//lysA//ccmD//ycdZ//epd//rbfA//
