#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	fepD//cynT//
CRP-cAMP_pos	feaR//cusA//phoU//chbF//ydiU//frc//envY//nikC//raiA//rrlE//xylF//cyoE//pstC//purA//phoA//ung//xylB//gapA//uhpC//ykgR//gcvH//caiB//gltF//iscR//allC//deoC//dcuR//nikC//rseC//ydfH//ccmC//astB//hofO//allE//ynfK//pdhR//iclR//lysC//mtlD//fimG//phnK//lysU//deoB//purE//hdeB//rnhB//csgF//aer//phnF//mgtL//nrdB//rpoE//folA//yjjZ//betI//gltW//hslJ//ilvC//caiE//hyfH//rplC//cysH//nuoN//crr//napC//sbcC//gcvH//fecD//aroP//mgrR//cydC//rpoS//rhaA//fepG//yhfA//tauB//mglB//gltW//alaA//rhaB//galM//appX//ybjG//casD//argE//tolC//norV//entD//ccmC//gcvP//zraS//yfdX//recF//hyfJ//copA//argB//yegZ//ompF//mscM//srlD//fimI//trpE//hyfD//csgD//rplP//modC//ada//yeaD//mtlA//fimD//caiA//tyrR//phoP//yaiA//emrK//iscR//frdA//tdh//tktB//livF//truB//xdhA//puuR//carA//znuC//folA//exbD//nuoB//rnpB//hydN//pstA//ynfF//purD//ccmH//yegZ//qseC//ubiA//fhlA//narK//citE//fdnH//lysU//grxD//phoB//nirD//dmsB//phnM//fucU//znuB//glpE//torC//bamA//entD//pdhR//glcD//aceA//ivbL//fadL//hyfI//pagP//ilvX//aaeR//nrfA//chbF//envY//fau//metR//mhpC//fhuC//moaE//frc//ebgA//purE//iraD//caiE//aroG//znuB//puuE//gntP//narH//ynfF//prpR//fimE//glnB//gatB//dadA//glnD//nrfD//mglC//csgC//cadC//rrfA//cyoB//zraR//idnO//cueO//metI//aroG//tauD//lpd//yqaE//agp//prpD//bcsC//phoQ//gltB//bglF//cysI//slyB//napA//agaA//ebgC//aroH//exuT//ccmC//degP//prpC//dcuD//tehB//katG//hypC//paaF//chbG//zwf//yeiL//trmD//ilvM//narI//yaiW//ada//napD//dppD//paaD//rbfA//carA//gspF//araC//epd//focB//cstA//leuE//mhpR//ndh//tauD//yfiP//srlE//hdeD//asr//ampD//exbD//livJ//nanC//frdD//infB//puuB//glcD//purH//agp//araJ//osmC//lysP//phoB//chbC//mtlR//aroA//manZ//map//purR//lacA//lysO//fliZ//citC//phnM//caiE//puuB//glgP//ugpQ//ydhV//gspD//yegR//gdhA//phoQ//gatC//ykgR//gntU//ileU//moaE//aceA//nrfC//ydiU//yedX//gspC//phnL//paaD//folE//raiA//mutY//dcuA//malZ//paaZ//narX//fhuF//rrfG//fimC//nuoL//fdnI//lldR//trg//aspC//pitA//ygiC//nac//uvrA//ompX//puuC//yeiW//dnaA//rhaS//acrF//ubiC//paaA//hybE//gabP//amtB//oxyR//hdeA//melR//aspA//paaE//ilvD//pdeF//malS//mhpD//gspD//hflX//fiu//phnC//infB//garK//argR//manX//gcvT//yqjI//dppB//cadA//cyaR//nrdA//tnaB//cra//fau//lsrD//ubiA//sufS//hyaC//bcsA//yqjH//ispE//yggX//ompX//aspA//creD//rdoA//fimF//rdoA//phoE//ebgA//phnM//lsrA//evgS//mgtA//rbfA//prpC//moaE//cheY//nanA//phnF//hycI//norR//xapB//fecR//hflD//aceF//pheS//hofN//ydbD//napC//hybF//gutM//dppC//argP//rpsP//cysK//gdhA//gapA//dps//dapD//uvrA//ssuD//moaA//ftnA//cynR//nupG//tnaB//cytR//ackA//hybA//cynX//hyfR//caiF//hemA//ynfF//osmY//cysJ//hofM//paaC//rrlB//galT//acrE//icd//cheZ//nagB//nlpE//ydhU//qseB//speA//atoE//cyoB//argG//ugpA//
ChbR-Monoacetylchitobiose-6P_neg	rrsD//nikR//pgaB//phnH//murP//malF//
ChbR-Monoacetylchitobiose-6P_pos	nadC//metB//bacA//tnaA//fecR//norR//
CpxR-Phosphorylated_neg	map//alaU//gapA//yhcH//livH//ccmC//gspC//aceB//yaeQ//cusA//casC//srlR//psiE//glnL//tehB//azuC//tnaA//araF//mglC//yjeF//hofB//efeU_2//leuE//pstC//
CpxR-Phosphorylated_pos	lacY//evgA//galE//ebgC//preA//gatA//slt//appX//argB//tdcB//znuB//mtlD//gdhA//gspE//appA//hyfG//agaW//ccmB//sufB//paaC//gcvH//ftnA//puuA//deoB//gspE//nadC//cadC//gspJ//atoB//mhpT//yqjA//pgpC//talA//fecE//cysN//glpF//csgA//speA//garL//chbR//hybO//nrfA//yeaR//appA//uhpC//
CreB-Phosphorylated_neg	purL//yeaD//ccmE//
CreB-Phosphorylated_pos	tnaA//garP//cheW//argT//pyrC//hemL//
CueR-Ag_neg	xdhC//metQ//nanS//frdD//phnN//
CueR-Ag_pos	araB//casB//
CueR-Cu+_neg	oppD//hofO//mhpA//lpxD//phnF//
CueR-Cu+_pos	fimH//malK//
CuerR-Au_neg	ydfN//melA//nanA//rpsI//glpQ//
CuerR-Au_pos	rpsR//hydN//
CusR-Pasp_pos	glnL//ihfA//atoE//cyoC//ilvI//paaC//rplW//mltC//malS//iclR//glpT//rpoE//
CynR-Cyanate_neg	nupG//
CynR-Cyanate_pos	iscA//grxD//csgG//
CysB-N-acetyl-L-serine_neg	dcuC//srlR//bacA//cspE//nuoM//hpt//lsrF//
CysB-N-acetyl-L-serine_pos	glpT//zraS//treC//malE//aroH//tdcB//ccmH//hycG//sdaA//ugpQ//entB//metY//yggX//guaA//idnO//lamB//livK//arcZ//sroD//yiaJ//ascB//gcvH//astE//
CysB-O-acetyl-L-serine_neg	rplD//purC//malG//sufA//cbl//fepE//ykgO//
CysB-O-acetyl-L-serine_pos	hisQ//yhcH//nikC//yeaR//ugpA//tnaB//mutY//tdcA//nikA//ppdD//tdcB//gadB//uhpB//yaeQ//rprA//norV//ycdZ//napB//argP//metF//rbsA//yecR//astD//metK//
DcuR-Phosphorylated_pos	lrp//dps//lysC//hyaA//pgaB//fnrS//ubiX//sroD//iscS//
DnaA-ATP_neg	dppC//ygeA//moeB//ulaB//baeR//gspL//dnaN//cra//narL//argP//infC//
DnaA-ATP_pos	hisJ//pitA//ampD//nikC//acs//phoQ//znuB//
DpiA-Pasp_neg	malM//
DpiA-Pasp_pos	talA//aaeA//paaE//trpC//feoA//tonB//hyfD//ybdZ//alaA//glgP//
DsdC-D-serine_neg	ccmC//
DsdC-D-serine_pos	melA//crr//
EvgA-Phosphorylated_pos	rybB//aroF//dcuD//fixB//csgG//lpxB//nrfB//ydhV//gspI//yhfA//rstB//cadC//ynfF//phnH//mglC//
FNR-[4Fe-4S]2+ reduced_neg	ompF//gatY//xdhC//chbG//paaG//appA//atoA//sbmA//dnaE//hyaA//acrF//osmC//astC//pdhR//nirD//fliZ//metN//ulaE//hyaC//crr//citC//nanS//rutE//lacI//phnI//rrsH//paaH//narQ//ydhY//caiC//aroM//lamB//oppB//uvrA//acrD//fhuD//argF//sucA//zraS//puuC//focB//purD//hyfG//phoB//nac//bglG//yegR//acrD//metF//nmpC//glcF//rnlB//napD//hybE//puuR//rutG//modA//dadA//paaH//arfB//argI//yfdV//yeaE//csgE//map//codA//purF//fhuB//argO//dcuA//tsr//sufA//sdhC//nirC//pstS//hisM//cspE//lrp//pck//ilvC//tauC//glnB//phnO//puuB//uxuR//csgE//gcvP//pgaA//narG//ulaF//phoH//chiP//ulaC//sdhB//frdC//tehB//appX//nuoM//torC//ilvN//uxaB//purD//citC//ygaC//chbC//hybB//tdcG//hcr//ulaA//ccmH//fadH//hofB//ppiA//aroG//gntP//nikR//mgtL//dnaE//nrfG//yedX//
FNR-[4Fe-4S]2+ reduced_pos	hslJ//melB//fhuF//mutY//fecD//rhaR//mntP//arcZ//acs//yegZ//araF//hha//malP//ackA//borD//srlD//chiP//metJ//pgaC//nikB//cysA//casA//chbA//fumB//yqjH//fecB//mipA//garR//hyfC//nrfE//manA//tsaE//qseB//tap//aceB//miaA//rbsD//ilvM//gspD//mhpA//phnC//sdaA//melB//nrfF//napC//ompW//amn//phoP//purA//gntX//phnM//yjiY//aldA//nikB//rplW//ilvX//rplW//cysW//idnR//cra//rplM//sdhC//nagA//nikE//ssrS//fliZ//ilvG_2//nanK//chbC//glgA//manY//grxD//pheM//ilvE//rrsE//gntR//hisM//phnO//atoB//tnaA//malY//fdhF//nuoI//puuB//gadC//yeiP//manZ//rdoA//ilvB//ackA//ebgC//cstA//ilvE//yaiA//dcuB//rnhB//patZ//frdA//sucB//rpsP//rseC//rrsD//cynR//paaK//ydhY//hdeA//metK//hybE//fadB//ccmF//argB//acrA//ilvB//cysW//livJ//ilvN//aer//nuoH//xylG//fecE//araG//grcA//fliZ//chiP//dctA//ompW//bglF//betT//narX//ccmB//paaC//fadL//iclR//yaiA//evgA//betI//idnT//priB//rcnA//feoB//rutC//xylH//cysJ//fecR//oxyR//rimP//rpsF//idnK//glpG//mepH//ilvH//ybjG//nanA//focA//dnaE//paaB//pyrD//uhpA//hofB//fadD//rpsI//pgaD//cadC//ydhT//napB//exuT//amiB//infC//paaC//fimH//putP//qseB//cynX//malZ//gcvH//nuoI//chbB//amiB//hyfR//ldtC//cydC//cyoE//bdcA//hisM//hofC//rnhB//hybB//gltB//glpB//fucP//moeA//skp//ulaE//flhD//aspA//ynfF//soxS//puuA//nrdI//amn//hslJ//creC//
FhlA-Formate_pos	cysD//nac//nrfB//uhpB//pgk//ugpE//atoD//fhuF//rof//gspJ//phnE_1//artJ//moeB//nuoN//hycF//rrlH//rutE//aceE//sufC//mltC//micF//ydhT//acrF//trmD//nanC//avtA//ygeH//gltT//hyaD//zraS//
FucR-L-fuculose-1-phosphate_pos	focA//csgD//emrK//rrfA//bamA//atoE//fimA//
Fur-Fe2+_neg	cusF//napD//prmC//ssuE//gcvP//rimP//araH//galT//bioB//sufS//prpD//nupC//uidA//gspJ//hyaA//citF//ychO//deoB//hydN//ascB//murP//rutC//malI//phoR//rutF//rutB//ynfK//epd//uidC//yeaR//pgaB//argI//livJ//tnaC//idnK//azuC//rutB//mtlR//feaR//prmC//argO//phnD//nrfA//cheY//prfA//rstA//hybA//fliZ//appY//qseC//hpt//pgk//lsrF//norW//mltC//rpsQ//pgaA//ccmA//nuoI//metJ//fepG//rutG//nrfC//tdcD//rrsE//actP//hlyE//bglG//fucA//hisQ//narK//paaA//hdeD//metH//yeiP//argP//cysK//ada//dppA//phoU//speB//purF//artM//moaD//xylG//dkgB//amtB//phnM//sdhC//cadA//caiF//nlpE//codA//cyoE//acnB//tnaC//ydeO//folE//tonB//upp//mhpC//caiB//prpE//lacI//emrY//qseB//metQ//yfaE//rseA//baeR//gntR//dmsB//pstB//hyaC//rpsF//pncB//fadI//ugpA//hycD//nrfB//soxS//ompC//sxy//ybdN//
Fur-Fe2+_pos	hyaF//dsbA//lsrB//feoC//cheY//fnrS//malX//envY//sohB//nupG//stpA//hofM//zraR//gatB//ppiA//rseB//appC//rplB//ccmG//lsrB//garP//yqjA//rplM//casC//rrlH//
Fur-Mn2+_neg	xapB//amtB//lpxB//betA//frc//exuT//lysC//mgtL//rhaT//gatD//ydiU//ftnA//glnK//chbG//nrfB//srlA//cysW//csiD//araH//envZ//torA//yojI//gntX//phoA//aldB//norR//ftnA//fecD//lacZ//purB//csgF//phoA//baeS//motB//pheM//entD//yedX//fimI//nuoE//puuE//fhuC//cstA//ndh//tdcA//nrfG//mdtA//rbsB//astC//slt//gspD//hisQ//ascB//nrdE//aroG//entS//hisJ//grcA//serC//pgaA//ygeA//cysP//phnP//glpA//caiC//rpsJ//ydeP//marA//uxaA//ynfH//fadL//lacI//murP//metR//yeaD//ydeA//cydD//citD//tsr//fixB//rutB//rimP//astE//fecI//gspF//mipA//cysD//folA//yedX//zwf//citG//bioD//yhhY//caiE//tolC//bamA//sxy//comR//cusS//fimC//bdcA//gntK//ccmH//treC//bioA//alaA//glgS//ptsG//grxC//artM//ynfK//lpxA//icd//hemA//idnD//nrfA//nupG//gspE//mcaS//erpA//glnA//prs//napB//tehB//slyB//
Fur-Mn2+_pos	rmf//atoB//nanC//artP//appY//bdcA//glpR//creD//ulaC//nanM//srlA//csiE//psd//paaB//phnE_1//ispE//tktB//fimI//trpD//mhpD//sbcD//pnp//hofB//rutF//cueO//
GlcC-Acetate_neg	moaA//
GlcC-Acetate_pos	fimD//phnC//argI//galS//gspE//ytfE//
GlcC-Glycolate_neg	ilvI//
GlcC-Glycolate_pos	csiE//lysO//nlpD//xylG//mdtB//fiu//
GlrR-Pasp56_pos	mgrB//
IclR-pyruvate_neg	upp//ispE//norR//safA//
IdnR-5-ketogluconate_neg	xdhB//xdhB//garL//
IdnR-5-ketogluconate_pos	glgA//astA//cpxA//psiE//cheR//
IdnR-Idonate_neg	pgpC//nanC//pgpC//
IdnR-Idonate_pos	rrlE//bhsA//hyfI//phnG//ugpE//
IlvY-2-acetolactate_neg	mdtA//
IlvY-2-acetolactate_pos	cynX//
IlvY-Alfa-acetohydroxybutirate_neg	fdnG//
IlvY-Alfa-acetohydroxybutirate_pos	rpoH//
IscR-[2Fe-2S]1+_neg	hfq//efeU_1//dpiA//xdhA//ilvC//sroD//glcA//hybD//pyrD//entB//mhpC//rrsH//ileT//norW//nlpE//yfaE//manX//betA//caiA//lacZ//csiD//mcaS//rpsO//yciW//idnO//hisM//puuE//serA//ppiD//tauD//
IscR-[2Fe-2S]1+_pos	lacA//ompX//spf//ubiX//glyA//rbsR//cusS//fdnG//aceK//ygbA//cusB//
LldR-L-lactate_neg	phnD//sbcD//pgpC//
LldR-L-lactate_pos	thrV//trpD//cadB//
Lrp-Leucine_neg	fepC//araG//tyrR//paaJ//hemL//nikA//nikE//phnD//soxR//purN//allE//arcA//argI//nupC//mhpD//rrfG//cydA//psiF//ansB//oppA//nuoM//fepG//cysP//fhuE//hyaF//hisJ//paaK//entC//nikE//lsrF//hdeD//cheA//trmD//yggX//fes//ykgR//allE//ygiB//rhaS//yjeV//iscA//mhpF//cdd//ycjF//fadD//rrsD//citD//fadL//fumA//norV//ycdZ//fadB//rplI//pdeF//cspD//yccA//purA//fixC//prpC//iscS//ilvL//purB//arfB//narJ//fhuC//prpB//cas2//atoB//baeR//manY//gabD//dcuC//metY//ygeA//nuoI//
Lrp-Leucine_pos	napG//pepT//glcB//csgG//phnE_2//ulaA//gutM//rhaD//hyfC//galS//oppC//miaA//cpdB//puuB//rplP//ilvY//infC//araD//eda//mscM//hyfR//araA//tdcD//modB//nikB//nirD//tyrR//bamE//fliA//hflC//yfdV//gatA//cadC//hycC//xylR//
LsrR_neg	map//ampD//grxD//dppC//metI//narK//ihfA//hycA//ompW//
MalT-ADP-Maltotriose_pos	yiaJ//arcA//hofO//fhlA//caiD//betI//pnp//sucC//modA//citG//
MalT-Maltotriose-ATP_pos	mipA//pheS//ansB//nuoE//cysJ//ivbL//dgcZ//malZ//gabD//gadB//
MelR-Melibiose_neg	gapA//focB//ulaB//
MelR-Melibiose_pos	ebgA//envZ//argE//
MetJ-S-adenosylmethionine_neg	sbmC//fecA//cysA//ubiG//lacI//rrfE//gspF//phnH//ynfH//hycE//fimI//ccmC//yegR//nupC//zwf//
MetR-L-homocysteine_neg	ogt//rrfE//
MetR-L-homocysteine_pos	fnrS//lpd//ulaF//srlR//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	tauC//dsdX//hycB//znuB//ykgR//yfdE//
MhpR-3HPP_pos	fliA//cydD//malZ//hofN//glgP//lpxB//
MntR-Cd2+_neg	bhsA//nuoB//phoE//stpA//
MntR-Cd2+_pos	hypD//
ModE-MoO42-_neg	appC//casE//spf//yrbL//sodB//appA//csiD//lsrG//dmsD//fumC//narJ//entE//mhpC//hybA//yidQ//
ModE-MoO42-_pos	hycF//mtlR//edd//melA//hpt//araG//gatC//xylF//preA//atoA//cspD//hypE//fecE//idnD//ssuD//fecC//puuD//ychH//caiA//zntA//aspC//allD//yqaE//ydeP//moaA//caiD//fhuE//nusA//degP//qseC//bhsA//
NarL-Phosphorylated_neg	ssuC//sdaA//nuoA//hupB//fimE//sbmA//purH//puuE//hdeD//folE//phnE_1//ccmB//gntP//lpd//aceA//rrsH//araE//cas1//argO//grxC//gntU//citG//borD//agaA//sohB//srlE//ydhU//malS//znuC//sufA//nirB//hybO//ppdD//nuoC//ilvG_1//dcuS//deoC//cysH//bioC//ldtB//betI//fumB//tdh//ysgA//gatZ//yegZ//phnK//cysM//dapD//lpxD//evgS//ygeA//uxuB//csgC//dsbA//lysC//speA//ompC//hycA//crl//tfaQ//ftnB//ptsH//patZ//ychH//phnJ//gspI//uhpB//gntX//nrdB//lamB//malI//fimE//rhaR//argI//motA//micF//ubiX//yccA//chbR//ilvD//sroD//rpoH//cydD//hycE//chbR//
NarL-Phosphorylated_pos	aceK//casC//treC//narL//rrfE//rpsI//gspM//dadX//nuoL//mhpB//bioA//trpD//zraR//tehA//gabP//patZ//ptsI//trpR//creA//hdeB//rrlA//argP//aroF//soxR//mtr//ubiG//hycC//sodB//xdhC//hybD//lsrA//nuoF//ubiC//yciW//araG//melR//serC//cpxA//carB//hdeB//nadC//ppiA//aaeX//rrfD//rrfD//ccmD//
NarP-Phosphorylated_neg	argD//ssuB//hofP//puuE//fhuD//rrlH//purE//lamB//fimE//soxR//rplI//talA//dcuD//gspD//cusA//rof//nrdI//bcsA//rutC//thrV//ynfH//phnI//entH//gcvP//csgE//hofN//gltA//ileT//rhaB//fimI//aroL//nrfC//rplT//
NarP-Phosphorylated_pos	ykgR//mutY//ugpE//lysP//gspJ//rnhB//pgaC//glcF//fis//aroP//yfiP//creD//nagA//gltT//ygiC//chbR//malE//tonB//frdD//sdhD//modB//gntR//gapA//moaC//aceK//dppD//rutD//uof//alkA//hypF//rpoE//ydeM//
NhaR-Na+_pos	fnrS//gltD//creD//dcuB//oppB//
NikR-Cd2+_neg	rrfE//cas1//cvpA//oppD//gabT//copA//
NikR-Co2+_neg	uxaB//cusB//yjeF//ssuE//fucA//ivbL//
NikR-Cu2+_neg	hybF//nrdH//zinT//yqjI//ulaA//ampE//
NikR-Ni2+_neg	rutF//ndh//paaK//alaS//fepA//cdd//
NikR-Zn2+_neg	cydA//recF//fepD//agp//nmpC//manZ//
NrdR-ATP_neg	trg//nagB//napD//tauB//yfeW//phoE//nusA//gcvH//citG//
NrdR-Zn2+_neg	lolB//phnJ//ydhT//ydiU//codB//ilvG_1//xapB//phnL//glcA//
NrdR-dATP_neg	ynfH//treR//glcB//ydhY//rbsD//ispE//rimM//fhuF//ompR//
NsrR-[2Fe-2S]reduced_neg	sdhD//purA//nanE//nuoH//hyfH//phoR//ugpQ//gabD//mgrR//yaiA//dppD//gyrA//paaK//yjeF//csiE//rhaD//yfdV//gpsA//rpoS//ebgA//rstB//garK//nlpE//speC//tdcD//sxy//spy//bioD//tcyJ//fliA//glcC//tdcD//iscA//slyB//entA//citF//caiF//hypD//yojI//fes//cadC//yhjA//sucC//glpG//nlpD//phnI//mglA//safA//tcyJ//ileU//soxR//metL//dcuS//cysW//dapB//feaR//yqjA//gadB//tyrP//spy//lysC//yidQ//tauC//dsdC//glrR//hfq//ydeA//hypB//malI//mtlA//glcE//napH//actP//
PhoB-Phosphorylated_neg	marR//cyaR//stpA//rhaR//tnaB//argR//borD//pstC//tdcA//hyaA//cusB//cyoA//rrlD//
PhoB-Phosphorylated_pos	agaV//kbl//hycC//appX//spf//bacA//feoA//pta//grcA//xylH//nagB//prpE//gatB//rimM//tauB//lysA//glrR//uidC//miaA//cvpA//norR//melR//ompX//malG//rpsR//malQ//ydeJ//slt//ydeM//napH//gntT//ubiA//tauA//efeU_2//melR//fepC//yccA//nrfF//rhaT//melR//acnA//fixA//prpD//micF//flhD//napC//lysP//nrdE//hisJ//puuA//gyrA//livK//ilvM//
PhoP-Phosphorylated_neg	sbmC//creB//acrB//dgcZ//galK//glcE//ppiA//glnB//nupG//yhiD//ppiA//
PhoP-Phosphorylated_pos	galS//carB//ydeM//flhD//malK//dmsC//ssuA//hmp//abgB//sdhA//ccmA//allD//nuoH//eda//hybD//bglG//norV//ydhX//ugpC//nuoM//puuP//malS//paaH//yeaE//pheT//ccmD//ybdZ//rutG//ansB//ydeJ//glcE//phnE_2//rimP//yibN//malE//dapD//borD//yeaD//rimM//allC//bioB//ykgO//metB//soxS//ygeH//asr//hypF//araA//ilvX//
PrpR-2-methylcitrate_neg	ychO//
PrpR-2-methylcitrate_pos	rpoH//ygiC//gspI//fimE//
PurR-Guanine_neg	glnB//nikA//dadA//csgG//frdB//glgX//hyfI//gcvT//cheB//borD//tap//cstA//caiB//mhpA//narG//lpxB//cysM//dppA//hisQ//tdcF//fdnG//hycF//uraA//metA//malK//infB//rpmI//waaH//rpsO//rrfB//pgaB//spy//modB//hyaC//
PurR-Hypoxanthine_neg	ahpF//dmsB//ccmA//glcC//ychH//rmf//entA//malS//nohA//udp//ybdN//fadD//manX//deoB//murP//hisM//motB//fucR//cra//pstA//zwf//mhpR//norW//purH//ihfA//hycD//cynS//gltF//ydeA//dmsC//cysW//emrY//acrD//infB//
QseB-Phosphorylated_pos	qseC//puuD//hycG//dnaE//
RhaR-L-rhamnose_pos	glpK//nikD//
RhaS-L-rhamnose_pos	pyrC//nrdD//dsbA//
RstA-Phosphorylated_neg	lysU//pta//lacZ//yjiY//fau//
RstA-Phosphorylated_pos	lsrR//ompW//phnJ//prpE//phnD//
SoxR-[2Fe-2S]3+ oxydized_neg	gcvP//
SoxR-[2Fe-2S]3+ oxydized_pos	idnK//rrfE//garK//
TorR-Phosphorylated_neg	rrsG//
TorR-Phosphorylated_pos	mhpB//lacA//prpE//phoE//argD//rrsB//fbaA//rrlG//amtB//
TrpR-Tryptophan_neg	nuoJ//entH//hslJ//mgtL//fadJ//fimD//prpD//trpR//chbG//ydiU//hyfR//hflK//
TyrR-L-tryptophan_neg	ychO//mhpD//mntS//dapD//rpsC//rpsQ//fixB//puuA//mtlD//mgrR//bcsZ//yfdX//
TyrR-L-tryptophan_pos	livK//exuT//glmY//
TyrR-Phenylalanine_neg	tadA//cydC//hisQ//iraD//metC//purL//fumA//cydB//rplP//sucD//rhaD//hyfR//
TyrR-Phenylalanine_pos	rutC//rrsB//crr//
TyrR-Tyrosine_neg	cydC//deoD//ubiA//glmY//rpoE//metR//abgA//copA//ampE//nuoF//phnG//tdcC//
TyrR-Tyrosine_pos	yhfA//oxyR//nirB//
UhpA-Phosphorylated_pos	fdnH//
XapR-xanthosine_pos	moaD//rpsI//
XylR-Xylose_pos	tfaQ//dcuD//hyaA//rrsD//lsrF//mzrA//
ZntR-Cd2+_pos	cusB//
ZntR-Hg_pos	araE//
ZntR-Zn2+_pos	rcnA//
ZraR-Phosphorylated_pos	dpiB//tpx//aroL//
Zur-Zn2+_neg	lsrF//hmp//rplD//metY//uhpC//oxyR//
