#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	entH//tnaB//
ArgR-L-arginine_pos	sufD//rseB//frdB//secB//uhpC//
AtoC-phosphorylated_pos	bdcA//cyoC//dppA//hycE//
BaeR-Phosphorylated_pos	malY//trpL//cysC//mhpB//yeaD//lldP//pgaB//entC//
BirA-bio-5'-AMP_neg	modA//tnaC//glpK//sufB//narK//
CRP-cAMP_neg	cusC//metA//nrfA//glgS//cysA//phoU//sdhB//pflB//glpG//pgaB//oppB//csgE//hofO//narH//hyaB//trpC//rcnB//frc//tdcB//marB//alaV//xylH//metJ//talA//ccmC//gnd//sufE//yhhY//trpE//lsrA//erpA//copA//lldD//glgC//entD//argF//cadC//ybdN//phoH//argC//sdhB//phnO//map//malE//livJ//appB//chbB//yeaD//fis//fepD//ssuC//ahpF//prpR//ynfG//fecE//hyfC//glpB//rpoS//ykgR//gabD//aer//iscS//tnaA//rutA//lsrB//puuP//nrdD//fecD//umpH//nikB//astE//csgG//cydD//sbmA//rdoA//astE//rstA//iclR//araC//idnD//xdhC//hybF//cydC//casE//tauC//hycB//phnH//mhpC//oppD//motA//trpD//oppB//lacZ//tsgA//hypC//hybE//paaZ//evgS//raiA//xylA//malX//xdhC//ydbD//yfdV//glcD//manY//tap//lhgO//fimI//artQ//gltB//bglG//aaeR//csgB//nikR//degP//lysC//dctA//fadE//uhpT//artJ//ssuA//napB//dctA//cpxA//tdcF//fecE//nmpC//iscR//rrlE//fepB//arcA//yegZ//
CRP-cAMP_pos	pagP//citF//purM//aceK//ahpF//malM//fhlA//ybdZ//cytR//glpK//fumC//ilvE//ulaE//paaA//pyrC//tdcB//acrA//fumC//nadC//rnlA//miaA//mgrR//uhpC//yjeV//frdC//purF//psiE//exbD//uxaB//exbD//pnp//rseC//fhuF//gcvT//betA//phnP//gltF//fixC//cyoE//ydbD//pgaA//entS//gadC//appX//prpE//yaeQ//pgaA//ptsH//hycF//gpsA//phoA//icd//bcsB//ascB//dsdC//nirB//dcuA//glmY//astA//cytR//ydeM//kbl//rutB//aroP//rprA//hyfA//rplI//rpsO//glgX//fixB//ybjG//atoA//amtB//lpxA//prpE//malM//ysgA//agaV//iscS//speA//fhuF//codB//miaA//oppA//evgS//nupG//rrlG//ftnB//hycG//degP//hypF//citX//fbaA//argT//ykgM//pgaB//polA//rrlC//fimE//nanC//fixA//artM//pgk//aceB//trpR//lsrK//yegH//yeaR//nadC//uxaB//ydeM//rcnB//dnaN//chbA//xylB//skp//hybF//osmY//map//trpL//yaiW//fepB//hypE//puuA//gltW//citC//nuoB//garR//nfuA//garL//phnH//malT//avtA//nac//sdhA//cysP//aspC//guaB//rnpB//pstA//nirB//yfbR//xapB//araB//leuE//yfaE//glgP//rrsG//dsdA//abgT//ydeN//casA//ascF//aer//arcA//treR//tdcB//sdhA//azuC//ilvG_2//lysP//rhaA//moaB//ybfN//abgT//rpsS//fixC//zraR//arcZ//fepD//rprA//arcA//gspF//paaE//cysG//ybdN//ygiA//ugpB//cstA//codA//xylA//hyaB//qseC//cheW//ampD//fucA//glpK//citG//pgpC//map//rybB//dppF//gltT//glgA//gcvT//pstB//cyaR//pck//metL//treC//gatC//rrfE//carB//dkgB//hybO//ilvL//fucP//mhpR//malG//speC//sohB//prpD//ydhT//purN//argE//alaA//bcsB//pncB//tauB//ftnB//narJ//gutQ//argH//cynS//purB//rpoE//tehB//efeU_2//hybC//ubiG//gltT//dppA//atoB//citC//uxaC//ilvL//ugpC//cra//paaA//ygiB//ileT//livM//arcZ//sdhC//fes//rbsA//hyfA//slyB//trxA//grxC//chbB//glnG//dppB//uhpC//ssrS//mglB//metL//yojI//ccmA//xylH//araC//sufD//hycH//preT//gltA//fimF//idnT//fhuA//yaeQ//mdtD//nfuA//mglA//betI//pstC//gspO//gspF//gspE//kbaZ//yggX//glnB//ileU//metN//lsrF//napC//nrdH//aroL//trg//cysH//bglF//slyB//rnlB//ivbL//phnG//acrD//atoB//gspC//rplV//fnrS//frc//osmC//fnrS//astE//yhiD//tehA//rplB//yciW//deoD//fecE//allD//aaeX//cusA//fhuB//manZ//ccmB//lysO//glpT//rpoS//sufE//malT//yggX//mgrB//fau//gltF//nrdI//rrsD//paaZ//yccA//srlB//melR//comR//rhaD//rplV//ilvD//lacA//livG//hyfJ//fldA//moeB//nrdI//cheR//rseB//metQ//fabZ//moaD//tehA//glcE//rhaR//znuB//aaeR//mhpE//nrdE//rutC//nikA//rrsB//rutF//rhaR//bioA//acrF//phnN//glnD//pstS//galP//metQ//yedX//cynX//soxR//rmf//psiE//moaC//rrsD//gspC//bioF//napB//sufB//pnp//nikD//exbD//rplB//iscR//rrsD//cusC//hofP//crr//phoU//micF//ftnB//galM//rrsG//aspA//mscM//chbF//rrlE//rutE//acs//carA//pta//livH//iscR//cusS//rimM//ldtC//fucP//metH//cdd//ygiC//narQ//fepG//rbsC//nagB//puuB//ygiB//betT//dsdA//evgA//rrfF//phoE//emrY//tonB//yibN//manA//gspC//fadB//hcr//betT//gspH//hyfH//mepH//lysU//rrsH//
ChbR-Monoacetylchitobiose-6P_neg	cheA//acnB//cpxR//rimM//fimG//tdcG//
ChbR-Monoacetylchitobiose-6P_pos	cysW//yegZ//entH//grcA//motB//puuA//
CpxR-Phosphorylated_neg	yqjH//fis//rhaD//amiB//napD//dpiB//chbA//uxaB//sucB//rnlB//ubiC//purE//ilvB//cysK//ahpC//feoC//puuP//fhuD//prpC//mhpC//galT//glpQ//cheZ//yiaJ//
CpxR-Phosphorylated_pos	dcuA//pgpC//nagE//modA//purB//exuT//tsaE//codA//bcsB//fliZ//rhaR//glpD//rhaR//nupC//ilvH//prs//malT//ccmE//gatC//fucK//rimM//katG//deoC//hyfG//atoA//astC//tadA//tadA//hybD//glgX//artM//aceF//rpsS//hcp//hupA//dps//ykgM//napG//hofO//uhpC//yegZ//rof//ugpA//uidC//nuoC//
CreB-Phosphorylated_neg	acnA//pgaB//betT//
CreB-Phosphorylated_pos	recF//atoA//psiF//napG//cirA//ebgA//
CueR-Ag_neg	ybfN//malS//phoR//nuoI//ileU//
CueR-Ag_pos	lsrK//prpE//
CueR-Cu+_neg	creC//gabT//rrlE//fepC//cydB//
CueR-Cu+_pos	gatY//gatY//
CuerR-Au_neg	glpB//torC//dctA//skp//aaeA//
CuerR-Au_pos	ugpC//nadC//
CusR-Pasp_pos	ftnA//fhuA//mhpD//araH//arcZ//paaB//ydiU//hyfC//livK//crr//hfq//hycG//
CynR-Cyanate_neg	fnrS//
CynR-Cyanate_pos	rhaD//atoE//grpE//
CysB-N-acetyl-L-serine_neg	galT//ykgO//dapD//sufS//ygiA//zinT//tauD//
CysB-N-acetyl-L-serine_pos	nuoA//sdhC//csgD//priB//rimP//ompX//tdcE//spy//fimC//manY//grxC//rplM//ebgC//zwf//osmY//entB//fnrS//ugpE//purM//fhuB//agaA//uxaA//nikB//
CysB-O-acetyl-L-serine_neg	sdhD//tsr//fixB//hyaE//uhpC//nuoN//sufE//
CysB-O-acetyl-L-serine_pos	dmsB//rnlA//astD//bcsC//deoD//motA//deoA//lysC//frdA//prfA//dppC//nuoC//glcB//znuC//ynfE//cynR//mltC//yegZ//mntP//hpt//ileT//rplT//lsrA//tsx//
DcuR-Phosphorylated_pos	metY//ycjX//phnD//glpR//moeB//motA//copA//artM//cysP//
DnaA-ATP_neg	lamB//prs//glrR//bglG//rnlB//phnF//fucA//fecC//purM//nrfG//fadH//
DnaA-ATP_pos	paaG//azuC//ccmF//csgF//rbsR//hisP//nikR//
DpiA-Pasp_neg	ackA//
DpiA-Pasp_pos	hofB//nagB//hycE//aldA//dusB//artP//emrK//lysP//ldtB//rplV//
DsdC-D-serine_neg	entH//
DsdC-D-serine_pos	acrD//ykgM//
EvgA-Phosphorylated_pos	hdeD//ompX//ugpC//epd//lacZ//nrdH//ugpE//argC//fadE//hycE//murQ//lolB//yfbR//marB//motA//
FNR-[4Fe-4S]2+ reduced_neg	nuoA//pgk//gspO//baeR//araF//sdaA//hupB//gpmA//araB//fiu//fixX//sdaA//glpC//rpsC//oppD//uvrA//torA//phnP//pgk//pflB//malK//rcnB//bcsZ//nac//ydhT//rhaA//aspA//fldA//ascF//xdhC//codA//putP//fis//cas2//moaB//pgk//carB//phoB//argE//lhgO//mhpE//ilvC//folA//casB//fimD//napG//baeS//yjeV//sbcD//caiE//tsr//slyB//uhpT//melA//phoB//hybD//entA//glpC//bcsA//narK//aaeB//galS//ogt//cheY//rybA//creD//fdnH//sufA//ykgM//ileV//yoaC//chbA//uidA//narJ//pgaA//soxR//cydB//purA//uxaB//malS//hyaA//glnG//uxaB//malG//fhlA//fliA//zraP//paaD//yoaC//srlD//acrB//oxc//fhuF//metQ//ccmE//xylB//zraP//hypE//malE//prpR//hflK//napF//torA//dcuS//phoU//aroP//rrfH//osmY//fldA//aroP//umpH//gatY//glcD//fumA//cpdB//edd//mntS//caiF//hyfG//glpE//
FNR-[4Fe-4S]2+ reduced_pos	rutC//glpA//mhpA//mglA//ybiT//ygiA//ydfN//gspE//trmD//cusS//appY//trpD//ccmC//acrA//rpoH//fecR//bglF//malZ//modC//agaV//nirC//hybC//ulaB//deoB//hyaD//hofO//prpR//metQ//osmC//paaI//mhpB//tap//uof//kbaZ//argC//ilvC//bioF//nuoG//ebgC//rutE//thrS//rplC//livM//katE//lsrG//frc//galM//pstS//garP//cysK//ung//gspG//recF//phnF//rhaT//nuoB//prpE//phoH//zraP//glpD//arcA//manY//abgB//putP//cyoE//hflC//ulaF//hycC//livG//rrsE//efeU_1//bcsA//ilvG_1//fepE//yfdE//glmY//allD//chbG//recF//preA//gltF//mipA//casD//argT//nrdG//rutA//prmC//amtB//cstA//lysO//motA//cyoC//dmsA//paaI//cyaR//rplP//aaeX//caiF//leuE//sbmA//amtB//entE//lamB//aaeR//glgC//ssuB//yjcH//pta//uhpB//tap//rrsC//ssuD//garP//glpD//yecR//bamE//pgaC//melB//cysP//sufD//oppF//gltU//frc//glpC//purM//spy//phnE_1//glnG//ilvY//zraR//yoaC//mtlD//fadB//fimC//cysC//lysC//malE//nlpD//metB//gspE//hycI//gspI//mscM//pgaD//ydhW//hdeB//mlc//kbl//ydfH//fumC//ydeO//carA//rpsI//spf//ilvI//psiE//frdD//gcvP//entD//rpsS//ulaC//torR//hyfI//yfeW//nuoJ//yqjA//sufS//caiD//map//cheZ//modB//rbsK//ompF//sodA//gpmA//infC//gabT//leuE//asr//rplI//rplI//paaE//dcuS//nanM//hisP//thrS//nikA//hycA//ppdD//zinT//dpiB//manY//pdeF//dmsA//argE//phnE_2//yrbL//malE//cysN//ccmA//trxA//fhlA//
FhlA-Formate_pos	paaK//yojI//bglG//sroD//ssuC//napF//nrfF//gspJ//rrlE//grxC//fur//moaB//bglG//ilvI//rpmI//ilvG_2//fucA//rhaB//azuC//dctA//glpR//glcA//gadC//dsdC//moeB//folA//napF//rutB//ompA//ptsI//
FucR-L-fuculose-1-phosphate_pos	ygbA//yhfA//crp//gatC//cstA//lhgO//motA//
Fur-Fe2+_neg	livF//hflX//gabT//nanT//uxaB//nrdH//envY//alkA//fnrS//cueO//mgtL//miaA//rrsC//srlR//citF//ynfH//aaeB//metY//xylR//exbB//gspK//narH//srlE//araE//aspC//yhcH//astC//cydD//uhpA//treB//torD//pgaA//baeR//pheS//fecE//ygbA//hypE//crp//adiC//glpC//rutG//rpsJ//ptsG//mglA//uhpA//hycH//uof//agp//focB//dnaE//hofP//rimP//tsgA//yhjA//mhpR//lysC//fadI//citE//astD//cueO//qseB//bcsC//appA//ileV//ssuC//amn//mhpR//fixX//entF//chiP//narQ//malT//xseA//hycG//phoR//proP//pncB//idnR//codA//comR//puuE//hycG//caiF//ulaE//uxuB//treR//osmC//mhpE//mscM//nrdF//torR//rnhB//purN//purA//rpsC//phnF//ompR//map//malY//ygaC//ryhB//ilvI//rnlA//rplW//alaS//micF//rrsE//fucP//ppiD//prmC//putP//ydhW//nagB//mepH//mglC//srlD//torR//sdaA//ccmF//xylG//hcr//argR//uhpT//ompW//
Fur-Fe2+_pos	rplT//malX//atoE//acrF//ulaC//hyfF//gspI//astE//proP//cysJ//yhcH//fdnI//slyB//deoD//uidB//pgpC//cydB//sdhD//gntK//casA//arcZ//purH//bcsZ//hycG//preA//
Fur-Mn2+_neg	artM//fumA//motA//cadB//astA//mglA//moeA//napG//hypC//nuoN//dppD//rybB//truB//rrlG//trxA//malK//yfdE//cusC//uof//ileU//ugpE//dcuR//livF//astB//hisP//zraS//yhcH//fadH//pgpC//phoH//fadL//mdtD//lrp//fdnI//hyfR//glcA//gntK//pdhR//araE//yjeV//argB//nanK//cdd//xylB//avtA//cirA//dapD//lhgO//moaC//upp//ynfG//phoH//hupB//hpt//astD//yeiP//alkB//rpsI//fadJ//stpA//oppC//aroG//ydeN//tsgA//tam//rbsB//rpsS//dcuS//icd//ugpC//baeR//metC//entE//lacZ//mgtL//napD//evgA//hisP//fepA//nirB//ihfA//nanS//mltC//modA//rplM//yedX//rpsJ//metJ//nlpD//pnp//fumC//glcE//trxA//sufS//serC//araG//idnK//ssuA//ileU//fucK//rhaB//glgB//frdB//aroM//aroP//modC//oppF//pepT//mzrA//nagA//tcyJ//phnC//gspK//lysA//paaE//fumB//nrdF//ygeA//allE//gltU//mcaS//galT//ybdN//paaG//
Fur-Mn2+_pos	ydhW//appC//bglB//csgD//nupG//fiu//znuB//phnH//yeaR//yfdV//allE//appY//yneM//gpmA//phnE_1//azuC//glgB//cysA//bglF//hupA//puuB//nagA//recF//srlR//pgaB//
GlcC-Acetate_neg	fimI//
GlcC-Acetate_pos	ldtC//fau//ssuB//thrV//degP//nusA//
GlcC-Glycolate_neg	fecC//
GlcC-Glycolate_pos	gltW//gabT//hybG//argB//yeiL//ahpF//
GlrR-Pasp56_pos	cyaR//
IclR-pyruvate_neg	ascF//oppD//yeaD//ompA//
IdnR-5-ketogluconate_neg	phoE//hdeD//infC//
IdnR-5-ketogluconate_pos	argC//xdhB//yrbL//nanE//fixC//
IdnR-Idonate_neg	uxaC//modC//malE//
IdnR-Idonate_pos	napC//ilvI//borD//rybB//copA//
IlvY-2-acetolactate_neg	ssuC//
IlvY-2-acetolactate_pos	modB//
IlvY-Alfa-acetohydroxybutirate_neg	hofP//
IlvY-Alfa-acetohydroxybutirate_pos	nikD//
IscR-[2Fe-2S]1+_neg	phnN//chbF//dmsB//fucA//torD//nrdE//ynfG//zinT//tauB//malP//raiA//argG//nrfF//hycD//csgC//deoC//lacA//lacI//nfuA//tnaA//mhpD//tdcB//prpE//gcvP//treC//yeiP//guaB//raiA//uhpC//gatZ//
IscR-[2Fe-2S]1+_pos	agaW//xylB//fucK//sucB//purB//tyrB//dgcZ//cysA//cadB//mscM//nanA//
LldR-L-lactate_neg	fecR//gspK//araF//
LldR-L-lactate_pos	phnP//metR//cydB//
Lrp-Leucine_neg	yegH//narJ//mdtD//rhaT//rbsR//glcD//paaB//dmsA//astE//prpE//manA//dppB//chbB//cysH//purM//grpE//citC//atoE//csgE//mdtA//ileT//ygiA//borD//gntP//puuC//oppF//yeiL//ybiT//caiE//fucK//cyoA//ilvM//glnB//yoaG//rbsC//rbsB//focB//rplB//ykgM//yfaE//trpE//spy//pgpC//rmf//mhpD//umpH//xylF//fecE//yjeV//yoaC//amiB//rhaA//rpsO//yjeF//purE//thrS//artI//hyfF//uxuA//efeU_2//hflX//tsaE//glgP//melA//gspI//xylG//ulaB//glyA//hyaA//rybB//sufB//tdcD//dkgB//ilvG_2//nuoJ//
Lrp-Leucine_pos	lolB//ydfH//appA//ulaE//sodB//glgA//pck//glgX//ulaB//rbsB//melR//hypA//malT//ilvD//tnaA//nanM//purN//nrdI//aroL//nrdD//hupB//mhpD//mhpC//zraS//fdnG//csgC//ilvM//manA//azuC//aaeX//hyfR//hflD//yfdV//betA//tadA//
LsrR_neg	entF//xylG//norW//pheT//aroG//ilvB//xapB//ycjX//glpD//
MalT-ADP-Maltotriose_pos	gspC//trpD//nikD//livJ//trpC//aceE//araC//ada//soxR//metE//
MalT-Maltotriose-ATP_pos	metR//glrR//torC//ssb//pncB//arcZ//speC//rrlD//narI//citF//
MelR-Melibiose_neg	ahpF//sxy//moaB//
MelR-Melibiose_pos	rbsR//lsrR//rybB//
MetJ-S-adenosylmethionine_neg	cysJ//map//cas2//hypA//sufB//livM//lsrC//yeiB//yhcH//manY//cysI//tnaA//baeS//malF//ydeP//
MetR-L-homocysteine_neg	umpH//rybB//
MetR-L-homocysteine_pos	paaD//ynfH//gntT//cydA//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	fucO//napF//ugpE//alaS//rrsH//yeaE//
MhpR-3HPP_pos	waaH//dnaE//nikB//frdB//ldtC//ccmA//
MntR-Cd2+_neg	mgtA//glpD//rrsB//uidA//
MntR-Cd2+_pos	fucA//
ModE-MoO42-_neg	glcE//tsgA//norR//carB//mepH//cusS//abgA//rrfG//artJ//gntK//ytfE//hslJ//citF//hmp//fucI//
ModE-MoO42-_pos	bcsA//gntX//rpsP//xapA//astC//oppC//pgaD//phnP//sucB//dkgB//lysU//paaZ//nikR//dppD//xylF//hybC//talA//malK//uxuB//citX//treC//argH//argH//nuoL//fdhF//glcA//casB//dpiB//betA//ahpF//entC//
NarL-Phosphorylated_neg	prpR//phoP//emrY//galE//arcZ//allD//yeiL//rpmI//ihfA//xapA//yoaG//ppdD//trpC//ydhU//phnI//udp//guaA//rpmI//nanK//argI//nrdF//atoA//trpA//uxuA//cadB//yecR//ssuC//crr//gspO//rpoE//caiF//pck//mzrA//rplC//ansB//metF//gpmA//dppA//borD//bioA//alaV//puuP//tyrP//nuoJ//ssuA//cydD//gspK//rrlH//ygeA//hha//citC//pepT//epd//hofM//purB//artQ//frc//nrdB//gspH//paaZ//puuC//phnN//envY//fliA//marA//phnH//glcA//pgaA//fliA//ilvY//hcp//appY//napA//nagA//cynS//speA//flhD//ytfE//ompT//srlR//trpE//hycB//alkA//feoB//dppC//gatC//
NarL-Phosphorylated_pos	tdcB//ftnB//rutB//fecI//carA//deoB//galS//fldA//uidB//gspM//mgrB//metC//fldA//nrdF//cysC//soxS//ansB//sdhB//lacI//malM//cusC//ychO//phnH//speB//nmpC//yjcH//hybC//gspD//copA//edd//fucK//gltD//ccmF//cysA//ftnB//pheM//phnD//ubiX//hyaC//bioF//crl//rrlB//araC//glpB//fepE//napF//
NarP-Phosphorylated_neg	malZ//napH//cusA//cysG//gspI//cheA//malF//yrbL//speC//tfaQ//hyfI//trpC//phoQ//aroF//frc//mdtD//dapD//mzrA//ubiC//hybD//treR//hypD//gcvH//soxS//nrfB//cydB//trg//puuB//metE//rpsF//paaF//cysI//hybF//
NarP-Phosphorylated_pos	phnF//xapA//crr//hypA//ebgC//mhpE//ydeO//nrdE//aaeR//xylG//fimE//nanS//frdC//rrfC//tomB//prs//mdtB//upp//astB//ydbD//dadA//nadC//dmsC//nupC//mgtL//frdC//recF//rdoA//hypD//fhuE//pnp//efeU_1//
NhaR-Na+_pos	amn//cdd//ilvA//ydeM//efeU_2//
NikR-Cd2+_neg	psiE//puuD//nrfB//glmY//cysC//cysP//
NikR-Co2+_neg	purF//mdtA//sbcD//galP//yeiW//hycC//
NikR-Cu2+_neg	cyoB//trpD//tdcB//mtlD//fecR//sdhD//
NikR-Ni2+_neg	entC//hofO//hyfG//metB//yqjI//gltD//
NikR-Zn2+_neg	safA//fhuB//pepT//lsrD//casD//ssuE//
NrdR-ATP_neg	narQ//mglA//mntH//fumA//glgA//cyoC//casC//sufS//malF//
NrdR-Zn2+_neg	secB//ada//rutG//fimG//cysC//upp//abgT//acrB//manY//
NrdR-dATP_neg	crr//gcvP//hyfI//dapB//cusR//ilvG_1//ssrS//ychO//dppA//
NsrR-[2Fe-2S]reduced_neg	yneM//phnI//araE//csgE//ynfF//paaZ//nohA//chbG//osmC//nadC//melR//yqaE//baeR//metK//alkA//yaiW//xapB//citC//chbC//nrfD//csgD//pncB//treC//serA//betI//aldB//hyfD//sdhB//fbaA//ydeP//metL//hdeB//dadX//patZ//malZ//nuoN//mhpB//ssb//mtlR//arcZ//phnE_1//betI//ykgR//phoB//metF//tdcD//ynfG//amtB//purB//safA//fumB//atoE//rpoS//narJ//nrfE//ahpF//ssuD//paaF//araJ//guaA//gatC//gspH//idnR//gltF//frdA//rhaD//bcsC//pdeF//iclR//uidB//gdhA//fumC//mutL//
PhoB-Phosphorylated_neg	chbF//hyfD//yqjH//fucK//cysK//narL//purK//lacI//paaB//cpxR//lsrA//dmsB//nmpC//
PhoB-Phosphorylated_pos	garR//frdB//araC//galE//feoA//ulaD//araC//sucD//dppB//glcF//rplC//argT//purN//ccmA//tdcC//norV//yfdV//hyfF//alaU//glgC//garR//ulaF//phnL//feoC//cyoC//aspC//murP//ccmH//tyrB//exbD//glnG//fis//tnaC//phnE_1//dcuR//melB//entB//tdh//ubiG//ascF//tauD//hycI//nuoJ//gpmA//nrdA//iscS//evgS//tnaB//paaF//stpA//mhpD//lysO//bglF//
PhoP-Phosphorylated_neg	aroP//rpsF//rutG//manZ//fliA//aer//gadC//dcuC//acrE//artQ//iraD//
PhoP-Phosphorylated_pos	marB//livF//rrfG//glgA//mzrA//glrR//agp//malK//rrlA//tauC//ung//glrR//moeB//casA//moaE//oppF//yhjC//yojI//lpxA//ydeM//nagE//rrsE//hyfB//hofM//yhcH//ascF//yhjA//lysU//nrfD//rutD//galT//manA//yebE//fdnH//agaV//pitB//fiu//nfuA//tcyJ//yhiD//rplP//creC//cysU//mutL//rybB//gspI//csiD//ileT//pnp//
PrpR-2-methylcitrate_neg	fadL//
PrpR-2-methylcitrate_pos	acrD//ssrS//malS//rrlA//
PurR-Guanine_neg	aidB//envZ//caiF//livJ//fecD//hisQ//argG//rpsS//paaH//pstA//dppF//sufS//glpX//fliA//tehB//yfdV//glgP//nohA//rplI//nanT//pheT//ydhW//ilvM//dcuB//aspC//actP//uxuR//glgP//tauA//ygiA//ugpE//artP//borD//malP//
PurR-Hypoxanthine_neg	gspK//dgcZ//ydbD//cusR//rplS//pdhR//rbsA//creB//sufC//fdnH//fucO//lacI//uhpT//caiD//gyrA//hlyE//csiE//metB//nikR//tdcB//lsrB//purM//glcC//zraP//gspE//glcD//ilvE//ybdZ//narG//nadC//ssuA//cyaR//caiA//nrdI//
QseB-Phosphorylated_pos	rcnB//fdnI//crl//gutQ//
RhaR-L-rhamnose_pos	nagA//fecD//
RhaS-L-rhamnose_pos	mdh//glpX//alaS//
RstA-Phosphorylated_neg	rpsF//pncB//deoA//fimE//ygeA//
RstA-Phosphorylated_pos	rrlA//tnaB//ykgO//idnT//pitA//
SoxR-[2Fe-2S]3+ oxydized_neg	sodB//
SoxR-[2Fe-2S]3+ oxydized_pos	rpmI//acnB//csgD//
TorR-Phosphorylated_neg	sbcD//
TorR-Phosphorylated_pos	argA//paaC//entE//cheR//erpA//narX//oppB//epd//sbmC//
TrpR-Tryptophan_neg	hcr//phoE//hycE//fucO//yfaE//fecB//pck//yeiL//bioC//glgA//entF//purN//
TyrR-L-tryptophan_neg	mdtB//napH//ccmG//lldR//hycD//nikA//acrB//fecA//hycC//rybB//eda//emrK//
TyrR-L-tryptophan_pos	chbF//gntU//cysC//
TyrR-Phenylalanine_neg	livF//amn//metC//iclR//hisM//norW//znuB//rrlD//psiF//hflK//ccmD//uvrA//
TyrR-Phenylalanine_pos	melR//rnhB//casA//
TyrR-Tyrosine_neg	sdaA//rnhB//sufA//aroF//nmpC//nupC//hflK//exbB//emrY//csgB//ssuA//entE//
TyrR-Tyrosine_pos	gcvT//hyfI//ilvE//
UhpA-Phosphorylated_pos	astB//
XapR-xanthosine_pos	xdhA//ugpE//
XylR-Xylose_pos	hisM//pgaB//ptsI//rrsB//ilvA//malI//
ZntR-Cd2+_pos	fucR//
ZntR-Hg_pos	xdhB//
ZntR-Zn2+_pos	nagE//
ZraR-Phosphorylated_pos	dgcZ//cysA//cyoC//
Zur-Zn2+_neg	trpR//sodA//gcvH//dcuS//hslJ//galP//
