#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	nrdI//metJ//
CRP-cAMP_pos	idnK//motB//murP//glyA//ybfN//ugpC//fabZ//fliZ//hmp//paaC//gabP//dusB//tsr//miaA//hisP//sodA//nirB//deoD//gatC//ydhV//bcsZ//uhpB//rrfD//fepE//tehB//hybA//yeiL//idnO//ccmF//gnd//nikC//actP//ivbL//iscS//tpx//dsdC//ogt//csgE//hyfR//fnr//gnd//nuoJ//yccA//malG//ygiB//phnF//fixC//caiB//aceB//osmY//glnL//ilvA//glnA//ompR//mdtD//rseC//pheM//grpE//talA//mtlD//deoB//gatA//acnB//motA//hycI//ydhY//csgB//lhgO//caiT//fabZ//ccmB//appB//mdh//dpiA//sbcC//yiaJ//napC//hycI//entE//glpB//ubiC//yaeQ//rutC//fimF//paaI//gntU//ulaE//malY//narJ//murP//mhpE//xylH//dnaN//metJ//ung//citC//hyfC//hupB//amn//pyrC//sroD//cbl//rhaD//cyoA//ccmD//hdeA//ydhU//map//fecE//ccmA//mpl//artI//lysO//gatC//ebgA//yfeW//cyaA//prpD//mipA//cysU//dadX//pagP//trxA//gadC//csiE//ynfE//iscS//hybO//csgG//iraD//dnaN//envY//atoA//csgG//tdcE//lldD//marR//moaA//ada//hmp//tpx//mdtA//purC//degP//ulaB//mgtA//araG//yqjI//csiE//emrY//cspD//ilvL//appX//polA//fadB//cynR//srlA//nrfE//glpT//glcC//nuoB//ldtB//rplW//gntT//zraP//argI//tauB//speC//fhuF//pdeF//xapA//idnT//argI//gspK//crp//pncB//ptsG//nikB//rplM//tauB//phnI//kbl//fhlA//abgT//yhjA//nac//paaH//trg//nanA//bioF//caiB//zraR//tktB//nfuA//zinT//yeiL//aroP//phoP//katG//mcaS//flhC//tsr//gntK//hflC//aer//hflD//grxD//hycH//lysP//manZ//uidA//prs//xylG//rpsS//ilvG_2//nrfE//ydhU//baeR//ykgM//glpD//puuB//rbfA//hyfH//mcaS//ulaB//creC//adhE//glpT//slyB//malK//glpX//hupA//rseA//uxuR//raiA//fecI//lacZ//mdtD//nuoM//oppF//fhuF//fucP//uvrA//trpD//borD//yoaC//trpC//ilvN//mpl//yfdX//hypF//copA//tdcF//oppD//ileT//dcuA//mgtA//hypD//metR//paaI//tam//astA//glcG//hycD//trpB//preT//lpxB//livF//caiD//ydhY//pheS//glpE//araH//ung//nikE//gnd//argE//torA//sodB//paaI//ychO//malT//ilvG_2//rrfH//murP//oppF//dkgB//tauB//gntU//speC//betA//glgC//lysA//hyfG//aaeB//nuoB//aroH//araE//mgrB//torC//cheW//xylR//yfdV//ykgR//uxuA//tap//hyfE//phoA//ynfF//rutE//amn//yhcH//yegZ//tap//xdhB//pck//bamE//sohB//yegR//dadX//xapA//psiF//gadC//tyrB//emrY//ompF//yfaE//glcD//astC//atoE//chiP//fur//tdcF//garL//srlE//csgA//ahpF//aceK//nagA//ugpQ//lacA//galK//gltT//alaU//qseC//hyaC//alaA//nanM//cysN//argO//tsgA//hflX//katE//narQ//ackA//ilvI//rpoS//acrE//pstS//lsrA//feaR//csiD//degP//gapA//bamA//yjcH//avtA//fecD//mipA//glnK//puuB//caiF//yeiB//edd//xylR//rnpB//phnC//norR//baeS//pitB//rplM//rpsS//cheA//yebE//appX//hyfC//rplS//atoA//aroP//abgT//comR//phnH//waaH//zraR//gltV//tehB//narL//napA//ilvG_1//sdhA//cusB//yqjA//uhpA//entF//frdD//fucU//pstA//idnK//malK//yggX//gcvH//uraA//ybjG//nrdA//fhlA//ydeP//yjiY//rrsB//tyrR//feaR//prfA//paaF//entD//livM//yhfA//focA//speC//tyrB//ilvX//
ChbR-Monoacetylchitobiose-6P_neg	citF//bcsB//ryhB//moaD//trpC//speA//
ChbR-Monoacetylchitobiose-6P_pos	gatC//yjjZ//aer//rhaD//ldtC//ptsI//
CpxR-Phosphorylated_neg	phnD//sufD//sucA//ygeH//ahpC//tdcA//ydeP//sucD//ilvN//nirB//casD//cydB//lysO//mtlD//hflK//phoU//galK//rstA//rrfC//fadA//ssb//tdcF//hflX//entH//
CpxR-Phosphorylated_pos	ygaC//trpD//rbsA//tsaE//dnaE//yneM//argH//hemA//casC//gntK//rybA//ompF//fecR//tar//mhpT//fur//appX//tsx//rbsC//yebE//trpB//argE//metK//nagC//paaZ//betT//lpxA//gcvT//gcvH//serC//phnJ//tauD//malK//fdnI//oxc//napG//fhuB//chbF//cysK//betI//rseA//gspD//qseB//napD//avtA//
CreB-Phosphorylated_neg	casB//yfaE//dsbA//
CreB-Phosphorylated_pos	norV//paaC//ssuA//bioD//ftnB//napC//
CueR-Ag_neg	tolC//galK//aceE//fiu//tsr//
CueR-Ag_pos	kbl//pncB//
CueR-Cu+_neg	melA//dpiB//lpxD//hybE//fadH//
CueR-Cu+_pos	casD//nac//
CuerR-Au_neg	trg//galT//bglB//aaeX//raiA//
CuerR-Au_pos	grpE//acnA//
CusR-Pasp_pos	ebgC//yhcH//glgP//infC//hybG//rpsS//caiC//phnK//narG//ccmE//galK//rybB//
CynR-Cyanate_neg	ihfA//
CynR-Cyanate_pos	mhpE//lacZ//rhaD//
CysB-N-acetyl-L-serine_neg	mntS//artJ//cadA//yhjA//envZ//csiE//comR//
CysB-N-acetyl-L-serine_pos	chiP//fumC//fixB//nanE//map//cas2//modA//ompW//cysW//marR//caiD//motA//hyaC//rof//ileU//feaR//ilvI//aspA//tktB//ccmA//dcuR//sodB//gabT//
CysB-O-acetyl-L-serine_neg	yhiD//narX//chbG//rybA//fliA//marA//rpsS//
CysB-O-acetyl-L-serine_pos	glnD//manA//cysM//moeA//tam//rplW//sucA//paaE//fimI//emrY//mutL//gltV//araA//lpxD//hupA//nuoE//trpL//puuB//ppdD//grxC//cusF//abgT//hmp//casE//
DcuR-Phosphorylated_pos	caiE//yedX//hydN//purC//malZ//tpx//feoC//xylA//nagC//
DnaA-ATP_neg	glpK//rbfA//acnB//narH//puuD//metR//mdtD//yibN//zwf//acrA//dsdX//
DnaA-ATP_pos	ugpA//araC//agaV//phnP//pck//xylG//sdhA//
DpiA-Pasp_neg	hflD//
DpiA-Pasp_pos	osmC//dusB//rseC//yedX//phnK//map//ilvN//hflK//norW//hyfH//
DsdC-D-serine_neg	fhuB//
DsdC-D-serine_pos	hybG//narL//
EvgA-Phosphorylated_pos	ptsI//glpE//yebE//rbsD//artI//rhaD//malK//marB//ydhU//atoD//yccA//aceA//uhpT//fliA//amtB//
FNR-[4Fe-4S]2+ reduced_neg	xylG//arcZ//ulaD//ugpQ//purL//glcD//glcC//waaH//melB//sufC//stpA//hypA//rpsP//focB//leuE//yqjH//pitB//cysK//ydhX//ssuA//rpmC//epd//fliZ//fabZ//iscU//hflX//hypF//xylR//cusS//rhaR//katE//ldtB//fhuC//ileV//moaC//fecB//tehA//nuoA//yqjA//gutM//purB//ubiG//araC//mepH//ybjG//hcr//betT//gutM//yhfA//uof//uhpC//mtlD//yojI//hflC//paaF//mepH//cdd//trpC//frdB//yfdV//iscA//rrlG//fadD//mhpE//fimD//csgA//rpsI//yidQ//nusA//rrfH//phnE_1//oppC//speB//sdhC//galK//ubiC//argR//tsaE//acrB//hycI//ftnA//pstC//glcA//alaU//upp//fadA//gntR//metC//ybjG//glnD//rrfG//puuB//pck//kbl//chbA//glrR//mtr//yeaE//mntS//dsdC//iscR//argA//cysP//metF//cysI//ygeA//rrfE//fldA//malZ//tyrB//atoE//lpxB//lacZ//ydhY//trg//puuC//glpA//infB//yjcH//fau//
FNR-[4Fe-4S]2+ reduced_pos	hyfA//yhjC//yeaR//nupG//ahpF//yhiD//deoB//hofC//fucA//narG//yqaE//acrA//glpC//paaA//fucI//moaB//uhpB//cspD//livF//artQ//tehB//aceA//ychO//mtlR//appC//ulaC//glcE//lldR//murQ//tdcC//fumC//hyfR//hdeD//gatA//borD//rpoE//nanA//ssuB//appB//nrfF//fhuC//tyrA//infB//nohA//cysB//cas1//hypA//galS//malZ//ykgO//kbl//mutY//zraP//prmC//gltU//fliZ//gspD//hypD//csgD//nuoM//argG//mgtL//prpD//sxy//cheB//hypD//allD//rrsG//rbfA//lsrR//hcp//gatD//feaR//fecA//idnK//fucA//napF//narJ//gntK//gcvP//nanE//alaS//ubiA//ptsG//cyoE//aroH//dppC//caiA//hlyE//rdoA//nlpE//ackA//ydhY//nuoJ//ybiT//hycD//uxuB//sufB//exuT//gltA//yegR//rdoA//ilvH//fimG//tauA//araC//ahpC//ydeO//fur//glcF//torR//cra//pncB//nrdF//bdcA//edd//torD//mhpT//ygeA//ydeJ//ndh//ilvG_1//glcB//metC//hycA//gltV//hslJ//yeiB//phnJ//fis//paaD//yiaJ//ilvB//purR//mutL//acrA//aceE//nirC//metI//rhaD//nrfA//phoB//hyfA//galS//chbR//lldP//narJ//yibN//fhuF//hyaE//rrsG//phnH//ynfF//gcd//amtB//fldA//uidC//gpmA//glnB//ydeM//xdhC//phnO//alaU//aroP//gspC//mntH//nagB//exbD//fabZ//torD//sucC//dsdX//metF//cusR//tpx//tolC//astC//araB//focB//argB//hpt//lpxD//fimD//phnG//feaB//ebgC//paaK//entH//aspA//ahpC//purH//rseA//manX//narG//rhaR//hdeA//rhaB//cysW//aceA//sufE//gdhA//astD//
FhlA-Formate_pos	ynfE//rpsO//creA//guaA//nanA//ysgA//treR//yqjI//sucD//lldD//ygaC//rpsC//fimH//glgC//puuB//dcuA//znuA//glcD//mhpT//caiT//thrS//csgC//cyoB//idnR//phnD//gatD//dsdX//rrlD//rbfA//yhjA//
FucR-L-fuculose-1-phosphate_pos	rrlB//grcA//glgC//tar//araH//nrdB//sucA//
Fur-Fe2+_neg	ryhB//appC//hyfA//hyaC//glnG//srlD//narJ//yhcH//fdnG//hybF//rrsC//ubiG//mglC//ulaC//aceB//torA//lsrR//phnE_1//trpC//glpG//ebgC//aldA//motA//narX//cdd//miaA//mdh//bamE//araF//ygiC//slt//nuoC//hflK//ebgC//feoC//fepG//lsrK//purR//hyfG//rseC//narK//ugpA//glrR//malK//fes//iraM//ubiG//atoB//phnK//csiD//ftnB//hemA//ilvG_1//lsrK//gatD//fepA//sufC//dnaN//ompC//dmsD//metN//evgA//zntA//ilvB//ftnA//glgB//bcsB//phnE_1//ilvG_2//comR//srlB//arcA//hisP//mhpB//mhpR//chbF//rplP//ydeN//nrfB//pflB//moaB//ompT//oppA//paaE//baeS//cheR//metN//ptsI//acrA//xylB//ilvB//dcuC//nrdF//glnD//srlR//ackA//pck//sucB//sdhB//hycI//nuoM//hdeB//pdhR//ilvH//sufB//glpE//ilvH//glgS//gspG//purN//chbB//caiT//cysW//flhC//uidB//nikE//slt//hycH//bioA//entF//gltW//puuE//yfdE//spf//
Fur-Fe2+_pos	ebgA//hycA//fadI//glgS//malT//rplC//allD//dmsB//srlA//hybB//glnK//pheT//sucD//appY//mcaS//rnhB//znuC//cysM//rstA//prpR//gspJ//grxD//ppdD//ilvC//psd//
Fur-Mn2+_neg	rrsG//rplS//feaB//ybjG//ilvN//hycD//yoaG//fadH//ytfE//cysU//glmY//hemA//flhD//rpmI//tyrB//nikD//ydeP//aaeA//fdnH//paaZ//rpmC//ulaC//mdtD//ascB//nagB//fes//fadI//dmsA//fbaA//csgC//cysB//fimA//cyoB//hisM//betB//dcuC//nrdA//hypA//paaF//alaV//melA//rrsE//fadE//fhuA//ychH//chbR//cydA//purB//pck//phnL//lpxD//aspC//rrlH//melA//sroD//exbB//ynfF//lsrF//yeaR//rrfB//nlpE//yggX//purB//ascF//phoU//idnD//ygiA//prpB//evgS//mhpB//ndh//pstC//arfB//carB//fhuE//upp//yfdX//rdoA//fau//rhaB//aspA//tsx//fnrS//slt//yggX//pheM//uhpB//purA//srlE//baeR//amn//yibN//trg//chbC//treR//rhaD//gatD//nanK//fumA//pyrC//rpoS//ampD//argG//tauD//idnK//umpH//rrsG//cadC//dcuD//bcsZ//fecB//yjiY//csiE//hflK//mtr//moaD//fepD//ybdZ//azuC//exbD//nikR//sodA//carB//cysB//
Fur-Mn2+_pos	sucA//rpsI//hyfJ//acrF//iscR//hypC//yebE//feoB//mglC//rbsR//pstA//glpA//dgcZ//ybdN//glgX//nrdB//focA//hybE//araG//uraA//bamE//nrdH//tdcC//phoA//argP//
GlcC-Acetate_neg	gspI//
GlcC-Acetate_pos	tauC//focA//yeiB//rutD//gspJ//ynfG//
GlcC-Glycolate_neg	glcD//
GlcC-Glycolate_pos	udp//amiB//ppiA//hyfE//gspI//dcuB//
GlrR-Pasp56_pos	pck//
IclR-pyruvate_neg	fhuE//ilvN//hycH//glpF//
IdnR-5-ketogluconate_neg	phnG//fucU//hflD//
IdnR-5-ketogluconate_pos	csgB//ulaD//metA//hslJ//malT//
IdnR-Idonate_neg	pstB//feoC//acrE//
IdnR-Idonate_pos	ansB//uidB//dppC//ccmF//xylF//
IlvY-2-acetolactate_neg	artJ//
IlvY-2-acetolactate_pos	nuoI//
IlvY-Alfa-acetohydroxybutirate_neg	ihfA//
IlvY-Alfa-acetohydroxybutirate_pos	malM//
IscR-[2Fe-2S]1+_neg	purF//ykgR//mhpA//frc//ykgM//edd//gspL//zraS//ychH//yojI//metK//appX//hofO//hypB//mdtA//ulaD//manZ//glgX//gspL//yjiY//lsrB//csgE//cysI//narH//gspE//ilvA//cyoA//ppdD//malX//fhuA//
IscR-[2Fe-2S]1+_pos	gspM//hybF//ptsG//thrS//znuA//rimP//dppF//sufB//ssuB//glpE//ompX//
LldR-L-lactate_neg	lhgO//prpE//ileT//
LldR-L-lactate_pos	ulaC//pstA//csgF//
Lrp-Leucine_neg	gadC//glmY//efeU_1//ybjG//lsrR//tyrA//lysP//lsrC//nrdG//ileV//cspD//gdhA//moeA//dcuD//alaU//gspF//purC//fecC//yjeV//xseA//sdaA//hdeD//cysU//dcuB//hcr//iraM//cheR//ilvM//nrdH//glcB//hypC//tnaC//cusR//ssb//modA//purD//manY//yeaD//dpiB//guaB//uvrA//moaE//serA//nlpE//araB//fiu//cusF//ugpB//zraS//phnC//gabT//agp//abgA//glpX//galT//fecB//tehB//yciW//metK//narQ//ydfH//narG//nrfA//citF//gltA//metI//pgaB//fucU//oxyR//murQ//nanA//rpoS//hybC//tam//rbsA//
Lrp-Leucine_pos	psiE//ydeA//focB//torD//fldA//yqjI//csgG//mhpC//phnD//rof//rcnB//citF//pyrC//lsrF//dnaN//ynfE//crr//fadB//argH//livG//livM//norV//phoH//guaA//ompX//rcnB//rrsD//gspI//oppF//gabD//nuoB//malG//fucU//manZ//araC//
LsrR_neg	speB//zraR//moaB//xdhA//puuE//pta//hycA//ebgC//ccmD//
MalT-ADP-Maltotriose_pos	yeiP//fixC//ybiT//crp//ada//srlB//gntR//purR//cysB//gutM//
MalT-Maltotriose-ATP_pos	mpl//glcD//fixB//ompA//cysW//zraS//ilvA//evgS//fumA//hisM//
MelR-Melibiose_neg	yecR//phnC//purH//
MelR-Melibiose_pos	agaA//gspM//pheM//
MetJ-S-adenosylmethionine_neg	nlpD//iscU//cynX//creD//aceK//chbF//ykgO//malZ//ispE//fau//hycD//sbmA//rplC//garP//rplD//
MetR-L-homocysteine_neg	tdcG//creB//
MetR-L-homocysteine_pos	pagP//fimH//glgB//narJ//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	rrlE//nanE//dgcZ//hycG//hypB//tauC//
MhpR-3HPP_pos	chbG//dusB//nrfB//malX//paaG//argA//
MntR-Cd2+_neg	fixC//deoA//hycE//livF//
MntR-Cd2+_pos	paaI//
ModE-MoO42-_neg	lrp//lrp//umpH//puuR//aspC//cheY//rplW//yrbL//rpsF//gcvP//tonB//qseB//iraM//guaA//dcuD//
ModE-MoO42-_pos	rstB//proP//fhuD//fliA//melR//rbsK//hypA//iscS//hha//gpsA//dps//deoA//fdnH//purK//fixX//puuC//stpA//rrsD//dapB//srlA//sufD//pgaA//fis//nuoJ//thrV//lsrG//hisP//chiP//ssuB//napD//truB//
NarL-Phosphorylated_neg	argI//srlD//ydeA//nupC//codB//narJ//moaE//hcp//napH//gutQ//gadC//prpC//aaeX//grxC//zwf//ascF//tdcG//map//hha//oppC//fimA//rseA//hdeB//hupB//acnA//nrfG//rhaR//rplV//dmsB//creB//nuoB//cra//uxaC//betI//iclR//hyaB//galE//nrfA//yhjA//atoD//prpC//glgX//fadB//purR//mglC//ychO//metB//feaR//glgC//ahpF//manY//sbmC//atoA//argA//ygiB//frdB//phnD//caiE//phnE_1//ybdN//malS//fepB//cpxA//araB//rbsR//fhuE//thrV//hypD//iscS//hybO//gutM//gltD//glcC//narI//gpmA//priB//caiE//metA//gltU//xylH//fimI//dsdA//metJ//ygaC//codB//gadC//
NarL-Phosphorylated_pos	rplM//trg//hdeB//aceB//livJ//ahpC//trpC//ygeA//ydhT//gspM//cadB//hyfD//metR//dmsD//manX//metB//phoA//nrdG//efeU_2//manZ//yfdX//aaeR//rbsB//yfbR//aroG//rutG//phoH//tyrB//cysW//mtlR//ynfH//envZ//csgD//xapB//cadB//casB//hha//phnP//rbsB//ompA//tsgA//alkA//puuR//iscA//pgpC//artM//
NarP-Phosphorylated_neg	aer//hyfC//prpE//hlyE//katE//chbA//degP//iscS//torC//bioD//cheR//napA//bhsA//fumC//csgF//bioA//puuB//codA//baeS//murP//pgaB//grpE//ileU//ssb//yhjA//rbfA//moaC//aldB//dpiA//galP//argC//ampD//phnO//
NarP-Phosphorylated_pos	hdeB//mhpB//sufE//garR//gltT//pstC//rrlC//argF//araD//yqjA//mltC//livM//glnG//cas2//znuB//bcsA//nuoJ//yccA//sbcD//nrfE//ubiX//phoB//srlA//gltA//ilvG_1//rcnA//tonB//adiC//gnd//thrS//gspH//cysA//
NhaR-Na+_pos	citE//ydhU//skp//guaB//hflK//
NikR-Cd2+_neg	csgE//prpR//purM//glcA//hybC//cytR//
NikR-Co2+_neg	cysA//atoE//ygaC//puuC//xdhC//hyaC//
NikR-Cu2+_neg	gatY//nrfD//cyaA//ppiD//spf//glcC//
NikR-Ni2+_neg	nupG//rpoH//nanT//bglB//mntS//nirC//
NikR-Zn2+_neg	ykgR//araC//hycE//purL//slt//araB//
NrdR-ATP_neg	galM//creA//mcaS//rimM//fucO//rplW//map//alaA//ldtC//
NrdR-Zn2+_neg	waaH//entC//ybjG//tauA//iscU//slyB//hyaC//yecR//aaeX//
NrdR-dATP_neg	ygeH//fucK//aaeX//phnC//ssuE//hypC//ydeO//gatC//appX//
NsrR-[2Fe-2S]reduced_neg	gspJ//yaiW//ydeM//hyaE//aaeA//iraD//fepA//tdcC//aldA//nlpD//lsrF//ppiA//acs//lhgO//cyoD//purH//sohB//acnB//patZ//metB//sucC//nanA//ybdN//cysP//metK//rbfA//comR//dppB//entB//lsrR//rbsR//fecC//copA//tsx//leuE//melB//pyrC//soxS//ulaC//hcp//sucA//ppiD//malX//rbsR//aroA//ynfK//lsrC//umpH//tyrA//fumC//glcE//feoC//glcG//dadA//ldtB//fepC//tauC//xylF//rpsP//ftnA//map//feaR//rrlE//glmY//feaR//nirB//nikC//rpsS//alkB//yojI//prmC//rrfB//mntS//
PhoB-Phosphorylated_neg	gltD//fur//ugpQ//yfbR//tauA//rbsR//gltV//glnL//ssuB//astA//ahpC//entD//metB//
PhoB-Phosphorylated_pos	lysC//cysH//moaE//dapB//ybfN//hdeB//paaK//ydhY//hyfB//mhpC//gcvP//ppiA//yfaE//ydhW//trpB//ilvY//araF//phoQ//ydhT//araF//ygiC//sufE//slyB//yccA//hyaF//nanS//cysG//prmC//fadI//ygiA//narJ//nagB//hypA//artJ//paaI//rybA//paaE//araC//hupB//adhE//spy//phoQ//fucO//atoA//cydC//ilvD//dcuR//ccmF//modC//hycC//ydbD//gatD//paaC//
PhoP-Phosphorylated_neg	tauC//gcd//hdeD//arcA//gatZ//allE//cueO//hycH//gnd//napG//prfA//
PhoP-Phosphorylated_pos	dppA//gspH//fimG//glpT//putP//phoQ//nlpE//chbC//nikC//fimD//nrfD//csgC//citC//rrlB//rpsF//purL//modB//sxy//ccmE//hyfD//slt//abgB//hycE//dadA//lldD//glcB//betI//cyoD//gatA//tsaE//serC//argI//nuoA//araH//ascB//rpmC//rutG//norV//paaJ//fiu//lpxB//sxy//yhjC//aceA//sroD//sdhA//cadC//tdcE//narL//
PrpR-2-methylcitrate_neg	araF//
PrpR-2-methylcitrate_pos	codB//alaT//codB//rbsB//
PurR-Guanine_neg	dsbA//yggX//trpR//norW//ssuC//ydhW//ybdZ//ydeJ//gcvT//napF//csiD//cheY//ybfN//iraD//rrlB//glrR//galM//glgP//moeB//yneM//efeU_1//rybB//ccmF//bioB//speB//mntH//astB//astA//gltB//modB//rpsS//grcA//garL//trpR//
PurR-Hypoxanthine_neg	idnD//nanM//trpA//hisM//cheZ//moeB//rpoS//rpsI//speC//glcB//dppB//ybfN//truB//alkA//exbD//nikA//ccmD//fecR//glcF//argF//argR//moeB//citF//rrlB//paaB//nanA//manX//aceB//betA//hofM//feoC//mhpA//trmD//dusB//
QseB-Phosphorylated_pos	nanS//purA//rhaA//nanC//
RhaR-L-rhamnose_pos	cydC//carB//
RhaS-L-rhamnose_pos	araF//ygbA//avtA//
RstA-Phosphorylated_neg	gnd//fimH//metL//rpoE//fliA//
RstA-Phosphorylated_pos	thrS//hcp//lysA//eda//gltV//
SoxR-[2Fe-2S]3+ oxydized_neg	fimG//
SoxR-[2Fe-2S]3+ oxydized_pos	napA//ycdZ//uxaC//
TorR-Phosphorylated_neg	fumC//
TorR-Phosphorylated_pos	feoA//hisP//glpT//oppA//appA//ileT//fucA//oppF//lpxA//
TrpR-Tryptophan_neg	upp//glpQ//hofB//tcyJ//cvpA//metB//rpsC//garP//osmC//nuoN//lsrK//glrR//
TyrR-L-tryptophan_neg	mgrB//grxD//tolC//lysP//emrK//cheB//dppB//dnaN//creC//narG//argD//nikB//
TyrR-L-tryptophan_pos	hisM//csgA//bamA//
TyrR-Phenylalanine_neg	fimE//nuoM//baeS//trpR//moeB//dmsA//glnK//rutC//nupG//phoB//napA//hyfD//
TyrR-Phenylalanine_pos	aroF//uof//phnD//
TyrR-Tyrosine_neg	garP//ccmG//uhpT//caiA//ykgM//nagB//phnL//focA//treC//aroA//purE//cusC//
TyrR-Tyrosine_pos	puuB//nupG//ydhX//
UhpA-Phosphorylated_pos	fhuE//
XapR-xanthosine_pos	fecC//csgC//
XylR-Xylose_pos	phnD//gspJ//oxyR//mhpB//focB//ydeP//
ZntR-Cd2+_pos	ydeA//
ZntR-Hg_pos	yidQ//
ZntR-Zn2+_pos	rseA//
ZraR-Phosphorylated_pos	ilvG_2//astC//rrlD//
Zur-Zn2+_neg	phoB//argG//zraR//tauB//feoA//pstB//
