#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	artP//alaV//
ArgR-L-arginine_pos	ccmC//chbA//marB//leuE//rbsR//
AtoC-phosphorylated_pos	hdeA//rpsO//rplV//ynfF//
BaeR-Phosphorylated_pos	ydhT//paaG//ompT//ampE//ygaC//rplI//fepB//sdhC//
BirA-bio-5'-AMP_neg	citF//dnaA//ileU//nuoH//fucR//
CRP-cAMP_neg	mhpD//gapA//ugpQ//galM//fepA//mhpA//iscA//nrfG//infC//hycG//mipA//yegZ//frc//ahpF//focA//livG//hypC//argF//ccmB//hybA//fimC//cusB//cheZ//ulaB//fimI//acrA//acrE//tktB//pgaA//pgk//guaA//tomB//napH//abgB//napD//hha//waaH//nanS//agp//ydhY//ftnA//hflC//fadH//abgA//entC//napF//torR//copA//napF//pstS//yibN//hycB//frc//betA//chbR//nirD//nikC//dmsC//yaiA//ykgM//ydeO//astC//metH//entB//nrdA//glnK//yhjA//alaS//cynR//hycA//znuB//cdd//motA//argR//tdcE//zinT//hybF//glmY//hisQ//nirB//malF//ulaD//bamA//glcG//rimM//kbl//aceA//aceA//glcE//galM//sbmA//napG//mhpR//purR//cynR//ccmC//ynfF//glpD//cysD//mgtL//glpF//ung//yhfA//arfB//lpxB//yjcH//ydfN//dadX//hupA//betA//nrdA//metN//prs//rpsR//rof//aroH//nfuA//aaeB//csgE//sufE//mipA//ilvM//gntP//tonB//citX//pnp//dctA//cysP//tdcD//glcB//rrfG//hpt//gntR//
CRP-cAMP_pos	aer//metA//dcuR//rrlG//dkgB//nagE//fhlA//ptsI//chbF//acrB//glpF//yaiA//glgS//azuC//fumB//oppB//rplV//alaV//putP//nlpE//folA//fucA//agaW//malY//mdtC//glmY//polA//mdtA//narL//rutE//fis//ompF//betI//cpxR//malE//alaA//rplD//slyB//arfB//purH//soxS//tolC//fepD//xapA//creB//hfq//torD//astB//dcuB//cdd//prfA//nirC//prmC//fur//livG//csgB//pgaB//ccmA//rpoE//stpA//ilvA//tauD//mhpC//bcsB//modC//atoA//livH//nrdH//actP//murQ//napG//napA//prpB//uhpB//hisP//rstA//uxuA//artI//xdhC//hyaC//rbsR//yjjZ//hybD//phnF//zraR//tehA//bglB//hflX//glpE//mglA//ilvC//dnaA//ptsI//purN//hisQ//glnG//fucA//yciW//caiT//yqjH//cheB//tfaQ//ubiC//argO//phnE_2//bcsZ//fhlA//narG//ihfA//nlpE//tadA//nanA//phoA//argA//purB//ybdZ//fucR//bioB//ubiA//ybjG//xylF//nikD//baeS//yhcH//ygeH//nrdD//sdhC//grxD//fixA//mgtA//map//betA//acnB//ompC//cas1//glcD//mdh//tomB//ynfK//astE//tyrA//ugpE//ssuD//fepC//cyaA//araB//cysB//yojI//ydhU//ygiA//glpT//rpsJ//sucC//yeiB//oxc//fucR//ybiT//mntP//fixA//bioB//mglB//ycdZ//yibN//asr//map//idnO//csiD//tehB//ascB//talA//astE//gspC//ptsI//fldA//malM//gspI//nuoH//argR//flhC//chbF//nuoF//pdhR//hemA//ampE//cysN//paaA//emrK//gspO//malE//waaH//treC//aidB//dadA//hybG//paaC//mzrA//dmsC//copA//lsrR//cirA//ycjX//livH//ssuB//abgT//tyrR//lacZ//fliZ//paaK//trxA//nrfA//fucU//napC//fadA//sodB//sodB//fnrS//ccmH//bamA//csgD//aroF//lysO//murP//feoC//cysI//zinT//focA//srlB//osmY//ccmH//argC//fbaA//gabD//astE//lamB//dctA//grxC//rhaR//carB//glnG//srlE//sbmC//ydhW//rcnB//cas1//nrdI//rbsD//cysW//sufC//araG//sroD//sucB//yjeF//tnaC//truB//mgtA//rplW//yneM//tadA//malM//metH//waaH//tdcF//cdd//mdtA//prpC//carA//trmD//nirD//hycF//ubiX//gatY//yfdV//zntA//fadH//rpsQ//hofN//hycD//mntS//hyfC//malS//gspI//soxR//aspA//mtr//yebE//yneM//ydhX//nanA//cynR//metR//aidB//nmpC//napD//araD//srlA//gatD//hybE//cusB//phoR//csgG//lpxA//frdD//glcG//rutA//dsdC//envY//hupB//cusS//livG//araG//yeaE//glnA//nirD//lldP//xylB//prfA//melR//argH//ynfF//sufD//norW//exbD//mglC//mntP//fucR//ydhT//arcA//ydeM//ccmA//hyaE//adhE//rhaR//yjeF//agp//srlA//pdhR//exbD//gspE//metB//nikB//ilvX//xylG//metN//yjiY//ilvE//srlA//pitA//rhaR//ydeP//mhpB//hycE//srlE//yeiP//nirB//pheS//malK//sufB//gltU//speA//bioB//napG//hypA//trg//fdnH//araG//ebgC//hofP//ppiA//patZ//gatA//rpoS//ptsG//rcnA//acrA//malZ//map//rseC//ychH//lysU//phnF//hisM//hyfF//agaA//ccmB//rrfF//gatA//narI//araH//mscM//gltA//ssuC//pgaC//yeaR//oppF//gatZ//nrdH//idnR//bamA//yedX//lysU//feoB//ccmA//sdhC//hycH//spf//zraP//fecC//yhjC//mcaS//argH//yciW//aceE//lacY//aceK//sucD//rof//rhaA//dps//aroA//dcuR//cysH//ispE//entE//yfeW//envY//cspE//cyoE//oppC//speA//
ChbR-Monoacetylchitobiose-6P_neg	nrfB//mgtL//alkA//osmC//ygiB//truB//
ChbR-Monoacetylchitobiose-6P_pos	paaD//tnaB//nadC//hofB//nrdE//ydhX//
CpxR-Phosphorylated_neg	tauD//phnG//mutL//lldD//lysU//rrfD//focB//ahpC//casD//fucK//yjeF//gdhA//rnpB//lsrC//pstC//leuE//tnaA//argF//yfeW//fucO//hybF//tehB//fimD//rpoE//
CpxR-Phosphorylated_pos	nikR//fur//hycD//tpx//rpoH//hycD//caiD//uidB//fucR//thrV//aceA//dcuR//ygiA//hha//abgA//xapB//infC//motB//aaeA//yegH//fhuA//tam//gatB//malZ//cusB//yqjI//hyfB//glnL//bioB//oppB//dppB//zwf//yegH//lsrF//exbD//yhjA//emrK//puuE//preT//tauD//rrlE//ansB//argD//pyrC//oppF//
CreB-Phosphorylated_neg	alkA//ppiD//appB//
CreB-Phosphorylated_pos	cusA//frdD//cyoB//pheS//lrp//argI//
CueR-Ag_neg	lpd//puuC//rbsK//appY//yccA//
CueR-Ag_pos	dcuR//nuoH//
CueR-Cu+_neg	fimH//phnJ//nrfF//bcsZ//tfaQ//
CueR-Cu+_pos	tktB//tam//
CuerR-Au_neg	dctA//ahpF//glgC//pgpC//dcuS//
CuerR-Au_pos	glgA//lysO//
CusR-Pasp_pos	adiC//acrF//rdoA//acrD//mntH//aroF//nusA//casE//ycjF//fadJ//katG//yjjZ//
CynR-Cyanate_neg	tdcD//
CynR-Cyanate_pos	ubiA//psd//grxC//
CysB-N-acetyl-L-serine_neg	idnT//cadB//gabT//tolC//infB//ycdZ//ccmA//
CysB-N-acetyl-L-serine_pos	casA//cysW//rbsK//casB//ansB//aaeB//fdnI//araC//acrF//crr//ccmA//feoC//atoA//cysI//manZ//ydhX//glcE//alaA//mglB//fepE//fdnI//hybC//fecA//
CysB-O-acetyl-L-serine_neg	paaK//sufC//bglF//fecR//pstS//garR//glgA//
CysB-O-acetyl-L-serine_pos	ebgA//ccmG//gspE//tyrP//phnM//lrp//uxaA//ulaD//rpsO//glcB//nikC//sufC//cheY//lsrK//nuoF//hflC//livH//soxR//artP//ilvB//glnK//ihfA//rhaT//idnD//
DcuR-Phosphorylated_pos	glpX//yegZ//puuD//chbG//ycjX//cytR//gadC//lysO//idnT//
DnaA-ATP_neg	bcsZ//nanS//ykgM//avtA//torR//ileU//mutL//nagA//fbaA//glpA//nikC//
DnaA-ATP_pos	hyfC//xdhA//ydhX//glpE//lsrA//tdcD//phnJ//
DpiA-Pasp_neg	gltW//
DpiA-Pasp_pos	mtr//mtlA//ilvD//uhpT//proP//gapA//araE//ubiC//yegR//mltC//
DsdC-D-serine_neg	betA//
DsdC-D-serine_pos	glnK//uxuB//
EvgA-Phosphorylated_pos	csgB//cysH//ptsH//narH//sroD//fimD//malF//mdtB//folA//moaB//cysI//edd//icd//phnC//lpxD//
FNR-[4Fe-4S]2+ reduced_neg	rrlA//yjeV//rprA//argC//purH//gabT//rybA//cyaA//csgC//tauC//uxuB//cueO//uidC//uxuB//rpsP//ccmF//cysA//mntS//argA//iscR//phnE_2//evgS//bioD//manX//abgA//xylA//idnD//cysG//rhaS//rdoA//rpsJ//cyoB//nrfB//glgA//ydiU//yeiL//tap//narL//gatB//ygeH//pheM//glpE//tyrP//yojI//yeiB//hyfD//nuoH//torA//focA//nirC//yrbL//torR//carB//gspL//ompX//argG//livF//pheS//garK//napH//ygeA//casC//ftnB//rbsD//aaeB//mipA//safA//hcr//glcA//phnF//nrfC//uhpC//yccA//pyrD//idnK//marB//dpiB//safA//ychH//amtB//mlc//uxaC//gnd//cirA//hofP//argI//ydeA//fldA//tsx//lhgO//dppA//trpD//fdnG//nusA//cusB//proP//ptsI//idnD//hcr//carA//sohB//ilvG_2//lysA//thrS//iscA//hybC//efeU_2//lysA//sufB//agaA//acnA//dmsA//moaB//rrfA//fepD//pyrD//livH//dcuB//ygiB//pgaA//
FNR-[4Fe-4S]2+ reduced_pos	yaeP//casB//lsrC//yaeQ//fhuD//efeU_2//ygaC//metE//malQ//znuB//uidC//ilvB//ilvC//phnE_2//purN//tauA//rdoA//napH//ydfH//ulaD//yeiL//bamE//uhpC//glpE//pgaC//yoaC//bcsB//argO//citX//tdcG//acrD//cyaR//hypC//ndh//alaU//udp//glpX//araF//hflK//dsdX//phnK//cirA//fimF//fdhF//yaiA//cysP//astD//gadC//truB//ilvG_1//deoC//yiaJ//prpB//cynX//phnL//yqjH//mtlR//yneM//nirB//ppiA//gltB//nohA//fhlA//idnT//hyaC//ulaB//xdhC//gltA//tnaA//alaA//nrfC//creC//rnpB//rcnB//astB//rdoA//glgP//focB//hofN//phoH//fliA//hslJ//metJ//bioA//ilvH//cyoD//epd//lsrD//dnaE//galK//dppD//artM//cysN//fimI//artM//cspD//fimF//malX//glnL//araH//ugpC//rmf//pflB//csiD//znuC//mntP//gabP//iraM//araB//udp//fepC//ilvL//aldA//sodA//sohB//purM//ydfN//argI//oppF//yecR//srlB//lldR//bioC//ompT//caiB//tsr//dnaN//nuoB//mhpA//fldA//fadA//tdcA//hofP//citC//nac//agaV//fimI//ptsG//aidB//cysD//tehA//tauC//cysU//entE//cydC//safA//csgG//ulaF//metY//rpoS//cysC//treB//nirB//dsdC//bacA//ychO//aroL//yibN//ompT//purN//mntP//creD//nupG//sdaA//gpsA//yfbR//aroH//gltB//phnN//ptsH//ugpC//aceF//sucC//glcE//chbG//hyfG//casE//sxy//pgaD//mgtA//prpC//hpt//cydC//hemA//ynfG//garL//fucO//map//yeiB//pgaC//talA//aroP//cysC//gcvT//malX//tolC//gspI//dppA//lsrF//malF//rmf//ygiA//
FhlA-Formate_pos	gltD//srlB//aroH//hemA//ugpA//gltF//yegZ//preA//lysC//copA//trxA//secB//ebgC//rrfG//livM//marA//fdhF//sdhC//ygeH//gltD//uxuA//ytfE//ptsH//ldtC//pheT//ydhV//ygiA//gpmA//rimM//fucO//
FucR-L-fuculose-1-phosphate_pos	ompW//rrlC//rplT//rrlB//tdh//patZ//tyrR//
Fur-Fe2+_neg	lacA//xdhA//mhpF//cysJ//tdcF//tfaQ//rplB//argO//glpK//ynfE//idnO//astC//argA//napA//recF//lldD//rhaD//rhaB//puuC//chbG//ada//xylR//torC//galK//hslJ//cydA//prmC//moaC//uhpA//cvpA//flhC//hybA//sufD//ilvC//hydN//ytfE//bcsA//ahpC//rbsK//ydeO//argA//csgA//mdtB//mdtC//cas1//ygbA//srlB//sbcD//comR//bdcA//amtB//hyfE//hybA//puuB//dppF//pck//sufE//folA//zraS//acnB//mgrR//ispE//phnL//truB//phnJ//nanC//glnB//hisP//tcyJ//yhjC//iscU//fimE//tehA//glpT//fimI//cadA//trpE//nadC//cyaA//zwf//gntT//dsbA//glcD//gatY//phnD//dsdX//gltT//rrlG//ompR//rcnA//arcZ//metQ//cysJ//rutE//entD//uvrA//ccmF//cirA//gltU//rutA//gntP//lsrK//deoC//pflB//tcyJ//aroG//yebE//torR//glnA//ugpC//murP//araD//ccmC//cra//adhE//fepC//lrp//fimF//ssuC//ygiB//rpsC//napG//hflK//gspK//
Fur-Fe2+_pos	acrE//aroF//cysI//aer//torR//citE//ydeJ//codB//gatD//frdB//alaS//treC//prfA//ilvG_1//cvpA//actP//oxc//ung//rpmC//rplM//deoA//rrsE//sbcC//ysgA//argG//
Fur-Mn2+_neg	treB//fadB//prmC//glpC//leuE//lrp//deoC//mntS//nrdB//focA//tnaB//pflB//rimP//ygaC//ogt//dsbA//ssuA//fixB//marR//hslJ//cpxA//rnlA//hycG//ilvG_2//nanE//phoB//yhhY//garL//fecI//fis//glrR//ydeN//focB//livK//glpQ//tdcB//hisJ//hycI//cdd//garP//sbcC//pgpC//allC//paaK//purM//eda//purD//nuoG//rplT//glcB//hyfE//allC//ssuE//hycI//yibN//soxR//cyoD//tauB//abgA//erpA//sbcD//rcnB//cyoA//lhgO//polA//lpxA//betB//ydbD//ompW//dcuD//caiT//sdhC//tolC//araE//dppC//nanA//cydA//yegR//gntX//rrlE//modA//uxuA//metR//betT//uidC//rhaS//aroF//ssuD//dcuD//caiE//ilvC//yjjZ//speB//tar//prpC//uhpT//flhD//dps//nanE//purR//yaiA//gntT//lamB//csgB//eda//secB//bioB//ryhB//garP//nanK//icd//fucA//ulaB//galT//hyaD//hyfJ//comR//napA//rrfE//agaV//rpmC//aldB//phnJ//iraD//
Fur-Mn2+_pos	ydfN//rrsH//glnL//dppD//nuoA//cydA//nuoJ//rpsP//uhpA//artI//alaS//entS//ygiA//glnD//exuT//deoB//rpsJ//cysN//srlA//manA//crp//nanC//carB//ydfN//chbC//
GlcC-Acetate_neg	edd//
GlcC-Acetate_pos	ilvC//fiu//metL//cysK//ompC//katE//
GlcC-Glycolate_neg	envZ//
GlcC-Glycolate_pos	nirD//alkB//uxaC//ilvC//glpF//oppA//
GlrR-Pasp56_pos	ulaD//
IclR-pyruvate_neg	sufS//argG//icd//tsr//
IdnR-5-ketogluconate_neg	puuD//nrdF//nrdI//
IdnR-5-ketogluconate_pos	ilvC//actP//uhpB//malP//rrlA//
IdnR-Idonate_neg	yhfA//oxc//phnL//
IdnR-Idonate_pos	torR//cynS//yggX//yegR//bioA//
IlvY-2-acetolactate_neg	gntK//
IlvY-2-acetolactate_pos	degP//
IlvY-Alfa-acetohydroxybutirate_neg	gntX//
IlvY-Alfa-acetohydroxybutirate_pos	ahpC//
IscR-[2Fe-2S]1+_neg	appA//fes//metY//gntP//cvpA//fdhF//pepT//exuT//cyoB//nanC//phnD//alaS//bcsZ//metQ//tsgA//nirD//hycG//znuA//phoH//srlE//ascB//cheB//gcvH//rpmI//rmf//tdh//chbA//dmsB//dadX//cas2//
IscR-[2Fe-2S]1+_pos	glpR//casA//galP//exbB//nrdB//ilvL//amtB//mdtC//glpB//fecI//gspD//
LldR-L-lactate_neg	pgaB//mutY//tktB//
LldR-L-lactate_pos	dnaN//ulaB//araF//
Lrp-Leucine_neg	hydN//aaeX//nikA//creD//leuE//napH//ynfG//purB//gspL//nrfC//puuP//ahpC//udp//alaS//norR//fdhF//carB//entC//nanK//glnG//rrsH//tyrA//oppA//lacZ//araC//ccmA//mutL//rplC//yhcH//nuoH//trg//hupA//lamB//manY//hypD//mhpD//melB//iraM//hmp//hcr//amtB//glnL//idnK//hyfG//citF//ulaA//arfB//kbl//carB//paaI//pheM//artP//eda//dcuB//casE//katE//pstC//entH//phnN//aroG//rbsC//hycD//rybB//sufC//osmC//pgpC//hemA//trpL//glpA//araH//trpB//fadE//moaC//cytR//lldR//
Lrp-Leucine_pos	slyB//serA//hha//mhpC//fdhF//ykgO//alkB//rdoA//treC//yjcH//narH//tnaB//fumA//tyrP//lpxA//tsaE//cvpA//artP//creB//argC//metI//glpG//gcvP//fimA//cyoC//lamB//yciW//iscS//yebE//ileU//zinT//glgX//nrdF//uidA//pgaB//
LsrR_neg	emrY//treB//purE//fucK//cadA//uidA//caiE//hdeD//uvrA//
MalT-ADP-Maltotriose_pos	glpA//ybdZ//pheM//rpsO//ykgO//mzrA//livH//metF//stpA//sodB//
MalT-Maltotriose-ATP_pos	creA//rplS//araJ//tauD//gltT//argO//glrR//deoA//citX//phoU//
MelR-Melibiose_neg	trpB//srlA//glpX//
MelR-Melibiose_pos	fimA//trpL//fimA//
MetJ-S-adenosylmethionine_neg	cusF//puuC//fimF//cusC//guaB//pyrD//rpoH//epd//ptsI//xylB//nrdI//ahpC//copA//fau//cheW//
MetR-L-homocysteine_neg	nagA//oppA//
MetR-L-homocysteine_pos	cysU//rrsH//metI//yhhY//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	tdcD//nusA//oppA//talA//yjeV//xdhA//
MhpR-3HPP_pos	rrlB//rhaT//csgA//ccmD//nrdA//lysA//
MntR-Cd2+_neg	hofN//hybG//metA//gltV//
MntR-Cd2+_pos	artQ//
ModE-MoO42-_neg	artQ//aceB//argH//mdtA//yrbL//hyfJ//phoQ//hflD//hslJ//xylH//nrdH//csgF//phoR//purR//gutQ//
ModE-MoO42-_pos	degP//sucD//cirA//paaF//glnA//miaA//infB//glnG//gatB//caiE//prpD//nadC//tdcE//pheM//ispE//dcuA//appY//gspI//fes//aspA//ahpF//frdC//artQ//alaA//ubiX//agp//modA//tsgA//artQ//ilvB//trg//
NarL-Phosphorylated_neg	nrdH//aroP//metQ//rpsF//mdh//ssuC//treC//fepD//yhcH//pepT//murP//fixC//yidQ//mutY//cpdB//yeiB//ebgC//dapB//modA//hemA//araE//mutY//hybB//nuoG//rrlC//sbcD//ugpE//iraD//hofP//rbsK//nrdG//uidC//hybA//fadA//tehA//nuoI//nuoI//ptsG//lacI//yqjA//hupA//iscR//zraP//ubiC//melB//livG//fadI//fecD//zraS//hdeA//hflD//mgrR//ompA//sxy//malE//cpxA//oppB//nupC//ccmE//glpA//ackA//artI//dmsA//nuoK//artJ//rbsA//serC//acnA//tar//hycB//hycA//rrlA//purH//hslJ//lpd//aaeA//rhaA//cvpA//tpx//agaV//pck//hyfF//lpd//gspK//argB//sdaA//
NarL-Phosphorylated_pos	hypD//znuB//actP//gabD//fepC//ilvG_1//trxA//oppD//ivbL//mlc//cysW//mntP//mpl//dcuC//adiC//yggX//rpsO//recF//hflC//alaU//rbsC//phnM//rrsC//cysJ//caiB//ubiC//artI//mscM//nirB//chbR//cusF//lrp//cas2//cpdB//yecR//tdcC//fimA//lpxA//ulaC//manX//lhgO//oxyR//carB//chbB//yeiP//xseA//
NarP-Phosphorylated_neg	rnpB//gltF//tehA//nanE//exbB//ybfN//purF//gspK//hofP//micF//lsrD//ryhB//fepB//ldtC//rbsB//nanC//araE//betI//atoA//fhuC//rybB//trpB//cusC//dusB//cusC//dkgB//acrD//ihfA//gadB//pheS//yeiL//fimH//lsrC//
NarP-Phosphorylated_pos	ydeN//nrdB//livK//pstA//osmY//moeA//yeaR//hyfC//nupG//gspL//flhD//cbl//prs//fldA//malE//rpmI//degP//ysgA//tomB//csgA//hyfB//ppdD//malG//katG//frdC//cstA//oppF//hybD//arcA//trmD//argF//ilvE//
NhaR-Na+_pos	ftnA//cvpA//livF//oppF//pta//
NikR-Cd2+_neg	zraS//csiE//nrfG//fucA//glcB//rutF//
NikR-Co2+_neg	gatY//aceB//alkB//cyoC//fadB//ascB//
NikR-Cu2+_neg	hybO//tsaE//rrfF//cysD//rrfD//glmY//
NikR-Ni2+_neg	frdA//purH//mdtA//glnA//mscM//hycF//
NikR-Zn2+_neg	hcr//galS//rplC//nrfE//crl//araG//
NrdR-ATP_neg	treB//ubiC//dppB//glnK//pncB//osmY//prpE//puuP//araE//
NrdR-Zn2+_neg	cadC//dpiA//gspH//uxaB//nrdE//yrbL//rhaS//mltC//xylB//
NrdR-dATP_neg	casD//mscM//dnaE//tktB//nikR//yhjA//sbcD//crr//prfA//
NsrR-[2Fe-2S]reduced_neg	glpK//narL//pagP//paaD//torR//ugpB//nikB//cysJ//ogt//paaD//cysB//ykgO//speB//ulaE//glpG//pagP//rbsD//sodB//rimM//nrdF//ulaA//rpmI//citF//fdnG//cpxR//cusR//yoaC//soxR//rrfD//phoU//nikR//codA//hybA//qseC//manZ//caiC//csgB//ulaC//ascB//hybE//phnN//xylR//ansB//fadA//xylR//gntX//mdtC//xdhA//xylR//xdhC//metC//sucA//ydhU//gcvT//frdD//pgaD//hybD//rrsD//uvrA//ascF//raiA//ydeM//allC//cyoA//erpA//cadB//yoaC//rutD//cytR//nac//mtlD//tar//rpsI//
PhoB-Phosphorylated_neg	casA//xylF//aroH//ptsI//feaR//agp//miaA//rnpB//fdhF//tdcD//garK//iclR//argE//
PhoB-Phosphorylated_pos	glcE//cydD//prfA//rplP//ptsI//glrR//soxS//lysO//rutF//miaA//argE//tcyJ//uxaC//yaiW//xylH//casE//cyaA//fadH//hemA//gabP//dadX//xapA//lsrG//manZ//iscS//gapA//ccmD//fur//tyrP//hha//acnA//argT//ydeA//nrdA//bacA//hcp//sodB//trmD//srlB//fhlA//ulaE//gadC//glnL//cyoA//xylH//lpxB//mhpR//tauC//sxy//tyrB//zinT//metI//pagP//
PhoP-Phosphorylated_neg	prpR//aroM//idnD//ahpC//rhaB//fhuF//skp//rcnB//torD//rnlB//entE//
PhoP-Phosphorylated_pos	malQ//sroD//fixX//ycdZ//ebgC//xylF//zraS//pyrC//hypD//ycjX//gspJ//fucP//ybjG//caiD//entB//trxA//hemL//eda//rrsA//glnG//katG//phnD//fucK//purH//manA//bacA//gcvT//ileU//cyoA//fhlA//mglB//rof//ubiG//cydD//melA//envY//metK//malZ//gutQ//focB//hycH//rbsD//oppC//rnlA//metE//mglC//uof//nrdB//hycE//
PrpR-2-methylcitrate_neg	dmsB//
PrpR-2-methylcitrate_pos	azuC//ilvG_1//sodA//nanK//
PurR-Guanine_neg	glcD//acnA//yedX//entS//paaF//nupC//ysgA//agp//fldA//citC//pgaD//ihfA//dcuS//galE//trpA//znuB//lldD//tfaQ//rplM//ubiX//frdB//cyoE//infC//aroM//fadI//hofC//nanS//mgrB//gspE//cyaA//ilvX//ahpF//araE//chbG//
PurR-Hypoxanthine_neg	fucO//phnD//ilvH//ssb//fecD//mtr//nuoK//metQ//mpl//lysO//ycjX//lacY//aldB//mutL//rrlA//chbG//tolC//yfbR//ydbD//aroL//lysO//hisJ//artP//rplT//recF//ldtC//betA//narJ//gcvH//malT//puuR//mzrA//ilvD//nikR//
QseB-Phosphorylated_pos	paaA//ygeA//rplS//aspC//
RhaR-L-rhamnose_pos	cyaA//torA//
RhaS-L-rhamnose_pos	nfuA//moeB//asr//
RstA-Phosphorylated_neg	cysG//dmsA//glnK//nikC//narX//
RstA-Phosphorylated_pos	mhpD//gabP//glrR//abgT//grpE//
SoxR-[2Fe-2S]3+ oxydized_neg	carB//
SoxR-[2Fe-2S]3+ oxydized_pos	galK//bamE//aspA//
TorR-Phosphorylated_neg	hycH//
TorR-Phosphorylated_pos	fixX//astD//sdhD//fimI//metE//pstC//ygeA//puuA//tauC//
TrpR-Tryptophan_neg	metI//truB//hofB//entS//uxuB//ydhT//aspC//gltB//glgX//ycjF//glgB//tehA//
TyrR-L-tryptophan_neg	mltC//casD//grxD//argH//gntX//tdcA//citC//hyfJ//metL//marB//purM//trpB//
TyrR-L-tryptophan_pos	yhjA//sdhD//modB//
TyrR-Phenylalanine_neg	phnI//cysD//pitB//ppiD//argE//phnD//garL//uof//csgG//csgF//tauB//cheA//
TyrR-Phenylalanine_pos	araJ//ccmA//chbF//
TyrR-Tyrosine_neg	hybC//iraD//argD//metE//aaeA//iscS//ybjG//ilvM//zraS//gspK//uxuR//sbcD//
TyrR-Tyrosine_pos	nuoI//ccmB//sbcD//
UhpA-Phosphorylated_pos	prpD//
XapR-xanthosine_pos	ccmG//rrfA//
XylR-Xylose_pos	hyaB//fucP//yfiP//nrfF//paaB//ydhV//
ZntR-Cd2+_pos	ilvB//
ZntR-Hg_pos	rbsR//
ZntR-Zn2+_pos	argG//
ZraR-Phosphorylated_pos	arfB//infB//thrV//
Zur-Zn2+_neg	pstC//ftnB//yegZ//fepG//puuC//rbsB//
