#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	spy//ilvX//
CusR-Pasp_pos	gspO//yoaG//garR//gntU//fnr//lsrG//fhuF//trpD//ilvY//malG//trpB//hyaB//
CynR-Cyanate_neg	dadX//
CynR-Cyanate_pos	nuoL//cysD//cyoD//
CysB-N-acetyl-L-serine_neg	hyaB//grxC//asr//pgk//fecB//norV//sbcD//
CysB-N-acetyl-L-serine_pos	ydbD//ompR//glpK//nuoL//glnB//nuoK//hyfE//napC//xylF//xseA//cyaR//rpsC//fur//rrfD//csgD//rrfG//xylG//ompR//hofN//dapD//fadD//dppC//dppA//
CysB-O-acetyl-L-serine_neg	allE//torA//hycE//purH//fdnI//yjjZ//malY//
CysB-O-acetyl-L-serine_pos	lysP//lpd//pitB//garK//glgA//hyfG//dnaN//yfdE//appY//araD//metE//sufA//hflK//sucD//mglC//spf//sufA//ogt//rutC//appA//glcE//ybdZ//ybjG//speC//
DcuR-Phosphorylated_pos	rseB//pdeF//safA//melB//cynS//mhpF//tdcE//ygiA//yqjH//
DnaA-ATP_neg	tdcE//pncB//ydhU//hha//casB//alaS//tam//appB//citX//araF//marA//
DnaA-ATP_pos	leuE//rutA//ssuC//glcC//rybB//napF//rstA//
DpiA-Pasp_neg	mhpR//
DpiA-Pasp_pos	gspF//caiT//hybE//paaA//leuE//glnL//idnO//pheT//rybA//ccmD//
DsdC-D-serine_neg	miaA//
DsdC-D-serine_pos	sbcC//ilvN//
EvgA-Phosphorylated_pos	artQ//argE//cusF//acrE//fdnH//artM//aroA//yegZ//pgpC//purK//trpL//oxyR//ilvY//ydeN//paaE//
FNR-[4Fe-4S]2+ reduced_neg	rrfH//ydbD//mhpF//mutY//folA//agaW//caiT//napF//ydeJ//ydfH//ssuC//paaD//astB//phnH//entA//ulaF//nuoC//fdnI//rprA//artP//yoaC//glcB//frdB//rcnB//yoaC//sodB//tnaA//yqjA//fecD//abgT//caiC//hflX//entF//ilvC//talA//alkB//hdeA//tauB//mtlA//ihfA//yfdX//hypA//metH//trpA//astA//fixC//entE//narQ//exbD//napC//hha//hypE//gnd//napF//trpB//pgaD//lldP//cheA//ydeO//mhpA//nrfA//hybE//rutA//rutC//rprA//cas2//ftnA//cheA//mutY//mtlA//yciW//ybdN//gspL//nupG//rrfB//livM//nagC//lysA//hflD//dnaE//emrK//phnI//fdnH//iscS//entE//ssb//ydhY//betB//ppiA//araE//nfuA//puuE//uxuB//gltA//ompC//bcsZ//artM//fepA//metQ//malG//mhpE//ssb//napD//hycA//marB//yjeV//iraM//gspF//zraS//glgP//mdtB//aidB//zraP//cysK//uxaB//sodB//aroH//nagB//rhaT//rplT//
FNR-[4Fe-4S]2+ reduced_pos	puuC//dsdA//ccmC//mgrR//phnE_1//mzrA//glgC//prmC//hofB//gntK//asr//hyaB//hyfB//hypD//uof//mgrB//yfdV//sdhB//gspJ//cysA//pncB//lldD//yeaE//fucO//dppB//gatA//glnK//tap//phnE_1//hcp//bioF//prpC//atoB//citG//argE//pepT//csgF//ilvI//fumB//chbA//osmC//caiD//manY//entH//bioC//prpC//ychO//efeU_2//iraD//nuoF//yfdX//rplI//malQ//nagB//sdhB//mtlA//phnH//idnT//fimE//baeS//phnE_1//codA//nrdB//ilvH//artP//adhE//fdhF//rbsD//entE//sdhA//dsdX//zntA//rhaR//napH//metF//rrfE//galS//cheW//purN//spy//casB//dppF//mtlA//putP//lacI//raiA//hycA//gcvT//ndh//csgE//iraM//fbaA//cydD//truB//phnM//ugpB//znuC//deoB//rhaR//araH//grxC//fucR//nrdA//uxaB//gltF//malF//yidQ//atoE//ryhB//guaA//ppdD//glpR//rpsP//rrlC//comR//carA//ytfE//ybdZ//rpsC//glcF//rcnA//gspO//exuT//tdh//ccmA//lacZ//mgtA//casB//argI//dctA//amiB//csgB//atoB//nanE//caiD//nrdE//argI//ydeA//cvpA//glcD//atoB//prpD//ung//nagE//pyrD//nanA//paaZ//ptsG//mgrB//amtB//narJ//mglA//rrsH//yaiW//ynfH//allD//srlB//gabP//dapB//uxaB//gntU//uhpT//preT//carA//betI//nac//exbB//hycI//nuoC//glrR//ampE//serC//tehB//yebE//ubiA//tar//lldP//fbaA//grxC//cyoB//moaC//ccmA//appC//pflB//trpD//hofN//gnd//ptsH//ssuD//rrfC//rbsB//fimA//ilvY//pstC//araH//evgA//phoQ//treR//mhpA//cra//ytfE//rrfD//
FhlA-Formate_pos	sohB//fecB//cdd//hydN//bamA//ppdD//manZ//map//trg//fliA//ccmC//pstA//yqaE//micF//arcZ//ilvC//zraS//nikC//creA//nrdF//arcA//nikB//hydN//arcZ//ebgC//rnlA//ydhY//feoA//uidC//melB//
FucR-L-fuculose-1-phosphate_pos	fiu//araF//betA//glnG//hycF//phnN//rnlA//
Fur-Fe2+_neg	galK//yoaG//yneM//prmC//emrK//pstS//gpsA//patZ//gltU//trpB//nirB//cas2//srlA//prpD//citE//hemA//treC//phnL//thrV//feoC//yciW//ppiD//gnd//purK//cyoB//yegH//emrY//mgtL//pitB//ccmA//ulaC//lldD//ilvI//comR//hycI//rpsP//hybO//moaB//aceA//gyrA//nrdA//ptsH//ugpE//treB//mutL//hyfE//tap//miaA//caiF//prpD//hyaA//narJ//cheR//rutE//purF//ilvM//mdtD//lacY//fliZ//mltC//uhpT//metJ//glcD//ydhU//dmsC//rhaT//yebE//dadX//degP//yfdX//lysP//fadL//bdcA//yjeF//lsrF//copA//rhaT//lsrF//cspD//dnaE//motB//paaI//fecR//lpxB//yojI//gcvH//stpA//nagB//rstA//cheW//cadA//rrfA//cbl//hha//rplD//hmp//aidB//dusB//aaeX//dcuS//fadH//yegH//nohA//gcd//ilvC//oppF//fepA//gntP//xylA//rhaD//nikR//argE//phoE//hemL//rplC//tauB//idnT//hypD//phnH//amiB//micF//aaeX//agaV//hypA//
Fur-Fe2+_pos	mhpE//nirC//ompF//nuoC//speC//mtlD//prpC//glpX//entB//yhhY//glcG//nagA//oxyR//ssuE//argI//dps//cysB//agaA//xylB//metF//uxuB//asr//gspC//flhD//moaD//
Fur-Mn2+_neg	ilvM//metY//tyrA//narQ//nanE//moaB//araE//astA//citD//fepB//sdhD//metR//rrsA//aceB//appX//priB//dnaA//phoH//nrfD//mglC//tnaA//prpB//ssuC//ubiG//grxD//ugpC//manX//soxS//cydA//iraM//ubiC//cdd//pheM//znuB//phnC//acrA//ssuC//rhaD//hcp//idnT//tsr//gatA//rrfA//gutQ//chiP//trpC//gspK//hdeA//gcd//hflK//yedX//rutC//artI//nuoA//yfdV//metE//gabD//yoaG//tauB//fadL//lacZ//yqjI//sdhA//hyfD//rrlA//feoB//hyfB//yoaG//ydeM//pdeF//ilvI//grpE//ydhW//deoB//iraM//aroF//bioF//purD//metJ//nikD//puuR//nuoC//xylR//hycG//tsr//srlE//lsrR//hisM//ynfG//tdcF//thrV//tehB//metK//rutD//ilvC//uxaA//hybG//chbC//tdcD//fldA//fis//baeR//rpoH//citE//soxS//lldR//flhC//hycC//hyfE//pgk//tauC//ccmH//nrfB//yecR//aceB//envY//nagB//fadH//tsx//grcA//speA//uidB//nrfD//copA//
Fur-Mn2+_pos	cysW//dcuC//citC//rutB//appX//xylA//ppdD//sufD//prfA//glgA//amn//edd//nagC//ansB//cynS//sucB//fixA//fimH//uhpA//bglB//ydiU//hofN//ygeA//truB//pgaA//
GlcC-Acetate_neg	motB//
GlcC-Acetate_pos	lpxB//cspE//fepA//pstC//glpK//secB//
GlcC-Glycolate_neg	micF//
GlcC-Glycolate_pos	glpT//ampE//glnD//nac//xseA//purN//
GlrR-Pasp56_pos	rrlC//
IclR-pyruvate_neg	galM//manY//patZ//bacA//
IdnR-5-ketogluconate_neg	mgrB//yfdE//metA//
IdnR-5-ketogluconate_pos	fur//hyfE//aceE//cyoE//fepA//
IdnR-Idonate_neg	fucK//nrdI//cas1//
IdnR-Idonate_pos	acrF//paaZ//grxD//phoE//ompC//
IlvY-2-acetolactate_neg	safA//
IlvY-2-acetolactate_pos	epd//
IlvY-Alfa-acetohydroxybutirate_neg	bioC//
IlvY-Alfa-acetohydroxybutirate_pos	gatB//
IscR-[2Fe-2S]1+_neg	prpE//fhuB//galK//hofP//caiA//tdcA//tauA//lacZ//gatY//tsaE//tauA//oppC//napH//torR//rpmC//fhuE//prpR//fabZ//degP//alaA//narG//norR//gltA//ung//cheA//dcuC//malP//mtlR//rrsG//tsaE//
IscR-[2Fe-2S]1+_pos	rutF//paaA//ulaB//rutB//evgA//idnD//cbl//cstA//phnH//cvpA//dmsD//
LldR-L-lactate_neg	rmf//hyfG//hybC//
LldR-L-lactate_pos	cynS//casD//mgrR//
Lrp-Leucine_neg	phoR//cbl//rrfB//rhaA//gspF//rpsJ//ulaD//aaeA//fepA//micF//mdtD//nagB//treC//spf//lldP//yeiB//purA//bglF//malM//hybG//artP//rrsH//yeaR//chbR//tdcF//oxc//fau//hemA//rplB//ccmC//secB//nrdD//sdhD//ssuD//artP//ydbD//cheR//ilvY//garR//tdcG//hdeD//narI//citF//srlR//yjcH//narJ//rrsH//mhpA//ulaE//acrB//spy//grxD//ydeO//sodB//pncB//amiB//rrfH//metN//paaH//katG//rutA//uxaA//aidB//argF//cra//ykgO//ychO//livJ//cysH//cysB//cpxR//glcC//asr//phnO//ftnB//
Lrp-Leucine_pos	dmsB//ydiU//cpdB//artJ//metJ//aidB//yidQ//ulaB//tktB//yfaE//appX//ygeA//mhpC//yegH//yeiL//fimH//ihfA//nirC//oppA//cstA//truB//psiF//appX//pstA//cysG//gntT//rnlB//creB//yhiD//paaZ//argP//ilvG_1//cusF//uxuB//ogt//
LsrR_neg	slyB//hyfC//fecR//gspC//mhpT//cusC//hha//iscA//argR//
MalT-ADP-Maltotriose_pos	dctA//cysH//nrdD//frc//metB//hcr//glpC//aroF//qseC//galT//
MalT-Maltotriose-ATP_pos	uxaA//fimI//uhpA//fecE//fau//hyfB//rbfA//rybA//csiD//araD//
MelR-Melibiose_neg	xapB//creA//alkA//
MelR-Melibiose_pos	iscR//zraS//ydeA//
MetJ-S-adenosylmethionine_neg	yciW//livK//hfq//amtB//ssuD//bioC//tap//glnL//fucO//mgtA//mntH//ebgA//tnaC//slyB//yaeP//
MetR-L-homocysteine_neg	gltD//chiP//
MetR-L-homocysteine_pos	mepH//cadC//gnd//ccmE//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	rpsI//hyfE//tyrP//rcnB//psiE//eda//
MhpR-3HPP_pos	rpsC//sxy//garR//prpR//ryhB//argG//
MntR-Cd2+_neg	ygiB//yneM//nuoJ//nikB//
MntR-Cd2+_pos	fbaA//
ModE-MoO42-_neg	fliA//gdhA//hyfI//ynfG//xapB//yeaD//dadA//fixX//mutL//artP//metR//focB//cusC//ccmG//envZ//
ModE-MoO42-_pos	priB//fimD//atoA//ptsI//alaU//ilvD//rnlB//ptsG//allC//acnA//guaB//ydeA//casB//fadA//cusB//malS//tyrB//feoA//acrF//rybA//hypE//oppA//hflK//dsdC//bioA//guaB//yjiY//aspC//nuoA//degP//znuC//
NarL-Phosphorylated_neg	appY//rplW//lpxB//nanT//gcvT//csgD//gabP//casD//oxyR//dsbA//bcsZ//ascF//trmD//rplM//entB//grxC//focA//idnO//hyfA//rimP//spy//ccmH//uxaA//xdhA//argI//manX//cadC//fnr//polA//fadJ//cysM//rutB//hyaA//rplS//araC//flhD//rpsF//rnlB//fhuF//sufA//ykgO//ebgA//phnE_2//trpB//phoH//lhgO//ydeP//hybC//hycG//araD//ubiX//mltC//mscM//rrlA//iclR//rplT//cysB//lpxD//zraS//zinT//entS//rrfG//gspE//tpx//murQ//xdhC//zraS//yciW//tar//tdcB//guaB//cpxR//hemA//uhpB//ssb//rhaA//abgB//trxA//aspC//casD//pgaA//udp//fbaA//nrdD//mdh//napC//
NarL-Phosphorylated_pos	cirA//mdtB//ydhT//zntA//osmY//araF//speB//rrlB//phoR//bioA//raiA//hybG//hyaD//malZ//hdeB//uvrA//hyaC//speA//rbfA//gspM//betB//rcnA//dkgB//cydB//ppiA//bamE//exbD//glcG//fepC//dcuD//fucP//ygeA//betI//cysD//yegZ//lysO//fhuC//yfeW//galE//fis//aspC//ompX//chbA//ppiA//glgP//ldtB//
NarP-Phosphorylated_neg	proP//rseB//sodB//ebgA//rpsF//ilvI//puuD//mhpA//fucK//gntP//cyoA//ilvD//lolB//lldR//creB//ilvA//gpsA//puuR//glnD//deoC//rrlA//yhcH//rutB//ompF//prs//cadC//rbsK//narK//paaI//ompW//napD//rnpB//ynfF//
NarP-Phosphorylated_pos	tadA//prpD//yedX//cynX//dppD//deoB//tdcG//dctA//bdcA//lpxD//ubiC//ptsG//dppC//cheB//phnE_1//pheM//gltF//pdhR//fiu//katE//mntP//glcA//gltW//cyoD//fnrS//malZ//yjjZ//melR//bioD//tauB//nrfB//purM//
NhaR-Na+_pos	hybF//glnB//allD//truB//ompR//
NikR-Cd2+_neg	gspC//fecD//nuoL//idnT//entE//araB//
NikR-Co2+_neg	envY//betB//aceB//malT//ihfA//fucA//
NikR-Cu2+_neg	gatD//putP//hybB//tyrA//sroD//infB//
NikR-Ni2+_neg	fdhF//ubiA//cadA//oxyR//chiP//secB//
NikR-Zn2+_neg	yfdV//motB//hdeD//ubiC//rnlA//bcsC//
NrdR-ATP_neg	rpsF//nrfC//lacI//phnC//tdcF//glnA//fucP//hofM//arfB//
NrdR-Zn2+_neg	ybdZ//rpsJ//paaI//entC//ssuB//narI//nuoK//cadB//fimC//
NrdR-dATP_neg	dmsC//folE//uhpA//tdcE//nikC//lysU//psiE//ompA//glcF//
NsrR-[2Fe-2S]reduced_neg	bamA//lldR//oppB//psd//rrlE//chbB//fadH//citE//purH//livK//treR//rrsE//cyoA//cysB//pstS//hofC//mlc//rrsD//phnC//yibN//phoA//gyrA//yeiP//hisJ//bglF//slyB//yeiW//argT//icd//aaeB//deoA//tyrA//nuoC//rrfD//dppB//yeiL//fdnG//moaB//ybdN//rcnA//nuoM//cyoC//spf//paaJ//rpoS//aspC//feoC//speC//torA//fbaA//yaiW//rpsI//yaeQ//sdhA//nuoJ//sufA//acs//rpsI//paaJ//uxuA//sdhC//tauD//paaF//yqjH//mdh//gntT//rimM//ilvA//infB//ulaF//rseA//rhaA//yiaJ//
PhoB-Phosphorylated_neg	micF//waaH//purC//sbcD//lacY//cadB//hybE//ccmF//srlA//rbsC//nrfB//sucC//xylB//
PhoB-Phosphorylated_pos	fucR//lysO//ilvD//ykgM//citC//hyfR//ada//rimM//tomB//speC//purB//bglF//gltD//torR//crp//aidB//cyaA//glnL//nrdE//modB//gspI//rseA//prpD//rybB//yegR//bamA//prpD//purA//entF//ycjF//glpA//mntP//entS//rhaT//ndh//sbcD//phnG//idnT//ompW//abgT//hypF//mlc//narX//hyfR//nagA//rrlB//hycB//hyfC//hyfE//znuC//hflD//spf//cysJ//
PhoP-Phosphorylated_neg	ygbA//znuB//casC//rbsC//nikC//rrsH//norR//exbD//casB//uxaA//metR//
PhoP-Phosphorylated_pos	frdB//rutE//allE//hypB//torC//hyfA//yeaD//nuoF//gabT//dkgB//lsrA//crp//moaA//rhaB//cyoE//cra//mglC//hypD//alaV//prpC//csiD//ompX//ydhT//mepH//rdoA//ygeA//exuT//sdhA//ccmH//fecA//hyfA//malY//ilvX//casE//rrfH//fhuB//rpsS//ilvY//fadA//lacY//psiE//cheA//ydeO//puuB//hofC//phoP//manA//argB//lacZ//
PrpR-2-methylcitrate_neg	gntX//
PrpR-2-methylcitrate_pos	ftnB//safA//hyfC//yegZ//
PurR-Guanine_neg	gltB//ubiC//rpsO//slyB//hybA//nikB//ccmE//cusC//gspK//xdhA//atoB//dadX//rimP//fecR//dsdX//fucO//rplI//uvrA//oppA//cysU//fepA//mntS//lpxD//puuP//fbaA//appC//rrsC//preA//gspJ//ascB//uhpA//mhpB//araJ//gspJ//
PurR-Hypoxanthine_neg	mgtL//znuC//adiC//prpE//hfq//guaB//glyA//lsrC//chbA//yqjH//fau//flhC//garK//lsrF//caiD//nuoM//nuoM//infB//ynfG//pstC//dctA//lsrD//aroH//rstA//livM//deoB//hypB//dsdA//nagE//fbaA//gatA//ynfH//frdC//dcuS//
QseB-Phosphorylated_pos	gatY//infB//alaU//ilvA//
RhaR-L-rhamnose_pos	argD//tnaC//
RhaS-L-rhamnose_pos	sufE//lldP//eda//
RstA-Phosphorylated_neg	katG//astD//frdA//metN//purR//
RstA-Phosphorylated_pos	mdtD//ptsI//fhuB//chbB//trpD//
SoxR-[2Fe-2S]3+ oxydized_neg	gltB//
SoxR-[2Fe-2S]3+ oxydized_pos	lysA//hycF//yegH//
TorR-Phosphorylated_neg	citE//
TorR-Phosphorylated_pos	gpmA//ilvN//phoA//yhcH//dadA//rplI//nuoE//deoC//purD//
TrpR-Tryptophan_neg	artJ//appA//fucK//hofP//deoB//ydhX//hyaF//iraD//glgC//phnG//ilvM//rrfF//
TyrR-L-tryptophan_neg	csiE//argG//gatZ//citG//moaE//phoB//rrsA//dmsD//yhcH//hyfH//ileT//astA//
TyrR-L-tryptophan_pos	mlc//hdeD//arfB//
TyrR-Phenylalanine_neg	purM//metF//feoB//amn//ccmG//rseB//gspD//xylA//gabP//psd//treR//yqjA//
TyrR-Phenylalanine_pos	fixA//malY//tktB//
TyrR-Tyrosine_neg	ccmH//cadB//glgA//ssuE//glnA//aldA//grcA//cysN//rrfE//infB//appX//lamB//
TyrR-Tyrosine_pos	caiT//fixA//raiA//
UhpA-Phosphorylated_pos	tyrB//
XapR-xanthosine_pos	nrdH//yaiA//
XylR-Xylose_pos	lacA//purM//malS//priB//sufD//fadE//
ZntR-Cd2+_pos	sdhA//
ZntR-Hg_pos	acrA//
ZntR-Zn2+_pos	yibN//
ZraR-Phosphorylated_pos	narI//glcF//hybD//
Zur-Zn2+_neg	fis//secB//rcnA//fimH//mhpA//fixB//
