#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	yedX//fes//
CRP-cAMP_neg	map//fecE//fucO//mhpF//yfdV//pgk//ubiG//rpsO//xapA//moaD//yhiD//csgB//ykgR//rrlH//phnH//phnO//mtlR//dppF//feoA//dps//prpE//rnpB//ubiG//hycE//sucC//oppA//gltU//rbsD//appB//ycjF//purF//rrsA//iscU//osmC//zwf//nuoL//uxuA//glcA//mutY//paaC//hyfG//fimG//yojI//gcvH//skp//napF//rutE//rrfF//tehA//phoP//citG//yfbR//yqjA//yojI//skp//hisM//cpdB//yibN//lrp//lpxB//uhpA//glpD//mdtA//gadC//alkB//gcvH//mglC//bioF//upp//trpB//yeiW//ygeH//fixX//mhpE//ebgC//cysB//patZ//acrA//caiA//citX//idnT//flhD//deoA//paaF//iscS//artM//dppA//rpmC//fumA//nrfB//yedX//rhaR//dnaN//entD//ybjG//oxc//yjjZ//yjeV//fabZ//rplC//ubiX//iraM//rprA//narG//yibN//yjiY//araG//cpxA//tnaB//glpD//dnaA//pyrC//fecI//cytR//grxC//narX//fur//yjeF//yhhY//phnJ//lpxA//gntU//guaB//rrlB//rnhB//uof//araD//gspJ//ilvI//ccmD//livG//psiE//lpxD//
CRP-cAMP_pos	glcD//hdeA//aroA//motB//infB//uxuB//ydfN//entH//chiP//cadC//puuP//hybB//ychH//fadA//cysB//gspH//hyfF//trpE//nanS//oppC//fhuF//nrdG//talA//paaI//tyrR//cpxA//gspE//argR//hycF//mgrB//hyfF//sodA//udp//hyaA//citD//lacA//zntA//chbB//sucB//puuD//rbsC//mhpC//manX//nikE//rbsA//phoQ//acnB//yibN//gatZ//lldR//evgA//livK//ygiC//entA//dnaN//yrbL//livM//phoB//narQ//yidQ//hyaB//grxC//narL//dmsC//alkA//bhsA//fepD//fecA//spf//ccmC//uidA//cdd//purN//metR//uof//ackA//dppD//dcuA//bioB//fadJ//znuC//mhpD//gspM//rnpB//nuoN//mdtC//xdhB//appC//pheM//chiP//srlA//yhjC//dmsD//cpdB//yfiP//fhlA//yjjZ//xapA//ung//rrsC//purA//ccmA//yfaE//ydiU//nrfC//paaK//yjiY//fdnI//marR//aceK//rpsC//glpT//pgaA//citD//puuP//malY//marR//iraM//torC//ilvM//argB//fepD//yjjZ//fbaA//bcsZ//cyoE//napG//fliA//aaeA//mhpA//rybB//moeA//hyfD//gyrA//moeB//aspC//malX//ycjF//pstB//ahpC//fadB//nrdE//rrlG//torR//moaA//fadB//fimH//malM//prmC//acrD//rcnB//fbaA//ilvC//aceF//ybfN//rrsC//pgk//ftnB//rrfA//feoC//entF//rof//ydhT//glnB//dppC//nikC//nrdA//aroP//cysW//fnrS//zinT//rrsH//ynfF//ybiT//astC//oppB//hisP//yaiA//sdaA//yoaG//araH//napH//caiD//phnP//rdoA//ryhB//malE//entF//sucA//dppB//qseB//tauD//zraR//nrfB//mtlD//azuC//yecR//tehB//aspA//tauD//znuC//gspC//entB//waaH//prmC//ahpC//iraM//trpD//rrlB//lysO//pgaC//mglA//bioA//aer//casD//lysP//bcsB//xylH//motA//pflB//narQ//citC//fhuE//grxC//purE//phnE_1//ptsH//ilvY//asr//mglA//xdhC//rprA//yecR//cysD//gltB//ilvD//moaC//pitB//alkA//rpoS//manX//nadC//lacI//paaB//nuoL//glpB//cysN//phnK//hofP//livF//phnE_2//narK//purL//preT//ccmF//hybB//tyrR//fepB//appX//rhaA//ychO//ychO//pheM//cysH//lsrB//paaE//paaZ//ssrS//aceK//katG//yfbR//cstA//uidB//mdh//nuoH//ada//rbsK//mdh//idnD//recF//dcuA//proP//sucA//infC//nuoK//rhaB//miaA//talA//nrfA//fecD//bcsB//entC//marB//ihfA//rseA//ykgO//nuoA//rplW//hha//ompC//rpsS//ilvL//lolB//rrsE//rhaB//araE//hyfG//nirD//glpA//rrfE//nuoH//yfbR//aidB//iclR//dapD//hypC//moaB//glnK//rimP//fepE//map//chbB//sufB//tktB//fecB//malT//cyoC//mcaS//araH//hyfG//purL//bamE//cpdB//mltC//hfq//glnA//ilvB//ppiD//fliA//ubiC//fliZ//rrsH//ydiU//metK//leuE//fhuC//pgaD//rutC//fhlA//prpD//nupG//crr//nikR//speB//nrfF//glnA//malI//slt//tdcG//dcuB//gutM//rrsH//citX//srlD//hyfD//fbaA//dsbA//aer//trpE//agp//metQ//xseA//sdhA//iraM//araD//bacA//tolC//uxaB//lsrC//hyfI//yecR//rrfG//fadL//pagP//zinT//fucO//icd//aceE//katG//oxyR//paaG//cspD//napA//citX//hofP//moaE//ftnA//entC//yedX//fepG//ubiX//fimI//cheB//livJ//hybG//livK//nuoF//aaeR//glpK//csiD//ssuA//glcD//yebE//ybfN//fis//yegR//flhC//rof//glgA//hycI//artJ//rpsP//rbsR//galT//tyrP//gspF//hflX//oppD//gntU//
ChbR-Monoacetylchitobiose-6P_neg	mtlR//hycA//xylA//xdhB//trpL//entD//
ChbR-Monoacetylchitobiose-6P_pos	mlc//gatA//osmC//ulaC//ada//glpC//
CpxR-Phosphorylated_neg	rrlE//dusB//srlD//glcA//aaeX//trpB//tsaE//argA//ydeP//cysK//paaH//ilvN//cysU//uxuR//gntU//ydhW//map//zraP//aspA//nagC//lsrA//kbl//aroF//fepB//
CpxR-Phosphorylated_pos	ynfK//yebE//yfdE//sdaA//degP//frdC//qseB//cysG//nupG//argC//idnT//fecE//lysC//pck//csgF//zraS//xseA//yeaR//amn//mdh//cpxA//nikR//hyaF//gspI//dctA//betI//hypE//narL//malE//lysC//ydeJ//yjeF//rbsD//tcyJ//malG//nrdB//mdtD//rbsA//adhE//speC//rhaD//hofM//carB//acrB//rbsR//
CreB-Phosphorylated_neg	ynfG//alaU//lsrF//
CreB-Phosphorylated_pos	yqjH//hflK//ldtB//ycdZ//yfaE//pncB//
CueR-Ag_neg	paaZ//xylF//thrS//arcA//rutE//
CueR-Ag_pos	hypE//csgD//
CueR-Cu+_neg	torD//napF//ppdD//csgF//mgrB//
CueR-Cu+_pos	nrdF//ppiD//
CuerR-Au_neg	manY//ndh//fadB//nrdG//envY//
CuerR-Au_pos	narH//lsrD//
CusR-Pasp_pos	marB//manY//rpsI//melA//hycB//ybjG//malE//yfbR//hypE//thrV//cysB//hyaE//
CynR-Cyanate_neg	malS//
CynR-Cyanate_pos	cyoE//fimD//hycC//
CysB-N-acetyl-L-serine_neg	agaW//glnG//fadJ//rplC//astA//ampE//hyfJ//
CysB-N-acetyl-L-serine_pos	allC//rpsC//argF//caiC//ytfE//creA//ynfG//phoQ//aaeB//ampE//cueO//nusA//citG//erpA//yciW//dusB//citD//csgE//dppA//sohB//purA//emrY//uhpT//
CysB-O-acetyl-L-serine_neg	moaA//psiE//dppF//cpxR//hypF//hycI//glcD//
CysB-O-acetyl-L-serine_pos	fixB//fhuF//cpxA//metN//rutB//yaeQ//purA//uxaA//feoC//aaeR//lamB//tdh//cydC//ynfK//gspC//miaA//proP//ompF//glgB//mdtD//dadA//nrdF//narQ//evgA//
DcuR-Phosphorylated_pos	cysC//rutE//entB//sdaA//phnF//cysD//ydbD//hcr//ilvE//
DnaA-ATP_neg	gltB//napB//mzrA//glpR//frdC//yeiW//ychO//ydhY//fepB//fucP//aroH//
DnaA-ATP_pos	prs//glpG//frdA//cyoD//glgS//hdeA//cspE//
DpiA-Pasp_neg	aroA//
DpiA-Pasp_pos	yqaE//nuoJ//phnO//ccmG//agaV//malY//hdeB//mgrB//hycH//mltC//
DsdC-D-serine_neg	cheA//
DsdC-D-serine_pos	livK//ygaC//
EvgA-Phosphorylated_pos	rplP//alkB//ampD//copA//cytR//tar//fliA//dadA//malG//hyaD//phnM//dapB//bglG//yaiW//fimE//
FNR-[4Fe-4S]2+ reduced_neg	rhaD//osmC//tdcE//ydeP//gltT//fimD//pgaC//gatB//purB//lacA//tadA//ompX//rhaD//iraD//ascB//pgk//nanM//lpxD//ygeH//ssuA//phoQ//ssuC//ansB//aceK//nrdB//melA//uhpB//idnD//sohB//purA//nfuA//mdtB//fucK//oppD//rutA//bglB//nirC//thrS//hybD//rybA//artJ//hybO//atoE//rpmC//xapA//tomB//alaT//napG//tap//rpoH//rutB//oppF//gltT//tdcB//hyaE//ivbL//cysH//dsbA//trpE//nrdD//metH//fliZ//ilvB//fdnH//entF//pyrD//napD//hmp//moaC//mhpE//kbl//ytfE//ilvG_2//waaH//norR//nagA//dcuB//nuoM//glcF//fecB//hycA//mhpB//narK//sbmC//ygaC//aaeR//pncB//baeR//appX//fdnI//argO//fnrS//phnH//garK//cas2//znuA//ilvC//cusA//lpd//fumB//dapD//rutA//motA//tsaE//ileT//rrlD//ygaC//mhpF//paaJ//lpxD//envZ//spy//cysA//srlE//araC//metC//livH//tdcA//udp//rhaA//
FNR-[4Fe-4S]2+ reduced_pos	hypD//iscS//nanE//icd//tdcC//creC//purR//artQ//cysC//paaC//talA//fumB//focB//citC//cra//glpF//nuoC//glrR//rpsJ//melB//fimD//narH//gspM//astD//metJ//gltW//marA//rrlA//hflX//speA//katE//pstC//rpsC//purM//cysJ//gatC//aceE//znuA//mglB//rplP//katG//fau//uxuR//rrfD//oppC//xylR//entB//rplT//metA//codA//sufS//rnpB//ccmD//argH//hofP//fadA//nirD//gspK//atoD//psiE//glgB//yhjA//ybiT//bcsZ//rpsF//asr//ugpB//ilvB//gntP//mgrR//livH//bioB//prfA//gyrA//cyoA//ilvG_1//gatZ//csgG//mhpE//glrR//talA//envY//sufS//trpC//cpdB//yccA//fhuA//crr//lrp//edd//tsgA//oppD//gabT//lldD//rrsG//trxA//metL//bioD//prpD//dsdA//tnaC//betA//nagE//cyoB//talA//tauA//bglF//ccmA//prpE//nanS//fimC//ynfG//artI//fimE//nirD//glmY//oxc//garR//hyfH//puuA//iraD//rbsK//uof//yjeF//tsgA//paaD//entD//uxaA//glcB//nanT//cirA//glgX//sufB//cyoD//napD//epd//ppdD//oppA//cynX//galK//tolC//ysgA//pdeF//creC//cvpA//casA//ydfH//phnH//hofB//guaA//rstB//rpsF//recF//ulaF//ybdN//ilvI//rbsA//mcaS//caiT//trxA//melA//dcuS//ydeM//pgpC//tdcD//yggX//glnA//aceF//nrfE//ptsH//ilvI//pheM//deoC//uxuB//agaW//oppC//puuE//aroG//secB//zntA//nagA//phnC//copA//hypC//mtlR//rplI//idnR//xylA//chbG//safA//nikR//xdhB//artP//trpE//deoB//fepG//rutD//yeaR//caiE//marA//modC//feaR//
FhlA-Formate_pos	cheB//narG//malZ//ydhU//prfA//hydN//ybfN//rpoH//garP//gpsA//nanT//nac//rplW//entS//amiB//upp//phoR//glpR//gcd//slt//ykgM//sucC//hyfC//fiu//dapB//ybiT//psd//narX//ubiA//hdeB//
FucR-L-fuculose-1-phosphate_pos	yjeV//lysU//ybdN//nusA//chbF//torR//fumC//
Fur-Fe2+_neg	lsrD//eda//oppA//casE//ybjG//citE//mdtD//alaT//zinT//glgA//creD//cydA//yhhY//hyfH//moaD//pstA//cynS//sodA//rutB//fadE//trpD//chbG//narJ//ilvL//citC//dmsC//cusF//bacA//mdtB//hisM//sufC//hycC//gcvP//flhC//dctA//pta//fldA//agaA//metK//iscU//mgrR//dpiA//tnaA//fixC//mgtL//xylB//crp//tyrR//rbsK//fepB//ychH//iraD//srlR//aroA//srlR//fadH//rpsC//treB//yeaR//prs//allE//ulaB//artI//rutC//fimF//nikB//tyrR//bglB//pdeF//cynX//cheW//leuE//livF//ftnB//ung//ugpC//exbD//dcuS//glnD//ccmB//tnaA//gatB//aaeA//nuoM//aspC//osmC//rpoS//rpsJ//soxR//prpC//fecA//hyfE//mtr//psiE//dadX//slt//gspJ//cheW//metH//fdhF//fepA//ycdZ//cydB//citD//bioD//dapD//rrlG//bcsC//bamA//dapB//xylB//rplP//motA//ybdZ//alkA//iscS//rprA//paaF//lldR//rpsO//fimC//paaE//fhuD//dmsC//
Fur-Fe2+_pos	yojI//yciW//marA//casD//ilvG_2//tfaQ//nrfD//srlB//allE//ptsH//nuoA//rpsR//glpA//glpR//ugpB//gpsA//citC//mntS//ccmE//epd//mltC//nmpC//ispE//paaF//osmC//
Fur-Mn2+_neg	garR//betA//galE//purN//osmC//allD//fixB//aroA//nrfA//raiA//idnK//dmsC//fucK//lhgO//hofB//katE//nuoG//rhaR//gyrA//fadH//ileT//hypB//tdcA//nanT//cpxR//nrfF//secB//rbsC//phnK//nanS//mhpC//caiT//glpB//cyaR//hyfF//tsaE//acnB//lacA//icd//rdoA//mgtA//fimG//rplM//cysG//glcD//cyoB//ubiX//purM//priB//lsrR//ompX//hybO//sucA//entA//cyoD//sucA//fecD//ackA//idnR//rhaD//nlpD//hyfJ//gltA//cytR//ahpF//mhpB//argB//raiA//amtB//fimA//glcA//puuP//nagA//ydhT//argD//mgrR//nohA//rybA//phnI//sodB//ycjX//guaA//rbsR//speC//dnaE//hycH//ynfK//galT//soxS//ydfN//hofM//osmC//cysA//rrfF//gspD//citF//nuoA//metA//folA//csgC//fldA//agp//rhaD//srlE//mntS//mhpR//ulaA//caiT//alkB//gspL//dgcZ//nrfG//csgC//glnB//fau//upp//zntA//ulaE//ssuB//mpl//ydeP//lldD//phnP//sdhC//
Fur-Mn2+_pos	aspC//copA//alkA//xdhC//gltB//eda//hisP//dnaE//leuE//aroP//yeiL//gpsA//ybjG//aspA//aceA//yjcH//ybfN//xapA//glpA//phnF//chbA//abgT//hycB//astB//znuA//
GlcC-Acetate_neg	uidA//
GlcC-Acetate_pos	osmY//ompF//gcd//rutB//tehB//hycE//
GlcC-Glycolate_neg	phnF//
GlcC-Glycolate_pos	iscA//recF//ulaF//narI//casB//hyfG//
GlrR-Pasp56_pos	tauB//
IclR-pyruvate_neg	bdcA//yggX//aroA//truB//
IdnR-5-ketogluconate_neg	rrlG//psd//micF//
IdnR-5-ketogluconate_pos	citE//uxaC//acrA//feaB//nuoH//
IdnR-Idonate_neg	chbF//ompA//spf//
IdnR-Idonate_pos	glpX//yhiD//tyrP//araE//rrfB//
IlvY-2-acetolactate_neg	gpsA//
IlvY-2-acetolactate_pos	paaB//
IlvY-Alfa-acetohydroxybutirate_neg	rrlA//
IlvY-Alfa-acetohydroxybutirate_pos	rpsS//
IscR-[2Fe-2S]1+_neg	efeU_1//ilvH//puuA//modA//yfiP//lldP//glpK//nuoB//cysH//rplW//trpD//narH//yeaR//rrlH//argE//glnA//rnlA//mutY//sufS//ydfH//rrsC//bamA//hydN//nusA//glcC//sufA//acs//gatD//nikR//cyaA//
IscR-[2Fe-2S]1+_pos	gyrA//bglF//aaeR//qseB//yqaE//hybO//rstB//gabT//ydfN//hybA//degP//
LldR-L-lactate_neg	sxy//malT//narX//
LldR-L-lactate_pos	paaD//caiC//nrdG//
Lrp-Leucine_neg	ccmG//aaeR//nrfE//lsrK//amiB//hybD//csgE//rseA//aldB//rrlD//hyfD//bcsB//garR//cyaR//galS//tnaB//rpoS//ychO//tyrB//gspE//glpB//ilvH//yfeW//map//ptsG//entC//tam//mdtB//crr//hyfH//lsrG//appC//hofC//ygiB//ydeP//cusS//nrdF//bioF//astA//serC//gatY//ldtC//prpR//argR//yqjH//mutY//glnA//gabP//ivbL//dppB//ynfF//puuP//idnK//oppC//nuoN//nikC//ybdZ//bioC//nrfF//ssrS//bamE//grcA//napG//hyfH//nrfG//uidC//tap//moaD//ung//hyaE//mhpD//hycF//lysP//ydeJ//malK//
Lrp-Leucine_pos	tauD//fimE//entE//efeU_2//idnO//araB//csiE//deoC//proP//fadH//tcyJ//purN//yaeP//hmp//ptsG//mglB//rybA//phnK//sdhA//iscA//gspL//ydhW//ascF//mtlA//mhpC//yhcH//slyB//glgS//psiE//hybE//envZ//astB//purH//crp//fadI//
LsrR_neg	tdcC//glpC//glpD//mgrB//ileU//nrdF//dkgB//ilvB//spf//
MalT-ADP-Maltotriose_pos	tonB//cysP//cbl//cynS//gspF//betA//lamB//ccmH//citF//rutD//
MalT-Maltotriose-ATP_pos	nlpD//fecI//trpD//gntP//dmsD//codB//feaB//gatC//hflD//yhiD//
MelR-Melibiose_neg	mtlR//emrK//aaeR//
MelR-Melibiose_pos	yecR//ilvA//lolB//
MetJ-S-adenosylmethionine_neg	yeaE//murQ//trpA//caiE//metK//emrY//ompT//cyoA//cheA//rdoA//nanS//phnL//hybG//treR//aceA//
MetR-L-homocysteine_neg	azuC//yhfA//
MetR-L-homocysteine_pos	casA//dcuB//ilvI//cheB//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	yegZ//fhuE//hofM//hyfC//cynX//yegZ//
MhpR-3HPP_pos	caiE//cydD//iscR//borD//tehA//agaA//
MntR-Cd2+_neg	fhuC//tdh//ydhT//nuoF//
MntR-Cd2+_pos	mscM//
ModE-MoO42-_neg	dapB//csgC//artJ//nuoL//fhuD//idnK//ugpA//lrp//cyaA//fimE//ulaF//marA//acrA//fepA//gltW//
ModE-MoO42-_pos	creA//ompW//ilvY//feaR//pepT//aldA//malK//alaV//paaK//hupB//yjeV//hyfC//acs//metC//artM//bioA//xylA//metA//focA//aroF//dpiA//nagE//caiD//copA//tdcD//pepT//zraP//nrdD//glpD//gltU//codA//
NarL-Phosphorylated_neg	hcr//sucA//cadB//lsrF//ygbA//rutA//artJ//moeB//fixX//hupB//dmsD//hofB//fbaA//pgk//motB//zntA//ilvN//efeU_2//umpH//acrA//gspJ//znuA//fixC//ccmF//srlA//uof//rbsA//cyoA//rseB//betB//osmY//cusB//glgA//lacI//ilvB//argP//purF//mhpT//prpB//hslJ//aceK//micF//uvrA//ccmB//cadA//idnK//codB//fhuB//purL//csgG//nanM//nupG//spf//tnaB//uhpT//yaeQ//rrsH//focA//hycC//livJ//sxy//mgtL//malG//bhsA//gltD//moeB//fumC//cynT//hypE//efeU_1//mhpA//artQ//qseB//rutA//tam//csgE//uhpB//marB//rdoA//galP//gatD//osmC//gutM//citG//pncB//flhD//
NarL-Phosphorylated_pos	lrp//glpG//hyaF//bamA//fur//mtr//yneM//phnC//slyB//cheA//aceB//fimI//hofN//ompW//rplP//fldA//exuT//dmsA//mhpB//oppA//rrsG//rpsI//paaC//dadX//bioA//bacA//hyfF//prs//hybE//nusA//leuE//hybO//hdeB//fecD//rnhB//moaD//phnI//glgP//fadD//argA//nlpD//tap//cydA//hypF//yaeQ//paaZ//
NarP-Phosphorylated_neg	infC//srlA//acnB//mdtA//purR//yidQ//uxaA//kbaZ//astC//argB//hupB//hyfI//tnaA//secB//psiF//fhlA//frdB//gspO//lolB//torD//rof//xdhA//ydhT//rrfG//evgS//phoE//ydhW//hycH//nrfG//moaE//yiaJ//cheZ//citF//
NarP-Phosphorylated_pos	yfdE//cyoB//gatA//garL//glpT//ybiT//ccmB//ssb//amiB//phnO//malG//ynfG//argF//mscM//fadH//rrsE//gdhA//argP//cysJ//gutQ//fdhF//ldtB//malK//ydfN//proP//yhcH//ykgR//metY//moeA//sufS//deoB//napF//
NhaR-Na+_pos	rrlH//gatC//rplS//glcG//phoP//
NikR-Cd2+_neg	nikR//ilvN//mhpB//yedX//ynfF//paaK//
NikR-Co2+_neg	argF//bamA//fis//lsrD//ugpB//fimD//
NikR-Cu2+_neg	pck//yaiA//rhaB//fimE//yfdE//glcA//
NikR-Ni2+_neg	pgpC//ivbL//rutD//nlpE//mlc//casA//
NikR-Zn2+_neg	cysC//araG//cheB//livM//tdcC//tam//
NrdR-ATP_neg	hha//garL//sbcD//hpt//malX//livG//casD//gltB//rbsR//
NrdR-Zn2+_neg	hyfB//ppiA//malZ//rrlB//cpdB//prpR//hemL//phnJ//gatC//
NrdR-dATP_neg	narL//gutQ//acrD//sufE//rof//cusC//hycG//bamA//ugpC//
NsrR-[2Fe-2S]reduced_neg	cra//argC//rrsG//hyfF//ubiG//hyfF//hofP//phoH//aaeX//uhpA//ubiC//aidB//rplC//manY//uxaC//ydhV//modC//ilvI//hyfG//nuoL//hemL//lpxD//fadI//ugpC//lsrB//znuB//cydC//fbaA//phoH//galM//rimP//ydeO//aceF//degP//aroF//cyoE//argE//rhaR//tadA//yeiP//dgcZ//spf//glcF//cusS//cysM//paaH//speC//alaA//gadB//malS//nrdA//rrlA//fecI//ynfF//dppB//caiB//lacA//acs//psd//rhaA//lolB//acrF//yfdX//fnr//araG//caiB//iraM//pgpC//carB//ysgA//miaA//hybF//rybB//
PhoB-Phosphorylated_neg	ssb//rrfH//focA//hyfF//paaI//creD//glpT//fadH//chiP//hybO//bcsA//cadC//prpR//
PhoB-Phosphorylated_pos	tsx//xylB//ygaC//nmpC//phnD//flhD//purF//atoE//mutY//cynX//nikA//katE//cheB//fdnH//cadA//argH//ilvE//dcuB//casD//narL//cysD//ompA//udp//ccmD//glmY//sdaA//glcG//rpmI//rstB//rhaS//ebgC//yqjI//pitA//lysC//lamB//yhhY//rplV//alaA//frdB//qseC//purN//glpK//pstC//argR//galS//puuP//tadA//ileU//icd//zraS//atoE//phoH//tdcG//
PhoP-Phosphorylated_neg	rplI//metR//betB//mltC//ompT//tdcA//araG//glpD//ilvN//astA//glnB//
PhoP-Phosphorylated_pos	nrfG//aaeR//nuoM//mglB//yiaJ//aroH//hycC//gatY//rplW//agaV//rbsR//pitB//ilvL//dmsD//lacI//sxy//gspM//rrsB//lacY//ydeN//ynfK//ygeH//rplP//hyfR//fumC//nikD//ydhW//cpdB//ascF//gltU//uhpC//fepD//fucI//frdD//entB//modB//pnp//metB//rrfC//ulaE//lsrC//ynfE//cysB//garL//hybF//borD//amiB//glcB//hlyE//
PrpR-2-methylcitrate_neg	metE//
PrpR-2-methylcitrate_pos	fepA//ydeM//hisQ//yrbL//
PurR-Guanine_neg	manZ//chbC//astC//gabP//yccA//livG//phoB//dkgB//xylR//fixB//umpH//hyfG//ssuE//ssuD//carA//alkA//glpB//yegZ//ydeP//sbmC//hypE//cusC//yedX//phoA//feaB//citX//metI//argI//uidB//pgaC//napC//gutQ//lysU//hcp//
PurR-Hypoxanthine_neg	csgE//adiC//cysP//sufC//xdhA//cusS//lhgO//lsrC//trpB//tehA//casD//yegZ//manX//nrfF//caiA//caiB//argT//fbaA//aceF//exbB//hyaD//phnI//ilvI//mgtL//hypC//cheR//rplI//rcnB//acrF//tnaB//tauD//xylB//yoaG//livM//
QseB-Phosphorylated_pos	ubiC//sbcC//fepB//entB//
RhaR-L-rhamnose_pos	cytR//nuoF//
RhaS-L-rhamnose_pos	creB//gspJ//fdnG//
RstA-Phosphorylated_neg	yneM//ftnB//glgB//dcuR//pstS//
RstA-Phosphorylated_pos	avtA//fdnI//rseB//hyfG//paaG//
SoxR-[2Fe-2S]3+ oxydized_neg	bioF//
SoxR-[2Fe-2S]3+ oxydized_pos	tap//metJ//fucP//
TorR-Phosphorylated_neg	csgF//
TorR-Phosphorylated_pos	gutQ//hycC//sdaA//casD//sbcC//mdtB//nuoJ//pstS//sodB//
TrpR-Tryptophan_neg	metH//gnd//rpsP//ppiD//rbsK//cusS//metN//hslJ//ompX//glnL//melR//erpA//
TyrR-L-tryptophan_neg	ytfE//glcE//purL//ampD//lpd//dmsA//malT//priB//paaD//rutB//rstA//paaH//
TyrR-L-tryptophan_pos	folA//paaH//ugpQ//
TyrR-Phenylalanine_neg	acrE//agaV//dcuC//tyrP//focA//bacA//cpdB//appX//putP//cysA//lldR//tyrR//
TyrR-Phenylalanine_pos	hyaD//yibN//copA//
TyrR-Tyrosine_neg	rrfC//aceF//dcuS//caiF//malP//yfiP//rrsB//rpoH//gcvH//iscS//prpC//lsrB//
TyrR-Tyrosine_pos	yjeV//metR//tdcG//
UhpA-Phosphorylated_pos	ccmA//
XapR-xanthosine_pos	narI//caiE//
XylR-Xylose_pos	galT//aaeB//marB//citD//argO//sxy//
ZntR-Cd2+_pos	ilvL//
ZntR-Hg_pos	truB//
ZntR-Zn2+_pos	idnD//
ZraR-Phosphorylated_pos	torA//astB//fucA//
Zur-Zn2+_neg	yeiB//fliA//sroD//nrdA//cadB//adiC//
