#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	fhuB//pitB//
ArgR-L-arginine_pos	infC//zntA//nikB//bioF//adhE//
AtoC-phosphorylated_pos	nikE//yaeP//sroD//rimP//
BaeR-Phosphorylated_pos	pnp//nuoJ//rrfB//hycA//rof//mhpD//mtr//nuoH//
BirA-bio-5'-AMP_neg	dsdX//bcsA//prpC//aaeX//hybC//
CRP-cAMP_neg	amn//hypA//fhuF//gltB//rpoE//glpK//rpsS//azuC//entS//dsdC//ygeH//cysA//hofB//acs//spy//yjjZ//chbG//rbsB//gcvH//malX//trpD//napF//trpE//nuoM//cysC//paaE//ileT//pagP//tadA//rplS//dadX//motB//ydeM//tap//caiF//araJ//sbcC//phnL//lysO//entE//yjeF//purH//ybiT//cysP//fucI//speC//tdcD//rrfD//narH//gdhA//hyfF//fimF//dadA//asr//focA//csiE//fadL//rplD//malG//rplW//fhuC//dusB//serA//acnB//ccmB//dpiA//ysgA//yhcH//citF//glcG//artM//yegH//pgaC//melA//nuoL//cyoE//soxR//xdhB//hypF//hemL//iscU//garR//zraR//xylR//rhaA//garL//aroF//hflX//hofM//ybiT//lysA//emrK//aceF//sdhB//amn//betB//murP//prmC//paaF//araH//aroL//nuoB//gdhA//tauB//argE//tomB//crl//zraR//ykgO//cysJ//prpE//nfuA//nuoN//fucR//degP//hybE//fepB//tdcA//tfaQ//codA//ykgM//sdaA//glnD//appB//malP//cysW//mglC//puuC//codA//hflX//ftnB//fimH//pgaD//
CRP-cAMP_pos	ynfE//lysO//caiD//gspI//rnlB//cas1//tauC//fimC//crl//rutG//glrR//dusB//gltV//fadL//moaE//sucC//sdhC//glgC//phoH//entB//alkA//ulaA//cheZ//cadA//nrdI//pstC//tdcC//treC//ugpE//dmsC//patZ//focA//lhgO//gadC//lamB//glpR//sucA//cydC//sbmA//ompC//acrB//ulaD//waaH//deoD//trxA//aroA//dnaE//cyoA//sucB//fecI//tsaE//fecR//ada//paaI//araA//metJ//tktB//entE//rstB//narX//glgB//citX//nanT//lysA//metR//yeiB//rrfE//prfA//ugpQ//puuE//purH//ebgA//ychO//puuE//soxR//bhsA//rpsO//gcvP//sufC//ccmE//araA//phnH//manZ//creA//fimA//tolC//hofO//gadC//rbsD//treC//yhjC//hupB//arcZ//rutE//tehB//ysgA//cydA//ptsI//icd//phoU//cvpA//yqjA//eda//fucO//uxuB//nuoF//malS//acrE//treB//sbmC//cysN//bioB//mhpD//fumB//modC//mgtL//napC//mgtA//manX//gpsA//oxyR//allD//alaV//bioD//bacA//yfiP//tdcG//entH//purR//ompW//rhaR//znuB//codA//cynX//pheT//hydN//mzrA//bamA//yecR//yegZ//feaB//nuoJ//astE//nuoK//rpsC//cydA//mzrA//infC//rpsS//degP//argP//rbsA//frdC//lacY//fixC//dgcZ//guaB//hypD//comR//bcsC//deoA//manA//ubiX//fimH//pheM//pstB//bcsZ//gltA//secB//lldR//aspC//prs//ampD//lsrK//mtlD//paaF//ampD//crr//ppiA//katG//tomB//hycG//fimH//paaK//lldR//hisP//dnaE//ilvM//umpH//uidB//ahpC//ydfH//carB//phoR//hyfD//yhiD//phoR//cusB//tauD//torD//mtlR//fucR//atoD//uxuB//rrsA//rplP//paaC//nrdB//gatA//fumC//lrp//ada//uhpB//ptsI//rutC//ydeM//amiB//appY//nuoF//stpA//focA//entB//sdaA//ygiC//tauB//psiE//nupG//nagC//cusF//nanE//nanC//glpC//nanK//csiE//ampD//nuoE//ascF//pta//hycE//livF//tnaA//paaD//yiaJ//argO//recF//sbcC//mhpA//acnA//sdhA//oppB//gspG//gatC//glcE//gabD//citX//feoC//rrsA//mtlD//ampD//argI//purK//pyrD//arcA//rhaD//rrfG//phoB//fecR//hemL//moaD//rrfH//lysP//fis//nirB//ivbL//glgX//cynR//malG//fimE//metF//rcnB//ssb//caiT//fepG//hyfE//nikA//ydhY//srlD//caiE//puuE//creA//hypB//lpxB//pstA//micF//ybfN//ihfA//deoB//malF//yeaR//araA//hypA//treB//aspC//ompR//nuoB//uof//tdh//fepD//dppC//fucP//lsrC//deoB//citC//ivbL//fimG//purF//rseC//sohB//fepA//gspK//hha//rutG//tehA//fnr//uidB//caiT//tyrA//ilvX//ccmA//pheM//ilvN//ivbL//cspD//rplM//ssb//dmsC//cyoE//fecI//ydeA//cheR//prpE//dnaA//nagC//mscM//zraP//ascF//gspG//dppB//nanT//cueO//sufS//fhuD//frdC//malZ//oxyR//citX//thrS//osmC//astA//yaeP//ubiG//leuE//sufD//casC//aaeR//hybB//tdcF//ubiC//cysA//zwf//oppB//cadC//yibN//lpxB//torA//mgrB//dusB//artQ//ybdN//glnB//pagP//pgaB//abgT//mhpF//tonB//paaG//cra//ssuC//malM//hcr//acrB//glnD//citE//tnaA//dmsC//nupG//atoB//sbmC//ung//chbG//metK//metL//yfdV//speA//nanK//tauC//gspJ//ygiA//lsrR//entD//araC//rbsB//soxS//yrbL//argB//mdtC//ndh//metJ//araA//stpA//bcsZ//nrdG//ccmF//lpxD//gspG//uhpA//hofO//ygiA//mhpD//
ChbR-Monoacetylchitobiose-6P_neg	marB//dcuB//appY//dcuD//tktB//nrfA//
ChbR-Monoacetylchitobiose-6P_pos	deoD//dcuD//infB//pstA//arcA//ackA//
CpxR-Phosphorylated_neg	pgaA//gntU//lsrA//yjeV//frc//livH//fdnH//motA//fdnH//hydN//aroP//raiA//yegH//trpL//abgA//rseB//dpiB//tehB//entS//uidA//putP//frdC//metI//lsrC//
CpxR-Phosphorylated_pos	ydeO//metK//bcsA//cysA//citC//gspG//katG//tehB//folE//gspC//mepH//cusB//psiF//manZ//puuD//cyoD//fecD//rrlH//yhjC//sdhB//rbsC//tonB//puuC//gltV//yecR//ilvA//puuP//gspG//pstC//cusB//lysP//ada//pgaD//xdhC//nrfB//ulaA//ybfN//entF//uhpT//sdaA//araE//norW//hupA//rstA//sdhC//
CreB-Phosphorylated_neg	rbsD//galP//kbl//
CreB-Phosphorylated_pos	lsrB//yqaE//codB//iraD//rbsC//lldP//
CueR-Ag_neg	tnaB//rplS//nikR//cheY//fixA//
CueR-Ag_pos	aer//ilvA//
CueR-Cu+_neg	moaB//ugpB//dmsA//nirC//hdeA//
CueR-Cu+_pos	tfaQ//manY//
CuerR-Au_neg	dcuC//cirA//gcvT//ygiB//grpE//
CuerR-Au_pos	csiE//flhC//
CusR-Pasp_pos	gcvH//cusB//narH//yfiP//hisM//fhlA//rstA//nupC//gpsA//paaJ//gapA//zinT//
CynR-Cyanate_neg	ivbL//
CynR-Cyanate_pos	rpsC//tsx//nanT//
CysB-N-acetyl-L-serine_neg	rpoE//mdh//csgC//hyfG//trpR//cynT//glpK//
CysB-N-acetyl-L-serine_pos	efeU_2//alaA//gltT//rhaT//puuB//hyaF//crr//gadC//folA//mpl//fucU//argA//adiC//deoC//rseA//bioA//rpoH//deoD//dcuA//acnA//yeaD//ppdD//hslJ//
CysB-O-acetyl-L-serine_neg	tyrB//nrdF//oxc//livJ//nrfA//fdhF//rnhB//
CysB-O-acetyl-L-serine_pos	trpD//cheZ//mepH//glrR//ilvG_1//aroL//ytfE//cadB//gatY//mhpD//bamA//pgaC//gcd//manA//fau//manA//alaT//glpD//zwf//mglB//manA//puuA//yhhY//ccmB//
DcuR-Phosphorylated_pos	torA//fadE//fecE//preT//abgB//nuoA//agaV//putP//fadA//
DnaA-ATP_neg	cusS//sufS//rpsQ//dnaE//hyfJ//phoB//nrdA//malK//yfdX//rrsG//purN//
DnaA-ATP_pos	trmD//ybjG//psiF//phnD//arcZ//cysC//csgC//
DpiA-Pasp_neg	gntK//
DpiA-Pasp_pos	deoC//prpR//sbcC//umpH//rutG//yeiB//nohA//ackA//rutF//alaA//
DsdC-D-serine_neg	dmsD//
DsdC-D-serine_pos	torA//hyfA//
EvgA-Phosphorylated_pos	yeiL//tnaA//sodB//ccmA//rpsF//dusB//tehA//fadE//yhcH//phnO//cadA//ispE//rpsF//glnA//fecA//
FNR-[4Fe-4S]2+ reduced_neg	csiD//nanT//ung//pstC//infC//malT//agaV//ung//folE//phnD//entB//cspE//hybO//yhiD//chbB//cvpA//purE//fecI//gntX//nusA//lamB//paaH//dnaN//ysgA//argP//dcuB//sufA//araD//gcd//uof//modA//rpsQ//mgtL//bioF//gspL//malY//phoH//ptsI//yeaE//rhaB//sxy//mtlD//glgS//gntU//fhuB//trxA//raiA//yebE//soxR//hisM//glnL//puuE//mdh//ynfK//proP//csgF//fepG//ycjF//gutQ//lacI//lsrB//ykgO//acrA//modA//gntU//galM//puuD//lrp//yqjA//cusR//moeB//cdd//ulaC//acrE//moaE//ompT//hcp//paaH//argH//hybC//rpoS//fhuC//rrlA//cheR//alkA//yfeW//hdeA//fucU//nanT//hflC//yqjI//galK//galM//gspF//phnO//rhaB//gntT//murP//gatA//rof//sxy//metL//bcsB//nlpD//araJ//yhfA//tyrP//yhhY//psiE//hofC//livK//citC//rrfE//paaA//bioD//casB//ycjF//rpsC//phnP//rpoE//
FNR-[4Fe-4S]2+ reduced_pos	yeaD//fepA//galT//fadA//sufS//srlR//ebgC//cusC//hcr//rimP//skp//purF//glcG//speB//glgS//phnF//sdhC//prpD//nfuA//rhaR//betB//gnd//hemA//sdhA//truB//fes//ulaC//csgE//hyfC//rpsF//malT//lpxD//hybF//glpR//fdhF//lsrA//yeiW//rrlA//lsrF//napF//tolC//yaiA//nrfD//manY//aaeB//gcvP//bhsA//paaK//rhaS//iscA//ryhB//dcuC//fepG//casC//yneM//rutC//hofO//gcvT//phnI//safA//nanM//iscS//trpD//cusS//focB//purE//fur//fimG//metY//aldA//yegH//artP//envY//cadC//yjiY//chbC//ytfE//hycH//pitA//sodA//hisM//motB//uof//fucA//phnE_2//livF//rplC//prpR//grpE//moaB//csgG//narL//cyaR//aaeA//modA//fadD//rbfA//cadC//marR//ilvX//mhpT//norR//fhuB//cdd//edd//dcuR//rrsB//ileT//gltA//argI//dmsC//rplB//lldR//ydiU//metQ//caiC//epd//rnhB//abgT//dcuS//grpE//nrfE//artI//ampD//speB//pheS//paaB//glgC//bglG//fepE//ynfH//paaF//gcd//spy//gcvH//truB//pagP//cydB//rpsQ//fecB//lysA//sucD//cysB//puuE//sbcC//ldtC//ccmC//tadA//casA//appC//cysP//rplT//gspL//nirC//zraR//nirD//tolC//araG//srlA//phnG//fepG//metH//dmsD//lamB//carB//ilvY//bacA//hybO//sbmC//nirD//actP//cspE//purL//speC//srlE//nuoB//psd//uxuA//nrfA//uxaC//pgaA//grcA//glpE//map//nikA//atoB//appB//idnO//trpD//glpB//fhuB//rrlG//aspA//trpR//xdhC//cydA//sbmC//ynfG//trg//cynX//tap//alaS//
FhlA-Formate_pos	ryhB//agaW//hybD//argF//mepH//slt//phoH//ompW//prpE//malF//uidB//ilvN//csgG//livM//lacY//umpH//dcuR//trpD//phnO//phoQ//rrsE//gltD//sbmA//bamE//gntU//srlA//hdeD//puuE//ilvA//iclR//
FucR-L-fuculose-1-phosphate_pos	astE//metE//comR//idnK//gutQ//nuoC//fhuC//
Fur-Fe2+_neg	bcsA//feoC//gspI//rhaT//glnA//melB//uxaC//xseA//fliA//mtlR//hyaC//ilvM//alaS//map//gntR//frdC//xylH//fucA//ydeA//ilvM//yqjI//cynR//mhpE//iraM//hyaA//avtA//iraD//glpB//fixX//yaiW//tsr//uxuB//napH//nrfB//rpoE//nfuA//araC//lamB//lsrD//mgrB//allC//fimC//xdhC//argE//melB//cytR//fhuF//ilvG_2//rstB//nusA//rutB//malE//aroF//treC//oppD//treR//ampE//gyrA//citD//rimM//rstB//glnB//yaeP//fucR//iscU//atoE//chbG//nuoC//cpdB//fliA//acnA//hdeB//pck//cysK//rrsC//glpF//acrE//rrfA//lsrK//yqjH//yojI//fecE//nac//xylF//cirA//nanT//sbmC//appY//micF//ccmE//cyoA//hybE//yaeP//treR//nrfF//artI//qseC//soxS//infC//mntH//malF//hisM//frc//nuoJ//alaS//argH//atoB//ascF//dnaE//fucR//araF//sufD//gutM//srlA//metQ//recF//aroH//dkgB//rplP//bioC//qseC//appX//iscU//lsrC//
Fur-Fe2+_pos	prpE//ssuA//mhpC//aidB//prfA//katG//ubiG//hybB//tehA//tsx//rrsD//cysN//phnL//hpt//narH//mhpE//exbD//truB//exuT//hybE//ccmG//bhsA//hypE//bcsC//paaG//
Fur-Mn2+_neg	metI//ygbA//ydeP//lysO//iscS//puuA//trpR//nfuA//gcd//hupA//ssb//cysH//modB//hyfI//paaB//fumC//creC//nikE//nrdF//phoB//aroF//paaI//fepD//nanK//lsrD//lldP//nanE//dapD//ilvB//cpxA//lysU//nirD//rpsO//metR//cspE//fadH//fliA//ompR//argT//rbfA//yoaC//norR//nuoL//yciW//pheS//yrbL//oxyR//ydhX//rrlC//argD//crp//alkA//metH//yhjA//yeiW//alaU//entS//hcp//torA//melA//ilvY//prmC//bioB//mntH//puuP//mglB//nuoL//nrdB//narK//feaR//glgA//cusC//creD//ulaD//glnL//lysO//uidC//hflK//dapB//garK//modA//mntP//mutY//nuoI//galP//fepE//hdeD//miaA//fadE//nrdI//dppF//araF//rstA//pitB//ccmD//nrfG//fimG//gabP//sucC//phnL//cpdB//phoB//hybD//nagE//carB//oppD//dpiA//rrfD//prs//mgrR//cheW//hupA//glyA//mhpR//araA//aer//rrsG//livG//malM//copA//fis//uvrA//yeiW//feaR//
Fur-Mn2+_pos	astB//sdhD//cysC//ptsI//hyaE//idnK//glpQ//sufA//cyoA//fadD//caiC//rpsJ//dmsB//caiB//alaT//malK//mgrR//hfq//mgrR//yhjC//pepT//fimH//cusA//lldD//aceE//
GlcC-Acetate_neg	fadA//
GlcC-Acetate_pos	psiF//cynR//dppD//ugpB//narI//nrdB//
GlcC-Glycolate_neg	mglC//
GlcC-Glycolate_pos	paaG//gltD//trpA//safA//ynfK//flhD//
GlrR-Pasp56_pos	ydbD//
IclR-pyruvate_neg	gntK//nuoA//phnF//polA//
IdnR-5-ketogluconate_neg	narQ//tsgA//sufA//
IdnR-5-ketogluconate_pos	pitB//polA//oppD//atoB//glnB//
IdnR-Idonate_neg	napF//gntR//stpA//
IdnR-Idonate_pos	hyfB//fadH//deoA//mgrR//ynfG//
IlvY-2-acetolactate_neg	ptsH//
IlvY-2-acetolactate_pos	chbF//
IlvY-Alfa-acetohydroxybutirate_neg	argA//
IlvY-Alfa-acetohydroxybutirate_pos	glpK//
IscR-[2Fe-2S]1+_neg	rrfG//hflC//rpsF//ssb//yegH//rnpB//tehB//trpL//agaW//nuoL//rutD//glpG//paaD//glpX//tauD//yjjZ//truB//ssuD//nirC//katG//iscA//dppB//chbG//iscA//phnL//atoA//chbF//uhpB//ynfE//moaE//
IscR-[2Fe-2S]1+_pos	ascB//pgaA//evgS//rutB//entB//phnI//ydeM//rbsD//spf//uof//acrD//
LldR-L-lactate_neg	fes//aroP//thrV//
LldR-L-lactate_pos	azuC//rpoS//aroP//
Lrp-Leucine_neg	gabD//treB//rpsF//hupA//agaA//mhpD//rutB//hflC//napC//gspK//fadB//galK//glpA//entF//dsdA//folA//fimG//yqjA//cstA//gspK//map//tauC//appX//marA//glcA//rpsS//rpsI//ihfA//focA//caiE//hcp//cysG//fimH//bhsA//gntP//azuC//yrbL//cvpA//dapB//dnaA//guaB//raiA//rhaA//lacA//ccmC//rplM//ygiB//ydeJ//bioD//hycE//phnC//tar//cheB//fdnI//nrdI//fecD//aaeA//agaA//araG//uidB//rrlG//malG//rplD//uhpC//gspM//bamE//safA//zraS//trpD//rplC//ileT//allE//yeiP//caiB//ysgA//
Lrp-Leucine_pos	caiE//murQ//glnD//speA//srlD//fumA//gspI//yneM//bioF//fhuC//trpA//garR//soxS//tauC//nuoN//codB//tnaB//rpsP//ilvI//hypB//narX//mglB//dcuD//uxaA//motB//cheY//cytR//ilvD//narQ//agaA//nikB//tnaB//nuoI//mdtB//flhD//
LsrR_neg	grcA//hisP//pgaD//ybfN//xdhC//tyrB//nagB//cpdB//phnL//
MalT-ADP-Maltotriose_pos	nuoA//carB//dps//mglC//hybG//zinT//ybdN//ogt//aroL//chbR//
MalT-Maltotriose-ATP_pos	oppB//cheR//ilvI//sdhC//malI//srlD//galM//gltW//xapB//rplI//
MelR-Melibiose_neg	tauD//ygaC//modA//
MelR-Melibiose_pos	ykgM//borD//narH//
MetJ-S-adenosylmethionine_neg	nikA//map//degP//metJ//nuoG//fixX//gltT//acrB//lrp//fecI//rbsC//ampD//fecC//purF//feoB//
MetR-L-homocysteine_neg	dapB//aroL//
MetR-L-homocysteine_pos	zraP//lacI//ada//fimE//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	bglF//norW//dapD//hybO//dsbA//puuB//
MhpR-3HPP_pos	mipA//mglC//borD//zinT//sodB//arcZ//
MntR-Cd2+_neg	fhuD//csgD//paaK//ygiB//
MntR-Cd2+_pos	sdhB//
ModE-MoO42-_neg	ilvC//hypF//lsrA//mgrR//puuR//sufE//argF//znuC//zraR//fucP//argP//rrsD//yfdX//ilvN//fucA//
ModE-MoO42-_pos	yfeW//yiaJ//artM//cusF//norV//alaU//glnA//raiA//aroM//nuoE//ompT//tktB//dnaA//mglC//ssuE//soxR//tdh//torC//fdnH//uhpT//dsdC//cusR//grpE//ugpC//lamB//serA//uidB//hyfJ//hypC//allD//chbA//
NarL-Phosphorylated_neg	chbG//appC//fepE//creB//hcp//gltD//nagA//mtlA//ydeO//narK//feoB//uidC//sucB//hybG//torD//rnlB//puuE//phnO//mlc//ybiT//yaeP//livJ//ccmF//cyoE//sodB//glnL//sucB//nagA//pstB//gatY//nagC//tsx//araF//gltU//paaH//treB//pflB//rpsP//hycE//glgB//alaV//tonB//galS//lldD//dctA//ansB//casA//glpF//lysO//nirB//ilvG_1//hyfJ//aspC//puuA//crr//phoA//dnaE//purR//metK//tdcB//yneM//nanE//lolB//glcC//evgA//hyfR//entD//mdtB//speA//nagC//astA//casD//csiD//nrfC//fadE//fdnI//treB//codA//paaF//mepH//purF//mzrA//nrdB//creB//ychH//gltB//
NarL-Phosphorylated_pos	mdtB//aroP//talA//avtA//araA//cusS//rcnA//fucO//rpsI//ftnB//ptsG//phoE//ulaA//glpQ//micF//tsaE//yfaE//amn//tadA//cheA//nrfB//paaB//phoE//thrV//amn//lacA//secB//cyoC//cheA//ugpQ//alaV//pgaD//glnB//psiF//tdcB//tyrP//nrdE//glpX//srlR//tdcC//aceK//melA//ydiU//hyfC//recF//uhpT//
NarP-Phosphorylated_neg	nfuA//sufD//ilvM//fixB//caiT//hypA//ompR//betB//fucR//rrlC//fecC//gpmA//lamB//idnT//glnB//ssuE//arcA//rrlG//ompC//nupG//lysO//agp//ygiA//katG//deoB//aaeR//dapD//hflX//betA//nanA//amtB//paaH//metL//
NarP-Phosphorylated_pos	hyfD//aceE//ygiB//fdnI//dps//fhlA//ssuD//astE//xylF//sucA//gspG//cas2//yeiP//nuoJ//eda//mzrA//arfB//phnG//creA//raiA//ampE//lysC//rplT//rplV//mepH//aaeX//hyfE//livF//glgA//glcC//casE//nlpE//
NhaR-Na+_pos	tar//gdhA//uidC//citC//paaB//
NikR-Cd2+_neg	entA//emrK//csiD//nuoJ//phoR//glpC//
NikR-Co2+_neg	argP//rrsA//mltC//cvpA//degP//raiA//
NikR-Cu2+_neg	nanM//glgC//fldA//idnR//ykgO//lsrA//
NikR-Ni2+_neg	dnaE//gspE//artP//uhpT//entH//lpxD//
NikR-Zn2+_neg	fbaA//mgrR//ccmG//motA//cirA//atoA//
NrdR-ATP_neg	glcE//metC//lamB//rpsR//csgC//argT//ccmH//mltC//fabZ//
NrdR-Zn2+_neg	paaG//speB//ytfE//ampD//tdcE//araF//nuoC//bioC//hyfI//
NrdR-dATP_neg	glpG//livM//norW//manA//glgB//gspE//ung//cysD//ygaC//
NsrR-[2Fe-2S]reduced_neg	paaE//hflK//envY//mhpT//ompA//pdeF//frdD//ykgR//alaA//micF//ompA//gatC//rrlE//narX//ccmG//exbB//nrdD//metY//lacA//zraS//ilvM//folE//purC//manZ//comR//phnP//fhuB//fepC//lhgO//nikE//sbmA//pnp//metI//uxaA//dnaN//glnL//pepT//hisJ//nusA//ugpC//glpC//osmC//rplD//phoA//gutQ//fadJ//lamB//mglA//rnlB//yeiB//fhuC//tauD//chbA//tolC//sufC//cusR//glmY//sucC//mglC//ubiG//ygeA//gnd//caiE//acrD//cysJ//fliA//rnpB//bamA//tauC//kbl//dcuR//metE//ada//
PhoB-Phosphorylated_neg	mhpT//garL//nagC//tdcF//agaA//cysA//napB//gatY//rrlB//mdtC//nirC//sucC//dgcZ//
PhoB-Phosphorylated_pos	fdnG//ubiC//tyrA//ynfG//gltW//astD//tfaQ//fimI//oxc//moaE//rrlE//truB//mhpF//manY//phnC//nrfA//hyfF//nikD//zinT//actP//cysA//fdnI//fimC//deoB//ygaC//envY//rpoS//paaK//cpxR//pstA//nuoH//ytfE//aidB//uof//yhhY//crp//csgC//motA//bcsZ//motA//malY//nanA//glpG//hofP//comR//cyaA//dpiA//hydN//caiA//gyrA//ydhT//rbsK//ybdN//
PhoP-Phosphorylated_neg	mltC//ygbA//zntA//moeA//mgrB//fliA//cysH//gspO//sohB//zinT//ydhT//
PhoP-Phosphorylated_pos	focB//chbF//rstA//fucK//tehB//cheY//sucB//gspL//mscM//ompX//phnL//ysgA//ssuB//argR//metQ//crr//cysI//gntU//fixA//caiT//trg//gntP//atoD//casA//dcuA//cspE//mipA//rutD//mutY//gadC//hybG//rrsD//mtlD//rpsR//yjiY//sufA//narH//crp//cyaR//ynfG//rplP//fliA//znuB//trpR//ynfH//ykgR//treB//alkB//fepE//
PrpR-2-methylcitrate_neg	manX//
PrpR-2-methylcitrate_pos	ybdZ//appB//hypB//hyfD//
PurR-Guanine_neg	melR//cpxR//alkB//ilvY//amtB//hofC//dppA//caiA//cysU//mutL//comR//ydeM//bglF//tktB//glrR//yfdE//tsx//sodA//gpmA//moaE//aceB//fhuC//tfaQ//argR//ccmF//argI//fliA//avtA//tnaB//rrsC//phoH//bacA//tsgA//malX//
PurR-Hypoxanthine_neg	cadC//hdeB//gltD//torA//argF//miaA//cynX//crl//rseB//ada//tauC//yqjI//fdnG//rbsC//epd//puuE//argI//fucO//araE//qseB//puuR//nagB//rrsB//pta//fbaA//paaF//betB//ulaD//ahpF//cysM//iraM//udp//dmsA//rrsD//
QseB-Phosphorylated_pos	xdhC//hybD//fumA//phnM//
RhaR-L-rhamnose_pos	yneM//hlyE//
RhaS-L-rhamnose_pos	gcvH//livG//nuoC//
RstA-Phosphorylated_neg	rplW//ubiC//fepA//polA//modC//
RstA-Phosphorylated_pos	pgaC//trg//yebE//ykgM//aidB//
SoxR-[2Fe-2S]3+ oxydized_neg	ubiX//
SoxR-[2Fe-2S]3+ oxydized_pos	cusC//gcvT//araC//
TorR-Phosphorylated_neg	rrsA//
TorR-Phosphorylated_pos	gatA//arcZ//csiE//idnT//rhaA//bglB//focB//prpB//cysP//
TrpR-Tryptophan_neg	fucK//slyB//lldP//murP//phnE_1//hyfA//argO//baeR//allD//iscR//deoB//yqjH//
TyrR-L-tryptophan_neg	mdtC//pdeF//pepT//yhhY//ccmG//infC//comR//paaF//raiA//yidQ//grpE//iraM//
TyrR-L-tryptophan_pos	paaI//moaC//flhD//
TyrR-Phenylalanine_neg	pheM//nanE//fucK//sdhB//uhpA//dapD//hycB//fes//entD//yeaD//feoA//csiD//
TyrR-Phenylalanine_pos	gatD//alaS//rrfC//
TyrR-Tyrosine_neg	argH//nrfF//creD//rbfA//acrE//araF//rstB//rseB//ilvC//hyfA//mglA//entF//
TyrR-Tyrosine_pos	phnK//yjjZ//cbl//
UhpA-Phosphorylated_pos	rrsC//
XapR-xanthosine_pos	rrfD//livJ//
XylR-Xylose_pos	nikB//gspJ//oppB//yeiL//malE//rrlC//
ZntR-Cd2+_pos	rutD//
ZntR-Hg_pos	dpiB//
ZntR-Zn2+_pos	paaD//
ZraR-Phosphorylated_pos	phnE_2//ygiB//guaB//
Zur-Zn2+_neg	astA//cheW//preA//dcuA//ubiX//hydN//
