#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	yfeW//fimF//
CRP-cAMP_pos	malE//glrR//galT//slyB//casD//hisQ//tyrP//ispE//ssuA//xylA//rrlD//fur//ileU//rstA//cydB//garP//dppC//hflX//cpxA//xylR//arcA//tehB//ilvM//nuoH//mtlD//yjeF//agaW//purA//aceE//hybE//evgA//mdtC//codB//yedX//gltT//yeiB//sufE//dps//tdcG//yegH//aroF//citG//pitA//flhD//argR//mntP//uhpC//lacA//sucD//ccmG//pdhR//yfaE//nirD//pepT//flhC//argI//lysA//ulaE//ubiA//cynS//rrsB//pyrC//glpC//amiB//rrfC//sdhB//cstA//rplV//phoQ//mscM//malQ//hyfJ//rrsB//xdhC//csgG//cysG//nuoL//motB//hyfA//rpmI//paaD//rrsB//rpsR//gatB//rhaB//cysC//paaI//cyoC//hybE//yfdE//purA//yeiL//alkB//caiE//cstA//pck//dgcZ//glpE//cynT//xapA//ubiG//nfuA//aaeX//amn//fadI//hflK//cpdB//efeU_2//pepT//phoA//lsrG//frdC//acrD//rstB//tyrR//fecE//arcZ//moaB//phoP//erpA//caiT//rhaA//umpH//recF//araJ//napD//astE//ydhV//glpB//tsr//ilvB//ysgA//citF//fimC//malK//alaA//pdhR//rhaD//iscR//tauD//rrlA//pflB//mtlA//frdA//katG//deoD//ydbD//nirB//rseA//feoA//rrfG//cadC//nuoC//soxR//hdeA//yccA//hupA//ubiX//phnI//gspG//sdhC//purC//dnaE//prpD//thrS//nuoL//fnrS//glcC//hyfH//norW//napH//dpiB//cytR//hycI//polA//metF//lacY//metN//appB//feaR//pheT//rpsC//tyrR//carA//dnaA//glcF//yjeF//hyfD//csgE//speC//ysgA//phnL//yaiW//nrdH//gntP//ilvC//lolB//epd//slyB//lacZ//yfaE//pheS//fadL//purB//rstA//uof//yojI//cysP//puuB//fixX//soxS//hyaB//dppC//cyoD//ydfH//fhuE//ilvG_1//gadC//cysH//citF//feoA//fnr//fepC//nanS//putP//rimM//rutF//tdcB//aldA//hybO//gutM//yidQ//recF//amtB//phnL//gcvH//argA//yfdX//hpt//ilvD//nanM//phnN//adhE//fhuD//uhpB//hupB//mipA//hmp//fhlA//phoA//rplS//rplI//marB//napA//rseC//yegH//rseB//fhuD//aidB//lsrK//yggX//udp//entH//codA//cheY//ydeP//hisJ//ccmF//frdC//tsr//nanS//yegR//hycI//infB//sdhC//nikD//nagC//dsdX//mtr//mglB//entH//appC//rutG//melR//glcC//ccmA//rpmC//nlpD//phoH//fhlA//yqjI//metH//rrlC//agaA//ubiA//rbsA//tyrR//tpx//entA//prpC//gcd//metB//aceK//emrY//bglB//argD//mepH//putP//katE//nuoM//hycD//dcuA//ppiA//metH//tdcC//yeaR//tehA//fixX//araC//moaB//glcE//iscA//cusS//gspG//nikA//appC//hha//idnT//yhjC//gntU//nuoB//dppB//glyA//cusR//glnK//rnlB//fdnI//gatZ//glcA//rutD//idnR//fliZ//tauD//glpB//acrA//ompX//ihfA//emrK//gatY//nuoA//mdtB//ccmB//fixX//betA//acnA//atoA//gatZ//astB//rplC//nrdB//rrlA//glcB//purB//melA//marA//allE//narL//argP//araA//tadA//cydB//cytR//frdB//ulaA//dpiA//yiaJ//treB//fumA//mntP//norR//hybA//grxC//ulaE//gspL//purE//acrA//hypC//malG//fbaA//ung//acs//baeS//hofP//bcsC//ihfA//nikR//ompC//eda//uhpC//amiB//gdhA//narG//rrsH//polA//mdtB//hcp//sucA//ynfH//tauA//udp//lsrR//rpsQ//hyfJ//bcsC//rpsR//hybC//cheW//lysC//fadH//ilvL//hmp//sucA//ompA//glgC//cydD//iscU//entB//moaE//aceE//
ChbR-Monoacetylchitobiose-6P_neg	sucA//ydfH//lpxD//rrfC//rybB//gntX//
ChbR-Monoacetylchitobiose-6P_pos	torC//malX//dppF//tnaC//metR//katG//
CpxR-Phosphorylated_neg	acrE//hycH//soxS//gntU//cheA//tauC//qseC//araB//ycjF//casB//acnB//cas2//hyfF//mzrA//aroG//ssuA//csgA//fixA//moeB//yeiW//mntS//mzrA//hycI//aceF//
CpxR-Phosphorylated_pos	hupA//nuoB//cdd//ynfG//gcvT//trpE//copA//fixX//fucI//atoD//lysC//gntX//psd//manZ//yhiD//phoH//rseC//paaJ//agaA//iraM//argO//mutY//glpD//phoP//fadJ//dctA//dusB//puuR//ynfF//hybO//sodB//nanE//ssuC//yqjI//aroG//mepH//fdhF//metF//stpA//gspI//astB//preA//nohA//trpD//aceA//
CreB-Phosphorylated_neg	ompX//ulaB//mpl//
CreB-Phosphorylated_pos	yeiL//entF//purB//livM//tktB//fecR//
CueR-Ag_neg	grcA//nanK//fhlA//znuB//glpD//
CueR-Ag_pos	ssrS//cyoB//
CueR-Cu+_neg	metJ//dmsB//fucO//yfbR//ccmE//
CueR-Cu+_pos	trxA//ebgA//
CuerR-Au_neg	rhaR//ilvN//rplD//ilvN//dusB//
CuerR-Au_pos	malQ//dctA//
CusR-Pasp_pos	dpiB//oppB//serA//hyaE//xylB//cysW//araD//carB//slyB//citC//mtlR//pheM//
CynR-Cyanate_neg	nuoC//
CynR-Cyanate_pos	infB//glpC//mglB//
CysB-N-acetyl-L-serine_neg	ptsI//rpsR//recF//deoC//narG//pgpC//malZ//
CysB-N-acetyl-L-serine_pos	tehB//csgE//paaI//ynfF//moaB//mdtB//gltB//livM//rrsB//gntT//rbsA//yjeF//bcsB//slt//ansB//asr//phnI//xylH//alaS//araB//rutG//rpsI//rbsD//
CysB-O-acetyl-L-serine_neg	thrV//treC//nrfE//cysD//dusB//rutD//rrfF//
CysB-O-acetyl-L-serine_pos	fecA//oppD//rhaT//nagB//znuC//sucA//norW//citE//alkA//glnD//yrbL//hycE//lsrB//ascF//rhaT//creC//manX//malQ//gntR//csgB//phnJ//fecB//tyrB//gspC//
DcuR-Phosphorylated_pos	argP//mdtC//avtA//csiD//rrsG//yfdE//tsaE//appC//gpsA//
DnaA-ATP_neg	xapB//folE//pheT//fdnG//nanS//dcuB//dcuC//nuoG//malM//fadI//phnF//
DnaA-ATP_pos	tdcE//casE//cysA//ccmE//cysD//malK//hpt//
DpiA-Pasp_neg	yrbL//
DpiA-Pasp_pos	trpE//pepT//hisP//appC//fucP//rpoS//leuE//melA//lysU//entF//
DsdC-D-serine_neg	hycF//
DsdC-D-serine_pos	pgk//spy//
EvgA-Phosphorylated_pos	speC//mglB//entH//nrdD//hyfI//ulaD//rrlH//fixC//trpB//araF//glcC//adhE//rbsK//ygiA//dnaA//
FNR-[4Fe-4S]2+ reduced_neg	dcuD//yqjH//oppA//prpC//sucA//cyoC//frdB//metI//glgP//gcvH//sucB//mepH//cheA//hypF//ygiB//lrp//ilvB//rpmI//sucA//ydhT//garR//evgS//ydfH//amiB//metQ//rrfD//aspC//cas1//lsrK//ydeN//fimC//oppB//fumA//hisM//trg//flhC//alaT//miaA//aaeX//cydC//tdcB//rrfB//feaR//dnaA//tdh//rpsF//yibN//murQ//lysA//yeiP//norV//malQ//ppdD//mgrR//nuoG//rbfA//ccmC//fepG//pstC//gntU//aroP//glgX//betA//puuR//hyfJ//hpt//argH//rbsR//cytR//norW//nuoN//yfdV//cyoD//pagP//malX//nikA//argR//fadA//hyfB//phnD//nuoJ//ygeA//betB//artQ//rplW//aaeB//lsrD//napF//aceA//narK//ugpQ//slyB//hycE//ygeA//tktB//comR//rstA//nrdB//hyfF//csgE//hybG//zwf//rpsR//zinT//guaB//glnG//glgX//artM//deoB//hemA//nanC//alaS//citC//hisP//dcuR//purD//ygiC//hypE//hycB//aidB//
FNR-[4Fe-4S]2+ reduced_pos	pyrC//yciW//fliA//gatD//rutE//glcC//tyrB//cspE//rbsK//trpD//cra//gatB//caiE//ydhU//cysP//fadL//torD//purE//talA//fucK//phoA//nuoA//tdcG//mhpB//mscM//znuB//sroD//fadL//rnlA//betA//ygiA//cyoD//ackA//yccA//fadA//caiA//yaeP//codA//rrsB//phnE_2//nrdA//mhpE//adiC//aceF//astB//ccmG//idnK//glpB//zwf//malM//chiP//prpB//ubiC//glnA//gatY//napC//artJ//gltF//dnaA//skp//rbsD//nagE//putP//arfB//nuoL//paaH//ulaE//artM//asr//rplS//ydhY//rpoE//phnH//alkA//gspM//oxyR//uxaA//raiA//fliA//cysH//yegZ//lysP//talA//rutE//nanE//mgrB//adhE//livF//exbD//chbR//ilvH//glpF//rrlC//gntK//cysP//fhlA//artI//rnlA//rrfF//lacA//mlc//garP//modB//phnF//prmC//rrlE//lldR//phoQ//feaB//sufD//cysA//narG//gatA//bdcA//deoA//metJ//osmC//yqjA//gspG//treR//hycA//gspI//araE//pta//aceF//casA//arcA//gltT//ybiT//ebgC//ulaE//citE//safA//gatD//casC//argB//mhpR//fumC//caiC//purH//malI//ilvN//aidB//hlyE//tauD//fimG//nuoG//cydC//xylH//phnN//phoA//rcnB//tdcB//fadA//fumA//hofP//folE//nanA//rbsA//yjcH//iraM//tam//argE//idnO//yaiA//glcD//hybA//glgA//rrfC//chiP//lysA//dmsA//mgrR//pgpC//paaK//phoA//sbcD//sucC//mgrR//ilvD//nikC//metC//motA//lysO//ygiA//flhC//csgA//rbsC//rrlD//gntT//fdnH//fldA//metK//phnG//yfdX//ilvM//yhjC//ascB//cysH//iscR//nrdE//napF//
FhlA-Formate_pos	lsrC//hyfB//nagB//ynfK//agaV//hisP//mzrA//yjeV//fau//deoC//fucI//mntP//alaV//glmY//dsdA//fumC//xylA//sdaA//cheR//pitB//folE//idnO//amiB//yhcH//fecC//raiA//ssb//srlR//purD//paaF//
FucR-L-fuculose-1-phosphate_pos	citG//fucI//rprA//nikE//yhjA//araB//gspM//
Fur-Fe2+_neg	rpsF//ulaE//rutF//carA//hybF//treB//nupG//tyrB//creB//adhE//melB//purK//aroA//ada//glpQ//evgA//araH//exbD//sucB//uhpC//fimF//tcyJ//phnM//rseB//dkgB//oppD//allD//entH//rcnA//metJ//rcnA//uhpB//nrfG//moaA//asr//paaC//mglC//hofP//feaB//ybfN//nrdE//uxaA//glnD//chbG//paaG//glpT//ssuA//mltC//tolC//glnK//osmC//glrR//nagB//sbmC//mglA//soxR//sufC//hybG//mtlR//ycdZ//dcuB//glpD//uof//ulaC//melR//uhpA//sdhC//fadD//rpoS//glpG//rpsO//guaA//purA//yjeF//ynfF//trpD//phnE_1//cytR//rmf//xapB//cheZ//malX//citD//caiT//garP//metR//ugpQ//metY//yeiP//gspJ//mgtA//nirD//ydfN//fecI//csgF//rrsC//mzrA//entH//cas2//lhgO//fabZ//dctA//treR//ilvM//rplP//fecB//tdcF//argE//ptsH//lpxD//caiB//lysA//rutE//rrlG//gnd//fnrS//hybC//preA//hyfH//rseB//hycA//gspI//yibN//livH//
Fur-Fe2+_pos	fucO//sdhC//malG//nrdB//argP//ompC//hyaB//narJ//znuC//mlc//gatY//ahpF//malY//hypC//dsdC//ynfK//sufC//feoC//gutQ//yegZ//fhuE//mtlR//glgB//tyrR//rpoS//
Fur-Mn2+_neg	sbcD//yfdV//rrlE//miaA//lamB//rrfA//fucK//envY//rrfC//rstB//phnN//cydB//ycjF//tonB//dppB//tdh//galP//cysJ//hyfD//cysK//arcZ//tdcE//copA//malK//fur//agaA//skp//marA//puuA//rpsF//manY//uhpB//gntK//garL//betI//iscR//tehB//malS//appB//zraP//nlpE//nupG//phnL//alaT//dnaN//paaD//yeiL//feoB//rutD//melB//argA//tyrP//lpxA//mepH//galP//hybC//puuA//tsr//adiC//iscA//rhaA//copA//gspD//cyaR//oppC//kbaZ//cdd//tpx//rutB//csiE//ydhX//aroA//phoA//idnK//glpG//mdtD//gntR//carB//envY//aroH//hflX//stpA//nrdD//cysP//dnaE//glgC//cysB//ampD//paaH//hybA//glrR//dsdA//rrfG//livH//rseC//moeB//fhuE//rrlD//nrdF//ftnB//manY//metK//hflC//iscS//stpA//yqjI//borD//ebgA//caiC//ssuA//folA//cysC//alaS//yeaE//ompX//fldA//phoU//rbsB//sufD//glnD//rrfF//nrdF//nikC//rimM//
Fur-Mn2+_pos	rpoH//gltB//grxD//fixX//melA//yfiP//ybdN//dppB//yedX//acrE//azuC//exbD//zwf//allD//rrlH//modB//adhE//pck//torD//ydfH//safA//cyoA//ptsH//rplP//psiE//
GlcC-Acetate_neg	mgrR//
GlcC-Acetate_pos	fnrS//napD//cusC//cyoC//yoaC//rseB//
GlcC-Glycolate_neg	cheY//
GlcC-Glycolate_pos	fiu//mntH//cadA//paaK//ispE//ptsH//
GlrR-Pasp56_pos	fucI//
IclR-pyruvate_neg	ssb//fecE//ilvD//cas2//
IdnR-5-ketogluconate_neg	fimC//yjcH//lsrR//
IdnR-5-ketogluconate_pos	bioD//cusC//yeaD//glnL//spf//
IdnR-Idonate_neg	purD//rrsB//sdhD//
IdnR-Idonate_pos	dmsB//mipA//leuE//malY//hybO//
IlvY-2-acetolactate_neg	ompC//
IlvY-2-acetolactate_pos	ilvB//
IlvY-Alfa-acetohydroxybutirate_neg	phnM//
IlvY-Alfa-acetohydroxybutirate_pos	prfA//
IscR-[2Fe-2S]1+_neg	guaB//mcaS//phnM//tdcD//narH//argA//ccmC//cynR//aceB//yfaE//fimI//pstS//zntA//gpmA//pheM//melA//dpiB//purD//cusS//marB//hycG//tdcD//purL//lpxD//hisM//rrfC//fadE//fadI//phnI//rrsA//
IscR-[2Fe-2S]1+_pos	cysG//rrfE//fumB//argF//hyfJ//phoQ//ompT//rhaT//nikD//murP//hflK//
LldR-L-lactate_neg	hflD//cra//entH//
LldR-L-lactate_pos	dkgB//ytfE//cyoE//
Lrp-Leucine_neg	cydA//hyfG//rutB//artP//glpK//hflC//malG//hypC//ssrS//dcuB//abgA//tar//rybB//paaF//raiA//mepH//tauC//mtlR//nrdG//mipA//fliA//gatB//nanA//rpsO//araD//dsdX//metY//phoH//dppA//paaE//fliA//pgaB//rrfF//cusR//xdhA//fecR//yjcH//kbaZ//bcsC//zntA//sucA//nrfF//fimF//cusF//paaG//ygiA//hybF//talA//zraR//bamE//speA//hofM//aldA//glcD//puuB//lldP//cysJ//puuD//malS//mtlR//yhiD//purR//rrfH//sufS//cynX//rrfG//nupC//exbB//actP//cyaA//sdhA//nagB//ygeA//tsr//nrfD//
Lrp-Leucine_pos	livF//hyaB//gcvP//dppB//xdhC//nmpC//fhuE//envZ//alaT//phoA//fecC//cas1//grcA//ynfH//narK//slyB//ebgC//grcA//ydiU//ccmF//manX//treC//cysI//ccmH//gabD//artP//grcA//fixB//caiF//lysA//ilvM//fhuE//fimD//rutD//priB//
LsrR_neg	rstB//rrsB//cyoB//lysA//folE//baeS//speA//mglB//entC//
MalT-ADP-Maltotriose_pos	yhcH//malT//prpB//aroG//lysU//cyoB//grcA//yrbL//yjeV//nikE//
MalT-Maltotriose-ATP_pos	purM//purL//rnlA//epd//fepG//phnE_2//casA//aroG//trpC//glpT//
MelR-Melibiose_neg	ansB//ydhY//infB//
MelR-Melibiose_pos	moaA//dcuC//yjcH//
MetJ-S-adenosylmethionine_neg	hybE//pyrC//uhpC//aceK//agp//lacZ//creD//dmsA//glgX//hofC//ubiC//moaA//garP//rbfA//gatC//
MetR-L-homocysteine_neg	metE//cysH//
MetR-L-homocysteine_pos	mcaS//dpiB//hyaD//purM//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	fldA//amtB//cydB//iscU//gltW//mlc//
MhpR-3HPP_pos	hdeD//rhaT//glpR//safA//nagE//nikB//
MntR-Cd2+_neg	lsrK//yqjI//baeR//rrlA//
MntR-Cd2+_pos	argE//
ModE-MoO42-_neg	appA//ydiU//rrlD//acs//hisJ//metI//cusF//ccmG//hybO//sbcC//sbmA//sbmA//ssb//glpF//atoD//
ModE-MoO42-_pos	zwf//sucC//tsr//pstB//xylA//tehB//cas1//cspD//glcE//gltB//fnr//hyaA//dadA//lacA//ygeH//ahpF//glnB//treC//aceF//ykgR//hypF//rpsR//dkgB//katE//manA//fadD//fucR//casC//focA//ansB//ilvC//
NarL-Phosphorylated_neg	iraD//fucO//sufA//lysP//gspI//aroL//uxaB//ydhY//nanM//stpA//tyrP//idnR//rrlH//xylH//idnK//ydhT//ydfH//gabD//pstB//cusC//cysI//gltT//phnG//fepD//pgaB//uxuB//prpC//hcp//hyaA//galT//yqaE//fucI//abgB//fucK//hybC//paaB//arfB//fnr//ptsG//rbsD//putP//ugpA//hfq//ilvG_2//fhlA//lamB//aroL//bcsB//argO//nrdB//evgA//uxuB//gatB//xylR//fixX//hdeB//yggX//phnE_1//glpR//moaA//truB//nuoL//ileT//rutE//phoU//glgX//mgrR//yneM//nlpD//tauB//gntP//rrlC//manY//ahpC//lpd//rplS//frdC//sbmA//hyfG//hisP//nagE//asr//bcsA//yhiD//amiB//zraS//
NarL-Phosphorylated_pos	grcA//rpsJ//gapA//pheS//rrfC//caiA//gltB//argT//prpC//pncB//qseB//tdcC//cspD//xapB//glgC//hyaD//rstA//casA//acrB//ygiA//ybdZ//bcsZ//ygeH//gspG//alkB//acnB//purR//argO//aaeB//motB//gatC//ugpA//gyrA//prfA//napG//phnN//ycdZ//yiaJ//mhpF//ilvE//hyaF//glcG//purC//lhgO//rplP//hdeA//
NarP-Phosphorylated_neg	cyoC//lsrB//amiB//xdhC//rhaA//entF//rpmI//dctA//phnO//cynT//moaD//rrsH//nrdF//garR//mepH//znuA//galM//mepH//tauD//malP//hemL//tdh//uof//nupG//ychO//nikA//casC//rutC//ilvX//frdB//lpxA//metR//eda//
NarP-Phosphorylated_pos	lysU//metF//yegR//paaK//cynS//dcuR//treC//umpH//norW//moaA//ytfE//sdhA//glgB//rbsB//murP//nusA//xylB//entB//rrfH//paaI//hycF//osmY//purR//nac//narI//gltD//mpl//galE//zraP//metY//modA//bglB//
NhaR-Na+_pos	psiF//aer//hybF//sdhB//chbC//
NikR-Cd2+_neg	ydeP//argH//sohB//bioF//hyfG//ydeP//
NikR-Co2+_neg	rprA//yeiB//aroL//hflK//rpsI//idnO//
NikR-Cu2+_neg	ydhV//zraS//mhpE//sodA//ssuE//serC//
NikR-Ni2+_neg	gatA//fepE//pstC//uhpB//hofN//hdeB//
NikR-Zn2+_neg	iclR//rplS//exbD//speB//artP//oppC//
NrdR-ATP_neg	lpd//leuE//metC//xylR//talA//hyfB//leuE//bioB//argF//
NrdR-Zn2+_neg	creD//fdnI//argH//spy//bamA//rrsG//hflC//rrsE//gltB//
NrdR-dATP_neg	aceB//cydD//bioF//zwf//ykgO//bcsC//glnL//xdhA//deoA//
NsrR-[2Fe-2S]reduced_neg	cpdB//frdA//nagC//nrfD//gspE//fecD//paaE//ulaD//nrdB//nrfE//cydC//sdhA//rplS//aldA//uvrA//ccmE//manX//iclR//xylG//cyoB//glcD//artQ//soxS//ilvE//hyfA//caiA//mscM//pgk//metL//katG//aceE//fhlA//dmsA//fes//flhC//azuC//speA//nrdH//argA//fixC//bamE//rbsR//malY//tyrB//fucK//phnL//hpt//ssb//nikA//nuoJ//xylF//rrlH//speC//tehB//frdA//epd//adhE//mzrA//cytR//sxy//cydD//sucD//napD//nrfC//pta//ybdN//fucP//sufS//paaI//fhuA//hyaD//frc//fecC//
PhoB-Phosphorylated_neg	atoA//idnK//cas1//phnE_2//glcE//fecA//uidC//cusB//treR//dgcZ//exbB//phnE_1//rplT//
PhoB-Phosphorylated_pos	dcuS//glpR//mglA//uhpA//alkA//gntT//gatY//cysP//mtlA//pnp//ftnA//ygaC//narK//paaC//allC//chbR//zraS//astA//casE//tyrR//phnP//dcuC//ugpB//nuoF//yeiP//appA//ssuD//marB//gspJ//uraA//hisJ//pyrD//mpl//nuoK//ccmG//citE//edd//napB//citD//crl//rimM//csgC//yrbL//gntT//alaT//hypF//rhaA//gnd//nrfE//rplM//yeiP//pstC//hemL//
PhoP-Phosphorylated_neg	glmY//hyaE//garR//yojI//folE//paaE//alaT//lpxA//rimM//gspC//fldA//
PhoP-Phosphorylated_pos	fdhF//sodB//hybO//aspC//uidC//mgtL//xylA//cheZ//frdC//fiu//ilvX//appA//entF//fumC//argR//rstA//ilvM//araB//fimF//glpA//creB//flhC//bdcA//paaK//ampE//lysU//paaD//ampD//nrdD//rstA//idnO//fimI//idnD//fhuC//nrdA//ybdN//rhaS//ndh//caiT//yaiW//nagA//rrfE//cueO//ydbD//mutL//casB//polA//ydhV//glnD//
PrpR-2-methylcitrate_neg	mltC//
PrpR-2-methylcitrate_pos	cysP//gspL//mlc//mntS//
PurR-Guanine_neg	rof//napD//rrfF//erpA//phoU//ptsI//stpA//stpA//lysC//uidC//nagC//ilvC//nanE//nohA//yjjZ//tar//frdA//fadE//phnF//mzrA//malG//rdoA//malX//mdtD//xylR//acnB//fiu//qseB//tehB//moaA//ssuC//ilvE//napH//ansB//
PurR-Hypoxanthine_neg	astE//hyfC//nirB//nanE//lsrG//pgk//rpsP//uidA//ptsG//uidB//betT//folE//casA//cheB//idnD//argF//cusF//xylB//nmpC//dmsB//glpT//pta//ldtB//miaA//argR//yfdX//sdhC//ilvX//prfA//ydeM//iraM//marA//ytfE//hcp//
QseB-Phosphorylated_pos	ydeM//caiT//metK//casC//
RhaR-L-rhamnose_pos	cysA//bdcA//
RhaS-L-rhamnose_pos	fadD//ccmC//malI//
RstA-Phosphorylated_neg	gntT//murP//uidC//atoB//cysP//
RstA-Phosphorylated_pos	hycC//rrsC//entH//cheR//fucI//
SoxR-[2Fe-2S]3+ oxydized_neg	malS//
SoxR-[2Fe-2S]3+ oxydized_pos	pstC//purH//alaA//
TorR-Phosphorylated_neg	metH//
TorR-Phosphorylated_pos	cyaA//exbD//tap//ileT//prmC//livJ//folE//glnK//rutB//
TrpR-Tryptophan_neg	casB//ompX//oxc//dppC//hisJ//lsrA//tyrR//aceB//yoaG//ydhV//yneM//tdcD//
TyrR-L-tryptophan_neg	mglC//malP//nrdG//melB//fumB//argE//udp//rrsB//ada//ftnA//nrfC//lpxA//
TyrR-L-tryptophan_pos	oxyR//csgD//yciW//
TyrR-Phenylalanine_neg	hmp//caiB//thrS//tsgA//ydhW//atoD//nanE//rbsC//epd//srlA//slyB//gadC//
TyrR-Phenylalanine_pos	marA//ung//araF//
TyrR-Tyrosine_neg	malF//mhpD//lysP//zraS//manY//dmsC//yeaD//ilvI//pgk//epd//rseC//oppB//
TyrR-Tyrosine_pos	xylG//sdhC//rhaR//
UhpA-Phosphorylated_pos	deoD//
XapR-xanthosine_pos	cusF//nanC//
XylR-Xylose_pos	hisP//paaB//gltV//malG//paaD//fixC//
ZntR-Cd2+_pos	yeiL//
ZntR-Hg_pos	ompR//
ZntR-Zn2+_pos	ydbD//
ZraR-Phosphorylated_pos	ygiC//tsgA//cysB//
Zur-Zn2+_neg	nuoJ//glgA//rrfF//modA//csgB//uidA//
