#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	cusR//ilvL//
CRP-cAMP_neg	torD//exbD//rimP//cyaA//aidB//fecD//aroA//ulaA//infB//citX//purM//ivbL//cysC//entD//rrsD//aldA//treB//ygaC//dadX//lysU//nuoB//rhaB//purM//hycG//entF//entF//fepB//fimH//ydhW//sbmC//iscU//metQ//gltD//zraS//argI//lhgO//betA//fadH//sroD//pyrC//gapA//yfeW//paaK//fepG//rrlC//modA//sbcC//betT//argA//garP//dcuR//cynR//gltT//yoaC//yjeV//lpd//rplS//rpoE//nagC//glyA//uidB//glcF//ilvM//phnH//uhpT//ygiB//hyfE//fumC//rrfD//hcr//treR//glcD//phoA//tnaC//tnaB//nagC//tsaE//hdeB//rrlG//trmD//aldB//entA//phnM//mzrA//lsrA//rutF//exbD//araE//nfuA//malM//artQ//yeiB//argI//gltV//ssb//rhaB//glcC//nuoE//csgG//ygeH//malF//glnK//norR//yeiB//recF//dgcZ//cheB//betI//gltU//phnC//lsrC//nuoH//rcnB//bcsC//fucP//glmY//malK//betT//treR//yhhY//aspC//sufC//truB//dcuB//treB//dppF//feaB//glcA//fadB//ilvM//sdhC//fes//cyoC//
CRP-cAMP_pos	csgC//ydfH//nuoG//ilvG_2//narH//yjcH//ydeN//malP//ugpQ//lsrK//rpsC//fhuA//garL//rrfC//copA//lpxD//gyrA//rbsC//pepT//ispE//fixC//glyA//tdh//ileT//appA//nuoF//ccmH//ssuC//aroF//trpD//ileU//hyfA//degP//araG//gltA//crl//hycG//yegH//xdhA//napG//ilvA//yfdE//soxS//mhpB//sodB//deoA//modB//nikC//aaeA//srlE//modC//nrdI//fadB//acrD//rnlA//norW//hpt//malX//lpxA//ybdN//nrfG//malI//moaB//hmp//ilvE//nanS//ompA//sucB//nupC//uraA//truB//csgC//gabD//nuoE//paaF//cpdB//rrsA//mhpE//nikD//ubiA//cadC//hycA//rmf//dmsA//hyaC//garL//deoA//dmsA//feoB//srlD//hofM//fadB//sufE//hemA//mdh//tfaQ//rbsR//agaA//ybfN//phnJ//dgcZ//mhpB//lysA//ppdD//glmY//galP//oppF//nuoG//hisJ//ynfG//hycI//aaeR//malF//emrY//ynfG//bioD//nikR//rrsE//mdtB//ompC//paaZ//rrsD//dapB//gyrA//codB//nadC//cysJ//ygeA//cusF//aroA//cysW//nuoC//codB//exbD//csgF//garR//caiD//arcZ//flhC//cusR//gabP//paaG//tpx//bcsZ//tar//rutF//feoC//cysD//rseA//miaA//melB//manY//phnE_1//trpL//rrfG//hycD//casC//ascB//bioD//aceA//nikE//pepT//sufB//mtr//yhjC//narQ//yqjH//hybF//nrdE//uidA//dpiA//metK//sbcC//treB//tdcB//appY//glcE//metA//nagC//nuoE//glgC//arcZ//argP//moaD//cpxA//thrV//cysC//hyfI//dcuS//alaT//gnd//prfA//treR//yebE//yhjC//malG//mhpD//ycdZ//tyrA//cadB//sucD//spy//metY//zntA//purF//fimA//bglF//xseA//hdeD//hycG//arcZ//prpE//garR//rrsE//amiB//xylH//ada//rrfF//yedX//sucB//hybF//ybfN//nrfB//casE//cysD//cynR//sbcD//aldB//modC//ydeO//lacI//prpE//ydfH//yfbR//rutD//betA//metY//nikB//ydeP//astD//moaD//metL//codB//fucP//yegH//tktB//citD//glpG//nuoI//glgP//purB//tyrB//uraA//nanE//galK//hmp//fur//mdtD//uxuR//hycB//rnlB//frdC//ogt//phnC//glpE//bglF//rpsJ//hydN//ulaF//rplC//ulaA//nikC//lldR//appY//cadA//glpB//ldtB//acrA//avtA//ccmC//malG//dppF//betI//sdhA//mzrA//uhpA//rof//rhaD//rutA//ybdN//tdcG//sufB//purA//citE//lldR//torA//gntT//erpA//oppA//yfdX//nanE//tehB//caiD//mdtD//fucA//gadB//mhpR//ilvX//nuoE//casE//ompA//astA//fdnG//nfuA//cstA//cpxA//nrdG//sdhA//rybB//ykgM//dppC//yaiW//glmY//araG//argD//rybB//ppiA//chiP//araH//gdhA//nikA//citX//ssuA//epd//yggX//glrR//ydhV//aroF//lsrG//metA//serC//psiF//dnaE//ftnA//nuoB//fumC//uxuB//grpE//hybO//rimP//ulaF//talA//fadD//efeU_2//nuoF//sufB//ccmE//rutD//astE//yeaD//glyA//ompR//fepA//metC//rcnA//cheY//nagA//metL//fumC//abgB//slyB//idnR//glnK//torC//cusS//infB//rbsR//cytR//cynS//flhC//codA//entB//gltD//caiD//fucK//puuB//fepB//yeaE//bdcA//hyfF//garP//uhpC//artI//nrdB//yfiP//metJ//yeiW//prpE//yeiP//yfdV//gltV//pitA//astE//nanT//codA//livJ//tnaA//entA//aaeX//moaB//aroL//ompR//cadC//yeaR//ybjG//znuC//ilvG_2//bioF//fecB//pgaD//yeaE//mdtD//dcuD//mcaS//aroM//fumC//hyaC//cusR//pgpC//
ChbR-Monoacetylchitobiose-6P_neg	nikD//glpR//araE//flhC//nrdD//argI//
ChbR-Monoacetylchitobiose-6P_pos	gadB//preT//cvpA//livH//betB//nlpD//
CpxR-Phosphorylated_neg	nuoC//spf//nohA//ubiA//acrD//proP//rplP//dctA//bglG//sufS//nrdG//pyrC//citC//glyA//napD//efeU_1//nanM//yqjA//chbF//lysP//tsgA//rnlA//metA//nuoK//
CpxR-Phosphorylated_pos	eda//glnD//xylA//araF//tdcG//dcuC//cusA//gadB//idnO//rrfG//glcE//treR//fepD//narK//grpE//lsrG//betI//rbsD//oppB//ccmB//ldtC//nuoL//serC//argT//araG//rpmC//evgA//yedX//sbmC//guaA//motA//phoU//bioD//pgaC//glpF//glgB//dcuS//cyoD//yjeF//ilvX//dcuC//lsrF//iscU//yhjC//ybdN//
CreB-Phosphorylated_neg	malE//astA//malY//
CreB-Phosphorylated_pos	norW//bglF//ldtC//cysH//zraS//xylB//
CueR-Ag_neg	nmpC//sroD//cysK//gspI//nuoL//
CueR-Ag_pos	yfdX//mipA//
CueR-Cu+_neg	slt//tdh//nanC//cadB//torA//
CueR-Cu+_pos	focA//narK//
CuerR-Au_neg	micF//trpL//hyfA//ptsI//yhjA//
CuerR-Au_pos	fucI//spy//
CusR-Pasp_pos	mhpA//prfA//rcnA//cusS//fadA//argC//bglF//rpoS//ompF//mntP//ssuC//znuC//
CynR-Cyanate_neg	fimG//
CynR-Cyanate_pos	rnlA//dsdC//ugpA//
CysB-N-acetyl-L-serine_neg	hyaF//copA//hofB//fucA//ubiX//entA//glcA//
CysB-N-acetyl-L-serine_pos	ispE//melB//dppA//paaF//phnM//yccA//fucK//ydhW//emrK//cyoE//ogt//yneM//cysK//srlB//atoD//ydiU//agaA//purL//nuoN//pgaA//cusR//xdhA//rdoA//
CysB-O-acetyl-L-serine_neg	deoD//malT//rrfA//mdh//ycjX//hycC//dcuS//
CysB-O-acetyl-L-serine_pos	rpoE//guaB//fdhF//mgtL//xapA//nikR//rnhB//rcnA//feaB//pheS//deoC//chiP//arfB//appC//pyrD//torC//xdhA//glpA//hdeB//appB//paaG//tap//cusF//acrE//
DcuR-Phosphorylated_pos	fecI//csgC//cheY//lrp//fis//xylA//malP//rplP//mltC//
DnaA-ATP_neg	rutC//fecE//csgA//metQ//fhuA//purF//sbcD//ompR//dnaE//argG//gspC//
DnaA-ATP_pos	melB//glpT//rrsC//srlD//ptsH//tolC//spy//
DpiA-Pasp_neg	paaE//
DpiA-Pasp_pos	truB//gatB//purC//nrdH//nanC//slyB//hyaF//alaA//rutB//casA//
DsdC-D-serine_neg	cysJ//
DsdC-D-serine_pos	mpl//iraM//
EvgA-Phosphorylated_pos	ulaD//rutD//glgS//livJ//fbaA//lysP//aroA//zwf//codB//putP//lsrD//umpH//dusB//mglC//nanM//
FNR-[4Fe-4S]2+ reduced_neg	cusB//srlD//grpE//yfdX//ydfN//lpxB//glcA//cyoD//rpsO//entA//xylH//fadA//pitA//tdcF//argC//aceF//ynfK//znuC//nlpE//nmpC//astC//ampD//azuC//nuoE//dcuS//oppB//ykgM//fecA//cynS//ilvN//motB//glpD//ileT//lysC//rrfA//mscM//hemL//yjeF//gspD//entE//fucI//ytfE//creD//lacA//ilvN//yedX//focA//rrlC//allC//nuoG//lsrB//allD//puuE//rstB//entE//entA//exbB//nuoL//astE//xdhC//ydfN//puuE//efeU_1//psd//ilvX//xylF//nrdA//malI//dmsA//bglG//hyfJ//yrbL//fhuD//arcZ//mhpR//fdnG//grcA//hycH//exuT//fimF//mdtD//glnG//idnR//argD//astB//metY//treR//yeiP//tyrB//tehA//glcE//cysJ//yoaC//infB//aroP//marB//puuE//argI//acrD//fimI//agaA//gltB//glpC//hemA//hycH//frdC//waaH//pepT//pitA//metI//hypB//iscA//ppiA//yhjC//puuA//araD//thrV//fixX//glmY//ispE//
FNR-[4Fe-4S]2+ reduced_pos	ascB//gltD//phoR//allD//nrdI//garR//chbA//tyrA//cysA//gntK//tsr//pstB//torR//dmsB//nanK//csgF//katE//ung//fhuC//mntS//nmpC//narL//nirB//bcsC//argR//paaZ//evgS//nikR//bioC//rrlC//secB//puuR//oxyR//soxS//malZ//hycB//rrlC//fhuF//folA//gatY//rnlB//citG//csgD//idnD//tar//rpoH//dnaE//gntK//mntS//lacI//hdeA//ydeN//nuoN//ssuB//cysC//appC//cspD//pck//garK//aldA//lrp//oxc//lsrA//cra//dnaE//bioC//cysU//rutC//ssuD//ilvA//feaR//napC//alkB//uof//cysW//hydN//agaV//nmpC//fumB//rhaD//hycE//fumC//narG//prfA//tyrR//aroG//pheT//uhpA//mepH//cusS//uxuA//lysP//oxc//fepA//manA//araD//argB//yfbR//phnO//napD//rpsI//fecA//argD//lsrG//argE//ydhT//uxuR//phnM//gspC//fes//garP//cheZ//torC//srlE//mhpR//ssuE//dcuD//xylF//lsrR//gutM//creA//nanE//nikR//sbmC//astD//aceA//grpE//aceA//gadC//hflC//glpA//artM//hisP//ompT//pyrD//glpR//gnd//phnE_2//purC//pstS//hycB//rpsS//fecB//patZ//cynT//prpD//chbR//gntR//entC//xdhC//xylF//nlpE//guaB//rpsP//serA//cyaR//nagE//puuR//pstC//fadJ//hcr//dps//araD//rseB//galS//bcsC//fepA//ugpE//puuB//mzrA//ybjG//deoA//hyaB//ydhV//moaA//hcp//rplC//emrY//gatZ//modB//hemA//norR//gatY//zinT//zwf//ompF//gdhA//gadC//fecC//paaC//xseA//tdcC//qseC//garP//paaD//sdhC//glpX//atoD//evgA//rseA//sodA//yaeP//
FhlA-Formate_pos	hycH//xdhC//rrlD//umpH//cysW//rstA//glpB//tdcC//xylG//rrsA//fes//chbR//aaeX//fau//ompW//yjeV//lamB//fliZ//rpsC//iscA//amiB//patZ//galP//purL//atoB//gntX//appB//gspI//mltC//gatY//
FucR-L-fuculose-1-phosphate_pos	puuC//qseC//nagE//metL//yeaE//tap//exbD//
Fur-Fe2+_neg	cynS//osmC//pck//amn//tap//hybF//hyfI//manX//paaB//cysP//osmY//zwf//ompF//sufB//yeiB//nrfA//sroD//yeaR//sufA//metQ//trpE//hycE//ynfF//leuE//frc//rdoA//paaJ//malX//ilvA//nuoE//lacZ//fhuC//cytR//rbsB//idnK//napB//csgB//ada//araG//recF//ykgM//glpD//ugpB//ftnA//gutQ//ubiG//hpt//hisP//nuoI//agaW//murP//ldtB//gspM//motA//cheA//fdnG//hyfG//nusA//rplD//fixA//pnp//emrK//rstB//manX//glgA//murQ//argT//hofP//ilvD//dctA//ilvB//pgk//tnaC//aroA//napG//dcuA//focB//nrfE//hisP//hycF//nagC//dcuR//rrsD//rplT//ybjG//narH//entD//grcA//trpA//uhpB//comR//ileU//ilvC//argD//purN//glgC//pgaD//ndh//fepG//yqjH//cpxR//rprA//gatY//astE//cirA//rpsJ//ssuB//dusB//waaH//pheS//cysJ//torR//uraA//gnd//rpoE//pheT//mpl//ompA//tauD//csgC//rhaD//uraA//metE//metY//
Fur-Fe2+_pos	hemA//mhpD//rpsJ//fixC//atoE//appC//exbD//mcaS//citC//speA//ybjG//livJ//gntR//yfaE//hycB//kbl//fimI//yneM//waaH//bioC//prpD//hyaF//yaiA//idnD//fadA//
Fur-Mn2+_neg	ogt//bglF//rrlB//baeS//lsrR//hyaF//ivbL//dmsA//emrK//tnaB//caiF//rstB//zraR//rimP//idnK//pyrC//rrsG//iraD//rmf//iscA//csgA//ydfN//ulaA//argF//lsrB//nrdD//cysJ//dppA//borD//ybjG//ynfG//mpl//lpxA//dsdX//rplB//fecB//yneM//gltU//gltB//hofB//bcsC//fhuC//mutY//putP//oppB//creC//tdcC//fhuA//hofM//ulaC//creB//treB//acrB//uidB//argE//amiB//gcvP//nirB//nrfE//mipA//cas2//garR//mhpC//galM//bioB//csgE//cheW//cysG//nrdG//glpT//argF//nuoN//chbG//cysI//nrfE//glgB//ydhW//rnhB//pdhR//sdhA//glpD//yfeW//creB//nrfA//pheT//rpsI//chbF//lsrA//gspH//casC//fecR//yaiA//nuoF//tyrP//yhhY//hyfJ//map//gspG//astB//caiT//metH//mipA//rbsB//lsrF//acnA//fimA//fimI//glpD//tdcD//treC//ydhY//ytfE//nadC//phoB//oxyR//metE//pitA//manX//nanK//nuoA//gltT//narH//mdtA//hmp//
Fur-Mn2+_pos	fdnG//chbR//pagP//galM//narX//gpmA//mhpE//alkA//mdtA//fhuF//ilvD//cheY//argR//pstA//argA//arcZ//hyfB//qseC//pagP//csgE//tnaB//ryhB//ydhX//pheM//pstS//
GlcC-Acetate_neg	rpsQ//
GlcC-Acetate_pos	miaA//yciW//frdB//mzrA//ahpC//fimI//
GlcC-Glycolate_neg	rrfH//
GlcC-Glycolate_pos	rbsC//xapB//rybA//nanM//fucA//lldP//
GlrR-Pasp56_pos	fepE//
IclR-pyruvate_neg	phnP//araF//ydfN//hybO//
IdnR-5-ketogluconate_neg	dadA//bhsA//gspH//
IdnR-5-ketogluconate_pos	hypA//galP//carA//cydA//bglG//
IdnR-Idonate_neg	rof//yqjI//lysA//
IdnR-Idonate_pos	ispE//rrlE//gatD//rpsJ//fimA//
IlvY-2-acetolactate_neg	napA//
IlvY-2-acetolactate_pos	chbF//
IlvY-Alfa-acetohydroxybutirate_neg	gadC//
IlvY-Alfa-acetohydroxybutirate_pos	betI//
IscR-[2Fe-2S]1+_neg	lrp//narK//nrfG//tyrP//asr//marA//puuC//caiC//sohB//osmY//rpmC//yqaE//phnP//fau//nrdG//ugpE//lsrD//puuB//lpxD//aldA//glyA//tyrP//tauD//ackA//talA//rstB//mutY//rnlB//pgaC//mgrR//
IscR-[2Fe-2S]1+_pos	entF//ykgR//narH//yfbR//ydfN//nuoF//manX//glcD//glgC//tsr//aaeA//
LldR-L-lactate_neg	rpsI//tauB//yaiA//
LldR-L-lactate_pos	glcF//entS//nanE//
Lrp-Leucine_neg	ycdZ//fhuD//grpE//yaeQ//murQ//aroM//phoH//galM//focA//ulaD//glpD//nrfF//cheY//acs//hyaB//ivbL//phnP//fbaA//thrS//livH//trmD//galP//pgpC//nagB//hslJ//carA//fepB//paaC//betB//entB//rrsH//purB//puuC//ugpQ//hycD//fadA//yeiL//yiaJ//metA//astC//mltC//srlE//feaR//glpE//cyoA//modC//aroM//rbsA//ydhT//phoA//pheT//astA//glpA//ssuB//casE//mhpT//recF//csiD//idnO//sufD//speA//gspE//rnlB//dppC//uhpC//prpE//rrfF//astA//azuC//hyfF//mhpR//uhpA//acrE//lolB//entH//
Lrp-Leucine_pos	tnaB//frc//fadB//cynX//sdhA//yaiA//dcuA//ygiB//araJ//tdh//cadA//agaA//uxaB//fdnI//ydhW//ackA//acnB//gatA//iraD//ugpB//lacI//marR//dpiA//cheY//pitA//yaeQ//narH//aer//aaeB//sdhC//yoaG//hfq//puuR//xylF//envY//
LsrR_neg	zraS//hofO//hybE//trxA//argH//araE//metY//grcA//erpA//
MalT-ADP-Maltotriose_pos	amn//alaU//mzrA//yfdX//mipA//rpsP//dsbA//aaeX//fadJ//amtB//
MalT-Maltotriose-ATP_pos	citE//uhpA//bhsA//yrbL//tyrP//uxuA//moeB//focB//pgaD//dadX//
MelR-Melibiose_neg	artQ//alaT//sohB//
MelR-Melibiose_pos	cspD//pta//uxaB//
MetJ-S-adenosylmethionine_neg	cysD//mdtA//csiE//ydeA//phnD//csgG//xapA//glgX//cynX//metA//hslJ//rrfC//tauD//nuoB//rplB//
MetR-L-homocysteine_neg	grpE//fepG//
MetR-L-homocysteine_pos	rrfF//rrfD//purC//pstC//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	phoE//zwf//fixX//fbaA//ydhY//gntX//
MhpR-3HPP_pos	tnaC//casE//cyaR//yojI//ybdZ//manZ//
MntR-Cd2+_neg	araE//fepE//fecC//sufC//
MntR-Cd2+_pos	rybA//
ModE-MoO42-_neg	efeU_2//hyfH//phnE_1//cytR//prfA//gntK//pta//gntK//mntH//rrlD//fimG//ydeN//glgX//cheB//ilvX//
ModE-MoO42-_pos	tsr//rpmC//ilvI//bglF//ssuA//acrD//mhpF//znuB//araE//rrlD//rrsH//ugpC//nanK//fucO//ydiU//abgB//trpL//envZ//yqjI//phoR//psiF//ebgC//lysA//spy//infB//lsrG//tdcC//rseA//rpsQ//sdhC//phnD//
NarL-Phosphorylated_neg	infC//nrdF//livJ//udp//yhhY//uhpA//arfB//yneM//fldA//yqjA//dadA//gltV//tpx//nuoJ//tktB//sdhD//cysM//hisM//fucU//entC//argC//uidC//hybC//ptsI//entF//borD//lysP//fadJ//narQ//rbsC//fucU//fadI//rhaB//feoB//ubiA//ccmG//ascB//rseA//moaA//nrdA//sdhA//safA//purN//yjeF//hycE//ulaE//hisQ//mntS//rnpB//dsdX//hyfR//cydC//aroH//fhuF//tdcC//argI//dsdC//alaA//ihfA//dcuS//cra//umpH//yhjC//nfuA//yhiD//purB//narJ//speA//tdcG//caiT//mtlD//ftnB//rpsR//creA//alaS//metH//yaiA//yfdX//cysG//glrR//hyfH//ung//astA//phoE//paaH//nrfB//
NarL-Phosphorylated_pos	mntS//nagB//crl//aroA//metL//moeB//artI//tauD//cusR//ompW//ccmH//puuC//gdhA//hdeD//mgrR//gcvH//tsx//dnaN//rutC//ydeO//hisM//prfA//xapA//ftnB//ilvX//edd//casC//crl//aroF//ybdZ//fadJ//ynfK//puuR//fnr//aldA//lpd//speC//fecR//ydfH//garK//manA//mhpR//cdd//tyrB//uhpA//gntX//
NarP-Phosphorylated_neg	gadC//ybdZ//yaeP//hyaA//cheA//carA//idnK//cusF//cusS//malE//aceB//psiE//nanK//slyB//speC//yjcH//narH//aroG//csgE//rbsR//purL//eda//ccmF//argT//lysU//waaH//ampE//cheA//hycF//rpoE//acrB//rpoS//glpK//
NarP-Phosphorylated_pos	actP//dcuC//argT//cas2//umpH//phoU//ssb//rpoS//rrsA//cynS//trpL//pstB//betB//feoC//recF//dcuS//gltT//rnhB//glpC//dcuS//phnK//fecD//citX//ileT//metB//oppC//ubiC//argH//feoB//rplW//ycdZ//icd//
NhaR-Na+_pos	phnE_1//cusC//oppC//yccA//dsdA//
NikR-Cd2+_neg	mepH//mutL//napA//nanS//csgB//paaH//
NikR-Co2+_neg	ycjX//cbl//cysG//hyaC//hydN//cas1//
NikR-Cu2+_neg	artM//katG//casB//hupA//malM//hyfH//
NikR-Ni2+_neg	gatB//creC//metY//alaT//dmsD//chbF//
NikR-Zn2+_neg	araH//hycA//dusB//rutC//hyfI//aroH//
NrdR-ATP_neg	ssrS//manY//atoE//chbC//sucC//moaB//aceF//bcsB//rstA//
NrdR-Zn2+_neg	fepG//rnlA//tonB//cadB//rbsR//yoaG//yeaD//phoB//argA//
NrdR-dATP_neg	fdnG//idnR//fnr//astE//hypC//yecR//artJ//speA//rcnA//
NsrR-[2Fe-2S]reduced_neg	fldA//uhpT//rrlB//ppiD//araH//fucU//ybjG//alkB//gltB//rplW//mpl//araE//fumB//hflK//tyrR//ydhW//gadB//yoaG//cyoB//rstB//tonB//evgS//mhpC//treC//rrfC//phnF//epd//fecI//lamB//yebE//gnd//tyrR//gadC//garK//iscA//cdd//fdhF//frdC//chbG//caiC//rpoE//micF//ccmG//nagB//gapA//fecC//dsbA//ftnB//caiE//ssuA//gltD//yqaE//lysU//nrdB//bacA//nanT//cusF//mipA//sucD//mpl//artP//nikB//cheY//napF//livK//hflX//soxR//flhD//alaS//fecB//yhjC//nrfA//araG//
PhoB-Phosphorylated_neg	rrlH//agaW//glpD//fhuA//icd//deoD//rrfH//acrA//agaV//entD//caiF//phnE_1//xylF//
PhoB-Phosphorylated_pos	mtlR//atoE//phoE//nrdE//spy//tauD//phnD//gspI//appX//tcyJ//ycjX//ccmF//fadL//paaH//aceE//ydhX//rprA//rof//ptsI//aceE//cvpA//csgD//fbaA//puuB//ysgA//trmD//ygeH//glpQ//rseB//cysU//rcnB//phoA//zinT//agaV//agaV//rrfD//araE//hypB//yjiY//mtlD//ssuC//exbB//mhpE//yfdX//nrdG//fucK//glgB//nupG//cspE//manY//creD//livK//ydhY//
PhoP-Phosphorylated_neg	allD//nagE//upp//nuoN//appX//deoC//nuoA//lsrF//nanS//yqjH//glpA//
PhoP-Phosphorylated_pos	fepC//phoA//rrlB//pstA//rbfA//glpA//appX//tehA//hycB//csgG//ndh//ptsG//ilvD//katG//cysG//dnaN//astA//dsdA//dppB//mpl//phoB//mhpR//glgP//hycD//rrlC//atoB//glcA//mntS//garL//ilvE//yhcH//nirC//talA//rpsQ//mhpB//casB//ilvG_2//cydA//nikC//uxaB//phoE//paaH//nac//narJ//arfB//cyoC//fur//manY//lsrB//
PrpR-2-methylcitrate_neg	nrdB//
PrpR-2-methylcitrate_pos	rhaA//ydfN//yfbR//arcA//
PurR-Guanine_neg	nuoG//exbB//zwf//glnA//dcuC//fimI//ccmG//rrfB//crl//eda//atoD//lpd//yjeF//ysgA//argT//astC//hflK//arcA//adiC//phoQ//ompW//dps//fnr//tar//argF//udp//hflC//tehB//hupA//cynR//fecD//gabP//slyB//aer//
PurR-Hypoxanthine_neg	purK//katG//nikC//puuE//tdcB//ydeA//fimC//adhE//malS//hha//nuoK//sucD//phnH//ilvG_1//hyfA//fliZ//sucD//cysB//nrdH//mtlR//gspI//ydhW//treC//rof//malZ//galT//ldtC//rbsC//mhpB//argH//iscS//araJ//zraS//nrfF//
QseB-Phosphorylated_pos	pepT//cysK//nuoF//frc//
RhaR-L-rhamnose_pos	phoH//paaG//
RhaS-L-rhamnose_pos	aroA//serC//adiC//
RstA-Phosphorylated_neg	appC//phoU//gspC//gabP//mcaS//
RstA-Phosphorylated_pos	sbmA//gabD//ugpA//sufB//borD//
SoxR-[2Fe-2S]3+ oxydized_neg	nanE//
SoxR-[2Fe-2S]3+ oxydized_pos	malT//dppF//livJ//
TorR-Phosphorylated_neg	paaB//
TorR-Phosphorylated_pos	oppC//talA//ftnA//fecA//adiC//yojI//hpt//purH//marB//
TrpR-Tryptophan_neg	caiD//melB//sdaA//srlE//nanE//entD//gutQ//pstC//paaE//qseC//ydbD//chbA//
TyrR-L-tryptophan_neg	trmD//yecR//yqjA//zraS//fepD//xylG//yrbL//entH//ccmG//argO//bamE//ompA//
TyrR-L-tryptophan_pos	hemA//nrfG//hyfF//
TyrR-Phenylalanine_neg	cueO//araE//tar//mtlA//glcF//fucR//yjcH//acrA//yqjI//ygeA//narL//rpmI//
TyrR-Phenylalanine_pos	ykgR//csiD//xapB//
TyrR-Tyrosine_neg	tolC//nikD//ydhY//ogt//gatZ//oxyR//bioA//ydfN//napB//sdhA//moeA//slyB//
TyrR-Tyrosine_pos	narQ//glpD//purN//
UhpA-Phosphorylated_pos	mepH//
XapR-xanthosine_pos	rrsA//rbsA//
XylR-Xylose_pos	hypC//moeA//lsrB//metQ//argB//rutG//
ZntR-Cd2+_pos	carA//
ZntR-Hg_pos	epd//
ZntR-Zn2+_pos	ung//
ZraR-Phosphorylated_pos	ssb//dnaA//atoB//
Zur-Zn2+_neg	yhjA//rbfA//hdeD//lamB//puuA//hyaE//
