#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	marB//atoB//
CRP-cAMP_pos	uxuR//fixX//purE//talA//nadC//glnA//napH//hyaE//crl//hycD//galT//cadC//prs//uidA//ilvM//alaS//rstA//dgcZ//ygiB//abgB//arfB//fadB//glgB//manX//mutY//yfeW//rplB//aceE//ilvB//torR//hypB//nikA//rpmI//hybC//ompF//tdcG//lsrG//uidA//rybA//rybB//folE//dmsA//eda//nrfG//recF//galP//casC//csgG//yfdX//ilvG_2//frc//fadA//narJ//glgB//tsgA//aaeR//rplS//osmY//hisQ//fecD//csgE//cra//cbl//kbaZ//feaR//udp//caiA//citD//ycjX//rutF//yccA//tdcB//sucB//idnK//gatB//lysU//phnM//gspI//alaU//nac//entE//deoA//alaV//aroA//fecI//lsrG//lysA//purR//cadB//melB//rpsQ//hyfD//ynfG//glnG//ybjG//ydeM//glpB//fimA//gntT//fepD//gltU//pgpC//hybF//pgaD//ompX//hofM//fucA//cheZ//rpsC//artQ//hupB//argF//psiE//mdtC//dgcZ//oppA//nuoH//cysP//yjeV//atoD//argG//rutF//phoQ//cysI//rrsB//deoC//aroF//xapA//aroA//pagP//phoU//rrlE//yfeW//upp//sufC//cyoE//fhuD//gspD//cyoA//hybD//lsrF//cspE//moaB//nikB//rpmI//dmsC//oxyR//yegR//cysB//mgrR//dmsD//nrfG//gltF//deoD//nrdD//aroM//fumA//adiC//sufB//entE//flhC//pgaD//argA//hyfG//metA//fecI//casA//gltV//moaA//ansB//iraD//argI//ileT//cusC//rbsA//ppdD//alkB//aroG//trpD//uhpC//dppC//cyoC//argP//ompA//creC//ivbL//fecE//fadD//nuoB//pdeF//garL//hycA//gyrA//yjeV//argD//tyrR//fhuC//artI//casB//fucO//fecE//artP//puuA//ampD//galK//pstC//oppA//sbcD//mtr//nmpC//rrlD//ubiX//sdhA//acrF//ygeA//yeiB//mcaS//fimE//sohB//lolB//gcvH//oxc//hybD//gspC//dadA//ssrS//pheS//uxuR//chbG//dctA//nusA//serC//phnM//purB//exbB//frdC//ynfK//cusS//araC//rrlA//gadB//arfB//ybfN//prpD//hslJ//mntP//lpxA//zinT//ulaF//nrdF//nmpC//uidB//paaD//fliA//lolB//nanT//tdcD//uxaC//yfeW//nikA//citE//ada//chiP//hyfJ//alaT//rpsR//garR//yccA//alaU//tnaA//fimG//ygiB//rrsG//nupC//xdhA//putP//puuB//borD//iscU//paaH//xdhA//oxc//frdB//rpsJ//nikR//mlc//uvrA//rrsG//ppdD//ebgA//rnlA//mscM//ompF//napH//csgE//ygbA//rrsA//allC//cdd//mpl//narH//gspH//ptsH//acrF//rhaR//yiaJ//fliZ//ugpC//baeS//ivbL//pta//ulaA//napD//metQ//fes//mdtA//sucC//argR//fdnH//hyfJ//nrdH//araG//nikB//cyoE//cusR//rstA//codB//metC//hydN//chbG//ccmB//rstA//mglC//hyfE//ilvN//paaE//rbsA//betI//tauD//folA//purH//sohB//rybB//rhaR//cadB//uidC//rplI//rrfC//aidB//lpd//phnL//hyfI//abgA//mgrB//sucB//yhcH//gspG//yedX//iscU//yidQ//yrbL//napA//fucA//thrS//yrbL//nmpC//ynfG//rpoE//fimC//treB//yeiP//nuoK//caiF//hypC//phoR//frdC//grxD//torD//tauD//rrfH//rhaR//ccmD//cyoB//fixX//exuT//fimG//malS//phnF//nrdA//aceA//nanT//proP//ccmF//torR//tcyJ//ilvX//mntS//glpQ//xdhC//cpxA//uidC//rutG//paaZ//tadA//hdeA//paaF//ampE//osmC//metQ//mglC//galS//dps//puuC//ycjF//nuoL//hybG//caiD//aceE//dgcZ//aer//dpiA//cadB//hisP//frdD//yfdX//ygiC//psiE//cstA//trxA//
ChbR-Monoacetylchitobiose-6P_neg	srlE//trpC//icd//sdhB//adiC//tcyJ//
ChbR-Monoacetylchitobiose-6P_pos	dadA//malQ//rnlB//rpmC//amiB//modC//
CpxR-Phosphorylated_neg	rrlH//nuoK//yhcH//crp//nuoK//fhlA//nrdE//fadL//bioB//mtlA//uxaC//cusR//ilvD//treC//phnD//lysA//sufE//hycF//dkgB//casD//rpsO//atoD//leuE//yeiL//
CpxR-Phosphorylated_pos	grxC//cpxR//cra//bhsA//osmY//arcZ//rrsC//truB//uhpC//fimI//bglB//puuP//fnrS//serA//srlD//aroL//ascB//qseB//alaT//gntT//gcvP//feoB//modA//cusS//narG//galM//sdhD//hypC//mutY//crr//rimM//hofP//cysH//csgF//fimF//paaA//rpsS//mltC//uidC//efeU_1//fecA//malK//nrfE//fecD//rutF//
CreB-Phosphorylated_neg	gcvP//xylF//zwf//
CreB-Phosphorylated_pos	lsrF//gatY//hdeB//rutA//rpsQ//srlA//
CueR-Ag_neg	livK//cspD//araD//deoD//adiC//
CueR-Ag_pos	nuoL//paaJ//
CueR-Cu+_neg	sufS//argE//aaeA//metJ//fimC//
CueR-Cu+_pos	rpsJ//glpQ//
CuerR-Au_neg	gpsA//hofC//pgk//galE//cynR//
CuerR-Au_pos	ampE//cadA//
CusR-Pasp_pos	sdhC//yecR//ugpC//fimH//metK//yciW//uof//entD//ugpE//galP//narI//yfaE//
CynR-Cyanate_neg	skp//
CynR-Cyanate_pos	ompF//ilvA//zntA//
CysB-N-acetyl-L-serine_neg	hyaA//marB//rbsA//ugpC//ybdN//cysB//ychO//
CysB-N-acetyl-L-serine_pos	hycG//galP//aroG//nikD//fimA//rybB//yegR//bioB//yojI//crp//hflC//arcA//sbmC//nrdE//fabZ//paaC//rrfB//appX//rstB//malS//hdeD//dsdA//ydeO//
CysB-O-acetyl-L-serine_neg	ilvH//tdcC//trmD//mdh//yfiP//ilvM//sbcC//
CysB-O-acetyl-L-serine_pos	mipA//fimA//nuoE//fepA//ompF//cpxR//glnD//nuoH//zraR//lysP//fepB//aspC//moaC//abgA//alaA//ompC//metI//tfaQ//rseB//nikB//pheS//bioB//torC//pgaB//
DcuR-Phosphorylated_pos	rplM//tsgA//codA//iscU//hha//chbA//ulaF//hydN//frdB//
DnaA-ATP_neg	tolC//malT//yegZ//pstA//nagE//oppB//fimG//rbsK//trpB//acrE//rbsD//
DnaA-ATP_pos	gntU//ileV//rnlA//fecE//gltV//mdh//ileV//
DpiA-Pasp_neg	ubiA//
DpiA-Pasp_pos	chbA//cspD//trmD//xylG//rimM//cysC//yccA//dnaN//hfq//nikD//
DsdC-D-serine_neg	paaF//
DsdC-D-serine_pos	flhC//malG//
EvgA-Phosphorylated_pos	ugpE//rplT//hybG//hypB//gltU//nuoJ//mgtL//mdtD//map//fdnG//gadB//rpsJ//yciW//sucC//hlyE//
FNR-[4Fe-4S]2+ reduced_neg	galM//dmsA//guaA//glpK//yoaG//hemL//ydeJ//dmsA//patZ//lacI//mtlR//aidB//mdtC//abgB//galT//rseA//pdhR//tonB//cyoB//tsr//yccA//csiE//phnD//melR//pta//phnL//borD//nanM//infC//fdhF//agaW//citD//prpE//rrsC//dsdA//yebE//udp//sdhA//osmC//dsdC//ydhT//pta//rseC//hybA//mdtD//modB//hofO//sdhD//codA//acrB//livH//ynfE//rrfH//mhpE//trg//erpA//rplC//cysP//bcsC//cytR//sufE//caiD//ssuD//rpsP//hflD//glcF//mgtA//tpx//cyaR//codB//glpC//trpC//mtlA//araD//yfdE//dcuS//pitA//pgpC//glpK//mntH//livF//cpxA//gltT//aroM//cheW//idnK//manZ//glnD//hycE//napD//cheA//abgA//micF//hybC//paaE//nuoE//cysC//aceA//csgG//gntU//gspE//tdcD//mutL//purL//tdcE//hdeB//torD//lacA//srlD//rrlD//pflB//ahpF//phnP//acrE//cysM//rrlB//nrfD//puuE//gatB//ppdD//
FNR-[4Fe-4S]2+ reduced_pos	puuE//fepE//tolC//appB//envY//malY//sroD//malZ//napA//tam//fadE//tnaC//folE//araD//aceF//rpsP//cysG//paaA//betB//pncB//fadJ//aldA//bcsC//tsaE//sufE//ygeH//fadH//casA//aroP//psd//hdeD//ppdD//metN//fumB//amiB//mtlA//cusS//rrlG//yciW//araJ//gspG//amtB//uidB//ilvN//fepC//pgaC//rimM//hycI//gyrA//ytfE//manY//entE//phnM//mhpF//gcvH//phnJ//metY//glpT//mscM//entH//cydC//oppB//cyoE//rutF//metQ//yaeQ//oxc//nanS//chbF//gntR//rplS//aroF//prfA//frdD//nrfA//ebgA//rrsH//katG//hyfA//yibN//nuoL//cyoC//argH//yciW//ilvX//glmY//idnO//borD//aaeB//torC//ccmA//nuoK//gspJ//fliZ//leuE//dadA//nrdG//hslJ//iscS//cadA//dsbA//arcZ//argE//fimF//puuC//fecE//phnO//oppF//katE//fur//mdtB//glpA//qseB//rrfG//malP//casB//uidC//pstC//gltB//iscA//rcnA//ubiA//rhaB//mglA//csgE//uhpA//dppA//narJ//phoB//hybB//ogt//rutF//dadA//rbsR//gatA//bcsA//zntA//rhaR//rpmC//pyrD//malQ//dcuA//hisP//glpQ//hflC//puuC//phnK//ulaA//tar//hybC//folE//efeU_2//aroP//yeaD//nagB//glpE//cydD//ysgA//xapA//ybfN//mhpE//fimE//rbsA//argE//astC//bioD//metF//folE//zraS//cynT//iscU//nupC//glcB//hemA//miaA//ompF//fepE//citC//aldB//glgX//hycI//ssuE//fumA//argD//sodA//ptsG//dnaN//galP//nrfF//rrsC//lacY//cytR//zinT//fepE//ilvN//bcsB//talA//hemA//nikD//nrfA//ugpB//ldtC//
FhlA-Formate_pos	fepC//aspA//proP//mglB//glgX//mscM//nuoF//cyaR//sufD//crp//ygaC//mntS//ilvG_2//fecI//argF//livM//prmC//mtlD//fecI//ppiA//sdaA//napH//hcr//cysC//cas1//ybjG//dpiB//tdcG//bglG//baeR//
FucR-L-fuculose-1-phosphate_pos	chbA//rdoA//phnF//fucO//ygiB//glpQ//iraD//
Fur-Fe2+_neg	hycI//mhpR//ybdN//gltB//cusC//araG//livF//nupG//lsrB//rhaT//focB//yhiD//ubiA//artI//edd//melR//nuoG//psd//phnM//ppdD//glcE//fes//yfbR//ivbL//upp//ssuC//ygeA//metL//casE//rpoH//hofO//exbB//rrsG//ilvM//hyfH//yegH//acrF//bioB//ascF//ydeP//phoP//ompA//fimE//lsrG//artQ//ydhX//nagA//dppF//emrY//rbsB//entA//cusC//aroM//rutF//melA//pheT//hybF//dsdC//epd//ihfA//yhhY//thrV//livH//fecE//katE//sohB//feoA//pitA//pheT//torR//erpA//slt//moaC//mhpC//fis//map//csgC//gltU//malG//deoC//hyfE//cysK//cyoA//paaE//araC//ycdZ//citC//rplD//sufD//ydhT//hycB//rrfH//ychO//araC//mgrB//phnK//metN//mdh//lsrA//mglA//zinT//ydeN//deoC//cusS//adiC//araF//dcuR//yojI//ccmC//csgC//aspC//entD//nikA//araJ//nfuA//phnL//nuoH//ykgM//fimG//dctA//yfeW//rplP//phnO//alkB//
Fur-Fe2+_pos	zraS//paaH//xylG//mntP//nrfA//rplM//dnaN//dpiB//srlD//fiu//bcsZ//yeaR//gcvH//cusS//crl//rplB//lsrC//fdnG//torR//tfaQ//purM//ldtC//agaA//nfuA//lamB//
Fur-Mn2+_neg	nikC//sxy//gntP//appX//hyaC//xdhA//hofO//argI//hypB//acs//nrfF//caiB//gspC//aaeA//hemL//uxuR//xylR//rpoS//yqaE//astD//mntH//alkA//oppA//casB//bhsA//cspE//ispE//citE//metL//ybfN//rrfE//chbF//ynfH//bioA//gltV//amiB//nrfB//creA//rrlB//rrlA//hslJ//rplI//rrfB//pheM//chiP//astE//glcF//tdcC//fliA//hybG//hyaD//cheW//tnaB//exuT//dcuB//metK//napF//entC//cheA//creA//argB//map//bcsC//torC//slt//phnE_2//fucR//argH//trpL//pyrC//prpC//entB//cspD//zraS//cas2//hmp//rplM//narX//yedX//lldR//rhaD//thrV//dsdC//puuC//focA//narJ//melA//pgaC//malZ//livJ//dsdA//hofB//hyaE//truB//treC//fnrS//fecC//fliZ//dnaA//gabT//casE//ydhW//miaA//prpR//hypB//hlyE//glnK//moaB//rrlH//rrlD//aidB//ydeJ//bglF//casC//malP//fadI//rplB//sucA//glpD//rutE//yeiB//paaK//fadI//nrfF//
Fur-Mn2+_pos	alkA//ebgA//glcE//preT//fimA//gcvH//puuP//acrE//astE//ampE//ydbD//ugpB//norR//malS//fixX//hycE//hybB//ascB//sufD//ulaA//cysW//ilvM//ivbL//hslJ//pstA//
GlcC-Acetate_neg	trpD//
GlcC-Acetate_pos	citC//xylB//safA//ogt//argT//creB//
GlcC-Glycolate_neg	ppdD//
GlcC-Glycolate_pos	ppiD//tnaA//aer//hha//torD//entC//
GlrR-Pasp56_pos	yhcH//
IclR-pyruvate_neg	rrsA//araD//nuoE//mglC//
IdnR-5-ketogluconate_neg	rplW//narG//tsaE//
IdnR-5-ketogluconate_pos	yfbR//rrlH//carA//sufA//rcnB//
IdnR-Idonate_neg	cheY//gspC//moaE//
IdnR-Idonate_pos	mdtC//fepE//phoE//torD//yiaJ//
IlvY-2-acetolactate_neg	tdcA//
IlvY-2-acetolactate_pos	aceA//
IlvY-Alfa-acetohydroxybutirate_neg	fhlA//
IlvY-Alfa-acetohydroxybutirate_pos	fadB//
IscR-[2Fe-2S]1+_neg	hycD//ykgO//acrF//cysM//livJ//ilvB//alaS//aspC//alaA//aaeR//cyoC//ccmG//gabT//bcsA//hisQ//hycC//tyrA//ubiX//speB//rrsE//lhgO//nagE//focA//modA//ubiG//tyrR//rpsR//rbsK//torD//actP//
IscR-[2Fe-2S]1+_pos	malI//cspE//moaC//gadC//bcsZ//sufA//cynT//caiC//tauC//rseC//nrdE//
LldR-L-lactate_neg	ilvB//dpiA//grpE//
LldR-L-lactate_pos	pgaB//zinT//cyaR//
Lrp-Leucine_neg	proP//hycD//napC//ilvM//hybA//uxaC//entC//lysU//manX//fecA//borD//cydD//paaE//glcE//modB//ybdN//truB//treR//frdB//fimH//fucP//paaZ//malE//borD//srlR//fumA//purL//purA//ccmG//aceK//ompW//ompC//purE//hycD//ulaC//pepT//allE//nirC//prmC//exuT//rutD//ydbD//gabP//nupC//atoD//rrlD//agaW//pepT//hyfH//pdeF//nrdH//yeaD//puuR//epd//ompC//agaW//iraM//ssuD//fadE//argE//rstA//codA//tsr//ssrS//gspI//adhE//mpl//treC//cyaR//fixC//phnK//frdA//gltU//iscA//flhD//
Lrp-Leucine_pos	rseA//mgrR//nrdE//mutL//rnlB//nagA//aaeR//ydeJ//nikB//gspD//purC//nohA//bcsZ//yhiD//ilvG_1//cpdB//iraD//bcsZ//betI//gpmA//dps//ilvM//yegH//manZ//yjiY//narI//mglA//sucD//tauC//napC//fadD//nanC//glyA//infC//cysC//
LsrR_neg	hslJ//mdtD//rrlH//garR//rpmC//alaA//pyrD//sucA//kbaZ//
MalT-ADP-Maltotriose_pos	bdcA//dmsA//hypD//exbD//yeiP//metJ//fldA//mglA//amtB//trpD//
MalT-Maltotriose-ATP_pos	yciW//caiT//sbmC//cysD//aroA//hycE//ilvA//nuoJ//bcsC//malF//
MelR-Melibiose_neg	mdtA//ydfN//ompT//
MelR-Melibiose_pos	cyoE//oppD//glpD//
MetJ-S-adenosylmethionine_neg	puuC//metQ//phnE_2//puuA//sdhD//rimP//trpE//cusF//metJ//nirC//pstS//gntP//glgP//rplM//psiE//
MetR-L-homocysteine_neg	trpR//miaA//
MetR-L-homocysteine_pos	allC//qseC//rhaR//gspD//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	dadX//cyaA//gcvH//deoA//aspC//proP//
MhpR-3HPP_pos	efeU_2//ycjX//ugpB//hybA//puuD//rrfF//
MntR-Cd2+_neg	lsrA//fecI//pstA//aroM//
MntR-Cd2+_pos	fhuA//
ModE-MoO42-_neg	ugpQ//betA//citD//nusA//puuE//mpl//nuoM//hypE//hyfG//mgrB//secB//yeiB//katE//hupB//uvrA//
ModE-MoO42-_pos	carA//ompA//rbsC//chbC//cheB//rutE//phnI//alaU//ugpA//rnhB//napD//cheR//oxc//nirD//melR//ada//mipA//ilvG_2//gspK//cyoE//cusB//rbsA//fimH//gutM//caiF//trpE//hofM//rbsC//ung//gltV//ileV//
NarL-Phosphorylated_neg	purC//hyfJ//glpG//xylB//mglB//rnhB//gcvH//hybF//rpoH//rrlG//yfaE//trmD//gdhA//nirB//pgaC//ascF//yqjI//modB//napH//argP//purL//fecR//asr//dcuD//fepC//sodB//rseB//patZ//fecD//fdnI//phoP//xylF//fimA//metL//nagA//gatC//uxuB//deoC//hdeB//galE//putP//yojI//fepA//prpD//phnO//rhaB//tcyJ//cusR//serA//trmD//cynR//cysM//crl//dcuA//srlE//yojI//arcZ//mtr//gltA//feoB//rbsK//mhpB//hyfC//dctA//ompF//gpmA//aceA//gntK//aldA//dcuD//mhpC//fdnH//mglB//acrF//alaV//baeR//hdeB//sucB//rrsC//entF//phoU//gspC//evgS//galM//citE//cusF//
NarL-Phosphorylated_pos	hdeA//fhuE//dcuC//degP//asr//asr//phnD//uxuB//mdtD//nrfA//rpoE//cpdB//rbsR//trpE//tar//crr//envZ//malT//metR//ompR//yhhY//pdeF//appA//puuD//argH//frdA//rrfE//gpsA//nlpE//ugpC//phnN//zntA//rrsB//idnR//cusC//exbB//thrV//tyrP//osmC//yhfA//gadC//tonB//agaV//metA//ascB//ydeM//
NarP-Phosphorylated_neg	cyaA//napC//phnC//fepB//motB//torD//tauB//cyoD//osmY//mdtD//aaeA//nanM//rrfF//aldB//hycE//hybB//dcuA//treB//casA//rplB//gcd//rpsQ//lysO//atoE//hupB//paaA//yoaC//slt//rplW//metN//rutA//ispE//serA//
NarP-Phosphorylated_pos	cusR//ydeO//yoaG//tonB//nrdF//csiD//fucI//atoA//ykgO//rrfE//cadB//uhpC//lsrC//ygaC//ldtB//csgD//rpsP//agaV//yfiP//cusR//yjeF//hlyE//artM//ldtB//paaJ//oppC//galM//rrsE//nirD//arcZ//ybiT//lsrA//
NhaR-Na+_pos	uhpB//mdtB//patZ//envZ//sdhA//
NikR-Cd2+_neg	mipA//ubiA//ugpQ//grcA//malF//xdhA//
NikR-Co2+_neg	araG//dppF//betT//narG//ubiG//pdhR//
NikR-Cu2+_neg	sdaA//uxuR//fes//yfaE//phnL//marB//
NikR-Ni2+_neg	chbA//sufS//nupG//nanK//hyfA//hybC//
NikR-Zn2+_neg	hyaA//adhE//nanT//rutB//rrfC//marR//
NrdR-ATP_neg	hpt//purE//yhjC//fadA//nrfB//rplC//aaeX//fhuF//cusF//
NrdR-Zn2+_neg	casC//aaeX//araF//znuC//purC//creB//nac//appX//galS//
NrdR-dATP_neg	caiE//rpsS//melB//aspA//cheY//hypA//sdaA//iscA//crp//
NsrR-[2Fe-2S]reduced_neg	fucK//qseC//cirA//phnI//rutC//cysM//galM//moeB//norR//gatZ//frc//modA//hybO//nuoM//araC//gspF//tolC//napB//motB//narK//nrfG//paaH//tauC//erpA//hyaD//gabT//fixA//cadC//rhaB//cheB//nrdD//hyaA//alkA//cyaA//hemA//gspI//nuoH//iscA//nlpE//ugpC//hybA//iraM//gntK//pgaB//moaC//uof//uhpB//trpB//xylA//aaeA//grxD//erpA//rbfA//rimM//sodA//caiC//iscS//rrfH//acrB//cirA//ansB//folA//cyoA//norR//cheB//hypE//caiE//cyaR//ebgC//entF//sufA//rrlD//ygiB//
PhoB-Phosphorylated_neg	nrfC//gspF//argE//napB//iscR//paaI//ulaE//frdB//hybF//rrsA//dnaN//rrlG//yoaC//
PhoB-Phosphorylated_pos	tyrB//yegR//argP//icd//fis//fepG//rhaS//lysO//nrdI//lacI//aldB//rybB//ilvG_1//livF//ubiG//infB//fhuF//yedX//yccA//rplC//aroG//yaeP//ydhW//uhpB//purN//fimG//dpiA//fepE//yegH//rnhB//speB//mscM//paaD//efeU_1//tomB//fliZ//hflD//fecA//metF//argG//dpiB//iscU//mhpR//narL//rplI//hyfA//micF//phoB//pck//nrdF//dppA//ydhV//micF//
PhoP-Phosphorylated_neg	lysC//hlyE//fbaA//chbA//phnE_1//alaV//entB//gntK//dnaA//fecA//ulaF//
PhoP-Phosphorylated_pos	aceF//fepD//glpR//slt//bhsA//crr//mntP//metI//fimH//yqaE//efeU_1//ppdD//metB//hfq//hybG//pstB//appC//kbl//bioC//nanS//manX//bcsB//infB//purD//cas2//nrfC//cyoC//hdeB//tadA//srlD//ugpB//spy//glcE//allE//dcuR//hyfH//cusF//malM//lpd//ydeA//rplI//glgB//ydhW//fimD//purR//srlE//rutF//entD//ydfN//
PrpR-2-methylcitrate_neg	entE//
PrpR-2-methylcitrate_pos	rhaD//csgE//acrF//ygiA//
PurR-Guanine_neg	acrB//paaG//narQ//marA//purM//lysU//aspA//fnr//ybfN//lldD//ilvH//ssuB//modC//zraS//raiA//actP//nanS//oppC//map//glnK//qseC//rrfH//argT//agaV//hyfA//epd//gspJ//flhC//bglF//hisM//aaeA//ilvX//dnaE//aldA//
PurR-Hypoxanthine_neg	aroG//lsrF//glcF//ygiB//exuT//ulaA//araA//metK//mutY//epd//nrfE//acs//yfeW//rpsF//prpR//nrfC//nirB//treC//infB//uxuB//yoaG//tktB//arcA//metE//mtr//livK//glgS//fadA//aceK//glgP//ybdZ//astE//gcvH//malI//
QseB-Phosphorylated_pos	mtlA//nanM//ubiC//ascB//
RhaR-L-rhamnose_pos	glcE//hypF//
RhaS-L-rhamnose_pos	ilvH//cysW//nikC//
RstA-Phosphorylated_neg	fepE//ugpC//hyaC//appB//rnhB//
RstA-Phosphorylated_pos	lrp//hyfE//glpD//chbA//ogt//
SoxR-[2Fe-2S]3+ oxydized_neg	cspD//
SoxR-[2Fe-2S]3+ oxydized_pos	gspF//fecC//qseB//
TorR-Phosphorylated_neg	chbF//
TorR-Phosphorylated_pos	hslJ//narL//hyfE//aroF//glpT//phnE_2//nrdF//creA//adiC//
TrpR-Tryptophan_neg	uidA//ilvL//rutC//envZ//trpD//moaC//ydeA//asr//feoB//rplV//gntP//rcnA//
TyrR-L-tryptophan_neg	gyrA//nrfD//fadB//metN//ybiT//codB//tdcD//ubiG//purC//gspK//gnd//hyfR//
TyrR-L-tryptophan_pos	prpB//xylG//ftnA//
TyrR-Phenylalanine_neg	lsrG//artI//evgA//hyfC//fhuA//ilvD//sdaA//nac//appB//guaB//hypE//metA//
TyrR-Phenylalanine_pos	pdhR//deoC//dppD//
TyrR-Tyrosine_neg	purR//ugpE//ugpC//lysO//betI//acrD//sufB//ftnB//norW//dmsA//hupB//arfB//
TyrR-Tyrosine_pos	pncB//glcD//proP//
UhpA-Phosphorylated_pos	chbA//
XapR-xanthosine_pos	hybO//psd//
XylR-Xylose_pos	nuoA//nuoJ//sbmA//nrfE//cyoA//gspF//
ZntR-Cd2+_pos	motA//
ZntR-Hg_pos	fepB//
ZntR-Zn2+_pos	fecD//
ZraR-Phosphorylated_pos	cydC//dcuR//hupB//
Zur-Zn2+_neg	rrsA//psd//rpsF//glpC//nikD//dmsA//
