#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	uxuA//ampD//
CRP-cAMP_pos	trmD//fabZ//cydA//ptsG//argE//cysC//hmp//pstS//hofB//ilvN//epd//betI//pagP//pitB//entA//lysP//chiP//pflB//hpt//astE//rpoE//yhiD//galM//casA//stpA//ompX//melA//tonB//efeU_1//tar//proP//rrlH//sdhC//glgB//moeA//yggX//glyA//rcnB//hycG//appA//rpsF//frc//bcsC//mhpT//uxaB//pheT//caiB//betA//sdhC//nrdE//yeiW//cas1//cadA//trpB//sbmC//mhpF//ydhT//cysW//rpsP//fdhF//feaB//efeU_2//glrR//grxD//aroF//fliZ//fadD//artQ//cheW//stpA//paaF//iscR//trpR//phnI//gatY//cynR//purA//xdhB//paaI//rplP//bglB//chbA//rrsA//fhuD//cusC//lrp//gntT//cynX//paaE//codA//rpsP//yeiP//cysH//allE//lsrB//trmD//malI//ansB//yeiP//murQ//ascF//napD//ackA//cirA//phoE//rutB//nrfF//psiE//betI//bioA//gltF//hisM//uof//iscS//znuC//rprA//livH//yegZ//infC//lldR//hypD//rrsC//nrfG//glnD//fumC//gcvP//aer//cysA//rhaR//citE//phoA//abgT//mscM//ybfN//lsrA//nrdG//ompT//dusB//ilvM//chiP//argF//ygeH//rutE//lhgO//acrE//pheM//paaJ//hycA//fimC//pgaD//artQ//lsrG//yjcH//nirC//yebE//sucA//glgX//dsdC//lpd//hflX//aaeB//atoD//glyA//ubiX//trg//rof//treB//malQ//ssuE//napD//pstC//nagB//rpsF//rrfG//tdcD//paaK//cheR//glgP//codB//livJ//ilvG_1//umpH//manX//bacA//purM//rplV//astA//rpsI//uidB//ygaC//phnJ//yiaJ//rrfH//emrY//xylH//treC//hflX//mcaS//fimF//ilvB//dnaA//srlA//ilvD//atoA//ompT//tsgA//fdnH//mltC//yfiP//rbsA//hypD//sodA//aaeR//gspF//uhpT//cspE//hyfD//metK//phnH//dcuS//rnpB//araD//moaA//artM//cirA//zraP//nanS//cysW//ydbD//sufD//glgS//malS//preT//pheS//nuoA//adhE//glgA//phnN//mgtA//nrfD//norW//bioD//gatY//yhjC//cynX//spy//raiA//feoA//hycD//hyfI//hydN//patZ//ccmB//entC//ydeP//degP//ubiG//tehB//lsrB//purM//fimE//ydeO//cyoB//rprA//ydeM//araA//sufS//icd//paaC//pheM//norR//mglA//ascF//pncB//ispE//csgF//treC//phoA//ydeJ//rpsJ//hybF//rpsJ//rplS//nadC//yfdV//cpxR//nrfB//ftnA//aldA//napB//aceA//rrsG//livJ//rutG//uhpA//pdeF//serA//yoaG//tauA//fimC//puuA//glnB//rdoA//treC//cvpA//pgaC//hofC//exuT//cysN//pncB//hyaB//fucA//mhpR//ynfH//hypC//ryhB//nuoC//malT//bioA//hyaD//nadC//epd//modC//aer//fdnG//ptsH//chbC//fhuF//mcaS//nrdI//uxuB//torA//pgpC//glgS//gabP//rhaT//tdcF//aceK//marB//frdA//aspC//prpE//manA//grpE//ileV//bioF//rhaS//uidA//frdB//ndh//xdhA//citG//appC//cdd//umpH//yfiP//chbR//znuB//kbl//ftnB//nrdA//prpD//cbl//lacZ//cspE//gabD//hcr//ptsH//chbG//glmY//hisM//amiB//ldtB//hupA//cusS//casB//grcA//rpsS//fhuD//fis//paaK//artI//ydeP//fucK//ompR//alaV//infB//garP//cspE//sufE//hyfF//ubiG//fhuC//allE//preT//fucR//malT//nrfD//fliZ//chiP//tonB//sdhC//torD//raiA//exbD//hupB//fixA//mepH//nadC//lsrF//rplT//adiC//uxaC//cysH//yeaE//casC//borD//tonB//betI//aceE//dsdX//cyoC//cydB//glcF//metA//glcG//rybB//hycI//glnD//
ChbR-Monoacetylchitobiose-6P_neg	gspF//cysI//malT//ihfA//modC//aroF//
ChbR-Monoacetylchitobiose-6P_pos	tonB//rbfA//fnrS//idnR//edd//tehB//
CpxR-Phosphorylated_neg	livJ//napF//malP//hofN//yojI//ynfF//nanC//eda//modC//yfdE//zntA//rbsR//nupC//bglG//fldA//phnK//lpxD//rrlA//cyoB//tauD//fhuA//yjcH//ogt//envZ//
CpxR-Phosphorylated_pos	hybC//hyaD//aroA//ascB//hcp//gatC//lysP//yqjA//cytR//alaT//ydfH//xdhA//yccA//nagB//fadJ//nac//tdcC//cvpA//pstB//hslJ//fimE//caiF//ldtB//hmp//glcG//rrfE//entS//uhpC//yaiA//chbC//cysJ//napG//phnF//rutA//iscS//glnD//norV//nac//gspK//ydhW//prfA//cysD//ompR//csgC//lsrG//
CreB-Phosphorylated_neg	pgaC//malF//ygiB//
CreB-Phosphorylated_pos	nrdE//folA//lldD//putP//hyfC//uidC//
CueR-Ag_neg	rplB//lpd//gcvH//nac//sdhB//
CueR-Ag_pos	mgrR//ompR//
CueR-Cu+_neg	ompF//bamA//rbsC//phnF//mzrA//
CueR-Cu+_pos	mglB//lpxA//
CuerR-Au_neg	gntX//ycjX//hflD//sdhC//pgaA//
CuerR-Au_pos	nrfA//infB//
CusR-Pasp_pos	casB//trpA//thrV//hyaB//moeA//fepE//ansB//ilvG_2//hflX//acrD//rhaB//rpsR//
CynR-Cyanate_neg	hybC//
CynR-Cyanate_pos	uvrA//flhC//dadX//
CysB-N-acetyl-L-serine_neg	hpt//glnD//ahpF//purH//galS//ygiB//ydeJ//
CysB-N-acetyl-L-serine_pos	dmsD//oppA//metE//lsrC//agaA//garK//betI//osmY//nrfD//kbaZ//aspC//hycH//rybA//bcsB//oppF//rrfA//cusS//fucI//cadB//lysA//trpR//yaiA//gspE//
CysB-O-acetyl-L-serine_neg	manA//envZ//ssuA//dpiA//araC//lldD//cusR//
CysB-O-acetyl-L-serine_pos	oppA//ilvI//yoaC//uxuB//yfeW//thrS//tsgA//mhpE//soxS//sufC//glcG//pstA//ykgO//gspK//mtlR//ompX//ispE//feoB//ugpA//miaA//mglC//yoaC//ompF//rpoE//
DcuR-Phosphorylated_pos	dmsD//ydiU//fumA//tdcC//ompX//agaA//caiT//actP//rrlB//
DnaA-ATP_neg	nrdE//hyfG//nrfC//trmD//tdcC//malP//cusS//mipA//yhhY//alaU//treR//
DnaA-ATP_pos	feoA//ssuE//appY//appX//caiA//marB//hflK//
DpiA-Pasp_neg	cyoA//
DpiA-Pasp_pos	chbF//melR//modC//ynfH//yneM//cas1//xapB//znuB//cas2//bamA//
DsdC-D-serine_neg	bcsC//
DsdC-D-serine_pos	rrlE//ubiA//
EvgA-Phosphorylated_pos	hypA//dnaA//pdeF//bacA//ydeA//paaA//hofO//murP//azuC//fumC//sucD//sohB//ydeN//aidB//nanS//
FNR-[4Fe-4S]2+ reduced_neg	copA//envY//mglB//rrlH//garL//skp//fldA//araG//acrE//puuC//yneM//comR//hycE//citF//citD//glgS//cdd//argT//fucI//nanC//sucB//rdoA//phnF//tonB//alaA//manY//fhuF//amtB//csiE//yqjH//nrdF//livK//nupG//phoR//uidB//mdtD//rimP//nuoA//mpl//hupB//fepA//lpxB//csgG//aer//znuA//deoC//lysC//phnL//hyfC//idnK//mhpT//ydiU//fecI//tdcA//xdhC//rrsH//frdC//ompR//preA//nagA//tyrR//metF//tdcE//caiE//ycdZ//rutA//fdnG//focB//hybO//ccmG//livH//xylB//yaeQ//fumB//xapA//glgS//phnN//paaD//ccmE//mdtD//napG//hisP//feaB//ycdZ//cheZ//fumC//fliZ//rplD//bacA//rpsF//hha//pitB//hupA//argI//hyfF//yebE//sufB//moeA//yjiY//pyrC//hycA//ubiA//bcsA//ccmG//pstC//tehA//lpxD//yiaJ//sucC//rplM//hyfD//argB//qseC//rbsR//chbB//fucO//mgrR//phnC//rplB//tsgA//
FNR-[4Fe-4S]2+ reduced_pos	caiE//abgT//fdnG//cirA//fecA//rrsB//cusB//agaA//pepT//cysN//phnI//gpsA//epd//fimD//cas2//sucC//fecB//hofN//artQ//ybjG//ykgM//gltA//arcZ//xdhC//xylH//gntP//hflC//gatC//ydhU//emrK//aroA//soxR//hypB//ndh//appX//lpxD//rrlA//ansB//melA//cbl//rplS//tnaB//ubiA//tsx//guaA//atoE//osmC//fau//galS//fecA//garR//fdnI//tam//pheS//puuP//tomB//pnp//ybdN//rbsD//hybB//narI//argF//phnK//dnaE//ilvN//sodA//proP//paaB//ybdZ//pgaD//malF//ispE//mgtA//ccmC//pheS//patZ//deoB//ybdZ//hycD//cra//yhjC//galM//moaB//sufA//tcyJ//paaB//flhD//trpB//zraP//csiD//gabP//rcnB//mglC//sufB//ynfG//aceE//galK//ugpC//purE//bioD//hyfR//yhhY//ccmB//ycdZ//chiP//grcA//ugpC//nikR//gatZ//pitB//cusC//nuoC//uraA//appB//araJ//hdeB//cadB//fecR//lacA//thrV//xdhC//nrfC//cbl//ydhX//atoB//mdtB//fixX//puuC//envY//zraS//ychO//casC//stpA//cspD//soxS//livM//fecE//lysC//glpQ//yfaE//soxS//patZ//metN//ugpQ//tdcE//crr//allC//ilvX//rutG//yfdX//mzrA//ompT//rplW//fadH//fadL//paaA//znuA//nagB//atoD//paaE//upp//flhC//paaB//gspM//ssuC//nuoH//sucD//cysD//nagE//casA//narG//ispE//nohA//mntP//malK//yfaE//ansB//dsdX//iraD//argI//gabT//rutB//nanS//pepT//gatA//livF//moaA//nagC//baeR//envZ//araE//tfaQ//hflX//glpT//phnC//casB//dnaN//rrsH//lysC//malY//grxC//purA//
FhlA-Formate_pos	nuoA//fucU//dusB//atoD//uidB//bamA//dppC//artM//prmC//ccmB//oxyR//cysN//nrdG//sufS//nrfF//sxy//betI//znuA//oppF//citC//puuR//araG//metK//tsaE//uof//ldtB//ygeH//torD//feaR//guaA//
FucR-L-fuculose-1-phosphate_pos	xapB//sufC//bglG//yeiL//lsrB//fecR//mhpF//
Fur-Fe2+_neg	tauB//ugpC//torA//purB//cysH//araE//waaH//yeiP//grxD//entE//sdhA//gntP//trxA//glcE//nuoI//epd//bioB//nuoA//slyB//uhpT//map//fucK//fecD//glcD//metY//casD//treC//grxC//uxaC//sufE//uraA//nuoI//fdnG//xseA//efeU_2//fdnH//metL//mgtL//tam//bcsA//cynT//ccmG//ccmD//sucC//rpsF//hypA//iscS//copA//ydfH//moaE//mlc//frdD//tomB//xapA//nuoC//alaV//hybO//purM//preT//garR//nikC//cadC//yrbL//treR//hcp//soxS//cra//focB//glgX//narX//serC//fucK//aer//csiE//mgtL//gntP//chbC//agp//livF//purN//sufS//gcvT//aaeB//fdnI//xdhA//rpsO//skp//malF//gatC//nuoI//cusS//xapB//focB//glcG//ubiC//nrdF//envY//speA//rbsR//trpR//sbcC//nanC//moaB//ydiU//tyrP//lsrR//ydhX//dppB//serA//pgpC//glcE//zwf//adiC//torC//envZ//paaC//fucA//fadI//rrlB//nac//fucA//metA//cvpA//nuoM//
Fur-Fe2+_pos	bioB//icd//uxuB//aspA//cyoB//mdtA//appX//ydhW//ahpC//yjeF//uraA//tyrR//nuoF//gspJ//caiB//ysgA//rplC//nuoI//bioA//ugpC//fucR//zntA//tar//fiu//agaA//
Fur-Mn2+_neg	degP//ndh//fliZ//rpsI//cynX//narG//bioC//ubiA//evgA//borD//modA//moaE//tyrA//alaA//ompA//tdh//rutG//dkgB//hofC//fhuE//sohB//glnA//tyrB//yaiA//tpx//gdhA//glpC//modC//argB//lpxA//fucO//fucO//ybfN//speC//glpQ//rrfF//ykgR//casB//nuoF//phnN//ynfG//metH//araD//tauB//tcyJ//hofM//dcuB//yhhY//glcF//arcZ//fucK//dcuR//malE//ugpE//trpC//rrsB//ydeN//fadD//sbmC//fimI//guaA//qseB//citG//edd//rrfC//uidB//pgpC//rplV//mntS//hmp//fimF//nadC//ileV//gntU//ybfN//tnaC//acrF//metB//caiA//lsrG//fhuB//narH//rutA//purC//araE//flhC//sucB//glpF//xylR//srlB//metJ//sufD//glgA//xylG//ykgR//mdtB//ubiC//metI//bacA//alaU//osmY//ppdD//gspC//dppC//patZ//fecD//phnE_2//marB//argC//mscM//idnT//ygeA//astD//uvrA//entC//gdhA//cdd//livK//ilvX//hypB//zraP//gspJ//dapD//narH//
Fur-Mn2+_pos	paaK//yqjI//paaI//cysJ//bioF//pncB//iscR//entC//mgrR//ubiA//moaE//amtB//rplS//rseC//ybiT//ygeA//cynX//yfbR//moeA//entC//trxA//ccmC//recF//evgA//nlpE//
GlcC-Acetate_neg	cyoB//
GlcC-Acetate_pos	yqjI//rpoE//priB//tsx//rbsR//moeA//
GlcC-Glycolate_neg	entH//
GlcC-Glycolate_pos	fau//idnR//dcuC//ccmA//rpsJ//modB//
GlrR-Pasp56_pos	hisP//
IclR-pyruvate_neg	hyfR//aaeB//cadC//nagA//
IdnR-5-ketogluconate_neg	araB//efeU_1//nusA//
IdnR-5-ketogluconate_pos	ilvB//hfq//yojI//serA//fimA//
IdnR-Idonate_neg	gspD//entD//ydeN//
IdnR-Idonate_pos	fucI//cynT//pyrD//ydeA//ileV//
IlvY-2-acetolactate_neg	hycA//
IlvY-2-acetolactate_pos	rrlA//
IlvY-Alfa-acetohydroxybutirate_neg	sbcC//
IlvY-Alfa-acetohydroxybutirate_pos	xylA//
IscR-[2Fe-2S]1+_neg	feaR//hybE//mhpR//glnK//glgP//hypA//glnK//bglF//tar//xylF//cueO//ccmE//mepH//nikD//nrdI//gatC//ydhV//malE//modC//tdcF//pnp//lpxD//crp//cysJ//gcvT//casB//gutM//cydA//rutA//leuE//
IscR-[2Fe-2S]1+_pos	rbsD//caiC//ileT//yhhY//ybdZ//rplP//puuC//glrR//mdtD//metA//rutF//
LldR-L-lactate_neg	mdtD//marA//pagP//
LldR-L-lactate_pos	astB//gabD//rpsC//
Lrp-Leucine_neg	norW//recF//baeR//rimP//ydeP//glcE//ydiU//gspG//ompF//purA//ubiC//gspD//lysA//srlB//nfuA//galT//citE//atoD//ndh//ftnA//alkA//tauC//nrfD//ascF//gspO//hflD//phnE_1//aaeX//dsdC//idnO//acnA//ytfE//ubiA//malF//mtlA//fabZ//ssb//yhjC//iscU//rrfF//purN//nuoB//fdnH//yeaD//puuD//bamE//iscR//bamE//bglG//fau//cusS//rrlD//rimP//nikE//nrdF//mdtB//fhuA//pepT//gntR//hycG//glyA//nikR//mhpE//glnD//exbB//hofM//waaH//glpA//hflK//narQ//acrF//iraD//cpxR//tsr//ilvB//
Lrp-Leucine_pos	rhaT//casD//nanM//efeU_2//leuE//fecB//csgD//nagC//feoA//chbG//gspK//gadC//nrdH//cynS//glcG//fdnG//cysH//acrE//cheZ//entD//nupG//pncB//safA//dsdX//hdeB//gltB//malS//galT//xylR//rnhB//cusC//fucP//pgk//frdA//nmpC//
LsrR_neg	malP//hyfJ//emrY//lsrG//sxy//ogt//rplT//caiA//agaV//
MalT-ADP-Maltotriose_pos	tauA//tktB//tnaB//citF//araE//epd//hflK//garR//hyaF//nrdG//
MalT-Maltotriose-ATP_pos	xapA//ychH//ispE//bioD//gntR//metC//ilvB//yciW//rutE//hycC//
MelR-Melibiose_neg	citG//phoA//uidC//
MelR-Melibiose_pos	prpD//ompR//tauC//
MetJ-S-adenosylmethionine_neg	ulaF//mhpT//baeR//nirB//metY//phnL//ynfE//atoD//uhpB//ccmA//rrfC//fhuC//mntP//ynfE//rrsC//
MetR-L-homocysteine_neg	rbsR//mhpA//
MetR-L-homocysteine_pos	tktB//manZ//nrdA//citE//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	idnT//cysK//phoB//crl//lolB//hyfB//
MhpR-3HPP_pos	ilvL//zntA//gatB//oxyR//alkA//chbG//
MntR-Cd2+_neg	ompC//mhpE//cbl//hypA//
MntR-Cd2+_pos	prpE//
ModE-MoO42-_neg	purM//focA//hybF//rbfA//gltV//metR//fnrS//acrD//edd//tar//fimA//rhaB//yjjZ//oppD//hofM//
ModE-MoO42-_pos	araB//ydeM//yjcH//alaS//glnK//pdeF//evgA//grpE//purL//metH//rbsA//dgcZ//dsdX//rutA//adhE//phoB//phnF//araH//phoQ//ilvX//phoU//casA//preA//atoB//caiA//hfq//malM//gcvP//tnaC//rpsS//nirD//
NarL-Phosphorylated_neg	nfuA//rcnA//ccmD//ydhW//galM//nrfG//nagA//glnL//yeaR//hyfD//glpG//glpQ//glpK//srlB//gspK//fucP//rrfG//hybC//rcnB//yfeW//cdd//deoC//livF//rhaD//aldB//fepB//artP//xapB//livK//pyrC//lacZ//nikD//hybE//znuB//fimA//marR//fhuD//garP//frc//metR//paaE//tauA//ppiD//mgrR//hofC//betB//hyfF//bglB//mglC//ykgM//dadA//pitB//pdeF//eda//alaV//ptsG//tcyJ//focB//tdh//nikE//ydeP//oppA//norV//fiu//glgS//hyfH//casB//psd//osmY//alkB//cynS//lrp//cyoA//metI//ycdZ//mipA//acrB//mdh//hybC//ygiC//fimD//pgaB//yibN//manA//prpR//rplP//
NarL-Phosphorylated_pos	ydeP//uxuA//gspE//yaiA//metR//yeaD//agaW//fepA//hypB//rrfB//hisJ//lamB//hyaF//hyfJ//dsdX//oppA//ccmG//bioA//hofB//ybdZ//tdcG//rplM//fliA//fdhF//ychO//ygeA//gcvP//yqjA//paaZ//kbaZ//ykgR//ccmD//hyfB//rimP//spy//cheW//sufE//rrsD//melR//tauB//rrlB//soxS//nirC//gatC//yfaE//rrfH//
NarP-Phosphorylated_neg	tsr//oppA//gutM//fadE//fumC//secB//entC//hcp//rrlH//yqjH//rplW//nirC//manY//purK//glpR//ccmA//rplW//napC//cyoA//ldtB//glcD//appA//citC//hdeA//tyrA//ychO//ilvH//yeiW//nusA//treB//yeaE//znuC//ulaF//
NarP-Phosphorylated_pos	psiE//paaZ//arcA//yeaD//csgE//treB//phnN//sucA//prpB//rrlC//artI//rof//betI//amiB//mhpE//fbaA//sufD//rrsB//dcuB//emrK//fdnH//murP//hycE//gadB//ompR//malK//phnE_1//focB//torD//rrlB//abgT//purN//
NhaR-Na+_pos	ynfK//sdhC//oppD//osmC//ilvI//
NikR-Cd2+_neg	rrsH//paaF//csiE//rstA//glcA//hycD//
NikR-Co2+_neg	sufC//oxc//arfB//phoQ//rrsC//metR//
NikR-Cu2+_neg	hycH//cirA//phnL//ykgO//mdtC//pitB//
NikR-Ni2+_neg	ssuD//borD//acrA//flhC//fixB//chbB//
NikR-Zn2+_neg	ada//chiP//cysM//argB//hyaE//rpsQ//
NrdR-ATP_neg	bioB//pgaA//ileV//cydB//glpQ//idnD//narI//hypB//glcD//
NrdR-Zn2+_neg	nuoI//hyfG//gapA//tnaB//rrlC//cspD//pgk//hyaA//trpC//
NrdR-dATP_neg	hisP//nohA//tcyJ//iraM//baeS//ilvD//iclR//narG//ygiC//
NsrR-[2Fe-2S]reduced_neg	alkB//yeaD//grcA//malK//rrlA//mcaS//nupC//glnK//lysU//ydfH//uxuB//evgA//slt//gltB//hydN//casD//thrV//treC//rseC//lhgO//gcvT//mdtA//gadC//purE//uhpA//glpE//mdh//mhpC//cspD//acrB//paaI//actP//ydhU//argO//phoH//appA//caiC//ydeP//rhaR//exuT//fadH//gcvP//edd//gadB//degP//gspI//rmf//cydB//narX//ptsH//serA//comR//phnJ//sdhA//hemL//gntX//ysgA//arcA//ygaC//araC//modA//adiC//yecR//galT//soxR//rplB//dapD//amn//araJ//psiF//gpsA//cydA//livG//
PhoB-Phosphorylated_neg	nuoL//tyrB//hofN//rpoS//malY//modC//rrfE//thrS//ydhW//phnG//cusF//agaW//oppB//
PhoB-Phosphorylated_pos	fecD//allD//cspE//nikR//nrdI//bcsZ//srlR//csgD//yggX//cusC//metL//appC//moeB//fumC//zwf//xdhA//ccmB//livF//gadB//priB//acrD//hisJ//sxy//rbsB//rmf//pdeF//tsr//priB//cyoE//purN//glpD//hcp//gntP//nrdF//psiF//gdhA//secB//nupG//glpT//glpK//garP//phnE_2//araC//gltA//moaC//glpQ//cheY//malG//codA//nuoJ//paaI//hyaB//garL//
PhoP-Phosphorylated_neg	cbl//sodA//gspJ//paaH//trmD//rpsC//trpD//mdtB//fimI//ompT//gntP//
PhoP-Phosphorylated_pos	cydB//yaiA//hybO//cysN//hyfI//cheY//exbD//acnB//flhD//moaB//ulaC//csgC//cysD//glpX//osmC//rutG//hdeB//nanC//nlpE//aidB//betB//trmD//ihfA//yibN//mhpF//phnL//purF//ilvB//tdcE//map//manA//gspE//dppA//ssuD//glpC//aaeA//mgtA//yoaG//csgD//cbl//prpB//cysC//yeiP//nanE//fecB//napB//fhuC//dadX//cyoD//
PrpR-2-methylcitrate_neg	trpC//
PrpR-2-methylcitrate_pos	yegH//fepB//dpiA//tsaE//
PurR-Guanine_neg	bglG//chbF//hisP//pncB//hybC//glpA//cyoE//gltD//malZ//ydeN//rstA//flhC//yaeQ//entD//tfaQ//ytfE//psiF//rpoS//oxc//grxD//caiB//gabT//uidB//chbC//fau//ppiD//astC//metA//purB//ebgA//phnG//fepA//tdcF//feaB//
PurR-Hypoxanthine_neg	argF//dsbA//betA//metF//hycG//malP//hycI//mutY//gntR//infC//appA//recF//carA//glmY//recF//prpE//cusF//entF//motB//cysJ//tehA//sbmC//hfq//cysJ//ycdZ//entC//rimP//tauC//malY//hisM//bamA//nuoJ//fucR//aaeB//
QseB-Phosphorylated_pos	malP//garL//rpsO//fucK//
RhaR-L-rhamnose_pos	acrA//atoB//
RhaS-L-rhamnose_pos	citE//hemL//napH//
RstA-Phosphorylated_neg	ileU//purC//lsrK//galP//comR//
RstA-Phosphorylated_pos	rpsP//cheA//nuoG//zinT//rrfG//
SoxR-[2Fe-2S]3+ oxydized_neg	dapB//
SoxR-[2Fe-2S]3+ oxydized_pos	hycA//gltV//paaI//
TorR-Phosphorylated_neg	cysJ//
TorR-Phosphorylated_pos	yfdV//cyaA//norW//mgrR//flhD//stpA//ssuC//fnr//yfeW//
TrpR-Tryptophan_neg	zwf//puuE//gntU//yhhY//tyrP//amtB//argH//nrdH//ulaA//rpsP//tap//fliA//
TyrR-L-tryptophan_neg	motA//tauA//yeiL//rrlA//torA//allD//idnD//gspD//cyoB//lysO//phnE_2//ascF//
TyrR-L-tryptophan_pos	amtB//ubiA//xapA//
TyrR-Phenylalanine_neg	aroH//lpxD//argB//chbF//fimD//rpoH//metB//moaD//rhaR//rplI//sodB//ompF//
TyrR-Phenylalanine_pos	malP//baeR//aroP//
TyrR-Tyrosine_neg	cirA//atoD//treB//sbcC//katE//miaA//garP//paaK//gabP//yaeP//pstA//rbsR//
TyrR-Tyrosine_pos	uhpB//ugpE//bcsB//
UhpA-Phosphorylated_pos	malE//
XapR-xanthosine_pos	araJ//yfaE//
XylR-Xylose_pos	puuA//dmsA//tar//napF//xylG//cynS//
ZntR-Cd2+_pos	phoR//
ZntR-Hg_pos	marA//
ZntR-Zn2+_pos	modA//
ZraR-Phosphorylated_pos	ugpC//narX//dcuC//
Zur-Zn2+_neg	iscR//argO//ascF//malS//ulaF//caiB//
