#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	exuT//psd//
ArgR-L-arginine_pos	rutA//srlE//gutQ//dusB//fecE//
AtoC-phosphorylated_pos	gltA//nuoM//rrlA//yhjC//
BaeR-Phosphorylated_pos	ycdZ//iraD//azuC//codA//glnA//rpsF//katE//ygbA//
BirA-bio-5'-AMP_neg	metK//casD//csgC//fimH//znuA//
CRP-cAMP_neg	cusC//yaeP//gspO//crr//argB//cheY//phnH//yfbR//paaI//nagB//rhaA//ryhB//rrsD//uxaC//nanE//nrfC//rbsK//moaC//araF//nlpD//ada//cpxA//aroP//ulaC//gyrA//tdcD//deoB//nagE//nuoF//modB//yhfA//prpC//dpiA//pflB//yoaG//ccmB//fnrS//truB//rrsA//srlE//fimI//sxy//creB//ansB//tadA//metA//torR//rrlG//znuC//yeaR//speA//hslJ//tomB//deoB//yebE//ilvM//argT//mgtA//ubiC//cysH//rrfF//nadC//galS//mhpC//psd//cheY//metL//idnR//gatA//trpA//betB//ssb//flhC//sbcD//mdtC//aspA//gspG//ydhT//astB//ybdN//fixX//nuoN//narJ//purK//xylB//bioA//ykgM//cusF//lsrG//gspF//lacI//marB//yfdX//hycG//oppF//purH//psiE//phoA//ilvB//uraA//sxy//rpsP//hybE//cyaR//ebgA//hyfJ//rrfC//ompT//recF//mhpD//aceK//rybB//fhuB//dcuA//entH//araC//phoP//rnlA//ssuC//cydD//moaB//oppC//lsrK//caiF//map//mgtA//dcuS//lpd//nanM//aroM//preT//yojI//nrdA//
CRP-cAMP_pos	fhuD//atoB//fecI//ydhU//glrR//hflX//ynfF//gabP//melR//oppD//moaD//ugpA//eda//ydhY//hycG//rplP//galS//hycB//fimH//fepD//gcd//spy//emrK//chbB//dsbA//prmC//fdnG//xdhC//cstA//bcsB//fimA//fimH//bcsC//xdhC//mhpT//crr//emrY//pstS//rutA//ccmD//ptsG//ynfG//ynfH//rpsQ//araG//glcF//deoD//marR//caiA//rhaD//entS//sucC//ftnB//purN//cirA//chiP//exbD//ugpE//ilvB//amiB//appA//fucA//phnK//rybB//argF//dppC//tdh//copA//phoQ//gcd//cysB//pgaB//xylB//rrlE//rplW//rhaA//cysH//lacY//fepB//purF//rrfF//galT//gabT//moeB//sucC//caiA//puuC//ebgA//malX//ygeH//narL//ydhV//hofM//infC//tnaB//phnN//ydbD//ulaF//gatZ//pgaC//aceE//yqaE//napD//hyfE//cusB//gltB//ispE//tam//cyoC//aldB//trpA//norR//glcA//ykgR//rpsJ//yhhY//evgS//spf//ybfN//fes//kbaZ//atoE//yjeF//idnR//aroH//idnT//cdd//srlR//hycC//gatZ//frdA//crr//yidQ//exbD//rnlB//mglA//malQ//norR//glnK//hyfB//acrE//phoQ//mdtB//chbF//hisJ//borD//livG//entC//fldA//rrfB//malK//cueO//nikC//cpxR//hyfA//sufB//sroD//creA//mgrB//mhpA//hyaF//nrfD//metR//pgaA//feaB//torC//oxc//pyrC//fimD//nrdB//borD//betB//cyaR//yeiL//aceK//nanM//ychO//rplT//rprA//gnd//ybfN//nuoI//fucP//garR//tyrB//rnlA//glgC//rpmC//dcuD//pgaA//purA//prpC//osmC//tyrP//borD//sufD//torA//citG//puuC//sbcC//lsrC//dnaA//cas2//rrfD//yibN//arcZ//metF//hflX//aer//trpL//gltT//tyrR//tsgA//rcnA//lldD//oxyR//phnH//ompC//xylB//rhaB//dpiB//zraR//amn//artP//gspO//xylH//ydhV//aaeR//dppD//sdaA//malS//prpR//sufA//puuA//yhjC//hypA//aspA//ampD//comR//rplP//ubiA//metE//trpB//moeB//glyA//fecE//rrsG//tar//yidQ//hybB//gatY//ulaD//crl//nuoB//idnO//aspA//dcuA//mhpB//purR//cheR//ftnA//nikD//nrfG//modC//frdD//nirD//ytfE//casE//gadB//ugpC//rrlE//serC//caiT//ldtC//uidC//lacA//lysU//purF//uhpT//ccmG//norR//gntX//yfaE//nikA//gdhA//pstS//glpK//csiE//bioC//betB//motB//cheW//ldtB//fhlA//rbsD//araA//glpF//hflC//frc//puuR//ugpE//uhpA//gutM//malS//nikB//deoA//yjeF//rrfA//carB//paaC//flhC//rstB//folA//cyoB//csiE//gntK//prfA//puuR//crl//astD//cysW//dppB//prpB//srlA//purA//fucR//zwf//gltV//narQ//mhpB//cheA//grxC//nrdG//chbR//rof//phoR//bcsA//phnM//puuA//infC//kbaZ//hyaA//ccmE//cyoA//yfbR//prfA//fhuB//ykgR//tsaE//lacA//mtlD//mhpF//hyaB//znuA//nrdH//hisM//rrfD//ackA//rpoH//cheW//fecB//puuP//focA//degP//mgtL//hcp//rrlB//araJ//bcsB//entF//gntX//nac//cysG//allC//fbaA//manZ//mhpR//ada//dcuR//phnN//chbB//bioF//yhcH//rof//citE//fepG//gntT//lsrB//gspE//arcZ//hfq//glrR//proP//narK//codB//galE//chbG//ppiA//hycH//tauB//dpiB//araA//argR//hisQ//tdcB//moaA//nikE//caiT//phnI//trg//araE//bioC//rhaT//aceB//nuoN//fepE//rpoE//metB//hofP//fixX//acrE//glcB//glcA//lysA//fecI//ung//gltT//feaB//fadD//
ChbR-Monoacetylchitobiose-6P_neg	chbA//dadX//pck//carB//cyoB//napD//
ChbR-Monoacetylchitobiose-6P_pos	iscS//ydeM//fadE//manZ//gspO//cpdB//
CpxR-Phosphorylated_neg	sdhB//ileT//cusF//rplC//yfeW//degP//cheY//pta//yeaR//murP//nusA//glpE//garP//alkA//pncB//acrB//paaZ//csgG//nrdA//azuC//dcuS//cysG//creD//chbG//
CpxR-Phosphorylated_pos	cheB//pgaA//abgA//aldB//dcuB//uhpC//cyoE//lacZ//sdhA//cysG//idnO//nlpD//dcuS//malQ//envZ//ccmA//cusS//katG//glgB//hybD//gltU//livH//caiF//glpK//rrlD//sucC//gspH//glcD//tauC//chbA//emrK//fliZ//tdcG//glnB//fhuE//eda//ygbA//galS//ahpF//glgX//alaU//metA//ansB//gspL//purD//
CreB-Phosphorylated_neg	puuC//moaC//feoA//
CreB-Phosphorylated_pos	nuoI//ydfH//ilvA//metF//cusA//paaC//
CueR-Ag_neg	codB//prs//hofM//motA//ynfK//
CueR-Ag_pos	ndh//yjiY//
CueR-Cu+_neg	citF//narI//modA//yjcH//purC//
CueR-Cu+_pos	chbG//rseA//
CuerR-Au_neg	soxS//rcnB//citX//dsbA//feaB//
CuerR-Au_pos	glnD//hmp//
CusR-Pasp_pos	puuE//trpB//hslJ//fliA//metQ//ulaC//dkgB//entS//aroL//treC//infC//fliZ//
CynR-Cyanate_neg	nrdA//
CynR-Cyanate_pos	casA//paaI//ssuB//
CysB-N-acetyl-L-serine_neg	sdhD//thrS//manA//cynR//alaT//napC//yoaG//
CysB-N-acetyl-L-serine_pos	srlR//ascB//torC//ygiC//bioF//nikR//udp//yhcH//csiE//cusS//nrdG//nuoM//hofO//patZ//napH//fucI//artQ//rbsR//narL//xdhC//caiT//tdcB//rrfG//
CysB-O-acetyl-L-serine_neg	prfA//puuR//ulaF//idnT//bdcA//rrlC//soxS//
CysB-O-acetyl-L-serine_pos	fucK//atoE//phoB//efeU_1//aspA//chbF//amn//fucU//nrdE//trpC//gntX//mglB//znuA//borD//glnL//ilvA//glpC//qseB//pyrD//betB//entH//purE//lsrA//napC//
DcuR-Phosphorylated_pos	manA//kbaZ//degP//tktB//napB//acnB//flhC//hslJ//safA//
DnaA-ATP_neg	phoU//phnC//dcuC//livF//ilvB//glnK//tap//hybA//nuoH//flhC//fepE//
DnaA-ATP_pos	gatZ//fhuB//marR//csgF//hdeA//feoA//rrlB//
DpiA-Pasp_neg	amtB//
DpiA-Pasp_pos	fixC//fimE//melR//glcD//fnr//tar//gcvT//ykgM//epd//mgtL//
DsdC-D-serine_neg	dcuD//
DsdC-D-serine_pos	moaA//oppB//
EvgA-Phosphorylated_pos	ulaE//patZ//nlpE//glpB//creC//metJ//phnE_1//mntP//alaV//tdcG//paaF//hofB//hcp//fhuF//metQ//
FNR-[4Fe-4S]2+ reduced_neg	ptsG//frc//ychO//phnC//argP//malK//appA//cysM//artJ//yhhY//pgaD//rpoE//tnaA//napH//lldR//dkgB//xseA//ybiT//phnI//rrlB//napD//serA//rplV//dppB//rutG//rrsE//speB//phnN//xapA//rprA//nuoM//dsbA//ansB//hyfH//lacY//glpX//raiA//phnE_2//lpd//tehA//yegZ//fepG//norV//dmsD//rpoS//idnO//lsrR//rrfB//hyfF//oxyR//kbaZ//folE//gutQ//phoP//nikD//rseA//gltT//deoC//alaA//acs//rrlD//mglC//phnM//pyrD//glgA//fhuA//uhpC//astC//mgtL//pgaD//moaC//yeaD//puuA//yaeQ//rrsC//soxR//glpD//cra//dusB//fes//ulaB//nikB//ychH//umpH//rplI//uxuR//uof//fixX//xapB//chbR//ompC//ccmG//rpsR//xdhA//epd//fixB//pflB//putP//pdhR//rstA//ynfK//ascF//uxaC//argF//caiC//lacZ//hycD//nadC//aceK//gltT//folA//cysN//gadC//aroA//gabP//fliA//rseB//tauD//frdD//hofN//
FNR-[4Fe-4S]2+ reduced_pos	ptsH//dmsA//mlc//yhiD//hyfE//fhuA//stpA//ssuA//rrsC//dppD//nuoG//sodB//ygiC//ydhW//marA//hlyE//tyrA//ptsG//trpL//upp//skp//glcE//chbF//yqjH//idnO//ykgM//lldP//ung//pdeF//purC//puuA//cueO//csgF//rseB//modC//slt//atoD//phoR//artJ//pyrD//metQ//sbcC//bglG//betI//fimH//cyoC//yoaC//galS//napH//ydiU//psd//crr//tsaE//gatY//tehB//abgB//idnO//chbF//csgE//fabZ//hydN//cydB//dppB//sucA//melB//hflX//cysK//lysC//grpE//cusR//tomB//grcA//argA//alkA//fimG//tadA//fdnI//sufB//lsrD//garL//citD//ileT//rhaA//hybC//allC//atoA//dgcZ//cusA//citG//upp//malG//abgB//nrfA//ycdZ//nagC//asr//hemL//zwf//galS//rplW//paaJ//ydhV//araD//purM//yfdE//yqjA//agaA//map//puuC//glcD//tomB//rnlB//dusB//aaeR//gntU//xapB//leuE//sbmC//gutQ//edd//iscR//mglA//csgE//xdhA//abgT//grxD//xylF//hisQ//argP//rnpB//tyrA//rrsA//chbF//malS//argD//lsrF//lsrD//mltC//tdcG//metA//ydeN//codB//ampD//aceE//cyaA//ccmF//mntP//ygeH//fimI//ybdZ//appC//uraA//ompA//tdcC//alkA//dpiB//tolC//paaD//narQ//gntR//glrR//miaA//rcnB//flhC//gspD//dadA//fucU//nlpE//fhuF//rnhB//mntS//xseA//ysgA//srlD//yeaE//mdtB//ychO//yegH//hycA//garP//garP//tpx//nikR//rbsK//ygiB//yeaE//rrfG//feoC//rrfC//hyfD//iraD//nrdB//cadA//lacZ//phoA//yfiP//mltC//rybB//xseA//bioB//entE//ascB//
FhlA-Formate_pos	ugpC//chbA//fixA//yhhY//tyrB//fadH//ynfE//lsrK//mipA//glpB//csgF//aceF//ansB//hyfH//cydA//pyrD//purK//lsrD//rstB//sucC//sufS//gspG//purR//srlR//hycD//purR//cyoA//acrF//hdeD//yhiD//
FucR-L-fuculose-1-phosphate_pos	yeiB//ychO//araG//astE//erpA//ugpC//bcsB//
Fur-Fe2+_neg	glpC//mgrB//dadA//betB//fur//hyfD//fnr//nrfC//zinT//aaeX//flhD//rrfH//hybG//rseC//appC//acrA//bioB//metC//narL//fucO//crr//glgP//mdtC//cheZ//cydC//citD//rhaR//mntP//metC//metY//metJ//tdcC//allC//acrE//ilvG_1//galE//agaW//lpxD//ynfF//nlpD//ppiA//astD//dppD//gutM//nanC//hyaA//cysP//spf//livG//chbG//osmC//fixB//pgaB//iraD//nadC//rrlC//serC//ssrS//rnlA//ompR//rplT//hisQ//xdhA//cusB//fixX//gcvP//bcsA//arfB//nrdE//cheA//ygiC//map//hdeA//adiC//tdcE//yoaG//nrfD//cdd//paaG//ydfN//gspK//xylF//pheT//rrlB//bdcA//deoA//narJ//metY//gabT//hupA//rcnA//malM//mtr//nrfE//argB//purF//casA//cspD//lrp//gcvP//rhaA//purH//crp//yfiP//rybA//exbD//gabP//zwf//xdhA//hdeD//hofO//exbB//livF//metE//ugpA//glnK//aceB//casD//nrfD//cysN//hofN//araF//astD//efeU_2//
Fur-Fe2+_pos	grxC//garP//moaE//nuoB//ftnB//gspO//fepB//fau//iscA//uxaC//fhuB//aaeB//glcE//hofP//purC//yqaE//tdcB//csgC//metA//mltC//zraR//xapB//ykgO//prmC//hfq//
Fur-Mn2+_neg	aceK//tehB//fimA//emrK//argC//nanK//gutQ//hlyE//znuA//nanM//glpF//argA//artJ//srlA//gdhA//fucP//acrE//crp//appC//hyfH//cas2//metQ//zraS//livF//preA//yfbR//glpC//nrdI//livM//yebE//glgB//flhC//gabD//yciW//flhC//ynfH//gntR//entD//nuoM//katE//glcB//rhaT//mglC//ampD//tdh//argP//dps//astD//lsrR//ybfN//gspO//fixX//rnpB//nrfF//sucD//argA//lsrD//tomB//zntA//rhaD//envZ//ccmF//fhlA//csgG//yojI//purE//yfiP//cynT//livG//acrA//tauC//iraD//alaT//xapA//rimP//fhuB//nrdF//rhaS//uxaB//csiD//dcuS//nuoM//rimP//torD//flhC//hofB//yeiL//lacZ//nrdE//ilvN//rbfA//recF//rrsD//mhpB//atoE//purN//idnD//lsrF//cydB//hypA//metE//tdcD//citD//gatD//rrsB//gcvT//hflK//yjjZ//aer//tsx//rrlC//mtlR//ydhT//ybdN//rnhB//hisQ//argG//fepC//trg//xylF//gatD//hyfD//napG//mgtA//
Fur-Mn2+_pos	lpd//glpQ//oppA//nac//degP//gltB//mglC//melB//lrp//ydhU//ykgR//tpx//rdoA//tdcF//ydhT//cstA//ugpQ//melA//rrfE//paaF//napA//hycC//norR//uxuB//hybO//
GlcC-Acetate_neg	abgA//
GlcC-Acetate_pos	rybA//crl//yqaE//metC//yfaE//ubiX//
GlcC-Glycolate_neg	chbR//
GlcC-Glycolate_pos	fdnH//malP//nagB//pgaB//cysA//chbA//
GlrR-Pasp56_pos	prpR//
IclR-pyruvate_neg	cynR//glcC//fecI//frdB//
IdnR-5-ketogluconate_neg	entB//yjcH//spy//
IdnR-5-ketogluconate_pos	nikE//fimE//sufB//galM//rutD//
IdnR-Idonate_neg	srlE//rhaS//purH//
IdnR-Idonate_pos	glrR//malI//hslJ//sodA//livM//
IlvY-2-acetolactate_neg	nuoG//
IlvY-2-acetolactate_pos	iscU//
IlvY-Alfa-acetohydroxybutirate_neg	adhE//
IlvY-Alfa-acetohydroxybutirate_pos	yhjA//
IscR-[2Fe-2S]1+_neg	yhhY//rbsD//lysP//yjcH//rnhB//sbmA//phnM//deoC//purM//codB//artJ//ycdZ//gutM//livJ//metB//yeiL//tfaQ//hisJ//livM//alaT//rrfB//dnaN//cusS//artJ//tdcE//edd//focA//nrdF//ugpB//fis//
IscR-[2Fe-2S]1+_pos	fimH//raiA//bcsB//garL//chbF//cysC//ubiX//fumC//yeaE//yidQ//uxaA//
LldR-L-lactate_neg	purB//acnA//metB//
LldR-L-lactate_pos	ubiG//rrfG//rrsG//
Lrp-Leucine_neg	mntP//codB//yccA//yeaE//rpoH//cusR//hcp//betT//gntX//tsgA//ptsI//puuA//argC//tyrA//rplT//amtB//mhpC//nusA//uidC//nrdB//yaeP//appY//phnL//oppD//sufB//fixA//sbmC//fepE//mpl//frc//yhcH//edd//nanE//srlB//moeA//malI//ulaB//gabD//recF//speB//gltB//lysO//paaF//fecA//galE//aldA//chbG//betI//upp//ompC//bamE//patZ//phnP//yhjA//yeiP//nikA//cadB//nuoI//fecA//fimH//carA//rbsR//galS//treB//amn//fadL//mlc//malY//lacA//mntS//hmp//narK//glgC//hisM//chiP//
Lrp-Leucine_pos	sbmC//artJ//ilvI//yaiW//hybO//torR//gntX//dcuA//crr//fepC//mepH//focB//exbB//alkB//ccmH//phoA//hdeA//uhpT//aceB//gspO//csgB//focA//uhpA//narQ//yojI//dsdC//mtlR//marB//fhuE//pstC//qseB//appB//moeB//ssuA//gabD//
LsrR_neg	aroF//gdhA//rrfC//ompF//uof//dadA//srlD//araE//sxy//
MalT-ADP-Maltotriose_pos	cydA//yeaE//paaD//argG//srlE//hcr//rrsC//tonB//mpl//gltD//
MalT-Maltotriose-ATP_pos	treR//arcA//zraP//infB//tadA//allC//cas1//srlA//pgaB//puuR//
MelR-Melibiose_neg	nrfE//ccmH//prpC//
MelR-Melibiose_pos	rrlE//glpF//yhhY//
MetJ-S-adenosylmethionine_neg	puuC//malP//ftnA//acrD//nuoB//rutC//pgpC//paaE//hlyE//ycdZ//ccmC//oppF//appA//moaA//rutB//
MetR-L-homocysteine_neg	ccmF//napG//
MetR-L-homocysteine_pos	manX//entE//fucA//ygiC//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	allC//chbF//fhuA//glgC//bglF//ung//
MhpR-3HPP_pos	oppC//yegH//sucC//betB//copA//nlpD//
MntR-Cd2+_neg	purL//caiA//gntR//mtlA//
MntR-Cd2+_pos	rcnA//
ModE-MoO42-_neg	narQ//prs//yegH//puuC//rbfA//chbR//ssb//ydbD//fecD//degP//rrsH//lldD//rseC//chbF//malP//
ModE-MoO42-_pos	yfeW//citD//ulaB//paaZ//fimE//nac//glpT//rrfE//ugpC//trxA//dsdC//ccmF//tdcE//ssuC//trmD//ykgR//fimE//katE//galM//hyfC//glpD//idnO//hybF//moaA//cytR//cydD//hupA//fadI//tonB//exuT//gcd//
NarL-Phosphorylated_neg	cysG//znuC//dsdC//hcr//tauB//fimF//glpK//ulaC//hflC//murQ//deoB//gatZ//rutB//cynR//ccmF//fdhF//nikR//lysC//treC//nikE//yaiW//fecB//hupB//xylB//tauB//ydhX//appC//psiE//hycA//preT//crp//yggX//uidA//thrS//rcnB//yeaD//dkgB//flhC//citE//hycF//ssrS//aceB//hycF//mdtB//tdcB//rhaS//moaE//rrlB//mdtC//yegH//gltT//puuE//codB//ugpC//yaeP//uhpA//rdoA//mdtC//cadA//gspO//tauC//rcnB//fecC//kbaZ//gltV//proP//glpE//uof//qseC//fepA//phnE_1//dnaN//paaK//cdd//nuoA//ilvG_1//frdD//yeiB//mntP//raiA//gnd//sufS//cadA//rimM//prfA//ccmE//
NarL-Phosphorylated_pos	gcvT//mdtD//degP//ihfA//iclR//tpx//bioB//rpsO//appC//cysP//speB//creC//betA//arcA//rnlA//cysB//ulaB//envZ//ydhU//rpsS//moaC//oppD//trmD//glgP//ccmA//epd//gspD//acrF//sufB//garP//aroL//iscS//upp//ydhT//nuoG//spf//hemA//glpA//malI//glcC//infC//napH//yegZ//miaA//fabZ//yoaC//
NarP-Phosphorylated_neg	icd//nagB//appY//hisP//dmsA//sdaA//malP//yegZ//gltA//znuC//cbl//hyaB//norW//rplW//gatB//rplT//rrfD//gabP//yneM//glcC//bcsA//grcA//pstA//bdcA//aidB//srlA//icd//moaD//erpA//rbsR//ugpB//artM//tsr//
NarP-Phosphorylated_pos	alaT//murQ//tdcE//nuoC//ccmA//glnD//malK//xylF//upp//pheM//glcB//lsrG//agaW//fucO//ubiC//ugpB//malG//mntH//manY//glcG//galT//tap//rybA//katG//tyrA//rrlG//mglC//cysM//tomB//fixA//appY//fimA//
NhaR-Na+_pos	ugpC//araB//nuoH//torR//glcC//
NikR-Cd2+_neg	codA//mutL//nanC//gltW//sufA//deoD//
NikR-Co2+_neg	psd//nrfD//cyaR//treR//mdtC//psiE//
NikR-Cu2+_neg	tdcB//ileU//ubiC//tsr//yfeW//pyrC//
NikR-Ni2+_neg	bcsB//phnP//mntH//sroD//yeiL//cydB//
NikR-Zn2+_neg	caiC//fbaA//pstA//bamA//rpsC//zwf//
NrdR-ATP_neg	fecI//treR//phnN//lhgO//rhaB//amtB//miaA//cyoC//rrsG//
NrdR-Zn2+_neg	lysA//purL//sufD//hcp//lrp//speB//pgaB//yciW//fis//
NrdR-dATP_neg	feaB//gapA//fimD//tdcB//cynR//hyaE//garK//cyoC//dsdA//
NsrR-[2Fe-2S]reduced_neg	aaeB//rplV//acrD//mdtB//betB//hybD//glnD//chbR//purK//mhpC//rutF//nlpE//ptsI//yaeP//hybG//nagE//fecD//dsbA//aer//rplI//dppA//gatY//moaD//ubiA//ftnA//rplB//cysK//cheW//yeaD//mhpR//cdd//moaE//lsrR//xylF//bcsZ//azuC//iscR//glcF//mgtA//hupA//micF//lldR//tolC//bcsA//baeS//fau//tdh//fixA//lsrR//gatA//csgG//fhuB//ygiC//metH//carB//puuE//rcnB//glpA//gapA//sroD//hemA//dctA//ldtC//hycB//bglF//ftnA//fadB//glcC//znuC//aceK//yhfA//alaV//phnF//
PhoB-Phosphorylated_neg	cyaA//gltB//purC//ileV//yaiW//araG//ssrS//gcvP//sufA//dsdC//ykgM//uxuR//tsx//
PhoB-Phosphorylated_pos	glgB//nrdD//glmY//tar//paaJ//hycC//mgrR//mtr//ssuE//bcsZ//lpd//cyaA//kbl//nuoI//mpl//araJ//puuD//frdD//rplV//ychO//ynfG//mutY//narH//ybjG//metC//rpsO//astC//sucC//rhaT//bioB//cueO//znuA//hyaE//codA//aldB//malT//mntS//allC//cysN//ldtC//nagE//adhE//narK//gcvH//tolC//araG//cheY//exbB//hupB//lpxB//ynfH//glcG//ybiT//
PhoP-Phosphorylated_neg	spf//rrsB//pitB//ssuE//casE//ebgC//bhsA//paaG//csgG//cueO//purN//
PhoP-Phosphorylated_pos	psiF//yhhY//malS//aspA//uhpA//cydD//marA//rrfF//phoE//yfbR//deoB//glrR//fecC//puuR//metI//ulaD//gltB//aroF//paaC//fdnG//hyfC//ccmF//yhfA//rutF//entB//phnE_1//yfeW//aspC//phnL//yfdE//nanK//ydeP//argC//fecC//feaR//chbA//paaD//agp//baeR//grxD//cheY//ssuC//malG//glpA//puuR//fepC//gltF//yeaD//ilvH//
PrpR-2-methylcitrate_neg	caiC//
PrpR-2-methylcitrate_pos	cynS//gspK//trpC//nusA//
PurR-Guanine_neg	rplT//grxC//ybfN//gltT//paaJ//ung//uxaC//rplW//mtlA//argD//guaA//glpF//sufB//fucO//acnB//tauC//puuB//modB//nrfE//nuoH//bcsZ//purH//infC//yjiY//glnB//rrlA//gltD//lacI//glgS//bamE//dmsC//rhaD//ydeJ//hyfB//
PurR-Hypoxanthine_neg	hemA//iscA//tam//paaC//bcsC//ydfH//hisQ//xdhA//ebgC//yqaE//narQ//metY//mtlA//manY//mzrA//betB//fixX//gltB//yaeQ//preT//pgaB//cspD//nuoE//gltF//metQ//bioB//degP//allD//degP//glpD//dpiA//metL//hupA//araD//
QseB-Phosphorylated_pos	metL//dmsA//ilvM//hycB//
RhaR-L-rhamnose_pos	betI//tam//
RhaS-L-rhamnose_pos	fimH//rnpB//nohA//
RstA-Phosphorylated_neg	aroA//moaE//fhuE//rbsA//mpl//
RstA-Phosphorylated_pos	ugpB//phnG//malE//cpdB//tpx//
SoxR-[2Fe-2S]3+ oxydized_neg	uhpT//
SoxR-[2Fe-2S]3+ oxydized_pos	adhE//yjeF//lsrK//
TorR-Phosphorylated_neg	metY//
TorR-Phosphorylated_pos	sufB//pheM//yfiP//aaeX//rbsA//srlB//ydhX//phnN//aroP//
TrpR-Tryptophan_neg	mhpB//malP//fadL//aspA//feoB//trxA//lrp//tyrB//tpx//xdhB//yrbL//lsrA//
TyrR-L-tryptophan_neg	ygeH//fhuC//ahpF//ivbL//creA//paaH//caiT//tnaB//uxuR//ssuD//nrdB//puuD//
TyrR-L-tryptophan_pos	cpxA//hyaC//alaT//
TyrR-Phenylalanine_neg	gatB//ompT//moaD//tyrB//iraM//nanS//yegH//rpsP//ssuB//ahpF//pgaB//purD//
TyrR-Phenylalanine_pos	gspO//tdh//rnlB//
TyrR-Tyrosine_neg	ahpC//lsrG//aceE//rplW//acnB//narH//hyaD//ilvX//gntT//gltD//tauC//rrsG//
TyrR-Tyrosine_pos	pgaA//ldtB//cvpA//
UhpA-Phosphorylated_pos	aceE//
XapR-xanthosine_pos	speC//citC//
XylR-Xylose_pos	metF//hyaD//ychH//malI//bamE//citE//
ZntR-Cd2+_pos	zraR//
ZntR-Hg_pos	ccmA//
ZntR-Zn2+_pos	cytR//
ZraR-Phosphorylated_pos	spf//rplP//znuC//
Zur-Zn2+_neg	ychO//ybfN//rrfD//frdD//metY//ykgM//
