#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	ugpB//dgcZ//
CRP-cAMP_neg	tyrB//cytR//rutE//puuP//ilvG_1//evgA//casE//yedX//gntT//zraR//hybO//sucC//nikA//dmsC//ihfA//znuC//ydeJ//cyoC//ulaE//paaF//mhpA//trpA//hfq//xseA//entH//gspM//agp//entS//ysgA//deoD//serA//rrfC//hycB//livF//pepT//gltF//soxR//lsrC//glnL//flhC//nagB//paaJ//dmsA//argH//metY//ompA//rrlC//mdtC//ygaC//zraP//ysgA//ydhU//emrY//pyrD//rimP//dcuR//cusA//nikR//rbsC//uhpC//hlyE//fepC//mdtD//yegZ//rrsC//csgE//gltV//yegR//tonB//ynfG//tdh//ilvD//napF//gltT//uxaB//gatZ//nirB//ilvX//citD//dadX//cysP//trpL//lsrB//norR//narL//nagB//nuoB//bioC//fixA//treB//yoaC//livH//tyrR//murP//garR//gatB//folE//folA//lacY//melR//tehB//yedX//dctA//edd//tolC//gntK//lpd//norW//nanC//gspK//sbmA//melB//ygiA//hybD//cheZ//napF//yeaD//fucU//alaS//yqjI//garP//cusF//ppdD//preA//yeaR//rprA//norV//phnM//rimP//pgaD//astA//alaV//cra//
CRP-cAMP_pos	rbfA//gpsA//rutD//hofP//acnB//rpsI//allD//manY//tcyJ//yhjC//narH//ccmC//ptsI//cysG//glpA//ompW//trxA//aroP//lpxA//prpB//yaeP//glnL//nac//aaeR//frc//araJ//ppiA//araF//phnP//fucR//ilvI//tsr//yfiP//glpG//tap//hyfC//argA//ycdZ//tdcE//mtr//ebgC//allE//bglF//lpd//thrS//hybC//comR//paaG//rrfE//aroF//mgtL//nrdA//ilvE//fucP//ccmD//cpxA//cyoC//tauD//livM//rrfC//hemL//napF//fadJ//nuoC//zinT//paaZ//chbF//fepD//aceA//araH//artQ//cheA//prs//ilvH//bhsA//hyfH//rimM//dsdX//garK//galS//artP//nusA//ccmD//metH//ppdD//serC//agaW//glcA//hycI//marB//malP//mutY//fhuE//idnO//hypF//degP//gatD//ybdZ//aspA//thrV//fdnH//lysA//galT//gltV//xdhC//citX//ptsG//ydeJ//aaeX//araE//psiE//mdtC//galS//fdnI//ompW//garR//galS//mscM//lldR//pstA//envY//livG//tomB//csgC//exuT//nirC//fau//mgtL//tnaB//fimF//ilvY//astA//glpF//spy//argP//narK//rbsK//yaeP//ysgA//yaiW//paaZ//exuT//caiC//yhfA//hyaF//ppiA//speB//nirD//moaC//aaeA//yeiB//aroH//zwf//rhaA//hfq//uxuA//pta//glnK//ampE//citX//ldtC//xdhB//ahpF//tolC//tsx//purN//sucB//casC//fhuC//malY//phnC//rpoE//nac//hlyE//astB//nikR//cynS//glgB//nusA//entA//garR//cyoD//gcvP//glcG//dsdA//cirA//pgaD//yibN//chbF//entF//gspK//narI//tam//ycdZ//aceA//dgcZ//guaB//yneM//ulaA//iscS//bcsC//ccmA//phnO//phnI//rhaR//fecA//epd//mdtA//rpsC//ulaC//yneM//ilvE//hmp//exbD//ydiU//bdcA//speC//atoE//trpE//puuR//deoB//atoB//astB//pgaC//priB//tdcA//mhpT//yhjA//evgA//rpmC//exuT//pgaD//gcd//tauC//narL//rrlG//tdh//thrS//ilvL//hyfH//tcyJ//dppB//gltD//narX//gltD//xylH//rplM//dctA//bcsA//nusA//ulaB//xylA//rhaA//rrsB//napH//rrsG//rrsC//yrbL//acrA//appX//yhfA//osmY//mdtC//dctA//cydC//lhgO//focB//rpsC//gatC//hybA//fldA//mglA//yibN//fabZ//artQ//focB//ilvM//metA//sdhC//mntH//soxR//glgB//entF//miaA//chiP//lsrG//casD//rcnA//phnH//acnA//ulaC//hyfG//hypA//casB//entB//moaA//nuoL//cheW//tsgA//glcG//purA//rpmI//uidB//phnL//uxaC//rpsO//znuA//ampD//tdcC//rplI//cysW//fepE//glpQ//bglG//idnK//rhaB//ydeN//gspL//glgA//oppB//ybdN//bamE//dppA//cysC//lysP//cirA//ebgC//ogt//edd//marR//mlc//phoP//csgG//argT//garP//hisQ//aceA//glnD//paaE//astA//amn//gyrA//alaV//betI//map//glcG//nrdE//nirD//cysA//hlyE//rutF//fabZ//galP//uhpA//puuC//spf//torA//alkB//argC//argO//ompC//fucU//narX//hofP//murQ//glnD//ilvG_2//ybiT//phnM//hycB//araF//mntP//pdhR//fhuD//ilvE//fadD//xylH//abgA//mgtA//ompT//argT//fhlA//metK//ydeO//rnlB//hycH//ssuC//cysI//prs//sufD//cynR//hyaE//fumB//yqjH//gltW//dnaN//fdhF//nrdD//citF//yhfA//crp//rutF//tdcA//ydeM//yidQ//napA//hfq//ydhT//astA//dmsD//agaA//ilvN//livK//amtB//feoB//gspK//dadA//nanT//tauA//hflK//ybiT//rutB//nuoH//xdhA//csgC//uxaA//rpsP//tdcF//tyrA//
ChbR-Monoacetylchitobiose-6P_neg	fucK//lolB//cirA//yccA//speB//nikA//
ChbR-Monoacetylchitobiose-6P_pos	cynX//glcF//melB//entB//rseB//gltA//
CpxR-Phosphorylated_neg	fimI//fucI//gspD//xdhC//mglB//allE//glgP//iscU//ilvG_2//gspF//yjeF//acnB//gatB//rnlA//lrp//rutG//nanT//gadC//rplD//ilvH//baeR//carA//mdtA//ssuD//
CpxR-Phosphorylated_pos	nohA//ilvN//tktB//hupB//ogt//ahpC//rrsB//gabT//argC//gyrA//tdh//thrS//malZ//fdhF//manZ//xylG//araE//nanE//rpsP//entE//nrdG//fdnH//glgX//ybdZ//argP//rpsP//cusF//cynS//rstB//stpA//cysM//ydeA//rrlD//tyrA//nrfC//malF//dusB//cyoB//trpA//rbfA//yqjI//priB//stpA//tauB//psiF//
CreB-Phosphorylated_neg	hyfD//folA//qseC//
CreB-Phosphorylated_pos	motA//fimH//pgk//sucC//amtB//citX//
CueR-Ag_neg	gltB//yeaE//sxy//deoA//hybE//
CueR-Ag_pos	torA//rcnA//
CueR-Cu+_neg	rutD//envZ//fadA//cheR//fecE//
CueR-Cu+_pos	malS//dkgB//
CuerR-Au_neg	hyaE//paaE//arcA//ftnA//allE//
CuerR-Au_pos	manX//avtA//
CusR-Pasp_pos	citC//glpC//hyfI//metE//ileT//ansB//nrfG//tdcB//fiu//oppD//nusA//avtA//
CynR-Cyanate_neg	argE//
CynR-Cyanate_pos	napF//metF//fhuE//
CysB-N-acetyl-L-serine_neg	putP//zraR//bcsB//rrlH//nrfB//nikB//cstA//
CysB-N-acetyl-L-serine_pos	artM//thrV//hybD//argF//argG//fau//ygbA//gpsA//cusF//acrF//tdcA//ynfH//yecR//phnN//nlpE//ileU//artM//osmY//abgT//dmsB//mtlR//fumC//galT//
CysB-O-acetyl-L-serine_neg	malS//gatD//fumB//abgT//aldB//yhhY//mtlA//
CysB-O-acetyl-L-serine_pos	phnD//aroP//rbfA//yfbR//dppD//gntP//ydhW//rimM//dnaA//ulaE//hofM//yegH//mhpE//bioB//ykgR//ybjG//garL//moeB//yjcH//paaZ//cysI//yebE//rcnB//ilvM//
DcuR-Phosphorylated_pos	fimF//ulaA//gltF//chbF//caiE//flhD//glgB//hmp//paaG//
DnaA-ATP_neg	fucA//fecI//rrsB//purN//udp//yqjA//galE//srlD//fepD//uof//metY//
DnaA-ATP_pos	umpH//entE//metC//nikD//rpoH//zntA//phnH//
DpiA-Pasp_neg	grxC//
DpiA-Pasp_pos	purR//nanK//metK//rrfB//artP//rplP//glpX//glcF//pgaA//cra//
DsdC-D-serine_neg	hybG//
DsdC-D-serine_pos	speC//lysC//
EvgA-Phosphorylated_pos	ompA//phoE//mntP//grpE//manY//hdeD//purC//yeaE//tyrP//deoC//tktB//gutQ//tauB//hycG//cynS//
FNR-[4Fe-4S]2+ reduced_neg	astB//bglB//speC//gatD//bglF//torA//gntP//tyrB//malE//rimM//hisJ//nanS//nrfG//appB//cydC//rrsA//phnH//psiF//yfbR//gntT//fepA//malS//gadB//ydfH//nuoE//tam//fimI//cysA//murQ//ndh//hycD//lysU//ppdD//uxaC//murQ//ulaA//hybC//deoD//mglA//crl//yegH//fdhF//miaA//yccA//ygiC//rrsB//glcC//dsdA//astE//phnN//speB//rrfB//uvrA//argF//cyoC//cusF//nadC//yjjZ//fadE//qseC//fdnG//argT//tauB//srlD//pdhR//lacY//grpE//ileV//araF//gltT//rhaD//phnJ//uxuB//ompX//yeiB//carB//metC//ycjX//mgrR//lamB//upp//livF//exuT//tnaB//preA//fadI//pgaB//sufA//rrlB//gutM//rbfA//rutF//purE//citC//paaF//ileU//psd//rbsR//rhaR//nrdE//idnO//metF//cysN//thrV//caiF//dctA//lsrD//creA//fepB//yeaD//hisP//pnp//udp//bglG//abgB//fadL//gatC//cysP//melB//pepT//
FNR-[4Fe-4S]2+ reduced_pos	fhuD//moaB//waaH//ubiC//tauC//purE//ynfF//nrfG//pepT//miaA//gspD//iraM//gpmA//slyB//gatZ//arcA//csgG//hyaB//srlB//yjcH//lpd//acs//pdeF//ydeA//pitB//dcuC//rstA//focB//nirC//pstA//rplI//gnd//puuD//dapD//atoD//argR//mhpE//norV//hisP//yfdX//aroG//yiaJ//phnC//fadJ//manX//uraA//gutM//gntX//srlB//metR//cdd//casB//cysP//gspF//glcE//rpsS//evgA//bioC//bamE//dnaE//hypD//csiE//rrlA//znuA//artI//rplM//hlyE//torD//gspG//cytR//napB//mntH//glcB//ccmG//gyrA//fdhF//dcuR//ugpB//metI//tonB//trpL//emrK//cydB//rnlB//waaH//znuA//motA//cyoA//puuP//fadE//tehB//yrbL//osmC//metF//rpoE//chbB//arcA//araC//marA//glpB//fumC//glcD//phnG//rmf//rybB//gspF//cheR//zntA//rprA//rutE//baeS//adhE//citG//malZ//gabT//rimM//tdcG//glnK//flhC//mgrR//gltF//nrfG//creB//purE//nohA//srlA//bioC//mzrA//pyrC//glcF//ppiD//grpE//zraS//safA//argR//yegH//purM//cheY//ilvI//nuoN//dnaE//phoE//nlpD//uhpC//hofN//ilvB//gatD//cueO//hybF//malX//hdeA//ulaA//malT//gadB//lpxB//uidB//entD//allC//nagC//malM//sxy//puuD//pstS//gspI//nac//rutB//ascF//dnaE//ebgC//gntX//ompF//hdeD//glgP//bioA//rbsC//trpC//rutC//yhiD//arcA//xdhA//appB//yciW//xapA//uhpT//eda//amn//tomB//mutL//hdeB//yciW//rpmI//trg//aidB//ompR//phoR//phnE_1//rplC//rseA//mgtA//nuoL//pnp//ihfA//
FhlA-Formate_pos	puuA//deoD//rrsA//dcuS//rpoH//emrK//creA//sufB//ung//phnC//prpE//mepH//alaV//emrK//fdhF//pncB//hofP//yccA//ompF//crl//gspO//rutE//citD//narK//mtr//hslJ//yeiP//gcd//ssrS//cpxA//
FucR-L-fuculose-1-phosphate_pos	rrfH//fecI//mglB//ilvY//abgB//fimD//rrfH//
Fur-Fe2+_neg	paaI//chbC//argC//garP//aaeA//glpR//lpxA//fis//norR//flhD//bglB//garP//rrfA//ysgA//idnD//dnaN//cynR//rcnB//actP//ugpC//lysA//rplT//malM//amn//mhpD//csgF//tsaE//ygeA//aroP//rutG//tnaA//rbsR//hypC//phoR//acrE//phnE_2//frdA//malZ//ydeN//hybO//prpC//nrfF//gspI//deoD//torC//yggX//hyaD//marA//treC//cpxR//hypF//cspD//aer//mutY//entD//nuoH//nupG//nuoB//nupG//lldR//bglF//yjjZ//lysA//raiA//metR//metH//phnN//ompW//hdeB//fixA//rdoA//bioB//gntR//tdcA//lpxB//metR//ilvH//nirC//marB//cbl//tdcG//sufS//garP//gpsA//efeU_2//kbl//lpxD//nanM//hycE//nirD//nrdE//aldA//rbsR//ompC//hybE//uxaB//ulaF//cpxR//yidQ//katE//truB//tyrA//ydiU//rpoE//rbsR//ilvE//alkB//argC//hyfF//fdnI//fhuB//glpE//mscM//bcsA//gnd//caiA//phnH//sbmC//argP//umpH//codA//fnr//torR//oppD//
Fur-Fe2+_pos	rpoH//puuB//ompW//glcF//fdnI//yqjI//alaV//rplM//gntU//sucB//folA//aroA//hybC//aceA//rrfC//betT//safA//dps//osmC//fadH//sroD//dps//melA//ccmG//argI//
Fur-Mn2+_neg	borD//uxuB//rrlG//hisM//ydeP//fadA//bioB//phoE//mdh//ssuA//ilvG_1//ilvM//cpxA//frdD//ulaC//abgT//rrlB//ygiA//ydhU//srlD//gspD//appC//hybD//trxA//acrA//sbmC//arcA//galP//tyrA//yciW//gpsA//hemA//ydiU//nrdB//alaV//cysN//aroM//fldA//ccmE//murP//fepD//moaC//oppD//rdoA//cas1//nohA//glpA//glcC//betB//ryhB//xylG//bcsA//cusR//evgA//glgB//torC//rutG//fhuE//rrsC//hypA//idnR//skp//gadC//rof//oxyR//argH//glpQ//phnH//garK//ptsH//kbl//yfbR//hflK//yneM//phoA//dmsC//aroG//hmp//cysC//rplI//atoA//mdh//araH//alaA//metN//cyaA//tdcE//sufC//ubiG//nanA//fliA//hybF//srlB//fixA//lolB//nanK//dsdX//feoB//tehA//znuA//gspE//rstA//zraP//pheT//ompX//purE//csgB//leuE//yggX//fepD//envY//ftnB//bacA//ychH//trpE//ydhV//yhfA//iscA//cynX//dppA//rbfA//hybD//mdh//katE//
Fur-Mn2+_pos	fliZ//sucA//glpD//lldD//fadJ//hdeB//epd//hybE//lacY//cas1//adiC//dcuS//mhpA//hdeB//glnD//feaB//norW//hycA//narL//proP//yegR//malZ//gabD//raiA//bioA//
GlcC-Acetate_neg	mglB//
GlcC-Acetate_pos	lysC//ccmE//ycjF//znuC//phoE//sufB//
GlcC-Glycolate_neg	baeS//
GlcC-Glycolate_pos	glgA//fabZ//uidA//treR//fecC//tehB//
GlrR-Pasp56_pos	alaA//
IclR-pyruvate_neg	pck//uhpA//amiB//ydfN//
IdnR-5-ketogluconate_neg	hflC//nuoH//epd//
IdnR-5-ketogluconate_pos	dppC//yciW//glpA//hha//xylH//
IdnR-Idonate_neg	yfaE//cadA//alaV//
IdnR-Idonate_pos	cysP//tadA//nrfE//crl//dmsC//
IlvY-2-acetolactate_neg	phnF//
IlvY-2-acetolactate_pos	lrp//
IlvY-Alfa-acetohydroxybutirate_neg	cydD//
IlvY-Alfa-acetohydroxybutirate_pos	trpB//
IscR-[2Fe-2S]1+_neg	nikC//fadH//yfbR//araE//uxaA//yaiA//flhD//fliZ//codA//infC//ilvG_2//dapB//rutD//phoR//leuE//sbcC//rstB//dcuA//gcd//dkgB//pagP//gabP//narG//aidB//dadX//feoA//glcE//nanT//glpG//pdeF//
IscR-[2Fe-2S]1+_pos	hisM//tehA//manY//gapA//pdeF//trpC//astD//prfA//nanT//ycjX//rrlE//
LldR-L-lactate_neg	mhpR//nrdD//rpsS//
LldR-L-lactate_pos	narQ//mltC//osmY//
Lrp-Leucine_neg	mgrR//narQ//slt//grxD//exuT//bioD//tap//ydeA//nuoC//hslJ//rbsB//uidB//allE//artJ//fucP//yojI//raiA//nikC//grxD//oppF//ssuB//moaB//fau//fecD//moaE//nuoF//yaeQ//yjjZ//metB//folA//rpmC//eda//moeB//yeiB//mtlR//yeiW//yfdE//gspD//fiu//mscM//gdhA//argR//yqaE//gpsA//ahpF//cspE//ubiC//nagA//caiA//xapB//gyrA//ompA//xdhA//ydeO//hybA//pta//pepT//gutQ//tdcA//hcr//yiaJ//adhE//carB//fepG//aaeR//livM//dmsB//sdhA//napC//lsrR//nikR//rrfD//bglB//modA//nrdD//
Lrp-Leucine_pos	malQ//dppF//idnT//bglF//gnd//aroA//lsrG//exbD//uxaB//glnB//speB//abgB//mtlA//mgrB//dcuA//fucU//cheW//oxc//evgA//nrfC//tonB//grcA//hyfB//nuoI//aroM//artM//zraR//ubiC//fau//creA//betI//hycH//yqjA//bioD//yhiD//
LsrR_neg	motB//rplT//uxaB//uhpA//lysP//cra//metA//xapA//dkgB//
MalT-ADP-Maltotriose_pos	malQ//ccmD//rpsP//yeiW//yfeW//fadB//purL//gpmA//cpxA//ydhX//
MalT-Maltotriose-ATP_pos	ygeA//ccmE//folE//glnL//acs//rplI//fepC//ilvX//ppiD//fimE//
MelR-Melibiose_neg	dctA//sbcC//exbD//
MelR-Melibiose_pos	deoC//sufE//envY//
MetJ-S-adenosylmethionine_neg	ebgC//phoB//cheR//rnhB//ompX//fucP//ccmE//oppA//bioF//hupA//rutC//malP//hpt//chbC//rutA//
MetR-L-homocysteine_neg	zraP//idnT//
MetR-L-homocysteine_pos	guaA//oppB//sbcC//sbcC//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	phoA//nrdF//sucD//ycdZ//trpA//aroP//
MhpR-3HPP_pos	dmsB//tam//caiT//gntT//citE//tdh//
MntR-Cd2+_neg	yegH//nanK//glcG//livH//
MntR-Cd2+_pos	puuP//
ModE-MoO42-_neg	citC//ybjG//gcvH//hcp//mhpT//dppA//fecA//fbaA//citD//aroH//tdcD//nrdG//moeA//ssuD//sdhA//
ModE-MoO42-_pos	pheM//marB//hupA//xylG//rbsA//hycI//livH//phnG//cysI//lsrD//tcyJ//comR//cirA//arcA//cas2//kbl//cpxA//galM//paaB//phoA//srlD//soxR//phnK//rbsB//mhpE//frdB//ssuE//nirD//paaA//lpd//ytfE//
NarL-Phosphorylated_neg	gspM//hlyE//nanK//ydhW//ygbA//agaA//mhpR//cysB//znuC//hmp//norR//torR//katG//rybB//sbcD//rrlD//rstA//hyfA//hmp//mhpT//yeiB//nagE//aceA//gatA//ygiA//sdhD//ydhW//sucB//hyfE//ccmE//cbl//mscM//idnR//bioD//tomB//glpE//ada//yeaE//glmY//malP//norW//argC//sucD//ydhV//abgT//yegZ//katE//codB//yqjI//napG//xylG//gspC//fixB//ssb//hyaF//malM//pgaA//agp//glcD//glcA//trpR//chbC//nikD//psd//nrfD//sbcC//atoB//ileU//grxD//exuT//rrsA//mhpR//zraR//fimA//narG//gntK//tap//feoA//iclR//citD//yhhY//cpxA//artJ//pheS//tomB//hslJ//
NarL-Phosphorylated_pos	safA//lysP//recF//cstA//ubiA//paaG//amtB//hyfG//cusA//hmp//rrfE//napC//tonB//fixX//nikD//lldD//chbA//caiB//hpt//bioA//baeS//mgtL//glgP//hisM//moaC//cheZ//pnp//allC//bcsZ//araE//paaH//fucI//ygaC//gntK//metJ//mpl//appC//hofN//glpB//pgaA//nrdI//rseA//fes//yhhY//cadB//metF//
NarP-Phosphorylated_neg	argR//truB//allE//feaB//glnB//gspJ//ytfE//atoA//ftnB//dmsC//fepE//mhpD//rnpB//puuB//phnK//pdhR//rhaA//nrfF//napH//argO//zraR//fepA//umpH//yeiL//nagB//ubiG//fepG//ccmG//dppC//sufE//rutB//lpd//osmY//
NarP-Phosphorylated_pos	hmp//ubiC//sodB//phoE//mglB//narG//hflD//aaeR//cynT//dsdX//ybdZ//narJ//fimH//tsaE//purH//cyaR//soxS//tdcA//tap//evgS//aceE//dsdA//dmsB//yebE//rutF//livJ//aceF//modB//purB//rcnB//abgT//malP//
NhaR-Na+_pos	ldtB//frc//speC//tfaQ//ydhU//
NikR-Cd2+_neg	acrA//motB//csgD//rrfG//metL//glpA//
NikR-Co2+_neg	znuB//purC//oppF//lacY//fhuB//actP//
NikR-Cu2+_neg	csgB//nrdD//tehB//lysU//chbR//gdhA//
NikR-Ni2+_neg	chiP//mgrB//casC//astC//pstC//ynfE//
NikR-Zn2+_neg	narX//mgtL//bcsZ//hofN//nupG//tauC//
NrdR-ATP_neg	rcnA//melR//ebgA//purK//purE//nohA//prpC//tnaC//nlpE//
NrdR-Zn2+_neg	ilvY//marB//cvpA//gpsA//fbaA//nuoK//yeiP//trxA//ydbD//
NrdR-dATP_neg	paaI//nupG//xapA//dcuA//paaJ//lpxD//borD//gnd//rstB//
NsrR-[2Fe-2S]reduced_neg	astE//entH//dmsA//yecR//malQ//csgG//napD//iscA//livM//trpR//phoA//nuoC//rplI//sufC//hyfE//phnF//hisP//tadA//norW//fecB//treR//pgpC//kbl//livG//tpx//hycH//evgS//ycjX//gadB//entS//lacZ//codA//phoA//purE//fucU//citE//hofC//garK//hyfE//rrsD//tdcC//paaI//ychH//phnE_2//glpB//mntH//aldB//gltB//yoaC//dsbA//frdC//fimI//fecC//edd//mutL//gatD//cysA//aaeA//garL//cysM//mscM//nuoJ//yjcH//gapA//gadC//argO//metN//sucA//crr//arfB//hycC//hyaF//agaA//
PhoB-Phosphorylated_neg	dmsC//bamE//ydbD//stpA//yfbR//pitA//phnJ//arcZ//metH//metY//alkA//zntA//rrsD//
PhoB-Phosphorylated_pos	mpl//ccmB//agp//motA//ykgR//paaD//ybdN//xdhA//dcuS//creD//gatD//truB//dppD//waaH//hybE//grxD//moaA//idnR//pgaC//rpsP//hha//alkB//fdnI//metL//katG//rnlB//phnP//aaeX//cusS//gpmA//sdhC//yjeV//mgtA//tyrA//cpdB//hycB//glcD//casE//oppC//speA//dmsA//acrA//uxaA//ccmF//csiD//entS//ccmG//lsrR//pck//glpC//hycF//napD//galK//
PhoP-Phosphorylated_neg	epd//pstA//bhsA//nikB//glpT//motA//mglC//rnhB//malQ//cvpA//metQ//
PhoP-Phosphorylated_pos	rpoS//mutY//cyoB//fdnG//entD//purB//yecR//fadJ//araE//citE//oppB//oxc//gnd//dppC//ilvL//yeiB//rpsI//fimH//glgX//caiE//pheM//araD//hcp//fliZ//xseA//bglF//malK//phnL//hycC//acrD//fnr//acnA//glnD//ulaB//araA//abgB//dmsB//agaV//yfiP//phnE_1//ompR//aceK//hypC//ilvN//speC//fepA//hyfC//recF//pyrD//
PrpR-2-methylcitrate_neg	ivbL//
PrpR-2-methylcitrate_pos	rrsH//creC//ccmF//phnJ//
PurR-Guanine_neg	glgX//frdB//nuoA//motA//hyfC//cpxA//appB//ydeN//spf//araE//ydhU//tdcF//psiF//gabP//uhpA//gadC//ychO//pstC//hycD//ulaD//marA//galP//nohA//glgP//aer//nirC//oppB//nuoN//rpsS//yhjC//fdnG//caiB//gntK//nuoH//
PurR-Hypoxanthine_neg	icd//hofP//ycjX//cpdB//cyoD//astE//dpiA//glpB//napC//nrfC//cusS//hofM//micF//hyfD//metI//caiT//crp//ssuE//ompC//cydC//mntH//pstB//deoD//qseB//artQ//galE//astC//rybA//glpB//sufA//paaA//phnO//fhlA//arfB//
QseB-Phosphorylated_pos	trmD//nrfG//nikC//aceK//
RhaR-L-rhamnose_pos	osmY//rnlB//
RhaS-L-rhamnose_pos	xylH//talA//cusR//
RstA-Phosphorylated_neg	nuoL//dsdA//ssb//ilvA//fimE//
RstA-Phosphorylated_pos	purC//caiD//gatB//nuoG//ychO//
SoxR-[2Fe-2S]3+ oxydized_neg	hycE//
SoxR-[2Fe-2S]3+ oxydized_pos	hyaC//rutA//rpsI//
TorR-Phosphorylated_neg	fixC//
TorR-Phosphorylated_pos	putP//entF//yebE//garK//cirA//tauA//ydfH//tdcC//ompR//
TrpR-Tryptophan_neg	oppD//cysH//sroD//hybC//lysC//malP//fes//purD//ssuA//sucB//tehA//pepT//
TyrR-L-tryptophan_neg	mcaS//glnK//tauA//trxA//csgC//acrB//sxy//lldD//rybB//fepE//glmY//nikA//
TyrR-L-tryptophan_pos	hupB//nac//pck//
TyrR-Phenylalanine_neg	phoQ//nagB//gatD//yqaE//feoB//malY//mgtL//glgA//thrV//ascF//glpG//puuA//
TyrR-Phenylalanine_pos	rnpB//udp//cheY//
TyrR-Tyrosine_neg	yaeQ//baeS//fnrS//ilvI//tdcC//uhpA//atoA//gspJ//fadI//polA//rseB//ftnB//
TyrR-Tyrosine_pos	gnd//epd//cusC//
UhpA-Phosphorylated_pos	argP//
XapR-xanthosine_pos	fhuC//cra//
XylR-Xylose_pos	fucO//tonB//fimD//torC//argE//mipA//
ZntR-Cd2+_pos	rbsR//
ZntR-Hg_pos	appC//
ZntR-Zn2+_pos	galM//
ZraR-Phosphorylated_pos	glcB//fldA//allD//
Zur-Zn2+_neg	aroF//galT//aroM//fadD//hycC//gspJ//
