#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	hyfI//ydhV//
CRP-cAMP_pos	pflB//acrD//rpsC//pgk//narX//csgE//melB//rutB//motB//hemL//lpxA//ascB//iraD//csgF//lldP//glpC//sucD//gspK//moaD//yjiY//prpR//pyrC//rutG//ssb//secB//hypB//purB//fecD//tolC//rrfA//gltB//metN//hcp//nlpD//tfaQ//glgP//ppiA//yfiP//rutD//rpsI//dps//gatD//gcvP//nanM//katG//yaiW//glpK//hypD//pepT//ndh//cynT//moaB//napG//atoD//yaiA//livG//murQ//gatY//tar//tomB//dsdX//uxaC//astB//phnM//nadC//cheA//tonB//pheM//betT//trmD//pepT//preT//fadJ//codB//pnp//rcnB//avtA//asr//aspA//putP//citX//ilvD//narG//astB//caiE//lsrR//araB//ydeA//entS//fliZ//cyoE//ileU//yoaG//mglA//sroD//ccmA//thrS//znuB//mgtL//cydD//ychH//aspA//rpsS//astC//nuoJ//astD//sodA//trpE//xylR//aspA//rbsK//folE//caiA//rpsR//mntH//nuoI//hisP//rpoE//fecR//rrlE//amiB//nrdI//nanS//cspE//mdtD//csiE//cyaR//yggX//napC//iscR//dcuB//caiE//phnF//cusA//fliZ//frdB//tdcA//pstB//ileU//cyoA//sdhC//ygiA//cysB//argO//yhiD//rhaB//ilvG_2//gabD//narK//nuoC//codA//speC//rutB//creC//mpl//malT//casA//rpoE//psiF//ybfN//mdtD//lldP//chiP//mglA//rbsD//hofO//rrsE//caiC//sucD//xdhC//ileT//hemA//hdeA//glgC//dkgB//gltF//ygiB//marB//hyfI//dmsC//fucK//rrsC//tdh//grpE//yqjH//tauB//ascB//sdhC//pstS//puuD//rrfA//hha//sxy//gcvT//araG//deoD//hisM//deoB//nagC//agaV//hypF//fliA//yegZ//cyaA//gspL//ilvN//phnF//preT//focA//rutA//hslJ//glgX//astB//casE//rseA//iscS//pheT//manY//katG//cadC//glpX//nac//yegH//pheS//ppiD//mdtA//entD//dkgB//prpE//cadB//dsdC//glpD//prs//nrdI//rrsC//iscR//rpsP//gntX//hyfA//pheM//dcuB//ychH//yiaJ//nuoL//yfaE//malK//dsdC//motB//rbsA//appC//cydD//napA//cbl//talA//sufS//glcA//rpsR//qseC//trxA//rrlH//mgtA//cysG//ulaE//crl//rrfE//tdcA//bcsB//rhaA//mutL//norV//prpC//purC//araD//yhjA//galS//glpB//tauA//baeS//ydeN//yqjI//ilvG_2//ppdD//cysJ//aroF//marA//yaiA//mgrR//exbB//ilvL//hslJ//malI//fecD//hisP//lpd//mhpF//sroD//nuoB//glnB//efeU_2//rrsE//glgX//tfaQ//gntT//ygeA//paaK//rmf//sodA//gspM//artP//bioF//appA//gspM//hyaA//zwf//livH//fdhF//rpoH//ygiC//argB//avtA//garK//ychH//cydA//fixX//creD//aceA//frdC//casA//casB//paaB//rrsD//fucA//mhpA//aroA//prfA//ccmG//hofO//iraM//uvrA//trxA//serA//pstC//ybfN//sbmA//ulaF//ilvC//uxuR//purD//sufA//acrF//nagA//cirA//ycjX//rbsD//rstB//mcaS//narI//iscA//garR//nuoF//cspE//galK//uhpA//glgS//grxD//ssb//gpsA//galS//prpE//sufC//ygeA//rseC//rhaD//paaH//fumA//bioB//moeB//nrdG//cynS//rutE//yjcH//ubiC//cysN//nikC//rrfG//argB//dcuA//mutY//tdcE//glpX//rseB//yegZ//casB//lacI//yaiW//ilvN//ycdZ//malK//fadE//mdtD//bhsA//sdhA//nikR//ykgR//nuoK//mhpT//gadC//rpoE//ascF//pepT//phnD//arcZ//ulaC//yaiW//amn//hdeB//preA//yeaD//sufD//iscS//yrbL//gspM//katG//cysB//mdh//rpsP//hyfG//galK//cysK//
ChbR-Monoacetylchitobiose-6P_neg	mntS//rplI//glpC//yibN//casE//hisM//
ChbR-Monoacetylchitobiose-6P_pos	ulaC//allD//phoR//moaD//abgT//deoD//
CpxR-Phosphorylated_neg	aroH//dsdA//galP//hflD//rmf//glcF//treB//cyoB//ampD//aroG//gltF//gdhA//acrA//copA//mtlR//ilvX//cstA//rbsD//mdtB//ybiT//nanK//uhpA//infB//treB//
CpxR-Phosphorylated_pos	acnB//nrfC//flhC//exbB//argB//slyB//rrsC//tpx//cheR//feoC//nanC//ykgM//nrdE//tadA//phnE_1//puuP//ascB//fadA//lldD//envY//hypA//yhjA//uof//fadH//yfiP//galP//xdhA//yaeP//rrsE//tsx//sodB//gutM//rplB//lysC//cyoA//hupA//hupA//hycC//hybE//moaA//slyB//sdhB//dppB//iraD//moeA//
CreB-Phosphorylated_neg	phoR//baeR//tsx//
CreB-Phosphorylated_pos	aroH//hofP//dmsA//metQ//melR//csgE//
CueR-Ag_neg	modA//gatD//gltV//uidC//hisP//
CueR-Ag_pos	carB//ssuA//
CueR-Cu+_neg	glgA//lysA//nagC//micF//borD//
CueR-Cu+_pos	lysO//xapB//
CuerR-Au_neg	glnK//acrA//rrlH//manX//rplV//
CuerR-Au_pos	fumB//mgtA//
CusR-Pasp_pos	baeS//phnG//sbmA//trpE//fucP//phnP//gadC//ydhW//yeaR//fumC//envY//glpB//
CynR-Cyanate_neg	chbC//
CynR-Cyanate_pos	gpmA//sufC//iraM//
CysB-N-acetyl-L-serine_neg	tsx//phnM//cyoE//aaeB//moaD//skp//zinT//
CysB-N-acetyl-L-serine_pos	glrR//iscR//pyrD//fhuB//ycjX//creD//rrlH//araG//ygeA//nrdG//ccmB//bglB//feoB//cusB//rutD//ydeA//trxA//zntA//rrlG//glpF//hycF//yeaD//nagE//
CysB-O-acetyl-L-serine_neg	ahpC//prfA//yggX//acnB//sufS//rutG//envY//
CysB-O-acetyl-L-serine_pos	raiA//hycI//nupC//sroD//nusA//betB//astA//fepC//adhE//uxuR//moaE//ssuC//malY//hyaF//hycI//feaB//caiA//gspK//prpE//paaG//oppD//waaH//cyaR//gabT//
DcuR-Phosphorylated_pos	ppdD//yegR//pflB//rpoH//frdD//nanK//bioB//idnR//nikB//
DnaA-ATP_neg	hmp//glcF//fecD//yidQ//sdhA//gltB//yfbR//yegR//iraM//modC//alaT//
DnaA-ATP_pos	zraR//cydB//nuoB//nagB//rrfB//mhpB//ygbA//
DpiA-Pasp_neg	ompR//
DpiA-Pasp_pos	torC//speB//argF//fecB//appB//fur//lpxB//psiF//phnF//ilvH//
DsdC-D-serine_neg	hyfI//
DsdC-D-serine_pos	mhpE//xdhA//
EvgA-Phosphorylated_pos	astD//ydeO//fecD//ilvH//chbR//tfaQ//cyoB//serA//feoA//moaE//lysU//frdB//rcnA//rplC//entF//
FNR-[4Fe-4S]2+ reduced_neg	paaJ//dppA//dmsB//aldA//dpiB//csgA//metF//pgaA//yiaJ//hypD//ldtC//artQ//glpR//malQ//grpE//paaB//fepA//pncB//cysA//agaW//yqjA//yneM//ydfN//ulaA//treB//ssuA//fimH//kbaZ//mtlD//gadB//puuE//dppC//astA//fecE//idnD//aer//carB//ada//mglC//cheZ//hypC//hcr//bdcA//yfeW//phnM//hybO//xapA//fepG//gpsA//narK//metA//glgC//ydhX//tyrP//udp//frdB//allC//umpH//paaE//fadE//tyrA//pdhR//fadI//yegR//qseB//qseC//oxc//rrlA//yhiD//betB//astE//dcuR//tdcC//mglB//atoE//focA//purB//trpD//moaE//chbR//fldA//uhpA//evgA//nirB//livH//entB//grxC//appC//cadC//gspE//uraA//preT//tfaQ//tauB//fecR//gntK//cadC//modA//napD//dsdC//arfB//comR//nirD//ygiA//yrbL//malY//yjeV//csgC//qseC//garP//cusC//ygaC//hyaC//safA//lpxB//dmsA//bioB//rutF//gatC//cheR//
FNR-[4Fe-4S]2+ reduced_pos	phnC//melB//glpB//atoA//moaB//nmpC//bcsC//nrfE//ppiD//hypB//hemL//nirB//gspC//rbsB//lamB//gcvT//rrfB//pgaC//cysI//hisP//umpH//araG//ykgR//nrfF//dmsD//carA//fhuE//ugpE//gspO//glrR//malY//sbmA//motA//zraR//dcuR//galP//yfeW//pheT//aldA//mhpE//ulaB//dnaE//rrfH//yaeP//rrsD//rnlA//cynR//purK//ydeJ//ydeM//bcsZ//chbF//oxc//tauC//aceE//hydN//napD//glcD//pdhR//ppdD//cheB//ptsI//purF//napC//zwf//dsdC//tonB//zraS//sodA//fecE//uxaA//xylA//yaeQ//mdtD//psd//allD//pdhR//ydeM//ftnA//fecA//alaV//yhiD//adhE//atoD//cheY//hflK//fliZ//araH//xylG//entF//metR//mgrR//phnL//ompR//cusR//purN//gltU//dctA//idnT//sohB//exbB//rplT//yeiL//garK//gabT//rrsB//entB//puuD//citF//artI//iscS//nrdG//allC//creB//prfA//chbF//nrfC//citX//hupB//gdhA//torC//yhhY//ychO//malT//malE//dapD//tar//nrfA//hybB//phoB//epd//mtr//lhgO//dpiA//aaeX//prpC//hcp//mhpF//betA//znuA//fepA//fumC//cas1//hyaF//ydbD//mcaS//hyfD//oppA//fhuB//galT//mdtD//phnF//amn//caiD//cheW//phnP//moaC//nuoJ//alaA//frc//lacY//xylH//mglB//dadX//bamA//dctA//trpL//pck//rrsB//trpB//psiE//fldA//phnE_2//baeR//xdhC//ssuD//rrfA//hycI//phnP//tnaC//aaeR//nohA//lsrB//dppD//sbcC//tdcF//moaC//aspC//fhuC//dmsB//caiF//dmsA//nrdF//creA//hybD//aaeB//soxR//rrfH//hyaA//paaZ//gspG//yeiW//
FhlA-Formate_pos	aceB//motB//cydC//gnd//lsrD//ompC//gspM//purD//rybB//fixX//ebgA//chbC//oppC//ebgA//dmsC//dps//gatC//phnC//sufB//ompA//gltA//chbC//amtB//malE//map//rplW//yaeQ//guaA//pyrC//trmD//
FucR-L-fuculose-1-phosphate_pos	lldR//ulaB//rmf//purE//glpC//casA//aceE//
Fur-Fe2+_neg	cpxA//nuoM//ilvY//evgS//rpsJ//gyrA//lysO//glnK//srlD//artM//ompW//alaU//frdA//betB//glpQ//hycD//rrfH//truB//alkB//gspI//phnE_1//tdcE//csgG//xseA//napC//caiA//ftnA//feoC//fdnH//fis//ptsI//cyoA//gatA//cysM//uhpA//mdtC//casA//ssuB//oxc//aroH//metR//bdcA//rof//mltC//yfdV//ascB//guaB//phoB//psd//tar//sufC//ygiA//argE//mepH//agaW//uhpB//glpC//psd//hycE//ilvG_2//dcuA//aceK//fepB//phnG//trpA//fis//rpmI//argA//pstS//rbsA//betB//psd//nuoB//cheZ//fau//uxaB//sbmC//yqaE//exbD//betT//fimA//metQ//cynS//caiA//psiE//mutY//atoA//thrV//mhpF//caiB//nrfG//metB//hyaA//fucI//alkB//moaA//acnB//paaC//rutD//treR//nrfA//hycA//sdaA//argH//ilvI//hycD//gatC//glpK//lpd//ugpC//melB//frdC//allC//puuP//bioB//osmY//marR//hybE//ykgM//nuoB//rpsI//aceK//fepE//rplW//
Fur-Fe2+_pos	modA//pstS//rutA//feoA//araA//cyoC//livF//hyfI//yfbR//ugpB//lpd//ygaC//recF//aaeR//ilvH//allD//slyB//pheT//fixX//yaiA//lsrF//gcvH//ssuE//mgtL//oppD//
Fur-Mn2+_neg	osmC//ykgM//uidC//pta//csgD//pstB//ccmF//tdcC//metK//hypF//yhiD//gspF//cysB//cheY//ssuA//rpmC//tdh//lsrR//rrlG//ileU//phnL//ycdZ//pagP//nmpC//iscA//hyfR//betI//fimG//gpsA//yeiL//fhuD//uxuA//cueO//leuE//artP//paaE//murP//sbmC//entF//srlD//nrdE//ahpF//fepE//ccmD//rplW//gabD//talA//dcuB//ilvL//gatZ//rpsO//napA//hycG//metL//lacY//yciW//dcuD//fepC//copA//purF//cspD//rutB//phoR//dcuA//mdtA//gutQ//mhpF//garP//dcuB//aceE//glcE//zraR//moeB//fecA//xylF//puuR//pflB//fimF//nmpC//glgX//exuT//mhpT//hybO//speA//bioD//creD//moaB//putP//yiaJ//entE//serA//sbmA//phnG//moaA//gpsA//preT//acrD//rimP//nuoM//mtr//rrlD//purM//ydfH//fepA//rpsP//hyaB//uidB//rrfE//rhaD//mltC//ompC//glpC//phoE//rrfG//hcp//idnR//cusB//ydiU//trpB//cheY//hyfI//carA//aaeA//recF//
Fur-Mn2+_pos	cyoC//lsrC//nrdI//dcuB//rutC//citD//putP//fhuB//trpD//osmY//bacA//rhaA//mhpT//znuA//nagE//bamA//sufC//rrfB//ansB//cusF//fhuB//glgX//bcsB//hyaA//hemA//
GlcC-Acetate_neg	micF//
GlcC-Acetate_pos	rplP//puuD//murQ//aroG//rrfA//nirD//
GlcC-Glycolate_neg	preA//
GlcC-Glycolate_pos	chbR//dcuS//mglB//fixC//yjjZ//cdd//
GlrR-Pasp56_pos	paaB//
IclR-pyruvate_neg	dapB//nfuA//umpH//rpmI//
IdnR-5-ketogluconate_neg	tyrB//rpsO//fhuE//
IdnR-5-ketogluconate_pos	amiB//araC//hpt//citF//allC//
IdnR-Idonate_neg	ydeA//ssuC//fur//
IdnR-Idonate_pos	sufA//fumA//chbF//ugpA//agaW//
IlvY-2-acetolactate_neg	ada//
IlvY-2-acetolactate_pos	puuP//
IlvY-Alfa-acetohydroxybutirate_neg	argF//
IlvY-Alfa-acetohydroxybutirate_pos	fliA//
IscR-[2Fe-2S]1+_neg	carA//evgA//grpE//purE//pstA//tdcE//ahpC//dsbA//metH//aceF//astE//mhpF//hemA//cysG//tcyJ//pgaC//cyoB//yhcH//lsrB//yedX//nlpD//gntU//hypD//rrsA//dsdX//ulaD//pstB//metF//fes//acnB//
IscR-[2Fe-2S]1+_pos	mltC//yoaG//rpoE//ubiX//malS//torR//rrfA//aidB//infC//fnrS//hemA//
LldR-L-lactate_neg	ulaC//ascF//aroH//
LldR-L-lactate_pos	tdh//sohB//ydeA//
Lrp-Leucine_neg	lpxA//mhpC//tonB//metE//nagA//fadD//yaiW//mdh//cpxA//entH//hyfC//alaT//glrR//metF//gcvT//dppF//cyaA//moeA//fhuD//ynfG//dmsB//treC//mglA//caiF//motA//iscA//yedX//cusF//fixC//dsbA//ytfE//nuoB//argT//fucR//sdhC//ompF//gnd//lhgO//dnaN//thrS//xseA//gcd//pgaA//glpF//bioD//srlD//motB//nuoI//hmp//tsr//lysU//dpiB//caiF//deoB//feaB//pheM//tnaC//rpsI//pdeF//torC//gntX//acrB//argH//citX//metE//atoD//argF//trg//torR//nuoJ//citD//citC//gntP//cbl//astA//
Lrp-Leucine_pos	bamE//ahpC//livJ//napA//talA//pheT//gdhA//acs//yfdX//gatA//hpt//ccmA//hyaD//narL//mutL//rutG//glrR//priB//exuT//galK//bglF//infC//atoA//cspE//ilvN//mlc//tdcF//hycH//garR//ygiA//mhpB//lsrG//sxy//ynfF//fdnG//
LsrR_neg	glpR//nrdE//ccmG//yrbL//agp//aceB//hmp//rplD//marB//
MalT-ADP-Maltotriose_pos	ynfK//nrdG//cusR//baeS//tpx//malG//puuA//hslJ//nfuA//ugpQ//
MalT-Maltotriose-ATP_pos	nuoH//pagP//malM//ssuC//rutD//pta//phnE_1//iclR//phoH//glpC//
MelR-Melibiose_neg	carB//rplC//glgB//
MelR-Melibiose_pos	fnrS//rutE//spf//
MetJ-S-adenosylmethionine_neg	dsbA//deoB//agaV//norW//araH//ppdD//gspD//mhpB//phnN//mcaS//azuC//ugpB//dcuB//gltF//fbaA//
MetR-L-homocysteine_neg	glgX//gapA//
MetR-L-homocysteine_pos	ada//psd//preT//tdcD//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	stpA//torD//lysP//pagP//srlE//caiF//
MhpR-3HPP_pos	lsrF//paaJ//ispE//atoD//lacA//yneM//
MntR-Cd2+_neg	narQ//garL//aldB//artJ//
MntR-Cd2+_pos	pyrD//
ModE-MoO42-_neg	exbB//purL//purA//rrfF//gltV//idnD//rutD//gltW//cyaR//artI//yqjA//ugpA//nrfC//envY//araH//
ModE-MoO42-_pos	yegZ//fimE//hycF//paaJ//galK//rrlH//yojI//bglF//acrB//narQ//gspD//nagB//ilvL//paaH//gatY//glcD//nagA//alkB//mutL//mhpB//malZ//hypB//ahpC//tauB//rnpB//exbB//ynfH//metA//mhpE//tehA//rrfF//
NarL-Phosphorylated_neg	yeaD//tnaB//caiA//cysK//ivbL//rrsA//sbcC//chbC//sufB//xylH//qseB//nupC//yibN//mdtD//spf//tdcA//galE//hypE//glgB//galM//metQ//glpA//pstA//dadA//hycH//rseB//rrfF//gnd//trpA//puuA//rpsF//hybG//aceB//fucA//rhaR//artI//ompA//glpR//bioA//rpsO//purM//ybfN//ydhV//glpR//puuR//yneM//abgB//casD//fucI//feaB//hyaD//thrS//sodB//rrfE//bglB//cysN//cusF//xylG//artM//pnp//fecB//tfaQ//glcA//rbsA//alkB//yciW//gatY//hyaA//fhuA//ccmA//dapB//zraP//moaC//nrdH//prpD//mhpR//tdh//yibN//rutE//xylG//trpL//exbB//csgD//araH//entB//glpR//
NarL-Phosphorylated_pos	phnD//gspF//dnaA//phoR//focB//rstB//marR//polA//yfdE//rpsC//trxA//nrfC//treB//agaV//gltT//agaV//tyrR//aroP//csiD//atoE//rpoH//artJ//paaB//oppF//deoC//srlA//crl//dsdC//cysG//narL//cstA//oppA//znuC//yedX//moaE//rplD//fixC//hcp//uxuR//entH//malY//hyfR//dps//yeiW//mutY//uraA//
NarP-Phosphorylated_neg	rrfD//phnO//mzrA//fucR//narI//rpsQ//yhcH//ampE//tehA//nirC//tdcG//ytfE//grxD//acnB//livJ//rplV//rrfB//rrfH//mtlA//cusR//fbaA//rbsR//bglG//argB//moaE//csgC//alaS//gadB//ytfE//frdB//yggX//napD//purB//
NarP-Phosphorylated_pos	xylG//hypC//hisP//preT//trpR//malQ//srlA//yfiP//mcaS//srlE//adhE//yfdE//yoaC//purH//glgC//ygbA//purH//glcD//rrlH//rpoS//baeS//nuoC//ydeA//hyfC//yjiY//narJ//dpiA//agaA//appB//malI//hyfG//fixC//
NhaR-Na+_pos	mglB//paaE//erpA//fecR//nanT//
NikR-Cd2+_neg	caiT//hisJ//nupG//fecC//emrY//ssrS//
NikR-Co2+_neg	entA//hemA//oppB//ompR//malF//cas2//
NikR-Cu2+_neg	rrsB//ldtB//glrR//yfiP//glcG//ssuE//
NikR-Ni2+_neg	hdeA//dppC//csiD//metC//murP//melR//
NikR-Zn2+_neg	lysP//lsrB//ileV//gatD//nuoN//aaeX//
NrdR-ATP_neg	bcsC//srlB//phoB//rnpB//osmC//allD//hmp//ydhU//rrfC//
NrdR-Zn2+_neg	csgF//purR//mltC//argI//sufS//rutG//ubiA//moeA//nrfB//
NrdR-dATP_neg	ndh//fecR//thrV//metL//fimI//aceF//rpsI//metJ//caiD//
NsrR-[2Fe-2S]reduced_neg	lpxA//hycE//galE//fecB//eda//marR//idnR//gabP//ydeJ//prs//moaB//chbF//hemA//puuC//yidQ//lpxB//gntP//trpA//yoaC//ompF//yeiP//gcvP//napH//ychH//yojI//qseC//gcd//pstC//dsdA//citD//csgF//paaJ//nrdE//narQ//rcnB//aspA//ydfN//hyaC//ompC//nikD//ydiU//fdnG//eda//ydbD//fdnG//citC//ascB//fadA//rrlC//sucB//tsgA//yecR//hisJ//araB//dsdC//allD//manY//ccmC//hofO//gntR//rplS//metJ//dapD//hyfH//xylR//narQ//ydfN//glcE//hofN//prmC//safA//paaZ//rpmI//
PhoB-Phosphorylated_neg	pheM//ynfK//narH//iraM//alaU//dapD//fepE//aceA//feoB//metB//acs//casA//sucB//
PhoB-Phosphorylated_pos	sohB//entC//uxaA//prs//sufD//aldA//gspD//casD//serC//cynS//phnF//araE//citC//guaA//sodB//lsrD//rnlB//dppD//aaeA//rpsS//cusR//araD//rutA//acnA//miaA//gatZ//hyfB//pstS//mntS//pgaC//prmC//tyrR//nanK//dcuS//ilvM//csgB//lpd//rhaA//rhaA//yneM//arcZ//edd//fis//yjeF//hybG//glyA//dppF//phoU//tdcG//uhpC//atoE//astA//raiA//
PhoP-Phosphorylated_neg	cysM//puuC//serA//crp//mdtA//treR//hydN//folA//caiT//yeaD//comR//
PhoP-Phosphorylated_pos	folE//ilvX//hyaA//metF//ugpB//purE//galS//livJ//hflK//yfeW//argG//metB//pstA//aldB//glrR//prs//rrsD//ompW//malF//narK//xdhB//phnD//fimE//araD//aceE//ykgM//citE//ampE//cysB//paaB//rrfB//ompT//gspJ//stpA//priB//metL//ygiC//fixX//ydfN//citE//rutB//nupG//ychO//nrfD//cueO//creA//aceA//ybjG//yccA//
PrpR-2-methylcitrate_neg	ampE//
PrpR-2-methylcitrate_pos	fliA//gabP//lysU//deoB//
PurR-Guanine_neg	yojI//rhaB//waaH//rplC//lpxA//metE//yneM//fdnI//sdhC//lolB//yqjA//pflB//rrfD//uhpB//rbsK//ugpC//rhaT//caiE//pnp//gntX//malE//mutL//hisP//rrsE//abgB//ccmG//yeaE//cdd//nrdI//dppF//marA//torR//waaH//tonB//
PurR-Hypoxanthine_neg	ychO//ycjF//glpT//prfA//napG//hybA//nrdE//malK//ftnB//srlB//gspK//artM//bioA//lacA//argI//dkgB//aaeR//gdhA//glpR//hisP//frdD//alaT//xylG//fucK//dppA//livM//phnH//gntK//mhpC//ulaA//xylA//glnD//epd//cadB//
QseB-Phosphorylated_pos	slt//manA//gspD//alkA//
RhaR-L-rhamnose_pos	casC//fbaA//
RhaS-L-rhamnose_pos	nirB//mhpR//pgaC//
RstA-Phosphorylated_neg	hha//citC//aidB//rrfB//yibN//
RstA-Phosphorylated_pos	mhpA//cstA//frdD//rrsA//glnB//
SoxR-[2Fe-2S]3+ oxydized_neg	paaH//
SoxR-[2Fe-2S]3+ oxydized_pos	lysO//sdhA//kbaZ//
TorR-Phosphorylated_neg	infC//
TorR-Phosphorylated_pos	cynX//upp//ada//adhE//cirA//nrdE//galP//lsrF//ycjF//
TrpR-Tryptophan_neg	puuP//fadI//tyrR//emrY//mdtC//pflB//lsrD//cadC//nrdF//hemL//cysC//rpsP//
TyrR-L-tryptophan_neg	abgA//argA//hypC//tsr//purE//cusB//astC//appC//paaE//amn//torC//alaA//
TyrR-L-tryptophan_pos	raiA//malE//gcvT//
TyrR-Phenylalanine_neg	gltA//acrF//yaeP//allC//caiB//galK//efeU_2//csgG//cpdB//baeR//pgaA//rpoE//
TyrR-Phenylalanine_pos	hyfH//yhcH//gspM//
TyrR-Tyrosine_neg	cydB//rbsK//infC//gdhA//ydeM//tolC//hyfG//trpD//nirC//livH//yfdV//rrsH//
TyrR-Tyrosine_pos	tomB//astE//hdeD//
UhpA-Phosphorylated_pos	dcuC//
XapR-xanthosine_pos	fes//trg//
XylR-Xylose_pos	rpmI//rplB//acrF//alaU//fumA//znuC//
ZntR-Cd2+_pos	lsrF//
ZntR-Hg_pos	zraR//
ZntR-Zn2+_pos	araJ//
ZraR-Phosphorylated_pos	livF//ccmB//yaeQ//
Zur-Zn2+_neg	mhpT//rplV//caiT//ccmA//yjeF//atoB//
