#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	gspJ//oppF//
CRP-cAMP_pos	yggX//metL//uof//hpt//ompW//qseC//tdcA//hslJ//aidB//oppC//fecE//tktB//acs//citE//acnB//fhuA//ileU//galP//ccmE//ccmD//argC//fepB//yeaR//ygiB//chbA//argO//ilvX//trpD//rplC//narL//pflB//glpQ//yqaE//fdnG//casA//moeB//ybdZ//pta//moaB//hflD//sdhB//fecI//araE//ycjF//galT//rpsR//prpR//agaV//fdnH//gltB//yjiY//ispE//hypE//mhpB//sufD//lsrC//hdeB//rutC//cyoB//gatY//cas2//argP//dppD//phnE_2//codB//udp//gspM//frc//purA//hlyE//lacY//uidA//ytfE//lhgO//thrV//rpmI//nuoA//narK//ileV//cysP//nuoF//fimE//cysC//rmf//acrE//cadB//ugpQ//fecA//pdhR//cbl//raiA//glpQ//hyfC//tdcF//nrdI//prpC//proP//acnB//glpE//cbl//zntA//tadA//ispE//purN//hybO//ptsG//ssuC//bioC//exbB//rplW//katG//mhpB//osmC//sbmA//csgF//cyoC//nuoF//lldD//paaF//astB//fimE//gspF//hyfH//ydeA//rplC//idnK//phnM//fdnG//paaH//pheM//hflC//tauD//gdhA//csgD//mipA//glpX//rrsA//tktB//frc//ileT//ilvB//tehB//hofN//nanT//tsgA//rbsR//ybjG//nikA//tyrA//trmD//rbsR//ychO//paaB//gabP//citG//dsdC//mdh//yfdE//astE//norW//tktB//mtlD//yqjA//mhpF//codB//fadI//yaiA//atoE//metK//gabT//argG//galE//ssuA//nusA//entF//proP//yaiA//mhpR//cirA//caiF//cysG//tauB//cysB//glpQ//proP//cbl//nuoL//cheZ//ilvH//chbC//baeS//ydhV//rdoA//ilvY//rrfA//nupG//fimH//malX//sufA//lysC//caiA//rbsA//idnD//araA//rimP//ppiA//uhpC//mpl//astE//malX//dcuD//rrlD//ivbL//nanA//alaU//actP//glcD//bglB//fadI//srlR//prpR//hpt//aroA//ykgM//acs//zinT//ptsG//fecA//ugpC//rstA//mhpA//actP//dadA//araB//aaeX//prpB//aceF//treR//tktB//adhE//adiC//ccmB//aroM//fecB//prpE//ugpQ//galK//rpmI//cynS//puuC//ybjG//raiA//pheM//fecA//hdeA//sbcC//phnD//mdtA//mntH//idnO//artP//ilvA//norR//hdeA//adiC//mtr//hybE//caiT//cyaR//nlpD//metN//dapB//lamB//ydhU//amn//fnrS//prpD//metL//qseC//malT//chbG//mdtA//tehA//modC//atoB//cheB//gabD//gdhA//nuoC//mgrB//lysC//cynS//purC//ompC//glcC//frc//asr//betA//rutG//carB//rutA//puuP//malQ//actP//yfiP//norV//garR//rplV//araC//copA//uof//nuoL//trxA//lamB//casB//purH//uhpT//fadB//ssb//dadX//paaZ//caiD//cysI//zinT//rhaB//dsdX//emrK//malP//lysA//lldR//malS//paaK//cusR//purM//idnT//ascB//cyaR//sufB//hycA//putP//dppD//trxA//cadB//adhE//sdhC//appA//yhfA//icd//creB//nuoK//betI//dnaA//nagE//melA//fucU//dmsC//phoQ//ileV//pdhR//trpA//tyrR//glpX//nrfA//gltD//gspH//rplM//cas1//napH//crl//degP//trpE//paaF//gatC//dppC//nagE//yoaC//cvpA//nuoB//lsrF//psiE//nrfC//ccmF//fixC//bglF//fdhF//uof//efeU_1//cysJ//fecE//phnJ//rrsA//cysU//hflD//gcvH//idnO//nuoM//purE//metB//galP//rimP//gabT//lacZ//caiT//polA//galE//csgA//rrfF//grcA//envY//rrfG//gapA//artJ//yebE//fecR//rhaA//ada//mntS//ilvG_1//tadA//lhgO//ydeA//emrK//lsrK//rhaB//phoB//rrlC//feoB//rplW//glcB//
ChbR-Monoacetylchitobiose-6P_neg	acs//mlc//ycjF//ubiG//nanT//modA//
ChbR-Monoacetylchitobiose-6P_pos	cheZ//phoR//aceE//aspC//appB//phoH//
CpxR-Phosphorylated_neg	arfB//hisM//glpQ//cysP//rbsD//tdcF//rbsB//moaC//srlE//udp//dmsC//rutE//tonB//appY//paaI//lsrD//envZ//speB//hybA//ompX//csgG//glnL//hdeD//dsdC//
CpxR-Phosphorylated_pos	livK//dnaE//hcr//dsdX//yoaC//eda//fixB//hycD//tehB//zwf//glnA//rplC//metC//kbl//cas2//csgE//phnJ//araH//arcA//betT//tolC//narL//cheB//yqaE//phnI//adiC//fadD//bacA//livM//fau//alkA//sufA//ppdD//ascF//osmY//nuoE//spf//srlR//xdhC//entH//ahpC//nikB//nlpE//rimP//gspH//
CreB-Phosphorylated_neg	ubiA//ccmH//infB//
CreB-Phosphorylated_pos	livH//ybfN//dcuA//tdcE//gnd//norV//
CueR-Ag_neg	argI//napA//phnJ//mglB//bcsZ//
CueR-Ag_pos	bcsZ//narG//
CueR-Cu+_neg	nusA//chbC//glgP//tauB//ulaC//
CueR-Cu+_pos	nikD//tyrA//
CuerR-Au_neg	yeiB//avtA//azuC//srlD//entS//
CuerR-Au_pos	gyrA//agaA//
CusR-Pasp_pos	rseB//soxS//tauD//gntR//malK//hycH//rplW//ptsH//pck//lldP//argC//abgB//
CynR-Cyanate_neg	paaZ//
CynR-Cyanate_pos	feaR//carA//purB//
CysB-N-acetyl-L-serine_neg	yggX//glpG//chiP//rrfB//spf//nuoL//feoB//
CysB-N-acetyl-L-serine_pos	dmsD//yebE//bamA//cyaR//phoQ//narL//fimE//nuoE//argG//mzrA//lamB//marB//lsrG//hycB//rplP//grpE//ccmC//tolC//rstB//katG//hfq//gutQ//rrsA//
CysB-O-acetyl-L-serine_neg	copA//hemA//narI//malF//purR//aaeR//ispE//
CysB-O-acetyl-L-serine_pos	fnrS//pstC//rstB//rstB//guaB//tolC//rnpB//glcC//yfbR//garK//cynT//aaeR//yoaC//pnp//yeaE//ccmH//rpsO//napH//rutE//mhpC//cirA//rplV//mltC//grpE//
DcuR-Phosphorylated_pos	tnaB//umpH//ccmE//phoP//katG//prs//aceK//talA//nmpC//
DnaA-ATP_neg	rplC//fliZ//manZ//uxaC//cyoA//aroH//moeA//stpA//murP//ogt//guaA//
DnaA-ATP_pos	rybA//aroA//fdnG//fucA//ydhV//uraA//edd//
DpiA-Pasp_neg	lpd//
DpiA-Pasp_pos	gcvP//glrR//mdtD//mutY//fhuA//ulaD//cpxA//yrbL//modA//argA//
DsdC-D-serine_neg	phoQ//
DsdC-D-serine_pos	ykgR//guaA//
EvgA-Phosphorylated_pos	ssuB//sbcD//treC//osmC//sxy//serC//ppiA//entE//stpA//spy//hyfB//fadA//hofN//glgC//cyoC//
FNR-[4Fe-4S]2+ reduced_neg	ldtC//asr//ahpF//citX//adiC//ampD//ytfE//gspG//tauD//tnaB//fis//hycE//bioC//abgT//trpL//iraM//agaV//fadD//tdcA//ynfG//idnT//garR//yhiD//hlyE//puuD//appB//ilvY//rbsK//rpsC//aaeB//kbaZ//paaJ//fnr//pyrD//hyaA//miaA//aroH//uidB//gspM//glpK//entS//araG//nmpC//glgC//metA//ydeM//xylB//nuoH//aroA//paaG//ilvI//oppC//nrdF//fdnG//ompF//tdcD//oxyR//entA//puuP//paaK//mglA//cusS//galT//soxR//crr//ubiX//treB//ybiT//ilvI//argT//glpC//nagC//oppF//fdhF//fixB//cadB//yjcH//nrfE//hisJ//alaS//marA//nrfC//hycF//idnO//fepD//rbsB//cpxR//talA//rplT//zwf//fhuC//ynfG//nrdG//melR//fimC//entS//ndh//phoQ//tdcE//hybA//ccmF//yfiP//cusS//chbC//speA//argH//ynfE//lsrC//aspC//hybF//deoD//truB//citX//yegR//lysA//katE//gltU//creC//frc//phoH//
FNR-[4Fe-4S]2+ reduced_pos	cysJ//frc//iraD//moaC//phoE//ubiC//nirB//tauC//yhjA//glcC//sucB//ybdN//nuoJ//garR//tsaE//chbG//dnaN//rnlB//rrlB//mtlA//nuoI//citD//cynR//mtlR//sufS//norR//ydeA//csgG//frdC//aaeB//caiB//metK//atoA//tdh//xylB//yhcH//ilvG_2//sucC//paaC//paaD//yqaE//phnI//hofM//paaG//cpxA//ysgA//yjjZ//rseC//udp//entH//flhC//cheR//ulaB//ilvC//trpB//metN//sodB//entE//fepB//rpoS//dpiB//uhpB//gltU//rrlG//grcA//gntX//rhaB//aidB//gntT//fliZ//cysP//nuoG//yqaE//acrD//exbB//mhpB//csiD//psiF//metQ//rplV//rpoE//narX//entE//araA//glpF//tehA//cyaA//alaA//ompT//dsdA//casC//nuoN//chiP//trg//tehA//rrfF//uof//bamA//tsaE//prfA//asr//dsbA//oppB//pheS//argR//glcF//phnG//bamE//kbaZ//yaiA//nrdD//glpF//prpD//cysH//baeR//xylA//rcnA//tnaC//prpC//oppB//hcr//nrdI//gspG//fumA//fhuD//cheY//betI//paaE//nuoM//raiA//glnA//hdeA//sufC//nrdD//raiA//kbaZ//argG//rstB//norW//iscR//fis//citF//artP//pncB//ftnA//metK//znuB//ycjX//cyaA//focB//aroG//ugpC//narQ//dusB//murQ//nuoM//preT//lacY//pgaA//yqjA//livM//evgS//fimF//fdhF//glpX//nrdI//acs//deoD//uvrA//tdcD//pta//mdtB//gspI//zwf//dppB//motB//phnO//prpR//argI//hyaF//betB//fecB//gntT//hycI//fimE//dsbA//lsrC//allE//atoE//tdcF//lrp//phnE_2//nfuA//araC//hofP//ybdN//cydB//yaeP//artM//fepC//aspA//nuoC//
FhlA-Formate_pos	argE//degP//lacY//puuA//cpdB//frdD//atoB//mdtA//adhE//ivbL//paaZ//grxD//frdA//sufB//yaiW//csiD//idnK//ydhT//fhuD//nikE//hybA//metY//moaD//yegR//yrbL//marR//cheA//rplP//metN//cyoA//
FucR-L-fuculose-1-phosphate_pos	yhjC//prpD//uxuB//dpiB//idnD//yqaE//frdD//
Fur-Fe2+_neg	glpB//nrfB//csgC//nrdI//cadC//spy//mzrA//araF//thrV//moaD//fnr//entB//yaiA//sdhA//hybG//glgP//gpmA//rnhB//nikC//creC//hflK//dsdC//paaA//feoB//cheW//hofO//gspM//ileT//dsdX//sdhC//oxyR//rprA//ybdZ//ahpC//yeiB//gcvH//citF//moaD//idnT//oppD//rrfA//prpC//hmp//ihfA//hcr//mutY//malZ//cysN//fixA//hofC//mhpC//rplB//agaV//mhpA//trpB//mhpT//appC//fepB//yhiD//ampD//moaC//dppB//rbsK//caiB//phnD//ydeJ//bcsA//rplC//sxy//hybC//sufE//glgB//puuC//osmY//cspE//livF//yfeW//lpxD//udp//dadX//garR//mutY//yfaE//rrsC//malS//yqjI//sohB//purK//creD//caiT//hofM//livF//cynX//ytfE//oxc//nrfB//udp//gspH//citC//ilvN//nrdA//malF//ilvA//purE//gcvH//nohA//livF//gntP//livG//gltF//treC//pflB//ompT//nanA//azuC//rrfE//srlB//gadC//rrsG//hypC//hyaB//atoE//narH//cadB//
Fur-Fe2+_pos	ptsI//lrp//artP//bioB//srlR//deoB//glcG//puuA//sufS//nirC//osmC//yeaE//fepD//entE//gabD//gntT//yqjH//mgtL//gspL//napD//ydeA//nanK//zraR//nusA//nrdD//
Fur-Mn2+_neg	atoD//cyoD//xdhB//mdh//dps//napD//ccmD//livH//hslJ//rrsD//ackA//ygiA//nupG//puuA//fnr//purL//rrsE//hyfI//amtB//glpC//ygiB//yjcH//pepT//kbaZ//yqjA//srlR//ahpC//ompW//carA//hybF//cheR//cyoC//prpC//ilvM//deoC//cytR//fecI//cheB//mglA//priB//treC//sdaA//rnlB//frdA//alaS//psiE//gdhA//atoB//hyfG//ispE//amiB//ynfF//rplB//gntK//rrfA//cheW//yfeW//nikR//bhsA//srlR//comR//rplP//pnp//hyfC//ydfN//exbD//rhaS//puuC//narG//ssuD//alkB//sufD//narG//ygbA//fecR//allE//epd//oppC//fliZ//borD//fucO//araF//rpsI//fdnG//astE//glnG//hofP//casA//entD//mgrR//xylG//rseC//ssuE//tnaC//yeaD//sufE//uhpC//acrB//hybF//rpsP//tdcF//sucC//trxA//pgk//torC//cra//yeiL//purA//galT//gutM//pgpC//appA//rpsP//argB//cspE//araF//trpD//pgaA//fecI//purK//dpiA//hycF//ydbD//ynfK//
Fur-Mn2+_pos	hyfJ//hybF//cydB//yebE//ydhX//fhuA//mglC//dapB//lhgO//malE//aaeR//acs//azuC//ykgO//yjeF//mdtC//nuoC//pgaA//fimD//rnlA//ydeM//flhD//malZ//ybiT//focA//
GlcC-Acetate_neg	dcuC//
GlcC-Acetate_pos	mutL//ryhB//ileT//entF//appY//ilvL//
GlcC-Glycolate_neg	acrB//
GlcC-Glycolate_pos	ompT//trpL//fnrS//nlpE//pitA//cspE//
GlrR-Pasp56_pos	yqaE//
IclR-pyruvate_neg	cadA//hyfR//tyrB//yfdX//
IdnR-5-ketogluconate_neg	paaE//bioC//aroL//
IdnR-5-ketogluconate_pos	marA//caiT//sdhA//feoB//rrsA//
IdnR-Idonate_neg	argT//ulaE//psiE//
IdnR-Idonate_pos	idnT//aer//yjiY//znuB//melR//
IlvY-2-acetolactate_neg	frdC//
IlvY-2-acetolactate_pos	nohA//
IlvY-Alfa-acetohydroxybutirate_neg	uraA//
IlvY-Alfa-acetohydroxybutirate_pos	astB//
IscR-[2Fe-2S]1+_neg	lpxB//argA//narQ//hyaC//ccmD//dnaE//treC//rpsR//rseC//cyaR//dppB//trpB//hycG//gntX//katG//galT//arcA//nuoF//cyoA//paaA//livM//leuE//pdhR//metL//cvpA//deoD//yjeV//yeaE//nlpE//ulaC//
IscR-[2Fe-2S]1+_pos	tam//mltC//sdhB//fdnG//hemL//dcuB//prfA//xseA//phnC//narI//lpxB//
LldR-L-lactate_neg	livF//gnd//tdcB//
LldR-L-lactate_pos	fnr//ybdZ//ahpF//
Lrp-Leucine_neg	xylB//safA//serA//soxS//ompA//srlD//cas1//fepC//ndh//fbaA//creB//hflX//flhD//malX//melB//hcp//ydhX//csgC//paaE//baeR//iraM//creC//gadC//mglB//hha//iclR//gntT//hofM//nuoG//cadB//tdcD//ybdZ//mgtL//lamB//fiu//cdd//uidC//tdh//metQ//ygiA//cra//fecD//xdhB//ykgR//pstA//hupA//moaA//fimD//hycF//rplB//rutD//pdeF//purN//ychO//srlA//nupC//ppiA//chbB//dsdX//csgA//nanA//rimP//yrbL//fixX//rrfG//gspF//phnH//ompR//phnL//rplP//cyoD//rrlE//gcvP//sucD//nrdA//
Lrp-Leucine_pos	gpmA//phoB//lsrK//ulaB//uof//rhaS//dmsB//pitA//speB//mipA//sdhB//gcd//gutQ//bamE//dsdC//rplD//agp//rseA//phnN//phnC//purC//araA//pnp//rhaS//upp//hyfD//hha//cysU//rpsO//citX//uhpT//glpB//znuA//micF//xylR//
LsrR_neg	katG//dcuS//gltW//mdh//chbA//acnB//ilvX//hslJ//fadB//
MalT-ADP-Maltotriose_pos	rutF//hycB//narL//fumA//ydeM//metC//adhE//cydD//ubiC//cadC//
MalT-Maltotriose-ATP_pos	cytR//cyaR//serA//ilvD//argR//gcvH//fadJ//adiC//idnK//dpiB//
MelR-Melibiose_neg	moaA//fhuA//araD//
MelR-Melibiose_pos	hyfB//yegZ//lsrA//
MetJ-S-adenosylmethionine_neg	cspD//fixC//araF//chbB//fhuA//tdcE//narK//cheW//fepC//prfA//ydhV//rpsQ//grxC//metI//malY//
MetR-L-homocysteine_neg	yeiP//chbR//
MetR-L-homocysteine_pos	xapA//trmD//cusC//dcuC//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	ubiC//srlE//metY//phnD//nrdE//rplI//
MhpR-3HPP_pos	hyfA//hyfB//dppF//mepH//rseA//flhC//
MntR-Cd2+_neg	ykgR//fdnH//pflB//fecR//
MntR-Cd2+_pos	betA//
ModE-MoO42-_neg	gatB//frc//fhlA//uxaC//gnd//cueO//ubiX//carA//guaA//ubiA//fhuE//tdcD//rutG//entC//zraS//
ModE-MoO42-_pos	spf//carA//aspA//rutG//comR//casD//ykgM//mtlA//tsaE//treC//yqjI//ssb//citG//yfeW//glgX//mhpR//xdhB//entC//chbF//feaR//entD//frc//hha//yeiW//csgB//lacI//dppC//narX//fur//yfdX//ccmE//
NarL-Phosphorylated_neg	metF//glpB//dmsC//alaT//lsrF//allE//ynfG//mtlD//fecB//astC//glpQ//livJ//dsdC//safA//rbsC//gatB//iraM//rplV//yeaD//ysgA//csgA//rpsO//gltA//astD//malS//mgtL//dppF//hypD//metR//tauD//tfaQ//chbR//dgcZ//efeU_1//grpE//adiC//xylB//garP//betT//arfB//fdhF//cytR//glpX//aaeA//mscM//mepH//codB//metE//prpE//appA//malT//fhuF//pgaA//rpsF//ydhW//ydeO//trpB//tyrB//nrdE//bamE//yjcH//malE//ygiB//dmsB//rpoE//dpiA//hycF//glpE//csgF//pgk//cueO//hyfE//fldA//abgA//dpiA//lldD//tam//ilvM//mntP//alaA//melB//mtr//fepG//rrsA//casC//tam//
NarL-Phosphorylated_pos	grxD//tam//patZ//caiF//ssuD//glyA//frc//borD//rpmI//ilvE//tyrP//rseB//ompC//idnK//fdnG//acs//phnG//nohA//rpoH//xylF//fadI//feoA//mzrA//sodB//cyoB//tolC//fes//rpsR//mutL//mtlR//galT//araE//mtlD//hycA//cydC//trg//mglB//treC//mzrA//tdcE//ynfH//thrV//narH//micF//aroP//rcnA//
NarP-Phosphorylated_neg	rplI//fdnH//manA//nuoB//garL//sucA//nuoN//ftnA//ydeJ//acrE//nikE//phnO//rbsB//glpF//cdd//ynfK//paaF//sdhC//hydN//malY//gpsA//ftnA//hyaE//fumC//srlR//dusB//metR//fadH//rplT//rutF//idnK//araF//fimF//
NarP-Phosphorylated_pos	pstB//pheS//ampD//sodA//lsrD//ulaD//abgA//codA//gabT//rutE//galE//treC//puuP//agaV//metQ//mtr//gadB//fimA//ynfH//amiB//dmsD//feoC//ileT//uhpC//yciW//hydN//bhsA//acs//miaA//hypC//evgS//ynfH//
NhaR-Na+_pos	aceE//pgaC//yeiB//gatY//fadH//
NikR-Cd2+_neg	agaW//narG//rrsE//lacZ//hyfD//entH//
NikR-Co2+_neg	malX//erpA//tyrB//malQ//hisQ//folE//
NikR-Cu2+_neg	dnaE//sdhC//rutE//puuB//fimH//narH//
NikR-Ni2+_neg	paaH//hycD//araG//fimC//dsdC//mhpE//
NikR-Zn2+_neg	hha//dcuA//fepD//ahpF//prpC//ygeH//
NrdR-ATP_neg	emrY//ysgA//metR//idnK//pdhR//ompW//cysA//pgaC//entH//
NrdR-Zn2+_neg	mltC//micF//creA//livJ//dppB//mtlA//narH//uxuA//acrD//
NrdR-dATP_neg	ascB//citF//dppF//hisP//rpoE//pyrD//gntR//nanA//sxy//
NsrR-[2Fe-2S]reduced_neg	ybfN//nagA//ydbD//ydhV//srlA//ygaC//trpL//dmsC//yeiL//yfdV//phnL//aroF//nuoE//dsdC//galS//csgC//nuoI//glpE//pncB//dapB//araB//metQ//nuoK//cysC//hyfF//artQ//glnG//nadC//glcF//fhuD//nlpD//cra//torD//phoU//leuE//glpB//lamB//ung//epd//glpD//ydiU//hybD//hybB//tap//cysM//ilvG_1//yeiP//gabT//psd//mlc//moaB//mhpF//rbsR//fbaA//fimG//nlpE//mhpT//gdhA//ydfN//nuoA//dppA//ygaC//xdhA//gatB//fepG//ompR//ulaC//zntA//agaA//chbF//nrdB//fadE//ydeM//
PhoB-Phosphorylated_neg	gatD//truB//dcuS//mdh//cyaA//yeaD//feoC//baeR//envZ//creC//cirA//atoA//sroD//
PhoB-Phosphorylated_pos	hcr//ynfG//uxaA//rbsB//puuR//fecD//amiB//dppB//aaeX//rrfB//gspL//srlA//fucO//yqjI//nirC//yqaE//cstA//rseC//yrbL//cydA//phnO//glrR//paaF//frc//caiD//prpC//paaC//idnT//fliZ//aldB//hdeB//torC//phoA//dcuA//bioA//chbB//argI//hflX//ppiA//bglF//nohA//grxD//appY//fecE//iscR//fecD//rpsS//hemA//malY//iscR//ilvC//mtlR//ubiA//
PhoP-Phosphorylated_neg	purR//lysP//narJ//xylA//fimC//gspE//puuP//rrfH//ptsG//argO//cydC//
PhoP-Phosphorylated_pos	rrlC//phnJ//cspE//gcvP//rmf//xdhA//nuoK//yjjZ//yeaD//astA//astE//rplI//rpsI//glnD//lacZ//hypC//uxuB//codB//rbsK//citD//cynR//chbA//pstC//cdd//glnB//nuoA//argP//ldtC//focB//bcsC//ccmE//mdtB//fadE//aaeB//sucD//lpxA//purL//yhjC//livJ//dcuA//ccmD//cusS//stpA//aldB//uhpB//gntX//ompR//arcA//argH//
PrpR-2-methylcitrate_neg	borD//
PrpR-2-methylcitrate_pos	hybD//dnaN//csgE//trg//
PurR-Guanine_neg	yeaR//agaV//nagC//rseA//entC//ndh//dmsB//mdtB//yjjZ//sdhA//ilvB//citC//fadL//uraA//efeU_2//yidQ//cadB//bcsB//sxy//hflK//csgC//cspD//cheW//mhpA//safA//osmY//yccA//mscM//argO//manA//ydhT//copA//infC//preT//
PurR-Hypoxanthine_neg	iscS//talA//citD//ccmA//dgcZ//yqjI//gpmA//uxuA//fucP//purN//hybF//napD//purC//yoaC//focA//lpd//ampD//nrdE//mscM//sbcC//uof//ihfA//rrfC//mglC//evgS//metB//hycH//kbaZ//yqaE//ynfH//gltD//yeiL//cysG//artQ//
QseB-Phosphorylated_pos	ssuA//qseC//efeU_2//hyfB//
RhaR-L-rhamnose_pos	bglG//uhpC//
RhaS-L-rhamnose_pos	nuoA//ykgO//yojI//
RstA-Phosphorylated_neg	rrfE//moeA//nuoB//pdeF//tolC//
RstA-Phosphorylated_pos	feoA//moaA//fimI//preT//udp//
SoxR-[2Fe-2S]3+ oxydized_neg	nuoJ//
SoxR-[2Fe-2S]3+ oxydized_pos	dadA//mtr//uhpT//
TorR-Phosphorylated_neg	glcF//
TorR-Phosphorylated_pos	gspI//appX//icd//frdA//mhpR//manA//hyfC//yjcH//hisP//
TrpR-Tryptophan_neg	galE//dcuB//udp//rprA//rplT//entH//fadL//yrbL//rimM//nupC//ydeA//ykgO//
TyrR-L-tryptophan_neg	paaE//hydN//moaD//deoA//yqjA//fdnH//hupB//gcd//hdeD//aidB//rbsC//tyrB//
TyrR-L-tryptophan_pos	mlc//ysgA//yeaE//
TyrR-Phenylalanine_neg	metK//efeU_1//tpx//rimM//ygeH//pheT//cyoA//acrD//slt//bglF//gltA//livJ//
TyrR-Phenylalanine_pos	psd//nrdH//malS//
TyrR-Tyrosine_neg	argF//nikA//ssrS//artP//lysC//astB//rstB//malS//phnJ//yeaD//rmf//astB//
TyrR-Tyrosine_pos	modA//appC//fepC//
UhpA-Phosphorylated_pos	rseA//
XapR-xanthosine_pos	citX//gatC//
XylR-Xylose_pos	ydhY//rbsK//purK//frdD//tsx//pgpC//
ZntR-Cd2+_pos	livH//
ZntR-Hg_pos	fnrS//
ZntR-Zn2+_pos	leuE//
ZraR-Phosphorylated_pos	sufE//araD//tehA//
Zur-Zn2+_neg	flhD//nuoN//napC//nagA//patZ//cheY//
