#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	yqjI//metC//
CRP-cAMP_neg	aaeB//cheW//sodA//metQ//hofB//nikD//mntS//glnG//rpsR//moeA//yjeF//glnG//ygeH//motA//ompF//rrlH//lpxA//dmsD//ssuE//yebE//efeU_2//uidC//putP//fadD//argO//lsrG//hyaF//sufC//gltV//prfA//exbB//gatC//hemL//amtB//torD//nikE//fepB//emrK//hyfR//hha//uof//glmY//rrfF//gabP//cirA//cheA//hycC//fucK//idnD//bamE//dkgB//fixB//ilvH//trmD//ada//ubiC//fixX//trpA//rrlG//hemA//fhuC//sodA//bcsC//ydhX//hyaE//fepG//yqaE//aceK//araG//ilvG_1//tauB//dnaE//nuoH//yeiW//torA//rstA//ygeH//yneM//fhuE//srlE//yeiL//glnK//fucK//melB//rhaT//gcvH//gutQ//ihfA//yfeW//tdh//phnE_1//lldP//argT//ahpF//psiE//paaK//nuoH//trpC//napC//rhaB//cysA//gltA//ccmB//puuR//zraS//gltW//rseC//treB//rrsD//metL//grxC//ygeA//arcA//cdd//aaeR//cadA//glnK//mhpR//feaB//rutG//paaH//ugpA//glpA//rpsO//hisJ//cynS//bglF//tyrB//acrF//dmsA//hofO//hyfD//lpd//
CRP-cAMP_pos	dadX//ilvG_2//fepD//yaiW//glcC//mhpF//phnE_1//ycdZ//deoD//upp//psiF//ftnB//hyaA//sohB//pyrD//glpX//nuoC//hybG//ebgA//paaC//artM//pepT//gatB//talA//arcZ//yaiA//narQ//lysC//yojI//aldB//dcuR//phnH//asr//rcnB//ptsH//rpoE//purC//fbaA//rseC//yeaE//exbB//ydeA//sufD//fhuD//hemA//efeU_2//phoA//waaH//zraS//cusS//dsbA//hisJ//hyaB//frdB//ygiB//uhpA//ydeA//ybfN//hha//yoaG//hybB//feaB//gcvP//cusR//cspE//hyfF//araJ//modB//torD//focB//rbsD//fucR//exbD//puuP//ptsH//rstB//iraM//dsdC//ompC//csgB//moaB//crp//casE//ampE//emrY//pgk//appY//fadE//yccA//adhE//lysC//malF//feoA//chbF//torA//metL//marR//tyrR//dcuD//hybB//napF//malK//glgS//hemA//fnr//codB//uxuA//ubiA//purF//phnJ//glnB//galT//glcC//yhhY//rhaD//spf//ahpF//nrfC//rmf//gspO//gspJ//ycdZ//eda//fucI//glnK//mcaS//ydfH//dkgB//cpxR//ahpF//fepB//pitA//tomB//hybE//pstC//waaH//fimG//fabZ//paaH//nanK//nrdG//malS//aroM//znuB//fnrS//cyoC//trpR//envZ//sufD//hflK//nusA//actP//trpC//livM//mglC//mhpF//aceB//hypC//lrp//cyaA//ygiA//nuoK//lamB//serA//hflC//zraS//ygbA//phnD//sbmC//cysW//actP//acrD//nuoB//ydeM//lhgO//nrfD//trxA//gltT//artJ//csgC//argD//fucU//malI//manA//fepC//yhjC//oppF//phnE_2//hyfE//rnhB//cirA//cas1//cvpA//ansB//mgtA//motB//idnD//gntK//cysJ//pstB//hofO//gntT//cyoE//tadA//gspE//pitB//nuoC//rpmI//cpdB//uxaB//hypA//glpQ//arfB//aroF//fucK//pstA//rhaS//tar//narG//artI//sufC//csgD//argP//livH//nrdG//zraS//cysD//purE//rseC//ccmD//yecR//mlc//cysM//ompX//pstC//hisP//phoU//rrlH//tomB//araE//murQ//puuA//ykgM//mglB//acrA//leuE//nagB//fis//fecB//rbfA//araJ//rpsS//baeR//sxy//yeaD//pheM//avtA//yoaC//nrdG//pagP//araA//cysJ//argC//mlc//hybO//hflC//purK//pnp//mhpA//alaS//alaA//ompR//astC//pgaA//araD//metL//hydN//cas1//lpxD//dmsA//mhpB//mntS//hyaA//hdeB//hyfG//ychH//araJ//prpE//torR//ndh//crr//nirD//lacA//gatZ//acrE//ubiC//ychH//livJ//tyrB//fecR//metF//tsaE//araC//cheB//galS//moaD//yhjC//ahpF//tomB//yqjA//uidB//lpd//argF//nuoM//cusC//rdoA//cadC//lhgO//chbC//ycjF//amn//ccmH//frdD//zinT//tdcF//hypC//glpT//napF//purL//nupC//cysC//nuoE//nrfC//paaD//nanT//ychO//rpsP//adiC//gltA//fdnI//xylF//focB//dppD//flhC//sohB//aceK//nlpD//ydeN//fumA//yhcH//phnH//aaeR//araD//lldD//acrD//yjeF//yeiP//cysB//csgG//edd//nlpD//rybA//rpoH//uidC//rpmC//folE//fhuC//nrfA//nrfC//ascB//dctA//lsrG//yegR//ydhW//hypD//grxD//hycC//sufS//csgG//agaV//mhpC//hemA//entH//gspF//ytfE//ybjG//paaH//sucC//dps//ugpQ//nuoC//mglB//gpmA//cysN//yfaE//arcZ//hyfG//rrsC//ykgM//malQ//mipA//preT//lpxA//ogt//mgrB//bamA//sufB//yeaR//nagC//envY//xylB//araJ//ccmF//acrE//fecB//yegH//ybdZ//dsdC//ivbL//allE//glpA//ynfG//cyoB//narI//treC//purA//dcuC//codA//rimM//
ChbR-Monoacetylchitobiose-6P_neg	lsrA//gabP//oppB//dcuB//hycI//casE//
ChbR-Monoacetylchitobiose-6P_pos	nupC//waaH//ybdN//mgrR//idnK//fecI//
CpxR-Phosphorylated_neg	fadD//yoaG//cyoC//pgaB//dppF//lsrD//dpiB//cadB//fiu//fucI//cyoA//hycG//frdD//csiD//yeiL//ynfF//ynfG//pgpC//creC//yhjA//gspK//csgF//phnM//yeiB//
CpxR-Phosphorylated_pos	malE//atoD//galE//nuoH//cydB//envY//hcp//creA//cyoD//secB//galT//dkgB//hofC//malI//ybdZ//metK//dsdC//ubiX//narJ//dpiA//bcsB//mglB//entD//araD//acrF//pheT//appC//deoB//trpA//pstS//amn//rrfB//phnH//acrD//tauB//manY//prfA//sufA//lysP//thrV//sbcD//gntR//fhuD//marR//dnaA//
CreB-Phosphorylated_neg	ycjX//iscS//nikR//
CreB-Phosphorylated_pos	torD//citX//chbA//ycdZ//cvpA//marB//
CueR-Ag_neg	feaB//uvrA//rrsB//yfaE//metF//
CueR-Ag_pos	patZ//cydD//
CueR-Cu+_neg	melR//nuoC//xylG//bcsC//malP//
CueR-Cu+_pos	xapB//caiT//
CuerR-Au_neg	ykgM//nikA//rpsC//ampD//csgD//
CuerR-Au_pos	pncB//agaV//
CusR-Pasp_pos	nrfC//tsx//motA//araE//ygiB//nikA//aroM//uhpB//caiT//nrdD//pgaA//sufB//
CynR-Cyanate_neg	appB//
CynR-Cyanate_pos	galM//nrdD//prpC//
CysB-N-acetyl-L-serine_neg	pstS//trpD//napG//fepB//gntP//safA//moeB//
CysB-N-acetyl-L-serine_pos	csgF//gntP//dcuD//nanA//rof//polA//rutA//preA//alkA//ampE//ulaC//uxaA//argE//hypB//glpR//rpmI//glpE//csgB//cyoC//tsaE//aroL//emrK//pta//
CysB-O-acetyl-L-serine_neg	hypA//tnaA//sroD//ilvH//katG//allE//ygiC//
CysB-O-acetyl-L-serine_pos	frdC//agaV//ileT//ydeM//dnaE//ygeH//dctA//rplB//moeA//hycB//rrlD//hlyE//rrfC//tsaE//rseA//phoA//hyaA//yhiD//iscU//glcA//bcsZ//chiP//purM//rnlA//
DcuR-Phosphorylated_pos	argO//narG//csiD//rhaS//iraM//fucP//fucK//gadC//ileV//
DnaA-ATP_neg	rrsD//iscS//thrS//caiB//rutD//gpsA//osmC//gcvH//rrlE//ascF//paaH//
DnaA-ATP_pos	idnT//ykgM//gadB//hisJ//rplM//pgaC//iscR//
DpiA-Pasp_neg	napC//
DpiA-Pasp_pos	nrdB//ppdD//narQ//mpl//allD//skp//araG//sroD//lysP//betB//
DsdC-D-serine_neg	bamE//
DsdC-D-serine_pos	csgD//evgA//
EvgA-Phosphorylated_pos	dusB//rrsH//paaC//gspD//sdhC//gatZ//gspI//yegR//lrp//cysN//ompW//phoE//astE//fdnG//atoB//
FNR-[4Fe-4S]2+ reduced_neg	rprA//ptsG//gspM//melA//uhpT//pdhR//fnr//uxaA//nuoA//mgrB//allC//mhpT//glpT//priB//hydN//ulaB//melB//nagE//nanK//cdd//mutL//caiB//appY//hycF//idnO//cas2//metK//gltA//hcr//rcnA//fdnG//cheY//malT//marR//rimM//lpd//leuE//ilvY//mdtB//slt//rybA//hyaF//fucA//metK//narL//ileU//pta//cas1//sufD//dcuS//fucK//prmC//znuB//lpxB//ybfN//lamB//iraD//araJ//abgA//cynT//argH//yfbR//bglF//araJ//dppF//moaA//tsx//ygiA//metA//gltW//yeiP//aceA//glcA//norR//ptsG//puuB//uxaC//rpsO//yegZ//hydN//deoA//metL//ackA//aroP//alkB//ahpF//hflC//fldA//tyrA//fadH//borD//iraM//ssuB//oxc//metQ//dapB//yjeV//torA//argT//rrfF//priB//acrB//cheR//gcvT//udp//fimD//ycdZ//yhiD//citG//oppA//phoU//csiE//hyaB//asr//efeU_2//ssuA//phnK//leuE//pyrD//ileU//
FNR-[4Fe-4S]2+ reduced_pos	bamA//ydhX//iraD//narH//rof//gatD//allC//napA//ybdN//spy//dadX//aceE//narI//appX//fiu//garR//lsrK//cysH//umpH//dsdX//rstB//marB//alaU//tdcG//melR//hyfI//pgk//glcB//tadA//galE//gntR//ivbL//mhpD//cysP//gyrA//ilvA//hisM//hybF//ndh//moaE//yaeQ//acrD//uidA//hyfC//ydbD//aroF//ychH//fur//acrB//preT//casC//gcvP//mgtL//amn//dppC//sucA//pstC//ynfG//hisQ//fbaA//appY//argB//ompX//evgS//rplP//treB//rpoE//aceK//phnP//murQ//rplS//artQ//ubiA//rseA//amn//sbmA//focB//stpA//uxuB//uxuA//pitA//lsrF//fdnH//codB//argB//yfdX//fhuB//puuA//malG//purM//cyoB//hycG//mhpA//rpsF//nuoH//hyfG//gcvT//srlE//srlB//glcG//aceF//mglC//yeaD//tadA//srlE//ivbL//priB//ykgR//feoB//rrlB//miaA//nikB//dppF//gatZ//slt//nirB//malZ//pstC//rpsP//tdh//mhpE//rplC//yfaE//moaC//ugpA//fhlA//dcuB//glyA//ilvI//ychO//hypB//xylR//yibN//argP//rutG//hdeA//fixC//araD//aidB//manZ//lacI//fliZ//nupC//metN//allD//pgaD//ftnA//putP//yaiW//ada//trxA//hybD//acrA//ftnA//malY//fes//narL//gatY//lsrR//rnpB//rpsS//mdtA//fadJ//rpoH//trpR//copA//ygiB//ssuD//slyB//mdtC//lsrK//nirB//lpxD//artQ//trmD//skp//glpK//rrfB//glnA//ygeH//lsrB//nagC//uhpB//fdnI//astA//hycH//ilvX//amn//folE//nuoH//ilvE//rplD//chiP//ydeP//tam//fucP//carA//ileU//nirD//caiB//acrB//ulaD//
FhlA-Formate_pos	prfA//cheR//lacI//cdd//ydeM//motB//tonB//dpiB//fecR//rpsO//murP//cueO//zwf//hypC//evgS//dsdC//dapD//ygiB//aroP//lpxD//idnK//rstB//ptsH//metK//fepB//aroM//pflB//cyaR//hypA//purL//
FucR-L-fuculose-1-phosphate_pos	hypF//yojI//aceF//casE//guaA//ynfF//fadH//
Fur-Fe2+_neg	ygiA//argT//sroD//yhcH//hupA//yeaR//gntT//rbfA//ulaC//galE//prpD//mscM//glpT//aroP//alkB//citE//nfuA//pheS//cadB//dppC//rimP//gltD//pgpC//ugpB//tauD//pyrC//patZ//lrp//iraD//fhuB//rrsG//nanK//degP//rhaT//cusR//hyfA//malF//metF//frdD//ldtC//agaW//rplI//malQ//rpsR//gabT//sdhB//norR//serA//fes//hmp//aroL//rpsO//fhuA//sucA//raiA//sucB//argG//phoQ//oppC//pepT//fepE//metF//gltU//dgcZ//moaC//fis//yhjA//malK//ccmE//mgtL//yhjC//nrfG//skp//epd//ycdZ//cspD//nrdD//yhjC//malI//rrfF//araF//srlB//ccmE//glpX//zwf//allD//glpF//nuoM//nupC//yjjZ//lacZ//umpH//rpsO//pgaD//gspK//agp//puuE//phnE_2//bcsA//metN//napH//znuC//ssuD//gutM//narL//fliA//ccmA//rhaR//nrfF//ssuB//paaK//cydD//hisQ//rhaT//melB//sodB//cadB//alaA//lldR//hyaA//rutF//hycC//gspG//fecA//
Fur-Fe2+_pos	hcr//bdcA//allE//paaK//pstA//ugpC//nmpC//aer//nagB//ampD//casC//nac//ilvH//paaH//galP//cysN//mntS//csgF//fiu//hyfB//xylG//betA//ybdN//trpL//fes//
Fur-Mn2+_neg	livG//stpA//csgE//argC//pgaA//speB//mdtB//rbsB//fnr//sucA//gatC//cusR//csgD//acrA//rnhB//ynfH//mdtD//bioB//oppD//speC//sodA//ygeH//fumA//pncB//glcG//metF//cydB//entD//emrK//metJ//ileV//fhuD//aroG//artQ//aceF//ompA//arcA//moeA//glmY//cheZ//appA//csgD//rpsF//ilvY//nuoA//rrlD//agaW//dsdA//ygiB//ilvM//fliZ//dapB//puuP//trpL//glgS//araG//xapB//gdhA//ahpC//purR//yhhY//ygeH//pheS//bcsC//tsr//hyaD//bcsB//cheY//rcnA//phoH//hybA//chbB//csgG//rrlB//narJ//rutD//truB//frdB//rrsH//fecR//hypC//ccmA//nanM//aroA//actP//fnrS//betB//ccmE//gnd//hyaF//rplC//actP//livF//hyfC//gspF//ydhW//ybfN//csgA//metI//lacI//malK//acrF//pdhR//aldA//acnA//phnC//ilvB//gltF//paaK//rutG//cydB//hemA//betI//nrfE//rbsR//ilvY//ygiB//tpx//rbsA//tadA//hyaB//hyfB//argG//agaW//
Fur-Mn2+_pos	tdcG//hlyE//hypD//lysU//sucB//mutY//rrlC//nfuA//phnF//focB//fhuF//melR//ychO//acrE//yoaG//nrdH//mgrR//crr//cyoD//ychH//polA//ynfK//cydC//nrfF//malP//
GlcC-Acetate_neg	mhpT//
GlcC-Acetate_pos	fepE//ugpB//ampE//abgB//fimG//micF//
GlcC-Glycolate_neg	cpdB//
GlcC-Glycolate_pos	torD//narQ//sbcC//creC//gatC//dps//
GlrR-Pasp56_pos	xapB//
IclR-pyruvate_neg	aaeB//hypA//rpoH//serC//
IdnR-5-ketogluconate_neg	metJ//caiB//ykgM//
IdnR-5-ketogluconate_pos	pstA//tauD//nmpC//cheR//cvpA//
IdnR-Idonate_neg	rrfH//mdtA//oppF//
IdnR-Idonate_pos	hyfR//arcZ//hha//cysK//rrsG//
IlvY-2-acetolactate_neg	hyaE//
IlvY-2-acetolactate_pos	hdeA//
IlvY-Alfa-acetohydroxybutirate_neg	preT//
IlvY-Alfa-acetohydroxybutirate_pos	dkgB//
IscR-[2Fe-2S]1+_neg	gdhA//tdcF//hyfG//ydfH//nuoK//creB//rpsR//sbcC//ptsI//asr//azuC//xylH//mdtB//nikC//gspC//ppiA//cysU//acrE//nanM//lsrD//ldtC//hyaA//malG//glcA//puuA//nuoL//ihfA//mglA//grpE//cynR//
IscR-[2Fe-2S]1+_pos	oppB//artP//ilvG_1//cheZ//yiaJ//feoB//recF//idnT//yeiW//cas2//nrfB//
LldR-L-lactate_neg	pepT//tcyJ//chbR//
LldR-L-lactate_pos	frdA//gcd//efeU_2//
Lrp-Leucine_neg	tehA//serC//waaH//ydfH//srlD//nrdF//casA//paaK//fumB//mhpB//livG//nrfB//rutG//gltV//ydeJ//ssuD//chbA//hha//gcvH//pstC//tauB//epd//nirD//cadB//gspG//creC//astE//sdaA//ychO//ytfE//nrdB//mhpT//rbfA//zraS//grcA//nupG//mcaS//hyaB//psiE//paaD//edd//lacZ//focB//gyrA//hyfE//ptsG//osmC//mglA//glgC//csgA//rybA//oppC//sdhC//galS//nlpE//hycE//yfaE//nrdF//srlR//sufE//rrfB//hdeD//dnaE//trpR//spf//paaK//mntS//sucA//rrlE//hypB//cbl//fucK//ugpQ//araH//flhD//
Lrp-Leucine_pos	ygbA//malT//rcnB//hpt//dadX//hflX//guaA//melA//feaB//ompC//hofM//ynfH//gntK//carB//torR//glpB//glnA//purA//rpoH//cra//citE//moeB//creA//srlE//dgcZ//uhpT//tsx//rstA//ileV//puuA//hybO//hycA//gspD//hybO//nanM//
LsrR_neg	manZ//psd//zraS//chbB//rbsK//mltC//oppD//yjeV//mdtA//
MalT-ADP-Maltotriose_pos	nuoM//hyfI//fucP//mntP//betT//marB//narH//hofM//cusR//osmY//
MalT-Maltotriose-ATP_pos	caiF//ccmH//nupC//sucC//nrdE//nuoN//ssuD//dapD//dppF//sohB//
MelR-Melibiose_neg	bcsA//glpE//prpE//
MelR-Melibiose_pos	nuoH//aceA//leuE//
MetJ-S-adenosylmethionine_neg	yccA//hflK//cirA//dcuA//tauC//dppD//uidC//pstB//mipA//moaA//nanM//eda//gltU//caiD//sucA//
MetR-L-homocysteine_neg	gutM//glnK//
MetR-L-homocysteine_pos	idnT//sufC//borD//casB//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	nikR//rseA//ydfN//glcG//abgB//rplT//
MhpR-3HPP_pos	dps//fumC//glcD//gcd//kbaZ//bcsB//
MntR-Cd2+_neg	dadX//ycjF//ebgA//ulaF//
MntR-Cd2+_pos	yhfA//
ModE-MoO42-_neg	argR//exbD//agaW//yjjZ//iraM//ompT//glnD//fepE//abgT//bglB//ascF//nrdA//nuoC//rbsB//xylH//
ModE-MoO42-_pos	pyrC//ykgM//glcA//yhfA//purK//cusF//fimC//mhpT//phnD//baeS//phnE_1//gcvT//norW//lsrA//cusC//nanM//tadA//yeiW//yoaC//mtlR//chbC//rbsB//aldA//ybjG//ygaC//xylF//agp//cas2//crr//rplP//ubiA//
NarL-Phosphorylated_neg	fucR//bioB//csgC//cusB//ilvN//mcaS//csgF//rrfB//yhfA//lysC//feoB//metL//ycjF//tdcA//torC//galE//amtB//aceF//ygbA//rhaR//hflC//rplM//rplT//mhpE//rhaD//grxC//zraR//fadA//malZ//malX//mlc//lsrA//citX//torD//lsrK//cynX//nuoN//atoE//cusS//yjjZ//ilvE//ilvH//mutL//cirA//nagE//mgtA//puuP//aceB//hflK//hisP//dusB//gspL//leuE//ssuE//kbaZ//hdeA//fadJ//motB//cheW//mglC//alaU//efeU_2//amtB//iscS//pstS//uxaC//osmC//dadA//puuP//dcuC//frc//emrY//grxC//nrfA//fadA//acrB//nmpC//phnL//ysgA//ispE//fldA//glcE//treB//kbl//arfB//rutD//
NarL-Phosphorylated_pos	trpB//copA//serA//yeiL//hofN//borD//narI//rpmI//rplW//pgaB//tsr//metC//nanS//yaiA//nrdD//gspM//icd//glnK//crp//nfuA//avtA//arcZ//mlc//yggX//talA//cytR//ydhV//nupG//cas2//lsrB//paaF//ydeP//psiE//fepC//cysD//tfaQ//rnlB//gatB//tyrA//atoD//ccmF//nusA//fepG//slt//aaeR//araE//
NarP-Phosphorylated_neg	flhC//yaiA//fadJ//sdhD//hyfR//tyrP//ldtB//puuP//gspC//sdaA//malF//rpsQ//xdhA//nuoI//gapA//ileT//rrfF//argP//phnC//fimC//tonB//nrdF//nikB//rstB//actP//paaK//rseC//nrfD//metE//rnpB//pstS//citD//yfeW//
NarP-Phosphorylated_pos	napG//acrD//glpT//hofB//appC//katE//rybB//sroD//idnK//grcA//znuA//dcuA//lolB//mpl//fucU//epd//yrbL//pheT//ilvN//glrR//rplT//mhpT//aroM//metK//dapD//dadX//uhpA//spf//rbfA//secB//mlc//aroM//
NhaR-Na+_pos	dppF//glrR//frdB//gspD//nrdG//
NikR-Cd2+_neg	gntX//sbmC//hcp//iscU//ybjG//gpsA//
NikR-Co2+_neg	livG//fadI//rpsF//ydeP//purE//fecE//
NikR-Cu2+_neg	phoE//rhaD//leuE//yhfA//phoU//dppC//
NikR-Ni2+_neg	gabP//yedX//lsrF//yhfA//rrsC//nuoA//
NikR-Zn2+_neg	entD//mtlR//cstA//evgS//ulaB//dppB//
NrdR-ATP_neg	ygiB//ulaD//betI//hflC//nrfA//fumA//uof//dctA//csgB//
NrdR-Zn2+_neg	yrbL//ccmF//moaC//hybD//narK//mutL//kbaZ//uraA//rpmC//
NrdR-dATP_neg	ompA//xseA//puuB//cusF//dmsA//lsrD//ompW//pstC//cheB//
NsrR-[2Fe-2S]reduced_neg	argF//sodB//rpmI//fimH//epd//phoA//allE//nrfA//yrbL//gntT//ssuA//pepT//fliA//hybO//manZ//psd//bglF//astE//trpE//aceF//fixX//lhgO//abgA//ascF//efeU_1//cysB//ydhX//umpH//mdtC//fimC//exuT//amn//dsdC//yegZ//phnJ//citF//mgtA//psiF//rutF//argP//hemL//fhuD//spy//norV//rprA//ccmF//lpxB//alaV//appA//tyrB//gatA//cheZ//pstC//cusA//dppA//pheT//nrfC//glnL//rrsG//araH//lhgO//caiE//cirA//mutY//yeaE//ascB//artQ//yfiP//dpiA//nanM//sroD//narG//pitA//
PhoB-Phosphorylated_neg	rseA//ebgA//betA//prpC//lldP//gntK//nuoE//argB//oppB//bioB//sdaA//ompX//exbD//
PhoB-Phosphorylated_pos	tyrA//tdcA//mipA//ldtB//prpE//nanS//rutD//dadX//ispE//pitA//cynX//frdB//fecR//pgaC//araA//hdeA//ygiC//bglB//metJ//ebgC//manZ//tehB//ykgR//cysD//fdnG//glnL//priB//soxS//lsrK//lsrG//creB//pyrD//rrsD//aceA//fimC//hypD//allC//argG//cheZ//ilvM//puuR//hmp//prmC//ilvG_2//waaH//yjeV//pitA//glpA//betB//fimE//paaC//ybdZ//lacZ//
PhoP-Phosphorylated_neg	kbl//nanK//nuoJ//dcuA//mhpA//arcA//ihfA//atoB//manY//nirC//glgP//
PhoP-Phosphorylated_pos	idnO//fimH//fepA//priB//rplI//sufD//norR//exuT//phnE_1//uhpA//rbsC//sbcC//paaJ//prmC//emrY//prpE//efeU_2//nuoH//ygiA//rplW//iraD//rrlH//gspK//idnO//gspK//manZ//napB//garR//gnd//fepC//sbcC//hyfF//gatD//pgaA//pdeF//narL//rnpB//pheS//aceA//ygeH//xylA//rnpB//dapD//rstB//dsbA//feoA//phnP//gabT//livK//
PrpR-2-methylcitrate_neg	hemA//
PrpR-2-methylcitrate_pos	motB//entE//ilvX//fadJ//
PurR-Guanine_neg	trpL//araD//phnK//degP//hypA//manX//mtlR//iscA//cusS//cyoC//dusB//dmsD//rbsA//psiF//tdcA//nanK//norV//dapB//phnE_2//mgtA//xylH//caiC//pstB//ssb//fucI//rbsA//narQ//citE//arcA//argF//tauA//phnL//sucC//ulaC//
PurR-Hypoxanthine_neg	nuoN//gltB//ilvH//sucD//fimD//rbsD//hyfF//bglG//idnT//fhlA//nikA//dadX//cbl//ydhY//glpA//hybG//bioD//ftnA//yfdE//ydeN//gltA//rbsK//fliZ//dusB//dusB//nanC//dcuB//moeB//glgB//oppA//cadA//yegR//hyfF//metK//
QseB-Phosphorylated_pos	agaV//csiD//cadA//trpD//
RhaR-L-rhamnose_pos	gcvH//ybfN//
RhaS-L-rhamnose_pos	frdA//mgrR//rplV//
RstA-Phosphorylated_neg	exbD//ulaE//gatD//artJ//aroL//
RstA-Phosphorylated_pos	ompT//fadI//osmY//cheA//cusB//
SoxR-[2Fe-2S]3+ oxydized_neg	lpxA//
SoxR-[2Fe-2S]3+ oxydized_pos	cusR//fimC//ugpE//
TorR-Phosphorylated_neg	nanA//
TorR-Phosphorylated_pos	rplD//manZ//mipA//astB//hypF//ykgM//ccmG//ivbL//ulaB//
TrpR-Tryptophan_neg	moaA//nanM//purL//evgA//prpC//erpA//xylA//cynT//znuB//melR//livH//nanE//
TyrR-L-tryptophan_neg	rpmI//uidA//rrfB//rpsQ//codB//ilvG_2//fnr//rrfF//aroF//speA//dgcZ//srlD//
TyrR-L-tryptophan_pos	udp//tpx//nuoF//
TyrR-Phenylalanine_neg	hyfC//cysD//rplB//nadC//aceF//modB//nrdI//fhuA//pstC//ftnB//amn//mdtC//
TyrR-Phenylalanine_pos	lsrR//fes//citF//
TyrR-Tyrosine_neg	nfuA//paaB//yaiW//hisQ//gspH//aaeB//ynfG//yiaJ//gltD//yneM//rrlE//gatA//
TyrR-Tyrosine_pos	chbF//sbmA//fecC//
UhpA-Phosphorylated_pos	degP//
XapR-xanthosine_pos	lacZ//ppdD//
XylR-Xylose_pos	idnO//hyfE//carA//cydD//uxaC//metE//
ZntR-Cd2+_pos	motB//
ZntR-Hg_pos	ompT//
ZntR-Zn2+_pos	glpE//
ZraR-Phosphorylated_pos	rplT//manZ//ahpF//
Zur-Zn2+_neg	recF//rhaA//marB//cyoB//gyrA//hofB//
