#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	glnP//gatZ//
IlvY	nlpA//entH//
IscR	nagE//crp//dinG//galR//mglA//betI//mngR//frdD//tsgA//srlE//allC//appC//dmsC//glcC//xylG//hycC//prpE//mhpD//rbsB//alaS//putA//ddpF//fes//hyfD//higA//narX//dnaG//ydcV//gspF//yiaO//mngB//iraM//
KdgR	napB//galT//
KdpE	mntH//agaB//ppiD//waaH//
LacI	rplU//narH//allE//
LeuO	flgE//rpoD//acrD//mhpA//amn//phoQ//ygbK//ppiD//rbsB//nupC//ryhB//cynR//tyrR//ydcS//agaV//bioB//paaB//ddpF//gfcA//rpmI//
LexA	mtlD//dcuB//yrbL//paaI//hydN//ndh//intQ//phnP//ddlB//argG//hybD//gltF//argB//phnC//yfdV//yciW//malP//fucO//higB//idnK//iraP//alkA//mqsR//mdtF//rutB//rffG//ompN//zntA//gabP//ulaD//lysO//yiaM//ccmE//baeR//lyxK//lsrB//ptsI//ygeH//mgrB//nanA//nrdG//cysG//rutA//lacA//yiaL//chbC//alaS//rnpB//nirC//aceA//entH//atoE//efeU_2//pstA//manX//nanE//srlB//bglJ//trpE//
LldR	acnA//agaR//pstA//
LrhA	ydbK//gadE//fpr//yegR//
LsrR	ulaB//pflB//ftsA//cusB//tam//ppdC//adiA//appB//fldB//
LysR	moaB//copA//
MalI	metI//allE//paaD//
MalT	narH//nuoG//hypD//gntX//rutC//ilvY//mtlR//wcaB//rstB//cydB//
MarA	phnC//fnr//trpR//zraS//argR//cysP//rbsA//dicB//purF//pnp//ydfD//sucB//trpA//polA//nadA//ddpB//ybhL//garP//murE//hydN//ftsQ//ilvC//fruK//puuA//aroF//dhaK//sutR//nanE//ompC//yoeB//malP//gatA//wzyE//citD//fadH//sroC//sodB//ptsH//
MarR	glnH//creA//ddpX//
MatA	rutA//acrB//isrC//lsrB//metN//pykF//nuoB//lsrA//
MazE	flu//dtpA//ydhT//
MazE-MazF	hyaC//oppD//ompF//
McbR	aslB//citE//allB//adiA//
MelR	phnG//hdeA//mraY//
MetJ	motA//treB//citG//nrdH//flhB//ssuC//ydjM//dsbC//mgtL//manY//rob//hypD//copA//cynR//ybjN//
MetR	ybfE//rarA//osmY//wzyE//sufD//
MhpR	nuoG//yaiW//ydeN//glgB//ftsK//flhE//
Mlc	mzrA//cysU//nrfG//fixX//sucD//tyrP//dctA//tyrP//dpiB//mdtA//
MlrA	idnK//agaD//pncB//ybbY//puuB//accA//napC//astA//casD//carB//
MngR	hypB//wzc//creB//
MntR	pstB//ccmF//nrdG//nuoA//nfuA//
ModE	sbmA//cysE//ulaD//astD//aceE//lexA//entE//moaE//fecI//ppdC//pstB//fixB//fadJ//pgk//nagE//lysC//mhpA//aroG//rcnA//ldtC//cyoD//ddpC//fabZ//uspE//ddpB//carA//wcaB//prpB//nrdA//yhjX//dps//garL//epd//uvrA//nimT//feaR//cysK//yeiL//pyrD//speA//crp//sgbH//paaF//sbmA//moaC//glpK//
MprA	gadY//manY//zwf//betT//dgcC//ybhG//
MqsA	yhbT//yjiY//xylA//cysM//gatA//ompT//sra//flgN//
MraZ	csgB//fucK//gcvA//dinQ//ugpB//dcuA//relB//purD//yedX//cydD//trpE//rcnA//gadW//glpC//bglJ//cynX//talA//
MtlR	ybhL//garD//fecB//
MurR	gabD//citC//rseB//
Nac	ytfE//glnL//luxS//ynfG//flgJ//motA//malT//mdtA//dsbG//hyfB//nuoE//uspD//gcvP//sgrR//fldA//betI//pstA//cusR//glgP//uxaB//ybaS//
NadR	folA//uspD//iraM//phr//
NagC	astD//hisM//galE//ygbA//ynfH//ynjI//hisJ//ynfH//flgK//fpr//ecpA//cadA//dhaL//aroF//pflB//yfdX//glcE//dcuD//glnB//prpR//narL//nanC//srlD//tyrA//seqA//uvrD//evgA//metF//ulaA//hyfH//glnK//rpiR//trpL//oppC//malT//idnD//ydfE//
NanR	agaW//yiaN//nuoB//ydeN//gspE//omrA//mhpC//fabH//rpsU//nuoM//ubiA//
NarL	rclA//csgB//ugpB//patA//ssb//recA//cyoE//garD//yebG//fur//ddpC//srlD//lysC//glgX//bioB//yqhD//glpQ//tnaC//aldA//lysA//flgG//rstA//mglB//hcaB//znuA//csgE//phnL//amn//seqA//waaH//yhjC//glgC//fdnI//gpmA//ldtC//nuoM//ampC//csgF//moaC//allE//dcuB//allD//creB//agaS//folA//rstB//paaB//oppC//hycC//fruA//ftsA//phoE//gadW//astD//pgm//purM//ydcS//fadL//tyrA//gspL//dhaL//nikD//caiA//glpK//entH//ynfH//dsbC//araF//trxC//nrdG//ychF//asnB//lpd//ynfE//rpiB//mhpC//ldtB//yhbE//ybhL//aroH//yecR//slt//kdpF//ybjN//envC//galS//moaB//nimR//prpR//focA//dicC//fes//uvrB//sufE//chbR//cysJ//uof//entF//wza//cysK//dsbG//infB//csgD//dapB//cysE//lsrC//paaH//gspL//fliJ//fabZ//nikA//lysO//paaE//flhC//casD//fabH//cas1//paaJ//ldtB//glxK//malK//yjbF//ascB//
NarP	ybiT//modC//fbaA//rcnR//betA//lsrC//sufB//yjbE//lysA//gcvH//dcuD//ydcV//dgkA//sgbE//rseB//oppC//ftsZ//sdhA//fepD//ygbA//fecD//exbB//xylG//yoaG//moaC//treB//malM//mngB//isrC//pgaB//tdcB//icd//appB//gutQ//ampC//treR//argI//rpsU//araA//pqiA//uspA//gspF//cysB//hyfC//frdB//yaiW//potG//mipA//yrbL//glpD//
NemR	phoP//ygiB//gspO//
NhaR	paaG//bioA//hyfJ//osmY//hcaR//mdtF//ulaC//
NikR	lpxC//ppiD//nuoA//flhC//xapB//hyfC//
NimR	ydcV//pspD//
NorR	glxK//chbC//alaC//
NrdR	flgA//nrfB//gspD//manY//gutM//nimR//garD//fliO//purD//
NsrR	lhgO//yciG//yrbL//nuoC//ykgO//nimT//argB//malX//glcD//atoE//dkgA//rbsB//accB//yfdX//ccmF//uvrY//purN//ttdR//uvrA//ddpD//mdtF//tadA//flgJ//deoA//pgk//kbp//ycgR//prpD//ymgC//efeU_1//murE//mngR//ddpB//ybhR//mlc//fadE//hybO//ecpA//nrdG//cysN//cspD//fhuC//ybfE//sulA//phnE_1//ytfE//lgoR//yjbE//nagA//nikE//hflD//malI//cydB//lsrF//hdeB//ssuA//artI//dcuA//tehB//psd//hisJ//yhiM//rclA//ubiC//nhaA//glk//rpoD//uspA//ppc//galK//dinD//yciF//mdtF//tehB//dctR//malM//emrY//rpsU//malS//ascB//nrfD//cytR//uvrC//
NtrC	rhaT//nanT//moaC//gspE//yagK//frdD//umuD//yiiS//flhE//hcaC//uspA//fliJ//agaI//ruvA//arsB//dhaM//rtcA//paaF//hycF//gcvA//fadE//yqhD//fadL//marA//fliN//rhaR//pheM//pgk//flgA//ahpC//nrdF//ldtD//gatA//pheS//uvrB//napH//wcaA//pck//sbmA//pdeR//phoP//garK//carB//ydcT//nuoJ//mazE//paaF//ycjG//hdeD//
OmpR	uof//fixB//fhuF//ccmE//caiF//zraP//grxA//yhjC//tsgA//phnN//ybhG//fadL//iscS//ptsH//ssuA//hha//katE//feaR//aroH//potH//yibQ//
OxyR	envC//sufD//dhaR//edd//ptsG//fhuA//paaZ//argO//metF//gspE//lpxA//cpxQ//cpxQ//wcaB//rutB//ychF//malS//gdhA//gspK//cydC//fruK//mngA//gspJ//malM//allE//bioD//ybhS//dpiB//dmsD//qseB//bioF//gcvP//dgcC//mhpT//
PaaX	gltB//ydeI//fliK//bdm//fabG//artP//ldtC//tdcD//hycC//agaD//slp//fur//yiaJ//ssrS//
PdeL	csgG//
PdhR	oxyS//luxS//lsrB//isrC//argA//motB//cra//fliA//srlR//ydhU//dnaG//lsrB//nagC//allA//mdtF//trpB//uxaC//lsrK//insD//pdeH//phnP//feoB//mhpB//yfiB//cysP//glcD//phr//flgG//csgB//lrp//ecnB//yciG//yccA//rcnR//wcaB//ttdT//murI//fadL//wza//ugpA//uvrC//
PepA	nikB//nanT//cynR//
PgrR	alsB//ppiA//fixB//yjeV//casB//ycdZ//gatB//hipA//
PhoB	ygdB//lsrA//rpoE//hslJ//tam//ftsI//rnlA//gspC//fliS//hyaF//oxyS//metJ//paaA//yiaO//rseB//gutM//folA//glcA//agaC//dmsB//wcaB//molR_1//phoP//ulaE//purA//pagP//mprA//katG//ulaB//mlc//yiaM//fliP//yecT//fes//folE//napD//thiQ//mgrR//tpiA//lpxD//allD//nuoL//nrfA//treB//cyoC//paaB//ssuE//manX//sdhA//skp//gadY//uxaB//napH//tyrP//safA//mscM//rcnB//argO//aceF//murD//
PhoP	uidA//lacZ//cueO//ddpD//stpA//flgN//cynS//rclC//cusR//flgI//ccmG//ykgM//yeaD//treB//gcvT//glxR//yccA//lacY//nikD//rprA//uspD//ybhF//seqA//dhaR//gntP//malT//uxaC//trpL//ygdB//nuoC//gutM//mazG//ybfE//yjbF//rimK//lysC//fhuD//rpiB//ptsG//lrp//murQ//gspE//gntT//uxaC//ilvY//nrfB//yciG//osmC//yfdX//ytfE//aroF//nagB//gabD//cydA//rcnA//uxuA//
PrpR	gatY//acrD//rbsR//glxK//glxK//
PspF	rsmH//pgm//acrA//rpsU//yneM//yccA//patA//
PurR	gpmM//araF//caiD//kbaY//araG//osmY//rcsA//gatB//mngR//aroH//yqjA//norR//nirB//appA//argC//sroD//kdpF//bglB//gpmA//yecT//gspK//mngB//atoB//flgG//lsrF//cpxA//rutC//cueO//yhdX//ung//folA//
PutA	dsbG//ahpF//
PuuR	higB//ynfH//xylR//yhdZ//folA//bglB//bioF//
QseB	hcaB//mngB//tfaQ//yiaN//
RbsR	mazE//cysG//idnK//fucU//yhhY//hyfF//oppD//caiD//cas2//
RcdA	flgI//ydcS//grxD//sbcD//deoC//sroC//gcl//sodA//aroG//
RclR	argB//ptrA//pspA//
RcnR	frdB//yegZ//glnH//
RcsAB	hycG//fucI//sbcD//recX//folE//ftsZ//pgaA//yhdW//sdhC//ugpE//araG//gspO//galR//carB//psiE//fhlA//
RcsB	fucK//pncB//uspE//idnD//rseB//grcA//yhhY//mprA//oppC//fixC//seqA//rcsA//hybF//ftsQ//ompT//yebE//purH//umuC//dsdC//waaZ//hyfI//yhcH//ynbC//gltJ//gutM//
RcsB-BglJ	hybE//araD//ddpF//fepB//acrD//fliJ//cusS//lamB//ydhT//yeaD//fhuB//yhcH//yefM//grcA//tpiA//gatD//
RelB	sdhD//fimB//lysP//
RelB-RelE	cheW//lldR//ydeO//
RhaR	bioF//lolA//
RhaS	ubiC//yhdY//gatY//rimP//purD//htpG//
Rob	nrdB//phoH//metA//hybO//phnO//tdcB//astE//fepC//gspH//yfaE//feoC//folE//hycG//ubiC//hybG//cirA//rpiB//gspC//ygeA//fliK//ybhF//yjiY//adhE//srlB//emrY//edd//
RstA	mgrB//fruB//yecT//casC//mntH//ddpD//torR//patD//caiA//tam//
RtcR	flgL//purE//
RutR	glcA//evgA//yrbL//allD//yhdZ//patD//yafP//safA//caiT//napB//pyrD//hyfI//mipA//malM//ynbC//lacY//rcnB//
SdiA	ydfX//fruA//flgI//kbp//sgbU//
SgrR	leuB//tcyP//pqiB//tdcA//rtcA//chbG//deoA//dgcN//bglF//
SlyA	casC//
SoxR	kdpA//katE//ygiA//
SoxS	nemA//skp//ygaC//grxA//ssuB//ccmG//gudP//aroF//cysH//ydfH//ytfE//add//gltI//gltJ//fhuB//ybhS//tdcC//rtcA//cas1//fadE//modC//rutC//gspL//rstB//uspE//dsbG//pgaA//tcyJ//putP//hyfC//ydhT//gadY//fpr//citD//ebgA//prpD//tdcA//yafO//hycI//sgbU//
StpA	uvrA//nrfC//glgB//hypA//malK//gatB//fliG//
SutR	mngA//glgP//tisB//fabA//rcnB//
TdcA	zwf//relB//patD//dinB//osmC//ycjF//yeaD//
TdcR	gatA//yfdX//yhjC//gutM//crr//uvrA//thiP//
TorR	mgrB//ybfE//ynfG//dapB//recA//tdcC//fecD//sdhC//uidC//entA//argE//focA//
TreR	yebE//potF//
TrpR	glgA//fliA//paaB//cusR//mntS//pepD//waaY//idnD//argO//cysH//dinF//csiD//
TyrR	caiE//argO//tehB//epd//oxc//fliK//rbsR//ydhV//gspO//purB//hycG//gabD//
UhpA	yqjI//
UidR	leuD//yfaE//dnaN//mngB//
UlaR	rstA//asnB//wzc//nuoL//ugpE//nanC//feoA//
UvrY	gabT//ompN//hydN//lpxD//bacA//
UxuR	yebE//ccmG//flgB//torC//treR//yafP//nusA//tsgA//uxuA//
XapR	norV//ybbY//
XylR	ybbW//citG//fdnG//nmpC//yjhB//gadF//sufC//
YdeO	uvrY//ruvB//fhuA//uxaB//rutB//recD//ygiA//yjbE//amtB//dsbC//zwf//znuB//hycB//fiu//osmC//araC//ompF//narI//glpB//caiT//rtcB//
YedW	ssuA//fdnH//degP//tktB//patD//ptsI//wrbA//glmY//hyaB//yciG//flgA//galR//
YefM	nrfB//kbaZ//
YefM-YoeB	rbfA//fadA//
YehT	fliI//
YeiL	setA//
YiaJ	ytfE//bioD//glgP//yccT//citX//mgtA//dinQ//lsrC//gltL//malP//
YjjQ	oxyS//soxS//paaK//manX//hyaE//hdeB//tcyP//dhaR//idnR//fruB//
YpdB	iscS//
YqhC	ulaC//creD//
YqjI	uof//rutG//
ZntR	yiaJ//
ZraR	pqiB//lysR//yccA//
Zur	glpK//cydC//gltF//yciW//sgrR//trpD//
